Entity,Year,Top 10% share of net personal wealth (WID 2018),Top 1% share of net personal wealth (WID 2018)
France,1983,0.500101924,0.159276605
France,1984,0.499753594,0.158037201
France,1985,0.501371503,0.161395803
France,1986,0.50565809,0.167873293
France,1987,0.504988611,0.170586497
France,1988,0.504900575,0.173697904
France,1989,0.507558405,0.176592097
France,1990,0.502717078,0.171825796
France,1991,0.506542385,0.180915803
France,1992,0.510052979,0.174980894
France,1993,0.512132108,0.187895507
France,1994,0.511993587,0.193238303
France,1995,0.511166513,0.196422502
France,1996,0.540069282,0.233208805
France,1997,0.552384794,0.253081799
France,1998,0.563284278,0.266985804
France,1999,0.568758607,0.278355092
France,2000,0.570562482,0.281123012
France,2001,0.561082721,0.270501107
France,2002,0.546056926,0.254023314
France,2003,0.538408876,0.246183202
France,2004,0.529699087,0.237641797
France,2005,0.523728192,0.225110605
France,2006,0.528146625,0.221320704
France,2007,0.535888314,0.223748505
France,2008,0.532034397,0.2159293
France,2009,0.540525913,0.217010707
France,2010,0.559136391,0.235065907
France,2011,0.550741792,0.229755104
France,2012,0.545121372,0.223577902
France,2013,0.548515916,0.2290456
France,2014,0.552764714,0.233788595
Russia,1995,0.525536597,0.215031222
Russia,1996,0.544090986,0.234241724
Russia,1997,0.595654488,0.315069526
Russia,1998,0.624041677,0.35744977
Russia,1999,0.657416225,0.412465841
Russia,2000,0.646474838,0.391768605
Russia,2001,0.667413592,0.428869188
Russia,2002,0.643013358,0.384764552
Russia,2003,0.667090178,0.427291721
Russia,2004,0.670241535,0.430843264
Russia,2005,0.657116115,0.40450418
Russia,2006,0.638349235,0.367203325
Russia,2007,0.638570368,0.359593362
Russia,2008,0.664425552,0.393181652
Russia,2009,0.628777087,0.317463189
Russia,2010,0.659879446,0.342773527
Russia,2011,0.683105171,0.359799266
Russia,2012,0.679313362,0.354666352
Russia,2013,0.678541422,0.354626745
Russia,2014,0.684877932,0.369069368
Russia,2015,0.71322155,0.425818324
United Kingdom,1895,0.930318773,0.700078249
United Kingdom,1896,0.929006934,0.705110073
United Kingdom,1897,0.927882433,0.713764727
United Kingdom,1898,0.926289499,0.701990306
United Kingdom,1899,0.925914705,0.714167357
United Kingdom,1900,0.926570654,0.706519008
United Kingdom,1901,0.929381788,0.737716317
United Kingdom,1902,0.925633609,0.706519008
United Kingdom,1903,0.923946977,0.703399181
United Kingdom,1904,0.923665822,0.700078249
United Kingdom,1905,0.925165117,0.71346283
United Kingdom,1906,0.925446272,0.720910013
United Kingdom,1907,0.922072887,0.699373782
United Kingdom,1908,0.920479894,0.686492205
United Kingdom,1909,0.921604395,0.702493489
United Kingdom,1910,0.918980718,0.688303709
United Kingdom,1911,0.926996231,0.676520228
United Kingdom,1912,0.928451359,0.687790453
United Kingdom,1913,0.925732553,0.665845573
United Kingdom,1914,0.929655433,0.67214042
United Kingdom,1919,0.885341287,0.625506461
United Kingdom,1920,0.87973845,0.573149741
United Kingdom,1921,0.881780565,0.605379164
United Kingdom,1922,0.888246059,0.617354929
United Kingdom,1923,0.883303762,0.602445841
United Kingdom,1924,0.879292667,0.59464097
United Kingdom,1925,0.881647706,0.602700412
United Kingdom,1926,0.872117162,0.56887579
United Kingdom,1927,0.879828274,0.591104269
United Kingdom,1928,0.866827011,0.564596176
United Kingdom,1929,0.870702267,0.563224077
United Kingdom,1930,0.861310601,0.569378138
United Kingdom,1931,0.858073652,0.531109333
United Kingdom,1932,0.857417762,0.543185711
United Kingdom,1933,0.864070654,0.559488893
United Kingdom,1934,0.861165941,0.537952662
United Kingdom,1935,0.858729601,0.539764106
United Kingdom,1936,0.851631999,0.534268081
United Kingdom,1937,0.854700387,0.531310618
United Kingdom,1938,0.850125372,0.540719152
United Kingdom,1939,0.842893779,0.511887729
United Kingdom,1940,0.838114917,0.509774387
United Kingdom,1941,0.828557193,0.498503119
United Kingdom,1946,0.835116327,0.460764378
United Kingdom,1947,0.829775333,0.44949311
United Kingdom,1948,0.830993474,0.443857431
United Kingdom,1949,0.81768769,0.433793753
United Kingdom,1950,0.799415529,0.430416197
United Kingdom,1951,0.783017397,0.418526381
United Kingdom,1952,0.774865329,0.387755573
United Kingdom,1953,0.76933676,0.388871461
United Kingdom,1954,0.76624459,0.409309506
United Kingdom,1955,0.753219843,0.37862289
United Kingdom,1956,0.739539206,0.379060745
United Kingdom,1957,0.724171877,0.365689844
United Kingdom,1958,0.720423758,0.352792561
United Kingdom,1959,0.716394484,0.360940844
United Kingdom,1960,0.705413878,0.35044083
United Kingdom,1961,0.693599641,0.340330839
United Kingdom,1962,0.673496783,0.327640265
United Kingdom,1963,0.679459751,0.323827624
United Kingdom,1964,0.684937418,0.320717663
United Kingdom,1965,0.681592464,0.309360534
United Kingdom,1966,0.662894905,0.292706788
United Kingdom,1967,0.66712904,0.299123406
United Kingdom,1968,0.673585594,0.305295348
United Kingdom,1969,0.646053851,0.276011437
United Kingdom,1970,0.644615173,0.273867101
United Kingdom,1971,0.633988559,0.267274678
United Kingdom,1972,0.659877777,0.283523858
United Kingdom,1973,0.634031892,0.266657531
United Kingdom,1974,0.610411644,0.236672446
United Kingdom,1975,0.586549044,0.221263468
United Kingdom,1976,0.609518111,0.230811313
United Kingdom,1977,0.576655865,0.206281096
United Kingdom,1978,0.588408828,0.21154739
United Kingdom,1979,0.540248394,0.185258687
United Kingdom,1980,0.521030188,0.187544435
United Kingdom,1981,0.531650901,0.173856139
United Kingdom,1982,0.51228261,0.172027171
United Kingdom,1983,0.506638825,0.174615592
United Kingdom,1984,0.46705845,0.152216196
United Kingdom,1985,0.486812949,0.157824695
United Kingdom,1986,0.488240004,0.163007736
United Kingdom,1987,0.5035882,0.166732639
United Kingdom,1988,0.481853753,0.152034149
United Kingdom,1989,0.485264182,0.165928423
United Kingdom,1990,0.459857285,0.163473308
United Kingdom,1991,0.455891192,0.155803174
United Kingdom,1992,0.479958236,0.169916749
United Kingdom,1993,0.498296171,0.182895437
United Kingdom,1994,0.495453388,0.176450878
United Kingdom,1995,0.469169766,0.162255585
United Kingdom,1996,0.483787954,0.165480733
United Kingdom,1997,0.515730202,0.192691386
United Kingdom,1998,0.518868387,0.199612394
United Kingdom,1999,0.500719726,0.193029419
United Kingdom,2000,0.505550742,0.184968188
United Kingdom,2001,0.502399564,0.188568175
United Kingdom,2002,0.50845623,0.180453092
United Kingdom,2003,0.502552986,0.167896494
United Kingdom,2005,0.511891425,0.187656656
United Kingdom,2006,0.519772947,0.198744088
United Kingdom,2009,0.540134907,0.205814272
United Kingdom,2012,0.519160152,0.198812425
United States,1913,0.784436524,0.451159567
United States,1914,0.783293724,0.445876867
United States,1915,0.779674947,0.446417302
United States,1916,0.782181382,0.4330239
United States,1917,0.783061743,0.40531978
United States,1918,0.785695314,0.370485157
United States,1919,0.800783157,0.400082052
United States,1920,0.780980647,0.356744081
United States,1921,0.779898405,0.367974103
United States,1922,0.792383969,0.399746984
United States,1923,0.7967031,0.353841841
United States,1924,0.811368465,0.374622136
United States,1925,0.822192729,0.409176856
United States,1926,0.831624448,0.425818741
United States,1927,0.84176302,0.449193955
United States,1928,0.844579816,0.478221893
United States,1929,0.843985081,0.479869604
United States,1930,0.845908463,0.433713257
United States,1931,0.843579412,0.386238843
United States,1932,0.848006249,0.380964369
United States,1933,0.845589876,0.403371453
United States,1934,0.830258846,0.409852207
United States,1935,0.816811919,0.404845089
United States,1936,0.821767092,0.429880589
United States,1937,0.802915812,0.436633021
United States,1938,0.799473703,0.397611558
United States,1939,0.802756608,0.408158511
United States,1940,0.771253407,0.376684159
United States,1941,0.746282339,0.345669419
United States,1942,0.728759944,0.341122896
United States,1943,0.733404875,0.34379977
United States,1944,0.710735977,0.318380326
United States,1945,0.717669725,0.320999265
United States,1946,0.714942515,0.299287766
United States,1947,0.70119983,0.286840111
United States,1948,0.686801791,0.28068918
United States,1949,0.678643227,0.271918029
United States,1950,0.682675123,0.285294443
United States,1951,0.682702541,0.281015247
United States,1952,0.679559767,0.277678013
United States,1953,0.672801554,0.265440822
United States,1954,0.677482545,0.272361696
United States,1955,0.681361318,0.275404602
United States,1956,0.685316026,0.278969228
United States,1957,0.689294279,0.275299549
United States,1958,0.688171625,0.271157712
United States,1959,0.695680738,0.277656287
United States,1960,0.698518872,0.277659446
United States,1961,0.700780571,0.27963987
United States,1962,0.706352532,0.300370008
United States,1963,0.7052688,0.276166141
United States,1964,0.704185069,0.296909988
United States,1965,0.69842571,0.268707424
United States,1966,0.712520003,0.266117066
United States,1967,0.688188851,0.265183896
United States,1968,0.716879964,0.26832217
United States,1969,0.693319976,0.2619977
United States,1970,0.707310021,0.258576274
United States,1971,0.691990018,0.276620001
United States,1972,0.701279998,0.274489999
United States,1973,0.668581009,0.259380013
United States,1974,0.67177999,0.245729998
United States,1975,0.658786953,0.228034481
United States,1976,0.65054208,0.229090005
United States,1977,0.647042811,0.218697205
United States,1978,0.641460002,0.219569996
United States,1979,0.652890027,0.224016905
United States,1980,0.65101999,0.225449741
United States,1981,0.647809982,0.23364903
United States,1982,0.63527,0.246899992
United States,1983,0.626869977,0.226988033
United States,1984,0.620890021,0.22933799
United States,1985,0.617734969,0.242825002
United States,1986,0.613780022,0.229797036
United States,1987,0.615780473,0.253399998
United States,1988,0.632889986,0.264964461
United States,1989,0.627007365,0.272980005
United States,1990,0.628830016,0.274340004
United States,1991,0.634939969,0.268790007
United States,1992,0.651130021,0.27566269
United States,1993,0.654820025,0.276868552
United States,1994,0.646326184,0.288410008
United States,1995,0.659020007,0.291429997
United States,1996,0.654424489,0.300209999
United States,1997,0.669860005,0.294624358
United States,1998,0.667913854,0.30704394
United States,1999,0.686399996,0.314704895
United States,2000,0.687929988,0.344399989
United States,2001,0.664474011,0.313341588
United States,2002,0.678139985,0.301581502
United States,2003,0.679310024,0.321539998
United States,2004,0.685959995,0.314759821
United States,2005,0.674178422,0.335339993
United States,2006,0.689010024,0.340860009
United States,2007,0.697929978,0.339603633
United States,2008,0.719994485,0.37380001
United States,2009,0.727669358,0.361490846
United States,2010,0.732519388,0.375691384
United States,2011,0.732666969,0.388309985
United States,2012,0.737443209,0.388486475
United States,2013,0.732010007,0.370316833
United States,2014,0.721834719,0.372446179
