Entity,Year,Change in under-5 population (2015 to 2050; 2050 to 2100)
Western Europe,2100,-387970
Western Sahara,2050,9642
Western Sahara,2100,2550
World,2050,28013401
World,2100,-51461629
Yemen,2050,38698
Yemen,2100,-1299384
Zambia,2050,2582794
Zambia,2100,2773869
Zimbabwe,2050,304362
Zimbabwe,2100,-492692
