Entity,Year,Legality status of abortion
New Zealand,2017,Highly restricted
Nicaragua,2017,Banned (no exception)
Niger,2017,Highly restricted
Nigeria,2017,Highly restricted
North Korea,2017,Legal (no restrictions)
Norway,2017,Legal (no restrictions)
Oman,2017,Highly restricted
Pakistan,2017,Highly restricted
Palau,2017,Banned (no exception)
Palestine,2017,Highly restricted
Panama,2017,Highly restricted
Papua New Guinea,2017,Highly restricted
Paraguay,2017,Highly restricted
Peru,2017,Highly restricted
Philippines,2017,Banned (no exception)
Poland,2017,Highly restricted
Portugal,2017,Legal (no restrictions)
Puerto Rico,2017,Legal (no restrictions)
Qatar,2017,Highly restricted
Romania,2017,Legal (no restrictions)
Russia,2017,Legal (no restrictions)
Rwanda,2017,Highly restricted
Saint Kitts and Nevis,2017,Highly restricted
Saint Lucia,2017,Highly restricted
Saint Vincent and the Grenadines,2017,Legal (some restrictions)
Samoa,2017,Highly restricted
San Marino,2017,Banned (no exception)
Sao Tome and Principe,2017,Banned (no exception)
Saudi Arabia,2017,Highly restricted
Senegal,2017,Banned (no exception)
Serbia,2017,Legal (no restrictions)
Seychelles,2017,Highly restricted
Sierra Leone,2017,Highly restricted
Singapore,2017,Legal (no restrictions)
Slovakia,2017,Legal (no restrictions)
Slovenia,2017,Legal (no restrictions)
Solomon Islands,2017,Highly restricted
Somalia,2017,Highly restricted
South Africa,2017,Legal (no restrictions)
South Korea,2017,Highly restricted
South Sudan,2017,Highly restricted
Spain,2017,Legal (no restrictions)
Sri Lanka,2017,Highly restricted
Sudan,2017,Highly restricted
Suriname,2017,Banned (no exception)
Swaziland,2017,Highly restricted
Sweden,2017,Legal (no restrictions)
Switzerland,2017,Legal (no restrictions)
Syria,2017,Highly restricted
Taiwan,2017,Legal (some restrictions)
Tajikistan,2017,Legal (no restrictions)
Tanzania,2017,Highly restricted
Thailand,2017,Highly restricted
Timor,2017,Highly restricted
Togo,2017,Highly restricted
Tonga,2017,Banned (no exception)
Trinidad and Tobago,2017,Highly restricted
Tunisia,2017,Legal (no restrictions)
Turkey,2017,Legal (no restrictions)
Turkmenistan,2017,Legal (no restrictions)
Tuvalu,2017,Highly restricted
Uganda,2017,Highly restricted
Ukraine,2017,Legal (no restrictions)
United Arab Emirates,2017,Highly restricted
United Kingdom,2017,Legal (some restrictions)
United States,2017,Legal (no restrictions)
Uruguay,2017,Legal (no restrictions)
Uzbekistan,2017,Legal (no restrictions)
Vanuatu,2017,Highly restricted
Venezuela,2017,Highly restricted
Vietnam,2017,Legal (no restrictions)
Yemen,2017,Highly restricted
Zambia,2017,Legal (some restrictions)
Zimbabwe,2017,Highly restricted
