Entity,Year,"Air pollution death rates (from particulate matter) per 100,000- IHME"
Benin,2005,50.59757386
Benin,2010,45.16034096
Benin,2015,39.59035967
Bermuda,1990,35.80725752
Bermuda,1995,31.53214057
Bermuda,2000,26.88241657
Bermuda,2005,23.29443669
Bermuda,2010,19.03012308
Bermuda,2015,18.63240759
Bhutan,1990,47.99810413
Bhutan,1995,45.08532584
Bhutan,2000,40.60931969
Bhutan,2005,40.70319119
Bhutan,2010,40.45869573
Bhutan,2015,46.12388439
Bolivia,1990,49.47484122
Bolivia,1995,44.98318886
Bolivia,2000,40.2127218
Bolivia,2005,43.04647737
Bolivia,2010,36.48855782
Bolivia,2015,37.70307812
Bosnia and Herzegovina,1990,64.71462548
Bosnia and Herzegovina,1995,70.30144334
Bosnia and Herzegovina,2000,66.3545623
Bosnia and Herzegovina,2005,61.80971395
Bosnia and Herzegovina,2010,64.48375061
Bosnia and Herzegovina,2015,74.32882558
Botswana,1990,28.29636796
Botswana,1995,29.55284726
Botswana,2000,36.99470253
Botswana,2005,37.3353716
Botswana,2010,31.27200762
Botswana,2015,29.62379076
Brazil,1990,28.03164825
Brazil,1995,28.12896855
Brazil,2000,28.03895623
Brazil,2005,24.88671744
Brazil,2010,21.67081839
Brazil,2015,25.15513625
Brunei,1990,6.661887164
Brunei,1995,6.381971616
Brunei,2000,5.135554238
Brunei,2005,7.916385221
Brunei,2010,7.113728498
Brunei,2015,5.846993008
Bulgaria,1990,145.0825017
Bulgaria,1995,145.3410834
Bulgaria,2000,135.4219858
Bulgaria,2005,122.4109903
Bulgaria,2010,125.9049517
Bulgaria,2015,130.9410436
Burkina Faso,1990,87.70789718
Burkina Faso,1995,78.41595216
Burkina Faso,2000,70.28204855
Burkina Faso,2005,55.05201407
Burkina Faso,2010,46.58797116
Burkina Faso,2015,37.00389352
Burundi,1990,88.63263065
Burundi,1995,82.57377776
Burundi,2000,68.94568214
Burundi,2005,49.4174019
Burundi,2010,38.3670762
Burundi,2015,40.81903026
Cambodia,1990,61.54701114
Cambodia,1995,56.52095424
Cambodia,2000,48.42335766
Cambodia,2005,44.8238512
Cambodia,2010,38.65438048
Cambodia,2015,39.18310395
Cameroon,1990,82.3135837
Cameroon,1995,83.44604285
Cameroon,2000,84.62773403
Cameroon,2005,70.69082931
Cameroon,2010,61.98842311
Cameroon,2015,55.01890555
Canada,1990,25.55040119
Canada,1995,24.65831058
Canada,2000,23.11698481
Canada,2005,22.21065515
Canada,2010,18.7806203
Canada,2015,19.57649074
Cape Verde,1990,45.21565279
Cape Verde,1995,47.21928563
Cape Verde,2000,45.8616938
Cape Verde,2005,38.77208219
Cape Verde,2010,39.17855502
Cape Verde,2015,37.43607958
Central African Republic,1990,103.8654242
Central African Republic,1995,98.91099762
Central African Republic,2000,95.6605596
Central African Republic,2005,90.01297876
Central African Republic,2010,85.17749375
Central African Republic,2015,83.75867619
Chad,1990,81.67988271
Chad,1995,80.14579653
Chad,2000,84.37254583
Chad,2005,71.94170612
Chad,2010,68.33033403
Chad,2015,55.48528861
Chile,1990,36.66494158
Chile,1995,31.85025707
Chile,2000,27.7536863
Chile,2005,28.33705221
Chile,2010,30.52919637
Chile,2015,32.86932479
China,1990,81.88387728
China,1995,79.45763646
China,2000,81.21998399
China,2005,86.83850756
China,2010,81.45080064
China,2015,80.09235608
Colombia,1990,22.57253946
Colombia,1995,22.78134198
Colombia,2000,22.26612996
Colombia,2005,23.21996435
Colombia,2010,21.2654355
Colombia,2015,22.56797161
Comoros,1990,43.38140425
Comoros,1995,38.29534981
Comoros,2000,30.5975409
Comoros,2005,22.98337786
Comoros,2010,18.39064644
Comoros,2015,18.23236671
Congo,1990,76.64494333
Congo,1995,78.535988
Congo,2000,77.22144364
Congo,2005,60.4693254
Congo,2010,52.53162817
Congo,2015,52.48052767
Costa Rica,1990,19.46415432
Costa Rica,1995,19.96005885
Costa Rica,2000,19.89784214
Costa Rica,2005,18.31803384
Costa Rica,2010,15.88106097
Costa Rica,2015,21.44408791
Cote d'Ivoire,1990,50.33455673
Cote d'Ivoire,1995,55.69708883
Cote d'Ivoire,2000,52.82515776
Cote d'Ivoire,2005,42.34355001
Cote d'Ivoire,2010,38.82671008
Cote d'Ivoire,2015,34.07163895
Croatia,1990,80.37663065
Croatia,1995,78.34361168
Croatia,2000,78.1804556
Croatia,2005,73.20884033
Croatia,2010,73.55755079
Croatia,2015,82.92002021
Cuba,1990,50.82469434
Cuba,1995,53.39841009
Cuba,2000,54.57813386
Cuba,2005,53.51344007
Cuba,2010,47.97711736
Cuba,2015,57.64705129
Cyprus,1990,48.09522943
Cyprus,1995,48.79873886
Cyprus,2000,44.45434024
Cyprus,2005,34.41733716
Cyprus,2010,31.63379734
Cyprus,2015,30.57711001
Czech Republic,1990,124.1162186
Czech Republic,1995,97.47552685
Czech Republic,2000,79.7385117
Czech Republic,2005,72.28946779
Czech Republic,2010,71.62668044
Czech Republic,2015,72.59621634
Democratic Republic of Congo,1990,59.63209551
Democratic Republic of Congo,1995,58.66007414
Democratic Republic of Congo,2000,59.85002499
Democratic Republic of Congo,2005,52.01887689
Democratic Republic of Congo,2010,45.84160633
Democratic Republic of Congo,2015,46.58469698
Denmark,1990,65.8724166
Denmark,1995,59.96958935
Denmark,2000,48.29012323
Denmark,2005,40.65514659
Denmark,2010,37.91015479
Denmark,2015,37.33732447
Djibouti,1990,50.00851234
Djibouti,1995,50.81657437
Djibouti,2000,49.52399177
Djibouti,2005,45.12078594
Djibouti,2010,44.71718275
Djibouti,2015,47.12424707
Dominica,1990,26.53970732
Dominica,1995,27.34717855
Dominica,2000,25.48246412
Dominica,2005,24.75774381
Dominica,2010,24.58328381
Dominica,2015,27.20553894
Dominican Republic,1990,19.33075546
Dominican Republic,1995,21.74292167
Dominican Republic,2000,26.59349411
Dominican Republic,2005,26.26022615
Dominican Republic,2010,29.03464774
Dominican Republic,2015,31.64882364
Ecuador,1990,21.99631272
Ecuador,1995,21.95792768
Ecuador,2000,23.1914004
Ecuador,2005,24.69399187
Ecuador,2010,19.50908918
Ecuador,2015,18.65152153
Egypt,1990,92.82139363
Egypt,1995,76.08360611
Egypt,2000,63.04547423
Egypt,2005,64.53648675
Egypt,2010,69.71664843
Egypt,2015,66.00092747
El Salvador,1990,33.08840678
El Salvador,1995,33.23497076
El Salvador,2000,32.60594385
El Salvador,2005,31.7523285
El Salvador,2010,30.43276956
El Salvador,2015,36.42636002
Equatorial Guinea,1990,109.4179694
Equatorial Guinea,1995,99.27045321
Equatorial Guinea,2000,74.39567125
Equatorial Guinea,2005,47.03660379
Equatorial Guinea,2010,43.90799149
Equatorial Guinea,2015,41.65260762
Eritrea,1990,59.04198624
Eritrea,1995,43.31243399
Eritrea,2000,38.41342987
Eritrea,2005,38.29683701
Eritrea,2010,40.9748056
Eritrea,2015,40.79719365
Estonia,1990,76.65347657
Estonia,1995,77.46032788
Estonia,2000,63.97614488
Estonia,2005,55.33877411
Estonia,2010,42.03538119
Estonia,2015,49.51198935
Ethiopia,1990,76.97824622
Ethiopia,1995,66.54313766
Ethiopia,2000,56.752807
Ethiopia,2005,43.30230295
Ethiopia,2010,35.26158689
Ethiopia,2015,31.28864628
Fiji,1990,20.08241718
Fiji,1995,22.13652042
Fiji,2000,23.62937812
Fiji,2005,24.6136653
Fiji,2010,19.41503579
Fiji,2015,23.26367103
Finland,1990,42.95350227
Finland,1995,36.56794725
Finland,2000,31.73415607
Finland,2005,27.07384701
Finland,2010,26.79728786
Finland,2015,28.0333712
France,1990,37.03395196
France,1995,35.0015267
France,2000,32.81582613
France,2005,29.17118545
France,2010,28.28359138
France,2015,31.08126693
Gabon,1990,72.72712537
Gabon,1995,69.26843198
Gabon,2000,65.15936111
Gabon,2005,55.25573506
Gabon,2010,46.12049379
Gabon,2015,45.14997418
Gambia,1990,59.32405475
Gambia,1995,51.89407384
Gambia,2000,44.94646273
Gambia,2005,36.29009589
Gambia,2010,33.2679454
Gambia,2015,29.84503808
Georgia,1990,85.83511808
Georgia,1995,78.61862541
Georgia,2000,84.55888019
Georgia,2005,90.99293384
Georgia,2010,98.50076167
Georgia,2015,97.74458595
Germany,1990,73.45657214
Germany,1995,61.56485178
Germany,2000,53.85217955
Germany,2005,48.22687188
Germany,2010,48.30551334
Germany,2015,51.55793624
Ghana,1990,46.98519479
Ghana,1995,42.32657084
Ghana,2000,42.58988774
Ghana,2005,37.85199078
Ghana,2010,37.41264518
Ghana,2015,31.50285629
Greece,1990,52.71552946
Greece,1995,49.97153883
Greece,2000,50.29368913
Greece,2005,46.16922815
Greece,2010,49.88706787
Greece,2015,61.80221681
Greenland,1990,13.33309774
Greenland,1995,12.47243199
Greenland,2000,12.74649985
Greenland,2005,11.0121975
Greenland,2010,8.014414925
Greenland,2015,9.656356269
Grenada,1990,48.05411736
Grenada,1995,43.78915182
Grenada,2000,42.00157709
Grenada,2005,38.20150741
Grenada,2010,32.87140862
Grenada,2015,33.89259218
Guam,1990,14.81351792
Guam,1995,15.1969376
Guam,2000,19.46952107
Guam,2005,24.14757473
Guam,2010,26.97465534
Guam,2015,29.27092137
Guatemala,1990,43.31123782
Guatemala,1995,42.64298186
Guatemala,2000,42.71755752
Guatemala,2005,36.63547104
Guatemala,2010,28.61199027
Guatemala,2015,29.79902201
Guinea,1990,71.82881818
Guinea,1995,64.09541238
Guinea,2000,58.33560717
Guinea,2005,45.3326531
Guinea,2010,45.01552612
Guinea,2015,36.65335535
Guinea-Bissau,1990,76.97746041
Guinea-Bissau,1995,70.66418184
Guinea-Bissau,2000,67.08561559
Guinea-Bissau,2005,57.0538512
Guinea-Bissau,2010,60.22769376
Guinea-Bissau,2015,51.95191479
Guyana,1990,44.09082467
Guyana,1995,45.54654006
Guyana,2000,41.16303462
Guyana,2005,36.64326505
Guyana,2010,32.85086132
Guyana,2015,36.70780861
Haiti,1990,69.28811781
Haiti,1995,59.08047315
Haiti,2000,50.93729705
Haiti,2005,47.55777773
Haiti,2010,41.19218502
Haiti,2015,43.5605587
Honduras,1990,29.11742777
Honduras,1995,33.66882156
Honduras,2000,35.52739509
Honduras,2005,37.14026534
Honduras,2010,34.29244971
Honduras,2015,38.863183
Hungary,1990,127.3451839
Hungary,1995,114.1907997
Hungary,2000,99.23862526
Hungary,2005,93.08579029
Hungary,2010,92.63718966
Hungary,2015,84.26429122
Iceland,1990,28.6023278
Iceland,1995,26.08732029
Iceland,2000,22.26880897
Iceland,2005,19.84343398
Iceland,2010,18.03349878
Iceland,2015,18.37371819
India,1990,84.69486493
India,1995,82.70483813
India,2000,81.35553217
India,2005,78.29580572
India,2010,77.78163417
India,2015,83.13239669
Indonesia,1990,29.33529904
Indonesia,1995,29.13157514
Indonesia,2000,30.40513548
Indonesia,2005,31.36502928
Indonesia,2010,29.39116384
Indonesia,2015,30.52217944
Iran,1990,40.29609554
Iran,1995,35.91431596
Iran,2000,35.9933998
Iran,2005,38.78526331
Iran,2010,42.37238027
Iran,2015,42.13164211
Iraq,1990,55.74520328
Iraq,1995,56.91021215
Iraq,2000,55.23434957
Iraq,2005,52.81181657
Iraq,2010,56.71786494
Iraq,2015,43.05498442
Ireland,1990,41.45083658
Ireland,1995,38.78554271
Ireland,2000,33.9635968
Ireland,2005,26.22357279
Ireland,2010,22.81482593
Ireland,2015,23.81972154
Israel,1990,37.42113186
Israel,1995,34.78333238
Israel,2000,29.01122789
Israel,2005,25.73954989
Israel,2010,23.7374974
Israel,2015,26.50426468
Italy,1990,51.77666899
Italy,1995,49.02592627
Italy,2000,46.27563758
Italy,2005,42.06084122
Italy,2010,41.50182067
Italy,2015,53.72718442
Jamaica,1990,30.12473462
Jamaica,1995,31.26412921
Jamaica,2000,30.23050085
Jamaica,2005,27.47232211
Jamaica,2010,25.2989179
Jamaica,2015,31.69055563
Japan,1990,30.99790774
Japan,1995,32.67097054
Japan,2000,33.34363282
Japan,2005,38.2171711
Japan,2010,40.226485
Japan,2015,47.24958562
Jordan,1990,29.82487204
Jordan,1995,25.6060448
Jordan,2000,23.16817845
Jordan,2005,20.77075915
Jordan,2010,17.39927102
Jordan,2015,18.26688385
Kazakhstan,1990,59.2247874
Kazakhstan,1995,71.35854103
Kazakhstan,2000,68.88729986
Kazakhstan,2005,67.67504383
Kazakhstan,2010,57.35707819
Kazakhstan,2015,57.67059629
Kenya,1990,22.01757598
Kenya,1995,20.17764055
Kenya,2000,18.32106209
Kenya,2005,15.97237715
Kenya,2010,15.22616803
Kenya,2015,15.0637381
Kiribati,1990,8.877846267
Kiribati,1995,8.89253788
Kiribati,2000,9.210156713
Kiribati,2005,8.031098696
Kiribati,2010,3.62076571
Kiribati,2015,3.907501741
Kuwait,1990,17.21212466
Kuwait,1995,22.03380282
Kuwait,2000,20.23855341
Kuwait,2005,22.31624676
Kuwait,2010,22.58785535
Kuwait,2015,17.60319574
Kyrgyzstan,1990,61.02194893
Kyrgyzstan,1995,57.52591533
Kyrgyzstan,2000,51.65556213
Kyrgyzstan,2005,52.47815861
Kyrgyzstan,2010,48.60384215
Kyrgyzstan,2015,45.6761336
Laos,1990,87.28405228
Laos,1995,78.03247427
Laos,2000,66.90245355
Laos,2005,59.28546307
Laos,2010,48.05336939
Laos,2015,44.50692795
Latvia,1990,124.6862812
Latvia,1995,133.1186388
Latvia,2000,102.0423952
Latvia,2005,103.0759886
Latvia,2010,89.66299356
Latvia,2015,94.54363608
Lebanon,1990,47.47441271
Lebanon,1995,38.46713225
Lebanon,2000,33.23996207
Lebanon,2005,31.63353249
Lebanon,2010,36.38503549
Lebanon,2015,36.88623838
Lesotho,1990,42.57904366
Lesotho,1995,41.86529259
Lesotho,2000,47.58417781
Lesotho,2005,61.32328417
Lesotho,2010,53.83902462
Lesotho,2015,53.47131519
Liberia,1990,27.10617555
Liberia,1995,24.21582467
Liberia,2000,19.99795495
Liberia,2005,15.77767689
Liberia,2010,15.07649431
Liberia,2015,11.09229561
Libya,1990,28.2044115
Libya,1995,26.4712231
Libya,2000,28.21743838
Libya,2005,29.27385795
Libya,2010,32.59976511
Libya,2015,41.47020809
Lithuania,1990,102.3721183
Lithuania,1995,103.8672635
Lithuania,2000,81.62769955
Lithuania,2005,86.1950044
Lithuania,2010,84.77220545
Lithuania,2015,86.74910641
Luxembourg,1990,65.24645141
Luxembourg,1995,53.1588099
Luxembourg,2000,44.25687366
Luxembourg,2005,38.67666528
Luxembourg,2010,33.20218821
Luxembourg,2015,31.52172139
Macedonia,1990,72.80235877
Macedonia,1995,76.51303313
Macedonia,2000,75.21156222
Macedonia,2005,72.59363192
Macedonia,2010,77.40862202
Macedonia,2015,77.81137247
Madagascar,1990,42.93202946
Madagascar,1995,41.35631607
Madagascar,2000,36.86529817
Madagascar,2005,31.72855941
Madagascar,2010,29.63205043
Madagascar,2015,31.18517925
Malawi,1990,44.59297052
Malawi,1995,46.49011244
Malawi,2000,47.76253481
Malawi,2005,37.56190126
Malawi,2010,30.16381525
Malawi,2015,26.67689114
Malaysia,1990,26.44225024
Malaysia,1995,26.5821116
Malaysia,2000,26.46252688
Malaysia,2005,31.03255294
Malaysia,2010,29.07533199
Malaysia,2015,31.43344366
Maldives,1990,31.41729976
Maldives,1995,24.96979432
Maldives,2000,20.04432026
Maldives,2005,17.86566281
Maldives,2010,16.56019158
Maldives,2015,18.88308179
Mali,1990,67.10534799
Mali,1995,61.70651177
Mali,2000,52.69405665
Mali,2005,39.63160852
Mali,2010,37.25709976
Mali,2015,28.97946688
Malta,1990,38.82128512
Malta,1995,34.72427488
Malta,2000,34.57517596
Malta,2005,30.85240605
Malta,2010,36.56987392
Malta,2015,39.63451018
Marshall Islands,1990,23.27509719
Marshall Islands,1995,23.17495964
Marshall Islands,2000,24.60726828
Marshall Islands,2005,25.35855165
Marshall Islands,2010,24.51957262
Marshall Islands,2015,24.30971217
Mauritania,1990,65.72370185
Mauritania,1995,62.73651379
Mauritania,2000,57.00876936
Mauritania,2005,42.38787806
Mauritania,2010,39.21032767
Mauritania,2015,38.78590069
Mauritius,1990,44.67055842
Mauritius,1995,47.63206525
Mauritius,2000,47.96161084
Mauritius,2005,42.52587096
Mauritius,2010,32.11385047
Mauritius,2015,35.32340634
Mexico,1990,21.18161356
Mexico,1995,21.30181674
Mexico,2000,20.76149394
Mexico,2005,20.60660045
Mexico,2010,19.85423005
Mexico,2015,22.82036876
Micronesia (country),1990,21.62521414
Micronesia (country),1995,21.42112498
Micronesia (country),2000,20.22842964
Micronesia (country),2005,20.78079269
Micronesia (country),2010,16.30214538
Micronesia (country),2015,18.60421326
Moldova,1990,94.90619996
Moldova,1995,106.6480298
Moldova,2000,82.72791747
Moldova,2005,81.11992502
Moldova,2010,85.76217224
Moldova,2015,70.86693076
Mongolia,1990,53.39859636
Mongolia,1995,46.83974257
Mongolia,2000,48.47458622
Mongolia,2005,46.45659064
Mongolia,2010,46.27449671
Mongolia,2015,49.56081393
Montenegro,1990,55.90842338
Montenegro,1995,64.17061086
Montenegro,2000,67.32768379
Montenegro,2005,63.42837587
Montenegro,2010,64.09033667
Montenegro,2015,70.09397959
Morocco,1990,26.25881461
Morocco,1995,24.97129899
Morocco,2000,23.8286666
Morocco,2005,24.68083403
Morocco,2010,25.09377373
Morocco,2015,28.41970418
Mozambique,1990,38.56944968
Mozambique,1995,34.97099096
Mozambique,2000,32.91380999
Mozambique,2005,28.55898929
Mozambique,2010,25.34350497
Mozambique,2015,23.67002016
Myanmar,1990,74.22639173
Myanmar,1995,69.91241826
Myanmar,2000,66.68445421
Myanmar,2005,63.12571932
Myanmar,2010,55.76448166
Myanmar,2015,57.5404556
Namibia,1990,40.20925844
Namibia,1995,38.89781656
Namibia,2000,47.50347871
Namibia,2005,40.16902822
Namibia,2010,28.32671453
Namibia,2015,25.00952105
Nepal,1990,87.97089104
Nepal,1995,74.98326013
Nepal,2000,62.54675682
Nepal,2005,59.93411178
Nepal,2010,59.68505866
Nepal,2015,64.19781712
Netherlands,1990,54.63824491
Netherlands,1995,52.31726682
Netherlands,2000,49.18013001
Netherlands,2005,42.30691993
Netherlands,2010,39.34791894
Netherlands,2015,39.46262877
New Zealand,1990,23.87654677
New Zealand,1995,21.6434928
New Zealand,2000,19.35532928
New Zealand,2005,16.78144909
New Zealand,2010,12.70780485
New Zealand,2015,13.43864569
Nicaragua,1990,19.24451499
Nicaragua,1995,17.4051238
Nicaragua,2000,16.76719548
Nicaragua,2005,17.96985598
Nicaragua,2010,16.68485202
Nicaragua,2015,19.90025194
Niger,1990,150.4138228
Niger,1995,136.9684818
Niger,2000,113.7183164
Niger,2005,88.18187052
Niger,2010,70.4244012
Niger,2015,53.35546448
Nigeria,1990,80.23687406
Nigeria,1995,72.63515145
Nigeria,2000,64.50894871
Nigeria,2005,48.47554083
Nigeria,2010,37.47998853
Nigeria,2015,27.88011916
North Korea,1990,45.75267958
North Korea,1995,50.47236336
North Korea,2000,57.69584095
North Korea,2005,63.5520264
North Korea,2010,67.20289239
North Korea,2015,74.87435942
Northern Mariana Islands,1990,12.46441825
Northern Mariana Islands,1995,10.07942774
Northern Mariana Islands,2000,8.52855228
Northern Mariana Islands,2005,8.258117305
Northern Mariana Islands,2010,7.85156808
Northern Mariana Islands,2015,8.878522931
Norway,1990,53.45299724
Norway,1995,47.19012359
Norway,2000,41.13880859
Norway,2005,31.87764669
Norway,2010,29.01130938
Norway,2015,27.12399
Oman,1990,27.6812556
Oman,1995,22.50478428
Oman,2000,21.90544328
Oman,2005,20.87564935
Oman,2010,22.61885093
Oman,2015,20.00599052
Pakistan,1990,76.24306018
Pakistan,1995,79.71368032
Pakistan,2000,79.91864113
Pakistan,2005,75.15421603
Pakistan,2010,72.5694932
Pakistan,2015,71.46772114
Palestine,1990,19.22868541
Palestine,1995,16.73445368
Palestine,2000,15.33138275
Palestine,2005,16.0326148
Palestine,2010,18.73009314
Palestine,2015,20.81893326
Panama,1990,18.84611265
Panama,1995,18.41243065
Panama,2000,17.76993304
Panama,2005,17.06150215
Panama,2010,15.20706428
Panama,2015,19.19797069
Papua New Guinea,1990,47.41217708
Papua New Guinea,1995,45.45120173
Papua New Guinea,2000,45.86255236
Papua New Guinea,2005,41.80699471
Papua New Guinea,2010,35.59290199
Papua New Guinea,2015,39.23084296
Paraguay,1990,23.49606511
Paraguay,1995,24.70104664
Paraguay,2000,23.61837687
Paraguay,2005,24.88474129
Paraguay,2010,23.83092942
Paraguay,2015,23.49082206
Peru,1990,37.76018857
Peru,1995,34.53837126
Peru,2000,29.80889694
Peru,2005,31.21450136
Peru,2010,26.1652749
Peru,2015,26.76939766
Philippines,1990,36.88291763
Philippines,1995,33.44349097
Philippines,2000,33.84117736
Philippines,2005,38.6558735
Philippines,2010,38.71433728
Philippines,2015,40.26056849
Poland,1990,109.7084372
Poland,1995,94.12902873
Poland,2000,77.79765874
Poland,2005,73.58737057
Poland,2010,76.85686578
Poland,2015,71.59008528
Portugal,1990,44.67866675
Portugal,1995,43.31241071
Portugal,2000,41.8576441
Portugal,2005,38.27045148
Portugal,2010,33.70838822
Portugal,2015,34.03782612
Puerto Rico,1990,41.33412149
Puerto Rico,1995,43.26950002
Puerto Rico,2000,48.00729512
Puerto Rico,2005,43.4914371
Puerto Rico,2010,41.03266692
Puerto Rico,2015,41.51783942
Qatar,1990,21.57203708
Qatar,1995,24.51360051
Qatar,2000,26.19354345
Qatar,2005,20.43314889
Qatar,2010,12.01914638
Qatar,2015,11.06413038
Russia,1990,90.3140055
Russia,1995,109.8917797
Russia,2000,107.9676673
Russia,2005,110.1671602
Russia,2010,97.34776104
Russia,2015,92.45004039
Rwanda,1990,77.09595957
Rwanda,1995,97.30544407
Rwanda,2000,80.86495218
Rwanda,2005,47.53709945
Rwanda,2010,34.85300404
Rwanda,2015,35.89236294
Saint Lucia,1990,36.49383725
Saint Lucia,1995,37.46272996
Saint Lucia,2000,35.09387898
Saint Lucia,2005,30.71921819
Saint Lucia,2010,27.32621797
Saint Lucia,2015,29.65637541
Saint Vincent and the Grenadines,1990,32.20656363
Saint Vincent and the Grenadines,1995,35.13155389
Saint Vincent and the Grenadines,2000,36.35253233
Saint Vincent and the Grenadines,2005,32.98402589
Saint Vincent and the Grenadines,2010,29.52473587
Saint Vincent and the Grenadines,2015,32.68026921
Samoa,1990,5.960384442
Samoa,1995,6.097802907
Samoa,2000,6.181612844
Samoa,2005,6.184628
Samoa,2010,2.790573853
Samoa,2015,4.193469795
Sao Tome and Principe,1990,38.91717061
Sao Tome and Principe,1995,37.19593806
Sao Tome and Principe,2000,36.28971172
Sao Tome and Principe,2005,33.34895882
Sao Tome and Principe,2010,26.22494649
Sao Tome and Principe,2015,24.26542487
Saudi Arabia,1990,25.4174025
Saudi Arabia,1995,24.45312566
Saudi Arabia,2000,24.28215958
Saudi Arabia,2005,23.44850655
Saudi Arabia,2010,25.13517975
Saudi Arabia,2015,25.56440013
Senegal,1990,47.95873247
Senegal,1995,45.55649939
Senegal,2000,43.66092908
Senegal,2005,33.49109029
Senegal,2010,32.66422136
Senegal,2015,33.21752593
Serbia,1990,71.68890443
Serbia,1995,79.00976343
Serbia,2000,88.76760257
Serbia,2005,83.07967219
Serbia,2010,83.93343887
Serbia,2015,80.90484189
Seychelles,1990,45.62750401
Seychelles,1995,42.81931033
Seychelles,2000,41.91098269
Seychelles,2005,38.01311541
Seychelles,2010,32.57354838
Seychelles,2015,29.50499766
Sierra Leone,1990,59.51662897
Sierra Leone,1995,52.97089228
Sierra Leone,2000,49.64289255
Sierra Leone,2005,41.04494874
Sierra Leone,2010,39.77409797
Sierra Leone,2015,29.45364395
Singapore,1990,38.93352696
Singapore,1995,39.85393269
Singapore,2000,36.83328687
Singapore,2005,44.12820563
Singapore,2010,38.0354817
Singapore,2015,42.38849797
Slovakia,1990,107.0233644
Slovakia,1995,87.90967404
Slovakia,2000,79.16293689
Slovakia,2005,75.24057291
Slovakia,2010,70.91693697
Slovakia,2015,63.23078414
Slovenia,1990,59.8386745
Slovenia,1995,56.58767768
Slovenia,2000,49.60927181
Slovenia,2005,46.62614956
Slovenia,2010,42.98206186
Slovenia,2015,50.3743242
Solomon Islands,1990,19.76068452
Solomon Islands,1995,18.56922317
Solomon Islands,2000,18.49477412
Solomon Islands,2005,22.57818851
Solomon Islands,2010,15.57695214
Solomon Islands,2015,17.35467959
