Entity,Year,Closed autocracies,Electoral autocracies,Electoral democracies,Liberal democracies,Total,Autocracies,Democracies,Share of closed autocracies,Share of electoral autocracies,Share of electoral democracies,Share of liberal democracies,Share of autocracies,Share of democracies
World,1969,84,35,18,18,155,119,36,0.5419,0.2258,0.1161,0.1161,0.7677,0.2323
World,1970,85,32,18,20,155,117,38,0.5484,0.2065,0.1161,0.1290,0.7548,0.2452
World,1971,87,32,18,20,157,119,38,0.5541,0.2038,0.1146,0.1274,0.7580,0.2420
World,1972,86,33,17,21,157,119,38,0.5478,0.2102,0.1083,0.1338,0.7580,0.2420
World,1973,86,34,16,21,157,120,37,0.5478,0.2166,0.1019,0.1338,0.7643,0.2357
World,1974,87,32,16,21,156,119,37,0.5577,0.2051,0.1026,0.1346,0.7628,0.2372
World,1975,85,33,17,21,156,118,38,0.5449,0.2115,0.1090,0.1346,0.7564,0.2436
World,1976,83,34,15,23,155,117,38,0.5355,0.2194,0.0968,0.1484,0.7548,0.2452
World,1977,84,33,14,24,155,117,38,0.5419,0.2129,0.0903,0.1548,0.7548,0.2452
World,1978,85,30,16,24,155,115,40,0.5484,0.1935,0.1032,0.1548,0.7419,0.2581
World,1979,81,34,15,25,155,115,40,0.5226,0.2194,0.0968,0.1613,0.7419,0.2581
World,1980,78,36,16,25,155,114,41,0.5032,0.2323,0.1032,0.1613,0.7355,0.2645
World,1981,81,34,15,25,155,115,40,0.5226,0.2194,0.0968,0.1613,0.7419,0.2581
World,1982,82,33,15,25,155,115,40,0.5290,0.2129,0.0968,0.1613,0.7419,0.2581
World,1983,80,34,16,25,155,114,41,0.5161,0.2194,0.1032,0.1613,0.7355,0.2645
World,1984,77,34,19,25,155,111,44,0.4968,0.2194,0.1226,0.1613,0.7161,0.2839
World,1985,74,34,21,26,155,108,47,0.4774,0.2194,0.1355,0.1677,0.6968,0.3032
World,1986,71,37,20,27,155,108,47,0.4581,0.2387,0.1290,0.1742,0.6968,0.3032
World,1987,71,37,20,27,155,108,47,0.4581,0.2387,0.1290,0.1742,0.6968,0.3032
World,1988,70,34,24,27,155,104,51,0.4516,0.2194,0.1548,0.1742,0.6710,0.3290
World,1989,65,40,23,28,156,105,51,0.4167,0.2564,0.1474,0.1795,0.6731,0.3269
World,1990,62,49,29,28,168,111,57,0.3690,0.2917,0.1726,0.1667,0.6607,0.3393
World,1991,60,44,35,32,171,104,67,0.3509,0.2573,0.2047,0.1871,0.6082,0.3918
World,1992,52,51,37,32,172,103,69,0.3023,0.2965,0.2151,0.1860,0.5988,0.4012
World,1993,50,47,41,35,173,97,76,0.2890,0.2717,0.2370,0.2023,0.5607,0.4393
World,1994,45,51,43,35,174,96,78,0.2586,0.2931,0.2471,0.2011,0.5517,0.4483
World,1995,41,49,49,35,174,90,84,0.2356,0.2816,0.2816,0.2011,0.5172,0.4828
World,1996,35,55,47,37,174,90,84,0.2011,0.3161,0.2701,0.2126,0.5172,0.4828
World,1997,34,56,47,37,174,90,84,0.1954,0.3218,0.2701,0.2126,0.5172,0.4828
World,1998,34,54,50,37,175,88,87,0.1943,0.3086,0.2857,0.2114,0.5029,0.4971
World,1999,35,55,46,40,176,90,86,0.1989,0.3125,0.2614,0.2273,0.5114,0.4886
World,2000,38,51,46,41,176,89,87,0.2159,0.2898,0.2614,0.2330,0.5057,0.4943
World,2001,37,51,47,41,176,88,88,0.2102,0.2898,0.2670,0.2330,0.5000,0.5000
World,2002,31,53,51,41,176,84,92,0.1761,0.3011,0.2898,0.2330,0.4773,0.5227
World,2003,29,54,52,42,177,83,94,0.1638,0.3051,0.2938,0.2373,0.4689,0.5311
World,2004,30,52,52,43,177,82,95,0.1695,0.2938,0.2938,0.2429,0.4633,0.5367
World,2005,27,59,48,43,177,86,91,0.1525,0.3333,0.2712,0.2429,0.4859,0.5141
World,2006,27,58,49,43,177,85,92,0.1525,0.3277,0.2768,0.2429,0.4802,0.5198
World,2007,29,55,51,43,178,84,94,0.1629,0.3090,0.2865,0.2416,0.4719,0.5281
World,2008,25,60,49,44,178,85,93,0.1404,0.3371,0.2753,0.2472,0.4775,0.5225
World,2009,25,53,56,44,178,78,100,0.1404,0.2978,0.3146,0.2472,0.4382,0.5618
World,2010,25,55,57,41,178,80,98,0.1404,0.3090,0.3202,0.2303,0.4494,0.5506
World,2011,23,55,58,43,179,78,101,0.1285,0.3073,0.3240,0.2402,0.4358,0.5642
World,2012,23,58,55,43,179,81,98,0.1285,0.3240,0.3073,0.2402,0.4525,0.5475
World,2013,24,59,52,44,179,83,96,0.1341,0.3296,0.2905,0.2458,0.4637,0.5363
World,2014,23,57,55,44,179,80,99,0.1285,0.3184,0.3073,0.2458,0.4469,0.5531
World,2015,24,56,57,42,179,80,99,0.1341,0.3128,0.3184,0.2346,0.4469,0.5531
World,2016,26,55,57,41,179,81,98,0.1453,0.3073,0.3184,0.2291,0.4525,0.5475
World,2017,26,56,56,41,179,82,97,0.1453,0.3128,0.3128,0.2291,0.4581,0.5419
World,2018,25,55,60,39,179,80,99,0.1397,0.3073,0.3352,0.2179,0.4469,0.5531
