Entity,Year,Asses (HYDE & FAO (2017)),Buffalo (HYDE & FAO (2017)),Cattle (HYDE & FAO (2017)),Goats (HYDE & FAO (2017)),Horses (HYDE & FAO (2017)),Mules (HYDE & FAO (2017)),Pigs (HYDE & FAO (2017)),Sheep (HYDE & FAO (2017)),Chickens (HYDE & FAO (2017)),Turkeys (HYDE & FAO (2017)),Poultry (HYDE & FAO (2017))
Canada,1999,,,13211300,30000,380000,4000,12429400,717000,155000,5200,160200
Canada,2000,,,13201300,30000,385000,4000,12904400,793000,158000,5400,163400
Canada,2001,,,13608200,30000,470000,4000,13575500,947800,158000,6470,164470
Canada,2002,,,13751500,30000,385000,4000,14375000,993600,160000,5900,165900
Canada,2003,,,13466000,30000,385000,4000,14745000,975300,160000,5600,165600
Canada,2004,,,14555000,30000,385000,4000,14725000,994200,160000,5520,165520
Canada,2005,,,14925000,30000,385000,4000,14810000,977600,160000,5600,165600
Canada,2006,,,14655000,30000,385000,4000,14980000,893800,160000,5600,165600
Canada,2007,,,14155000,30000,385000,4000,14080000,886200,165000,5600,170600
Canada,2008,,,13895000,30000,390000,4000,12700000,849500,165000,5880,170880
Canada,2009,,,13180000,30000,390000,4000,12465000,843600,165000,5600,170600
Canada,2010,,,13013000,30000,400000,4000,12690000,855300,165000,5400,170400
Canada,2011,,,12155000,30000,405000,4000,12785000,879300,164600,5500,170100
Canada,2012,,,12245000,30000,407000,4000,12668000,888300,166000,5500,171500
Canada,2013,,,12305000,30000,407000,4000,12879000,899500,166500,5700,172200
Canada,2014,,,12220000,30000,408000,4000,13054800,874700,167000,5700,172700
Central America,1890,199816.6737,2351.47331,7335907.202,2444909.26,1874262.842,185902.7951,2203001.337,3579666.095,,,
Central America,1900,325480.3061,2600.088365,6174695.96,2703403.05,1907171.862,302816.0641,2284559.638,3895218.633,,,
Central America,1910,564545.804,2874.988831,8309852.478,2989226.705,2327136.355,151043.3743,2822598.373,3085994.15,,,
Central America,1920,819733.826,3178.953797,9127677.274,3335607.338,2588086.993,218553.1549,3356764.124,1840098.374,,,
Central America,1930,2279637.845,3515.056174,14645805.97,7874695.149,3027809.275,243987.5281,4898910.115,3677313.921,,,
Central America,1940,2469009.162,3886.693767,16646114.96,8384876.601,3327457.003,228005.947,6683315.19,4823033.404,,,
Central America,1950,2976522.097,4297.62362,19232141.53,9833855.097,4146780.051,1218443.171,8764303.672,5975081.705,,,
Central America,1961,2941541,,23500603,9076788,4888775,1783042,8385574,6543115,80667,6043,86710
Central America,1962,2999931,,24168593,9341992,5011165,2375750,9144534,6799440,82730,6041,88771
Central America,1963,2906729,,25183334,9347350,5150739,1902521,9935906,6440063,99168,6041,105209
Central America,1964,3145355,,26263308,9342290,5345600,1973143,10695805,6544334,104651,6541,111192
Central America,1965,3300126,,27343660,9435380,5439600,2063415,11574039,6879500,109772,6542,116314
Central America,1966,3447502,,28814927,9425711,5590563,2121420,11648983,6913817,120935,7041,127976
Central America,1967,3617000,,29428628,9477830,5745000,2215100,12189175,7339300,141654,7041,148695
Central America,1968,3396340,,30136465,9515395,5899977,2984739,12526642,7216640,155041,7540,162581
Central America,1969,3373168,,30742703,9534674,6263632,2951453,12909257,7269198,160817,7539,168356
Central America,1970,3561933,,32210873,9247152,6599998,3377628,13350325,6696950,165021,8038,173059
Central America,1971,3334546,,31584392,8948600,6810066,3425771,13682552,6685831,150284,8036,158320
Central America,1972,3368046,,31897958,9361890,6774878,3453038,14507333,6979129,155516,6509,162025
Central America,1973,3402146,,31917669,9303600,6815634,3482583,14750200,6991192,163620,7072,170692
Central America,1974,3310325,,33034382,9240139,7088130,3484019,14962987,6931461,166167,7695,173862
Central America,1975,3323460,,34404419,9194062,7200789,3486573,15829531,6885980,171496,8384,179880
Central America,1976,3362627,,35601197,9140706,7278958,3492872,16646164,6875600,173573,9148,182721
Central America,1977,3326165,,36772026,9123740,7199222,3459688,17646212,6925973,182221,9337,191558
Central America,1978,3290275,,37334859,9240979,7171709,3425315,18377447,6959559,186806,9478,196284
Central America,1979,3277303,,37490325,9432649,7124810,3392615,19006736,7021549,204696,9501,214197
Central America,1980,3266200,,38834998,9763010,7077900,3314670,19440857,6954750,217393,9677,227070
Central America,1981,3227962,,40186401,10129851,7002192,3314113,19990845,6896000,220167,9865,230032
Central America,1982,3227800,,40783094,10415798,7005000,3314640,20502882,6995947,224879,10058,234937
Central America,1983,3228300,,41685306,9936426,7008200,3314890,21797750,6648187,231572,10266,241838
Central America,1984,3228900,,42420851,9683027,7009400,3315300,22051017,6499410,243076,10726,253802
Central America,1985,3229400,,43344626,11112874,7011500,3315950,19989222,6824732,260492,11260,271752
Central America,1986,3230300,,43841100,10212651,7019000,3326400,21176986,6174729,258680,9709,268389
Central America,1987,3231700,,42418296,10576122,7038000,3336900,21480535,6354912,270560,8982,279542
Central America,1988,3233000,,42756789,10225097,7048600,3346900,18665597,6214186,281623,8799,290422
Central America,1989,3234300,,45153533,10392087,7062500,3357200,18765324,6310416,286390,7098,293488
Central America,1990,3235500,,44580904,10598330,7068000,3367700,18200916,6302300,285004,7037,292041
Central America,1991,3237000,,43307401,10692206,7079106,3378180,18819236,6340313,305475,6392,311867
Central America,1992,3238500,,42441918,11167930,7084700,3388600,19590307,6640416,342771,4038,346809
Central America,1993,3240000,,43109968,11459207,7090800,3399100,19967602,6343492,353741,3739,357480
Central America,1994,3250400,,43156674,10610330,7105220,3409500,18957162,6433669,359727,2839,362566
Central America,1995,3280900,,41561407,10292443,7117200,3440100,18773418,6748009,438676,3340,442016
Central America,1996,3301200,,40676328,9732521,7168200,3460300,18236279,6762304,472345,3390,475735
Central America,1997,3301500,,42120000,9375330,7169300,3460700,18592913,6490700,449215,3340,452555
Central America,1998,3301600,,42068418,9207887,7170300,3460600,17970207,6234305,406759,4543,411302
Central America,1999,3301700,,41581111,9237065,7173300,3470900,18810490,6304764,425953,5050,431003
Central America,2000,3302200,,41881800,8873960,7171500,3471300,19283607,6316499,454036,5549,459585
Central America,2001,3312300,,42445334,8872310,7175550,3471750,21267000,6440013,469933,5057,474990
Central America,2002,3312600,,43523156,9296144,7175600,3472400,19308442,6730883,521413,4988,526401
Central America,2003,3312700,,43718240,9160433,7190200,3472950,19231963,7183924,536708,4860,541568
Central America,2004,3312800,,43500903,9022620,7191250,3474050,19843001,7517474,562121,4821,566942
Central America,2005,3312800,,43620185,9056821,7190250,3474050,20409698,7693433,598044,4503,602547
Central America,2006,3312800,,43945020,9061724,7227300,3474050,19965680,7823816,632284,4642,636926
Central America,2007,3312800,,44520031,9053709,7278300,3474050,20106750,8073152,634526,4338,638864
Central America,2008,3313900,,45311218,9135908,7277400,3474800,20113431,8390478,640431,4258,644689
Central America,2009,3314300,,46200202,9173887,7274500,3474650,20082023,8658879,647158,4146,651304
Central America,2010,3313360,,46724407,9181436,7276700,3473200,20277247,8748312,659267,4094,663361
Central America,2011,3313480,,46896615,9176266,7273295,3472848,20368083,8829386,665242,4142,669384
Central America,2012,3333450,,46056134,8916219,7281100,3478400,20824234,9023702,677809,4080,681889
Central America,2013,3333500,,46369819,8839243,7281300,3478410,21164925,9122497,685993,3851,689844
Central America,2014,3334410,,46989179,8862609,7281450,3479110,21119580,9199068,692829,3986,696815
Europe,1890,776237.5176,791706.0556,101902924.6,25634809.23,53178092.57,14817.01619,40331598.38,227506202.6,,,
Europe,1900,945623.8905,803819.649,114838855,25419206.31,53696329.94,21143.66079,48527744.14,219422833.7,,,
Europe,1910,1129487.76,816494.1134,119668200.8,25442005.86,54206901.5,33695.91392,60477121.1,216495153,,,
Europe,1920,1354564.342,829781.5096,134906756.2,26820607.63,50029528.45,61506.07739,72543273.11,207390576.2,,,
Europe,1930,1594472.109,843739.3302,148156617,26131984.67,52430931.83,127778.4992,81123042.82,216579123.8,,,
Europe,1940,1694654.794,858431.0727,147749941.1,23508721.83,36094305.63,292409.5226,90558389.58,195253331.5,,,
Europe,1950,2276089.206,873926.8736,156290803,24492884.93,29153681.89,710372.6571,107127252,195134314.3,,,
Europe,1961,3348369,733129,192288407,22473699,21946619,1987695,168115009,266732303,1329142,80449,1409591
Europe,1962,3300385,747460,200744521,21438777,20826766,1940358,180191456,271842841,1378938,66358,1445296
Europe,1963,3261231,725798,204032187,20282161,19741024,1909225,178722194,270769738,1413635,51193,1464828
Europe,1964,3155037,694222,200482999,18748321,18486645,1799276,155756537,264736899,1376167,35904,1412071
Europe,1965,2876732,646804,204026002,18517561,17311751,1523969,173897229,257863786,1392918,31659,1424577
Europe,1966,2675915,678727,213629939,18252234,17039210,1379701,175923365,262041274,1399678,31266,1430944
Europe,1967,2643538,690224,219591097,18582012,16853971,1347052,177596260,267836597,1462110,28872,1490982
Europe,1968,2596208,691372,220497352,18113063,16557992,1265672,175750021,269771268,1509980,29016,1538996
Europe,1969,2513394,690996,218603923,17883720,16169292,1238612,173199896,269192142,1540454,30873,1571327
Europe,1970,2324088,654382,217416401,17069877,15353099,1137643,186548470,256022454,1644322,40772,1685094
Europe,1971,2296649,658590,220983856,17223199,14841402,1031757,209671992,261895970,1749861,59470,1809331
Europe,1972,2180236,652445,225594195,17037653,14400049,935318,216788340,263560886,1789986,63809,1853795
Europe,1973,2114250,635820,232347612,17096809,13871012,882328,217150049,263489807,1841454,68766,1910220
Europe,1974,2035725,650763,239691046,17202215,13463279,831827,225704255,267063804,1905122,75047,1980169
Europe,1975,1972514,658220,243033101,17295338,13167048,787863,229292297,269840367,1944218,78789,2023007
Europe,1976,1913345,641711,243598440,17121832,12720263,764882,212236632,265929024,1936354,61584,1997938
Europe,1977,1835651,604244,243034437,16899260,12084079,694270,224110509,257056824,1995780,82809,2078589
Europe,1978,1761057,604253,245913242,16983447,11611835,633962,238516995,261534259,2074303,99819,2174122
Europe,1979,1719941,591276,248040676,16790666,11358476,615935,244711603,264645078,2159581,108775,2268356
Europe,1980,1668653,558767,249084317,17294460,11085632,585970,248639429,266767923,2197969,116648,2314617
Europe,1981,1625452,552941,247470491,18628585,10825161,551035,247560622,266223430,2273519,122771,2396290
Europe,1982,1601375,528957,248756562,18416003,10800247,522399,250340374,272657054,2310322,122905,2433227
Europe,1983,1540134,519982,248198298,19159469,10679885,482861,249881626,275002965,2335984,120493,2456477
Europe,1984,1511108,518797,253305208,19305349,10688820,462199,257608760,279802611,2342930,119898,2462828
Europe,1985,1450690,526851,253829414,19202136,10646108,438435,257677912,278637084,2403461,120182,2523643
Europe,1986,1420155,568904,251348624,19956099,10459961,409016,262776406,287936772,2417224,122271,2539495
Europe,1987,1398287,558830,249204398,19958877,10424922,403559,265029966,290568813,2457833,118171,2576004
Europe,1988,1343197,556525,243038032,20651233,10281291,387349,266511696,296059466,2486932,120722,2607654
Europe,1989,1317609,559867,244513864,22117514,10212212,378696,262563886,297768778,2479434,121879,2601313
Europe,1990,1347383,578919,243054195,22168130,10212057,366894,261371933,295245015,2459532,120589,2580121
Europe,1991,1335319,574486,236264175,22210391,10248921,348546,255666943,287282731,2407940,121009,2528949
Europe,1992,1034634,154591,204502738,19193641,8020580,322712,237070351,212461569,2182458,97327,2279785
Europe,1993,997647,170076,194925070,19254595,7922887,315676,226820720,202984547,2018831,103551,2122382
Europe,1994,967147,161188,187772779,19901166,7800503,313703,221515094,192185751,1958146,102466,2060612
Europe,1995,931984,165289,178331616,19986408,7910660,302527,214507838,178289258,1865293,107184,1972477
Europe,1996,916395,205503,172360048,19384384,7851787,287554,208495572,165879810,1851120,114203,1965323
Europe,1997,910780,200146,164588026,19356464,7752737,283547,203603798,160847588,1789401,114539,1903940
Europe,1998,829078,206955,155756639,19194873,7406931,267224,200497895,157237691,1782022,115773,1897795
