Entity,Year,Median,97.5th percentile,83rd percentile,17th percentile,2.5th percentile
Honduras,215,-0.554662546,-2.222945957,-1.26620295,0.044464153,0.75272144
Hungary,215,0.068015585,-0.534990744,-0.118542856,0.457775308,1.130477416
Iceland,215,0.66550443,-0.538163259,0.095637216,1.336806742,2.198049613
India,215,-0.660504933,-2.005511845,-1.240279907,-0.176860738,0.324008135
Indonesia,215,-0.584660226,-1.659760062,-1.081823124,-0.12158753,0.212442477
Iran,215,-0.119048517,-0.789516594,-0.382124221,0.01417036,0.192867124
Iraq,215,-0.587614798,-2.008187111,-1.212649421,-0.053684954,0.562293922
Italy,215,-0.004049661,-0.49326577,-0.15684741,0.110595456,0.398869478
Japan,215,-0.018057572,-0.388335336,-0.154689087,0.060781396,0.240717193
Jordan,215,-0.238134929,-1.019123842,-0.560974459,-0.023103767,0.192331113
Kazakhstan,215,0.416467562,-0.695867486,-0.061824409,1.056560271,1.938941087
Kenya,215,-0.313055005,-0.986792896,-0.604693827,-0.09180199,0.085939171
Kyrgyzstan,215,0.380687368,-0.511926495,-0.008808708,0.935452174,1.733653087
Laos,215,-0.53751237,-2.060750686,-1.183182118,-0.054085254,0.536726147
Latvia,215,0.313091603,-1.176755241,-0.282240995,1.077795884,2.184367212
Lebanon,215,-0.029240658,-0.482505758,-0.192961016,0.050938311,0.239221103
Lesotho,215,0.067201992,-0.237246955,-0.03908245,0.279540534,0.613856419
Liberia,215,-0.586737497,-1.426865665,-0.939078528,-0.30400626,0.028614741
Lithuania,215,0.268508769,-1.10291638,-0.267558148,0.961890642,2.031059726
Luxembourg,215,0.136108486,-0.538997605,-0.093474014,0.550024671,1.182367048
Macedonia,215,0.109698788,-0.37861737,-0.061494878,0.46107961,0.998892384
Madagascar,215,-0.350557141,-1.069419176,-0.66661384,-0.111543873,0.103057861
Malawi,215,-0.5375734,-1.762871286,-1.048819339,-0.123237999,0.341719022
Malaysia,215,-0.576861637,-1.856671669,-1.141551902,-0.09305649,0.41245212
Mali,215,-0.914833144,-2.670874732,-1.697990986,-0.266693407,0.365435874
Mauritania,215,-0.816232442,-2.215516219,-1.433866005,-0.275808913,0.299706029
Mauritius,215,-0.360644508,-1.107440096,-0.689620505,-0.0201791,0.150251048
Mexico,215,-0.256001805,-0.816570742,-0.488975281,-0.089004401,0.036074253
Moldova,215,0.121219477,-0.645537995,-0.132051156,0.587808094,1.34030216
Mongolia,215,0.842564399,-1.120784649,-0.049251814,1.838918236,3.101455276
Morocco,215,-0.169698569,-0.841838298,-0.442993977,0.002930274,0.219007005
Mozambique,215,-0.576598951,-1.748795282,-1.083221301,-0.148533298,0.313081759
Namibia,215,-0.470360651,-1.465938032,-0.898729811,-0.130371842,0.233002748
Nepal,215,-0.369756073,-1.4202376,-0.817508684,-0.025374302,0.388876976
Netherlands,215,0.104091556,-0.369570069,-0.062670078,0.423344829,0.939367558
New Zealand,215,0.032355952,-0.175698687,-0.039467462,0.137852479,0.303165483
Nicaragua,215,-0.688757764,-2.88253892,-1.667520447,0.252957168,1.330904921
Nigeria,215,-0.71240091,-1.821018087,-1.202774662,-0.304802425,0.102973482
Norway,215,0.393289188,-0.861065515,-0.149033421,1.096056696,2.00852338
Pakistan,215,-0.51336621,-1.974764195,-1.143697693,-0.025950941,0.533369569
Panama,215,-0.508763133,-1.810467144,-1.006621895,-0.065086038,0.583825105
Paraguay,215,-0.469500003,-2.533757791,-1.361730695,0.203262968,1.129834306
Peru,215,-0.072965861,-0.667087687,-0.279462546,0.025443171,0.219296782
Philippines,215,-0.469271171,-1.152511156,-0.763653957,-0.215530701,0.042037952
Poland,215,0.193919608,-0.762424129,-0.159495626,0.748112543,1.633579872
Portugal,215,-0.031103491,-0.394163329,-0.165718783,0.025170586,0.151069169
Romania,215,0.118208584,-0.603406142,-0.111844588,0.551605306,1.270220089
Russia,215,0.005085123,-0.009908813,-0.001808238,0.013504694,0.024177454
Rwanda,215,-0.339796473,-1.0213871,-0.62600081,-0.128036803,0.041312252
Saint Vincent and the Grenadines,215,-0.414018212,-1.346629849,-0.772932545,-0.125189711,0.311094749
Samoa,215,-0.394648905,-1.00481925,-0.662994345,-0.159449962,0.05631893
Saudi Arabia,215,-0.79313896,-2.434091273,-1.509684146,-0.1714255,0.50602245
Senegal,215,-0.59730743,-1.607754279,-1.026264321,-0.235112628,0.168797718
Serbia,215,0.087408825,-0.531927886,-0.12135322,0.481292759,1.134898525
Sierra Leone,215,-0.615010688,-1.456611437,-0.955583131,-0.33258752,0.032374208
Slovakia,215,0.197385372,-0.795543868,-0.161975835,0.769120205,1.627628401
Slovenia,215,0.170022271,-0.690883267,-0.144546424,0.669763268,1.411352217
Solomon Islands,215,-0.457777678,-0.936038908,-0.67259242,-0.277413502,-0.127091261
South Africa,215,-0.177676313,-0.798095224,-0.426146746,-0.019136573,0.121736339
South Korea,215,0.050627559,-0.219004521,-0.039240919,0.230994978,0.520795739
Spain,215,-0.045127537,-0.60131503,-0.250759083,0.043411022,0.242711085
Sri Lanka,215,-0.621732029,-2.217025133,-1.369984089,0.036907441,0.642443303
Sudan,215,-0.816702063,-2.727686743,-1.671536058,-0.063474585,0.806424987
Suriname,215,-0.621582123,-2.269568453,-1.370353403,0.027176893,0.766540532
Swaziland,215,-0.284268618,-1.155460191,-0.646576454,-0.014146398,0.273012382
Sweden,215,0.351109336,-0.770677173,-0.108904484,0.985488659,1.862176352
Switzerland,215,0.281415509,-0.875766756,-0.152820277,0.900498119,1.799366161
Tajikistan,215,0.062763245,-0.335500592,-0.062401067,0.325496943,0.801809588
Tanzania,215,-0.477995732,-1.272185035,-0.819450787,-0.209220918,0.045182232
Thailand,215,-0.670037231,-2.422289505,-1.414501008,-0.06439589,0.706508004
Togo,215,-0.702385647,-1.848869433,-1.205593875,-0.257719459,0.213731755
Trinidad and Tobago,215,-0.419651755,-1.226542919,-0.71349215,-0.179493253,0.258223039
Tunisia,215,-0.294549633,-1.218504449,-0.685972059,-0.011197445,0.304657413
Turkey,215,0.006482442,-0.401591496,-0.116132752,0.155043908,0.451485752
Turkmenistan,215,-0.104155548,-0.952108863,-0.417956826,0.046353304,0.317341234
Uganda,215,-0.491043401,-1.352778925,-0.870366771,-0.188425569,0.082486257
Ukraine,215,0.167273804,-0.712750055,-0.149224284,0.689589055,1.50184694
United Arab Emirates,215,-0.853389131,-2.574375421,-1.621667339,-0.193842241,0.498234794
United Kingdom,215,0.122512033,-0.344804274,-0.046925544,0.410723974,0.858822985
United States,215,-0.004133504,-0.439979468,-0.140085216,0.097137585,0.348763743
Uruguay,215,-0.170468562,-0.921647797,-0.472407887,0.022718848,0.302955565
Uzbekistan,215,-0.020688741,-0.650537895,-0.2358411,0.079976655,0.355808844
Vanuatu,215,-0.374070114,-1.123936402,-0.71714568,-0.092953027,0.160423504
Venezuela,215,-0.638448431,-2.304779847,-1.291503592,-0.101130076,0.634789593
Vietnam,215,-0.533096405,-2.067215539,-1.20597429,0.072596366,0.714502792
Zambia,215,-0.445733454,-1.468382108,-0.880711345,-0.112787008,0.247593962
Zimbabwe,215,-0.391353363,-1.483200245,-0.844875657,-0.041990788,0.356891728
