Entity,Year,Life expectancy,Population
Guatemala,1950,41.894,3115000
Guatemala,2015,73.25,16252000
Guatemala,2019,74.302,17581000
Guinea,1800,29.5,983959
Guinea,1950,32.536,3013000
Guinea,2015,59.598,11432000
Guinea,2019,61.602,12771000
Guinea-Bissau,1800,32,218167
Guinea-Bissau,1950,35.074,535000
Guinea-Bissau,2015,56.959,1737000
Guinea-Bissau,2019,58.322,1921000
Guyana,1800,31.12,166034
Guyana,1950,58.412,407000
Guyana,2015,69.262,767000
Guyana,2019,69.906,783000
Haiti,1800,29,723000
Haiti,1950,35.957,3221000
Haiti,2015,62.485,10696000
Haiti,2019,64.001,11263000
Honduras,1800,33.9,126118
Honduras,1950,40.847,1547000
Honduras,2015,74.495,9113000
Honduras,2019,75.27,9746000
Hong Kong,1800,34.9,20000
Hong Kong,1950,62.136,1974000
Hong Kong,2015,84.043,7186000
Hong Kong,2019,84.857,7436000
Hungary,1800,36,3499771
Hungary,1950,62.615,9338000
Hungary,2015,76.006,9778000
Hungary,2019,76.875,9685000
Iceland,1800,42.85,61428
Iceland,1950,71.668,143000
Iceland,2015,82.481,330000
Iceland,2019,82.993,339000
India,1800,25.44,168574896
India,1950,35.812,376324992
India,2015,68.607,1310151936
India,2019,69.656,1366418048
Indonesia,1800,30,16108545
Indonesia,1950,40.383,69543000
Indonesia,2015,70.768,258383008
Indonesia,2019,71.716,270625984
Iran,1800,25.6,6269721
Iran,1950,39.424,17119000
Iran,2015,75.796,78492000
Iran,2019,76.677,82914000
Iraq,1800,31.2,1076920
Iraq,1950,34.865,5719000
Iraq,2015,69.929,35572000
Iraq,2019,70.604,39310000
Ireland,1800,38.3,4064749
Ireland,1950,65.646,2913000
Ireland,2015,81.344,4652000
Ireland,2019,82.305,4882000
Isle of Man,1950,68.576,55000
Isle of Man,2015,80.82,83000
Isle of Man,2019,81.396,85000
Israel,1800,32,209954
Israel,1950,68.343,1258000
Israel,2015,82.34,7978000
Israel,2019,82.972,8519000
Italy,1800,29.69,18822234
Italy,1950,65.567,46599000
Italy,2015,82.828,60578000
Italy,2019,83.512,60550000
Jamaica,1800,34.2,401000
Jamaica,1950,57.349,1403000
Jamaica,2015,74.098,2891000
Jamaica,2019,74.475,2948000
Japan,1800,36.4,30294378
Japan,1950,61.152,82802000
Japan,2015,83.879,127985000
Japan,2019,84.629,126860000
Jordan,1800,31.7,217000
Jordan,1950,44.763,481000
Jordan,2015,74.078,9267000
Jordan,2019,74.526,10102000
Kazakhstan,1800,26.2,2041282
Kazakhstan,1950,54.173,6703000
Kazakhstan,2015,71.319,17572000
Kazakhstan,2019,73.597,18551000
Kenya,1800,25.5,2574000
Kenya,1950,41.802,6077000
Kenya,2015,64.798,47878000
Kenya,2019,66.699,52574000
Kiribati,1800,24.9,17876
Kiribati,1950,42.743,33000
Kiribati,2015,67.291,111000
Kiribati,2019,68.369,118000
Kuwait,1800,26,81280
Kuwait,1950,52.013,153000
Kuwait,2015,75.13,3836000
Kuwait,2019,75.489,4207000
Kyrgyzstan,1800,23.94,530343
Kyrgyzstan,1950,51.913,1740000
Kyrgyzstan,2015,70.876,5959000
Kyrgyzstan,2019,71.45,6416000
Laos,1800,31.9,470000
Laos,1950,40.34,1683000
Laos,2015,66.546,6741000
Laos,2019,67.923,7169000
Latvia,1800,33,590588
Latvia,1950,59.686,1927000
Latvia,2015,74.733,1998000
Latvia,2019,75.292,1907000
Lebanon,1800,29.7,332000
Lebanon,1950,59.586,1335000
Lebanon,2015,78.768,6533000
Lebanon,2019,78.93,6856000
Lesotho,1800,32.8,276361
Lesotho,1950,43.919,705000
Lesotho,2015,51.038,2059000
Lesotho,2019,54.331,2125000
Liberia,1800,31.1,313543
Liberia,1950,32.172,930000
Liberia,2015,62.269,4472000
Liberia,2019,64.104,4937000
Libya,1800,33.1,531472
Libya,1950,37.271,1125000
Libya,2015,72.121,6418000
Libya,2019,72.913,6777000
Liechtenstein,1950,66.46,14000
Liechtenstein,2015,82.039,37000
Liechtenstein,2019,82.494,38000
Lithuania,1800,28.9,778655
Lithuania,1950,57.65,2567000
Lithuania,2015,74.923,2932000
Lithuania,2019,75.933,2760000
Luxembourg,1800,36.9,127030
Luxembourg,1950,65.389,296000
Luxembourg,2015,81.636,567000
Luxembourg,2019,82.25,616000
Macao,1950,59.914,196000
Macao,2015,83.707,602000
Macao,2019,84.244,640000
Macedonia,1800,36.1,391865
Macedonia,1950,53.042,1254000
Macedonia,2015,75.406,2079000
Macedonia,2019,75.797,2083000
Madagascar,1800,30.5,1543133
Madagascar,1950,35.349,4084000
Madagascar,2015,65.539,24234000
Madagascar,2019,67.041,26969000
Malawi,1800,30.3,737000
Malawi,1950,34.483,2954000
Malawi,2015,61.953,16745000
Malawi,2019,64.263,18629000
Malaysia,1800,30.6,287000
Malaysia,1950,53.302,6110000
Malaysia,2015,75.461,30271000
Malaysia,2019,76.156,31950000
Maldives,1800,32.65,42378
Maldives,1950,34.12,74000
Maldives,2015,77.691,455000
Maldives,2019,78.921,531000
Mali,1800,26.41,1403398
Mali,1950,26.408,4708000
Mali,2015,57.509,17439000
Mali,2019,59.306,19658000
Malta,1800,28.7,134072
Malta,1950,64.125,312000
Malta,2015,81.896,434000
Malta,2019,82.53,440000
Marshall Islands,1950,54.393,13000
Marshall Islands,2015,72.789,57000
Marshall Islands,2019,73.696,59000
Martinique,1950,54.155,222000
Martinique,2015,81.753,378000
Martinique,2019,82.545,376000
Mauritania,1800,32,382696
Mauritania,1950,38.391,651000
Mauritania,2015,63.936,4046000
Mauritania,2019,64.925,4526000
Mauritius,1800,28.7,62865
Mauritius,1950,48.084,493000
Mauritius,2015,74.5,1259000
Mauritius,2019,74.991,1270000
Mayotte,1950,44.709,15000
Mayotte,2015,79.408,240000
Mayotte,2019,79.455,266000
Mexico,1800,26.9,6181708
Mexico,1950,48.55,27945000
Mexico,2015,74.904,121858000
Mexico,2019,75.054,127576000
Micronesia (country),1800,26.7,16416
Micronesia (country),1950,50.476,32000
Micronesia (country),2015,67.315,109000
Micronesia (country),2019,67.883,114000
Moldova,1800,33.15,712558
Moldova,1950,58.145,2341000
Moldova,2015,71.478,4071000
Moldova,2019,71.901,4043000
Monaco,1950,62.197,20000
Monaco,2015,85.739,38000
Monaco,2019,86.751,39000
Mongolia,1800,31.8,619000
Mongolia,1950,42.524,780000
Mongolia,2015,69.111,2998000
Mongolia,2019,69.87,3225000
Montenegro,1800,35.4,126582
Montenegro,1950,59.173,395000
Montenegro,2015,76.452,627000
Montenegro,2019,76.884,628000
Montserrat,1950,55.923,14000
Montserrat,2015,74.339,5000
Montserrat,2019,74.158,5000
Morocco,1800,33.1,2503218
Morocco,1950,45.037,8986000
Morocco,2015,75.726,34664000
Morocco,2019,76.68,36472000
Mozambique,1800,30.28,1982324
Mozambique,1950,33.756,5959000
Mozambique,2015,57.206,27042000
Mozambique,2019,60.854,30366000
Myanmar,1800,30.8,3506000
Myanmar,1950,34.018,17780000
Myanmar,2015,65.81,52681000
Myanmar,2019,67.134,54045000
Namibia,1800,32.4,229000
Namibia,1950,39.176,514000
Namibia,2015,62.119,2315000
Namibia,2019,63.708,2495000
Nauru,1950,43.709,3000
Nauru,2015,59.758,10000
Nauru,2019,59.962,11000
Nepal,1800,32.8,3881000
Nepal,1950,34.612,8483000
Nepal,2015,69.515,27015000
Nepal,2019,70.778,28609000
Netherlands,1800,39.86,2254522
Netherlands,1950,71.411,10042000
Netherlands,2015,81.715,16938000
Netherlands,2019,82.283,17097000
New Caledonia,1950,49.087,65000
New Caledonia,2015,76.827,271000
New Caledonia,2019,77.55,283000
New Zealand,1800,34.05,100000
New Zealand,1950,69.302,1908000
New Zealand,2015,81.713,4615000
New Zealand,2019,82.288,4783000
Nicaragua,1800,25.4,219387
Nicaragua,1950,41.079,1295000
Nicaragua,2015,73.649,6223000
Nicaragua,2019,74.485,6546000
Niger,1800,30.8,1244861
Niger,1950,34.415,2560000
Niger,2015,60.631,20002000
Niger,2019,62.42,23311000
Nigeria,1800,30.4,12100855
Nigeria,1950,33.129,37860000
Nigeria,2015,53.112,181136992
Nigeria,2019,54.687,200964000
Niue,1950,56.96,5000
Niue,2015,73.135,2000
Niue,2019,73.708,2000
North Korea,1800,26,4345000
North Korea,1950,29.717,10549000
North Korea,2015,71.481,25184000
North Korea,2019,72.274,25666000
Northern Mariana Islands,1950,53.525,7000
Northern Mariana Islands,2015,75.279,56000
Northern Mariana Islands,2019,76.735,57000
Norway,1800,37.92,868570
Norway,1950,72.335,3265000
Norway,2015,81.912,5200000
Norway,2019,82.404,5379000
Oceania,1950,57.729,12976000
Oceania,2015,77.92,39859000
Oceania,2019,78.71,42128000
Oman,1800,32.3,318000
Oman,1950,34.192,456000
Oman,2015,76.887,4267000
Oman,2019,77.861,4975000
Pakistan,1800,25.8,13123633
Pakistan,1950,35.091,37542000
Pakistan,2015,66.577,199427008
Pakistan,2019,67.273,216564992
Palau,1950,57.051,7000
Palau,2015,72.834,18000
Palau,2019,73.701,18000
Palestine,1800,32.1,165944
Palestine,1950,46.161,932000
Palestine,2015,73.442,4529000
Palestine,2019,74.053,4981000
Panama,1800,32.9,78842
Panama,1950,55.735,860000
Panama,2015,77.776,3968000
Panama,2019,78.506,4246000
Papua New Guinea,1800,31.5,754894
Papua New Guinea,1950,32.542,2002000
Papua New Guinea,2015,63.466,8108000
Papua New Guinea,2019,64.501,8776000
Paraguay,1800,35.5,143000
Paraguay,1950,62.683,1473000
Paraguay,2015,73.662,6689000
Paraguay,2019,74.254,7045000
Peru,1800,35.7,1314151
Peru,1950,43.452,7777000
Peru,2015,75.792,30471000
Peru,2019,76.736,32510000
Philippines,1800,30.9,1894389
Philippines,1950,54.881,18580000
Philippines,2015,70.644,102113000
Philippines,2019,71.231,108117000
Poland,1800,35.9,9508747
Poland,1950,59.14,24824000
Poland,2015,77.859,38034000
Poland,2019,78.73,37888000
Portugal,1800,35.6,3033454
Portugal,1950,59.528,8417000
Portugal,2015,81.224,10368000
Portugal,2019,82.049,10226000
Puerto Rico,1950,60.918,2218000
Puerto Rico,2015,79.52,3382000
Puerto Rico,2019,80.104,2933000
Qatar,1800,30.8,14092
Qatar,1950,53.631,25000
Qatar,2015,79.758,2566000
Qatar,2019,80.227,2832000
Reunion,1950,45.311,248000
Reunion,2015,79.775,863000
Reunion,2019,80.484,889000
Romania,1800,35.7,5464085
Romania,1950,61.108,16236000
Romania,2015,75.476,19925000
Romania,2019,76.054,19365000
Russia,1800,29.57,31088398
Russia,1950,55.241,102799000
Russia,2015,71.464,144984992
Russia,2019,72.584,145872000
Rwanda,1800,31.8,928368
Rwanda,1950,39.535,2186000
Rwanda,2015,67.45,11369000
Rwanda,2019,69.024,12627000
Saint Barthlemy,1950,51.555,2000
Saint Barthlemy,2015,81.114,10000
Saint Barthlemy,2019,82.023,10000
Saint Helena,1950,57.215,5000
Saint Helena,2015,80.202,6000
Saint Helena,2019,80.558,6000
Saint Kitts and Nevis,1950,50.99,46000
Saint Kitts and Nevis,2015,75.532,51000
Saint Kitts and Nevis,2019,76.226,53000
Saint Lucia,1800,28.01,24000
Saint Lucia,1950,48.812,83000
Saint Lucia,2015,75.596,179000
Saint Lucia,2019,76.203,183000
Saint Martin (French part),1950,51.66,3000
Saint Martin (French part),2015,81.092,36000
Saint Martin (French part),2019,82.076,38000
Saint Pierre and Miquelon,1950,59.386,5000
Saint Pierre and Miquelon,2015,80.533,6000
Saint Pierre and Miquelon,2019,81.068,6000
Saint Vincent and the Grenadines,1800,25.99,25781
Saint Vincent and the Grenadines,1950,51.743,67000
Saint Vincent and the Grenadines,2015,72.095,109000
Saint Vincent and the Grenadines,2019,72.534,111000
Samoa,1800,25.4,47300
Samoa,1950,53.726,82000
Samoa,2015,72.73,194000
Samoa,2019,73.321,197000
San Marino,1950,62.587,13000
San Marino,2015,84.375,33000
San Marino,2019,84.972,34000
Sao Tome and Principe,1800,31,22731
Sao Tome and Principe,1950,45.939,60000
Sao Tome and Principe,2015,69.377,199000
Sao Tome and Principe,2019,70.385,215000
Saudi Arabia,1800,32.1,2091000
Saudi Arabia,1950,40.972,3121000
Saudi Arabia,2015,74.651,31718000
Saudi Arabia,2019,75.133,34269000
Senegal,1800,25.2,1009886
Senegal,1950,34.508,2487000
Senegal,2015,66.747,14578000
Senegal,2019,67.941,16296000
Serbia,1800,35.5,2147197
Serbia,1950,58.175,6732000
Serbia,2015,75.309,8877000
Serbia,2019,76.001,8772000
Seychelles,1800,37,12522
Seychelles,1950,61.459,36000
Seychelles,2015,73.182,95000
Seychelles,2019,73.402,98000
Sierra Leone,1800,25.1,794264
Sierra Leone,1950,27.927,2041000
Sierra Leone,2015,52.941,7172000
Sierra Leone,2019,54.696,7813000
Singapore,1800,29.1,30000
Singapore,1950,58.39,1022000
Singapore,2015,82.877,5592000
Singapore,2019,83.62,5804000
Sint Maarten (Dutch part),1950,59.046,1000
Sint Maarten (Dutch part),2015,78.36,40000
Sint Maarten (Dutch part),2019,78.951,42000
Slovakia,1800,36.4,2140651
Slovakia,1950,62.238,3437000
Slovakia,2015,76.827,5436000
Slovakia,2019,77.542,5457000
Slovenia,1800,36.6,469664
Slovenia,1950,64.476,1473000
Slovenia,2015,80.673,2071000
Slovenia,2019,81.324,2079000
Solomon Islands,1800,25.1,56998
Solomon Islands,1950,40.285,90000
Solomon Islands,2015,72.173,603000
Solomon Islands,2019,72.996,670000
Somalia,1800,29.4,991488
Somalia,1950,33.18,2264000
Somalia,2015,55.92,13797000
Somalia,2019,57.397,15443000
South Africa,1800,33.5,1440820
South Africa,1950,43.604,13628000
South Africa,2015,62.649,55386000
South Africa,2019,64.131,58558000
South Korea,1800,25.8,9395000
South Korea,1950,35.573,19211000
South Korea,2015,82.1,50823000
South Korea,2019,83.033,51225000
South Sudan,1800,26.67,1027378
South Sudan,1950,26.718,2482000
South Sudan,2015,56.855,10716000
South Sudan,2019,57.846,11062000
Spain,1800,29.5,11549294
Spain,1950,63.094,28070000
Spain,2015,82.981,46672000
Spain,2019,83.565,46737000
Sri Lanka,1800,32.6,1213000
Sri Lanka,1950,52.483,7971000
Sri Lanka,2015,76.316,20908000
Sri Lanka,2019,76.978,21324000
Sudan,1800,31.4,3994154
Sudan,1950,43.418,5734000
Sudan,2015,64.429,38903000
Sudan,2019,65.311,42813000
Suriname,1800,32.9,80721
Suriname,1950,54.677,215000
Suriname,2015,71.249,559000
Suriname,2019,71.682,581000
Swaziland,1800,32.3,86000
Swaziland,1950,39.403,273000
Swaziland,2015,55.359,1104000
Swaziland,2019,60.194,1148000
Sweden,1800,32.16,2354189
Sweden,1950,71.334,7010000
Sweden,2015,82.251,9765000
Sweden,2019,82.797,10036000
Switzerland,1800,38,1826051
Switzerland,1950,68.667,4668000
Switzerland,2015,83.142,8297000
Switzerland,2019,83.779,8591000
Syria,1800,31.1,1337000
Syria,1950,46.436,3413000
Syria,2015,69.908,17997000
Syria,2019,72.697,17070000
Taiwan,1800,28.3,2000000
Taiwan,1950,55.557,7602000
Taiwan,2015,79.743,23557000
Taiwan,2019,80.456,23774000
Tajikistan,1800,24.24,466629
Tajikistan,1950,47.553,1532000
Tajikistan,2015,70.137,8454000
Tajikistan,2019,71.097,9321000
Tanzania,1800,32.2,3019768
Tanzania,1950,40.063,7650000
Tanzania,2015,63.111,51483000
Tanzania,2019,65.456,58005000
Thailand,1800,30.4,4665000
Thailand,1950,49.909,20710000
Thailand,2015,76.091,68715000
Thailand,2019,77.15,69626000
Timor,1800,28.95,137262
Timor,1950,28.955,415000
Timor,2015,68.459,1196000
Timor,2019,69.495,1293000
Togo,1800,31.3,445985
Togo,1950,33.927,1395000
Togo,2015,59.927,7323000
Togo,2019,61.042,8082000
Tokelau,1950,57.381,2000
Tokelau,2015,81.065,1000
Tokelau,2019,81.86,1000
Tonga,1800,28.2,18658
Tonga,1950,56.142,47000
Tonga,2015,70.517,101000
Tonga,2019,70.907,104000
Trinidad and Tobago,1800,32.9,60000
Trinidad and Tobago,1950,56.768,646000
Trinidad and Tobago,2015,72.941,1370000
Trinidad and Tobago,2019,73.507,1395000
Tunisia,1800,28.8,862029
Tunisia,1950,38.293,3605000
Tunisia,2015,75.922,11180000
Tunisia,2019,76.699,11695000
Turkey,1800,35,9773456
Turkey,1950,40.176,21408000
Turkey,2015,76.532,78529000
Turkey,2019,77.691,83430000
Turkmenistan,1800,24,367215
Turkmenistan,1950,50.422,1211000
Turkmenistan,2015,67.704,5565000
Turkmenistan,2019,68.191,5942000
Turks and Caicos Islands,1950,53.749,5000
Turks and Caicos Islands,2015,79.594,36000
Turks and Caicos Islands,2019,80.222,38000
Tuvalu,1950,44.615,5000
Tuvalu,2015,66.457,11000
Tuvalu,2019,67.567,12000
Uganda,1800,25.3,2101397
Uganda,1950,39.035,5158000
Uganda,2015,61.373,38225000
Uganda,2019,63.368,44270000
Ukraine,1800,36.6,11215490
Ukraine,1950,59.051,37298000
