Entity,Year,Total wealth per capita,Produced capital,"Natural capital, renewable (excluding sub-soil assets)","Forest, timber","Forest, non-timber",Protected areas,Cropland,Pastureland,"Sub-soil assets (fossil energy resources, metals and minerals)","Fossil energy resources (oil, natural gas, coal)",Oil,Natural gas,Coal,Metals and minerals,Human capital,"Human capital, male","Human capital, female",Net foreign assets,Adjusted net national income,Adjusted net saving,GDP,Gross national income,"Natural capital (timber, non-timber, protected areas, land, sub-soil assets)","Land (crop, pasture)"
Armenia,2010,45944.64,15920.97,8381.97,85.40,81.55,1880.38,2797.39,3537.24,1052.17,0.00,0.00,0.00,0.00,1052.17,23020.09,15859.47,7160.63,-2430.56,2957.19,225.41,3261.43,3422.84,9434.14,6334.64
Armenia,2014,52893.84,15450.82,10552.17,183.04,80.59,2634.67,3257.10,4396.77,2149.77,0.00,0.00,0.00,0.00,2149.77,27329.41,18841.38,8488.03,-2588.32,3469.92,-41.68,3861.92,4041.81,12701.94,7653.87
Australia,1995,688270.63,203166.84,86005.61,2309.19,67379.83,1476.57,5217.36,9622.67,13540.59,4053.31,1782.31,424.65,1846.35,9487.28,409659.93,268358.46,141301.47,-24102.35,34534.03,3204.26,43483.63,41985.24,99546.20,14840.03
Australia,2000,739021.08,217113.94,82113.53,2243.36,63651.00,1388.70,6902.00,7928.46,16110.13,4873.55,2900.79,438.60,1534.16,11236.58,447624.94,293387.11,154237.83,-23941.46,40013.94,3531.86,50500.11,49040.92,98223.66,14830.46
Australia,2005,864772.29,281795.32,79595.41,2277.11,59218.68,2040.02,6687.61,9371.99,34630.62,13080.82,3250.09,918.93,8911.80,21549.79,499529.08,323292.10,176236.98,-30778.13,43412.54,3590.80,55621.60,53552.99,114226.03,16059.60
Australia,2010,998606.30,311345.85,70124.36,2378.42,52916.17,2151.69,5079.08,7599.00,107682.94,32682.73,6269.84,2304.57,24108.32,75000.21,548781.70,342599.47,206182.23,-39328.55,45903.72,4728.79,59267.28,56965.08,177807.30,12678.07
Australia,2014,1046785.26,311442.43,65749.57,1626.04,50190.04,2034.60,5400.70,6498.19,115042.54,25475.34,3360.29,1865.67,20249.39,89567.19,585737.46,365584.90,220152.56,-31186.74,48111.89,5166.94,62004.99,60347.75,180792.11,11898.89
Austria,1995,531269.26,171927.37,16588.73,845.23,4973.69,3096.85,2500.64,5172.31,188.60,188.60,106.17,73.51,8.92,0.00,348599.19,226216.47,122382.73,-6034.63,32748.70,,39209.84,39011.39,16777.33,7672.95
Austria,2000,560869.30,199895.73,13795.32,845.63,4974.58,2593.42,1805.44,3576.25,193.06,193.06,119.99,70.97,2.10,0.00,356413.44,232277.20,124136.24,-9428.24,37293.57,,45145.35,44686.13,13988.38,5381.69
Austria,2005,569649.23,212560.31,13526.00,826.81,4860.23,2675.12,1764.76,3399.08,347.97,303.82,179.57,116.16,8.09,44.15,353572.26,224639.11,128933.15,-10357.31,39625.70,6586.21,47870.56,47720.09,13873.97,5163.84
Austria,2010,643473.56,243213.01,14210.28,1008.02,4792.62,3079.82,1935.18,3394.64,876.45,379.73,234.69,145.04,0.00,496.72,389435.41,238295.03,151140.39,-4261.59,41806.58,6614.92,50220.23,50642.21,15086.73,5329.82
Austria,2014,694616.19,256743.88,15258.33,945.82,4701.40,3704.30,2243.77,3663.03,1007.21,396.36,268.50,127.86,0.00,610.85,421845.75,267268.22,154577.53,-238.98,42117.11,6605.50,51322.62,51427.40,16265.54,5906.80
Azerbaijan,1995,28149.25,12658.60,4614.91,2.20,143.83,270.75,2739.91,1458.23,5435.21,5435.21,3305.09,2130.12,0.00,0.00,5590.51,3423.42,2167.10,-149.99,1170.84,-376.71,1566.32,1559.37,10050.12,4198.13
Azerbaijan,2000,22262.31,9167.69,4419.92,1.77,138.93,363.93,1566.57,2348.71,3974.24,3974.24,2787.41,1186.83,0.00,0.00,6020.25,3680.62,2339.63,-1319.79,1150.62,-579.66,2103.83,1990.03,8394.16,3915.29
Azerbaijan,2005,44340.28,12503.73,6146.07,2.15,134.07,722.54,2585.51,2701.80,19133.16,19132.25,17031.78,2100.47,0.00,0.91,9238.95,5709.89,3529.06,-2681.63,2272.64,484.31,3798.91,3326.69,25279.23,5287.31
Azerbaijan,2010,69076.15,10892.37,8768.19,0.71,142.83,1265.59,3864.85,3494.19,32250.89,32174.54,28238.17,3936.37,0.00,76.35,12200.25,7630.95,4569.30,4964.44,5007.84,1527.15,7525.59,7032.42,41019.08,7359.05
Azerbaijan,2014,85340.62,20061.24,9997.00,8.40,149.74,1905.06,3628.62,4305.18,35938.12,35811.18,31238.39,4572.79,0.00,126.94,11960.71,7556.95,4403.77,7383.55,6057.65,1620.06,7886.46,7615.81,45935.12,7933.80
Bahrain,1995,315831.88,120853.38,1203.21,0.56,0.56,14.14,375.76,812.20,12011.29,12011.29,8030.32,3980.96,0.00,0.00,157655.61,92022.33,65633.28,24108.39,20998.93,1453.71,24446.81,24200.05,13214.50,1187.95
Bahrain,2000,277561.76,84454.32,836.53,0.50,0.60,18.26,338.34,478.83,8800.65,8800.65,5925.39,2875.27,0.00,0.00,164512.09,96236.25,68275.84,18958.17,21511.54,3362.95,25527.96,24897.93,9637.18,817.17
Bahrain,2005,279132.92,90039.18,376.53,0.29,0.55,14.56,157.60,203.54,8361.52,8361.52,5740.78,2620.74,0.00,0.00,162911.64,94359.68,68551.96,17444.04,21733.15,6352.72,25251.18,24597.63,8738.05,361.14
Bahrain,2010,253852.58,76034.44,359.31,0.27,0.45,12.67,169.93,175.99,12523.58,12523.58,5930.91,6592.66,0.00,0.00,147588.95,82455.95,65133.00,17346.31,18414.59,4578.58,22747.37,20647.97,12882.89,345.93
Bahrain,2014,270310.66,76788.06,575.77,0.38,0.46,12.44,206.31,356.18,13451.23,13451.23,5994.05,7457.18,0.00,0.00,157679.38,89588.80,68090.58,21816.22,17332.87,1703.78,24515.00,20356.20,14027.00,562.49
Bangladesh,1995,5667.39,1426.03,1373.12,3.00,7.65,15.50,995.22,351.75,11.18,11.18,0.21,10.97,0.00,0.00,3061.19,2391.56,669.63,-204.14,497.78,60.06,525.69,541.72,1384.30,1346.97
Bangladesh,2000,5788.46,1362.61,1085.40,1.97,6.84,26.36,752.92,297.30,17.71,17.71,0.00,17.71,0.00,0.00,3496.02,2731.27,764.75,-173.28,569.79,103.67,600.36,619.84,1103.11,1050.23
Bangladesh,2005,7029.42,1568.56,1164.08,1.87,6.23,24.67,819.61,311.70,65.01,65.01,0.00,64.76,0.26,0.00,4437.77,3391.50,1046.27,-206.00,677.21,158.21,706.51,737.82,1229.09,1131.31
Bangladesh,2010,10536.67,2533.65,1924.31,3.48,5.82,28.97,1350.68,535.36,123.47,123.47,0.00,116.73,6.74,0.00,6130.55,5033.96,1096.59,-175.31,880.58,249.21,894.24,966.67,2047.78,1886.04
Bangladesh,2014,12713.77,3434.48,2149.01,4.28,5.51,28.93,1501.05,609.25,85.04,85.04,0.00,77.75,7.29,0.00,7169.60,5883.50,1286.10,-124.37,1055.18,296.75,1086.80,1159.23,2234.05,2110.30
Belarus,1995,49348.97,20529.93,15728.95,1103.44,1944.52,1171.76,5383.47,6125.76,202.44,202.44,195.16,7.28,0.00,0.00,13071.33,6598.36,6472.97,-183.68,1894.08,-45.44,2440.44,2431.54,15931.39,11509.23
Belarus,2000,57428.95,19254.93,14571.31,1035.08,2047.29,1083.39,4654.50,5751.04,301.19,301.19,290.34,10.85,0.00,0.00,23938.61,12625.24,11313.37,-637.08,2856.96,228.82,3385.43,3373.02,14872.50,10405.55
Belarus,2005,69619.46,22393.32,14089.94,667.07,2155.82,1107.05,4023.55,6136.44,645.03,645.03,621.47,23.57,0.00,0.00,33165.05,17398.82,15766.23,-673.88,4488.48,1041.27,5019.47,5028.69,14734.97,10159.99
Belarus,2010,94140.12,28915.33,17510.90,701.59,2220.70,1467.26,5005.56,8115.79,830.94,830.94,812.40,18.54,0.00,0.00,50493.16,27096.66,23396.50,-3610.20,6447.74,1362.80,7263.90,7110.96,18341.84,13121.35
Belarus,2014,99685.45,33388.20,20714.70,1112.07,2245.21,1410.48,5370.89,10576.04,1167.05,1167.05,1142.60,24.45,0.00,0.00,49003.62,26319.22,22684.40,-4588.11,7080.73,1749.16,8032.49,7782.95,21881.75,15946.93
Belgium,1995,463528.99,138586.98,6031.12,227.30,751.72,162.22,2290.72,2599.17,2.91,2.91,0.00,0.24,2.67,0.00,313740.79,193437.43,120303.36,5167.19,32413.06,,37476.68,38278.32,6034.03,4889.89
Belgium,2000,533134.44,159216.90,5438.26,240.25,737.74,230.51,2069.85,2159.91,0.05,0.05,0.00,0.05,0.00,0.00,343429.59,211710.48,131719.11,25049.63,36661.15,,42734.20,43808.55,5438.31,4229.76
Belgium,2005,542256.91,175584.60,5226.95,222.13,729.20,288.99,2335.87,1650.76,0.00,0.00,0.00,0.00,0.00,0.00,347800.14,209442.88,138357.25,13645.23,38228.32,6528.15,45738.51,46275.05,5226.95,3986.63
Belgium,2010,612261.77,201723.34,4826.68,219.64,708.57,414.02,2153.40,1331.03,0.00,0.00,0.00,0.00,0.00,0.00,375720.31,216225.20,159495.12,29991.44,39543.35,5975.77,47131.23,48616.77,4826.68,3484.44
Belgium,2014,645968.92,211872.66,5012.84,232.89,689.18,473.64,2157.61,1459.53,0.00,0.00,0.00,0.00,0.00,0.00,404997.32,229506.25,175491.07,24086.10,38284.74,4200.26,47346.80,47598.06,5012.84,3617.14
Belize,1995,62457.93,10699.74,33021.48,576.66,14711.38,10444.99,6540.73,747.73,0.00,0.00,,,0.00,0.00,20343.08,12917.20,7425.88,-1606.37,3442.73,793.84,3766.31,3635.68,33021.48,7288.46
Belize,2000,59152.93,11965.72,26625.40,392.06,11683.75,8170.73,5870.04,508.82,0.06,0.00,,,0.00,0.06,23034.52,14258.26,8776.27,-2472.78,3343.68,26.88,4222.60,3952.51,26625.46,6378.86
Belize,2005,59757.29,13404.16,26149.85,297.31,9901.34,10681.52,4614.21,655.46,281.85,281.85,281.75,0.10,0.00,0.00,25739.37,15895.57,9843.80,-5817.94,3571.46,-192.44,4776.05,4285.56,26431.70,5269.68
Belize,2010,58177.18,14723.19,25511.15,381.09,8566.50,11092.66,4800.00,670.90,646.94,646.94,646.76,0.17,0.00,0.00,24260.35,14843.93,9416.42,-6964.45,3351.93,-256.37,4782.24,4327.74,26158.09,5470.90
Belize,2014,58871.92,12302.62,27970.63,526.71,7720.42,13650.80,5256.47,816.23,1864.55,1864.55,1853.81,10.74,0.00,0.00,23988.59,14637.95,9350.64,-7254.47,3675.82,-15.66,4884.37,4492.57,29835.18,6072.70
Bolivia,1995,39484.28,5053.29,12675.30,24.18,4828.83,1596.10,2604.58,3621.61,453.41,424.74,236.26,188.48,0.00,28.67,22715.02,14072.62,8642.40,-1412.73,1797.39,,2028.16,1961.35,13128.71,6226.19
Bolivia,2000,41667.65,5807.30,12153.89,19.93,4284.95,1922.55,2727.71,3198.75,534.99,509.13,297.05,212.08,0.00,25.86,25355.60,15970.95,9384.65,-2184.13,1894.13,,2179.34,2120.83,12688.88,5926.46
Bolivia,2005,41719.01,5517.26,14122.11,13.80,3827.49,2987.43,2951.90,4341.49,2407.37,2354.98,1211.64,1143.34,0.00,52.39,21587.99,11654.42,9933.56,-1915.72,1864.64,,2318.96,2227.56,16529.48,7293.39
Bolivia,2010,47709.07,5446.25,15309.47,19.24,3370.14,3794.01,3122.53,5003.55,4467.84,3579.24,2041.71,1537.53,0.00,888.60,22276.86,13011.75,9265.11,208.65,2121.24,,2670.93,2553.48,19777.31,8126.08
Bolivia,2014,49235.46,6626.45,14205.51,19.44,3099.67,3483.39,3329.43,4273.57,3321.81,1939.01,825.64,1113.37,0.00,1382.80,24805.08,14518.12,10286.97,276.61,2308.94,,3124.09,2962.49,17527.32,7603.00
Bosnia and Herzegovina,1995,10827.79,3312.91,4031.52,15.51,1090.66,1.95,1612.74,1310.65,156.76,130.96,0.00,0.00,130.96,25.79,3615.73,1954.64,1661.08,-289.13,730.42,,895.97,779.81,4188.28,2923.39
Bosnia and Herzegovina,2000,26318.71,7459.09,5878.29,797.38,1109.16,3.42,2248.55,1719.77,51.07,39.45,0.00,0.00,39.45,11.62,13480.94,7419.47,6061.46,-550.67,3266.46,259.75,3110.48,3443.73,5929.36,3968.32
Bosnia and Herzegovina,2005,32848.25,10339.32,5782.22,640.27,1097.45,40.69,2296.84,1706.97,699.90,492.52,0.00,0.00,492.52,207.38,17304.96,9548.20,7756.76,-1278.16,3866.45,76.61,4060.27,4229.54,6482.12,4003.81
Bosnia and Herzegovina,2010,38596.71,12694.14,6355.74,598.30,1096.91,97.39,2436.50,2126.64,2250.42,1357.48,0.00,0.00,1357.48,892.94,19978.58,11126.82,8851.76,-2682.18,4153.63,-74.42,4668.06,4744.04,8606.16,4563.14
Bosnia and Herzegovina,2014,40485.79,13842.20,6690.04,671.94,1101.99,122.44,2841.27,1952.41,2302.34,1066.82,0.00,0.00,1066.82,1235.52,20242.92,11356.00,8886.92,-2591.72,4211.87,-127.38,4852.32,4888.31,8992.38,4793.67
Botswana,1995,73518.08,10844.46,21788.19,445.41,9376.78,3985.23,325.29,7655.47,415.37,179.81,0.00,0.00,179.81,235.56,37256.32,18087.78,19168.54,3213.74,3536.46,926.56,4171.10,4142.50,22203.56,7980.76
Botswana,2000,61123.67,11184.65,17597.49,472.37,8127.77,3419.75,274.67,5302.95,332.48,110.87,0.00,0.00,110.87,221.60,28361.87,13856.22,14505.65,3647.18,4013.04,1562.36,4876.18,4579.51,17929.97,5577.61
Botswana,2005,64390.62,13330.86,14670.16,413.99,7214.53,2605.39,397.12,4039.14,1036.64,190.31,0.00,0.00,190.31,846.32,31397.65,15457.60,15940.06,3955.31,3934.88,1659.65,5427.39,4970.75,15706.80,4436.26
Botswana,2010,89331.33,19473.26,18384.88,558.44,6241.39,4280.76,669.45,6634.84,7238.31,351.38,0.00,0.00,351.38,6886.94,40741.27,20207.35,20533.92,3493.61,4460.95,1416.43,6174.25,5908.88,25623.19,7304.30
Botswana,2014,95797.42,19908.05,22142.35,585.48,5550.16,6003.89,699.07,9303.75,3997.70,345.82,0.00,0.00,345.82,3651.88,47087.41,23522.81,23564.59,2661.91,5382.92,2268.44,7153.45,6997.69,26140.05,10002.82
Brazil,1995,152726.14,30169.11,21989.70,1276.14,9826.14,2142.01,3999.28,4746.12,1465.74,486.50,472.63,10.15,3.71,979.24,100346.84,60970.08,39376.76,-1245.25,7412.23,584.38,8644.76,8339.04,23455.44,8745.40
Brazil,2000,151375.47,30516.62,20257.03,990.98,8881.08,2467.85,3822.96,4094.16,1555.65,660.59,644.86,14.85,0.88,895.06,102643.01,57510.48,45132.53,-3596.83,7219.01,72.04,8877.45,8491.00,21812.68,7917.12
Brazil,2005,176869.09,33408.52,24484.45,1315.26,8051.96,4362.90,5440.48,5313.86,4934.95,2160.41,2096.09,51.60,12.72,2774.54,117260.46,65353.26,51907.20,-3219.29,7674.49,440.68,9549.99,9176.33,29419.40,10754.34
Brazil,2010,194390.91,35284.20,26162.10,1199.51,7516.28,6131.43,5411.75,5903.12,9021.83,2612.97,2512.68,72.54,27.75,6408.86,128520.60,72721.03,55799.57,-4597.82,9037.04,633.64,11279.16,10948.02,35183.93,11314.88
Brazil,2014,197899.23,32067.09,28167.18,1436.64,7186.86,7251.22,6313.47,5978.99,8811.15,2881.58,2782.78,74.21,24.59,5929.57,132712.63,75385.19,57327.44,-3858.82,8900.67,-299.31,11917.77,11681.89,36978.33,12292.46
Bulgaria,1995,34556.01,11886.99,8569.61,574.10,1095.02,243.37,2916.02,3741.11,789.09,188.16,15.74,7.25,165.18,600.92,14826.67,8859.02,5967.65,-1516.35,3535.97,136.06,4068.82,3934.32,9358.70,6657.13
Bulgaria,2000,41244.37,6944.03,9409.91,517.37,1134.70,442.94,3477.31,3837.59,785.94,79.50,14.63,6.89,57.98,706.44,25641.22,14669.33,10971.88,-1536.73,3620.64,-88.10,4315.40,4209.25,10195.85,7314.90
Bulgaria,2005,56904.85,12361.07,9657.87,460.90,1309.42,1701.50,3041.26,3144.78,1175.89,469.19,26.98,15.47,426.74,706.70,36297.33,20765.69,15531.64,-2587.30,5232.07,161.03,6108.81,6125.92,10833.76,6186.04
Bulgaria,2010,68903.23,19822.87,9986.18,489.80,1388.00,2896.16,2958.39,2253.83,3352.04,1077.85,48.08,69.22,960.55,2274.19,43293.68,23688.95,19604.74,-7551.53,6043.54,536.59,7362.43,7209.05,13338.22,5212.21
Bulgaria,2014,81877.86,23185.53,13224.03,501.57,1447.14,4922.66,4043.23,2309.43,3459.42,888.58,57.28,66.87,764.44,2570.84,47592.76,25776.17,21816.59,-5583.88,6577.92,735.61,7853.34,7785.28,16683.45,6352.66
Burkina Faso,1995,8466.33,1413.46,4955.04,754.46,52.05,1092.88,1349.22,1706.42,8.49,0.00,,,0.00,8.49,2193.20,897.18,1296.03,-103.87,334.90,,394.89,393.22,4963.53,3055.65
Burkina Faso,2000,9919.42,1469.86,5175.49,966.83,43.18,1164.76,1193.01,1807.71,1.50,0.00,,,0.00,1.50,3522.38,2389.13,1133.25,-249.80,433.36,,475.42,471.79,5176.99,3000.72
Burkina Faso,2005,10496.62,1375.28,4691.08,552.80,35.56,1079.70,1402.23,1620.80,6.86,0.00,,,0.00,6.86,4623.25,3346.35,1276.90,-199.85,496.36,12.73,559.84,557.73,4697.94,3023.03
Burkina Faso,2010,11671.02,1516.06,5294.33,637.56,28.99,1167.46,1763.37,1696.95,189.90,0.00,,,0.00,189.90,4800.15,3487.29,1312.86,-129.42,512.44,26.65,628.17,627.72,5484.23,3460.32
Burkina Faso,2014,12323.38,1753.96,5020.79,598.07,24.67,1036.27,1892.78,1468.99,734.14,0.00,,,0.00,734.14,4969.97,3617.44,1352.52,-155.48,529.78,-9.70,696.86,676.44,5754.93,3361.78
Burundi,1995,12409.84,2433.35,5059.02,131.19,17.18,74.58,4350.16,485.91,4.42,0.00,,,0.00,4.42,5099.92,3162.45,1937.47,-186.87,199.54,-100.52,323.66,319.65,5063.44,4836.06
Burundi,2000,10408.90,982.79,4915.09,93.58,12.88,67.00,4447.38,294.26,0.00,0.00,,,0.00,0.00,4833.33,3021.15,1812.18,-322.31,197.14,-84.04,277.74,282.30,4915.09,4741.63
Burundi,2005,10663.25,976.69,4478.29,70.02,10.04,81.92,4040.11,276.20,8.47,0.00,,,0.00,8.47,5468.12,3420.68,2047.44,-268.32,149.20,-64.91,263.82,259.64,4486.76,4316.31
Burundi,2010,8383.77,595.43,3648.00,96.51,11.77,87.73,3190.37,261.61,18.57,0.00,,,0.00,18.57,4188.17,2599.21,1588.96,-66.39,175.23,-69.34,275.61,273.96,3666.57,3451.98
Burundi,2014,7579.09,486.04,2688.92,102.61,11.05,71.42,2308.86,194.97,14.90,0.00,,,0.00,14.90,4496.12,2782.47,1713.65,-106.88,212.78,-27.77,286.00,286.01,2703.82,2503.84
Cambodia,1995,6421.98,861.28,2869.53,505.07,207.81,616.02,1154.21,386.41,0.00,0.00,0.00,0.00,0.00,0.00,2801.76,1602.75,1199.01,-110.58,343.29,-21.83,386.37,379.54,2869.53,1540.62
Cambodia,2000,7871.15,1149.32,3772.36,541.50,171.80,1398.61,1318.82,341.63,0.00,0.00,0.00,0.00,0.00,0.00,3053.63,1958.31,1095.32,-104.16,430.16,26.58,482.06,466.21,3772.36,1660.45
Cambodia,2005,8273.03,1391.36,2936.86,361.02,146.22,655.37,1543.19,231.06,0.00,0.00,0.00,0.00,0.00,0.00,4076.36,2676.42,1399.94,-131.55,600.96,33.31,689.92,658.42,2936.86,1774.25
Cambodia,2010,12772.39,1661.79,5420.59,467.66,127.55,1275.67,3118.43,431.29,0.00,0.00,0.00,0.00,0.00,0.00,5796.23,4014.52,1781.70,-106.22,743.19,11.79,883.82,843.35,5420.59,3549.72
Cambodia,2014,16932.63,2211.66,7700.30,591.75,113.49,2138.65,4156.35,700.06,0.00,0.00,0.00,0.00,0.00,0.00,7337.50,5108.71,2228.78,-316.83,912.72,47.23,1094.58,1032.45,7700.30,4856.41
Cameroon,1995,23515.18,3981.32,7375.09,1113.22,509.99,881.90,1976.01,2893.98,465.56,464.89,464.89,0.00,0.00,0.67,12770.19,8514.21,4255.99,-1076.98,886.32,-1.40,1085.89,1020.25,7840.65,4869.98
Cameroon,2000,23950.67,3845.66,6910.91,1105.01,424.88,1064.16,2109.76,2207.10,463.59,463.17,463.17,0.00,0.00,0.41,13518.22,9011.01,4507.21,-787.72,910.03,-44.38,1193.13,1116.89,7374.50,4316.86
Cameroon,2005,24219.94,3784.86,6967.12,779.81,354.76,1497.36,2599.32,1735.87,608.63,603.60,603.60,0.00,0.00,5.03,13329.32,4996.19,8333.14,-469.99,1028.19,19.44,1257.69,1220.64,7575.75,4335.18
Cameroon,2010,26123.85,3599.86,10181.33,979.11,295.97,2573.26,4216.90,2116.09,606.92,588.20,573.14,15.06,0.00,18.72,11761.37,5135.97,6625.40,-25.63,1050.12,-43.62,1278.06,1263.78,10788.25,6332.99
Cameroon,2014,31397.89,3768.27,13025.13,1086.03,255.78,3586.54,5414.43,2682.34,532.19,504.42,479.29,25.13,0.00,27.77,14413.89,8318.68,6095.21,-341.58,1158.64,-66.53,1407.40,1394.69,13557.32,8096.78
Canada,1995,778812.18,137145.05,20175.21,2267.26,8498.77,3318.90,2971.61,3118.66,8412.33,7175.15,2734.52,3179.05,1261.59,1237.19,628814.30,356824.11,271990.20,-15734.71,30169.69,2898.40,37849.37,36541.32,28587.54,6090.27
Canada,2000,848542.15,150484.58,22104.31,2263.93,8102.26,4634.76,3756.21,3347.14,9474.29,8553.32,2515.41,4937.66,1100.25,920.97,669031.44,381900.67,287130.77,-2552.47,34521.76,3963.34,43963.63,42806.28,31578.60,7103.35
Canada,2005,891926.60,172935.20,19688.42,1711.18,7710.51,4219.94,3062.19,2984.60,25280.28,23859.40,14725.93,7852.68,1280.79,1420.88,679648.38,388516.85,291131.54,-5625.69,38230.93,4997.55,47533.40,46558.23,44968.70,6046.79
Canada,2010,949092.18,209506.37,21691.25,1028.73,7320.80,6338.68,3869.15,3133.89,35034.95,29685.08,22005.29,5190.36,2489.44,5349.87,691134.42,395064.11,296070.31,-8274.80,38504.38,2892.76,47801.28,46854.09,56726.20,7003.04
Canada,2014,1016593.09,229998.97,24523.26,919.44,7000.00,8573.70,5091.72,2938.39,27915.23,22421.46,20114.10,252.05,2055.31,5493.77,730831.93,417072.80,313759.13,3323.71,40599.43,4022.72,50440.34,49613.77,52438.49,8030.11
Central African Republic,1995,15457.44,1542.59,12640.03,1138.82,506.15,4955.54,1807.96,4231.55,1.16,0.00,,,0.00,1.16,1603.79,917.53,686.26,-330.13,492.99,,540.60,530.43,12641.19,6039.51
Central African Republic,2000,18188.63,1807.92,15292.93,1521.88,451.58,6534.18,2371.94,4413.36,0.17,0.00,,,0.00,0.17,1524.70,891.94,632.77,-437.10,475.31,,517.48,510.09,15293.10,6785.31
Central African Republic,2005,18585.23,1865.42,15565.72,1306.57,413.44,6928.10,2494.30,4423.32,0.27,0.00,,,0.00,0.27,1542.20,921.26,620.94,-388.39,484.24,,520.71,516.77,15565.99,6917.62
Central African Republic,2010,21421.75,2319.65,18104.63,1347.34,375.90,8123.60,2718.50,5539.29,2.67,0.00,,,0.00,2.67,1223.34,737.21,486.13,-228.55,506.39,,556.95,559.65,18107.30,8257.79
Central African Republic,2014,21055.26,2432.60,17973.12,1260.80,346.81,7100.64,2369.04,6895.82,5.34,0.00,,,0.00,5.34,845.83,510.87,334.96,-201.63,294.67,,354.45,355.95,17978.46,9264.86
Chad,1995,14555.82,2736.48,8172.33,1277.14,98.37,1143.56,2154.35,3498.91,0.00,0.00,,,0.00,0.00,3960.87,3376.82,584.06,-313.86,481.62,,514.21,512.38,8172.33,5653.26
Chad,2000,14644.94,2466.94,8373.56,1260.53,80.15,1153.75,2349.03,3530.10,0.00,0.00,,,0.00,0.00,4313.52,3677.66,635.86,-509.08,447.30,,490.65,484.46,8373.56,5879.13
