Entity,Year,Fat supply (FAO (2017)),Caloric supply (FAO (2017)),Protein supply (FAO (2017))
Europe,2004,122.03,3314,99.44
Europe,2005,123.93,3331,100.08
Europe,2006,125.89,3350,100.78
Europe,2007,126.96,3364,101.93
Europe,2008,127.8,3373,102.03
Europe,2009,127.24,3357,101.92
Europe,2010,128.57,3353,102.05
Europe,2011,128.6,3370,102.08
Europe,2012,128.64,3362,102.15
Europe,2013,128.96,3367,102.06
Northern America,1961,109.91,2873,94.85
Northern America,1962,108.98,2857,94.21
Northern America,1963,110.62,2864,95.33
Northern America,1964,113.7,2914,96.8
Northern America,1965,112.71,2923,96.36
Northern America,1966,114.25,2951,97.86
Northern America,1967,116.13,2975,98.28
Northern America,1968,117.41,2995,99.21
Northern America,1969,117.75,3029,98.8
Northern America,1970,119.28,3023,97.95
Northern America,1971,119.32,3040,98.79
Northern America,1972,121.28,3050,98.38
Northern America,1973,116.58,3033,97.14
Northern America,1974,118.38,3025,97.03
Northern America,1975,117.34,3019,97.11
Northern America,1976,125.53,3150,100.83
Northern America,1977,122.94,3122,99.08
Northern America,1978,126.1,3134,98.91
Northern America,1979,127.52,3186,99.64
Northern America,1980,127.63,3156,97.78
Northern America,1981,131.38,3188,99.91
Northern America,1982,129.93,3168,98.88
Northern America,1983,133.72,3199,99.77
Northern America,1984,135.91,3248,100.83
Northern America,1985,141.73,3347,104.16
Northern America,1986,137.56,3326,103.64
Northern America,1987,139.57,3420,106.34
Northern America,1988,140.26,3414,105.96
Northern America,1989,136.96,3395,105.8
Northern America,1990,137.94,3447,106.7
Northern America,1991,139.79,3475,108.17
Northern America,1992,141.24,3513,108.61
Northern America,1993,142.23,3557,109.01
Northern America,1994,144.05,3620,111.8
Northern America,1995,139.77,3543,110.32
Northern America,1996,137.25,3554,110.41
Northern America,1997,139.99,3623,111.12
Northern America,1998,143.37,3638,111.96
Northern America,1999,146.54,3656,114.04
Northern America,2000,153.71,3730,113.48
Northern America,2001,153.88,3687,112.02
Northern America,2002,158.2,3755,113.47
Northern America,2003,157.59,3751,113.52
Northern America,2004,160.25,3781,114.43
Northern America,2005,162.96,3793,113.81
Northern America,2006,160.59,3753,113.5
Northern America,2007,161.38,3730,113.82
Northern America,2008,159.84,3676,112.08
Northern America,2009,157.87,3625,110.13
Northern America,2010,158.76,3630,109.98
Northern America,2011,160.51,3632,108.15
Northern America,2012,160.92,3667,109.18
Northern America,2013,160.1,3663,109.13
Oceania,1961,107.75,3021,100.07
Oceania,1962,108.88,3045,102.84
Oceania,1963,108.72,3087,103.77
Oceania,1964,108.49,3071,104.34
Oceania,1965,108.12,3039,101.93
Oceania,1966,109.23,3108,105.02
Oceania,1967,108.76,3048,100.29
Oceania,1968,108.79,3058,101.68
Oceania,1969,109.25,3062,102.01
Oceania,1970,110.97,3077,100.71
Oceania,1971,113.69,3115,103.51
Oceania,1972,118.05,3145,104.59
Oceania,1973,114.06,3055,102.08
Oceania,1974,108.52,2992,97.67
Oceania,1975,112.26,3055,107.92
Oceania,1976,112.49,3086,109.44
Oceania,1977,109.84,3035,105.36
Oceania,1978,109.61,3000,106.68
Oceania,1979,110.37,2980,100.52
Oceania,1980,111.87,3020,99.6
Oceania,1981,113.05,3015,99.17
Oceania,1982,114.07,3055,102.75
Oceania,1983,113.03,2987,98.89
Oceania,1984,113.51,3039,101.73
Oceania,1985,115.57,3064,102.8
Oceania,1986,118.52,3051,102.43
Oceania,1987,120.4,3073,103.61
Oceania,1988,120.39,3071,103.08
Oceania,1989,122.92,3077,102.09
Oceania,1990,126.31,3139,105.23
Oceania,1991,125.54,3092,102.09
Oceania,1992,127.9,3092,99.78
Oceania,1993,125.94,3037,99.79
Oceania,1994,122.75,3038,100.73
Oceania,1995,122.51,3078,104.25
Oceania,1996,121.73,3062,101.44
Oceania,1997,123.39,3084,100.17
Oceania,1998,120.4,3019,97.7
Oceania,1999,124.71,3014,97.47
Oceania,2000,124.42,2995,96.7
Oceania,2001,127.48,3032,96.77
Oceania,2002,125.5,3057,99.93
Oceania,2003,125.19,3078,103.82
Oceania,2004,128.17,3044,97.87
Oceania,2005,130.77,3086,100.36
Oceania,2006,135.46,3126,100.38
Oceania,2007,136.25,3161,103.32
Oceania,2008,133.97,3168,101.85
Oceania,2009,135.41,3162,99.07
Oceania,2010,137.51,3169,99.24
Oceania,2011,139.87,3187,102.47
Oceania,2012,142.22,3201,100.27
Oceania,2013,141.06,3216,101.58
South America,1961,48.89,2329,62.88
South America,1962,50.81,2357,62.9
South America,1963,50,2320,63
South America,1964,50.45,2383,63.21
South America,1965,51.28,2404,64.02
South America,1966,53.91,2390,63.9
South America,1967,53.37,2416,64.87
South America,1968,55.76,2466,65.79
South America,1969,55.74,2479,65.21
South America,1970,55.08,2467,64.73
South America,1971,54.24,2468,64.36
South America,1972,54.53,2433,62.68
South America,1973,54.69,2407,62.28
South America,1974,59.21,2501,63.66
South America,1975,59.5,2520,64.54
South America,1976,59.39,2548,64.52
South America,1977,62.4,2560,64.63
South America,1978,65.07,2588,64.9
South America,1979,66.46,2654,66.44
South America,1980,68.61,2666,67.2
South America,1981,68.35,2624,66.75
South America,1982,66.78,2610,65.87
South America,1983,66.26,2576,64.47
South America,1984,66.28,2578,65.01
South America,1985,67.78,2595,65.4
South America,1986,69.61,2607,65.66
South America,1987,71.67,2640,66.37
South America,1988,73.64,2636,65.76
South America,1989,73.58,2621,65.89
South America,1990,72.99,2599,65.16
South America,1991,76.15,2658,67.45
South America,1992,76.67,2683,68.36
South America,1993,76.55,2687,69.58
South America,1994,77.16,2724,71.62
South America,1995,78.52,2731,72.94
South America,1996,79.04,2745,75.51
South America,1997,80.39,2749,74.86
South America,1998,81.17,2742,74.75
South America,1999,86.92,2768,76.1
South America,2000,89.17,2792,76.6
South America,2001,88.68,2797,76.73
South America,2002,87.77,2769,75.86
South America,2003,88.91,2853,77.79
South America,2004,90.45,2866,77.14
South America,2005,89.04,2875,77.53
South America,2006,91.42,2895,78.98
South America,2007,93.27,2914,80.05
South America,2008,96.79,2973,82.49
South America,2009,95.71,2956,81.89
South America,2010,97.57,2990,83.71
South America,2011,99.36,3027,85.66
South America,2012,100.25,3012,85.29
South America,2013,101.27,3027,86.09
World,1961,47.52,2196,61.46
World,1962,48.85,2243,62.56
World,1963,49.9,2254,62.83
World,1964,50.57,2287,63.3
World,1965,51.24,2310,63.49
World,1966,51.88,2327,63.75
World,1967,52.4,2330,63.89
World,1968,52.98,2334,64.02
World,1969,52.69,2343,63.82
World,1970,53.5,2389,64.69
World,1971,53.55,2365,64.22
World,1972,53.79,2352,63.93
World,1973,53.92,2389,64.62
World,1974,54.55,2381,64.38
World,1975,54.53,2396,64.95
World,1976,55.33,2389,64.64
World,1977,55.81,2418,65.05
World,1978,57.46,2477,66.54
World,1979,58.3,2476,66.58
World,1980,59.5,2490,66.73
World,1981,60.41,2501,67.39
World,1982,60.93,2531,67.63
World,1983,61.76,2575,68.88
World,1984,62.64,2584,69.08
World,1985,64.03,2587,69.46
World,1986,64.45,2589,69.84
World,1987,65.12,2607,70.3
World,1988,66.41,2624,70.74
World,1989,67.06,2635,70.9
World,1990,67.35,2621,70.47
World,1991,66.85,2601,70.17
World,1992,67,2610,70.08
World,1993,67.29,2616,70.77
World,1994,68.56,2639,71.93
World,1995,69.35,2663,72.63
World,1996,69.69,2673,73.09
World,1997,70.4,2687,73.4
World,1998,71.31,2701,73.94
World,1999,72.38,2715,74.52
World,2000,73.55,2727,75.04
World,2001,73.41,2725,74.96
World,2002,74.36,2728,75.08
World,2003,74.95,2735,75.41
World,2004,75.82,2747,75.63
World,2005,77.14,2761,76.07
World,2006,78.45,2779,76.79
World,2007,79.82,2807,78.11
World,2008,80.14,2825,78.73
World,2009,80.91,2825,78.88
World,2010,81.74,2850,80.06
World,2011,82.41,2869,80.5
World,2012,82.83,2874,80.78
World,2013,82.76,2884,81.23
