Entity,Year,Correlates of War,Conflict Catalogue – Total,Conflict Catalogue – Military only,PRIO–UCDP
"death rate (per 100,000)",1451,,.64910626,0,
"death rate (per 100,000)",1452,,.6479516,0,
"death rate (per 100,000)",1453,,.64678836,0,
"death rate (per 100,000)",1454,,2.1042316,0,
"death rate (per 100,000)",1455,,.57976186,0,
"death rate (per 100,000)",1456,,.57869291,0,
"death rate (per 100,000)",1457,,.3683553,0,
"death rate (per 100,000)",1458,,.33918238,0,
"death rate (per 100,000)",1459,,2.8970861,0,
"death rate (per 100,000)",1460,,2.7024033,0,
"death rate (per 100,000)",1461,,3.1692038,0,
"death rate (per 100,000)",1462,,1.7027224,0,
"death rate (per 100,000)",1463,,.57101667,0,
"death rate (per 100,000)",1464,,.56989413,0,
"death rate (per 100,000)",1465,,3.0133245,0,
"death rate (per 100,000)",1466,,1.9089892,0,
"death rate (per 100,000)",1467,,1.4293923,0,
"death rate (per 100,000)",1468,,1.5894223,0,
"death rate (per 100,000)",1469,,1.1581432,0,
"death rate (per 100,000)",1470,,1.1557685,0,
"death rate (per 100,000)",1471,,1.5951971,0,
"death rate (per 100,000)",1472,,1.672676,0,
"death rate (per 100,000)",1473,,1.1508847,0,
"death rate (per 100,000)",1474,,1.7576159,0,
"death rate (per 100,000)",1475,,4.0247798,0,
"death rate (per 100,000)",1476,,3.8749511,0,
"death rate (per 100,000)",1477,,2.3591886,0,
"death rate (per 100,000)",1478,,1.8609065,0,
"death rate (per 100,000)",1479,,.48418039,0,
"death rate (per 100,000)",1480,,1.6245472,0,
"death rate (per 100,000)",1481,,1.369657,0,
"death rate (per 100,000)",1482,,1.6784214,0,
"death rate (per 100,000)",1483,,1.7310637,0,
"death rate (per 100,000)",1484,,.84250468,0,
"death rate (per 100,000)",1485,,.86626947,0,
"death rate (per 100,000)",1486,,.38759285,0,
"death rate (per 100,000)",1487,,.33086455,0,
"death rate (per 100,000)",1488,,.57976955,0,
"death rate (per 100,000)",1489,,2.2686784,0,
"death rate (per 100,000)",1490,,2.3670342,0,
"death rate (per 100,000)",1491,,.67910784,0,
"death rate (per 100,000)",1492,,.65229756,0,
"death rate (per 100,000)",1493,,.22828887,.0079328185,
"death rate (per 100,000)",1494,,.54960728,0,
"death rate (per 100,000)",1495,,2.8421364,0,
"death rate (per 100,000)",1496,,.88801998,0,
"death rate (per 100,000)",1497,,1.2643108,0,
"death rate (per 100,000)",1498,,.84027487,0,
"death rate (per 100,000)",1499,,.50695091,.17381175,
"death rate (per 100,000)",1500,,6.401258,.17339751,
"death rate (per 100,000)",1501,,6.3210793,.17298278,
"death rate (per 100,000)",1502,,6.9341292,.1727834,
"death rate (per 100,000)",1503,,6.1831374,.17215231,
"death rate (per 100,000)",1504,,.97317505,0,
"death rate (per 100,000)",1505,,.25698179,0,
"death rate (per 100,000)",1506,,1.6449668,0,
"death rate (per 100,000)",1507,,.76720625,0,
"death rate (per 100,000)",1508,,2.7070293,.70864642,
"death rate (per 100,000)",1509,,1.4074742,.70691824,
"death rate (per 100,000)",1510,,1.6850562,.70519197,
"death rate (per 100,000)",1511,,1.3781174,.016883234,
"death rate (per 100,000)",1512,,4.5373788,0,
"death rate (per 100,000)",1513,,4.279861,.02100087,
"death rate (per 100,000)",1514,,5.1262112,.031424157,
"death rate (per 100,000)",1515,,4.6643457,0,
"death rate (per 100,000)",1516,,4.8266473,0,
"death rate (per 100,000)",1517,,1.0832127,0,
"death rate (per 100,000)",1518,,1.0326415,0,
"death rate (per 100,000)",1519,,7.693687,.13796212,
"death rate (per 100,000)",1520,,7.3767118,.13762523,
"death rate (per 100,000)",1521,,10.08392,1.1669616,
"death rate (per 100,000)",1522,,14.53096,12.325978,
"death rate (per 100,000)",1523,,4.2561312,1.0246685,
"death rate (per 100,000)",1524,,20.143824,1.0221832,
"death rate (per 100,000)",1525,,32.535534,1.0197097,
"death rate (per 100,000)",1526,,19.663414,1.8310473,
"death rate (per 100,000)",1527,,12.61329,.81184012,
"death rate (per 100,000)",1528,,3.9070549,.80989218,
"death rate (per 100,000)",1529,,2.5652583,1.5351151,
"death rate (per 100,000)",1530,,2.6659446,1.5314572,
"death rate (per 100,000)",1531,,2.146992,1.527822,
"death rate (per 100,000)",1532,,3.1286421,1.5242102,
"death rate (per 100,000)",1533,,3.8904936,1.5206228,
"death rate (per 100,000)",1534,,2.0382838,0,
"death rate (per 100,000)",1535,,2.1043296,0,
"death rate (per 100,000)",1536,,8.7554331,0,
"death rate (per 100,000)",1537,,10.897576,0,
"death rate (per 100,000)",1538,,4.5636191,0,
"death rate (per 100,000)",1539,,.29598388,0,
"death rate (per 100,000)",1540,,.38193893,0,
"death rate (per 100,000)",1541,,22.157631,0,
"death rate (per 100,000)",1542,,26.844662,5.0305157,
"death rate (per 100,000)",1543,,6.0034165,5.019361,
"death rate (per 100,000)",1544,,6.8083825,5.2766185,
"death rate (per 100,000)",1545,,.83235627,.26771694,
"death rate (per 100,000)",1546,,1.6555716,.26713735,
"death rate (per 100,000)",1547,,2.8660963,.26656401,
"death rate (per 100,000)",1548,,2.1296208,0,
"death rate (per 100,000)",1549,,1.5805542,0,
"death rate (per 100,000)",1550,,2.5468876,0,
"death rate (per 100,000)",1551,,4.2934513,3.6526377,
"death rate (per 100,000)",1552,,4.5239549,3.6451726,
"death rate (per 100,000)",1553,,4.2786717,3.6378038,
"death rate (per 100,000)",1554,,4.7898598,3.6305332,
"death rate (per 100,000)",1555,,4.5896959,3.6233623,
"death rate (per 100,000)",1556,,1.6496401,0,
"death rate (per 100,000)",1557,,3.4162986,.69653666,
"death rate (per 100,000)",1558,,3.035274,.69521248,
"death rate (per 100,000)",1559,,3.2599838,.69390881,
"death rate (per 100,000)",1560,,2.0286386,0,
"death rate (per 100,000)",1561,,2.5128977,0,
"death rate (per 100,000)",1562,,4.0047035,.56464678,
"death rate (per 100,000)",1563,,3.3870118,.56364977,
"death rate (per 100,000)",1564,,2.0619786,0,
"death rate (per 100,000)",1565,,2.2456946,0,
"death rate (per 100,000)",1566,,6.5741844,4.4861436,
"death rate (per 100,000)",1567,,2.8310618,.27992231,
"death rate (per 100,000)",1568,,2.8716207,.27947015,
"death rate (per 100,000)",1569,,1.9636441,0,
"death rate (per 100,000)",1570,,3.6024511,1.7644341,
"death rate (per 100,000)",1571,,9.902215,1.7617559,
"death rate (per 100,000)",1572,,8.2267885,1.7591412,
"death rate (per 100,000)",1573,,8.4269457,1.7565907,
"death rate (per 100,000)",1574,,4.5431881,0,
"death rate (per 100,000)",1575,,1.205031,0,
"death rate (per 100,000)",1576,,1.5716926,0,
"death rate (per 100,000)",1577,,2.264473,0,
"death rate (per 100,000)",1578,,5.9881849,0,
"death rate (per 100,000)",1579,,2.5565975,.24458666,
"death rate (per 100,000)",1580,,5.7709107,.24429487,
"death rate (per 100,000)",1581,,2.0583048,.24401297,
"death rate (per 100,000)",1582,,2.4155297,0,
"death rate (per 100,000)",1583,,1.0296686,0,
"death rate (per 100,000)",1584,,.59079492,0,
"death rate (per 100,000)",1585,,1.0275853,0,
"death rate (per 100,000)",1586,,1.7548778,0,
"death rate (per 100,000)",1587,,2.8022544,0,
"death rate (per 100,000)",1588,,3.5111187,0,
"death rate (per 100,000)",1589,,3.8202047,0,
"death rate (per 100,000)",1590,,3.8444629,0,
"death rate (per 100,000)",1591,,3.3611519,0,
"death rate (per 100,000)",1592,,3.2211416,0,
"death rate (per 100,000)",1593,,4.3831944,0,
"death rate (per 100,000)",1594,,5.8006654,0,
"death rate (per 100,000)",1595,,5.7613392,0,
"death rate (per 100,000)",1596,,5.2522788,0,
"death rate (per 100,000)",1597,,4.5608354,0,
"death rate (per 100,000)",1598,,4.9022326,0,
"death rate (per 100,000)",1599,,4.1577182,0,
"death rate (per 100,000)",1600,,4.7326441,0,
"death rate (per 100,000)",1601,,4.4156485,0,
"death rate (per 100,000)",1602,,4.2794499,0,
"death rate (per 100,000)",1603,,4.1164393,0,
"death rate (per 100,000)",1604,,4.5128794,0,
"death rate (per 100,000)",1605,,3.9864893,0,
"death rate (per 100,000)",1606,,3.9976895,0,
"death rate (per 100,000)",1607,,2.838165,0,
"death rate (per 100,000)",1608,,2.2686665,0,
"death rate (per 100,000)",1609,,2.2688832,0,
"death rate (per 100,000)",1610,,1.3667964,0,
"death rate (per 100,000)",1611,,1.3670179,0,
"death rate (per 100,000)",1612,,1.0288451,0,
"death rate (per 100,000)",1613,,1.0290725,0,
"death rate (per 100,000)",1614,,2.1986074,0,
"death rate (per 100,000)",1615,,2.424998,0,
"death rate (per 100,000)",1616,,1.5810057,0,
"death rate (per 100,000)",1617,,2.4852238,0,
"death rate (per 100,000)",1618,,57.072392,12.090554,
"death rate (per 100,000)",1619,,64.93988,12.094821,
"death rate (per 100,000)",1620,,56.800026,12.099277,
"death rate (per 100,000)",1621,,59.71067,12.103897,
"death rate (per 100,000)",1622,,58.93689,12.10866,
"death rate (per 100,000)",1623,,49.695484,12.113544,
"death rate (per 100,000)",1624,,49.986019,12.118523,
"death rate (per 100,000)",1625,,80.352539,12.123577,
"death rate (per 100,000)",1626,,80.386391,12.128685,
"death rate (per 100,000)",1627,,82.188057,12.13382,
"death rate (per 100,000)",1628,,82.783615,12.138963,
"death rate (per 100,000)",1629,,82.954773,12.144088,
"death rate (per 100,000)",1630,,50.182499,12.149175,
"death rate (per 100,000)",1631,,50.966122,12.154199,
"death rate (per 100,000)",1632,,51.652328,12.159138,
"death rate (per 100,000)",1633,,51.650116,12.163969,
"death rate (per 100,000)",1634,,51.670067,12.168668,
"death rate (per 100,000)",1635,,53.781273,12.173213,
"death rate (per 100,000)",1636,,53.982677,12.177582,
"death rate (per 100,000)",1637,,55.777287,12.181748,
"death rate (per 100,000)",1638,,55.430889,12.185692,
"death rate (per 100,000)",1639,,53.962109,12.18939,
"death rate (per 100,000)",1640,,53.940819,12.192818,
"death rate (per 100,000)",1641,,53.979004,12.195953,
"death rate (per 100,000)",1642,,54.139362,12.198772,
"death rate (per 100,000)",1643,,54.150364,12.201251,
"death rate (per 100,000)",1644,,62.79768,12.203368,
"death rate (per 100,000)",1645,,63.584114,12.252555,
"death rate (per 100,000)",1646,,63.543549,12.206424,
"death rate (per 100,000)",1647,,61.813961,12.207315,
"death rate (per 100,000)",1648,,81.539925,17.136787,
"death rate (per 100,000)",1649,,27.594894,4.929018,
"death rate (per 100,000)",1650,,9.6083593,0,
"death rate (per 100,000)",1651,,13.258165,0,
"death rate (per 100,000)",1652,,15.570071,0,
"death rate (per 100,000)",1653,,15.126307,0,
"death rate (per 100,000)",1654,,12.8616,0,
"death rate (per 100,000)",1655,,10.497208,0,
"death rate (per 100,000)",1656,,11.252666,0,
"death rate (per 100,000)",1657,,14.82476,.72901297,
"death rate (per 100,000)",1658,,13.333527,.72869217,
"death rate (per 100,000)",1659,,12.41951,0,
"death rate (per 100,000)",1660,,11.655088,0,
"death rate (per 100,000)",1661,,12.302593,0,
"death rate (per 100,000)",1662,,11.927241,0,
"death rate (per 100,000)",1663,,4.2907867,0,
"death rate (per 100,000)",1664,,5.9567156,0,
"death rate (per 100,000)",1665,,6.9788046,0,
"death rate (per 100,000)",1666,,5.6299906,0,
"death rate (per 100,000)",1667,,4.4571385,0,
"death rate (per 100,000)",1668,,1.5091755,0,
"death rate (per 100,000)",1669,,1.3268675,0,
"death rate (per 100,000)",1670,,1.262092,0,
"death rate (per 100,000)",1671,,1.0803438,0,
"death rate (per 100,000)",1672,,11.940084,0,
"death rate (per 100,000)",1673,,11.922097,0,
"death rate (per 100,000)",1674,,9.0800095,0,
"death rate (per 100,000)",1675,,8.0268774,0,
"death rate (per 100,000)",1676,,7.8340378,0,
"death rate (per 100,000)",1677,,8.2473507,.42790455,
"death rate (per 100,000)",1678,,8.438818,.42706737,
"death rate (per 100,000)",1679,,.98852628,.426191,
"death rate (per 100,000)",1680,,.63200569,.42527485,
"death rate (per 100,000)",1681,,.6305843,.4243184,
"death rate (per 100,000)",1682,,.20578106,0,
"death rate (per 100,000)",1683,,4.6195755,0,
"death rate (per 100,000)",1684,,4.4030037,0,
"death rate (per 100,000)",1685,,3.9536834,0,
"death rate (per 100,000)",1686,,3.9427123,0,
"death rate (per 100,000)",1687,,4.2794213,0,
"death rate (per 100,000)",1688,,13.983796,0,
"death rate (per 100,000)",1689,,14.320819,0,
"death rate (per 100,000)",1690,,13.895231,0,
"death rate (per 100,000)",1691,,13.848702,0,
"death rate (per 100,000)",1692,,13.800659,0,
"death rate (per 100,000)",1693,,14.071032,0,
"death rate (per 100,000)",1694,,14.018746,0,
"death rate (per 100,000)",1695,,14.494091,.84673387,
"death rate (per 100,000)",1696,,15.521684,.98393404,
"death rate (per 100,000)",1697,,15.458035,.97989935,
"death rate (per 100,000)",1698,,4.7541251,.97575182,
"death rate (per 100,000)",1699,,4.5945807,.83270651,
"death rate (per 100,000)",1700,,6.8577356,6.8577356,
"death rate (per 100,000)",1701,,20.204506,6.0008078,
"death rate (per 100,000)",1702,,20.239468,5.9721689,
"death rate (per 100,000)",1703,,20.92474,5.9429007,
"death rate (per 100,000)",1704,,20.819613,5.913043,
"death rate (per 100,000)",1705,,20.712549,5.8826356,
"death rate (per 100,000)",1706,,20.603683,5.8517165,
"death rate (per 100,000)",1707,,22.645947,5.8203244,
"death rate (per 100,000)",1708,,22.522112,5.7884974,
"death rate (per 100,000)",1709,,20.140989,5.7562723,
"death rate (per 100,000)",1710,,20.039215,5.7236857,
"death rate (per 100,000)",1711,,20.23698,5.6907744,
"death rate (per 100,000)",1712,,19.060949,5.6575737,
"death rate (per 100,000)",1713,,18.948235,5.6241183,
"death rate (per 100,000)",1714,,20.229176,5.5904431,
"death rate (per 100,000)",1715,,7.3766699,5.556581,
"death rate (per 100,000)",1716,,8.8755322,6.9147139,
"death rate (per 100,000)",1717,,9.8149357,6.871974,
"death rate (per 100,000)",1718,,11.278638,6.8291225,
"death rate (per 100,000)",1719,,6.550828,5.4199262,
"death rate (per 100,000)",1720,,6.4353085,5.3856177,
"death rate (per 100,000)",1721,,5.3513126,5.3513126,
"death rate (per 100,000)",1722,,.29243714,0,
"death rate (per 100,000)",1723,,.29055545,0,
"death rate (per 100,000)",1724,,0,0,
"death rate (per 100,000)",1725,,0,0,
"death rate (per 100,000)",1726,,0,0,
"death rate (per 100,000)",1727,,0,0,
"death rate (per 100,000)",1728,,0,0,
"death rate (per 100,000)",1729,,.037255809,.037255809,
"death rate (per 100,000)",1730,,.037013479,.037013479,
"death rate (per 100,000)",1731,,.036773097,.036773097,
"death rate (per 100,000)",1732,,0,0,
"death rate (per 100,000)",1733,,3.8567507,0,
"death rate (per 100,000)",1734,,3.8319345,0,
"death rate (per 100,000)",1735,,3.8073936,0,
"death rate (per 100,000)",1736,,9.6937475,0,
"death rate (per 100,000)",1737,,6.6338801,0,
"death rate (per 100,000)",1738,,6.5921936,0,
"death rate (per 100,000)",1739,,7.2324138,0,
"death rate (per 100,000)",1740,,6.471127,0,
"death rate (per 100,000)",1741,,6.8629222,.43138614,
"death rate (per 100,000)",1742,,6.8213844,.42877516,
"death rate (per 100,000)",1743,,5.7832465,.42621022,
"death rate (per 100,000)",1744,,6.4714007,.040166084,
"death rate (per 100,000)",1745,,6.5952401,.039932095,
"death rate (per 100,000)",1746,,4.8109603,.039702892,
"death rate (per 100,000)",1747,,4.6276183,.039478615,
"death rate (per 100,000)",1748,,4.601922,.0392594,
"death rate (per 100,000)",1749,,.034638353,.031137448,
"death rate (per 100,000)",1750,,.034453202,.030971009,
"death rate (per 100,000)",1751,,.034272827,.030808866,
"death rate (per 100,000)",1752,,.034097105,.030650904,
"death rate (per 100,000)",1753,,.033925854,.030496962,
"death rate (per 100,000)",1754,,.038747903,.035335883,
"death rate (per 100,000)",1755,,39.956146,23.973637,
"death rate (per 100,000)",1756,,54.565777,23.928156,
"death rate (per 100,000)",1757,,54.309414,23.817209,
"death rate (per 100,000)",1758,,14.69155,.095868051,
"death rate (per 100,000)",1759,,14.664795,.13426661,
"death rate (per 100,000)",1760,,14.561869,.095021829,
"death rate (per 100,000)",1761,,14.513015,.089780726,
"death rate (per 100,000)",1762,,14.478366,0,
"death rate (per 100,000)",1763,,14.807734,.38958082,
"death rate (per 100,000)",1764,,.40641692,.38798705,
"death rate (per 100,000)",1765,,.78718996,.38642481,
"death rate (per 100,000)",1766,,.53358352,.15269051,
"death rate (per 100,000)",1767,,.53149837,.15209383,
"death rate (per 100,000)",1768,,1.2698396,.15150772,
"death rate (per 100,000)",1769,,1.2650108,.15093158,
"death rate (per 100,000)",1770,,1.0840143,0,
"death rate (per 100,000)",1771,,2.9821217,0,
"death rate (per 100,000)",1772,,2.9376659,0,
"death rate (per 100,000)",1773,,2.9492509,0,
"death rate (per 100,000)",1774,,6.2653913,0,
"death rate (per 100,000)",1775,,3.6264203,.041436035,
"death rate (per 100,000)",1776,,2.7327373,.041289259,
"death rate (per 100,000)",1777,,.52877623,.041143972,
"death rate (per 100,000)",1778,,1.0171044,.041000027,
"death rate (per 100,000)",1779,,1.0135628,.040857267,
"death rate (per 100,000)",1780,,1.2380542,.040715545,
"death rate (per 100,000)",1781,,1.2946339,.040574715,
"death rate (per 100,000)",1782,,1.2901641,.040434629,
"death rate (per 100,000)",1783,,1.2454184,0,
"death rate (per 100,000)",1784,,.16731717,0,
"death rate (per 100,000)",1785,,.1067131,0,
"death rate (per 100,000)",1786,,1.9141867,0,
"death rate (per 100,000)",1787,,3.3823507,0,
"death rate (per 100,000)",1788,,8.1227789,0,
"death rate (per 100,000)",1789,,9.0414257,0,
"death rate (per 100,000)",1790,,8.3174458,0,
"death rate (per 100,000)",1791,,22.350725,5.6512465,
"death rate (per 100,000)",1792,,28.809019,5.6310225,
"death rate (per 100,000)",1793,,29.930546,5.610693,
"death rate (per 100,000)",1794,,29.765621,5.59024,
"death rate (per 100,000)",1795,,29.38306,5.5696454,
"death rate (per 100,000)",1796,,29.030478,5.548893,
"death rate (per 100,000)",1797,,26.672325,5.5279651,
"death rate (per 100,000)",1798,,38.474613,5.5068455,
"death rate (per 100,000)",1799,,36.330143,5.4855175,
"death rate (per 100,000)",1800,,34.26786,5.4639654,
"death rate (per 100,000)",1801,,33.279587,5.4421778,
"death rate (per 100,000)",1802,,32.422543,5.4201612,
"death rate (per 100,000)",1803,,43.76548,14.968579,
"death rate (per 100,000)",1804,,45.230251,14.906348,
"death rate (per 100,000)",1805,,44.7654,14.843575,
"death rate (per 100,000)",1806,,62.747768,14.123272,
"death rate (per 100,000)",1807,,48.877853,14.062334,
"death rate (per 100,000)",1808,,49.022766,14.000961,
"death rate (per 100,000)",1809,,62.715702,13.939181,
"death rate (per 100,000)",1810,,51.847794,13.877021,
"death rate (per 100,000)",1811,,45.156818,13.814507,
"death rate (per 100,000)",1812,,67.199509,13.871617,
"death rate (per 100,000)",1813,,73.826973,13.855685,
"death rate (per 100,000)",1814,,74.02372,13.791496,
"death rate (per 100,000)",1815,,41.863995,13.679741,
"death rate (per 100,000)",1816,1.4418608,6.490355,0,
"death rate (per 100,000)",1817,1.9828866,1.6007484,.70304048,
"death rate (per 100,000)",1818,2.2785943,9.4260664,.69967753,
"death rate (per 100,000)",1819,1.0155027,5.7856498,0,
"death rate (per 100,000)",1820,1.1568621,3.3502989,.73912472,
"death rate (per 100,000)",1821,1.4461874,6.3066559,1.5016795,
"death rate (per 100,000)",1822,1.1417483,3.4493549,1.2198398,
"death rate (per 100,000)",1823,1.59584,3.1971381,1.3617473,
"death rate (per 100,000)",1824,1.7237886,3.0680273,1.2643992,
"death rate (per 100,000)",1825,5.0691485,4.1793532,2.1669126,
"death rate (per 100,000)",1826,7.3537059,8.8590765,2.6941168,
"death rate (per 100,000)",1827,5.6897302,5.5888572,1.8663386,
"death rate (per 100,000)",1828,10.475872,11.204168,7.8822265,
"death rate (per 100,000)",1829,9.570013,9.9380283,7.761209,
"death rate (per 100,000)",1830,4.7092166,4.2472882,2.30565,
"death rate (per 100,000)",1831,4.601337,3.0008826,1.9849516,
"death rate (per 100,000)",1832,.89284712,2.3534555,.96004611,
"death rate (per 100,000)",1833,.52050722,2.1475034,1.308247,
"death rate (per 100,000)",1834,2.2271543,3.2942181,2.1623113,
"death rate (per 100,000)",1835,1.8402226,.78112346,.5150668,
"death rate (per 100,000)",1836,2.0485547,1.1391444,.55499423,
"death rate (per 100,000)",1837,2.8084447,1.310951,.4588882,
"death rate (per 100,000)",1838,2.9505241,1.8016567,.83589774,
"death rate (per 100,000)",1839,3.1114178,3.7802486,2.1944563,
"death rate (per 100,000)",1840,5.2651234,3.7609603,2.2942746,
"death rate (per 100,000)",1841,1.2477971,2.3512914,1.0798773,
"death rate (per 100,000)",1842,1.3486311,1.7668463,.82654762,
"death rate (per 100,000)",1843,1.0893646,2.2312937,.56898445,
"death rate (per 100,000)",1844,.51695573,1.0675726,.15747537,
"death rate (per 100,000)",1845,1.0385419,2.1512113,.19729705,
"death rate (per 100,000)",1846,1.8531852,2.2250795,.84315461,
"death rate (per 100,000)",1847,1.6813327,3.2679532,2.6486785,
"death rate (per 100,000)",1848,4.6984367,10.163603,8.364563,
"death rate (per 100,000)",1849,5.6071806,8.8746281,7.3261223,
"death rate (per 100,000)",1850,.30922869,12.357301,12.012308,
"death rate (per 100,000)",1851,.80005717,12.607376,12.316689,
"death rate (per 100,000)",1852,.82554835,13.00073,12.219776,
"death rate (per 100,000)",1853,3.0866785,28.246756,17.726307,
"death rate (per 100,000)",1854,6.1371522,27.985432,17.30563,
"death rate (per 100,000)",1855,6.6511188,27.663528,17.151653,
"death rate (per 100,000)",1856,8.7448292,27.807018,17.310555,
"death rate (per 100,000)",1857,1.0721877,13.455573,12.634587,
"death rate (per 100,000)",1858,.84819931,13.338688,12.749907,
"death rate (per 100,000)",1859,3.3391762,15.708155,13.772829,
"death rate (per 100,000)",1860,3.2963371,13.383817,12.706752,
"death rate (per 100,000)",1861,10.909252,25.714697,20.661966,
"death rate (per 100,000)",1862,11.220394,25.290382,20.02284,
"death rate (per 100,000)",1863,12.763604,28.577089,21.587467,
"death rate (per 100,000)",1864,15.739677,38.883987,24.462395,
"death rate (per 100,000)",1865,14.751051,37.384563,23.031208,
"death rate (per 100,000)",1866,8.053174,21.943104,6.8530512,
"death rate (per 100,000)",1867,3.6984036,15.885897,4.1718636,
"death rate (per 100,000)",1868,4.7482996,15.988889,4.4586477,
"death rate (per 100,000)",1869,4.7346725,15.339521,4.0750613,
"death rate (per 100,000)",1870,12.41111,23.514799,10.067216,
"death rate (per 100,000)",1871,10.88364,13.981975,7.028543,
"death rate (per 100,000)",1872,2.745187,4.0889454,1.0246816,
"death rate (per 100,000)",1873,2.0207896,7.4136434,.86221474,
"death rate (per 100,000)",1874,2.0102875,6.2273459,1.0560582,
"death rate (per 100,000)",1875,2.7030931,9.6764889,1.6946498,
"death rate (per 100,000)",1876,3.4048455,9.7644358,1.7204242,
"death rate (per 100,000)",1877,12.633989,18.14485,10.239497,
"death rate (per 100,000)",1878,12.297777,17.832294,9.8657398,
"death rate (per 100,000)",1879,1.7470133,9.5470495,1.4141672,
"death rate (per 100,000)",1880,1.0527837,1.8857548,1.5907453,
"death rate (per 100,000)",1881,1.2900232,1.9122523,1.6339916,
"death rate (per 100,000)",1882,1.8565078,1.0358003,.62735116,
"death rate (per 100,000)",1883,1.2161694,1.0964161,.88202691,
"death rate (per 100,000)",1884,1.520609,.86482126,.69473326,
"death rate (per 100,000)",1885,2.1846242,1.2063978,.99463862,
"death rate (per 100,000)",1886,.56523871,.25984699,.17070568,
"death rate (per 100,000)",1887,.62090862,.15068443,.071825951,
"death rate (per 100,000)",1888,.91619706,.26890492,.13636696,
"death rate (per 100,000)",1889,.52366048,.28355974,.15175587,
"death rate (per 100,000)",1890,.22213319,.22816248,.10809899,
"death rate (per 100,000)",1891,.93609077,.89525759,.3980442,
"death rate (per 100,000)",1892,.54072797,.87221932,.58100069,
"death rate (per 100,000)",1893,.89343792,1.6028184,.61979592,
"death rate (per 100,000)",1894,1.7395879,2.4247601,1.6363775,
"death rate (per 100,000)",1895,3.5302403,3.7275703,1.8287843,
"death rate (per 100,000)",1896,2.3777304,3.5610795,1.7375325,
"death rate (per 100,000)",1897,2.0597315,3.3023014,1.4909197,
"death rate (per 100,000)",1898,2.0516348,14.813216,1.880827,
"death rate (per 100,000)",1899,2.8068573,4.6432195,1.9753208,
"death rate (per 100,000)",1900,2.9176061,5.4034629,2.0544732,1.5130303
"death rate (per 100,000)",1901,2.4252775,4.7746773,1.80119,1.112264
"death rate (per 100,000)",1902,2.4905243,4.235889,1.700531,1.1085652
"death rate (per 100,000)",1903,.66642267,2.9571569,1.0545858,1.0275488
"death rate (per 100,000)",1904,6.0029187,6.2154965,4.0655208,2.1104329
"death rate (per 100,000)",1905,5.9633379,11.226125,6.9081655,5.7746696
"death rate (per 100,000)",1906,1.807761,6.2768188,3.3290124,.73695564
"death rate (per 100,000)",1907,.94423074,6.3360295,3.1061389,.4707641
"death rate (per 100,000)",1908,.41584828,.2418195,.057463773,.066452518
"death rate (per 100,000)",1909,.8961603,11.539782,.34443519,.17525014
