Entity,Year,UK (forged) cents/lb (Daniel Sichel (2017)),Mixed (cents/lb) (Daniel Sichel (2017)),Cut (cents/lb) (Daniel Sichel (2017)),PPI wire (cents/lb) (Daniel Sichel (2017)),PPI wire 1974=100 (Daniel Sichel (2017)),"Sears (cents/lb 6d, 2"") (Daniel Sichel (2017))",CPI-U 2010=100 w/RPI splice (Daniel Sichel (2017)),"Matched Model, Real price (cents/nail 2010$) (Daniel Sichel (2017))",UK (forged) real (Daniel Sichel (2017)),Mixed (cents/lb) real (Daniel Sichel (2017)),Cut (cents/lb) real (Daniel Sichel (2017)),PPI wire (cents/lb) real (Daniel Sichel (2017)),Count per pound for 2" nails (Daniel Sichel (2017)),UK (forged) (cents/nail) real (Daniel Sichel (2017)),Mixed (cents/nail) real (Daniel Sichel (2017)),Cut (cents/nail) real (Daniel Sichel (2017)),PPI wire (cents/nail) real (Daniel Sichel (2017))
World,1759,7.45,,,,,,4.63,2.07,160.9071274,,,,85,1.893025029,,,
World,1760,7.45,,,,,,4.38,2.19,170.0913242,,,,85,2.001074402,,,
World,1761,7.45,,,,,,4.47,2.14,166.6666667,,,,85,1.960784314,,,
World,1762,7.45,,,,,,4.65,2.06,160.2150538,,,,85,1.884882985,,,
World,1763,7.45,,,,,,4.99,1.92,149.2985972,,,,85,1.756454085,,,
World,1764,7.45,,,,,,5.53,1.73,134.7197107,,,,85,1.584937773,,,
World,1765,7.45,,,,,,5.72,1.68,130.2447552,,,,85,1.532291238,,,
World,1766,7.45,,,,,,6.27,1.63,118.8197767,,,,85,1.397879726,,,
World,1767,7.45,,,,,,6.08,1.57,122.5328947,,,,85,1.441563467,,,
World,1768,7.45,,,,,,5.58,1.72,133.5125448,,,,85,1.570735821,,,
World,1769,7.45,,,,,,5.43,1.77,137.2007366,,,,85,1.614126314,,,
World,1770,7.45,,,,,,5.81,1.66,128.2271945,,,,85,1.508555229,,,
World,1771,7.45,,,,,,6.15,1.56,121.1382114,,,,85,1.425155428,,,
World,1772,7.45,,,,,,6.45,1.52,115.503876,,,,85,1.358869129,,,
World,1773,7.45,,,,,,6.47,1.48,115.1468315,,,,85,1.354668606,,,
World,1774,7.45,,,,,,6.38,1.5,116.7711599,,,,85,1.373778351,,,
World,1775,7.45,,,,,,6.32,1.56,117.8797468,,,,85,1.386820551,,,
World,1776,7.45,,,,,,5.92,1.62,125.8445946,,,,85,1.480524642,,,
World,1777,6.96,,,,,,6.18,1.61,112.6213592,,,,85,1.324957167,,,
World,1778,6.46,,,,,,6.27,1.61,103.030303,,,,85,1.212121212,,,
World,1779,5.97,,,,,,5.95,1.6,100.3361345,,,,85,1.180425111,,,
World,1780,7.45,,,,,,6.01,1.59,123.9600666,,,,85,1.458353724,,,
World,1781,7.68,,,,,,6.61,1.56,116.1875946,,,,85,1.366912877,,,
World,1782,7.92,,,,,,6.65,1.53,119.0977444,,,,85,1.401149934,,,
World,1783,8.15,,,,,,6.67,1.62,122.1889055,,,,85,1.437516536,,,
World,1784,8.38,10.53,,,,,6.34,1.7,132.1766562,166.0883281,,,85,1.555019484,1.95398033,,
World,1785,8.38,10.48,,,,,6.03,1.78,138.9718076,173.7976783,,,85,1.634962443,2.044678568,,
World,1786,7.45,10.38,,,,,5.88,1.81,126.7006803,176.5306122,,,85,1.490596238,2.076830732,,
World,1787,7.45,10.45,,,,,5.77,1.85,129.1161179,181.1091854,,,85,1.519013151,2.130696299,,
World,1788,7.45,9.99,,,,,5.51,1.85,135.2087114,181.3067151,,,85,1.590690723,2.133020177,,
World,1789,7.45,10.06,,,,,5.46,1.89,136.4468864,184.2490842,,,85,1.605257488,2.167636285,,
World,1790,8.38,9.67,,,,,5.67,1.75,147.7954145,170.5467372,,,85,1.738769582,2.006432203,,
World,1791,8.22,10.28,,,,,5.82,1.81,141.2371134,176.6323024,,,85,1.661613099,2.078027087,,
World,1792,8.06,10,,,,,5.93,1.73,135.9190556,168.6340641,,,85,1.599047714,1.983930166,,
World,1793,,10,,,,,6.13,1.67,,163.132137,,,85,,1.919201612,,
World,1794,,10,,,,,6.8,1.5,,147.0588235,,,85,,1.730103806,,
World,1795,,12.25,,,,,7.78,1.61,,157.4550129,,,85,,1.852411916,,
World,1796,,12,,,,,8.19,1.5,,146.5201465,,,85,,1.72376643,,
World,1797,,12,,,,,7.88,1.56,,152.284264,,,85,,1.791579576,,
World,1798,,12,,,,,7.62,1.61,,157.480315,,,85,,1.852709588,,
World,1799,,11.78,,,,,7.62,1.58,,154.5931759,,,85,,1.818743245,,
World,1800,,10.67,,,,,7.78,1.4,,137.1465296,,,85,,1.613488583,,
World,1801,,10.67,,,,,7.63,1.43,,139.8427261,,,85,,1.645208542,,
World,1802,,11.65,,,,,6.56,1.82,,177.5914634,,,85,,2.089311334,,
World,1803,,10.52,,,,,6.87,1.57,,153.1295488,,,85,,1.801524103,,
World,1804,,10.5,,,,,6.87,1.56,,152.8384279,,,85,,1.798099152,,
World,1805,,10.5,,,,,6.87,1.56,,152.8384279,,,85,,1.798099152,,
World,1806,,9.5,,,,,7.17,1.36,,132.4965132,,,85,,1.558782509,,
World,1807,,9.5,,,,,6.71,1.45,,141.5797317,,,85,,1.665643903,,
World,1808,,9.5,,,,,7.32,1.33,,129.7814208,,,85,,1.526840244,,
World,1809,,9.5,,,,,7.17,1.36,,132.4965132,,,85,,1.558782509,,
World,1810,,9.5,,,,,7.17,1.36,,132.4965132,,,85,,1.558782509,,
World,1811,,9.33,,,,,7.63,1.25,,122.2804718,,,85,,1.438593786,,
World,1812,,8.5,,,,,7.78,1.12,,109.2544987,,,85,,1.285347044,,
World,1813,,8.5,,,,,8.85,0.98,,96.04519774,,,85,,1.129943503,,
World,1814,,11.25,,,,,9.61,1.2,,117.0655567,,,85,,1.377241844,,
World,1815,,12.5,,,,,8.39,1.52,,148.9868892,,,85,,1.752786931,,
World,1816,,12.83,,,,,7.78,1.69,,164.9100257,,,85,,1.940117949,,
World,1817,,10.9,,,,,7.32,1.52,,148.9071038,,,85,,1.75184828,,
World,1818,,9.6,,,,,7.02,1.4,,136.7521368,,,85,,1.608848668,,
World,1819,,9.67,,,,,7.02,1.41,,137.7492877,,,85,,1.620579856,,
World,1820,,9.8,,,,,6.41,1.56,,152.8861154,,,85,,1.798660182,,
World,1821,,9.8,,,,,6.1,1.64,,160.6557377,,,85,,1.890067502,,
World,1822,,9.8,,,,,6.1,1.64,,160.6557377,,,85,,1.890067502,,
World,1823,,9.8,,,,,5.49,1.83,,178.5063752,,,85,,2.100075003,,
World,1824,,8.87,,,,,5.04,1.8,,175.9920635,,,85,,2.070494865,,
World,1825,,7.33,,,,,5.19,1.45,,141.2331407,,,85,,1.661566361,,
World,1826,,7.21,,,,,5.19,1.42,,138.9210019,,,85,,1.634364729,,
World,1827,,6.76,,,,,5.19,1.33,,130.2504817,,,85,,1.532358608,,
World,1828,,7.08,7.5,,,,5.04,1.44,,140.4761905,148.8095238,,85,,1.652661064,1.75070028,
World,1829,,,7.1,,,,4.88,1.44,,,145.4918033,,85,,,1.711668274,
World,1830,,,5.5,,,,4.88,1.12,,,112.704918,,85,,,1.325940212,
World,1831,,,5.6,,,,4.88,1.14,,,114.7540984,,85,,,1.350048216,
World,1832,,,5.8,,,,4.58,1.25,,,126.6375546,,85,,,1.489853583,
World,1833,,,5,,,,4.42,1.12,,,113.1221719,,85,,,1.330849082,
World,1834,,,5.5,,,,4.58,1.19,,,120.0873362,,85,,,1.412792191,
World,1835,,,6,,,,4.73,1.26,,,126.8498943,,85,,,1.492351698,
World,1836,,,6,,,,5.04,1.18,,,119.047619,,85,,,1.400560224,
World,1837,,,6,,,,5.19,1.15,,,115.6069364,,85,,,1.360081605,
World,1838,,,6,,,,4.88,1.22,,,122.9508197,,85,,,1.446480231,
World,1839,,,6.12,,,,4.88,1.24,,,125.4098361,,85,,,1.475409836,
World,1840,,,5.5,,,,4.58,1.19,,,120.0873362,,85,,,1.412792191,
World,1841,,,5.25,,,,4.73,1.1,,,110.9936575,,85,,,1.305807735,
World,1842,,,4.75,,,,4.42,1.06,,,107.4660633,,85,,,1.264306628,
World,1843,,,4.25,,,,4.27,0.98,,,99.53161593,,85,,,1.170960187,
World,1844,,,4.5,,,,4.27,1.04,,,105.3864169,,85,,,1.239840198,
World,1845,,,4.75,,,,4.27,1.1,,,111.2412178,,85,,,1.308720209,
World,1846,,,4.5,,,,4.12,1.08,,,109.223301,,85,,,1.284980011,
World,1847,,,4.5,,,,4.27,1.04,,,105.3864169,,85,,,1.239840198,
World,1848,,,4.25,,,,3.97,1.06,,,107.0528967,,85,,,1.259445844,
World,1849,,,4,,,,3.81,1.04,,,104.9868766,,85,,,1.235139725,
World,1850,,,3.71,,,,3.81,0.96,,,97.37532808,,85,,,1.145592095,
World,1851,,,3.28,,,,3.81,0.85,,,86.08923885,,85,,,1.012814575,
World,1852,,,3.13,,,,3.81,0.81,,,82.15223097,,85,,,0.966496835,
World,1853,,,4.85,,,,3.81,1.26,,,127.2965879,,85,,,1.497606917,
World,1854,,,4.76,,,,4.12,1.14,,,115.5339806,,85,,,1.359223301,
World,1855,,,4.1,,,,4.27,0.95,,,96.01873536,,85,,,1.129632181,
World,1856,,,3.92,,,,4.12,0.94,,,95.14563107,,85,,,1.119360366,
World,1857,,,3.72,,,,4.27,0.86,,,87.11943794,,85,,,1.024934564,
World,1858,,,3.53,,,,3.97,0.88,,,88.91687657,,85,,,1.046080901,
World,1859,,,3.86,,,,4.12,0.94,,,93.68932039,,85,,,1.102227299,
World,1860,,,3.13,,,,4.12,0.75,,,75.97087379,,85,,,0.893774986,
World,1861,,,2.75,,,,4.12,0.66,,,66.74757282,,85,,,0.785265563,
World,1862,,,3.47,,,,4.58,0.75,,,75.76419214,,85,,,0.891343437,
World,1863,,,5.13,,,,5.65,0.9,,,90.79646018,,85,,,1.068193649,
World,1864,,,7.85,,,,7.17,1.08,,,109.4839609,,85,,,1.288046599,
World,1865,,,7.08,,,,7.02,1,,,100.8547009,,85,,,1.186525892,
World,1866,,,6.97,,,,6.71,1.03,,,103.8748137,,85,,,1.222056632,
World,1867,,,5.92,,,,6.41,0.91,,,92.35569423,,85,,,1.086537579,
World,1868,,,5.17,,,,6.1,0.84,,,84.75409836,,85,,,0.99710704,
World,1869,,,4.87,,,,6.1,0.79,,,79.83606557,,85,,,0.93924783,
World,1870,,,4.4,,,,5.8,0.75,,,75.86206897,,85,,,0.892494929,
World,1871,,,4.52,,,,5.49,0.81,,,82.33151184,,85,,,0.968606022,
World,1872,,,5.46,,,,5.49,0.98,,,99.45355191,,85,,,1.170041787,
World,1873,,,4.9,,,,5.49,0.88,,,89.25318761,,85,,,1.050037501,
World,1874,,,3.99,,,,5.19,0.76,,,76.87861272,,85,,,0.904454267,
World,1875,,,3.42,,,,5.04,0.67,,,67.85714286,,85,,,0.798319328,
World,1876,,,2.98,,,,4.88,0.6,,,61.06557377,,85,,,0.718418515,
World,1877,,,2.57,,,,4.88,0.52,,,52.66393443,,85,,,0.619575699,
World,1878,,,2.31,,,,4.42,0.52,,,52.26244344,,85,,,0.614852276,
World,1879,,,2.69,,,,4.27,0.62,,,62.99765808,,85,,,0.741148919,
World,1880,,,3.68,,,,4.42,0.82,,,83.25791855,,85,,,0.979504924,
World,1881,,,3.09,,,,4.42,0.69,,,69.90950226,,85,,,0.822464732,
World,1882,,,3.47,,,,4.42,0.78,,,78.50678733,,85,,,0.923609263,
World,1883,,,3.06,,,,4.27,0.71,,,71.66276347,,85,,,0.843091335,
World,1884,,,2.39,,,,4.12,0.57,,,58.00970874,,85,,,0.682467162,
World,1885,,,2.33,,,,4.12,0.56,,,56.55339806,,85,,,0.665334095,
World,1886,,,2.27,,,,4.12,0.55,,,55.09708738,,85,,,0.648201028,
World,1887,,,2.3,,,,4.12,0.55,,,55.82524272,,85,,,0.656767561,
World,1888,,,2.03,,,,4.12,0.49,,,49.27184466,,85,,,0.579668761,
World,1889,,,2,,,,4.12,0.48,,,48.54368932,,85,,,0.571102227,
World,1890,,,2,2.97,,,4.12,0.48,,,48.54368932,72.08737864,150,,,0.323624595,0.480582524
World,1891,,,,2.47,,,4.12,0.4,,,,59.95145631,150,,,,0.399676375
World,1892,,,,2.19,,,4.12,0.35,,,,53.15533981,150,,,,0.354368932
World,1893,,,,1.99,,,4.12,0.32,,,,48.30097087,150,,,,0.322006472
World,1894,,,,1.65,,,3.97,0.28,,,,41.56171285,150,,,,0.277078086
World,1895,,,,2.12,,,3.81,0.37,,,,55.64304462,150,,,,0.370953631
World,1896,,,,2.93,,,3.81,0.51,,,,76.90288714,150,,,,0.512685914
World,1897,,,,1.49,,1.85,3.81,0.26,,,,39.10761155,150,,,,0.26071741
World,1898,,,,1.44,,1.8,3.81,0.25,,,,37.79527559,150,,,,0.251968504
World,1899,,,,2.39,,,3.81,0.42,,,,62.72965879,150,,,,0.418197725
World,1900,,,,2.63,,,3.81,0.46,,,,69.02887139,150,,,,0.460192476
World,1901,,,,2.37,,,3.81,0.41,,,,62.20472441,150,,,,0.414698163
World,1902,,,,2.1,,,3.97,0.35,,,,52.89672544,150,,,,0.352644836
World,1903,,,,2.08,,,4.12,0.34,,,,50.48543689,150,,,,0.336569579
World,1904,,,,1.91,,,4.12,0.31,,,,46.3592233,150,,,,0.309061489
World,1905,,,,1.9,,,4.12,0.31,,,,46.11650485,150,,,,0.307443366
World,1906,,,,1.96,,,4.12,0.32,,,,47.57281553,150,,,,0.317152104
World,1907,,,,2.12,,,4.27,0.33,,,,49.64871194,150,,,,0.330991413
World,1908,,,,2.1,,,4.12,0.34,,,,50.97087379,150,,,,0.339805825
World,1909,,,,1.92,,,4.12,0.31,,,,46.60194175,150,,,,0.310679612
World,1910,,,,1.89,,2.3,4.27,0.29,,,,44.26229508,150,,,,0.295081967
World,1911,,,,1.8,,2.175,4.27,0.28,,,,42.15456674,150,,,,0.281030445
World,1912,,,,1.74,,2.05,4.42,0.26,,,,39.36651584,150,,,,0.262443439
World,1913,,,,1.82,,2.067,4.53,0.27,,,,40.17660044,150,,,,0.267844003
World,1914,,,,1.68,,2.083,4.59,0.24,,,,36.60130719,150,,,,0.244008715
World,1915,,,,1.75,,2.1,4.64,0.25,,,,37.71551724,150,,,,0.251436782
World,1916,,,,2.6,,3.1,4.99,0.35,,,,52.10420842,150,,,,0.347361389
World,1917,,,,3.63,,4.1,5.87,0.41,,,,61.83986371,150,,,,0.412265758
World,1918,,,,3.6,,4.95,6.9,0.35,,,,52.17391304,150,,,,0.347826087
World,1919,,,,3.52,,5.8,7.95,0.3,,,,44.27672956,150,,,,0.295178197
World,1920,,,,4.19,,6.65,9.19,0.3,,,,45.59303591,150,,,,0.303953573
World,1921,,,,3.06,,5.15,8.18,0.25,,,,37.40831296,150,,,,0.249388753
World,1922,,,,2.61,,3.65,7.67,0.23,,,,34.02868318,150,,,,0.226857888
World,1923,,,,3.04,,3.75,7.81,0.26,,,,38.92445583,150,,,,0.259496372
World,1924,,,,2.99,,3.85,7.86,0.25,,,,38.04071247,150,,,,0.25360475
World,1925,,,,2.82,,3.95,8.04,0.23,,,,35.07462687,150,,,,0.233830846
World,1926,,,,2.75,,4.05,8.12,0.23,,,,33.86699507,150,,,,0.225779967
World,1927,,,,2.64,,3.55,7.96,0.22,,,,33.16582915,150,,,,0.221105528
World,1928,,,,2.68,,3.55,7.87,0.23,,,,34.05336722,150,,,,0.227022448
World,1929,,,,2.67,,3.55,7.87,0.23,,,,33.92630241,150,,,,0.226175349
World,1930,,,,2.19,,3.1,7.66,0.19,,,,28.59007833,150,,,,0.190600522
World,1931,,,,1.98,,2.95,6.97,0.19,,,,28.40746055,150,,,,0.18938307
World,1932,,,,2.05,,2.8,6.26,0.22,,,,32.74760383,150,,,,0.218317359
World,1933,,,,2.09,,3.017,5.94,0.23,,,,35.18518519,150,,,,0.234567901
World,1934,,,,2.62,,3.233,6.13,0.28,,,,42.7406199,150,,,,0.284937466
World,1935,,,,2.63,,3.45,6.29,0.28,,,,41.81240064,150,,,,0.278749338
World,1936,,,,2.23,,3.5,6.36,0.23,,,,35.06289308,150,,,,0.233752621
World,1937,,,,2.77,,3.55,6.59,0.28,,,,42.03338392,150,,,,0.280222559
World,1938,,,,2.58,,3.5,6.45,0.27,,,,40,150,,,,0.266666667
World,1939,,,,2.46,,3.45,6.38,0.26,,,,38.55799373,150,,,,0.257053292
World,1940,,,,2.55,,3.4,6.42,0.26,,,,39.71962617,150,,,,0.264797508
World,1941,,,,2.55,,4.5,6.74,0.25,,,,37.83382789,150,,,,0.252225519
World,1942,,,,2.55,,5.6,7.49,0.19,,,,34.04539386,181,,,,0.188096099
World,1943,,,,2.55,,5.6,7.93,0.18,,,,32.15636822,181,,,,0.177659493
World,1944,,,,2.55,,5.6,8.07,0.17,,,,31.59851301,181,,,,0.17457742
World,1945,,,,2.85,,5.6,8.25,0.21,,,,34.54545455,168,,,,0.205627706
World,1946,,,,3.48,,7.1,8.94,0.23,,,,38.9261745,168,,,,0.23170342
World,1947,,,,4.47,,8.6,10.24,0.26,,,,43.65234375,168,,,,0.259835379
World,1948,,,,5.82,,8.55,11.03,0.31,,,,52.76518586,168,,,,0.314078487
World,1949,,,,6.14,,8.5,10.91,0.34,,,,56.27864345,168,,,,0.334991925
World,1950,,,,6.34,,8.45,11.03,0.34,,,,57.47960109,168,,,,0.342140483
World,1951,,,,6.93,,9.025,11.92,0.35,,,,58.13758389,168,,,,0.346057047
World,1952,,,,7.12,,9.6,12.18,0.35,,,,58.45648604,168,,,,0.347955274
World,1953,,,,7.44,,10.733,12.27,0.36,,,,60.63569682,168,,,,0.360926767
World,1954,,,,7.65,,11.867,12.31,0.37,,,,62.14459789,168,,,,0.369908321
World,1955,,,,8.18,,13,12.28,0.4,,,,66.61237785,168,,,,0.396502249
World,1956,,,,8.92,,13.6,12.47,0.43,,,,71.53167602,168,,,,0.425783786
World,1957,,,,9.6,,14.2,12.89,0.44,,,,74.47633825,168,,,,0.443311537
World,1958,,,,9.83,,14.933,13.24,0.44,,,,74.24471299,168,,,,0.441932815
World,1959,,,,9.83,,15.667,13.37,0.44,,,,73.52281227,168,,,,0.437635787
World,1960,,,,9.6,,16.4,13.56,0.42,,,,70.79646018,168,,,,0.421407501
World,1961,,,,9.52,,,13.72,0.41,,,,69.3877551,168,,,,0.413022352
World,1962,,,,9.44,,,13.87,0.41,,,,68.06056236,168,,,,0.405122395
World,1963,,,,9.24,,,14.05,0.39,,,,65.76512456,168,,,,0.391459075
World,1964,,,,9.3,,,14.24,0.39,,,,65.30898876,168,,,,0.388743981
World,1965,,,,9.3,,,14.45,0.38,,,,64.35986159,168,,,,0.383094414
World,1966,,,,8.7,,,14.89,0.35,,,,58.42847549,168,,,,0.347788545
World,1967,,,,8.68,,,15.3,0.34,,,,56.73202614,168,,,,0.337690632
World,1968,,,,8.68,,,15.96,0.32,,,,54.38596491,168,,,,0.323725982
World,1969,,,,9.34,,,16.81,0.33,,,,55.56216538,168,,,,0.330727175
World,1970,,,,10.18,,,17.81,0.34,,,,57.15889949,168,,,,0.340231545
World,1971,,,,11.02,,,18.57,0.35,,,,59.34302639,168,,,,0.3532323
World,1972,,,,11.8,,,19.16,0.37,,,,61.58663883,168,,,,0.366587136
World,1973,,,,12.42,,,20.37,0.36,,,,60.97201767,168,,,,0.362928677
World,1974,,,,18.3,100,,22.61,0.48,,,,80.93763821,168,,,,0.481771656
World,1975,,,,21.34,116.61,,24.67,0.51,,,,86.50182408,168,,,,0.51489181
World,1976,,,,21.48,117.38,,26.11,0.49,,,,82.26733052,168,,,,0.489686491
World,1977,,,,23.04,125.9,,27.8,0.49,,,,82.87769784,168,,,,0.49331963
World,1978,,,,24.12,131.8,,29.92,0.48,,,,80.61497326,168,,,,0.479851031
World,1979,,,,26.32,143.83,,33.28,0.47,,,,79.08653846,168,,,,0.470753205
World,1980,,,,29.26,159.89,,37.78,0.46,,,,77.44838539,168,,,,0.461002294
World,1981,,,,31.7,173.22,,41.7,0.45,,,,76.01918465,168,,,,0.452495147
World,1982,,,,32.44,177.27,,44.26,0.44,,,,73.29417081,168,,,,0.436274826
World,1983,,,,31.8,173.77,,45.67,0.41,,,,69.62995402,168,,,,0.414464012
World,1984,,,,32.26,176.28,,47.65,0.4,,,,67.7019937,168,,,,0.402988058
World,1985,,,,32.52,177.7,,49.33,0.39,,,,65.9233732,168,,,,0.392401031
World,1986,,,,32.38,176.94,,50.29,0.38,,,,64.38655796,168,,,,0.383253321
World,1987,,,,32.84,179.45,,52.09,0.38,,,,63.04473027,168,,,,0.375266252
World,1988,,,,33.98,185.68,,54.23,0.37,,,,62.65904481,168,,,,0.372970505
World,1989,,,,35.82,195.74,,56.84,0.38,,,,63.0190007,168,,,,0.375113099
World,1990,,,,36.47,199.29,,59.9,0.36,,,,60.88480801,168,,,,0.362409572
World,1991,,,,37.12,202.84,,62.44,0.35,,,,59.44907111,168,,,,0.353863519
World,1992,,,,37.34,204.04,,64.33,0.35,,,,58.04445826,168,,,,0.345502728
World,1993,,,,37.6,205.46,,66.25,0.34,,,,56.75471698,168,,,,0.337825696
World,1994,,,,38.28,209.18,,67.96,0.34,,,,56.32725132,168,,,,0.335281258
World,1995,,,,38.88,212.46,,69.87,0.33,,,,55.64620009,168,,,,0.331227381
World,1996,,,,38.74,211.69,,71.93,0.32,,,,53.85791742,168,,,,0.320582842
World,1997,,,,38.78,211.91,,73.6,0.31,,,,52.69021739,168,,,,0.313632246
