Entity,Year,Minutes spent sleeping (MTUS (2013)),Minutes spent eating and drinking (MTUS (2013)),Minutes spent on self care (MTUS (2013)),Minutes spent on paid work (MTUS (2013)),Minutes spent on education (MTUS (2013)),Minutes spent on food preparation (MTUS (2013)),Minutes spent cleaning (MTUS (2013)),Minutes spent on maintenance (MTUS (2013)),Minutes spent shopping (MTUS (2013)),Minutes spent gardening (MTUS (2013)),Minutes spent on pet care (MTUS (2013)),Minutes spent on elderly care (MTUS (2013)),"Minutes spent on physical, routine child care (MTUS (2013))",Minutes spent on interactive child care (MTUS (2013)),Minutes spent on religious activities (MTUS (2013)),Minutes spent on voluntary work (MTUS (2013)),Minutes spent commuting (MTUS (2013)),Minutes spent on travel (MTUS (2013)),Minutes spent on sports or exercise (MTUS (2013)),Minutes spent watching TV (MTUS (2013)),Minutes spent reading (MTUS (2013)),Minutes spent on computer (MTUS (2013)),Minutes spent on out-of-home leisure (MTUS (2013)),Minutes spent on leisure (MTUS (2013))
Denmark,1987,236.53812,43.656322,17.109472,237.78232,141.08488,36.546421,44.260284,51.829597,34.30452,42.704231,,,41.459526,,,111.57343,28.04793,32.124054,42.79464,72.47435,37.936646,,81.68219,106.09097
Denmark,2001,242.91965,52.282867,26.321999,265.78461,144.20222,30.809053,33.010117,41.74588,28.281979,42.828968,22.414192,19.592905,38.997192,26.363317,37.423965,40.513115,32.159012,34.718616,39.251801,72.495087,28.356081,40.030441,41.446762,58.050159
France,1965,308.1937,56.985886,30.959833,272.00751,81.640366,64.293335,62.878258,28.896444,29.401012,38.464546,,,55.885155,,36.269508,64.588409,27.759592,29.053196,47.346672,61.316837,27.448212,,62.890144,53.721397
France,1974,282.7829,54.206738,42.534531,282.14926,133.68205,53.236557,51.291782,22.371681,29.002188,35.935089,,,45.698063,,28.714741,45.325718,39.458195,35.933685,45.927635,62.604553,31.441593,,49.885086,67.817963
France,1998,245.34537,51.381809,20.997572,200.37575,135.27908,37.390209,44.904709,32.038162,36.97805,51.004951,20.937584,29.787935,37.054199,27.286892,47.720108,39.232014,27.135254,32.635345,53.462204,71.141457,29.118412,50.503967,63.870388,54.418461
France,1999,244.90318,49.558838,20.849693,198.47215,154.79088,35.94548,44.873268,37.235184,36.794334,45.49239,22.846521,26.865393,36.894299,25.255739,56.601158,29.829529,27.983286,30.620295,46.723267,72.560349,29.924583,57.009403,56.401318,51.569824
Germany,1965,273.37659,45.648842,26.061108,275.00677,89.957169,58.213188,59.898861,38.608982,34.092999,66.398125,,,39.008095,,34.725079,53.334766,26.761297,24.122135,62.580589,60.557957,32.944557,,85.829605,52.873169
Germany,1991,273.14136,44.400921,29.195873,228.22522,113.37534,42.224876,50.076797,48.146496,27.627296,35.317963,21.986641,37.53854,37.19664,26.714441,,30.034672,27.615376,37.017521,49.981201,73.521111,29.111763,61.158928,62.989147,53.401901
Germany,1992,272.92801,43.820049,29.065928,232.25053,120.46108,40.793655,49.115528,43.21476,25.714924,31.007841,21.371862,28.647406,35.045399,29.201555,,35.334347,27.779438,35.698574,50.446732,71.213585,27.906229,67.203941,65.50798,56.270805
Germany,2001,280.82709,59.897129,31.970921,250.92805,77.443428,38.226757,46.175072,45.694611,40.955055,46.152439,,,55.315857,,36.284794,39.198055,37.600502,38.003132,52.417397,75.013313,33.571041,,94.367882,59.957684
Germany,2002,286.98239,59.981682,32.300976,250.86691,73.547699,38.497532,47.455666,45.572433,39.389515,43.914131,,,58.385372,,34.336021,39.538525,36.380039,32.889729,49.684742,79.934402,34.926601,,96.196526,59.218838
Israel,1991,244.90657,30.02062,18.439783,199.77954,107.88723,44.283207,54.57864,32.119167,38.920902,55.54969,11.371475,63.393291,47.582462,34.673187,30.37277,61.389767,28.558842,32.726917,45.83601,78.306129,36.338673,,71.383537,71.58149
Israel,1992,235.24066,30.095634,18.386631,208.35809,119.69649,42.491398,53.228985,62.357811,35.069683,36.443359,18.996742,56.040565,46.724014,36.786209,45.251022,48.115921,29.18582,30.436466,38.386208,70.518829,35.810261,,75.672188,66.706871
Italy,1980,263.9903,43.728127,27.550098,253.01062,145.26189,65.306801,75.599892,31.108294,38.550804,,,,46.050652,,34.399654,52.601307,33.480545,39.519718,53.843094,62.253277,39.238506,,56.548965,77.957542
Italy,1989,253.7195,52.588882,27.652052,275.53571,144.97794,70.303535,66.464561,33.968548,35.800758,42.950085,28.083887,15.662889,33.438602,38.337105,16.574873,39.579437,,37.471008,40.011082,62.352814,28.629606,,38.566452,57.330914
Italy,2002,238.64854,49.075058,29.86952,301.39413,151.78802,50.16824,56.937656,39.267902,31.857855,46.46088,,,50.315933,,19.261648,68.175438,43.573128,33.174168,44.827213,56.277985,27.537979,,45.007526,56.38131
Italy,2003,238.53877,48.582806,29.169388,287.38156,171.56592,49.921436,56.860592,36.667931,31.738491,54.211472,,,49.853199,,18.859764,66.459816,41.063328,30.778654,42.047516,62.653271,27.880138,,44.229362,51.536705
Netherlands,1975,273.64911,47.781223,27.764763,222.09099,92.24823,54.456768,57.597591,40.291996,35.384918,22.984129,18.361795,32.04808,37.627617,28.336195,42.676399,22.92452,31.016855,38.286999,42.999588,71.602837,38.197762,,66.550247,95.121338
Netherlands,1980,273.97543,48.475563,28.544075,216.58098,82.161491,56.427425,53.803486,41.925171,36.028099,22.46426,18.742832,35.312023,42.513016,28.579147,46.863949,22.358082,30.967882,38.616589,45.225975,68.576164,37.31739,,67.55014,96.990906
Netherlands,1985,253.02127,44.208435,26.030848,211.4375,91.448418,46.329109,47.419357,44.936432,33.028461,24.172928,21.034601,38.871872,42.001945,26.883692,44.254959,21.577406,29.831604,38.840454,49.341362,68.815056,33.965878,46.658764,68.132942,87.75676
Netherlands,1990,255.52286,42.913311,28.652983,211.65213,90.699501,43.934399,44.893509,42.21698,34.29248,25.369555,21.487747,37.879177,42.273018,29.262781,45.540794,21.084946,30.04841,39.622372,47.601315,69.283836,35.018784,46.048172,71.663368,83.037529
Netherlands,1995,254.3028,40.62056,27.106644,218.20891,89.828583,36.724247,42.129532,44.454388,33.430607,31.385866,21.551525,41.8974,38.394104,31.047039,53.631775,20.700079,31.19388,40.852116,48.988983,68.742905,32.964447,44.95562,71.34198,75.546127
Netherlands,2000,258.45407,42.392014,26.929377,211.09045,89.05864,37.403019,41.891411,34.315056,34.440491,49.357479,23.904932,19.17746,50.112854,27.031769,55.642475,26.766624,30.633646,38.653957,49.878456,70.049629,33.596119,42.017796,74.208069,72.994194
Netherlands,2005,260.40311,42.506062,30.029345,228.49644,75.627197,35.455463,40.479046,37.96347,34.960922,42.080963,23.253798,21.160044,41.841686,33.598694,60.629681,25.967518,34.786892,44.599537,50.550495,64.5989,33.517006,34.553394,76.233269,66.706879
Norway,1971,258.3692,42.858555,25.187586,226.68726,139.24632,68.028259,61.845131,71.63633,31.713821,27.036432,,,46.261391,,41.691593,87.017639,26.509335,32.188583,39.082672,52.724628,26.364279,,68.106056,67.445061
Norway,1972,257.72241,41.809986,25.752005,226.02174,122.1532,61.426281,57.24271,70.935211,28.453737,36.594082,,,40.373203,,56.649464,80.90213,28.283478,34.040585,46.427715,53.26408,25.687159,,70.566574,75.694351
Norway,1980,276.88174,42.134865,22.638676,234.81166,122.85405,52.33366,49.886356,51.823235,33.305271,29.363131,,,52.796753,,40.213634,82.472824,27.063347,32.815907,44.140495,64.623375,36.534367,,54.468567,88.838135
Norway,1981,262.61768,41.801533,21.645369,230.47482,131.81624,47.628635,45.368546,57.449249,31.796671,38.566746,,,50.430908,,59.954617,71.457108,26.392881,34.567272,51.83313,60.579483,33.232666,,59.705894,82.680511
Norway,1982,280.88461,45.795837,23.878672,265.02316,75.776428,50.94175,47.012371,52.612209,30.625401,59.286739,,,33.018475,,46.314686,66.354408,23.558868,28.762287,75.364136,51.543434,29.278162,,59.470787,94.497612
Norway,1990,264.76288,41.016552,22.573847,237.91377,131.82161,37.920826,37.036804,50.231503,25.43129,31.441845,,,56.024216,,51.911007,79.974686,28.489483,38.86211,50.521061,67.125877,32.504349,,74.238564,80.197678
Norway,1991,267.93948,38.892162,21.26898,240.77658,147.25186,37.64241,36.242054,43.063362,25.17951,18.768456,,,66.593933,,50.263351,82.254692,28.339149,32.636425,42.94215,77.849602,34.208241,,71.019936,76.867462
Norway,2000,259.85242,34.570408,21.900761,246.26859,162.81862,32.613823,41.394615,46.655338,23.989098,34.577316,,,48.994469,,37.562901,69.880058,29.02565,39.979652,47.940327,71.210312,29.556129,,79.851212,81.358231
Norway,2001,265.67902,32.841969,22.564001,251.82387,184.65552,31.243633,38.611511,32.682014,22.624149,20.110378,,,51.03101,,45.748211,73.813568,30.449366,37.131504,43.44376,81.376366,28.343735,,72.115273,73.710838
Slovenia,1965,265.07648,34.953758,23.405285,223.38118,139.01239,77.490158,56.872654,42.262985,24.017231,93.472443,,,38.525955,,40.590401,62.261982,23.668995,30.069504,61.194012,55.766476,31.653004,,62.770672,53.554543
Slovenia,2000,258.341,39.29121,21.527693,282.82138,122.52842,53.716938,44.261982,50.642036,29.101397,65.655235,,,60.37648,,24.034018,65.737328,34.131264,34.74971,50.241634,70.200996,31.272224,,36.679443,64.689926
Slovenia,2001,261.71799,38.998146,23.547205,282.18155,134.0484,51.406464,44.361519,50.292133,29.43956,64.32225,,,55.686279,,19.849409,59.455936,32.746681,36.108631,47.214863,76.946159,30.459213,,36.547058,64.670761
South Africa,2000,245.24118,30.665653,21.993494,179.32599,124.30932,46.775829,50.327801,23.51836,34.776085,58.858791,13.175951,27.864624,40.56514,21.922144,44.468979,66.070961,36.422497,36.788746,44.872044,65.175888,31.165293,43.26582,81.275208,71.174332
South Korea,2009,254.82045,33.324039,39.703342,249.48087,144.81583,48.223606,35.232746,22.682533,27.501703,41.830814,,19.463144,40.887589,37.23896,65.994904,15.144948,42.470013,38.99115,47.384422,70.160309,29.063957,49.895191,58.29953,27.390055
Spain,1992,242.94119,45.820938,20.903973,239.69389,112.34924,48.668709,50.756382,43.771381,31.254938,58.369225,25.404436,32.235909,35.265667,34.922092,19.833839,49.747463,34.242046,31.246599,51.833851,66.714111,34.435036,26.620453,51.50037,51.468269
Spain,1993,232.25421,45.704212,20.327841,235.52142,114.54271,49.065353,45.197666,57.306904,30.185596,46.970364,22.591476,22.950878,35.814861,37.154835,18.387608,47.150711,34.331703,28.820482,56.360004,65.324715,30.69212,71.329979,46.400879,45.613499
Spain,1997,230.02971,42.556324,20.302908,250.93896,126.73119,39.021313,39.607986,41.109585,29.685728,43.4534,25.085003,83.66481,35.207966,29.985727,21.096495,54.946068,35.157257,29.468796,46.396885,57.489632,29.563452,45.179188,42.545509,40.776211
Spain,1998,231.68066,39.451836,21.214876,256.54163,128.68954,36.573055,39.50766,29.822845,23.617956,30.88726,26.430214,55.097397,33.869762,29.123596,19.341007,108.78156,37.936962,28.880928,50.109257,58.923939,27.894611,40.666782,43.78075,41.175968
Spain,2002,241.91795,47.455776,22.74181,229.57422,116.43858,47.954987,49.672016,35.604649,31.17827,63.737389,25.936905,40.680782,43.401173,29.011553,26.646418,42.588982,32.156452,31.289497,48.756878,62.65176,29.149393,42.984444,53.11937,45.350685
Spain,2003,235.75403,45.85535,23.511423,227.08102,120.0184,45.717285,50.669662,39.110195,30.34269,57.199947,25.284077,40.043816,45.015369,28.822985,30.55652,48.457558,30.742908,30.173056,50.623974,60.883286,29.535265,41.811306,59.494457,43.295254
Spain,2008,236.90614,37.761303,23.492935,269.63483,124.46782,30.749735,36.063938,25.35606,27.582869,50.148396,28.824883,52.698071,52.555733,40.39999,17.303305,66.484604,28.791824,26.331387,51.420856,64.098389,31.244257,35.887802,48.081409,33.713192
Spain,2009,239.99733,47.57814,23.481659,228.63934,114.20266,45.72242,49.264641,43.455055,31.632061,50.305157,29.9284,59.149658,47.749683,32.597527,34.149239,20.818529,30.536684,30.496696,45.734276,71.246513,31.207289,45.045639,42.86916,44.192451
Spain,2010,235.50058,45.861897,24.085485,228.04842,113.94678,41.413273,47.414249,43.308857,30.495848,57.118702,28.476595,60.745205,49.733608,32.045383,32.965446,25.06867,30.564192,32.580303,49.171642,69.082062,32.170967,41.583977,43.13789,45.480057
United Kingdom,1961,260.75391,56.613674,24.936569,208.40305,47.944653,61.925213,58.855003,51.356056,45.848728,63.21825,,,31.938988,,49.18375,67.221809,28.463585,26.899885,47.23769,101.49472,47.352367,,74.69252,85.659355
United Kingdom,1974,241.84503,46.094978,33.853283,216.3656,68.328423,54.955185,51.270054,62.530464,40.575108,49.271851,24.280512,,33.199509,28.17452,38.011883,73.97155,25.705002,29.962423,47.402996,82.753792,28.829651,,97.243645,65.374542
United Kingdom,1975,240.66316,44.302078,34.217007,211.97064,80.011383,54.463276,49.656933,59.58876,39.301376,50.024342,24.068457,,33.540798,27.689547,42.402599,68.906685,26.280924,25.553972,43.756493,97.24794,31.232885,,88.835709,66.285095
United Kingdom,1983,227.77068,45.496742,32.643047,190.83347,111.41492,44.410675,46.20649,42.131565,40.678947,51.402782,15.160974,22.987915,40.720242,26.528503,48.875126,45.659069,27.837158,37.062588,38.889671,82.962059,29.669624,42.356319,82.483299,65.81826
United Kingdom,1984,240.3166,46.39547,26.966347,191.92741,84.761261,45.293556,49.142487,37.488804,36.71629,57.437752,13.856211,29.744467,36.961075,31.966742,40.933029,35.685925,27.484026,33.208179,37.15461,91.286461,33.12722,57.244225,88.708351,66.193771
United Kingdom,1987,230.60736,37.632076,35.972885,213.41328,91.120506,37.212379,43.665356,53.19014,35.857899,58.293003,25.692755,34.871159,34.128345,27.976902,44.148151,36.013729,26.323195,38.454231,45.748226,82.43792,30.103804,47.946068,65.169319,64.021225
United Kingdom,1995,238.03664,31.388514,22.390581,227.01866,81.200027,34.845718,48.06015,61.695473,46.358318,58.257378,,39.707954,62.765396,,,77.422226,32.41032,35.412853,62.361588,84.807396,35.84037,,79.496132,80.524162
United Kingdom,2000,254.08646,40.586971,24.414036,270.27179,110.56407,34.122066,40.755875,34.054245,34.250774,39.996441,24.492743,23.185535,38.912651,29.32929,42.870499,34.546005,36.97039,41.272476,34.963337,79.222755,27.147331,43.58025,45.040447,55.36367
United Kingdom,2001,252.24194,38.2253,23.843842,270.74924,122.16767,33.33263,38.250725,37.541737,33.160694,45.43882,26.14287,27.135828,37.871387,27.094645,32.823956,34.264946,35.11657,38.357555,32.386353,81.83493,28.258396,45.250526,43.855076,54.65432
United Kingdom,2005,235.14694,31.106844,23.210367,218.85388,99.084099,26.631165,43.125046,61.06321,42.235313,,23.400061,50.187397,76.755081,,46.375675,71.640846,29.989933,39.427135,33.568146,86.404655,34.543407,46.85424,31.899755,88.496613
United States,1965,266.72705,48.053566,37.37508,291.76236,43.665951,55.112595,68.547096,52.001617,36.015739,20.342108,8.0587826,27.46674,42.391678,23.019611,26.194862,69.170006,31.135921,33.006981,45.684296,69.456039,32.603745,,57.595188,54.612968
United States,1966,271.90378,44.737373,34.849991,257.89526,31.86801,52.578369,60.338394,53.096848,38.073441,32.39109,8.471137,30.558655,37.014256,27.135933,41.3517,64.816551,23.307131,40.505188,46.743351,78.822052,32.368946,,65.189285,65.983246
United States,1975,245.6407,41.711655,24.548321,251.30127,118.71117,43.160938,56.189388,59.945457,32.687214,44.755669,15.629617,32.496952,33.051636,25.433603,33.000256,60.833466,27.001144,32.033413,40.186581,82.213341,32.69199,,49.809967,56.966351
United States,1976,235.87889,42.413029,26.426737,263.73392,100.50498,40.350582,51.81879,56.211937,31.097607,50.940636,16.651377,34.875759,30.964563,25.300245,37.036491,60.911804,27.074476,35.671204,49.302071,74.323982,31.753551,,54.495575,62.261791
United States,1985,245.42174,40.398117,32.358181,217.40706,99.809166,34.998905,47.478607,51.594379,32.752789,54.605465,15.966888,31.476786,34.163605,26.878656,38.869259,37.425789,26.986631,39.35854,41.412132,83.084343,32.420502,49.711716,73.363335,52.057446
United States,1992,216.01712,32.301987,23.02162,214.51845,89.109413,24.169308,47.359913,52.215881,37.811375,31.276962,12.755061,19.465382,24.830439,33.633892,33.953373,72.315613,23.793758,38.877598,52.050045,89.626617,37.692162,90.37619,78.00367,64.824272
United States,1993,200.41737,29.34079,22.857149,203.59541,125.1664,23.996229,53.851749,67.276642,36.667236,46.382759,18.039989,23.166002,31.322115,40.041779,44.957809,60.281418,22.482685,33.311832,40.476955,77.826271,35.451977,61.110653,79.021088,62.957478
United States,1994,202.27058,29.759396,22.60771,215.54282,116.90368,23.064854,53.736122,73.027069,33.167534,41.346329,19.30344,18.082375,34.994106,38.740925,43.937122,55.329811,22.741516,33.755596,44.714054,76.690346,33.771297,64.497726,84.900772,57.115005
United States,1995,208.24126,30.305708,23.2402,213.69524,108.00018,25.279274,53.854019,61.976479,32.165649,15.65896,20.470058,37.37508,33.659786,40.600647,49.591637,67.72332,26.822514,31.502241,46.94632,78.205116,36.437672,51.76548,83.293472,63.189728
United States,1998,212.16566,28.849586,26.046297,209.60461,159.53793,27.681622,52.337875,55.459961,31.858572,25.669922,17.053434,18.099333,37.73922,38.651558,55.625633,64.624901,25.464993,37.238197,49.64946,69.331345,32.437355,57.182961,52.380203,55.309402
United States,1999,210.0341,29.75543,25.123892,219.56017,108.54375,27.621864,54.681095,88.264214,43.368378,22.299566,20.666655,23.475922,33.701,32.369648,63.776775,77.877686,25.188322,39.723137,39.958664,66.031845,25.555988,42.780739,67.794518,51.84671
United States,2000,230.81671,29.930927,28.791943,229.21864,83.030861,32.922722,64.552101,53.902386,36.003128,32.33128,15.787333,25.677755,41.009781,41.94582,55.997543,50.893017,32.254539,42.577469,41.656693,69.478462,31.191542,60.450062,61.483418,48.095879
United States,2003,231.1954,27.243097,26.385738,255.74731,138.12749,26.92251,45.075298,48.392891,29.732679,54.178513,16.263693,30.085424,37.215824,38.886497,34.134399,54.701511,24.566692,34.203293,39.023125,82.272713,30.767782,37.004368,45.970646,51.903088
United States,2004,235.521,27.221161,27.08271,255.95024,124.24999,26.68689,46.963818,44.095634,30.443426,54.904362,15.557958,32.774796,38.590034,41.950081,31.822592,52.838898,26.380596,34.69643,40.387375,85.023201,32.431473,35.919781,46.812645,51.695038
United States,2005,240.02122,27.763569,27.146915,259.02554,117.48721,27.058422,47.791351,48.73217,29.363091,55.587143,17.164968,29.105042,37.085312,41.202309,33.258438,52.121773,27.423521,34.388069,40.758183,83.665024,32.32679,33.709213,45.734806,52.079979
United States,2006,241.27533,27.440975,26.888203,258.19614,118.44545,27.710667,45.512333,45.568897,30.707226,56.938816,17.355972,26.711765,35.980152,40.705906,32.627693,52.567162,26.800381,34.79821,41.476589,84.642731,33.07996,35.517948,46.260067,52.791454
United States,2007,235.59381,27.205704,26.814686,253.53226,134.91327,26.85449,46.817467,45.656818,29.429699,56.130703,17.57196,26.223892,35.269764,40.899734,35.742096,55.634781,24.712482,33.372795,40.2948,84.661629,32.70311,31.845884,46.405689,51.712585
United States,2008,232.41336,26.737036,27.123116,254.72623,161.57043,25.703979,43.92791,42.393703,27.499649,53.721634,16.419518,28.07391,36.008801,37.989391,34.162018,50.404968,26.740097,32.522938,38.791634,87.126625,32.14904,29.97707,43.495358,50.321709
United States,2009,238.06963,27.105179,27.355118,246.14156,139.37451,26.238222,44.171093,43.290375,28.514925,59.36063,16.603756,26.847504,36.689774,40.676476,34.077888,54.272934,27.075699,33.530239,41.104561,88.720215,32.581768,31.411524,45.351318,51.435089
United States,2010,237.3217,27.435522,27.824669,240.80031,131.62921,27.170511,44.535538,43.145947,29.060171,58.340034,16.878172,28.877686,34.909218,41.195,37.166584,54.731606,26.20302,34.462925,40.532478,87.31572,32.81213,34.450771,48.937996,54.262741
United States,2011,232.79462,27.009809,26.658333,244.97659,136.0968,26.81966,43.907909,46.629837,27.43705,53.485909,16.176449,29.186577,33.27066,41.480919,35.689426,61.089001,25.962555,33.360672,41.631805,87.331711,34.603611,35.19223,45.787292,53.420425
United States,2012,231.41602,26.486872,26.004,246.41943,154.60033,25.838902,44.025558,44.048927,27.295803,51.754864,16.552805,25.201395,35.279343,43.329739,34.591934,51.129677,26.566502,32.922413,39.742977,87.601349,36.169025,36.246719,43.627907,53.147343
