Entity,Year,"Liquor stores (at home) (USDA, 2018)","Food stores (at home) (USDA, 2018)","Other (at home) (USDA, 2018)","Total (at home) (USDA, 2018)","Restaurants & bars (away from home) (USDA, 2018)","Hotels & motels (away from home) (USDA, 2018)","All other (away from home) (USDA, 2018)",Total (away from home),"Total alcohol expenditure (USDA, 2018)"
United States,1978,12179000000,5211000000,2222000000,19612000000,13342000000,2023000000,1303000000,16668000000,36280000000
United States,1979,13528000000,5903000000,2480000000,21911000000,15152000000,2306000000,1435000000,18893000000,40804000000
United States,1980,14977000000,6995000000,2816000000,24788000000,16722000000,2450000000,1484000000,20656000000,45444000000
United States,1981,15648000000,7629000000,3141000000,26418000000,17976000000,2751000000,1528000000,22255000000,48673000000
United States,1982,15984000000,8147000000,3378000000,27509000000,18371000000,2849000000,1488000000,22708000000,50217000000
United States,1983,16818000000,8999000000,3878000000,29695000000,19038000000,3051000000,1620000000,23709000000,53404000000
United States,1984,15997000000,10132000000,4158000000,30287000000,19863000000,3220000000,1691000000,24774000000,55061000000
United States,1985,17058000000,10361000000,4152000000,31571000000,20659000000,3371000000,1816000000,25846000000,57417000000
United States,1986,17350000000,10755000000,5031000000,33136000000,22291000000,3406000000,1935000000,27632000000,60768000000
United States,1987,17283066684,9163846778,4156131205,30603044666,23231745021,3108306600,2526948379,28867000000,59470044666
United States,1988,17006547276,9435665464,4403821867,30846034607,24227397739,3237450000,2802152261,30267000000,61113034607
United States,1989,17291991347,10072625634,4913182963,32277799944,24747666415,3214332800,3077000785,31039000000,63316799944
United States,1990,18596774620,10843880411,5428097223,34868752253,26528267612,3186337400,3429394988,33144000000,68012752253
United States,1991,19122757118,10770193162,5800475486,35693425766,27200344636,3059477000,3606178365,33866000000,69559425766
United States,1992,18418356180,10699535453,6646594832,35764486465,27726783809,3123964800,3823251391,34674000000,70438486465
United States,1993,18370478923,11146229255,6801494919,36318203097,28393334932,3111076500,3916588568,35421000000,71739203097
United States,1994,18846158325,11734523777,6939585374,37520267476,29227365868,3175214400,4010419732,36413000000,73933267476
United States,1995,18849531370,12279825179,7134867367,38264223916,30194254532,3187387200,4152358268,37534000000,75798223916
United States,1996,19922445060,12953492590,7466793583,40342731234,31378633316,3196968000,4270398684,38846000000,79188731234
United States,1997,20864000000,12798000000,6758862070,40420862070,33426755764,3490830000,4436414236,41354000000,81774862070
United States,1998,21859001244,14138691206,6933660804,42931353254,35688479133,5173326000,4741194867,45603000000,88534353254
United States,1999,22724573198,15158642806,7438549666,45321765669,38090318533,7042605000,5447076467,50580000000,95901765669
United States,2000,24350158007,15846527334,8021616562,48218301903,41533200423,6404071800,5467727777,53405000000,101623301903
United States,2001,25167913043,16888255899,8214192568,50270361511,44173573208,4941560000,5296866792,54412000000,104682361511
United States,2002,27951150078,17356125337,10160797513,55468072928,47180322265,4319700000,5861977735,57362000000,112830072928
United States,2003,28623239777,17519738376,11074230632,57217208786,49067856337,4333322400,6584821263,59986000000,117203208786
United States,2004,30613457893,18056339260,11904778979,60574576132,49943441419,4574637600,7364920981,61883000000,122457576132
United States,2005,32103378099,18602961635,12809094183,63515433917,51247662661,4706761000,7601576339,63556000000,127071433917
United States,2006,34599541142,18967656105,13486442103,67053639351,53570174455,4769723200,9083102345,67423000000,134476639351
United States,2007,36791453462,19544982269,13406220985,69742656717,53201428588,4729968000,10060603412,67992000000,137734656717
United States,2008,38017899574,20336378880,20677005594,79031284048,54826533785,4821849000,10235617215,69884000000,148915284048
United States,2009,39025302989,20297321044,18979899808,78302523841,53988953003,4668705000,9997341997,68655000000,146957523841
United States,2010,40244994481,20728382105,20325518116,81298894701,55153264810,4721220000,10182515190,70057000000,151355894701
United States,2011,40828786690,21802641216,22398210076,85029637981,57935787519,4774329000,10448883481,73159000000,158188637981
United States,2012,43336680824,22462872896,23646140574,89445694294,61508031945,4882059000,10946909055,77337000000,166782694294
United States,2013,44994457708,22921754302,22446796526,90363008536,62861475401,4898664000,11414860599,79175000000,169538008536
United States,2014,47523580650,23523037324,21786339087,92832957060,66860395100,4925664000,11482940900,83269000000,176101957060
