Entity,Year,Exports to Africa (CEPII Dyadic (2016)),Exports to Antarctica (CEPII Dyadic (2016)),Exports to Asia (CEPII Dyadic (2016)),Exports to Eastern Europe (CEPII Dyadic (2016)),Exports to North America (CEPII Dyadic (2016)),Exports to Oceania (CEPII Dyadic (2016)),Exports to South America (CEPII Dyadic (2016)),Exports to Western Europe (CEPII Dyadic (2016)) ,Exports to lower-middle income grouping (CEPII Dyadic (2016)),Exports to high-income grouping (CEPII Dyadic (2016)),Exports to low-income grouping (CEPII Dyadic (2016)),Exports to upper-middle income grouping (CEPII Dyadic (2016)),Exports to the World (CEPII Dyadic (2016))
Africa,1899,,,,1.35961,2.93691,0.02133,,27.11705,,30.07529,,,
Africa,1900,,,,1.86810,2.82276,0.01563,,27.68672,,30.52511,,,
Africa,1901,0.00501,,,1.33972,2.42921,0.10679,,25.45083,,27.98683,,0.00501,
Africa,1902,0.00851,,,1.62903,3.59822,0.01846,,29.14371,,32.76040,,0.00851,
Africa,1903,0.00565,,,1.34945,3.04175,0.01149,0.00022,24.72780,,27.78126,,0.00565,
Africa,1904,0.00447,,0.31675,1.46165,2.04605,0.01912,0.00028,25.58302,,27.96523,,0.00447,
Africa,1905,0.00254,,0.36285,1.35079,2.08816,0.01060,,24.40905,,26.87067,,0.00254,
Africa,1906,0.02931,,,1.39543,2.04183,0.01366,0.00013,25.18873,,27.24435,,0.02931,
Africa,1907,0.73550,,0.34491,1.44765,3.35766,0.01626,0.00012,29.46082,0.71994,33.17978,,0.01555,
Africa,1908,1.00598,,0.51237,1.41037,2.62548,0.01246,0.00061,24.20061,0.99635,27.35153,,0.00963,
Africa,1909,0.85415,,0.62832,1.76510,2.27354,0.01639,0.00054,23.62641,0.84324,26.59770,,0.01091,
Africa,1910,0.89904,,0.51952,1.34656,2.26052,0.01458,0.00049,23.60028,0.88922,26.49210,0.00036,0.00946,
Africa,1911,0.79173,,0.26955,0.59088,1.89120,0.09435,0.00025,30.55266,0.48111,32.83647,0.22404,0.08178,
Africa,1912,0.86568,,0.31382,0.56688,1.52973,0.18354,0.00013,33.61929,0.52324,35.64120,0.28878,0.06623,
Africa,1913,0.76510,,0.34503,0.54591,1.78398,0.10659,0.00013,33.03408,0.44677,35.24656,0.28203,0.06902,
Africa,1914,0.68566,,0.34609,0.49773,1.24968,0.11724,,26.72621,0.41327,28.46040,0.26235,0.04041,
Africa,1915,0.97565,,0.37192,0.06235,1.75228,0.36541,0.01458,18.20993,0.60387,20.73029,0.26442,0.14293,
Africa,1916,1.30608,,0.58777,0.04286,3.35743,0.17194,0.01071,27.23117,0.84761,31.26605,0.26359,0.31982,
Africa,1917,1.70153,,1.50887,0.08766,2.99021,0.30893,0.02722,30.15759,1.20611,34.87043,0.28283,0.38815,
Africa,1918,1.80203,,1.26114,0.07849,2.52519,1.44271,0.07102,23.87713,1.19598,28.94653,0.45126,0.41591,
Africa,1919,1.52630,,1.45422,0.07010,5.07773,0.23180,0.07904,28.80713,1.01813,35.46668,0.33282,0.37430,
Africa,1920,1.67382,,1.71044,0.04102,5.73173,0.16371,0.07222,21.44556,1.04863,28.82614,0.39016,0.54935,
Africa,1921,1.35138,,0.69134,0.03839,1.77089,0.09126,0.01849,17.40481,0.95255,19.72979,0.40132,0.25638,
Africa,1922,1.04125,,0.57138,0.03849,2.71356,0.22307,0.01758,20.96913,0.63558,24.31326,0.34675,0.26847,
Africa,1923,0.90059,,0.76854,0.10653,2.16085,0.26523,0.00318,25.45885,0.52145,28.54270,0.28181,0.31090,
Africa,1924,1.18469,,0.79897,0.40816,1.93144,0.11718,0.01234,18.22672,0.68549,20.84655,0.34092,0.54888,
Africa,1925,1.10757,,0.88245,0.42754,2.29442,0.21193,0.00319,12.41513,0.66986,15.65268,0.35772,0.43880,
Africa,1926,1.42662,,1.08963,0.22045,1.66209,0.21649,0.02369,9.12410,0.71758,11.79927,0.51084,0.59964,
Africa,1927,1.55227,,0.85877,0.27329,1.77614,0.16335,0.01591,10.10694,0.84111,12.53949,0.55807,0.58621,
Africa,1928,1.56568,,0.82998,0.27099,1.57533,0.14066,0.00305,16.20033,0.83345,18.40481,0.59669,0.56157,
Africa,1929,1.52414,,0.80775,0.07976,1.92793,0.08748,0.01001,13.86369,0.83625,16.39483,0.62317,0.44360,
Africa,1930,1.40751,,0.59546,0.07381,0.90046,0.04305,0.01835,10.43179,0.73209,11.80308,0.50520,0.42902,
Africa,1931,1.24924,,0.54631,0.03072,0.57562,0.03632,0.01931,8.41235,0.68703,9.40208,0.40855,0.36990,
Africa,1932,0.57588,,0.42876,0.02636,0.55595,0.02789,0.01249,7.47048,0.26101,8.41577,0.23186,0.18918,
Africa,1933,0.61423,,0.47496,0.15170,0.69774,0.03328,0.00203,9.62761,0.32355,10.85723,0.18983,0.23092,
Africa,1934,0.66163,,0.76046,0.22207,0.52449,0.03882,0.00581,8.41211,0.33892,9.79290,0.21134,0.28225,
Africa,1935,0.59238,,0.67437,0.25192,0.57481,0.04105,0.00478,8.66038,0.32954,9.98359,0.19794,0.25150,
Africa,1936,0.57252,,0.75931,0.32929,0.52752,0.06528,0.00649,7.42528,0.31072,8.82507,0.18895,0.31087,
Africa,1937,0.73091,,1.58124,0.72859,0.94844,0.05892,0.01951,9.09022,0.42909,11.77556,0.21075,0.43291,
Africa,1938,0.83147,,0.49824,0.57250,0.32156,0.06422,0.03880,8.43978,0.47658,9.46347,0.27894,0.35534,
Africa,1939,0.82832,,0.11314,0.01794,0.55965,0.01020,0.00289,6.59140,0.48582,7.29234,0.28309,0.06231,
Africa,1940,0.91424,,0.03509,0.01385,0.53518,,0.01327,7.06006,0.53745,7.64418,0.32922,0.06084,
Africa,1941,1.09546,,0.01586,,0.91902,,0.00818,3.40185,0.60385,4.33674,0.42618,0.07362,
Africa,1942,0.89130,,0.01753,,0.91581,,0.03343,3.69889,0.55308,4.63223,0.24908,0.12256,
Africa,1943,0.82496,,,0.00261,0.57181,0.00754,0.07881,2.48012,0.52930,3.06208,0.20764,0.16683,
Africa,1944,0.82828,,,0.00095,0.38646,0.00695,0.04640,2.93412,0.42337,3.32848,0.24320,0.20812,
Africa,1945,0.68443,,,0.01424,0.93608,0.01528,0.06423,3.20404,0.34196,4.16963,0.26132,0.14537,
Africa,1946,1.44288,,,,1.96057,0.01998,0.11392,4.61424,0.43261,6.59479,0.66419,0.45999,
Africa,1947,1.68714,,,,0.99106,0.04016,0.10232,7.03414,0.49150,8.06536,0.82011,0.47784,
Africa,1948,3.36168,,0.51767,0.20606,3.81008,0.54091,0.22689,8.65605,1.44717,13.44469,1.59898,0.78482,
Africa,1949,3.30590,,0.82333,0.15955,3.27782,0.40332,0.14743,8.52808,1.57866,12.91205,1.42564,0.72908,
Africa,1950,1.95443,,0.37455,1.16986,3.82907,0.27930,0.13359,12.78767,0.97013,17.21176,0.73297,0.53787,
Africa,1951,2.12433,,1.60502,1.47004,3.54800,0.33214,0.11412,13.93317,1.72361,18.65036,0.80585,0.67180,
Africa,1952,1.86965,,0.92098,1.70690,2.89564,0.25748,0.06948,13.00089,1.19335,16.65119,0.69856,0.62639,
Africa,1953,1.54642,,0.97144,1.43660,2.79220,0.11841,0.04320,12.00438,1.03098,15.40801,0.66620,0.38236,
Africa,1954,1.56144,,0.93657,1.49275,2.19338,0.13199,0.05848,11.70782,0.75735,14.49528,0.80282,0.60204,
Africa,1955,1.59049,,1.24680,1.97037,2.03130,0.14064,0.05052,11.51341,1.01916,14.20100,0.74638,0.72074,
Africa,1956,1.58493,,1.24190,1.84963,1.89245,0.11834,0.02984,11.11035,0.92421,13.71832,0.76560,0.67034,
Africa,1957,1.59839,,1.16418,1.66529,1.73870,0.11794,0.04445,10.27037,0.72953,12.75831,0.83686,0.76708,
Africa,1958,1.29592,,1.06030,1.72670,2.24135,0.14564,0.03019,10.07382,0.65753,13.02530,0.67704,0.67439,
Africa,1959,1.26701,,1.14960,1.75019,2.17866,0.14132,0.05313,9.59311,0.65155,12.58125,0.67854,0.63291,
Africa,1960,1.56189,,1.37705,1.76688,1.86030,0.14442,0.05429,10.64106,0.81095,13.37998,0.62877,1.01026,
Africa,1961,1.36242,,1.19871,1.87371,1.88514,0.13263,0.03939,10.75308,0.71594,13.53834,0.57442,0.72197,
Africa,1962,1.31000,,1.16708,1.81094,1.97540,0.10077,0.04763,10.86563,0.65612,13.71896,0.56297,0.70043,
Africa,1963,1.16053,,1.18324,1.97237,1.82893,0.11634,0.05590,10.15014,0.56363,12.88273,0.48101,0.72305,
Africa,1964,1.56458,,1.47288,2.80690,2.25520,0.12604,0.03825,11.53107,1.01279,14.96968,0.55489,0.68484,
Africa,1965,1.42114,,1.44621,2.88547,1.90119,0.12484,0.05576,10.88608,0.86509,13.94903,0.51013,0.73017,
Africa,1966,1.15883,,1.48660,3.00955,2.04744,0.10451,0.09434,10.87757,0.80665,14.15724,0.39051,0.62436,
Africa,1967,1.08727,,1.88980,2.90821,1.86100,0.11427,0.08320,10.78445,0.84236,14.26808,0.32672,0.57828,
Africa,1968,1.23078,,2.10848,3.17107,1.99659,0.10209,0.10259,10.92363,0.89555,14.76002,0.47011,0.57182,
Africa,1969,1.25739,,2.07120,3.14614,1.72595,0.09911,0.13880,11.25659,0.82438,14.81941,0.53874,0.58463,
Africa,1970,1.18803,,2.13056,3.08452,1.88590,0.09644,0.17406,10.99007,0.85267,14.68209,0.47802,0.63156,
Africa,1971,1.09959,,1.82174,2.94487,2.31622,0.07718,0.20821,9.50790,0.81553,13.27527,0.42072,0.70715,
Africa,1972,1.07323,,1.87392,2.84901,2.38754,0.06926,0.23748,9.31301,0.72726,13.24630,0.46647,0.74102,
Africa,1973,1.10508,,2.17532,3.18124,3.09754,0.07375,0.21946,10.02806,0.64110,14.79167,0.51749,0.80222,
Africa,1974,1.11178,,2.46231,4.37387,5.38781,0.10845,0.72142,13.27422,0.66585,20.67251,0.46341,1.36783,
Africa,1975,1.05278,,1.95575,3.70999,6.01501,0.07483,0.48461,9.86636,0.60851,17.55117,0.46936,1.12839,
Africa,1976,0.82311,,1.73981,3.81104,7.79144,0.06903,0.38106,9.82139,0.53729,19.14102,0.34436,0.97326,
Africa,1977,0.88734,,1.77071,3.82584,9.11649,0.08673,0.37360,10.02383,0.56866,20.52132,0.38505,0.98117,
Africa,1978,0.80335,,1.67580,3.50489,7.93490,0.07361,0.39355,9.61567,0.50314,19.07997,0.31958,0.97876,
Africa,1979,0.75890,,1.90853,4.37761,9.59792,0.08205,0.41115,11.07958,0.47956,22.34793,0.30562,1.01638,
Africa,1980,0.84474,,2.01806,4.46479,9.60381,0.06791,0.51556,11.60020,0.57703,22.95191,0.30501,1.30376,
Africa,1981,1.10091,,2.08932,3.52049,7.57438,0.06172,0.76154,10.11600,0.66392,19.40360,0.48180,1.62652,
Africa,1982,1.09623,,1.82881,3.37634,5.17324,0.06040,0.43750,10.95351,0.58246,17.72821,0.49997,1.25723,
Africa,1983,0.97574,,1.81476,3.26665,4.71444,0.04601,0.27390,10.75349,0.55430,17.04523,0.43180,1.18492,
Africa,1984,0.98066,,1.88048,3.39341,4.90061,0.06938,0.59935,11.42367,0.68844,17.85051,0.43520,1.51526,
Africa,1985,0.91173,,2.08292,3.61788,4.24917,0.06291,0.74516,12.54832,0.72384,18.54948,0.35983,1.71888,
Africa,1986,0.90734,,1.99336,2.45167,3.35249,0.05311,0.29348,8.86281,0.61558,13.90871,0.40901,0.86091,
Africa,1987,0.88083,,1.71722,2.22870,3.24132,0.10540,0.23645,8.28602,0.61074,13.06696,0.36965,0.82345,
Africa,1988,0.90690,,1.90890,2.28370,2.97763,0.05140,0.27639,8.64619,0.62120,13.22208,0.36427,0.90063,
Africa,1989,1.18204,,2.19436,2.26137,3.63897,0.04979,0.26030,9.42772,0.68964,14.98162,0.49930,0.98405,
Africa,1990,1.47325,,2.14994,2.83972,3.82846,0.04206,0.30370,11.23258,0.96666,16.90775,0.58946,1.18933,
Africa,1991,1.40208,,2.38049,0.47532,3.48079,0.03510,0.38228,12.92976,0.94332,18.35118,0.54969,1.14625,
Africa,1992,1.73612,,2.69617,0.52881,3.37092,0.03345,0.30561,12.37528,1.31394,17.78082,0.66790,1.23224,
Africa,1993,1.67990,,2.90660,0.33216,3.63552,0.05478,0.43391,10.23364,1.18487,16.07766,0.65895,1.31769,
Africa,1994,1.91319,,2.97350,0.55438,3.53696,0.08167,0.41162,11.52328,1.28670,17.35172,0.78802,1.53145,
Africa,1995,2.12702,,3.41251,0.77907,3.47314,0.09641,0.38596,11.86578,1.43786,17.99182,0.86741,1.79913,
Africa,1996,2.23526,,3.82299,0.85388,3.93917,0.12049,0.55197,12.08526,1.73177,18.90849,0.90242,2.00841,
Africa,1997,2.16622,,4.14037,0.77363,4.05375,0.12410,0.57810,11.39985,1.66660,18.40104,0.89764,2.24388,
Africa,1998,1.96902,,3.41765,0.66845,3.44079,0.11572,0.50235,10.69006,1.69480,16.43550,0.82076,1.81221,
Africa,1999,1.95095,,4.17985,0.58715,3.50758,0.13985,0.54284,10.75365,2.06895,16.71363,0.81760,2.01332,
Africa,2000,1.95778,,4.40725,0.72311,4.98996,0.14196,0.76399,12.78276,1.69331,20.41017,0.83827,2.80827,
Africa,2001,2.15731,,4.07950,0.82423,4.97681,0.13114,0.83215,13.53587,1.84647,20.89977,0.89171,2.89289,
Africa,2002,2.30040,,4.49834,0.78774,4.44335,0.20823,0.58783,13.22506,1.98212,20.21566,1.01604,2.83500,
Africa,2003,2.27973,,4.49616,0.77941,5.28609,0.17761,0.60223,12.88505,1.90286,20.66432,0.89329,3.04412,
Africa,2004,2.55835,,5.65716,0.84831,6.18716,0.17835,0.97050,12.81131,2.15912,21.88138,1.00694,4.16077,
Africa,2005,2.59433,,5.68448,0.86697,7.50015,0.20848,1.00193,13.94674,2.16319,24.14172,0.99525,4.50039,
Africa,2006,2.66648,,6.95913,0.88513,8.02884,0.19909,1.07598,13.98748,2.63506,25.05207,1.00463,5.10827,
Africa,2007,2.76497,,6.94635,0.79008,7.84858,0.15022,1.09635,13.33415,3.07871,23.47932,0.97909,5.39008,
Africa,2008,3.23725,,8.66679,0.83586,8.35594,0.17253,1.33822,15.07879,3.47216,26.54173,1.06362,6.60617,
Africa,2009,2.78116,,6.89174,0.64980,4.85545,0.11160,0.71081,10.35860,3.04308,17.24257,0.97374,5.09828,
Africa,2010,3.29490,,7.66234,0.58935,5.19195,0.19238,0.79336,8.75954,3.39978,16.12731,0.90960,6.04511,
Africa,2011,2.74326,,9.17366,0.56701,5.30241,0.29506,0.97610,9.49868,3.55294,17.09916,1.01158,6.89143,
Africa,2012,3.57074,,9.59626,0.51156,3.65648,0.35894,0.82807,9.89669,3.72908,15.79214,0.98921,7.90661,
Africa,2013,3.62559,,9.17573,0.47639,2.61322,0.27869,0.96194,9.12107,3.57016,13.87468,0.99320,7.81330,
Africa,2014,3.39531,,8.95200,0.49471,1.76546,0.22382,0.89752,8.25022,3.42073,12.20072,0.94121,7.41505,
Albania,1951,,,,,,,,0.09615,,0.09615,,,
Albania,1955,,,,1.57927,,,,0.07556,,0.07556,,,
Albania,1956,,,0.06795,3.36369,,,,0.47567,0.06795,1.37266,,,
Albania,1957,,,0.15287,3.70465,,,,0.71341,0.15287,1.83958,,,
Albania,1958,,,,0.18762,,,,0.19750,,0.19750,,0.18762,
Albania,1959,,,,0.12340,,,,0.23269,,0.23393,,0.12216,
Albania,1960,,,,0.22986,,,,0.11351,,0.11351,,0.22986,
Albania,1961,,,,0.11488,,,,0.20653,,0.20782,,0.11359,
Albania,1962,,,0.03135,0.36362,,,,0.56425,,0.59559,,0.36362,
Albania,1963,0.09252,,0.33925,0.68001,,,,0.70935,0.40094,0.71085,,0.70935,
Albania,1964,,,0.07517,0.60635,,,,0.85190,0.07517,0.85190,,0.60635,
Albania,1965,,,0.12518,0.57793,,,,0.50073,0.12518,0.50073,,0.57793,
Albania,1966,0.01777,,0.08885,0.70190,,,,0.49755,0.10662,0.49755,,0.52420,
Albania,1967,0.01537,,0.03075,0.67337,,,,0.64570,0.03075,0.65800,,0.67644,
Albania,1968,0.05397,,0.08075,0.51069,,,,1.20994,0.12113,1.21055,0.00013,0.38896,
Albania,1969,0.02404,,0.04760,0.38078,,,,1.20063,0.04760,1.20777,0.00024,0.39743,
Albania,1970,0.07856,,0.00104,0.52389,,,,1.21788,0.07950,1.23354,,0.40398,
Albania,1971,0.34960,,0.04776,0.62632,,,,1.67591,0.33921,1.71405,0.00095,0.55006,
Albania,1972,0.03616,,0.00945,0.74476,0.08642,,,1.52129,0.01684,1.61579,0.00352,0.67604,
Albania,1973,0.05745,,0.03503,0.91112,0.07862,,,1.93591,0.01401,2.06006,0.00451,0.78386,
Albania,1974,0.11230,,0.00148,1.38932,0.07425,,,3.37131,0.03635,3.47516,0.00326,1.13720,
Albania,1975,0.13637,,0.56793,0.90900,0.28575,,0.00214,3.28399,0.06715,4.16727,0.00136,0.73509,
Albania,1976,0.08008,,0.04338,1.32201,0.20677,,,2.80515,0.00551,3.21415,0.00090,0.96142,
Albania,1977,0.07199,,0.71106,1.31734,0.39467,0.00177,0.00689,2.76359,0.01313,3.42579,0.00012,1.62225,
Albania,1978,0.38673,,0.38564,1.19382,0.20296,,,2.10439,0.10654,2.33411,0.00057,1.51528,
Albania,1979,0.29155,,0.33497,3.35690,0.48375,0.00091,,4.14815,0.05558,5.94610,0.00014,1.68646,
Albania,1980,0.57979,,2.31986,7.11731,0.75900,0.00061,,5.67814,0.08082,10.73754,0.00006,2.88505,
Albania,1981,0.31049,,0.98547,6.32147,0.24166,0.08968,,5.93602,0.09109,8.88593,0.00005,1.97543,
Albania,1982,0.64205,,0.43688,4.19296,0.16834,0.00052,0.00104,6.29447,0.06945,7.64444,0.00005,2.00602,
Albania,1983,0.39547,,0.64289,4.60224,0.20578,0.00051,,5.14165,0.10196,6.56640,0.00036,2.21298,
Albania,1984,0.36793,,0.35479,3.70256,0.13127,,,5.23479,0.07121,6.27296,,1.58683,
Albania,1985,0.22444,,1.02492,3.40463,0.18841,,,3.49499,0.15264,4.83184,,1.71474,
Albania,1986,0.10865,,1.27020,4.43895,0.16133,0.00138,,5.89442,0.44025,6.94274,,2.22209,
Albania,1987,0.21905,,1.37924,3.92614,0.11200,0.00093,0.00046,3.78415,0.38936,4.53403,0.00241,2.52804,
Albania,1988,0.27606,,1.73789,5.01792,0.14656,,0.00109,4.57173,0.42517,5.85430,0.00019,2.85005,
Albania,1989,0.93318,,1.87804,4.65395,0.12944,0.00064,0.00087,4.62174,0.99342,5.74298,0.00604,2.81655,
Albania,1990,0.58016,,1.64312,3.38260,0.12128,0.00040,0.01843,4.91131,0.60494,6.03158,0.12013,1.49720,
Albania,1991,0.55491,,5.20676,0.65054,0.29914,0.00078,0.05736,8.09736,0.87652,13.06604,0.00962,0.62312,
Albania,1992,1.11145,,11.42967,0.12059,0.91522,0.00202,0.59511,10.93132,2.35155,22.44396,0.01463,0.22872,
Albania,1993,0.44977,,0.56929,1.16681,0.66850,0.00358,1.20320,8.06249,0.62961,9.95058,0.00814,1.53531,
Albania,1994,0.25333,,0.19449,0.76311,0.34876,0.00314,0.06492,7.52027,0.31538,8.08913,0.01020,0.73327,
Albania,1995,0.17188,,0.31307,0.77102,0.46928,0.00169,0.01559,8.38901,0.19811,9.21970,0.02558,0.68741,
Albania,1996,0.12388,,0.24232,1.02683,0.34385,0.00283,0.01541,7.61756,0.12851,8.27250,0.00653,0.96514,
Albania,1997,0.01691,,0.12891,0.63543,0.58176,0.00298,0.00494,9.60757,0.14311,10.34031,0.00262,0.49247,
Albania,1998,0.03178,,0.06750,0.43932,0.52828,0.00151,0.00605,9.24235,0.05848,9.90930,0.00261,0.34641,
Albania,1999,0.03971,,0.12539,0.24281,0.27717,0.00038,0.00418,7.31268,0.07992,7.71495,0.00324,0.20420,
Albania,2000,0.02938,,2.50051,0.23679,0.25126,0.00912,0.03358,7.03370,0.06050,7.33729,0.00120,2.69537,
Albania,2001,0.20016,,0.04081,0.20795,0.20385,0.00074,0.01398,7.79143,0.21988,8.03058,0.00260,0.20323,
Albania,2002,0.11289,,0.02600,0.18927,0.19861,0.06549,0.00492,7.19462,0.13970,7.45161,0.01240,0.18809,
