Entity,Year,"Gross value added of Agriculture to GDP (GGDC, 2017)","Gross value added of Mining to GDP (GGDC, 2017)","Gross value added of Manufacturing to GDP (GGDC, 2017)","Gross value added of Utilities to GDP (GGDC, 2017)","Gross value added of Construction to GDP (GGDC, 2017)","Gross value added of Trade, Restaurants and Hotel to GDP (GGDC, 2017)","Gross value added of Transport, Storage and Communication to GDP (GGDC, 2017)","Gross value added of Finance, insurance, real estate and business services to GDP (GGDC, 2017)","Gross value added of government services to GDP (GGDC, 2017)","Gross value added of Community, social and personal services to GDP (GGDC, 2017)","Summation of all sectors GDP (GGDC, 2017)"
Costa Rica,1964,167362.3488562970,1992.3773396617,183621.1638370520,11373.2645080363,64708.4081624051,327540.4424424080,34370.6235522010,102006.3383775210,347514.6119070440,124518.4959810650,1365008.0749636900
Costa Rica,1965,181562.2407541210,2295.5220960539,211559.5427132550,16724.7450962734,81442.6373761752,353672.2503707770,35818.7109134334,105926.9107025020,381159.7677558730,135818.0249725140,1505980.3527509800
Costa Rica,1966,197885.1261195830,2526.8028614545,232874.8038691540,18348.7833764907,81091.7805646462,387659.6995837730,38381.7671505306,112403.5615883600,402861.8693362090,144235.5575084990,1618269.7519587000
Costa Rica,1967,211448.2761885480,2648.1483580970,244058.2282518340,19979.9994434481,86306.5346549132,387266.3052922480,41637.4054391708,119281.1281124700,407613.5752459450,146394.1133985120,1666633.7143851900
Costa Rica,1968,233093.1601617640,2982.5272788619,274875.2052225970,23464.0141333050,92818.8076892505,407973.3639286830,45351.1195458272,122086.4122878070,418901.4137281360,151769.7881522590,1773315.8121284900
Costa Rica,1969,256906.2908861620,3273.8846761492,301727.2393817050,26554.4504765363,96266.3376632765,430992.5952729760,51218.4071379925,130085.8310719360,446088.9124839820,161070.6225804690,1904184.5716311900
Costa Rica,1970,267456.4485004240,3582.6047411757,330179.4489664850,30315.3812307238,100476.6194016250,489093.0596863730,52905.7524940814,138084.8335679540,486481.3954253430,173128.1691860700,2071703.7132002600
Costa Rica,1971,279798.1423133350,3873.0021147729,356943.0055747880,34275.7552824819,117800.1744708710,511046.0424465190,58864.8582453325,148183.1311624820,526519.5583409030,188101.7270628230,2225405.3970143100
Costa Rica,1972,294966.4821285570,4280.9412824451,394539.4303340720,37495.3399432637,143675.8643211360,550147.0378446090,65678.3160756158,157935.3880333980,569215.1214499740,198773.7228583580,2416707.6442714300
Costa Rica,1973,311627.7687759860,4718.2658986361,434844.0721311000,39774.6919154986,148105.4315666900,597226.9285832340,76186.8466477144,170938.8272044540,601015.3437656510,209300.8090028700,2593738.9854918300
Costa Rica,1974,306352.6899688550,5318.4204707369,490155.4224549270,43478.6388703802,159639.8492457070,592906.8637027240,86930.3240415468,186347.1577442980,660895.4281260900,226921.7862035070,2758946.5808287700
Costa Rica,1975,315648.7722440630,5486.7818051915,505671.9130123600,44475.8553582330,168718.2692440200,567779.9557242440,92312.7421394509,196711.6010770380,681888.8896548240,230892.7106430870,2809587.4909025100
Costa Rica,1976,317221.3429073210,5805.1817826712,535016.2411507500,48379.2456106852,203803.9503969230,618033.7716812040,97673.8014353793,204969.1041840260,707842.8315447770,238896.6052166160,2977642.0759103500
Costa Rica,1977,324208.3340820490,6544.3122407079,603135.8649942650,51741.2897697317,211742.0857577670,728768.4959653110,109399.7837200990,215631.4986598020,743274.8341249190,252774.1588570230,3247220.6581716700
Costa Rica,1978,345607.2386770150,7080.8559595446,652584.7219657960,54533.4959357194,224022.0741612830,759361.6084864770,122193.7061036090,227230.3110136900,780478.4368340680,263921.7019452200,3437014.1510824200
Costa Rica,1979,347319.1510446120,7269.6142523827,669981.0337611940,57325.7021017071,267265.1761822360,790836.3669016260,137337.0967044580,241659.6592264160,826185.7201624500,283732.3869313920,3628911.9072684700
Costa Rica,1980,345587.3327192520,7327.6937271022,675333.7450828540,64078.2823194529,264326.7503856800,767384.5861217110,144470.9365643790,247959.1976791700,856302.9223555710,285865.1958535240,3658636.6428087000
Costa Rica,1981,363204.1053392930,7291.0483442435,671956.4391299020,69064.3647587167,206961.6617006840,686052.7524018950,143467.0728715160,245457.6561324960,871893.0034908330,286919.9726577880,3552268.0768273700
Costa Rica,1982,346124.7935788460,6459.9587179011,595361.6890270910,71970.5385233162,140956.7240317860,605778.8937548570,142313.6975648220,247481.9660242090,846647.7016524820,278026.7564649780,3281122.7193402900
Costa Rica,1983,359959.4342239640,6576.1176673399,606067.1116704120,86501.4073463135,147579.1463493970,625175.1034224560,144449.5777624030,258224.0961646300,833094.9606655780,276475.6141057670,3344102.5693782600
Costa Rica,1984,396188.2773521840,7259.9343399295,669088.9152075830,89265.1216126483,182401.6848936520,696456.1739508800,149639.7666425250,270101.3292521440,845584.7415750780,281852.9076176990,3587838.8524443200
Costa Rica,1985,374311.6297709130,7405.8244490462,682534.4162655640,82655.0008931671,192620.3895294350,728504.0021971160,153078.5337606300,279022.4164811460,849836.5818846950,285203.3751135940,3635172.1703453100
Costa Rica,1986,392266.8036729210,7946.5167017914,732365.6097600720,87698.0671317368,198672.6695283110,779507.2171639600,164548.2104216400,296880.9070096520,866843.9431231630,292379.9937622110,3819109.9382754600
Costa Rica,1987,408848.4664892990,8383.4956068233,772638.3901801860,94450.6473494826,200821.6674989260,810673.3995162150,179029.4781612400,317306.2983673040,888546.0447034990,301852.3031024590,3982550.1909754300
Costa Rica,1988,427540.1608285290,8568.1053657530,789652.3654526070,96815.4750206763,200909.3817018090,821209.0679492970,194066.0747522100,340691.4736917870,906262.0459935700,310249.1537403210,4095963.3044965600
Costa Rica,1989,459349.8813334170,8859.5398728273,816511.5061916540,101659.0979616750,225820.2153203690,864718.2928172960,212306.4916395520,366345.9295499650,924420.9473158930,319721.4630805700,4299713.3650832200
Costa Rica,1990,470815.7130047660,9089.7835047508,837731.1832168090,108269.2186811570,220688.9344517570,906640.5550761280,226531.4537554410,391934.1403487090,938328.0083285980,327952.8585334490,4437981.8489015700
Costa Rica,1991,500256.6245358860,9280.6160645432,855318.6632736940,113141.3335218090,204154.8072084520,908536.0937481890,233109.9647639910,397239.4467898450,947717.4890123360,334943.3400989600,4503698.3790177100
Costa Rica,1992,518462.3923127140,11113.7906226062,948863.0415084900,120960.7943995620,230568.3798854760,1035537.1497989400,259590.6589319540,412142.8171825970,978390.2030405510,357013.9015436380,4872643.1292265300
Costa Rica,1993,537483.2469542830,9587.0785951367,1010732.9069243000,125174.1596567250,257906.4308312960,1131768.2343358700,291019.7916186620,429444.1174338160,997584.5473918770,395985.3568921950,5186685.8706341600
Costa Rica,1994,554962.0644659970,10363.9929257336,1048661.2505471400,134511.5396934730,276350.0167086380,1189565.2838277400,313419.7860964290,456587.0570666730,1027926.9091521200,411597.6430869630,5423945.5435709100
Costa Rica,1995,595658.8949226760,9976.9205682440,1091959.5516812900,138654.9267202680,297409.0153237470,1230660.8410291700,336207.5984217620,467220.1355864670,1052346.2055986500,418265.8920425860,5638359.9818948500
Costa Rica,1996,606443.3543728110,9500.1656654506,1097759.0653785000,142285.8510673400,244151.3873022230,1223551.2083320300,352305.4322421870,477625.0258915120,1054555.1201409300,435975.1311134390,5644151.7415064200
Costa Rica,1997,615438.3270058230,10730.1745246804,1181783.9031758400,150182.4962434690,259064.3920123630,1298645.8321560400,387153.8044001220,504654.3382312760,1082692.3675148000,447193.7137251430,5937539.3489895500
Costa Rica,1998,665908.9021749540,11723.0190792942,1316251.2360912100,163212.8314598270,304137.9434824740,1408656.4559896100,418617.9501027730,532705.9567839460,1110038.7872358000,488904.4589685550,6420157.5413684400
Costa Rica,1999,696065.4799134620,11010.2699546152,1641375.6077861200,173329.8154209750,299255.4390758500,1442429.7349738200,447296.7807364210,584626.6444330280,1145833.5308181300,500724.9211183190,6941948.2242307400
Costa Rica,2000,700793.7263329420,11704.0145449454,1593410.5972601900,184484.0168523020,312364.1857812540,1463889.4191321500,492783.9115191010,648045.4781047820,1174667.1875149200,514049.2830669280,7096191.8201095000
Costa Rica,2001,710561.4882567630,12450.3784518097,1448829.5792746500,192051.7002537890,357327.2233501660,1492075.1969605200,538138.3315599130,703581.0781976170,1207573.6954085300,516177.4131114980,7178766.0848252600
Costa Rica,2002,687368.8505013750,12070.2637489545,1498054.4138274200,202307.6283314130,351817.4207184770,1515761.7469642800,602864.6621613860,746123.2458430910,1238870.4964061100,535719.0808496080,7390957.8093521200
Costa Rica,2003,738100.3374117300,12579.3066386244,1624327.1481647700,214123.7207221160,368827.8804025390,1566871.3525001900,685549.8574771140,811604.0324256040,1266945.6519383300,560368.5919224730,7849297.8796034900
Costa Rica,2004,743454.4950212200,13545.6194292944,1688553.0210780700,222775.2270016460,391921.4528169700,1628101.7782339300,768027.9615756770,876017.7956056240,1297554.0460305000,556433.0023749780,8186384.3991679100
Costa Rica,2005,775343.1149251610,14578.0649596653,1870398.5827785900,235866.1159516630,390989.2673430930,1693282.8312916300,841952.0115925930,931201.8363459330,1327497.4244717600,587351.4964115110,8668460.7460715900
Costa Rica,2006,873736.4327087400,18320.0804916819,2073213.2608767100,250162.0542288020,462095.2750010630,1775247.5375785200,930584.7645372160,1055778.5444534700,1355077.7079222100,603796.2702324090,9398011.9280308100
Costa Rica,2007,922723.3391926560,18048.0643874205,2218772.6915891000,255996.7265347060,560313.1628485030,1893022.2697162800,1022044.0685282000,1169297.7081811700,1387793.4401117600,636690.4505691020,10084701.9216589000
Costa Rica,2008,892856.8870028690,17035.8507499192,2136979.6435911500,254550.4091905320,642003.9270662600,1957104.8221105800,1099268.2728129300,1281036.3169462600,1440861.1609500600,673300.2114215160,10394997.5018421000
Costa Rica,2009,868273.3415520980,14623.2409662064,2053428.4272574300,262954.6857413650,622822.6693339140,1839465.6795814500,1131997.0731503700,1363838.5038106900,1508366.7879745200,714251.9178652380,10380022.3272333000
Costa Rica,2010,926130.0073625760,13579.0495980664,2135879.9265349200,270125.6615479030,597477.8478011470,1916255.5199881100,1210268.7019141600,1463754.5989940700,1565030.7328611800,751328.4230681830,10849830.4696703000
Costa Rica,2011,936774.9680968700,13146.7391358023,2226244.0232554400,277802.5224266660,574731.0949966220,1996124.2769755300,1303240.9673917700,1580127.3180880500,1583363.1057154200,787625.4175188380,11279180.4336010000
Denmark,1947,4977.0888121804,4567.5546610365,45422.3582832673,1028.6606137858,16658.7997999174,27215.8332396174,22787.7650968803,937.6530831408,57954.1253365317,26125.2472933662,207675.0862197240
Denmark,1948,5129.5314150950,3996.6103284070,47557.3778698334,1182.9597058537,18562.2976298159,27491.6693873162,21295.5086922101,968.9286274444,61320.4811362619,26017.6727456876,213523.0375379250
Denmark,1949,5567.3984660200,2105.3572265715,52553.7639126221,1381.3442527981,21653.8847092484,29753.5257984465,22204.3265025732,998.9776798145,61848.5369479843,25756.4202727540,223823.5357688330
Denmark,1950,6332.8549402295,1516.5708835473,57814.2760898314,1719.3327401848,24272.7911195115,32631.4162727710,22563.3656375314,1027.8002402511,61188.4671833313,26217.4540485193,235284.3291557090
Denmark,1951,6259.8770984087,2551.4074864384,57153.9607537800,1858.9366806272,24132.2644340828,31748.7406001347,24919.5599606948,1041.9048974861,64686.8369359921,25725.6846877030,240079.1735353480
Denmark,1952,6733.4222053350,2301.6193409129,55378.4461835085,1895.6745596910,25575.8567480327,31932.6313652673,24515.6409338668,1076.2466716233,67162.0985534408,25833.2592353815,242404.8957970600
Denmark,1953,7317.2449399016,1409.5188211792,57660.2025114194,2248.3581987032,28475.8165291532,34120.9314703446,24605.4007176063,1134.5050384634,72442.6566706646,26663.1200317590,256077.7549291950
Denmark,1954,6605.3055496940,1391.6768107846,60822.3792873988,2505.5233521497,28769.6450532315,36125.3408102894,25166.3993659786,1184.1779617690,74620.8868940194,27277.8317327794,264469.1668180940
Denmark,1955,6760.9916122451,1605.7809355207,60272.1165073559,3078.6342655446,27326.0527392816,36226.4807311123,27320.6341757280,1199.5091109375,77393.1799055619,27508.3486206621,268691.7286039500
Denmark,1956,6988.0337867987,1944.7791330195,60389.5059004317,3262.3236608635,27837.0588681135,36318.4261136786,30237.8271472636,1226.4919334739,79076.3578054270,27231.7283552029,274512.5327042730
Denmark,1957,7933.5022708330,2230.2512993342,65151.1131570689,3078.6342655446,28897.3965854395,39508.9308887283,30316.3669580357,1278.6178406465,82046.6717463654,27815.7044711723,288257.1894831690
Denmark,1958,7620.5084159126,2016.1471745982,67726.3429676692,2968.4206283533,29663.9057786872,42984.4663497335,30103.1874716543,1333.1967316861,81419.6054699451,28645.5652675498,294481.3462557890
Denmark,1959,7148.5850388046,2105.3572265715,75796.8637416305,3842.7821500712,34403.4876236024,47471.4010189677,32167.6624976641,1436.8353000647,85644.0519637242,29659.8395742334,319676.8661353340
Denmark,1960,7704.8383664611,2105.3572265715,81475.5756316723,4019.1239695774,37418.4237837101,51820.4176143526,33592.5990645296,1523.9162273413,88020.3031164749,30658.7460883915,338339.3010890820
Denmark,1961,8188.1138522968,2194.5672785449,86963.5297579659,4092.5997277049,43039.4912008601,55240.7858458180,34725.8163342415,1584.6275780483,90165.5298515971,31519.3424698200,357714.4038968980
Denmark,1962,8319.4739675743,2123.1992369662,93640.0514891520,4768.5767024785,46041.6522077471,58753.0994598497,33996.5180913576,1646.5654206887,101287.7053860000,31842.0661128557,382418.9080746700
Denmark,1963,7789.1683170096,2016.1471745982,93977.5459942449,5576.8100418816,46859.2620138780,59608.1915177160,36105.8730092372,1732.4198560319,104984.0960680560,33025.3861373200,391674.9001299740
Denmark,1964,8483.2686792166,2087.5152161768,102649.6874077200,6069.0976213362,55124.7861477327,65952.4229147890,37373.7299545585,1899.8360049511,109406.5634912310,33809.1435561210,422856.0509938330
Denmark,1965,8658.4154995866,2016.1471745982,107829.4943771890,6487.9094426633,58931.7818075298,70053.1869772449,39258.6854130892,2066.0256619368,114027.0518438020,33993.5570664271,443322.2552640670
Denmark,1966,8408.6691075775,1944.7791330195,110125.9243792350,7399.0088434450,62368.2980239238,72462.1560004813,40818.2616555640,2299.0591292968,122112.9064608010,34208.7061617842,462147.7688951280
Denmark,1967,8609.1808345293,1659.4447428467,114648.6328474570,7672.8047654051,67290.6445869159,75953.6912832514,40167.1668126532,2519.7665958723,131517.3686962150,33885.7387697734,483924.4399349200
Denmark,1968,8789.8745419568,1524.2863475017,122037.8466828620,8846.2158595197,62467.3641182733,79537.3785236313,44514.3263653207,2898.4774052279,137394.0239792900,34215.1655096244,502224.9593332080
Denmark,1969,8799.2006687918,1449.1983500879,130307.2803481900,11036.5832352003,69321.4995210812,84068.1831061116,46095.5566981039,3288.5136290134,145111.6684945620,35468.2789906263,534945.9630417690
Denmark,1970,7849.1014974795,1314.0399547429,134644.6793785340,11818.8572979434,71996.2840685184,84897.5507245995,47515.2371826462,3479.1120669823,154933.3007037750,34912.7750763678,553360.9379515890
Denmark,1971,9241.8828521206,1226.0923987168,137337.7566721870,11964.5394478409,77214.3194730532,85035.9534277691,46669.8832413210,3690.0520972183,159986.8514665810,35735.6838062323,568103.0148830390
Denmark,1972,9481.3449173683,1517.8547545499,144998.1199220560,12195.7969351581,82175.5962578166,86942.3916615323,46815.7590068348,3924.5476967041,166378.2865972100,34756.2472155004,589185.9449647310
Denmark,1973,9025.7309548322,1771.1666060346,149788.4196505870,11771.0135137853,73177.3737194665,96192.4733560559,49393.5109286041,4180.9794844329,174066.3532712260,34908.4966808136,604275.5181658390
Denmark,1974,9996.4794180193,1339.8019652121,148107.8414208760,12138.8252750599,68519.5389398874,92737.9466971645,44957.3101155305,4205.2568862650,178252.2040086120,34714.7173812359,594969.9221078630
Denmark,1975,9663.5243059610,1409.9467828301,142718.5209074380,14657.9887415008,61329.1305016546,92543.9576212459,43353.7872620087,4200.0364712452,178608.9469743030,34955.6893896827,583441.5289578700
Denmark,1976,8729.9451840201,1440.2780945065,146074.4326637350,14371.8717424674,64368.2188920390,102479.4170962050,46463.6237829380,4501.7210495235,188671.7228604050,35869.4754873718,612970.7068532120
Denmark,1977,9608.6569122523,1987.8561263012,146410.9843707170,15372.0636967623,63498.7408387225,101689.0318939120,48376.8688056672,4521.5005926491,193580.0625605890,37337.5426924468,622383.3084900200
Denmark,1978,9992.3375762074,1776.8878940584,146675.2385790770,14856.9233019270,64077.6148178433,100599.6070930820,47340.6593392284,4771.6831171479,204257.0938603920,38839.9773917745,633188.0229707360
Denmark,1979,10113.8268969675,2072.8195440734,153979.0473360960,14802.2505277214,58258.5308261165,104913.2218888640,52784.2312709777,4979.2226105084,216028.5686240560,39596.9939992012,657528.7135245820
Denmark,1980,10116.7095166678,1411.7975149031,157957.7762742020,11892.3968033109,63555.9279858533,100413.2349471850,50783.9333695850,4811.1157165194,224225.6293825630,40751.5153519588,665920.0368627490
Denmark,1981,10798.0548850259,2444.5987376864,151872.3881997950,11249.3937427406,53394.1220660850,98042.3062618289,51219.9855403429,4825.3588665697,232375.7500985260,41951.3805290073,658173.3389276080
Denmark,1982,11626.7326317398,4759.1007599379,156100.0534550760,14708.4894411224,51638.8267745573,103593.9108630180,50401.5334555132,4910.3464282859,239970.2103769190,42061.9079191551,679771.1121053240
Denmark,1983,10950.0046143892,6127.4433416316,166913.2497769900,15217.4365574017,52376.4242640822,104769.7620337290,48672.4409276312,5116.9538625230,240733.2446470880,42671.1690523377,693548.1290778040
Denmark,1984,12906.2793574121,6082.7125444472,173028.1947143520,16365.3442946635,57770.6894485510,106827.8498178640,52113.2284425162,5377.4959293326,239794.7414021470,44630.5466505320,714897.0826018180
Denmark,1985,13012.7438007646,8062.9936846686,176530.7700412850,20316.4056224896,60529.6775264575,113062.4215584830,50582.2489495221,5625.3540659917,244829.7651703170,45578.7877006050,738131.1681205840
Denmark,1986,13013.7647337042,12347.5996891307,178158.6881228020,18611.8128585206,65815.4038398411,119258.1815193700,51318.9411804261,5906.9305489848,241670.6097691060,49078.0105574634,755179.9428193490
Denmark,1987,12069.8265789811,15658.6414772794,168502.1045444310,18154.5483867834,72658.0210567472,119359.3463890000,57537.0216216183,6042.9351510281,242540.9034319810,49182.7526290798,761706.1012669290
Denmark,1988,12090.7943013184,15125.6224368459,163820.2666997880,20550.7983544050,73578.8508340181,116566.4447711710,61300.1814683346,6203.9756901489,244859.4132529270,48590.2805104393,762686.6283193970
Denmark,1989,13568.0444215209,17471.0380726671,169904.7909882010,21142.0072624065,71550.4577378245,106763.1060095110,63771.0978856945,6628.2952971737,244280.1730124170,45450.9683651834,760529.9790525980
Denmark,1990,13920.6575871006,17808.5985847054,164054.0665246040,21462.8525576027,64266.6825287658,111838.7423851160,66103.6023020227,6936.5567768736,241640.3565427390,52738.9461307532,760771.0619202820
Denmark,1991,13688.1379040569,20426.1967484659,159758.2146191150,24699.1658276121,61037.3593428236,120740.6521280850,64414.5513224889,6976.7177073415,242008.1496844760,52865.5788554868,766614.7241399510
Denmark,1992,13923.5311386864,22996.5997078304,156799.2284879090,27738.3050160713,61615.0662373091,121860.5191887750,68632.8041832112,7057.2915132276,245486.0232959570,53262.9305439546,779372.2993129320
Denmark,1993,16605.0462135001,23009.7075122165,151977.0867890240,25447.1853925351,53852.7863277674,123397.0466531560,63656.1745026931,7112.0459025541,252558.8641648590,54452.7776198290,772068.7210781340
Denmark,1994,17199.5335664313,24558.5083148471,166441.7105399270,23592.0196456149,57181.3117077122,127749.3018753080,69522.2343562285,7326.3592847913,257371.3584183200,56971.1553447609,807913.4930539420
Denmark,1995,18032.7926658461,25600.6868998137,174169.6528537350,26423.4300614640,59947.3022934307,134978.9934922870,72785.0279378432,7226.8808814499,263696.2798458900,57042.1550532006,839903.2019849600
Denmark,1996,18434.4016853933,31081.4266540497,166610.0460039180,28796.3309363982,63040.2095630820,145433.4269748730,78213.9379595087,10532.4436360979,270202.5394327670,57349.3811258493,869694.1439719370
Denmark,1997,18829.9222069063,35178.3631582860,179725.1866707540,28349.4587612182,61379.8082845074,145082.7894496180,81019.6854566852,21073.4095874771,274965.5422331010,57246.5115732706,902850.6773818240
Denmark,1998,19275.1524503591,33705.3912627622,180331.8959483910,28089.2802846387,66876.2597278171,150055.9712590850,78508.8785158980,23673.9948214425,282023.8870936250,57624.1761169907,920164.8874810110
Denmark,1999,18591.2355507688,41373.2262370951,182720.5890587480,28357.9892933403,71289.5585041464,156213.5407019270,87868.1326521004,25848.1652802496,284699.3479225540,57560.5871937370,954522.3723946670
Denmark,2000,20137.2566200000,47576.0962000000,189142.4445336790,27937.6071500000,71974.7888400000,165914.8362213340,97803.6521632096,27839.1955846522,289674.0250751780,56869.0577916130,994868.9601796660
Denmark,2001,20908.0224155702,45689.9534891172,189941.6495691440,28773.4444891392,67103.7284167678,163581.0752055700,103215.7335090710,31002.8915190356,292468.5091544320,56121.7057831985,998806.7135510460
Denmark,2002,20141.0739533998,48803.0419298029,184541.3351127720,26823.5248106787,66385.1923062586,162652.0190374610,105425.7966246670,35860.4982179666,297036.4260800970,56859.3427785407,1004528.2508516400
Denmark,2003,20343.6823924516,47514.8649517685,180842.9471583120,27600.9542366034,68335.7347393300,164858.2085485040,111489.3228991300,40803.5568007220,297096.5078528750,55946.8440017198,1014832.6235814200
Denmark,2004,20203.9027904959,50741.1596670263,183198.1199853140,27348.9702385744,68413.4314824873,168042.4167529640,111902.2784148410,46735.3398303840,297718.5748374430,55605.7998550617,1029909.9938545900
Denmark,2005,18722.0000000000,50550.0000000000,185542.0000000000,26888.0000000000,70898.0000000000,175777.0000000000,111831.0000000000,54334.0000000000,296679.0000000000,56405.0000000000,1047626.0000000000
Denmark,2006,17514.9599560107,46728.1666310383,194871.8926230850,26170.2768076234,75121.9097552712,188938.6568100190,118918.0608070590,63699.2780892549,302438.9763877050,54921.0736223670,1089323.2514894300
Denmark,2007,17219.3304569869,42007.1069909955,201421.9867374240,25288.9835986493,73262.6040685945,192068.2415720440,131215.8321038560,71261.2328994140,302135.1826003330,53778.5520151204,1109659.0530434200
Denmark,2008,18393.7286720701,38684.3957246007,197967.1881356280,26208.6509178068,76342.3152626105,191424.3905260190,98714.6451333491,77981.8299539325,307821.9114112770,53418.6102842431,1086957.6660215400
Denmark,2009,23284.1196077928,33821.1768214616,180382.4507859160,23039.5206707782,65965.9630662173,165836.3072108650,91871.3587109396,68645.7009249434,314964.0975699220,52879.4255708474,1020690.1209396800
Egypt,1960,15619.0984541499,8364.4757901433,9140.4548815501,238.7104076730,416.1119681340,7049.3039656747,1722.9458162355,1290.5549599280,2147.7643980099,948.9541549502,46938.3747964486
Egypt,1961,14467.1560054579,9076.1591294307,9918.1616519341,318.9327577927,692.8923270285,7365.0894637924,1970.7667898036,1332.5242269175,2118.1848413023,935.8849173443,48195.7521108041
Egypt,1962,16538.3252566414,9641.4055676302,10535.8464531033,360.0222541954,786.0938764522,7481.6871861744,2142.7242000346,1357.0062993280,2312.2555914080,1021.6318665151,52176.9985514827
Egypt,1963,17566.1526940265,10824.6157284208,11828.8239643590,363.9355395671,903.7726004720,7204.7675955173,2427.6340267898,1376.2422133649,2608.7726110862,1152.6430044676,56257.3599780711
Egypt,1964,18500.8938729314,11275.6413837716,12321.6916295406,438.2879616292,871.7639875386,7379.6641790902,2656.9105737644,1400.7242857755,2854.0664959782,1261.0220480292,58960.6664180489
Egypt,1965,18691.5919716045,11552.6056501657,12624.3500918628,459.0688563616,893.4168727583,7915.5683635241,2939.2073222268,1423.1657963620,3092.9993857059,1366.5905911485,60958.5649017202
Egypt,1966,18329.2655841257,11635.1623064946,12714.5655950550,476.0714065972,833.1653660601,8376.7973747172,3038.8414687430,1473.6591951817,3192.4936678624,1410.5504931441,61480.5724579811
Egypt,1967,18917.2513883676,10450.0748204818,11419.5365976187,668.7669759342,723.9595101698,8411.9386327129,1710.3861818608,2111.3721210153,3432.0321923268,1516.3866259489,59361.7050464369
Egypt,1968,19117.4843919743,11105.2018352215,12135.4402681116,749.5409961011,988.5012817663,8736.9952691728,1739.0687391912,2156.2551421884,3607.9644419335,1594.1193788564,61930.5717445171
Egypt,1969,20366.5569382829,12793.8607146780,13980.7573788610,836.9033060419,1074.1713928527,9207.0095948649,1929.2793825403,2206.7485410081,3862.3895413647,1706.5328984457,67964.2096889401
Egypt,1970,20092.1532692090,13489.4161324952,16434.3483670796,800.8644076956,1017.8472384760,9487.6731843125,2151.5387123244,2244.9974142086,4152.5613758581,1834.7405213335,71706.1406229925
Egypt,1971,20893.6753569591,12069.9836921924,16250.8071092000,957.0329671963,963.5767867786,10002.8585966015,2219.3291732368,2257.3674176210,4311.5111988887,1870.0813363495,71796.2236350238
Egypt,1972,21488.3308624377,8138.0857618264,15051.9670792977,859.8746238717,975.4731838659,10216.6942107859,2325.0287885074,2200.4644679836,4276.9814924520,1855.1043696717,67388.0048406999
Egypt,1973,23037.7951121408,13297.9364220499,18321.9056490744,942.4277676017,1192.8056780208,12182.0057797697,3234.3619629421,2732.9120354637,4893.3314463936,2279.0538029880,82114.5356564448
Egypt,1974,24383.2436392277,8237.4589099046,19156.3312321119,1150.5273000417,1441.6360015814,12972.9444109196,3558.9437419859,2981.4404446196,5166.9462985233,2203.0581042868,81252.5300832024
Egypt,1975,25258.9895475235,16906.0795809338,20981.1939802844,1655.2284649248,2394.4981533116,13959.6791247807,4933.6430414654,3241.6749020328,5437.9879702254,2225.9385297022,96994.9132951844
Egypt,1976,25651.2686577227,30113.2451059048,22406.5725258130,1834.6246135800,2301.6804929358,15291.4802022316,7473.0181363373,3461.3884231705,5624.1146878182,2341.1578148299,116498.5506603440
Egypt,1977,24899.4003631741,39723.6138341269,23931.2311690400,2057.0758379124,2597.9070686032,15969.9814789533,8773.2545570950,4010.6722260150,6192.7875623071,2431.0452003906,130586.9692976180
Egypt,1978,26289.5824730031,48426.2735915606,25240.7829339203,2461.3151595486,3374.0206968519,17547.9815911005,10186.1399482267,4850.8063047918,6715.1431891001,2543.8130113667,147635.8588994700
Egypt,1979,27390.7168174221,53395.9802066270,27557.3185468855,2571.3447973905,3789.7253247052,20296.8810493617,11925.5164229848,5474.8287234331,6818.9281330113,2654.1293481912,161875.3693700120
Egypt,1980,34564.0734844505,47395.5503715723,32833.7059026121,1657.5275475801,3140.6948509198,23262.7810462622,17352.6329988701,7985.6108586070,9173.9005723838,3111.1250968135,180477.6027300710
Egypt,1981,30415.7394096800,36809.3321962480,30761.4651187119,1582.1556596422,6638.3451054292,22129.5753611842,15530.7301998669,7637.3497366593,8537.7702881334,2937.2500727280,162979.7131482830
Egypt,1982,31639.5478370189,42653.5724954724,34507.8618143171,1749.4156549842,6971.8354282612,25224.1027159685,17532.5654284498,8442.5304190303,10815.3918183930,3720.8204640163,183257.6440759120
Egypt,1983,32939.1674058745,48779.2634606651,37559.5853218996,2019.5095733883,7418.5866154512,26962.4328523122,19292.0364384382,8822.7057958048,14578.5499259903,5015.4601711293,203387.2975609530
Egypt,1984,33991.2403901861,53952.9889380238,41289.8536184462,2211.5488272994,7701.7387763463,28950.5230657169,19741.0316895523,9826.9841032380,15416.9326588783,5303.8890770430,218386.7311447300
Egypt,1985,35120.6716821677,54486.9174072873,44342.7291545329,2717.0457021107,8009.4307911857,29514.1483062842,21011.1134119942,10318.3552838552,16218.2049468199,5579.5508724069,227318.1675586450
Egypt,1986,36126.3296818773,53344.5588218865,47563.8008522304,2983.4227317294,7813.1119596317,31036.0197091752,22057.4743172721,10986.4091251236,18163.9051881859,6248.9303453358,236323.9627324480
Egypt,1987,37226.0084673326,56629.0433353360,51131.2059730508,3207.2945377948,8319.1608484986,32433.4485280716,23359.0150731522,11058.5451963406,19746.7763774446,6793.4856986499,249903.9840356720
Egypt,1988,38221.1550488473,54648.5573332839,54785.0520641064,3453.0355691313,8863.7134571705,32754.1496366311,25132.1881516729,11081.0339004714,19907.7310868852,6848.8589654462,255695.4752136460
