Entity,Year,"Gross value added of Agriculture to GDP (GGDC, 2017)","Gross value added of Mining to GDP (GGDC, 2017)","Gross value added of Manufacturing to GDP (GGDC, 2017)","Gross value added of Utilities to GDP (GGDC, 2017)","Gross value added of Construction to GDP (GGDC, 2017)","Gross value added of Trade, Restaurants and Hotel to GDP (GGDC, 2017)","Gross value added of Transport, Storage and Communication to GDP (GGDC, 2017)","Gross value added of Finance, insurance, real estate and business services to GDP (GGDC, 2017)","Gross value added of government services to GDP (GGDC, 2017)","Gross value added of Community, social and personal services to GDP (GGDC, 2017)","Summation of all sectors GDP (GGDC, 2017)"
Tanzania,1967,1307194.9265447900,113340.9690565200,361929.4057036920,33508.5410933776,347148.4811083270,632818.4407450000,242233.8300170620,126750.4485284070,279295.2167610910,15452.9090923007,3459673.1686505600
Tanzania,1968,1361163.7187743900,80283.1864150351,386606.4106380350,36554.7721018665,369892.6919395620,707267.6690679410,279291.9905793740,120147.0795338670,287964.2990627170,15932.5540438835,3645104.3721566700
Tanzania,1969,1366472.1245674600,79692.8688678657,425203.7773302120,41631.8237826813,348345.5448362860,708818.6946580020,291042.1390503500,131676.3760070630,290979.6320371960,16099.3870705211,3699962.3682076400
Tanzania,1970,1417786.7139005200,57260.8020754295,453044.5008458800,46708.8754634961,391439.8390428370,763104.5903101470,329456.0859746980,133623.8651762390,326409.7944873210,18059.6751335120,3936894.7424100800
Tanzania,1971,1400534.3950730300,89728.2671697452,496071.0735519140,48739.6961358220,454884.2166247040,753798.4367697790,367870.0328990460,146777.6786809770,358824.6239629670,19853.1301698654,4137081.5510378500
Tanzania,1972,1515107.4867735700,70247.7881131558,537832.1588254170,53816.7478166368,481219.6186398180,767757.6670803310,392726.1162030350,152159.3147591780,403677.7019583380,22334.7714410985,4396879.3716105800
Tanzania,1973,1529705.6027045300,53718.8967924132,561876.4200434940,57878.3891612886,500372.6382871740,805757.7940368320,408995.5525474650,168859.7667865420,436092.5314339840,24128.2264774519,4547385.8182711700
Tanzania,1974,1466447.1003370500,51947.9441509051,569469.3446386760,64478.5563463479,494387.3196473760,828247.6650927210,432947.7782767640,194911.1370955010,513360.4389050010,28403.3227850385,4644600.6072753800
Tanzania,1975,1590752.2693248900,43093.1809433645,571367.5757874720,70571.0183633256,469248.9813602210,832900.7418629040,450573.0009832290,199352.9443269600,595905.1790813560,32970.3768892407,4856735.2689229700
Tanzania,1976,1668608.8876233300,56080.1669810907,672606.5703899030,68540.1976909997,430942.9420655090,846859.9721734560,466842.4373276580,166742.8976619070,674680.7530396120,37328.8897101460,5089233.7146636100
Tanzania,1977,1687792.5405431600,60535.1335169718,631929.5454997280,76364.4211717074,446055.1945587570,829857.1477937850,457699.5290595200,175152.8226802690,705734.5773174840,42586.4798101666,5113707.3919515500
Tanzania,1978,1667133.2220141100,49528.7456047951,653225.1644128200,89509.1166192964,381706.2484584770,834331.5752621190,470721.2468959590,203199.3238113670,768282.6507320300,48369.8289201892,5166007.1227311600
Tanzania,1979,1672298.0516463700,52411.3710103652,674999.3365599140,99524.1226746023,428505.4819859530,846859.9721734560,452712.4881859900,242677.9455392790,903556.7940150100,45390.5278635109,5418936.0916544500
Tanzania,1980,1737227.3384519700,49528.7456047951,641979.1634137710,125187.5756913240,454342.5588292470,846859.9721734560,503691.1282265180,247518.2996121290,884846.0672219460,53977.9250268778,5545158.7742520300
