Entity,Year,GDP per capita indexed at 1950 (Maddison Project Data 2018)
Anglophone Offshoots,1966,146.9883788
Anglophone Offshoots,1967,149.0646219
Anglophone Offshoots,1968,154.5078377
Anglophone Offshoots,1969,158.1350296
Anglophone Offshoots,1970,157.0975371
Anglophone Offshoots,1971,160.2829188
Anglophone Offshoots,1972,166.6949985
Anglophone Offshoots,1973,174.5571854
Anglophone Offshoots,1974,173.2015998
Anglophone Offshoots,1975,171.4599611
Anglophone Offshoots,1976,178.5634114
Anglophone Offshoots,1977,184.161817
Anglophone Offshoots,1978,192.085967
Anglophone Offshoots,1979,196.7183689
Anglophone Offshoots,1980,194.856678
Anglophone Offshoots,1981,197.8666565
Anglophone Offshoots,1982,192.2131817
Anglophone Offshoots,1983,197.8205878
Anglophone Offshoots,1984,210.0314254
Anglophone Offshoots,1985,216.5024672
Anglophone Offshoots,1986,221.5763266
Anglophone Offshoots,1987,227.3624959
Anglophone Offshoots,1988,234.6990077
Anglophone Offshoots,1989,240.1175043
Anglophone Offshoots,1990,241.0957284
Anglophone Offshoots,1991,236.8575081
Anglophone Offshoots,1992,240.9811378
Anglophone Offshoots,1993,244.7411882
Anglophone Offshoots,1994,251.9386785
Anglophone Offshoots,1995,255.4488218
Anglophone Offshoots,1996,261.5625468
Anglophone Offshoots,1997,269.9121133
Anglophone Offshoots,1998,278.482444
Anglophone Offshoots,1999,288.7487862
Anglophone Offshoots,2000,297.5038204
Anglophone Offshoots,2001,298.1400222
Anglophone Offshoots,2002,301.3160044
Anglophone Offshoots,2003,306.193358
Anglophone Offshoots,2004,313.9009052
Anglophone Offshoots,2005,320.5633784
Anglophone Offshoots,2006,325.9411891
Anglophone Offshoots,2007,329.5910212
Anglophone Offshoots,2008,325.9535573
Anglophone Offshoots,2009,312.8405028
Anglophone Offshoots,2010,318.980416
East Asia,1950,100
East Asia,1951,105.4409143
East Asia,1952,111.5164342
East Asia,1953,116.1716242
East Asia,1954,118.6927464
East Asia,1955,122.0267188
East Asia,1956,127.6940776
East Asia,1957,129.9974747
East Asia,1958,135.8943439
East Asia,1959,138.9917032
East Asia,1960,143.6828943
East Asia,1961,142.1550792
East Asia,1962,145.5834954
East Asia,1963,152.2010295
East Asia,1964,162.8476897
East Asia,1965,167.2350106
East Asia,1966,174.7568048
East Asia,1967,179.4916168
East Asia,1968,186.1928827
East Asia,1969,199.1871755
East Asia,1970,213.0580345
East Asia,1971,216.342912
East Asia,1972,222.2394071
East Asia,1973,234.8932079
East Asia,1974,232.5024331
East Asia,1975,238.5954998
East Asia,1976,242.8785364
East Asia,1977,253.084296
East Asia,1978,266.3642408
East Asia,1979,273.1719021
East Asia,1980,279.7623496
East Asia,1981,288.7527451
East Asia,1982,296.2369691
East Asia,1983,306.2078232
East Asia,1984,320.715068
East Asia,1985,332.9129923
East Asia,1986,343.9563514
East Asia,1987,361.2242376
East Asia,1988,380.9018442
East Asia,1989,392.4089181
East Asia,1990,405.7261626
East Asia,1991,419.4120953
East Asia,1992,436.3562426
East Asia,1993,453.548343
East Asia,1994,474.6680041
East Asia,1995,506.9496549
East Asia,1996,521.0245322
East Asia,1997,533.65507
East Asia,1998,521.9979091
East Asia,1999,538.6201474
East Asia,2000,563.7213372
East Asia,2001,587.0723127
East Asia,2002,618.9284817
East Asia,2003,665.5692604
East Asia,2004,703.159792
East Asia,2005,739.4137094
East Asia,2006,783.4582003
East Asia,2007,817.1647196
East Asia,2008,848.9951097
East Asia,2009,889.6162403
East Asia,2010,956.444893
Latin America,1950,100
Latin America,1951,102.8693406
Latin America,1952,102.9003341
Latin America,1953,104.3996786
Latin America,1954,107.9209645
Latin America,1955,112.2646226
Latin America,1956,113.5121947
Latin America,1957,118.8266215
Latin America,1958,121.7849419
Latin America,1959,120.8902694
Latin America,1960,125.6492766
Latin America,1961,128.2477085
Latin America,1962,129.4312283
Latin America,1963,129.2657343
Latin America,1964,134.633516
Latin America,1965,137.5859764
Latin America,1966,140.4222026
Latin America,1967,142.5467648
Latin America,1968,147.4266308
Latin America,1969,153.1097121
Latin America,1970,159.84109
Latin America,1971,165.0985929
Latin America,1972,171.3708644
Latin America,1973,180.8125782
Latin America,1974,187.0743171
Latin America,1975,188.6295325
Latin America,1976,194.3780902
Latin America,1977,198.7004925
Latin America,1978,202.2825187
Latin America,1979,211.2277616
Latin America,1980,218.5381835
Latin America,1981,214.4599704
Latin America,1982,207.1904119
Latin America,1983,196.7165942
Latin America,1984,200.1574521
Latin America,1985,202.5904115
Latin America,1986,207.2960647
Latin America,1987,210.1478769
Latin America,1988,207.4088933
Latin America,1989,205.5451472
Latin America,1990,202.5738536
Latin America,1991,206.9729257
Latin America,1992,209.7042919
Latin America,1993,214.4101111
Latin America,1994,221.3608135
Latin America,1995,220.275562
Latin America,1996,224.1873099
Latin America,1997,232.5443999
Latin America,1998,233.9811224
Latin America,1999,230.3725203
Latin America,2000,236.5534114
Latin America,2001,234.6488666
Latin America,2002,230.9684456
Latin America,2003,232.165819
Latin America,2004,243.7076202
Latin America,2005,252.1917188
Latin America,2006,263.1799165
Latin America,2007,275.5907638
Latin America,2008,283.3764821
Latin America,2009,274.4373953
Latin America,2010,288.2274799
Middle East,1950,100
Middle East,1951,103.6061358
Middle East,1952,109.0536273
Middle East,1953,116.7819609
Middle East,1954,119.2683273
Middle East,1955,119.1627771
Middle East,1956,123.9212889
Middle East,1957,128.9528084
Middle East,1958,131.0847237
Middle East,1959,135.8315908
Middle East,1960,140.3875649
Middle East,1961,145.241144
Middle East,1962,151.2754772
Middle East,1963,157.9062306
Middle East,1964,163.8897224
Middle East,1965,170.7670592
Middle East,1966,180.7775602
Middle East,1967,186.9086854
Middle East,1968,201.4175461
Middle East,1969,213.151576
Middle East,1970,225.1177418
Middle East,1971,242.3352197
Middle East,1972,261.7771867
Middle East,1973,273.335314
Middle East,1974,289.9996263
Middle East,1975,298.9613425
Middle East,1976,325.4814948
Middle East,1977,326.1235106
Middle East,1978,318.6273208
Middle East,1979,315.9366763
Middle East,1980,303.8747061
Middle East,1981,295.122947
Middle East,1982,297.6777667
Middle East,1983,292.6634897
Middle East,1984,289.4510519
Middle East,1985,284.1026668
Middle East,1986,270.1705647
Middle East,1987,272.396002
Middle East,1988,265.5887196
Middle East,1989,260.7376234
Middle East,1990,273.5521131
Middle East,1991,276.0792339
Middle East,1992,286.5085482
Middle East,1993,292.0353663
Middle East,1994,286.5933666
Middle East,1995,293.0474199
Middle East,1996,303.2646684
Middle East,1997,310.1946896
Middle East,1998,314.8302438
Middle East,1999,307.5884504
Middle East,2000,319.595909
Middle East,2001,312.3472073
Middle East,2002,320.1137466
Middle East,2003,329.8655273
Middle East,2004,349.4955862
Middle East,2005,364.7043297
Middle East,2006,377.789704
Middle East,2007,387.6193984
Middle East,2008,390.2217826
Middle East,2009,389.9056021
Middle East,2010,407.1122471
Western Europe,1950,100
Western Europe,1951,105.3922906
Western Europe,1952,108.2371075
Western Europe,1953,113.0682821
Western Europe,1954,118.3599171
Western Europe,1955,125.0918119
Western Europe,1956,129.9726436
Western Europe,1957,134.6866317
Western Europe,1958,136.8923605
Western Europe,1959,142.3988392
Western Europe,1960,150.6830711
Western Europe,1961,157.247687
Western Europe,1962,163.0809815
Western Europe,1963,168.9740538
Western Europe,1964,177.71898
Western Europe,1965,184.0982034
Western Europe,1966,189.767877
Western Europe,1967,195.2587223
Western Europe,1968,204.0183012
Western Europe,1969,214.5101277
Western Europe,1970,223.7879842
Western Europe,1971,229.7582697
Western Europe,1972,238.7605124
Western Europe,1973,251.1913322
Western Europe,1974,255.7455095
Western Europe,1975,253.8169584
Western Europe,1976,264.1350819
Western Europe,1977,270.7548199
Western Europe,1978,277.8072201
Western Europe,1979,287.0963367
Western Europe,1980,290.4189577
Western Europe,1981,290.2782361
Western Europe,1982,292.1215433
Western Europe,1983,297.0223172
Western Europe,1984,304.0121592
Western Europe,1985,311.0493002
Western Europe,1986,319.031467
Western Europe,1987,327.4375447
Western Europe,1988,339.6692267
Western Europe,1989,349.7888176
Western Europe,1990,352.1044523
Western Europe,1991,356.8046081
Western Europe,1992,359.134566
Western Europe,1993,356.8606207
Western Europe,1994,366.6912929
Western Europe,1995,374.6026889
Western Europe,1996,380.3894485
Western Europe,1997,391.6877678
Western Europe,1998,402.0936594
Western Europe,1999,412.76869
Western Europe,2000,427.2375883
Western Europe,2001,434.1642086
Western Europe,2002,437.5189758
Western Europe,2003,441.2719633
Western Europe,2004,449.5634235
Western Europe,2005,455.9802908
Western Europe,2006,467.4611356
Western Europe,2007,478.3402746
Western Europe,2008,476.3794728
Western Europe,2009,454.4824234
Western Europe,2010,462.4549291
