Entity,Year,0 to 4 (UN Population Division (2015)),5 to 14 (UN Population Division (2015)),15 to 24 (UN Population Division (2015)),25 to 60 (UN Population Division (2015)),70+ (UN Population Division (2015))
Algeria,2002,2884.857,7334.677,7379.916,13496.043,938.846
Algeria,2003,2866.811,7143.478,7489.053,13951.806,973.309
Algeria,2004,2894.188,6929.652,7575.909,14424.393,990.917
Algeria,2005,2961.563,6710.423,7638.106,14914.711,1010.301
Algeria,2006,3079.435,6505.179,7660.244,15405.676,1031.487
Algeria,2007,3243.752,6309.027,7655.464,15899.54,1054.289
Algeria,2008,3438.085,6139.8,7622.579,16400.862,1079.233
Algeria,2009,3642.33,6017.502,7560.187,16915.88,1556.484
Algeria,2010,3844.982,5953.721,7467.986,17446.309,1601.862
Algeria,2011,4111.736,5946.958,7317.484,17972.993,1647.287
Algeria,2012,4305.969,6034.782,7153.559,18530.468,1697.009
Algeria,2013,4440.813,6209.155,6975.965,19098.091,1757.057
Algeria,2014,4531.402,6450.387,6787.523,19655.804,1830.777
Algeria,2015,4589.813,6730.5,6595.112,20194.61,2017.882
Algeria,2016,4613.336,7041.4,6404.772,20714.584,2123.927
Algeria,2017,4575.887,7388.123,6216.385,21236.071,2233.201
Algeria,2018,4498.348,7745.405,6050.158,21739.022,2343.169
Algeria,2019,4406.798,8080.924,5935.451,22197.076,2448.221
Algeria,2020,4317.779,8371.393,5891.642,22596.178,2554.473
Algeria,2021,4155.054,8628.281,5931.094,22986.108,2664.362
Algeria,2022,4069.292,8796.071,6031.132,23296.752,2780.528
Algeria,2023,4033.247,8877.06,6191.966,23555.637,2904.681
Algeria,2024,4003.676,8887.975,6409.33,23798.581,3030.508
Algeria,2025,3949.17,8853.41,6675.273,24043.762,3163.341
Algeria,2026,3916.957,8779.68,6980.616,24252.732,3302.543
Algeria,2027,3853.877,8665.681,7332.965,24466.742,3447.2
Algeria,2028,3768.893,8525.92,7701.034,24693.107,3597.019
Algeria,2029,3686.699,8376.482,8037.968,24937.702,3741.541
Algeria,2030,3625.13,8224.041,8312.868,25207.379,3891.57
Algeria,2031,3579.286,8075.939,8530.873,25501.926,4047.006
Algeria,2032,3545.98,7934.485,8683.445,25826.412,4208.036
Algeria,2033,3526.29,7799.516,8772.731,26180.412,4375.688
Algeria,2034,3515.318,7668.318,8808.463,26564.929,4535.599
Algeria,2035,3511,7540.119,8797.926,26977.597,4700.276
Algeria,2036,3523.964,7425.63,8741.408,27408.128,4874.616
Algeria,2037,3539.18,7324.073,8633.593,27867.329,5063.82
Algeria,2038,3557.014,7237.125,8489.787,28338.734,5270.014
Algeria,2039,3578.919,7165.37,8332.229,28798.518,5474.581
Algeria,2040,3606.148,7108.08,8176.378,29229.983,5694.826
Algeria,2041,3646.192,7072.104,8027.603,29627.86,5930.077
Algeria,2042,3682.926,7054.99,7886.024,29997.691,6180.145
Algeria,2043,3716.716,7054.904,7752.053,30334.709,6445.703
Algeria,2044,3747.473,7068.656,7623.269,30638.101,6706.929
Algeria,2045,3775.381,7092.828,7499.243,30908.07,6980.534
Algeria,2046,3805.737,7133.198,7388.311,31143.21,7264.592
Algeria,2047,3827.687,7183.362,7287.631,31345.299,7555.109
Algeria,2048,3841.562,7240.349,7199.722,31512.824,7848.175
Algeria,2049,3846.961,7300.339,7127.343,31644.649,8115.762
Algeria,2050,3843.347,7359.541,7072.103,31740.526,8382.133
Algeria,2051,3833.029,7423.058,7039.14,31806.694,8645.741
Algeria,2052,3813.283,7481.446,7023.045,31843.441,8904.423
Algeria,2053,3785.398,7531.777,7022.621,31854.327,9156.031
Algeria,2054,3751.159,7571.448,7035.7,31845.2,9365.203
Algeria,2055,3711.546,7598.862,7060.418,31821.659,9566.752
Algeria,2056,3663.168,7621.405,7103.002,31801.03,9754.533
Algeria,2057,3617.04,7625.722,7154.243,31770.638,9919.331
Algeria,2058,3572.54,7611.849,7211.539,31735.728,10056.081
Algeria,2059,3528.981,7581.465,7271.185,31702.066,10126.73
Algeria,2060,3485.735,7537.348,7329.872,31673.848,10174.81
Algeria,2061,3444.859,7489.441,7393.635,31668.754,10205.288
Algeria,2062,3410.065,7426.401,7452.778,31669.854,10223.583
Algeria,2063,3380.152,7351.293,7504.467,31685.678,10233.885
Algeria,2064,3354.151,7268.479,7544.993,31727.492,10196.289
Algeria,2065,3331.634,7181.894,7571.594,31801.115,10156.201
Algeria,2066,3321.794,7101.942,7590.767,31919.388,10127.738
Algeria,2067,3312.177,7022.276,7594.494,32066.237,10129.021
Algeria,2068,3303.518,6945.002,7582.453,32235.138,10171.219
Algeria,2069,3297.198,6871.881,7554.893,32418.221,10219.367
Algeria,2070,3294.637,6803.699,7512.615,32609.137,10312.932
Algeria,2071,3303.267,6749.896,7463.529,32823.642,10449.8
Algeria,2072,3310.031,6704.546,7399.636,33043.897,10625.58
Algeria,2073,3315.685,6667.489,7324.406,33252.393,10836.943
Algeria,2074,3320.725,6637.723,7243.091,33426.908,11051.455
Algeria,2075,3325.759,6613.889,7159.79,33553.421,11307.492
Algeria,2076,3335.994,6603.494,7081.88,33647.219,11590.792
Algeria,2077,3342.202,6599.095,7002.267,33692.737,11878.502
Algeria,2078,3344.971,6599.606,6923.928,33689.441,12155.073
Algeria,2079,3344.694,6603.469,6850.358,33639.019,12382.786
Algeria,2080,3341.57,6608.969,6783.97,33543.598,12604.176
Algeria,2081,3338.484,6622.803,6732.026,33418.611,12817.108
Algeria,2082,3331.471,6635.529,6687.19,33246.435,13023.508
Algeria,2083,3320.907,6645.945,6649.703,33041.942,13226.669
Algeria,2084,3307.313,6653.178,6619.395,32828.574,13371.826
Algeria,2085,3290.952,6656.677,6596.042,32622.311,13510.407
