Entity,Year,ghg_kcal,ghg_protein,ghg_fat,land_use_100g,land_use_kcal,land_use_protein,land_use_fat,eutrophication_100g,eutrophication_kcal,eutrophication_protein,eutrophication_fat,water_scarcity_100g,water_scarcity_kcal,water_scarcity_protein,water_scarcity_fat,biodiversity_100g,biodiversity_kcal,biodiversity_protein,biodiversity_fat,water_100g,water_kcal,water_protein,water_fat,nutriscore
Cabbage,0,0.001893282,0.052116067,0.252745599,0.080642787,0.001703027,0.046962622,0.227513702,0.623560394,0.013211705,0.362906826,1.762927234,465.8960179,9.866471332,270.4501799,1312.027412,0.340142374,0.007190449,0.197460535,0.956448164,13.21818539,0.278877586,7.6847244,37.21186708,11.32275132
Caesar salad,0,0.000559357,0.047993078,0.014269765,0.246442718,0.000849294,0.068715119,0.020309248,0.670492345,0.002278174,0.177326227,0.055857914,1023.309178,3.775358391,296.6425267,85.1354507,7.553046889,0.024910673,2.147574896,0.612361751,28.29976449,0.101236661,7.857109948,2.352198341,25.26455026
Camembert,1,0.002751409,0.073146063,0.050280555,1.574658112,0.003241709,0.086243511,0.059184017,4.56581909,0.00941026,0.250480255,0.172435043,2572.543276,5.309518338,140.1393787,96.94085819,85.54179194,0.175460989,4.660008982,3.179376566,125.2199242,0.258302324,6.810263821,4.710882731,54.0954416
Carrot cake,0,0.000353612,0.054228728,0.013015152,0.290674563,0.000441259,0.071858957,0.017234358,1.033793752,0.001544863,0.254624221,0.060695304,955.4350586,1.33215981,234.0483728,56.07888974,10.42811793,0.017530263,2.589475613,0.621898637,51.03031294,0.07162988,12.50908166,2.965264129,53.08641976
Carrots,0,0.001519316,0.145621153,0.228023305,0.156691964,0.00257184,0.243645058,0.382838027,0.579522437,0.009399474,0.919207102,1.426450061,117.8923137,2.054408092,61.99170928,193.3566391,0.341517208,0.005652445,0.402426347,0.7487217,2.182503355,0.039329102,1.945683067,4.471529476,13.25790542
Cashew nuts,0,0.000212841,0.012635947,0.005520437,1.186085126,0.001148215,0.071792994,0.029053811,1.906928954,0.001837183,0.121191835,0.046526636,13092.14856,14.8361302,1097.526983,326.5179438,25.3242255,0.024651868,1.614106483,0.620496799,302.6943266,0.327474231,23.04245341,7.508320444,33.78965089
Cauliflower,0,0.001264283,0.033836885,0.134969926,0.078515673,0.00106419,0.029755343,0.118436822,0.532715924,0.007753141,0.196482788,0.881915734,632.225617,9.178789576,263.8568798,848.4341816,0.470808191,0.005411437,0.187895252,0.57010333,14.12749538,0.208527417,5.611764771,21.06790058,11.80856182
Cereal bars,0,0.003457139,0.041387542,0.01994649,0.528138205,0.008557528,0.073330875,0.034799565,1.351034248,0.018688803,0.211060023,0.099434264,2550.998907,190.6105449,282.9636182,141.0222956,29.99479964,0.544525221,4.388215016,1.91553317,78.50224047,3.679145329,10.15898473,5.109833707,47.50332383
Cheddar cheese,2,0.003681416,0.086958359,0.063881004,2.459208436,0.004318402,0.107027532,0.074769113,7.103628034,0.012465836,0.297002466,0.215959623,4066.575264,7.143352628,171.7664684,123.7755488,134.4823665,0.236280833,5.654897719,4.08429562,195.6831034,0.343537368,8.253971556,5.9479088,58.55131813
Cheesecake,0,0.000685345,0.052291072,0.011668186,0.25871155,0.000754498,0.057749886,0.012841333,1.01507574,0.002966349,0.228340974,0.050456623,906.9484375,2.644647687,202.3486948,45.01283981,9.494534325,0.027705334,2.123983703,0.471458491,46.98790335,0.137450453,10.61017014,2.337305334,61.1111111
Cherry tomatoes,0,0.007021271,0.310952449,0.725555714,0.093169971,0.00300999,0.132885918,0.310067143,0.59031915,0.018895032,0.836308844,1.951387302,913.0167949,31.23324134,1358.906902,3170.78277,0.878794309,0.029460549,1.288638027,3.006822063,32.89096759,1.072649941,47.24994361,110.2498684,17.14975845
Chia seeds,0,0.000285762,0.006198834,0.004544258,0.338286615,0.000799732,0.017348032,0.012717542,0.58683599,0.001387319,0.030094153,0.022061503,746.4981245,1.76477098,38.2819551,28.06383927,10.41809145,0.024629058,0.5342611,0.391657573,21.113919,0.049914702,1.082765077,0.793756353,20.3703704
Chicken breast,1,0.003472496,0.034434042,0.37220385,0.912651096,0.003426079,0.03430836,0.367410995,3.66418533,0.013769893,0.137495829,1.4820732,1360.330569,5.255567304,52.16930082,532.5010101,22.7857049,0.084962537,0.855741487,9.150780871,53.70651779,0.205945213,2.044280995,21.40576925,23.33471532
Chicken curry,0,0.001908215,0.037833453,0.06595484,0.457931403,0.002034715,0.040475066,0.069941891,1.899610631,0.008508746,0.170146196,0.293860634,1382.93648,6.166702869,135.2244821,215.8503202,10.95946274,0.048236534,0.95951469,1.632632285,46.35140133,0.208664815,4.509059072,7.345370294,40.58894961
Chicken noodles,0,0.0016796,0.064477787,0.119133005,0.321744933,0.002127365,0.084087197,0.153078693,1.211739635,0.008038219,0.302859942,0.593939871,1270.676226,8.695903773,352.5493934,677.512744,7.022842288,0.045061385,1.939042009,3.067642598,46.11794291,0.317035743,12.90027441,25.68401064,43.40173506
Chicken sausages,1,0.001262868,0.048176954,0.147022776,0.839240569,0.001313463,0.051607678,0.150802638,3.643841199,0.005576389,0.224701673,0.63312242,1169.389292,1.861194714,71.92423376,214.945891,19.97670109,0.031567003,1.224951435,3.647046417,48.95040641,0.07847419,2.995437388,9.130444892,38.4057971
Chicken thigh,1,0.002907169,0.041231181,0.088044316,0.950789316,0.002868573,0.04095108,0.087193583,3.845625947,0.011583545,0.165435887,0.352648672,1333.794936,4.242566254,57.94246007,122.5833167,23.58982953,0.071036952,1.014746266,2.163082315,54.62231248,0.168812489,2.364862264,5.006700124,28.32926971
Chicken wings,1,0.003078903,0.039950979,0.073133466,0.946952386,0.002999173,0.039128627,0.071212176,3.811426587,0.012078436,0.157503798,0.286994607,1437.975418,4.555064159,58.96959475,107.2389169,23.45057027,0.074451861,0.967552462,1.769191441,56.8967815,0.180153408,2.343813333,4.261826052,29.29292929
Chickpeas,0,0.000495315,0.011341237,0.028138568,1.234830623,0.00383903,0.092167881,0.269258831,1.115674595,0.004738549,0.100890695,0.238577421,1341.327901,5.937587074,104.2996653,279.9343319,26.86536792,0.068129852,1.776646624,5.91875165,23.65761437,0.111416444,2.208859385,4.979320799,6.790123455
Chilli con carne,1,0.007983241,0.132752989,0.365967701,2.830468467,0.016687569,0.277496909,0.764991478,18.90300262,0.111446274,1.853235551,5.108919627,2750.147005,16.21401862,269.6222554,743.2829743,70.30622407,0.414503815,6.892767066,19.00168218,125.5103151,0.739970112,12.30493285,33.92170678,48.1481481
Chocolate biscuits,1,0.000614185,0.089950686,0.022482533,1.045076373,0.001510086,0.182871173,0.045527923,1.649142498,0.001864931,0.28616957,0.070820481,814.3922937,0.913409825,146.8243687,35.36205037,105.2196474,0.127252157,17.52795446,4.464417871,54.45487335,0.059275119,9.874599834,2.385692471,64.92037267
Chocolate cake,0,0.000507709,0.084347628,0.018399859,0.974353341,0.001503717,0.207075568,0.045018942,1.312082261,0.00171048,0.285072526,0.061646523,806.4424711,1.00733552,178.8359128,38.35039481,76.26138594,0.103310604,16.20173139,3.540407542,47.3580626,0.060967186,10.54113723,2.239565439,59.24746403
Chocolate cereals,0,0.000400217,0.037297493,0.047915938,0.712714512,0.000997843,0.061100004,0.081977957,1.339637681,0.001628813,0.171310349,0.209675236,2383.465758,3.099321279,254.2694754,251.5204064,43.82268078,0.059547077,4.595725122,5.603503801,78.26911276,0.093577287,9.536813991,10.66652984,37.54859832
Chocolate cheesecake,0,0.001179124,0.104948811,0.019164118,0.653315275,0.001566636,0.139434818,0.025462647,1.500804635,0.00359829,0.320391239,0.058473112,735.7793365,1.76588438,156.8376226,28.72619215,80.6338109,0.193285481,17.21893271,3.14026765,48.66041875,0.116610604,10.39540684,1.894008441,62.03703705
Chocolate spread,0,0.00052806,0.096101143,0.014913372,0.808069508,0.000881723,0.153197578,0.023353634,2.034121498,0.002105121,0.398801437,0.059761156,2120.304677,2.85920105,362.6793807,53.05605643,83.230859,0.090395296,16.0905721,2.482043954,85.34297064,0.091851507,15.966084,2.381590002,59.80955916
Cider,0,0.001807045,0.184004707,0.184004707,0.104274243,0.002146703,0.208548487,0.208548487,0.28517714,0.005514021,0.57035428,0.57035428,2291.237823,49.46029568,4582.475647,4582.475647,2.1848201,0.04432834,4.3696402,4.3696402,31.20893957,0.637817523,62.41787913,62.41787913,29.62962967
Cod,1,0.005891778,0.07149547,1.111228949,0.519769861,0.002607678,0.034147364,0.46796748,5.336159772,0.028093735,0.344411852,5.296639063,3325.740331,17.47107462,215.0547106,3252.05299,11.68784229,0.057591885,0.772965841,10.38113313,325.1569007,1.723534955,20.90048762,323.1425651,26.75873216
Cod fish fingers,1,0.002050292,0.069267204,0.103187209,0.532965257,0.00118446,0.040645915,0.060023081,4.508035789,0.010058388,0.340534501,0.507024965,2744.228498,6.187604175,206.8833019,308.6076723,11.59958425,0.025711574,0.881063942,1.291828902,261.3293134,0.584673872,19.69624882,29.34292056,26.83481026
Cod fishcakes,1,0.002127361,0.062624852,0.097311152,0.340509548,0.001077965,0.032371763,0.050020181,3.140585342,0.010483207,0.301908475,0.473556066,2180.382569,7.265060217,210.2804083,326.8971357,7.501308661,0.022624951,0.705486255,1.082526294,181.7441242,0.584306677,17.44886416,26.57144157,23.26599325
Coffee beans,0,0.000229895,0.009257915,0.014612984,2.152023487,0.003431518,0.138188257,0.21812068,1.79387174,0.001101396,0.04435323,0.070008529,4.163801834,0,0,0,95.2461857,0.099330632,4.000087637,6.31386382,0.295895292,0,0,0,18.24883134
Coffee pods,1,0.006859431,1.74262408,0.366806177,0.92007931,0.005187065,1.293792809,0.299142073,4.534705671,0.026476766,6.826966443,1.407560882,487.8712261,4.322863708,1073.480799,275.5678015,147.0493212,0.777981659,198.8263049,42.61287552,33.93865018,0.318733691,83.63937342,21.41360592,51.34271736
Cookies,0,0.000397612,0.064370575,0.01512568,0.711167859,0.000865995,0.139139232,0.030184202,1.355204545,0.001627899,0.265128906,0.061851568,1190.110038,1.537936079,240.2352382,55.17890067,50.45415496,0.057518512,9.292816744,2.160397039,63.03283468,0.079307754,12.88208144,2.943429772,62.40981242
Cottage cheese,2,0.024417913,0.240202816,3.304612121,2.905449496,0.02888805,0.284319254,3.899424593,8.325701169,0.082897901,0.816546302,11.18977679,4782.48971,47.82161872,470.0042942,6480.056259,161.4129609,1.600341637,15.76835315,214.2284549,233.8591979,2.336322611,22.99637201,316.1416321,24.06432748
Cottage pie,1,0.006016053,0.142600264,0.29933906,2.45641928,0.012427447,0.295600871,0.617440094,17.37045951,0.087697625,2.09046963,4.353174643,2282.11221,11.58529836,274.5943632,576.4600016,46.59859288,0.236313798,5.60715084,11.75313537,110.0153173,0.557765554,13.23812361,27.73736018,26.54320987
Courgettes,0,0.002089079,0.041105234,0.172581667,0.135478583,0.004083346,0.07486342,0.319978475,0.343191745,0.010638919,0.188806673,0.813701058,2125.387183,53.57682793,1145.325891,4717.669143,2.059810407,0.057474856,1.126172271,4.734451448,26.89508404,0.716316082,14.60643307,60.8220212,14.31623931
Couscous,0,0.000606223,0.02053998,0.130507955,0.296736276,0.001402816,0.051941344,0.351310274,0.618267812,0.003016769,0.108946054,0.719212435,1392.829372,7.687510768,247.8236391,1590.61922,3.811748442,0.019643914,0.676257165,4.294713833,33.68447153,0.170930111,5.915919739,37.71522557,25.61728395
Cow's milk,0,0.0041746,0.108312469,0.183862972,0.386521644,0.004483052,0.12808928,0.191222626,1.129272854,0.012913607,0.338353707,0.567355993,640.8981609,7.36407147,197.3702424,320.7853748,17.63946981,0.202243114,5.449194225,8.789806155,30.21094466,0.346597143,9.259782078,15.11470826,37.44274309
Cracker biscuits,0,0.000293475,0.027502435,,0.442223622,0.000516468,0.04841253,,1.335045078,0.001710578,0.154558669,,1720.151335,2.575241136,196.6788085,,13.25763671,0.011720404,1.712062189,,70.37687632,0.101545198,8.554992743,,44.46347684
Crisps,0,0.000761556,,,0.637600827,0.001153308,,,2.547499737,0.004847759,,,991.5427417,3.605565994,,,17.6360263,0.033697869,,,35.60007535,0.119304502,,,44.25854883
Croissants,0,0.000229925,0.021284602,0.00694616,0.328873834,0.000432442,0.046551396,0.014543894,0.862600782,0.001204086,0.119185263,0.037629782,1180.479343,1.748914981,161.3947865,50.94003836,10.55522746,0.014072935,1.423503473,0.465384402,40.24209745,0.057721428,5.490188654,1.749922828,59.76568405
Cucumber,0,0.003414944,0.094283426,0.297040796,0.080605902,0.003929328,0.108457998,0.37252115,0.223288207,0.010434322,0.288272693,0.887569123,1965.178771,97.34028617,2656.369323,9243.958183,1.466779449,0.073057384,1.999235131,7.112467931,24.03676754,1.171965659,32.05406465,107.8699486,14.77272727
Dairy free ice cream,0,0.000511683,0.185486558,0.026769292,0.370589642,0.000769146,0.263003263,0.037878183,0.911738929,0.001995876,0.713370834,0.10679703,821.6434599,1.921235889,739.3527444,96.06760203,48.00551548,0.093049873,31.99194134,4.445676676,40.38975657,0.096410078,34.8904056,5.118130657,41.3317573
Dairy-free cheese,0,0.000654327,0.107099735,0.014149609,0.588073156,0.000835029,0.188514582,0.017938893,1.830392233,0.002738095,1.156723977,0.058196602,1156.948716,1.85612822,1203.378077,38.90372391,31.28247425,0.042682184,4.343418315,0.92650704,56.78497199,0.090513385,57.62968134,1.898456993,55.64700505
Dark chocolate,2,0.027756744,0.291465199,0.048508624,4.526811935,0.039682322,0.587070578,0.115612741,4.394653244,0.052844611,0.580543362,0.09813467,333.981231,3.217511437,44.57474367,7.628460456,561.167628,6.701279656,73.87870748,12.71281108,32.016573,0.334606176,4.28358435,0.722838252,56.77997079
Doughnuts,0,0.000276402,0.040992874,0.593275454,0.332617713,0.000377002,0.057174497,0.801099909,0.795549909,0.000864072,0.134687926,2.180820711,631.2012875,0.72683663,107.6367476,1710.393118,30.5158361,0.034846833,5.302629908,63.41802244,25.64095161,0.026844678,4.340746852,73.37480702,60.62710438
Egg noodles,0,0.000699303,0.03958907,0.097235427,0.289016518,0.001410334,0.073819241,0.238154971,0.735077286,0.003730481,0.193357801,0.602257556,959.8189723,4.705216479,254.4246345,897.7969739,6.387553916,0.030581957,1.651060529,3.492317173,26.73121715,0.131214316,7.358459336,25.46034719,38.13242951
Eggs,0,0.001812571,0.032578802,0.042112128,0.733967859,0.002851603,0.050747891,0.06562101,2.16395375,0.008510018,0.149855914,0.19469361,3081.704815,13.90207153,230.3268743,310.0942195,15.293197,0.034243709,0.794555425,0.933506927,87.60852127,0.37272612,6.316806713,8.418465044,28.06602981
Feta cheese,2,0.003803853,0.096782089,0.067672081,1.838410449,0.004454197,0.113369467,0.079264978,5.362651243,0.012987411,0.330568833,0.231336065,2914.803845,7.046803055,179.2030929,125.1328967,99.99966521,0.242390652,6.173198043,4.313759124,141.626146,0.342644158,8.714202315,6.084150184,60.08391205
Flapjack,0,0.000182375,0.030187209,0.009046151,0.36869115,0.000380623,0.061083517,0.018333479,1.149373661,0.001097034,0.190538076,0.057398187,863.1416997,0.854553436,146.9837333,43.48675562,11.32082703,0.01012843,1.857467361,0.563935296,48.12514183,0.043445869,8.034119988,2.418143431,58.20330971
Frozen chips (french fries),0,0.000258445,0.032075971,0.015220722,0.201466803,0.000678677,0.085251234,0.040535677,0.907565619,0.003012555,0.382589875,0.180645872,186.2587128,0.692659335,82.988155,38.81153845,3.9165025,0.013189885,1.67870937,0.752567327,4.999242962,0.018894728,2.250598847,1.028113215,25.99660728
Frozen jacket potatoes,0,0.00014183,0.024006298,0.144258652,0.10895921,0.000299941,0.050701408,0.30668578,0.465083328,0.00128686,0.218992753,1.276966805,80.2993713,0.21030301,36.72197411,242.3173506,0.969872248,0.002603797,0.441401361,2.875166378,1.420813052,0.003792114,0.654054519,4.188960604,21.30718953
Frozen mashed potato,0,0.000417169,0.03909122,0.027623708,0.121593582,0.000646949,0.059618089,0.04200611,0.483989305,0.002565201,0.236297339,0.165901703,128.7959185,0.693632117,63.53737302,44.92534842,2.176976727,0.011597832,1.08799539,0.781108419,4.2156021,0.022308099,2.093907851,1.492530414,30.07501171
Frozen onion rings,0,9.73E-05,0.01826852,0.005930808,0.208662765,0.000213554,0.048590823,0.015593505,0.815251694,0.000846711,0.190713609,0.060685242,343.027391,0.399005505,80.40887629,26.37303359,4.948285099,0.004894069,1.147343004,0.367474583,8.678261622,0.009979745,2.031151135,0.665690829,26.78664581
Frozen potato wedges,0,0.000264178,0.029196684,0.014672768,0.169707487,0.000626131,0.073680617,0.037125928,0.726768814,0.002688419,0.316669373,0.160237076,167.3379952,0.68338512,68.84981768,36.93485915,3.038063607,0.011090095,1.313774695,0.641518848,3.84893994,0.016782375,1.583435002,0.851129018,27.4250441
Frozen roast potatoes,0,0.000290131,0.056862994,0.021311217,0.236242166,0.00054116,0.118300109,0.044906333,1.282730532,0.002639935,0.647534639,0.217236674,234.5389031,0.674799242,120.2689373,48.49146834,3.981511585,0.00816208,1.959907529,0.711413232,8.64681685,0.024492948,4.502695998,1.718362296,27.87335722
Frozen sweet potato fries,0,9.98E-05,0.026649144,0.0072594,0.197295432,0.000470068,0.125415297,0.034480281,0.67851158,0.001610682,0.43393952,0.118114317,831.2063,2.050274885,523.8367618,146.5327485,4.344293372,0.010406098,2.774472743,0.756479697,11.4162369,0.028660773,7.260788566,2.00251181,29.73063972
Fruit cake,0,0.000519037,0.085277333,0.037650529,0.239884457,0.00035819,0.060713333,0.025051608,1.017826609,0.00150975,0.259703716,0.108174507,1415.667937,2.128842432,343.4828348,149.3504056,5.966475611,0.008820815,1.519214947,0.6309649,52.89059021,0.082356434,13.14120198,5.464975683,53.87677396
Fruit smoothies,0,0.001936744,,,0.128311278,0.001544381,,,0.355336236,0.004293883,,,502.8921062,6.162305733,,,5.574469246,0.067905698,,,16.50546279,0.204383095,,,37.99415204
