Entity,Year,Excess mortality from air pollution (all sources),Excess mortality from fossil fuels,Excess mortality from all anthropogenic pollution,Total Years Life Lost from air pollution (all sources),Total Years Life Lost from fossil fuels,Total Years Life Lost from all anthropogenic pollution,"Death rates from all air pollution (per 100,000)","Death rates from air pollution from fossil fuels (per 100,000)","Death rates from all anthropogenic air pollution (per 100,000)","YLL rates from all air pollution (per 100,000)","YLL rates from air pollution from fossil fuels (per 100,000)","YLL rates from anthropogenic air pollution (per 100,000)",Deaths from fossil pollution as a share of total air pollution deaths,Deaths from fossil pollution as a share of total anthropogenic air pollution deaths,Deaths from anthropogenic pollution as a share of total air pollution deaths
Estonia,2015,1420,755,1383,27828,14789,27104,108.1492765,57.50190404,105.3313024,2119.421173,1126.351866,2064.280274,53.16901408,54.59146782,97.3943662
Ethiopia,2015,68169,3496,14652,2836579,129379,565601,68.58669779,3.517421342,14.74177846,2853.959815,130.1717551,569.0666558,5.128430812,23.86022386,21.4936408
Europe,2015,790009,433560,607759,14291111,7961642,11127445,132.891659,72.93145732,102.2344072,2403.984574,1339.270582,1871.807316,54.88038744,71.33748739,76.93064256
Fiji,2015,321,19,20,10499,604,636,35.98654709,2.130044843,2.242152466,1177.017937,67.71300448,71.30044843,5.919003115,95,6.230529595
Finland,2015,4008,2369,3878,69137,40830,66890,72.83300018,43.04924587,70.47065237,1256.351081,741.9589315,1215.518808,59.10678643,61.08818979,96.75648703
France,2015,67300,30802,48780,1140573,520297,825327,104.5112085,47.83290108,75.75121469,1771.213411,807.9772396,1281.663033,45.76820208,63.14473145,72.48142645
Gabon,2015,1158,12,560,34821,338,16722,67.13043478,0.695652174,32.46376812,2018.608696,19.5942029,969.3913043,1.03626943,2.142857143,48.35924007
Gambia,2015,1939,52,225,82045,1919,8260,97.38824711,2.611752888,11.30085384,4120.793571,96.38372677,414.8669011,2.68179474,23.11111111,11.60391955
Georgia,2015,6460,2112,2275,126415,41183,44327,161.5,52.8,56.875,3160.375,1029.575,1108.175,32.69349845,92.83516484,35.21671827
Germany,2015,123943,76052,115446,2115179,1296173,1969675,153.605818,94.25324277,143.0752625,2621.396936,1606.381271,2441.070004,61.36046408,65.87668694,93.14442929
Ghana,2015,24686,177,7298,927867,5779,257669,90.06203102,0.645749797,26.62532214,3385.14083,21.08354846,940.0548274,0.71700559,2.425322006,29.56331524
Greece,2015,16431,6297,7637,265792,101374,122958,149.9863076,57.48060246,69.71246006,2426.21634,925.3674121,1122.391602,38.32389995,82.45384313,46.47921612
Grenada,2015,98,3,8,2229,90,190,91.58878505,2.803738318,7.476635514,2083.17757,84.11214953,177.5700935,3.06122449,37.5,8.163265306
Guatemala,2015,5425,1436,3322,177172,46957,108847,33.19464194,8.786637018,20.32674664,1084.084996,287.3218067,666.0160721,26.47004608,43.2269717,61.23502304
Guinea,2015,12186,249,1358,574581,9955,54453,96.64524573,1.974779762,10.77008401,4556.911368,78.95153629,431.8581623,2.04332841,18.33578792,11.14393566
Guinea-Bissau,2015,2139,36,373,91585,1224,13256,115.9978308,1.952277657,20.22776573,4966.64859,66.37744035,718.8720174,1.683029453,9.651474531,17.43805517
Guyana,2015,441,17,79,14101,549,2524,57.49674055,2.21642764,10.29986962,1838.461538,71.57757497,329.0743155,3.854875283,21.51898734,17.9138322
Haiti,2015,6330,915,1266,245543,35266,49026,59.09812342,8.542619737,11.81962468,2292.437681,329.2503034,457.7163664,14.4549763,72.27488152,20
Honduras,2015,2112,427,1034,58723,11595,28585,26.15479876,5.287925697,12.80495356,727.2198142,143.5913313,353.993808,20.21780303,41.2959381,48.95833333
Hungary,2015,18567,12660,16142,375428,255691,326254,188.4018265,128.4627093,163.7950279,3809.518011,2594.530695,3310.542872,68.18549039,78.42894313,86.93919319
Iceland,2015,142,26,27,2327,427,450,43.16109422,7.902735562,8.20668693,707.2948328,129.787234,136.7781155,18.30985915,96.2962963,19.01408451
India,2015,1853455,691711,1139621,55027097,19560101,32882311,141.3716697,52.7600287,86.92421643,4197.1737,1491.940261,2508.087441,37.320086,60.69658246,61.48630531
Indonesia,2015,174383,34924,88353,5274288,1036588,2660033,67.7047358,13.55935036,34.30332385,2047.758529,402.4584775,1032.765989,20.02718155,39.52780324,50.66606263
Iran,2015,67385,9065,11312,1568600,202792,253542,85.17994375,11.45887349,14.29925835,1982.833862,256.3450494,320.4970438,13.45254879,80.13613861,16.78711879
Iraq,2015,28963,2956,3172,920824,84566,90725,79.51844052,8.115751482,8.70878339,2528.138952,232.177483,249.087129,10.20612506,93.19041614,10.95190415
Ireland,2015,3049,970,1176,54939,17333,21042,65.0383959,20.69112628,25.08532423,1171.906997,369.7312287,448.8481229,31.81370941,82.4829932,38.57002296
Israel,2015,7636,1925,2222,135142,33697,38911,94.69246032,23.87152778,27.55456349,1675.868056,417.8695437,482.5272817,25.20953379,86.63366337,29.09900471
Italy,2015,81473,40630,49771,1242579,617655,756837,136.2470453,67.94542305,83.23188902,2077.96101,1032.902542,1265.656169,49.86928185,81.63388318,61.08894971
Jamaica,2015,1580,274,410,33761,5771,8662,56.56999642,9.810239885,14.67955603,1208.77193,206.6237021,310.132474,17.34177215,66.82926829,25.94936709
Japan,2015,202811,83696,117465,3066480,1258663,1769775,160.2324287,66.12468433,92.80414888,2422.696688,994.4166215,1398.224685,41.26797856,71.25186226,57.9184561
Jordan,2015,4662,1060,1220,129597,28465,32810,61.38248848,13.95655036,16.06319947,1706.34628,374.7860434,431.9947334,22.73702274,86.8852459,26.16902617
Kazakhstan,2015,15412,5341,7873,394993,135577,199984,87.44397163,30.3035461,44.66950355,2241.095035,769.2312057,1134.660993,34.65481443,67.83945129,51.08357124
Kenya,2015,14852,1164,5295,633590,49166,227142,32.25190081,2.527687351,11.49837159,1375.87408,106.7665604,493.250825,7.837328306,21.98300283,35.65176407
Kiribati,2015,30,0,1,1232,7,34,26.78571429,0,0.892857143,1100,6.25,30.35714286,0,0,3.333333333
Kuwait,2015,2465,298,351,73611,8748,10302,63.33504625,7.656731757,9.018499486,1891.341213,224.7687564,264.696814,12.08924949,84.9002849,14.23935091
Kyrgyzstan,2015,4257,837,1273,118691,22818,34980,71.66666667,14.09090909,21.43097643,1998.164983,384.1414141,588.8888889,19.66173362,65.75019639,29.90368804
Laos,2015,6070,2245,3945,219041,76924,139968,89.23845928,33.00499853,57.99764775,3220.244046,1130.902676,2057.747721,36.98517298,56.90747782,64.99176277
Latvia,2015,3061,1682,2946,60303,33098,58020,155.3018772,85.33739219,149.4672755,3059.512938,1679.249112,2943.683409,54.94936295,57.09436524,96.24305782
Lebanon,2015,6032,2001,2357,132199,43453,51218,103.0934707,34.19927633,40.2837053,2259.425353,742.6592475,875.3715817,33.17307692,84.89605431,39.07493369
Lesotho,2015,1167,584,1102,45017,22997,42636,54.66042155,27.35362998,51.61592506,2108.52459,1077.142857,1997.002342,50.0428449,52.99455535,94.43016281
Liberia,2015,3374,15,789,142946,505,29169,74.92782589,0.333111259,17.52165223,3174.46147,11.21474573,647.7681546,0.444576171,1.901140684,23.38470658
Libya,2015,6200,598,617,163854,15346,15812,98.7575661,9.525326537,9.827970691,2609.971328,244.4409047,251.8636508,9.64516129,96.92058347,9.951612903
Lithuania,2015,4786,3023,4654,93375,58924,90793,166.2960389,105.038221,161.7095205,3244.440584,2047.394024,3154.725504,63.16339323,64.95487752,97.2419557
Luxembourg,2015,476,293,446,8601,5281,8056,83.95061728,51.67548501,78.65961199,1516.931217,931.3932981,1420.811287,61.55462185,65.69506726,93.69747899
Macedonia,2015,2713,1452,1657,57748,30879,35253,130.5582291,69.87487969,79.74013474,2779.018287,1485.99615,1696.487007,53.52008846,87.62824381,61.0762993
Madagascar,2015,8258,196,4052,342769,8061,169739,34.07468537,0.808747679,16.71962038,1414.355271,33.26181143,700.3878688,2.373456043,4.837117473,49.06757084
Malawi,2015,7132,201,3653,291686,7948,149701,41.42898635,1.167586407,21.2198664,1694.371188,46.16903863,869.5962823,2.818283791,5.502326855,51.21985418
Malaysia,2015,13387,4220,8574,341032,106553,217612,44.13636068,13.9131577,28.2681076,1124.367771,351.3006379,717.4573632,31.52311944,49.21856776,64.04720998
Maldives,2015,135,26,65,3367,676,1642,37.08791209,7.142857143,17.85714286,925,185.7142857,451.0989011,19.25925926,40,48.14814815
Mali,2015,17107,495,622,822000,19382,23931,97.19885259,2.81249968,3.534090507,4670.454015,110.1249875,135.9715755,2.893552347,79.58199357,3.635938505
Malta,2015,576,140,180,9554,2315,2988,137.4701671,33.41288783,42.95942721,2280.190931,552.5059666,713.1264916,24.30555556,77.77777778,31.25
Mauritania,2015,4789,92,161,184193,2959,5172,117.7236971,2.261553589,3.957718781,4527.851524,72.73844641,127.1386431,1.921069117,57.14285714,3.361870954
Mauritius,2015,819,37,62,21460,949,1590,64.33621367,2.906520031,4.870384918,1685.781618,74.54831108,124.9018068,4.517704518,59.67741935,7.57020757
Mexico,2015,54893,32082,43261,1405148,819172,1104665,43.21704764,25.25803513,34.05921881,1106.267613,644.930963,869.6985032,58.44461042,74.15917339,78.80968429
Micronesia,2015,20,2,4,768,100,166,19.23076923,1.923076923,3.846153846,738.4615385,96.15384615,159.6153846,10,50,20
Moldova,2015,5393,3450,4624,126973,81183,108871,132.5387073,84.78741706,113.6397149,3120.496436,1995.158516,2675.620546,63.97181532,74.61072664,85.74077508
Mongolia,2015,1790,462,566,56830,14801,18122,60.49340994,15.6133829,19.12808381,1920.581277,500.2027712,612.436634,25.81005587,81.6254417,31.62011173
Morocco,2015,29938,2959,4909,734714,70017,116910,87.08476604,8.607249072,14.27948148,2137.163364,203.6680494,340.0721491,9.88375977,60.27704217,16.39722092
Mozambique,2015,15057,410,7224,696634,18493,333057,53.81728116,1.465437024,25.82028552,2489.934771,66.09835827,1190.424534,2.722985987,5.675526024,47.9776848
Myanmar,2015,70995,17414,40377,2128521,508995,1182203,131.7234725,32.30977605,74.91511587,3949.238362,944.3846596,2193.448615,24.52848792,43.12851376,56.87301923
Namibia,2015,769,50,421,28002,1869,15350,31.27287515,2.033346889,17.12078081,1138.755592,76.00650671,624.2374949,6.501950585,11.87648456,54.74642393
Nepal,2015,26639,11299,17459,743763,309041,484611,93.42428608,39.62614995,61.22957359,2608.413502,1083.82202,1699.554664,42.41525583,64.71733776,65.53924697
Netherlands,2015,20104,9412,14597,346338,161811,251158,118.7828656,55.61004431,86.24519941,2046.310192,956.0472674,1483.946824,46.81655392,64.47900253,72.60744131
New Zealand,2015,2122,154,259,38463,2746,4644,46.85361007,3.400309119,5.7187017,849.2603224,60.63148598,102.5391919,7.25730443,59.45945946,12.20546654
Nicaragua,2015,2208,435,883,66030,12886,26382,36.30384742,7.152252549,14.51825058,1085.662611,211.871095,433.7717856,19.70108696,49.26387316,39.99094203
Niger,2015,19364,562,1108,1029502,22762,45463,97.31142757,2.824262668,5.568119281,5173.637126,114.3876634,228.4687788,2.902292915,50.72202166,5.721958273
Nigeria,2015,180611,6410,32599,9104169,271110,1451614,99.12678735,3.518073135,17.89167958,4996.74452,148.7963818,796.7058058,3.54906401,19.66317985,18.04928825
North America,2015,360452,243609,293541,7504025,5029219,6087184,73.81727362,49.88889564,60.11451266,1536.755703,1029.938064,1246.599622,67.58431081,82.98976974,81.43691809
North Korea,2015,49182,28629,38561,1222776,701212,953649,195.5158176,113.8103847,153.293592,4860.966397,2787.565318,3791.091536,58.21032085,74.24340655,78.40470091
Norway,2015,3230,1628,2668,54154,27229,44692,61.98426406,31.2416043,51.19938591,1039.224717,522.529265,857.6472846,50.40247678,61.01949025,82.6006192
Oceania,2015,14424,1645,3238,263099,29010,56981,46.90121458,5.34889753,10.52871137,855.4951923,94.32918988,185.2799576,11.40460344,50.80296479,22.44869662
Oman,2015,3047,165,226,92319,4962,6792,67.84680472,3.674014696,5.032286796,2055.644623,110.487642,151.2358049,5.415162455,73.00884956,7.417131605
Pakistan,2015,232622,29327,73362,7883418,867388,2246077,123.1292756,15.52309011,38.83127958,4172.776211,459.1176077,1188.872222,12.60714808,39.97573676,31.53699994
Panama,2015,1095,271,416,28091,6829,10546,27.86968694,6.897429371,10.58793586,714.9656401,173.8101298,268.4143548,24.74885845,65.14423077,37.99086758
Papua New Guinea,2015,1633,322,585,65902,12959,23556,21.43325614,4.22627586,7.678171981,864.9690425,170.0879157,309.1743918,19.71830986,55.04273504,35.82363748
Paraguay,2015,1762,391,1759,48316,10734,48232,26.54014159,5.889441181,26.49495406,727.7602049,161.6809761,726.4949541,22.1906924,22.22853894,99.82973893
Peru,2015,10065,1543,4769,257267,39054,121052,32.07763649,4.917614813,15.19903114,819.922236,124.4669662,385.7985148,15.33035271,32.35479136,47.38201689
Philippines,2015,53264,11665,27958,1772539,382165,927466,52.89426538,11.58402684,27.7639282,1760.234835,379.5121833,921.0279502,21.90034545,41.72329923,52.48948633
Poland,2015,58082,38858,56549,1190302,795226,1158867,150.4247462,100.6371128,146.4544777,3082.725737,2059.530823,3001.313219,66.90196619,68.71562716,97.36062808
Portugal,2015,14328,3470,6954,241177,58143,116595,138.434796,33.52657329,67.18841229,2330.212786,561.7681702,1126.521848,24.21831379,49.89933851,48.53433836
Qatar,2015,680,80,95,23740,2830,3350,30.42505593,3.579418345,4.250559284,1062.192394,126.6219239,149.8881432,11.76470588,84.21052632,13.97058824
Romania,2015,35895,22879,29462,729676,464731,598705,183.9731434,117.2620573,151.0019989,3739.818564,2381.892266,3068.551074,63.73868227,77.65596361,82.07828388
Russia,2015,186086,113708,151680,4320968,2638562,3521172,129.715501,79.26276124,105.732012,3012.02954,1839.269971,2454.513451,61.10508045,74.9657173,81.51069935
Rwanda,2015,4935,254,2287,200408,9853,92728,42.50646361,2.187769353,19.69853744,1726.167246,84.86650171,798.6908526,5.146909828,11.10625273,46.34245187
Saint Lucia,2015,129,6,10,3513,202,302,69.72972973,3.243243243,5.405405405,1898.918919,109.1891892,163.2432432,4.651162791,60,7.751937984
Saint Vincent and the Grenadines,2015,90,4,7,2524,118,206,82.56880734,3.669724771,6.422018349,2315.59633,108.2568807,188.9908257,4.444444444,57.14285714,7.777777778
Samoa,2015,34,1,-1,911,41,-9,17.61658031,0.518134715,-0.518134715,472.0207254,21.24352332,-4.663212435,2.941176471,-100,-2.941176471
Sao Tome and Principe,2015,80,3,31,3197,106,1288,42.10526316,1.578947368,16.31578947,1682.631579,55.78947368,677.8947368,3.75,9.677419355,38.75
Saudi Arabia,2015,21720,1944,2471,576908,50350,64054,68.8649356,6.163601971,7.834496127,1829.13132,159.6385593,203.0881485,8.950276243,78.67260219,11.37661142
Senegal,2015,13060,438,1217,486729,13769,38760,86.32427788,2.895102122,8.044153612,3217.192148,91.01064181,256.1967083,3.353751914,35.99013969,9.318529862
Serbia and Montenegro,2015,15887,9561,11085,319020,191749,222357,167.637438,100.8863564,116.9673947,3366.255144,2023.309064,2346.280469,60.18128029,86.25169147,69.77402908
Seychelles,2015,61,7,15,1691,196,429,63.54166667,7.291666667,15.625,1761.458333,204.1666667,446.875,11.47540984,46.66666667,24.59016393
Sierra Leone,2015,8969,144,1730,412656,5770,70858,138.9896172,2.231520223,26.80923601,6394.793119,89.41577561,1098.062916,1.605530159,8.323699422,19.28866094
Singapore,2015,3138,1095,2096,67255,23380,44854,55.99571734,19.53961456,37.40185582,1200.124911,417.2019986,800.3925767,34.89483748,52.24236641,66.79413639
Slovakia,2015,7724,5378,7135,162683,113144,150234,142.3516403,99.11537044,131.4964983,2998.212311,2085.219314,2768.779948,69.6271362,75.3749124,92.3744174
Slovenia,2015,2659,1736,2112,47560,31008,37742,128.5783366,83.94584139,102.1276596,2299.806576,1499.419729,1825.048356,65.28770214,82.1969697,79.42835653
Solomon Islands,2015,100,14,13,3304,457,435,17.12328767,2.397260274,2.226027397,565.7534247,78.25342466,74.48630137,14,107.6923077,13
Somalia,2015,8456,646,1557,535544,38356,95675,78.39065542,5.98869009,14.43404098,4964.716789,355.5761565,886.9472513,7.639545885,41.49004496,18.41296121
South Africa,2015,40627,14802,30723,1207805,438839,912854,74.55863598,27.16461786,56.38282357,2216.562713,805.356961,1675.268887,36.43389864,48.17888878,75.62212322
South America,2015,206912,37847,114587,5340038,963276,2930492,41.52566146,7.595604456,22.99673759,1071.704928,193.3221518,588.1274102,18.29135091,33.02905216,55.37958166
South Korea,2015,58905,31180,42904,1180077,621370,856998,117.1236531,61.99669811,85.30809287,2346.404025,1235.499946,1704.010465,52.93268823,72.67387656,72.83592225
South and Southeast Asia,2015,2808694,942806,1660289,83601522,26524267,47719231,119.3944585,40.07763461,70.57703906,3553.807731,1127.517094,2028.491444,33.56741603,56.78565599,59.11249143
Spain,2015,48429,14504,21396,779593,231864,342618,105.0019559,31.44703315,46.39001112,1690.284536,502.7188978,742.8515998,29.9489975,67.78837166,44.18014
Sri Lanka,2015,18337,2911,7922,451399,70761,193741,88.52039158,14.0526182,38.24281737,2179.09234,341.593032,935.2690835,15.87500682,36.74577127,43.20226864
Sudan and South Sudan,2015,63860,2937,5687,2668148,104745,207862,121.4645767,5.586305384,10.8169284,5074.936854,199.2296757,395.3628225,4.599123082,51.64410058,8.905418102
Suriname,2015,344,10,54,9313,285,1481,63.35174954,1.841620626,9.944751381,1715.101289,52.48618785,272.7440147,2.906976744,18.51851852,15.69767442
Swaziland,2015,864,233,589,31106,8200,21219,67.13286713,18.1041181,45.76534577,2416.938617,637.1406371,1648.717949,26.96759259,39.55857385,68.1712963
Sweden,2015,8233,4092,6909,128690,63894,107928,84.19060393,41.84476512,70.65138862,1315.983095,653.3796244,1103.671019,49.7024171,59.22709509,83.91837726
Switzerland,2015,8570,5645,7506,137692,90588,120531,103.2654537,68.0202434,90.44463188,1659.139655,1091.553199,1452.355706,65.86931155,75.20650147,87.58459743
Syria,2015,13516,3240,3610,372763,88182,98348,73.05155804,17.51161942,19.51140312,2014.717219,476.6079085,531.5533169,23.97158923,89.75069252,26.70908553
Tajikistan,2015,5023,780,1256,182718,26909,44046,59.2195237,9.195944353,14.80782834,2154.185334,317.2482905,519.2879038,15.52856858,62.10191083,25.00497711
Tanzania,2015,17222,924,7751,730296,39364,332260,32.20871276,1.728071687,14.49597797,1365.805022,73.61884619,621.3951284,5.365230519,11.92104245,45.00638718
Thailand,2015,80456,25277,52293,1961569,613089,1269776,118.3890252,37.19448382,76.94786336,2886.400539,902.1453847,1868.444154,31.41717212,48.33725355,64.99577409
