Entity,Year,"Time spent alone, by age of respondent (United States)","Time spent with children, by age of respondent (United States)","Time spent with coworkers, by age of respondent (United States)","Time spent with family, by age of respondent (United States)","Time spent with friends, by age of respondent (United States)","Time spent with other people, by age of respondent (United States)","Time spent with partner, by age of respondent (United States)","Time spent with other unclassified people, by age of respondent (United States)"
United States,43,321.74783,207.65651,169.79688,55.288914,39.107994,87.394104,181.83145,581.0022
United States,44,312.69861,207.01961,182.13411,54.224209,38.859802,97.258835,191.94835,572.45209
United States,45,309.03583,199.21028,182.52716,58.068977,36.090996,88.249252,183.99062,583.5293
United States,46,326.78207,177.52652,179.01489,54.798512,37.459354,94.035408,186.65195,576.96973
United States,47,338.24756,168.4313,171.43033,60.089104,39.243477,82.83065,181.05563,579.05798
United States,48,332.5762,157.297,170.06847,58.556328,33.357357,83.939705,197.96497,580.51556
United States,49,339.72601,132.68301,187.72957,58.63641,37.315029,83.408821,194.11002,577.64478
United States,50,361.14328,132.44537,168.1844,65.362938,28.917883,88.229416,174.92821,584.05035
United States,51,368.59146,123.67976,172.19505,62.211754,35.627602,81.436684,187.80592,568.70599
United States,52,380.84085,102.66885,176.08771,65.243996,33.961197,76.446381,190.51634,564.01599
United States,53,372.17041,102.3604,168.29805,59.573872,31.585169,90.215553,188.71446,573.58356
United States,54,377.70459,89.755821,184.43581,60.021786,34.837147,86.634895,182.8898,570.31128
United States,55,384.14532,88.129921,162.92227,60.739655,33.079144,77.900688,184.38846,575.68665
United States,56,387.00711,78.608688,154.11407,66.083549,36.820248,78.923607,195.93608,574.21185
United States,57,399.18466,73.898285,157.73422,58.831005,31.479084,75.674599,185.31619,575.2713
United States,58,409.77731,68.309761,140.36014,65.851311,35.2756,74.1036,186.54398,575.25525
United States,59,411.51978,70.334312,140.17371,67.322807,29.068735,80.680649,199.87039,566.98853
United States,60,413.32019,61.933525,125.92768,65.528786,35.94643,67.168747,204.63687,572.66064
United States,61,414.82727,71.07634,126.77782,60.896008,32.807606,64.931435,205.22923,571.2558
United States,62,425.2204,57.484367,96.651878,56.583904,34.453568,69.142334,224.05167,575.59283
United States,63,430.51068,62.510818,78.317001,73.459251,36.147518,60.478809,232.44521,568.49701
United States,64,449.01306,55.407318,78.246071,63.962303,35.180847,51.592838,231.84886,563.35388
United States,65,444.02954,57.586105,62.186493,65.28495,35.90049,63.075771,242.53215,569.00659
United States,66,431.98727,59.682854,50.919098,69.281334,40.828274,51.587414,255.86,575.71399
United States,67,433.85413,62.771469,44.558029,58.832348,38.98082,52.194317,258.14743,581.90448
United States,68,448.22601,53.818981,39.273418,53.716782,41.382526,54.544231,260.36365,570.48895
United States,69,443.00061,68.845222,27.190746,61.424671,42.001629,47.419052,270.69342,568.57153
United States,70,448.85193,52.782196,26.851473,47.977863,45.80217,54.365879,261.86359,581.60028
United States,71,444.47784,59.073078,21.892221,58.145714,44.433987,48.661613,266.694,583.58899
United States,72,474.45526,46.338203,20.653986,57.166805,44.234802,45.313663,261.05215,566.30615
United States,73,451.40637,56.115063,18.386124,56.550076,36.592476,44.321709,276.13379,579.9046
United States,74,458.6745,48.986588,14.613341,66.20977,40.508751,48.892448,254.44495,585.40845
United States,75,463.43195,48.644051,16.36656,56.281876,39.079994,47.260769,252.93309,583.09869
United States,76,456.49493,44.339306,19.662245,51.955276,41.503906,45.648537,266.23712,585.44342
United States,77,454.3125,46.719131,12.47935,67.455605,33.595589,35.175297,272.73013,587.64685
United States,78,461.63959,42.985035,3.2494414,59.704296,39.297825,41.664391,256.41376,598.86279
United States,79,485.83075,38.609028,4.5325632,51.944447,41.975792,34.695961,235.3701,592.45581
United States,80,476.76736,45.010258,5.2152042,66.100365,35.589745,41.977215,227.04634,600.9895
United States,85,501.88327,45.463383,3.5733819,65.052567,36.37146,49.856266,158.42017,622.01605
