Entity,Year,Suicide rate (WHO (2005)),Male-Female Ratio of Suicide Rate (WHO (2005))
Azerbaijan,1986,4.251373,2.282846787
Azerbaijan,1987,4.619159,2.29090241
Azerbaijan,1988,3.954315,2.241665394
Azerbaijan,1989,3.982391,2.362189393
Azerbaijan,1990,2.019469,3.989916134
Azerbaijan,1991,2.079842,3.34119876
Azerbaijan,1992,2.367986,3.463483012
Azerbaijan,1993,1.847722,2.712186888
Azerbaijan,1994,0.7762645,1.994507757
Azerbaijan,1995,0.7589484,8.228255413
Azerbaijan,1996,1.105828,4.969132491
Azerbaijan,1997,1.667972,4.585919641
Azerbaijan,1998,0.8385647,3.046275972
Azerbaijan,1999,0.7774907,3.795470236
Azerbaijan,2000,0.8361951,3.39623278
Azerbaijan,2002,4.718285,
Azerbaijan,2004,1.380964637,4.273433111
Azerbaijan,2005,1.380964637,
Bahamas,2002,3.141181,
Bahamas,2004,3.374415874,3.254148553
Bahamas,2005,3.374415874,
Bahrain,1985,2.361826,3.328620642
Bahrain,1987,2.411743,2.871571317
Bahrain,1988,2.750445,6.016706453
Bahrain,1999,2.012584,2.737241409
Bahrain,2000,3.683079,18.74606683
Bahrain,2001,2.977851,4.668340862
Bahrain,2002,3.881184,
Bahrain,2004,4.414990425,9.134470428
Bahrain,2005,4.414990425,
Bangladesh,2002,14.7468,
Bangladesh,2004,14.53835678,1.028665298
Bangladesh,2005,14.53835678,
Barbados,2002,3.996051,
Barbados,2004,3.108602524,7.869119819
Barbados,2005,3.108602524,
Belarus,1981,23.69643,5.666250475
Belarus,1982,25.53273,5.922457694
Belarus,1985,21.96483,5.598650951
Belarus,1986,16.7862,4.700028073
Belarus,1987,18.01035,4.310737703
Belarus,1988,17.2866,4.507477004
Belarus,1989,20.46141,5.159812089
Belarus,1990,19.26921,4.994318257
Belarus,1991,19.82858,5.198677846
Belarus,1992,22.24357,5.318753166
Belarus,1993,26.17479,5.805742525
Belarus,1994,28.45045,5.924085239
Belarus,1995,29.04394,6.719156595
Belarus,1997,31.74479,6.574483349
Belarus,1998,31.84211,7.208325993
Belarus,1999,30.93279,6.719917028
Belarus,2000,31.28184,7.669045516
Belarus,2001,29.6032,7.416400118
Belarus,2002,29.54302,6.873178571
Belarus,2003,30.52928,6.992610451
Belarus,2004,31.08221245,6.753238872
Belarus,2005,26.8746903,
Belgium,1954,11.33692,3.001702755
Belgium,1955,10.97399,2.995276586
Belgium,1956,11.9794,2.557333264
Belgium,1957,11.96483,2.629816417
Belgium,1958,12.1242,2.866732501
Belgium,1959,10.79907,2.734352425
Belgium,1960,12.10405,2.902326143
Belgium,1961,12.21452,2.900226779
Belgium,1962,11.2106,2.837038045
Belgium,1963,11.66752,2.413113918
Belgium,1964,11.73851,2.707967847
Belgium,1965,12.73038,2.360173134
Belgium,1966,12.0517,2.508755907
Belgium,1967,12.59613,2.504366405
Belgium,1968,13.08375,2.324352946
Belgium,1969,12.58881,2.557860873
Belgium,1970,13.8067,2.126570136
Belgium,1971,12.983,2.47285028
Belgium,1972,13.16265,2.26410991
Belgium,1973,12.45009,2.48179855
Belgium,1974,13.38962,2.278885474
Belgium,1975,13.64228,1.972002823
Belgium,1976,14.15512,2.079500818
Belgium,1977,16.3792,2.012234027
Belgium,1978,17.72808,2.090299622
Belgium,1979,18.26249,2.057273098
Belgium,1980,19.00523,1.916245527
Belgium,1981,18.76957,2.168309212
Belgium,1982,18.62509,2.333559285
Belgium,1983,19.62522,2.042159473
Belgium,1984,20.16465,2.306874531
Belgium,1985,19.40232,2.282658198
Belgium,1986,18.66436,2.289679482
Belgium,1987,18.94862,2.529879305
Belgium,1988,16.84894,2.392406868
Belgium,1989,15.99179,2.59832342
Belgium,1990,15.71091,2.463537326
Belgium,1991,14.92314,2.714766255
Belgium,1992,15.48513,2.677012008
Belgium,1993,17.86711,3.008702279
Belgium,1994,17.69854,2.972672268
Belgium,1995,17.92797,2.87154357
Belgium,1996,16.79021,
Belgium,1997,17.86538,
Belgium,1998,16.64468,2.95548885
Belgium,1999,15.33369,3.016504908
Belgium,2002,17.61622,
Belgium,2004,15.95385,2.940503416
Belgium,2005,15.95385,
Belize,2002,3.146572,
Belize,2004,9.388795853,9.263307815
Belize,2005,9.388795853,
Benin,2002,6.626652,
Benin,2004,6.057739735,1.800661464
Benin,2005,6.057739735,
Bhutan,2002,17.39743,
Bhutan,2004,15.54260254,1.441894759
Bhutan,2005,15.54260254,
Bolivia,2002,2.206954,
Bolivia,2004,2.034178495,2.523503945
Bolivia,2005,2.034178495,
Bosnia and Herzegovina,1985,10.2689,3.549676629
Bosnia and Herzegovina,1986,11.7112,3.277545018
Bosnia and Herzegovina,1987,11.22201,3.013339603
Bosnia and Herzegovina,1988,9.739096,3.648029933
Bosnia and Herzegovina,1989,9.906481,4.255595563
Bosnia and Herzegovina,1990,10.18912,4.511446473
Bosnia and Herzegovina,1991,11.34873,5.929029181
Bosnia and Herzegovina,2002,12.45098,
Bosnia and Herzegovina,2004,11.8367157,3.019754723
Bosnia and Herzegovina,2005,11.8367157,
Botswana,2002,7.453454,
Botswana,2004,11.21397018,1.467757614
Botswana,2005,11.21397018,
Brazil,1982,3.825186,2.95497813
Brazil,1983,4.306122,2.827219319
Brazil,1984,4.103057,3.095258121
Brazil,1985,3.875458,3.219614367
Brazil,1986,3.839376,3.042269106
Brazil,1987,4.032371,3.231079628
Brazil,1988,3.743677,3.123558152
Brazil,1989,3.627627,3.418212906
Brazil,1990,3.817847,3.13894395
Brazil,1991,4.002315,3.545966929
Brazil,1992,3.943459,3.759858608
Brazil,1993,3.987151,3.933903935
Brazil,1994,4.16313,3.898599453
Brazil,1995,4.613017,3.973183318
Brazil,1996,4.593544,4.09233042
Brazil,1997,4.648774,4.212573887
Brazil,1998,4.570699,4.17527773
Brazil,1999,4.156154,4.683287617
Brazil,2000,4.235338,4.29110706
Brazil,2001,4.689151,4.337808469
Brazil,2002,4.564688,3.857759132
Brazil,2003,4.541708,4.252936143
Brazil,2004,4.544517,4.012724463
Brazil,2005,4.777007,
Brunei,2002,1.450894,
Brunei,2004,1.370001554,6.169003659
Brunei,2005,1.370001554,
Bulgaria,1964,8.495569,2.490889566
Bulgaria,1965,8.836132,2.005645841
Bulgaria,1966,9.524807,2.47231548
Bulgaria,1967,9.771757,2.637892521
Bulgaria,1968,9.300859,2.125653763
Bulgaria,1969,10.71659,2.176662476
Bulgaria,1970,11.03628,2.28045348
Bulgaria,1971,11.23274,2.571763102
Bulgaria,1972,10.35056,2.472265837
Bulgaria,1973,10.41801,2.537361243
Bulgaria,1974,11.29529,2.550351144
Bulgaria,1975,11.47946,2.601973121
Bulgaria,1976,12.37924,2.60196802
Bulgaria,1977,12.56126,2.75143171
Bulgaria,1978,11.87868,2.576478585
Bulgaria,1979,12.44803,2.408347702
Bulgaria,1980,11.81065,2.423124802
Bulgaria,1981,11.7393,2.57261052
Bulgaria,1982,13.22019,2.661067191
Bulgaria,1983,11.19199,3.004990144
Bulgaria,1984,14.27714,2.783929668
Bulgaria,1985,13.53859,2.791212966
Bulgaria,1986,13.31617,2.62658298
Bulgaria,1987,13.86124,2.906979247
Bulgaria,1988,13.47092,2.714504778
Bulgaria,1989,13.49538,2.866516816
Bulgaria,1990,12.25013,2.716113887
Bulgaria,1991,12.60847,3.210081099
Bulgaria,1992,14.42051,3.214655292
Bulgaria,1993,14.11095,2.752001095
Bulgaria,1994,13.8071,2.902181734
Bulgaria,1995,13.50905,2.939815712
Bulgaria,1996,14.4721,3.205903789
Bulgaria,1997,13.69746,2.590735222
Bulgaria,1998,14.18205,2.89385932
Bulgaria,1999,12.25715,3.40091817
Bulgaria,2000,13.05248,3.205985584
Bulgaria,2001,12.40352,3.157735023
Bulgaria,2002,12.3741,3.538991202
Bulgaria,2003,10.38297,3.273246387
Bulgaria,2004,9.517831,3.439459096
Bulgaria,2005,9.216544,
Burkina Faso,2002,8.277635,
Burkina Faso,2004,8.204221725,1.961632006
Burkina Faso,2005,8.204221725,
Burundi,2002,10.84354,
Burundi,2004,14.68093586,3.20470341
Burundi,2005,14.68093586,
Cambodia,2002,5.028395,
Cambodia,2004,4.961071491,2.039543181
Cambodia,2005,4.961071491,
Cameroon,2002,6.682539,
Cameroon,2004,7.214220524,1.738670792
Cameroon,2005,7.214220524,
Canada,1950,8.201165,3.379999076
Canada,1951,7.869432,3.075045713
Canada,1952,7.786166,3.256766782
Canada,1953,7.629456,3.443998793
Canada,1954,7.803952,3.143698012
Canada,1955,7.667578,3.192913652
Canada,1956,8.347555,3.390424554
Canada,1957,8.257942,3.602391671
Canada,1958,8.249329,4.011051746
Canada,1959,8.147938,3.720728481
Canada,1960,8.403479,3.99779148
Canada,1961,8.312451,4.052930298
Canada,1962,8.002673,3.674934732
Canada,1963,8.473262,3.055719472
Canada,1964,9.206102,3.031352882
Canada,1965,9.751631,2.898320874
Canada,1966,9.506003,2.966532698
Canada,1967,9.95408,2.785801447
Canada,1968,10.67558,2.75676834
Canada,1969,11.75264,2.53189089
Canada,1970,12.15343,2.563507448
Canada,1971,12.61654,2.69225317
Canada,1972,12.78639,2.500573943
Canada,1973,13.05484,2.542782252
Canada,1974,13.28622,2.608473592
Canada,1975,12.50456,2.582595495
Canada,1976,12.90813,2.524667849
Canada,1977,14.12873,2.882434677
Canada,1978,14.53326,3.041278759
Canada,1979,13.82573,3.034821165
Canada,1980,13.54163,3.117909484
Canada,1981,13.4263,3.128014377
Canada,1982,13.84684,3.437566256
Canada,1983,14.30516,3.368476064
Canada,1984,12.95502,3.504685018
Canada,1985,12.08838,3.795204069
Canada,1986,13.58978,3.593486469
Canada,1987,13.16523,3.641133298
Canada,1988,12.67723,3.653413579
Canada,1989,12.47078,3.54148667
Canada,1990,11.86393,3.938048441
Canada,1991,12.32333,4.238338658
Canada,1992,12.22278,3.783929771
Canada,1993,12.2041,3.929460685
Canada,1994,11.94806,3.888126028
Canada,1995,12.46905,3.968072106
Canada,1996,12.25137,3.779624528
Canada,1997,11.30162,3.922756202
Canada,1998,11.27126,3.885975861
Canada,1999,12.13107,3.982573961
Canada,2000,10.69649,3.502487479
Canada,2001,10.76762,3.558097695
Canada,2002,10.46119,3.548051357
Canada,2003,10.61292,3.439905182
Canada,2004,10.10099,3.200613931
Canada,2005,10.10099,
Cape Verde,2002,3.929598,
Cape Verde,2004,5.633333683,1.454915803
Cape Verde,2005,5.633333683,
Central African Republic,2002,13.10169,
Central African Republic,2004,13.54841995,2.171511745
Central African Republic,2005,13.54841995,
Chad,2002,7.292041,
Chad,2004,8.283070564,2.136581112
Chad,2005,8.283070564,
Chile,1955,5.732178,5.949265854
Chile,1956,9.149643,4.73340024
Chile,1957,9.159602,5.759339856
Chile,1958,8.201006,4.673624232
Chile,1959,6.93117,4.963732062
Chile,1960,9.322284,4.258015598
Chile,1961,9.362956,3.587990888
Chile,1962,8.013679,4.688115156
Chile,1963,4.446839,9.677609821
Chile,1964,3.545123,4.655518197
Chile,1965,2.473813,3.420693351
Chile,1966,8.50732,3.734816874
Chile,1967,2.656462,6.207237042
Chile,1968,10.47899,4.488873255
Chile,1969,8.529561,4.135499639
Chile,1970,7.418612,4.503272659
Chile,1971,7.009671,5.949208146
Chile,1972,6.752884,5.042484259
Chile,1973,6.184073,4.799314227
Chile,1974,6.592804,6.051452387
Chile,1975,8.086133,5.776114182
Chile,1976,6.591233,4.401040302
Chile,1977,6.894048,7.739769075
Chile,1978,6.103039,5.795050028
Chile,1979,6.715106,5.159209239
Chile,1980,5.364541,6.397968056
Chile,1981,6.45021,5.392663724
Chile,1982,6.346614,7.811043227
Chile,1983,6.285039,6.27038257
Chile,1984,6.772761,7.050954628
Chile,1985,6.411797,5.636222753
Chile,1986,5.869994,5.006840963
Chile,1987,6.044198,5.139628783
Chile,1988,5.967246,5.547687925
Chile,1989,6.044353,6.886392024
Chile,1990,6.141553,6.374411893
Chile,1991,6.335704,5.46552749
Chile,1992,5.133439,6.493148653
Chile,1993,5.751341,5.94872387
Chile,1994,6.051927,7.797734518
Chile,1995,6.892183,6.962118286
Chile,1996,6.639486,6.997663442
Chile,1997,6.445821,6.173814929
Chile,1998,7.180727,7.343281113
Chile,1999,7.095457,6.99345518
Chile,2000,9.828766,6.504397011
Chile,2001,10.61102,6.384134757
Chile,2002,10.2641,5.789855197
Chile,2003,10.40894,5.83817443
Chile,2004,10.68438,5.810107581
Chile,2005,10.17187,
China,2002,21.20328,
China,2004,16.91324806,0.886915577
China,2005,16.91324806,
Colombia,1953,1.143741,4.843954622
Colombia,1954,1.939235,4.629673946
Colombia,1955,1.592191,7.235706628
Colombia,1956,1.259542,6.653157625
Colombia,1957,0.8708677,5.923355572
Colombia,1958,3.027905,2.977964593
Colombia,1959,3.564371,2.747781522
Colombia,1960,3.647928,3.205675812
Colombia,1961,4.86364,2.407781158
Colombia,1962,5.712422,3.201675963
Colombia,1963,5.711245,2.568299111
Colombia,1964,5.996255,2.349322321
Colombia,1965,7.919828,2.237499096
Colombia,1966,7.37764,2.144930595
Colombia,1967,8.422912,2.095139834
Colombia,1968,5.364674,2.961712843
Colombia,1969,3.950341,3.941421784
Colombia,1972,4.65205,3.224189235
Colombia,1974,4.668807,3.196948913
Colombia,1975,4.353875,3.090461129
Colombia,1976,4.243285,3.469456542
Colombia,1977,3.666697,3.989426642
Colombia,1984,4.271548,4.488641808
Colombia,1985,4.051735,4.509266464
Colombia,1986,3.677213,4.221363082
Colombia,1987,3.164829,4.770050911
Colombia,1988,3.051975,5.376047441
Colombia,1989,2.747055,4.579506259
Colombia,1990,2.785237,4.028798236
Colombia,1991,3.234375,4.276794104
Colombia,1992,3.536186,4.354792934
Colombia,1993,3.530796,4.732014787
Colombia,1994,3.812184,4.109615024
Colombia,1995,3.383617,4.030373345
Colombia,1996,3.485843,4.537959706
Colombia,1997,3.446733,4.064731246
Colombia,1998,5.588333,3.793437095
Colombia,1999,5.658078,4.082646751
Colombia,2000,5.991631,3.924088386
Colombia,2001,6.040267,3.978047188
Colombia,2002,5.728444,3.693608357
Colombia,2004,5.359842,4.078353042
Colombia,2005,4.907702,
Comoros,2002,4.377626,
Comoros,2004,4.751083851,1.741889996
Comoros,2005,4.751083851,
Congo,2002,9.821898,
Congo,2004,9.873761177,1.889938467
Congo,2005,9.873761177,
Cook Islands,2002,4.565275,
Cook Islands,2004,4.373364925,1.626312194
Cook Islands,2005,4.373364925,
Costa Rica,1962,3.191089,6.334164531
Costa Rica,1963,5.0869,5.213779815
Costa Rica,1964,4.245873,6.244720858
Costa Rica,1965,3.307125,12.2991557
Costa Rica,1966,4.695526,11.07040929
Costa Rica,1967,4.536897,20.3259608
Costa Rica,1968,3.973893,11.54756845
Costa Rica,1969,4.448352,14.22844384
Costa Rica,1970,3.369493,9.198206272
Costa Rica,1971,4.513411,7.12134073
Costa Rica,1972,4.327007,5.413016641
Costa Rica,1973,3.82232,4.670545772
Costa Rica,1974,5.254248,5.699426222
Costa Rica,1975,5.511003,4.264077843
Costa Rica,1976,7.761082,4.948385163
Costa Rica,1977,5.392559,3.610058767
Costa Rica,1978,5.073589,4.530614086
Costa Rica,1979,4.458363,5.938414541
Costa Rica,1980,6.46803,4.449920603
Costa Rica,1981,4.8651,5.449570884
Costa Rica,1982,5.131508,4.280315148
Costa Rica,1983,6.441837,7.367606585
Costa Rica,1984,5.493137,5.14180509
Costa Rica,1985,5.805995,7.774687694
Costa Rica,1986,6.317045,12.14665684
Costa Rica,1987,5.173544,5.665384981
Costa Rica,1988,6.244262,9.148051515
Costa Rica,1989,6.56845,5.009362721
Costa Rica,1990,6.197185,8.324589634
Costa Rica,1991,4.959392,7.011009464
Costa Rica,1992,5.57368,6.285723404
Costa Rica,1993,6.022556,5.567252741
Costa Rica,1994,5.668564,4.997685196
Costa Rica,1995,6.598767,4.74131232
Costa Rica,1996,6.420972,8.253902975
Costa Rica,1997,5.810333,6.175638305
Costa Rica,1998,6.536646,9.008120172
Costa Rica,1999,6.66712,9.570230992
Costa Rica,2000,6.668331,7.710554534
Costa Rica,2001,5.569319,6.635714217
Costa Rica,2002,7.162079,6.3852624
Costa Rica,2003,8.001172,5.55339122
Costa Rica,2004,8.127507,6.522532033
Costa Rica,2005,6.597168,
Cote d'Ivoire,2002,15.30599,
Cote d'Ivoire,2004,20.31793022,2.370370419
Cote d'Ivoire,2005,20.31793022,
Croatia,1985,19.2657,3.030773128
Croatia,1986,18.90348,3.160496747
Croatia,1987,20.36738,2.998019909
Croatia,1988,20.06863,2.777407675
Croatia,1989,18.28827,2.765640887
Croatia,1990,19.85799,3.074176597
Croatia,1991,19.34206,3.009435368
Croatia,1992,20.56279,3.705387177
Croatia,1993,19.38528,3.165037624
Croatia,1994,19.0867,3.418841898
Croatia,1995,16.5339,3.529472929
Croatia,1996,19.20495,3.563932753
Croatia,1997,17.57784,3.458162881
Croatia,1998,19.31718,3.387063068
Croatia,1999,18.57795,3.528210379
Croatia,2000,18.02292,4.004246658
Croatia,2001,15.58207,3.867379735
Croatia,2002,15.20331,3.614649285
Croatia,2003,14.94755,4.58061231
Croatia,2004,14.6266,3.37384878
Croatia,2005,14.77625,
Cuba,1964,12.48559,1.835074816
Cuba,1968,13.98158,1.617766688
Cuba,1969,12.12626,1.260117164
Cuba,1970,14.18285,1.53319428
Cuba,1971,16.16134,1.63594378
Cuba,1972,17.42713,1.471725362
Cuba,1973,19.44759,1.886852783
Cuba,1974,21.26069,1.581662063
Cuba,1975,20.65146,1.60403549
Cuba,1976,21.28447,1.437702296
Cuba,1977,21.30074,1.299799441
Cuba,1992,20.67097,1.410839782
Cuba,1993,21.14372,1.469058067
Cuba,1994,19.94513,1.72982865
Cuba,1995,19.15213,1.735289882
Cuba,1996,17.16899,2.028845034
Cuba,1997,16.79339,2.215708641
Cuba,1998,16.73562,2.123519936
Cuba,1999,16.43439,2.50130413
Cuba,2000,14.73542,2.461033957
Cuba,2001,13.03323,2.653513123
Cuba,2002,12.36816,2.550621793
Cuba,2003,11.48033,3.063015419
Cuba,2004,11.55148,3.117771945
Cuba,2005,10.57191,
Cyprus,1999,0.1312417,
Cyprus,2000,1.085972,
Cyprus,2002,0.6061239,
Cyprus,2004,0.6143094,3.557614958
Cyprus,2005,2.206169,
Czech Republic,1986,18.34381,3.036187491
Czech Republic,1987,16.36347,3.192108349
Czech Republic,1988,16.59023,2.826644429
Czech Republic,1989,16.07412,3.082488457
Czech Republic,1990,16.6598,3.210776411
Czech Republic,1991,16.09865,3.326316676
Czech Republic,1992,16.63402,3.61534903
Czech Republic,1993,16.05735,3.454714813
Czech Republic,1994,15.42972,3.192777023
Czech Republic,1995,14.45792,3.610866915
Czech Republic,1996,12.87189,4.252806884
Czech Republic,1997,13.6167,4.365695423
Czech Republic,1998,13.16321,4.463919803
Czech Republic,1999,12.95432,4.783727715
Czech Republic,2000,13.30353,4.44039901
Czech Republic,2001,12.96745,4.719841689
Czech Republic,2002,12.25913,4.414941726
Czech Republic,2003,13.73023,4.62659333
Czech Republic,2004,12.57968,5.327087639
Czech Republic,2005,12.36798,
Czechoslovakia,1953,18.96523,2.617768149
Czechoslovakia,1954,19.44373,2.913708155
Czechoslovakia,1955,18.7464,2.767313598
Czechoslovakia,1956,19.39845,2.678242075
Czechoslovakia,1957,19.76243,2.768800608
Czechoslovakia,1958,19.55592,2.68286741
Czechoslovakia,1959,20.90478,2.730834265
Czechoslovakia,1960,21.57999,2.479830205
Czechoslovakia,1961,19.95406,2.709667706
Czechoslovakia,1962,19.93304,2.669812909
Czechoslovakia,1963,20.5491,2.749426421
Czechoslovakia,1964,19.77859,2.7225662
Czechoslovakia,1965,20.48941,2.845559007
Czechoslovakia,1966,22.1313,2.87866216
Czechoslovakia,1967,22.7391,2.942710066
Czechoslovakia,1968,23.26697,2.805292187
Czechoslovakia,1969,21.77464,3.051037776
Czechoslovakia,1970,23.75488,3.059571521
Czechoslovakia,1971,22.63649,3.31200443
Czechoslovakia,1972,22.7179,3.107759826
Czechoslovakia,1973,20.75337,3.314103936
Czechoslovakia,1974,21.04074,3.334921903
Czechoslovakia,1975,20.32091,3.213970235
Czechoslovakia,1976,19.20295,3.197883796
Czechoslovakia,1977,19.6305,3.605591412
Czechoslovakia,1978,19.72062,3.230966202
Czechoslovakia,1979,18.36911,3.508815587
Czechoslovakia,1980,18.44104,3.254802441
Czechoslovakia,1981,18.38247,3.561028903
Czechoslovakia,1982,18.18637,3.499639468
Czechoslovakia,1983,17.59199,3.737954973
Czechoslovakia,1984,16.84411,3.49571562
Czechoslovakia,1985,17.28135,3.710172217
Czechoslovakia,1986,17.46858,3.368168833
Czechoslovakia,1987,16.19857,3.716331058
Czechoslovakia,1988,16.12425,3.247132993
Czechoslovakia,1989,16.08007,3.478281764
Czechoslovakia,1990,16.05837,3.568840567
Czechoslovakia,1991,15.4163,3.922471103
Democratic Republic of Congo,2002,7.346663,
Democratic Republic of Congo,2004,14.71302032,3.13927733
Democratic Republic of Congo,2005,14.71302032,
Denmark,1951,22.57001,2.193939572
Denmark,1952,21.80417,2.237533763
Denmark,1953,22.97208,2.092182001
Denmark,1954,22.0815,2.14516624
Denmark,1955,22.07839,2.264345647
Denmark,1956,21.21038,2.124133808
Denmark,1957,20.65602,2.116092669
Denmark,1958,19.63602,2.246194122
Denmark,1959,19.808,2.274340633
Denmark,1960,18.92327,2.103357557
Denmark,1961,15.55525,2.069782446
Denmark,1962,17.73354,1.96198468
Denmark,1963,17.73943,2.074774948
Denmark,1964,19.29921,1.83574644
Denmark,1965,17.74087,1.725303102
Denmark,1966,16.25596,2.007947044
Denmark,1967,16.13284,2.150575646
Denmark,1968,18.82345,1.908497558
Denmark,1969,19.19158,1.789723524
Denmark,1970,19.6677,1.848409875
