Entity,Year,Absolute difference in population (OWID based on UN vs US Census Bureau),Relative difference in population (OWID based on UN vs US Census Bureau)
Africa,2009,16273863,1.591017775
Africa,2010,17761033,1.692419351
Africa,2011,19905914,1.848387873
Africa,2012,22155205,2.004478449
Africa,2013,24210639,2.134227573
Africa,2014,26443158,2.271495691
Africa,2015,28854871,2.415907401
Asia,1950,-33503893,-2.386212488
Asia,1951,-22841462,-1.592255708
Asia,1952,-18055811,-1.234028628
Asia,1953,-16970137,-1.138296919
Asia,1954,-18164610,-1.196375814
Asia,1955,-21733240,-1.405642092
Asia,1956,-25566653,-1.623513905
Asia,1957,-30625622,-1.908793979
Asia,1958,-34939493,-2.136595127
Asia,1959,-33329569,-1.999017357
Asia,1960,-20000978,-1.176207946
Asia,1961,-3752645,-0.216309845
Asia,1962,-1093462,-0.061753942
Asia,1963,-9781321,-0.540891198
Asia,1964,-17619320,-0.953193241
Asia,1965,-20909865,-1.105623271
Asia,1966,-22703698,-1.172189716
Asia,1967,-21622475,-1.089246155
Asia,1968,-20615807,-1.012943161
Asia,1969,-20993106,-1.006191189
Asia,1970,-21362499,-0.999261636
Asia,1971,-22535773,-1.029319348
Asia,1972,-22703074,-1.01303404
Asia,1973,-22453510,-0.979362302
Asia,1974,-21846438,-0.932093784
Asia,1975,-18363227,-0.766943805
Asia,1976,-13766536,-0.56325722
Asia,1977,-9730889,-0.390298431
Asia,1978,-5470154,-0.2151776
Asia,1979,-2523725,-0.097375894
Asia,1980,4803483,0.181778734
Asia,1981,4166055,0.154617674
Asia,1982,5606950,0.204079417
Asia,1983,7107744,0.253682119
Asia,1984,11059675,0.386978443
Asia,1985,15587292,0.534552156
Asia,1986,20715972,0.696095785
Asia,1987,25005406,0.823137718
Asia,1988,29586245,0.954325067
Asia,1989,34226305,1.082505165
Asia,1990,36803257,1.142482239
Asia,1991,42173134,1.286334408
Asia,1992,43407690,1.30212493
Asia,1993,44608857,1.317154416
Asia,1994,44678071,1.299337722
Asia,1995,43800602,1.255281102
Asia,1996,42825411,1.210064651
Asia,1997,42514319,1.184957963
Asia,1998,42658016,1.173290687
Asia,1999,43156365,1.171711682
Asia,2000,44320376,1.188095781
Asia,2001,45785209,1.212074579
Asia,2002,47850530,1.251200483
Asia,2003,49920100,1.289524632
Asia,2004,52942539,1.351308835
Asia,2005,56006303,1.412751313
Asia,2006,58500679,1.458650578
Asia,2007,61569549,1.517730699
Asia,2008,65199997,1.589219104
Asia,2009,68765178,1.657571473
Asia,2010,72919428,1.7384844
Asia,2011,77473720,1.8270893
Asia,2012,82193062,1.917703675
Asia,2013,86849112,2.005108934
Asia,2014,91348119,2.08743233
Asia,2015,95013699,2.149681001
Europe,1950,2234695,0.406770407
Europe,1951,1773610,0.319876607
Europe,1952,1862459,0.332624742
Europe,1953,1817767,0.321389497
Europe,1954,1918237,0.335737325
Europe,1955,1831837,0.317415373
Europe,1956,1595800,0.273798122
Europe,1957,1367328,0.232326508
Europe,1958,999693,0.168229075
Europe,1959,582886,0.097143908
Europe,1960,314095,0.051837236
Europe,1961,10558,0.001725265
Europe,1962,-327314,-0.052956594
Europe,1963,-280551,-0.044950696
Europe,1964,-222397,-0.035305283
Europe,1965,-121225,-0.019080568
Europe,1966,-84352,-0.013174117
Europe,1967,47716,0.007399756
Europe,1968,-74287,-0.011444879
Europe,1969,-356523,-0.054579606
Europe,1970,-592840,-0.090186336
Europe,1971,-1083796,-0.163833543
Europe,1972,-1259726,-0.189235521
Europe,1973,-1259581,-0.188050323
Europe,1974,-1169880,-0.173624229
Europe,1975,-1030894,-0.152137939
Europe,1976,-794009,-0.116556822
Europe,1977,-775528,-0.113269812
Europe,1978,-745327,-0.108336328
Europe,1979,-820567,-0.118725392
Europe,1980,-1017807,-0.146614267
Europe,1981,-1201369,-0.172328002
Europe,1982,-1028005,-0.146868399
Europe,1983,-821228,-0.116869231
Europe,1984,-663565,-0.094064773
Europe,1985,-482104,-0.068071977
Europe,1986,-368926,-0.051881684
Europe,1987,-156262,-0.021885888
Europe,1988,-71601,-0.009988888
Europe,1989,-342441,-0.047600053
Europe,1990,-929322,-0.128768715
Europe,1991,-1233966,-0.170518849
Europe,1992,-1438778,-0.198370029
Europe,1993,-1389304,-0.191205082
Europe,1994,-1530254,-0.210334385
Europe,1995,-1759100,-0.241606541
Europe,1996,-2008423,-0.275794197
Europe,1997,-2386121,-0.32774991
Europe,1998,-2768761,-0.380507218
Europe,1999,-3069736,-0.422063162
Europe,2000,-3301615,-0.454016878
Europe,2001,-3410410,-0.468878512
Europe,2002,-3361849,-0.46194837
Europe,2003,-3192841,-0.438338243
Europe,2004,-3092183,-0.424020895
Europe,2005,-2900022,-0.397105706
Europe,2006,-2552937,-0.348985527
Europe,2007,-2670866,-0.364392643
Europe,2008,-3047324,-0.414898549
Europe,2009,-3118627,-0.423777639
Europe,2010,-3062544,-0.415449716
Europe,2011,-3213789,-0.435367872
Europe,2012,-3648043,-0.493661543
Europe,2013,-4240237,-0.573298481
Europe,2014,-4517376,-0.610282426
Europe,2015,-4672240,-0.63069006
Latin America and the Caribbean,1950,3474899,2.057155138
Latin America and the Caribbean,1951,3607675,2.07938603
Latin America and the Caribbean,1952,3807644,2.136318193
Latin America and the Caribbean,1953,4020321,2.19560772
Latin America and the Caribbean,1954,4149814,2.206112531
Latin America and the Caribbean,1955,4190345,2.168649803
Latin America and the Caribbean,1956,4206187,2.119330432
Latin America and the Caribbean,1957,4164919,2.043120933
Latin America and the Caribbean,1958,4069479,1.943461256
Latin America and the Caribbean,1959,3950862,1.836587347
Latin America and the Caribbean,1960,3843335,1.738667991
Latin America and the Caribbean,1961,3894463,1.714158953
Latin America and the Caribbean,1962,3975139,1.702140212
Latin America and the Caribbean,1963,4018405,1.674007765
Latin America and the Caribbean,1964,3987965,1.616702912
Latin America and the Caribbean,1965,3955698,1.56118349
Latin America and the Caribbean,1966,3919546,1.506656238
Latin America and the Caribbean,1967,3883504,1.454547263
Latin America and the Caribbean,1968,3809951,1.390928096
Latin America and the Caribbean,1969,3690318,1.313565415
Latin America and the Caribbean,1970,3590231,1.246272825
Latin America and the Caribbean,1971,3641886,1.233158596
Latin America and the Caribbean,1972,3705279,1.22413217
Latin America and the Caribbean,1973,3840009,1.238167739
Latin America and the Caribbean,1974,4424233,1.392726866
Latin America and the Caribbean,1975,4650572,1.429768487
Latin America and the Caribbean,1976,4917583,1.477064315
Latin America and the Caribbean,1977,5123965,1.504159764
Latin America and the Caribbean,1978,5332211,1.530283868
Latin America and the Caribbean,1979,5438361,1.526253705
Latin America and the Caribbean,1980,5704961,1.566073784
Latin America and the Caribbean,1981,5888378,1.581460474
Latin America and the Caribbean,1982,5942166,1.561797238
Latin America and the Caribbean,1983,5861186,1.50807081
Latin America and the Caribbean,1984,5749945,1.448861585
Latin America and the Caribbean,1985,5647254,1.394178463
Latin America and the Caribbean,1986,5510339,1.33345176
Latin America and the Caribbean,1987,5233316,1.241893683
Latin America and the Caribbean,1988,4958071,1.154244495
Latin America and the Caribbean,1989,4849591,1.107919296
Latin America and the Caribbean,1990,4778833,1.07168135
Latin America and the Caribbean,1991,4985036,1.097671336
Latin America and the Caribbean,1992,5259286,1.137427896
Latin America and the Caribbean,1993,5483221,1.165142496
Latin America and the Caribbean,1994,5586489,1.166831684
Latin America and the Caribbean,1995,5756948,1.182458552
Latin America and the Caribbean,1996,5978835,1.208169539
Latin America and the Caribbean,1997,6190167,1.23117151
Latin America and the Caribbean,1998,6420509,1.257450304
Latin America and the Caribbean,1999,6852104,1.322105956
Latin America and the Caribbean,2000,7341300,1.39622864
Latin America and the Caribbean,2001,7655638,1.435924249
Latin America and the Caribbean,2002,7812971,1.445899562
Latin America and the Caribbean,2003,7823716,1.4290967
Latin America and the Caribbean,2004,7821223,1.410394696
Latin America and the Caribbean,2005,7991190,1.422791145
Latin America and the Caribbean,2006,8387288,1.47451031
Latin America and the Caribbean,2007,8904294,1.54584816
Latin America and the Caribbean,2008,9397036,1.611227132
Latin America and the Caribbean,2009,9865735,1.67098692
Latin America and the Caribbean,2010,10579492,1.770443957
Latin America and the Caribbean,2011,11107243,1.836935057
Latin America and the Caribbean,2012,11686382,1.910432654
Latin America and the Caribbean,2013,12344941,1.995306938
Latin America and the Caribbean,2014,13037428,2.084008099
Latin America and the Caribbean,2015,13650004,2.158510083
Northern America,1950,6657439,3.857090261
Northern America,1951,6690231,3.82146929
Northern America,1952,6627775,3.726107583
Northern America,1953,6731291,3.720164346
Northern America,1954,6609728,3.588318716
Northern America,1955,6401427,3.412392244
Northern America,1956,6454336,3.378139344
Northern America,1957,6283634,3.229712711
Northern America,1958,6347201,3.205070268
Northern America,1959,6376112,3.164906293
Northern America,1960,6479020,3.163482546
Northern America,1961,6331739,3.043482691
Northern America,1962,6308852,2.987828422
Northern America,1963,6206280,2.898498512
Northern America,1964,5997838,2.764733175
Northern America,1965,5921305,2.696261272
Northern America,1966,6001585,2.701933549
Northern America,1967,6104691,2.719479278
Northern America,1968,6087972,2.68510409
Northern America,1969,6000684,2.621106819
Northern America,1970,5306214,2.295624283
Northern America,1971,4412182,1.890626223
Northern America,1972,3939439,1.671980488
Northern America,1973,3855638,1.620830563
Northern America,1974,3840465,1.599086795
Northern America,1975,3688478,1.521197725
Northern America,1976,3616752,1.477389984
Northern America,1977,3511321,1.420567856
Northern America,1978,3334942,1.336244112
Northern America,1979,3036536,1.205020155
Northern America,1980,2484741,0.97665398
Northern America,1981,2366404,0.921338747
Northern America,1982,2309293,0.890626761
Northern America,1983,2394874,0.914923112
Northern America,1984,2621378,0.991959254
Northern America,1985,2835403,1.062679877
Northern America,1986,2973231,1.103541586
Northern America,1987,3137121,1.152959463
Northern America,1988,3296571,1.199587768
Northern America,1989,3243707,1.168644692
Northern America,1990,2812295,1.003153467
Northern America,1991,1924012,0.679519968
Northern America,1992,782810,0.273745715
Northern America,1993,-137511,-0.047605435
Northern America,1994,-686444,-0.235170335
Northern America,1995,-978072,-0.331422056
Northern America,1996,-993549,-0.33279074
Northern America,1997,-911771,-0.301745934
Northern America,1998,-684301,-0.223740027
Northern America,1999,-543802,-0.175736181
Northern America,2000,-543306,-0.173666178
Northern America,2001,-468756,-0.148338609
Northern America,2002,-438906,-0.137607445
Northern America,2003,-342571,-0.106460167
Northern America,2004,-452420,-0.139370428
Northern America,2005,-487043,-0.148694615
Northern America,2006,-565682,-0.171107097
Northern America,2007,-554529,-0.166154403
Northern America,2008,-531312,-0.157703172
Northern America,2009,-396667,-0.116668995
Northern America,2010,-302853,-0.088311575
Northern America,2011,-109782,-0.03175493
Northern America,2012,-69015,-0.019811285
Northern America,2013,11555,0.003292796
Northern America,2014,-83032,-0.023491962
Northern America,2015,-126499,-0.035533074
Oceania,1950,171648,1.357139785
Oceania,1951,165482,1.275755231
Oceania,1952,195600,1.473382731
Oceania,1953,218421,1.60929547
Oceania,1954,214124,1.543691968
Oceania,1955,205796,1.451648206
Oceania,1956,196222,1.353925786
Oceania,1957,201604,1.360435239
Oceania,1958,216870,1.43121591
Oceania,1959,219863,1.419418773
Oceania,1960,216033,1.365118118
Oceania,1961,177858,1.100751727
Oceania,1962,179021,1.08562292
Oceania,1963,175039,1.040042458
Oceania,1964,185237,1.077702855
Oceania,1965,213850,1.217046066
Oceania,1966,271179,1.508006735
Oceania,1967,361379,1.962204571
Oceania,1968,453336,2.403453445
Oceania,1969,493723,2.558176106
Oceania,1970,487814,2.473948468
Oceania,1971,449527,2.234928982
Oceania,1972,432285,2.109766935
Oceania,1973,424726,2.03743968
Oceania,1974,397153,1.874749549
Oceania,1975,392003,1.822688626
Oceania,1976,424256,1.9450649
Oceania,1977,442519,2.002191774
Oceania,1978,447030,1.99675966
Oceania,1979,463206,2.0418885
Oceania,1980,470644,2.045827467
Oceania,1981,380207,1.628185819
Oceania,1982,368052,1.551499426
Oceania,1983,409737,1.699214869
Oceania,1984,486411,1.983932954
Oceania,1985,559193,2.243106803
Oceania,1986,622212,2.454640329
Oceania,1987,669358,2.596910933
Oceania,1988,692384,2.64200837
Oceania,1989,687300,2.579982556
Oceania,1990,659779,2.437175445
Oceania,1991,657455,2.390632008
Oceania,1992,682484,2.443636516
Oceania,1993,726313,2.561666801
Oceania,1994,787933,2.73853152
Oceania,1995,800001,2.741108079
Oceania,1996,780016,2.635810029
Oceania,1997,766506,2.555266583
Oceania,1998,778019,2.55915677
Oceania,1999,795956,2.583378274
Oceania,2000,808584,2.589173761
Oceania,2001,797825,2.520228719
Oceania,2002,772163,2.405906537
Oceania,2003,773385,2.375869618
Oceania,2004,822695,2.489978434
Oceania,2005,909616,2.709800514
Oceania,2006,1019724,2.987020607
Oceania,2007,1165258,3.353501884
Oceania,2008,1337783,3.781209293
Oceania,2009,1517691,4.21413813
Oceania,2010,1689848,4.612588761
Oceania,2011,1845789,4.956751428
Oceania,2012,1988031,5.255942149
Oceania,2013,2122348,5.527034564
Oceania,2014,2256551,5.790424622
Oceania,2015,2396197,6.059727921
World,1950,-21353933,-0.841940852
World,1951,-11122150,-0.430454282
World,1952,-6186002,-0.23515695
World,1953,-4820094,-0.180040316
World,1954,-5921642,-0.217363603
World,1955,-9851316,-0.355355488
World,1956,-13909997,-0.493020438
World,1957,-19390024,-0.67515133
World,1958,-24047362,-0.822390351
World,1959,-22881991,-0.768412966
World,1960,-9777744,-0.322356047
World,1961,6297993,0.203798409
World,1962,9056895,0.287589475
World,1963,292578,0.009113809
World,1964,-7741485,-0.236477201
World,1965,-11107301,-0.332594482
World,1966,-12894204,-0.378337579
World,1967,-11681634,-0.335770431
World,1968,-10905911,-0.307046095
World,1969,-11802442,-0.325503297
World,1970,-12750248,-0.344547506
World,1971,-15189182,-0.402278156
World,1972,-15697075,-0.407552664
World,1973,-15251825,-0.388330356
World,1974,-13875804,-0.346596321
World,1975,-9723699,-0.238379288
World,1976,-4601242,-0.11075887
World,1977,-546777,-0.012928611
World,1978,3745897,0.087025298
World,1979,6236077,0.142357149
World,1980,12987859,0.291311354
World,1981,11027860,0.243019718
World,1982,11582815,0.250776712
World,1983,12948100,0.275401788
World,1984,18814685,0.393079462
World,1985,23921247,0.490814895
World,1986,29421819,0.592747644
World,1987,34551043,0.683416332
World,1988,39820403,0.773428425
World,1989,44756028,0.854002864
World,1990,46691421,0.875856616
World,1991,51270141,0.946160235
World,1992,52213276,0.948573234
World,1993,53676788,0.960556139
World,1994,55789605,0.983888174
World,1995,55651311,0.967600775
World,1996,55237273,0.947211817
World,1997,55724795,0.942799593
World,1998,56821245,0.948784524
World,1999,58220740,0.959650776
World,2000,60303110,0.981335092
World,2001,62522065,1.004626777
World,2002,64995505,1.031322782
World,2003,67466417,1.057233867
World,2004,70734556,1.094729857
World,2005,74727884,1.142251046
World,2006,78628920,1.187058052
World,2007,82894938,1.236053742
World,2008,87611851,1.290350554
World,2009,92907173,1.351624571
World,2010,99584404,1.431186879
World,2011,107009095,1.519366244
World,2012,114305622,1.603574421
World,2013,121298358,1.681563662
World,2014,128484848,1.760439471
World,2015,135116032,1.830094414
