Entity,Year,Accidents involving casualties,Deaths,Deaths (per million vehicles),Injuries,Road deaths per 100 million vehicle kilometres
Bulgaria,1989,6313,1280,,6779,
Bulgaria,1990,6478,1567,,6822,
Bulgaria,1991,4875,1114,,5168,
Bulgaria,1992,7206,1299,,8254,
Bulgaria,1993,7355,1307,,8548,
Bulgaria,1994,7288,1390,,8441,
Bulgaria,1995,7435,1264,,8717,
Bulgaria,1996,6351,1014,,7325,
Bulgaria,1997,6018,915,,7007,
Bulgaria,1998,6905,1003,,7980,
Bulgaria,1999,7586,1047,,9098,
Bulgaria,2000,6886,1012,,8030,
Bulgaria,2001,6709,1011,,7984,
Bulgaria,2002,6769,959,,8100,
Bulgaria,2003,6997,960,,8488,
Bulgaria,2004,7612,943,318.01,9308,
Bulgaria,2005,8224,957,309.46,10112,
Bulgaria,2006,8222,1043,492.42,10215,
Bulgaria,2007,8010,1006,404.78,9827,
Bulgaria,2008,8045,1061,375.34,9952,
Bulgaria,2009,7068,901,301.14,8674,
Bulgaria,2010,6609,776,249.04,8078,
Bulgaria,2011,6639,657,203.34,8301,
Bulgaria,2012,6717,601,178.34,8193,
Bulgaria,2013,7015,601,171.56,8775,
Bulgaria,2014,7018,660,181.24,8639,
Bulgaria,2015,7225,708,184.69,8971,
Bulgaria,2016,7404,708,,9374,
Canada,1970,124200,5080,,178501,
Canada,1971,132898,5573,,192599,
Canada,1972,150508,6221,,215705,
Canada,1973,155176,6706,,223777,
Canada,1974,160942,6290,,229641,
Canada,1975,154874,6061,,220941,
Canada,1976,142271,5307,,199687,
Canada,1977,150138,5253,,214630,
Canada,1978,166051,5429,,239637,
Canada,1979,178832,5863,,256246,
Canada,1980,184302,5461,,262977,
Canada,1981,183643,5383,,261176,
Canada,1982,160376,4169,,225717,
Canada,1983,160623,4216,,224297,
Canada,1984,168801,4120,,238178,
Canada,1985,183478,4362,,259264,
Canada,1986,187563,4063,,265160,
Canada,1987,196966,4238,,280650,
Canada,1988,193704,4154,,278820,
Canada,1989,196246,4238,,285178,
Canada,1990,181960,3963,,262680,
Canada,1991,173921,3690,,249217,
Canada,1992,172713,3501,,249823,
Canada,1993,171158,3615,,247593,
Canada,1994,167472,3230,190.34,241899,
Canada,1995,164832,3313,194.35,238458,
Canada,1996,156684,3129,181.58,227283,
Canada,1997,150209,3076,175.01,217401,
Canada,1998,148198,2919,162.27,213319,
Canada,1999,151315,2980,169.96,218457,
Canada,2000,155838,2904,162.4,222848,
Canada,2001,151438,2758,152.36,216542,
Canada,2002,156415,2921,156.9,222665,
Canada,2003,152980,2777,147.17,216123,
Canada,2004,147588,2735,143.34,206104,
Canada,2005,148110,2898,151.49,204701,
Canada,2006,145103,2871,145.46,199976,
Canada,2007,141070,2753,133.69,192745,
Canada,2008,129764,2431,115.28,176394,
Canada,2009,125456,2216,103.61,170770,
Canada,2010,125636,2238,102.44,172081,
Canada,2011,124199,2023,90.93,167741,
Canada,2012,124500,2079,92.95,166479,
Canada,2013,122101,1954,84.93,164493,
Canada,2014,115491,1852,78.68,155312,
Canada,2015,118404,1858,77.66,161902,
China,2004,517889,107077,,480864,
China,2005,450254,98738,,469911,
China,2006,378781,89455,,431139,
China,2007,327209,81649,,380442,
China,2008,265204,73484,,304919,
China,2009,238351,67759,,275125,
China,2010,219521,65225,,254074,
China,2011,210812,62387,,237421,
China,2012,204196,59997,,224327,
China,2013,198394,58539,,213724,
China,2014,196812,58523,,211882,
China,2015,187781,58022,,199880,
Croatia,1970,11088,1166,,14017,
Croatia,1971,10432,1289,,16078,
Croatia,1972,10936,1444,,15530,
Croatia,1973,10442,1303,,15002,
Croatia,1974,10262,1336,,14243,
Croatia,1975,10509,1169,,15164,
Croatia,1976,10775,1111,,14946,
Croatia,1977,12924,1412,,17947,
Croatia,1978,13318,1533,,18206,
Croatia,1979,14014,1605,,19304,
Croatia,1980,15053,1603,,20616,
Croatia,1981,13716,1459,,18640,
Croatia,1982,13441,1400,,18609,
Croatia,1983,12238,1322,,16237,
Croatia,1984,11896,1294,,16121,
Croatia,1985,12072,1125,,16327,
Croatia,1986,13501,1256,,17990,
Croatia,1987,13985,1311,,18850,
Croatia,1988,14048,1312,,18955,
Croatia,1989,13888,1321,,19964,
Croatia,1990,14471,1360,,19791,
Croatia,1991,11559,1020,,15845,
Croatia,1992,12758,975,,17517,
Croatia,1993,11529,855,,15596,
Croatia,1994,12846,804,,17679,
Croatia,1995,12668,800,,17665,
Croatia,1996,11740,721,,16182,
Croatia,1997,11652,714,,16234,
Croatia,1998,12846,646,,18118,
Croatia,1999,12958,662,,18103,
Croatia,2000,14430,655,,20501,
Croatia,2001,15656,647,,22093,
Croatia,2002,17071,627,,23923,
Croatia,2003,18592,701,,26153,
Croatia,2004,17140,608,393.58,24271,
Croatia,2005,15679,597,372.5,21773,
Croatia,2006,16706,614,368.26,23136,
Croatia,2007,18029,619,357.35,25092,
Croatia,2008,16283,664,370.27,22395,
Croatia,2009,15730,548,308.98,21923,
Croatia,2010,13272,426,243.44,18333,
Croatia,2011,13228,418,238.82,18065,
Croatia,2012,11773,393,236.98,16010,
Croatia,2013,11225,368,221.35,15274,
Croatia,2014,10607,308,181.91,14222,
Croatia,2015,11038,348,201.66,15024,
Croatia,2016,10779,307,,14596,
Czech Republic,1993,25147,1524,,32277,
Czech Republic,1994,27590,1637,375.37,35667,
Czech Republic,1995,28746,1588,367.17,36967,
Czech Republic,1996,29340,1568,351.02,37743,
Czech Republic,1997,28376,1597,344.4,36608,
Czech Republic,1998,27207,1360,280.3,35227,
Czech Republic,1999,26918,1455,293.88,34710,
Czech Republic,2000,25445,1486,320.53,32439,
Czech Republic,2001,26027,1334,290.95,33676,
Czech Republic,2002,26586,1431,304.47,34389,
Czech Republic,2003,27320,1447,298.35,35438,
Czech Republic,2004,26516,1382,281.29,34254,
Czech Republic,2005,25239,1286,254.45,32211,
Czech Republic,2006,22115,1063,201.52,28114,
Czech Republic,2007,23060,1222,221.98,29243,
Czech Republic,2008,22481,1076,186.22,28501,
Czech Republic,2009,21706,901,149.99,27244,
Czech Republic,2010,19676,802,133.2,24384,
Czech Republic,2011,20487,773,126.74,25549,
Czech Republic,2012,20504,742,119.58,25515,
Czech Republic,2013,20342,654,102.68,25288,
Czech Republic,2014,21054,688,108.18,26358,
Czech Republic,2015,21561,738,113.56,26966,
Czech Republic,2016,21386,611,88.99,27081,
Denmark,1970,19782,1208,,25448,
Denmark,1971,20507,1213,,26374,
Denmark,1972,19245,1116,,24769,
Denmark,1973,18242,1132,,23456,
Denmark,1974,14974,766,,18711,
Denmark,1975,15929,827,,20100,
Denmark,1976,15951,857,,19599,
Denmark,1977,15942,828,,19648,
Denmark,1978,15705,849,,19517,
Denmark,1979,13467,730,,16487,
Denmark,1980,12334,690,,15061,
Denmark,1981,11257,622,,13689,
Denmark,1982,11196,658,,13442,
Denmark,1983,11115,669,,13137,
Denmark,1984,11489,665,,13718,
Denmark,1985,11502,772,,13855,
Denmark,1986,11170,723,,13398,
Denmark,1987,10164,698,,12016,
Denmark,1988,9978,713,,11790,
Denmark,1989,9922,670,,11645,
Denmark,1990,9155,634,,10653,
Denmark,1991,8757,606,,10265,
Denmark,1992,8955,577,,10514,
Denmark,1993,8514,559,,9930,
Denmark,1994,8279,546,257.3,9757,
Denmark,1995,8375,582,274.01,9991,
Denmark,1996,8031,514,233.74,9810,
Denmark,1997,8047,489,215.51,9617,
Denmark,1998,7447,499,214.44,9175,
Denmark,1999,7605,514,217.24,9393,
Denmark,2000,7346,498,206.72,9092,
Denmark,2001,6861,431,177.07,8465,
Denmark,2002,7126,463,187,8791,
Denmark,2003,6749,432,172.66,8412,
Denmark,2004,6209,369,146.37,7546,
Denmark,2005,5412,331,128.79,6588,
Denmark,2006,5403,306,115.08,6515,
Denmark,2007,5549,406,146.73,6656,
Denmark,2008,5020,406,140.58,5923,
Denmark,2009,4174,303,104.81,4947,
Denmark,2010,3498,255,88.17,4153,
Denmark,2011,3525,220,75.91,4039,
Denmark,2012,3124,167,57.02,3611,
Denmark,2013,2984,191,64.59,3394,
Denmark,2014,2880,182,61.03,3193,
Denmark,2015,2853,178,58.77,3156,
Denmark,2016,2882,211,68.33,3228,
Estonia,1970,2226,252,,2003,
Estonia,1971,1940,251,,2193,
Estonia,1972,1924,271,,2081,
Estonia,1973,1676,249,,1870,
Estonia,1974,1736,250,,1870,
Estonia,1975,1803,266,,2104,
Estonia,1976,1658,264,,1871,
Estonia,1977,1697,276,,1846,
Estonia,1978,1521,271,,1683,
Estonia,1979,1595,304,,1682,
Estonia,1980,1655,303,,1776,
Estonia,1981,1639,266,,1746,
Estonia,1982,1564,265,,1651,
Estonia,1983,1559,291,,1681,
Estonia,1984,1584,253,,1743,
Estonia,1985,1355,191,,1526,
Estonia,1986,1551,223,,1726,
Estonia,1987,1590,233,,1758,
Estonia,1988,1680,268,,1950,
Estonia,1989,1956,343,,2252,
Estonia,1990,2099,436,,2379,
Estonia,1991,1965,491,,2175,
Estonia,1992,1167,287,,1289,
Estonia,1993,1317,321,,1502,
Estonia,1994,1585,364,,1832,
Estonia,1995,1644,332,,1897,
Estonia,1996,1318,213,,1547,
Estonia,1997,1490,279,,1835,
Estonia,1998,1613,284,,1990,
Estonia,1999,1472,232,,1690,
Estonia,2000,1504,204,,1843,
Estonia,2001,1888,199,,2443,
Estonia,2002,2164,223,452.16,2868,
Estonia,2003,1931,164,,2540,
Estonia,2004,2244,170,,2875,
Estonia,2005,2341,170,,3027,
Estonia,2006,2585,204,,3508,
Estonia,2007,2450,196,314.02,3271,
Estonia,2008,1869,132,200.58,2398,
Estonia,2009,1505,100,153.73,1931,
Estonia,2010,1347,79,119.91,1720,
Estonia,2011,1492,101,147.52,1879,
Estonia,2012,1383,87,121.12,1707,
Estonia,2013,1385,81,107.71,1733,
Estonia,2014,1437,72,,1750,
Estonia,2015,1392,61,,1761,
Estonia,2016,1458,63,,1835,
Finland,1970,11439,1055,,16028,
Finland,1971,11465,1143,,16026,
Finland,1972,11553,1156,,15985,
Finland,1973,11395,1086,,15859,
Finland,1974,10359,865,,14167,
Finland,1975,10337,910,,14157,
Finland,1976,8630,804,,11706,
Finland,1977,8288,709,,11309,
Finland,1978,7001,610,,8701,
Finland,1979,6938,650,,8762,
Finland,1980,6790,551,,8442,
Finland,1981,7173,555,,9072,
Finland,1982,7402,569,,9117,
Finland,1983,7673,604,,9373,
Finland,1984,7543,541,,9198,
Finland,1985,7759,541,,9563,
Finland,1986,8708,612,,10762,
Finland,1987,8636,581,,10752,
Finland,1988,9569,653,,11909,
Finland,1989,9682,734,,12042,
Finland,1990,10175,649,,12758,
Finland,1991,9374,632,,11547,
Finland,1992,7882,601,,9899,
Finland,1993,6147,484,,7806,
Finland,1994,6245,480,207.43,8080,
Finland,1995,7812,441,191.49,10191,
Finland,1996,7274,404,172.65,9299,
Finland,1997,6980,438,183.11,8957,
Finland,1998,6902,400,166.04,9097,
Finland,1999,6997,431,172.19,9052,
Finland,2000,6633,396,153.13,8508,
Finland,2001,6451,433,162.78,8411,
Finland,2002,6196,415,153.36,8156,
Finland,2003,6907,379,137.07,9088,
Finland,2004,6767,375,130.53,8791,
Finland,2005,7022,379,126.33,8983,
Finland,2006,6740,336,107.69,8580,
Finland,2007,6657,380,117.1,8446,
Finland,2008,6881,344,102.2,8513,
Finland,2009,6414,279,75.34,8057,
Finland,2010,6072,272,70.56,7673,
Finland,2011,6408,292,72.82,7931,
Finland,2012,5725,255,61.74,7088,
Finland,2013,5334,258,60.91,6681,
Finland,2014,5324,229,52.84,6705,
Finland,2015,5185,270,60.98,6408,
Finland,2016,4730,256,56.26,5888,
France,1970,235109,16445,,328303,
France,1971,249828,17671,,351849,
France,1972,274476,18113,,386571,
France,1973,270618,17043,,373182,
France,1974,260187,14738,,351842,
France,1975,258201,14355,,352545,
France,1976,261275,15028,,356212,
France,1977,257698,14283,,353654,
France,1978,247785,13229,,337422,
France,1979,253208,13603,,346795,
France,1980,248469,13672,,338503,
France,1981,239734,13547,,333170,
France,1982,230701,13527,,320268,
France,1983,216139,13021,,300359,
France,1984,202637,12737,,283855,
France,1985,191132,11388,,269859,
France,1986,184626,11947,,258023,
France,1987,170994,10742,,236751,
France,1988,175887,11497,,243093,
France,1989,170590,11476,,235051,
France,1990,162573,11215,,224934,
France,1991,148890,10483,,205102,
France,1992,143362,9900,,197287,
France,1993,137500,9568,,188504,
France,1994,132726,9019,283.76,180346,
France,1995,132949,8891,276.6,180924,
France,1996,125406,8541,262.94,169656,
France,1997,125202,8444,255.86,169123,
France,1998,124387,8918,260.6,168054,
France,1999,124524,8487,241.99,167114,
France,2000,121223,8079,225.2,161681,
France,2001,116745,8160,222.48,153505,
France,2002,105470,7655,204.84,137426,
France,2003,90220,6058,159.94,115602,
France,2004,85390,5593,145.9,108366,
France,2005,84525,5318,137.47,108076,
France,2006,80309,4709,120.68,102125,
France,2007,81272,4620,117.11,103201,
France,2008,74487,4275,107.5,93798,
France,2009,72315,4273,106.96,90934,
France,2010,67288,3992,99.35,84461,
France,2011,65024,3963,97.96,81251,
France,2012,60437,3653,86.41,75851,
France,2013,56812,3268,77.18,70607,
France,2014,58191,3384,79.67,73048,
France,2015,56603,3461,81.05,70802,
France,2016,57522,3477,80.81,72645,
Georgia,1970,3002,795,,3550,
Georgia,1971,2819,745,,3198,
Georgia,1972,2760,672,,3265,
Georgia,1973,2856,719,,3290,
Georgia,1974,2826,700,,3379,
Georgia,1975,2960,845,,3375,
Georgia,1976,2950,817,,3503,
Georgia,1977,2901,925,,3421,
Georgia,1978,3099,969,,3733,
Georgia,1979,3087,985,,3861,
Georgia,1980,3075,902,,3847,
Georgia,1981,3071,897,,3826,
Georgia,1982,3120,894,,3809,
Georgia,1983,3017,822,,3650,
Georgia,1984,2913,719,,3354,
Georgia,1985,2552,660,,3118,
Georgia,1986,2492,645,,3009,
Georgia,1987,2413,622,,2825,
Georgia,1988,2396,658,,2801,
Georgia,1989,2621,797,,3090,
Georgia,1990,2963,1067,,3494,
Georgia,1991,3574,1145,,4391,
Georgia,1992,2054,883,,3253,
Georgia,1993,1522,542,,1935,
Georgia,1994,1539,494,,1977,
Georgia,1995,1567,450,,1910,
Georgia,1996,1627,437,,2018,
Georgia,1997,1644,449,,2076,
Georgia,1998,1752,466,,2136,
Georgia,1999,1782,539,,2172,
Georgia,2000,1708,500,,2082,
Georgia,2001,1937,558,,2368,
Georgia,2002,2011,515,,2509,
Georgia,2003,2113,572,,2585,
Georgia,2004,2936,637,,4069,
Georgia,2005,3870,581,,5546,
Georgia,2006,4795,675,,7084,
Georgia,2007,4946,737,,7349,
Georgia,2008,6015,867,,9063,
Georgia,2009,5482,738,,8261,
Georgia,2010,5099,685,,7560,
Georgia,2011,4486,526,,6638,
Georgia,2012,5359,605,,7734,
Georgia,2013,5510,514,,8045,
Georgia,2014,5992,511,,8536,
Georgia,2015,6432,602,,9187,
Georgia,2016,6939,581,,9951,
Germany,1950,,6428,,157326,
Germany,1951,,7760,,211664,
Germany,1952,,7775,,242719,
Germany,1953,251618,11449,,315157,
Germany,1954,267925,12071,,334961,
Germany,1955,296071,12791,,371160,
Germany,1956,307012,13427,,383145,
Germany,1957,299866,13004,,376141,
Germany,1958,296697,12169,,372524,
Germany,1959,327595,13822,,419827,
Germany,1960,349315,14406,,454960,
Germany,1961,339547,14543,,447927,
Germany,1962,321257,14445,,428488,
Germany,1963,314642,14513,,424298,
Germany,1964,328668,16494,,446172,
Germany,1965,316361,15753,,433490,
Germany,1966,332622,16868,,456832,
Germany,1967,335552,17084,,462048,
Germany,1968,339704,16636,,468718,
Germany,1969,338921,16646,,472387,
Germany,1970,377610,19193,,531795,
Germany,1971,369177,18753,,518059,
Germany,1972,378775,18811,,528527,
Germany,1973,353725,16302,,488246,
Germany,1974,331000,14614,,447142,
Germany,1975,337732,14870,,457797,
Germany,1976,359694,14820,,480581,
Germany,1977,379046,14978,,508142,
Germany,1978,380352,14662,,508644,
Germany,1979,367500,13222,,486441,
Germany,1980,379235,13041,,500463,
Germany,1981,362617,11674,,475944,
Germany,1982,358693,11608,,467188,
Germany,1983,374107,11732,,489210,
Germany,1984,359485,10199,,466033,
Germany,1985,327745,8400,,422095,
Germany,1986,341921,8948,,443217,
Germany,1987,325519,7967,,424622,
Germany,1988,342299,8213,,448223,
Germany,1989,343604,7995,,449397,
Germany,1990,340043,7906,,448158,
Germany,1991,385147,11300,,505535,
Germany,1992,395462,10631,,516797,
Germany,1993,385384,9949,,505591,
Germany,1994,392754,9814,203.45,516415,
Germany,1995,388003,9454,192.33,512141,
Germany,1996,373082,8758,174.92,493158,
Germany,1997,380835,8549,168.66,501094,
Germany,1998,377257,7792,152.13,497319,
Germany,1999,395689,7772,148.45,521127,
Germany,2000,382949,7503,141.28,504074,
Germany,2001,375345,6977,129.01,494775,
Germany,2002,362054,6842,124.42,476413,
Germany,2003,354534,6613,119.71,462170,
Germany,2004,339310,5842,104.8,440126,
Germany,2005,336619,5361,95.21,433443,
Germany,2006,327984,5091,89.74,422337,
Germany,2007,335845,4949,86.16,431419,
Germany,2008,320614,4477,87.25,409047,
Germany,2009,310806,4152,80.16,397671,
Germany,2010,288297,3648,69.77,371170,
Germany,2011,306266,4009,75.72,392365,
Germany,2012,299637,3600,66.87,384378,
Germany,2013,291105,3339,61.29,374142,
Germany,2014,302435,3377,61.39,389535,
Germany,2015,305659,3459,62.04,393432,
