Entity,Year,Colonial Regimes (Minner and Wim (2006))
Armenia,1836,Mixed Rule
Armenia,1837,Mixed Rule
Armenia,1838,Mixed Rule
Armenia,1839,Mixed Rule
Armenia,1840,Mixed Rule
Armenia,1841,Mixed Rule
Armenia,1842,Mixed Rule
Armenia,1843,Mixed Rule
Armenia,1844,Mixed Rule
Armenia,1845,Mixed Rule
Armenia,1846,Mixed Rule
Armenia,1847,Mixed Rule
Armenia,1848,Mixed Rule
Armenia,1849,Mixed Rule
Armenia,1850,Mixed Rule
Armenia,1851,Mixed Rule
Armenia,1852,Mixed Rule
Armenia,1853,Mixed Rule
Armenia,1854,Mixed Rule
Armenia,1855,Mixed Rule
Armenia,1856,Mixed Rule
Armenia,1857,Mixed Rule
Armenia,1858,Mixed Rule
Armenia,1859,Mixed Rule
Armenia,1860,Mixed Rule
Armenia,1861,Mixed Rule
Armenia,1862,Mixed Rule
Armenia,1863,Mixed Rule
Armenia,1864,Mixed Rule
Armenia,1865,Mixed Rule
Armenia,1866,Mixed Rule
Armenia,1867,Mixed Rule
Armenia,1868,Mixed Rule
Armenia,1869,Mixed Rule
Armenia,1870,Mixed Rule
Armenia,1871,Mixed Rule
Armenia,1872,Mixed Rule
Armenia,1873,Mixed Rule
Armenia,1874,Mixed Rule
Armenia,1875,Mixed Rule
Armenia,1876,Mixed Rule
Armenia,1877,Mixed Rule
Armenia,1878,Mixed Rule
Armenia,1879,Mixed Rule
Armenia,1880,Mixed Rule
Armenia,1881,Mixed Rule
Armenia,1882,Mixed Rule
Armenia,1883,Mixed Rule
Armenia,1884,Mixed Rule
Armenia,1885,Mixed Rule
Armenia,1886,Mixed Rule
Armenia,1887,Mixed Rule
Armenia,1888,Mixed Rule
Armenia,1889,Mixed Rule
Armenia,1890,Mixed Rule
Armenia,1891,Mixed Rule
Armenia,1892,Mixed Rule
Armenia,1893,Mixed Rule
Armenia,1894,Mixed Rule
Armenia,1895,Mixed Rule
Armenia,1896,Mixed Rule
Armenia,1897,Mixed Rule
Armenia,1898,Mixed Rule
Armenia,1899,Mixed Rule
Armenia,1900,Mixed Rule
Armenia,1901,Mixed Rule
Armenia,1902,Mixed Rule
Armenia,1903,Mixed Rule
Armenia,1904,Mixed Rule
Armenia,1905,Mixed Rule
Armenia,1906,Mixed Rule
Armenia,1907,Mixed Rule
Armenia,1908,Mixed Rule
Armenia,1909,Mixed Rule
Armenia,1910,Mixed Rule
Armenia,1911,Mixed Rule
Armenia,1912,Mixed Rule
Armenia,1913,Mixed Rule
Armenia,1914,Mixed Rule
Armenia,1915,Mixed Rule
Armenia,1916,Mixed Rule
Armenia,1917,Mixed Rule
Armenia,1918,Russia
Armenia,1919,Russia
Armenia,1920,Russia
Armenia,1921,Russia
Armenia,1922,Russia
Armenia,1923,Russia
Armenia,1924,Russia
Armenia,1925,Russia
Armenia,1926,Russia
Armenia,1927,Russia
Armenia,1928,Russia
Armenia,1929,Russia
Armenia,1930,Russia
Armenia,1931,Russia
Armenia,1932,Russia
Armenia,1933,Russia
Armenia,1934,Russia
Armenia,1935,Russia
Armenia,1936,Russia
Armenia,1937,Russia
Armenia,1938,Russia
Armenia,1939,Russia
Armenia,1940,Russia
Armenia,1941,Russia
Armenia,1942,Russia
Armenia,1943,Russia
Armenia,1944,Russia
Armenia,1945,Russia
Armenia,1946,Russia
Armenia,1947,Russia
Armenia,1948,Russia
Armenia,1949,Russia
Armenia,1950,Russia
Armenia,1951,Russia
Armenia,1952,Russia
Armenia,1953,Russia
Armenia,1954,Russia
Armenia,1955,Russia
Armenia,1956,Russia
Armenia,1957,Russia
Armenia,1958,Russia
Armenia,1959,Russia
Armenia,1960,Russia
Armenia,1961,Russia
Armenia,1962,Russia
Armenia,1963,Russia
Armenia,1964,Russia
Armenia,1965,Russia
Armenia,1966,Russia
Armenia,1967,Russia
Armenia,1968,Russia
Armenia,1969,Russia
Armenia,1970,Russia
Armenia,1971,Russia
Armenia,1972,Russia
Armenia,1973,Russia
Armenia,1974,Russia
Armenia,1975,Russia
Armenia,1976,Russia
Armenia,1977,Russia
Armenia,1978,Russia
Armenia,1979,Russia
Armenia,1980,Russia
Armenia,1981,Russia
Armenia,1982,Russia
Armenia,1983,Russia
Armenia,1984,Russia
Armenia,1985,Russia
Armenia,1986,Russia
Armenia,1987,Russia
Armenia,1988,Russia
Armenia,1989,Russia
Armenia,1990,Russia
Australia,1816,United Kingdom
Australia,1817,United Kingdom
Australia,1818,United Kingdom
Australia,1819,United Kingdom
Australia,1820,United Kingdom
Australia,1821,United Kingdom
Australia,1822,United Kingdom
Australia,1823,United Kingdom
Australia,1824,United Kingdom
Australia,1825,United Kingdom
Australia,1826,United Kingdom
Australia,1827,United Kingdom
Australia,1828,United Kingdom
Australia,1829,United Kingdom
Australia,1830,United Kingdom
Australia,1831,United Kingdom
Australia,1832,United Kingdom
Australia,1833,United Kingdom
Australia,1834,United Kingdom
Australia,1835,United Kingdom
Australia,1836,United Kingdom
Australia,1837,United Kingdom
Australia,1838,United Kingdom
Australia,1839,United Kingdom
Australia,1840,United Kingdom
Australia,1841,United Kingdom
Australia,1842,United Kingdom
Australia,1843,United Kingdom
Australia,1844,United Kingdom
Australia,1845,United Kingdom
Australia,1846,United Kingdom
Australia,1847,United Kingdom
Australia,1848,United Kingdom
Australia,1849,United Kingdom
Australia,1850,United Kingdom
Australia,1851,United Kingdom
Australia,1852,United Kingdom
Australia,1853,United Kingdom
Australia,1854,United Kingdom
Australia,1855,United Kingdom
Australia,1856,United Kingdom
Australia,1857,United Kingdom
Australia,1858,United Kingdom
Australia,1859,United Kingdom
Australia,1860,United Kingdom
Australia,1861,United Kingdom
Australia,1862,United Kingdom
Australia,1863,United Kingdom
Australia,1864,United Kingdom
Australia,1865,United Kingdom
Australia,1866,United Kingdom
Australia,1867,United Kingdom
Australia,1868,United Kingdom
Australia,1869,United Kingdom
Australia,1870,United Kingdom
Australia,1871,United Kingdom
Australia,1872,United Kingdom
Australia,1873,United Kingdom
Australia,1874,United Kingdom
Australia,1875,United Kingdom
Australia,1876,United Kingdom
Australia,1877,United Kingdom
Australia,1878,United Kingdom
Australia,1879,United Kingdom
Australia,1880,United Kingdom
Australia,1881,United Kingdom
Australia,1882,United Kingdom
Australia,1883,United Kingdom
Australia,1884,United Kingdom
Australia,1885,United Kingdom
Australia,1886,United Kingdom
Australia,1887,United Kingdom
Australia,1888,United Kingdom
Australia,1889,United Kingdom
Australia,1890,United Kingdom
Australia,1891,United Kingdom
Australia,1892,United Kingdom
Australia,1893,United Kingdom
Australia,1894,United Kingdom
Australia,1895,United Kingdom
Australia,1896,United Kingdom
Australia,1897,United Kingdom
Australia,1898,United Kingdom
Australia,1899,United Kingdom
Australia,1900,United Kingdom
Austria,1816,Germany
Austria,1817,Germany
Austria,1818,Germany
Austria,1819,Germany
Austria,1820,Germany
Austria,1821,Germany
Austria,1822,Germany
Austria,1823,Germany
Austria,1824,Germany
Austria,1825,Germany
Austria,1826,Germany
Austria,1827,Germany
Austria,1828,Germany
Austria,1829,Germany
Austria,1830,Germany
Austria,1831,Germany
Austria,1832,Germany
Austria,1833,Germany
Austria,1834,Germany
Austria,1835,Germany
Austria,1836,Germany
Austria,1837,Germany
Austria,1838,Germany
Austria,1839,Germany
Austria,1840,Germany
Austria,1841,Germany
Austria,1842,Germany
Austria,1843,Germany
Austria,1844,Germany
Austria,1845,Germany
Austria,1846,Germany
Austria,1847,Germany
Austria,1848,Germany
Austria,1849,Germany
Austria,1850,Germany
Austria,1851,Germany
Austria,1852,Germany
Austria,1853,Germany
Austria,1854,Germany
Austria,1855,Germany
Austria,1856,Germany
Austria,1857,Germany
Austria,1858,Germany
Austria,1859,Germany
Austria,1860,Germany
Austria,1861,Germany
Austria,1862,Germany
Austria,1863,Germany
Austria,1864,Germany
Austria,1865,Germany
Austria,1866,Germany
Austria,1867,Germany
Austria,1868,Germany
Austria,1869,Germany
Austria,1870,Germany
Austria,1871,Germany
Austria,1872,Germany
Austria,1873,Germany
Austria,1874,Germany
Austria,1875,Germany
Austria,1876,Germany
Austria,1877,Germany
Austria,1878,Germany
Austria,1879,Germany
Austria,1880,Germany
Austria,1881,Germany
Austria,1882,Germany
Austria,1883,Germany
Austria,1884,Germany
Austria,1885,Germany
Austria,1886,Germany
Austria,1887,Germany
Austria,1888,Germany
Austria,1889,Germany
Austria,1890,Germany
Austria,1891,Germany
Austria,1892,Germany
Austria,1893,Germany
Austria,1894,Germany
Austria,1895,Germany
Austria,1896,Germany
Austria,1897,Germany
Austria,1898,Germany
Austria,1899,Germany
Austria,1900,Germany
Austria,1901,Germany
Austria,1902,Germany
Austria,1903,Germany
Austria,1904,Germany
Austria,1905,Germany
Austria,1906,Germany
Austria,1907,Germany
Austria,1908,Germany
Austria,1909,Germany
Austria,1910,Germany
Austria,1911,Germany
Austria,1912,Germany
Austria,1913,Germany
Austria,1914,Germany
Austria,1915,Germany
Austria,1916,Germany
Austria,1917,Germany
Austria,1918,Germany
Austria,1919,Germany
Austria,1920,Germany
Austria,1921,Germany
Austria,1922,Germany
Austria,1923,Germany
Austria,1924,Germany
Austria,1925,Germany
Austria,1926,Germany
Austria,1927,Germany
Austria,1928,Germany
Austria,1929,Germany
Austria,1930,Germany
Austria,1931,Germany
Austria,1932,Germany
Austria,1933,Germany
Austria,1934,Germany
Austria,1935,Germany
Austria,1936,Germany
Austria,1937,Germany
Austria,1938,Germany
Austria,1939,Germany
Austria,1940,Germany
Austria,1941,Germany
Austria,1942,Germany
Austria,1943,Germany
Austria,1944,Germany
Azerbaijan,1816,Russia
Azerbaijan,1817,Russia
Azerbaijan,1818,Russia
Azerbaijan,1819,Russia
Azerbaijan,1820,Russia
Azerbaijan,1821,Russia
Azerbaijan,1822,Russia
Azerbaijan,1823,Russia
Azerbaijan,1824,Russia
Azerbaijan,1825,Russia
Azerbaijan,1826,Russia
Azerbaijan,1827,Russia
Azerbaijan,1828,Russia
Azerbaijan,1829,Russia
Azerbaijan,1830,Russia
Azerbaijan,1831,Russia
Azerbaijan,1832,Russia
Azerbaijan,1833,Russia
Azerbaijan,1834,Russia
Azerbaijan,1835,Russia
Azerbaijan,1836,Russia
Azerbaijan,1837,Russia
Azerbaijan,1838,Russia
Azerbaijan,1839,Russia
Azerbaijan,1840,Russia
Azerbaijan,1841,Russia
Azerbaijan,1842,Russia
Azerbaijan,1843,Russia
Azerbaijan,1844,Russia
Azerbaijan,1845,Russia
Azerbaijan,1846,Russia
Azerbaijan,1847,Russia
Azerbaijan,1848,Russia
Azerbaijan,1849,Russia
Azerbaijan,1850,Russia
Azerbaijan,1851,Russia
Azerbaijan,1852,Russia
Azerbaijan,1853,Russia
Azerbaijan,1854,Russia
Azerbaijan,1855,Russia
Azerbaijan,1856,Russia
Azerbaijan,1857,Russia
Azerbaijan,1858,Russia
Azerbaijan,1859,Russia
Azerbaijan,1860,Russia
Azerbaijan,1861,Russia
Azerbaijan,1862,Russia
Azerbaijan,1863,Russia
Azerbaijan,1864,Russia
Azerbaijan,1865,Russia
Azerbaijan,1866,Russia
Azerbaijan,1867,Russia
Azerbaijan,1868,Russia
Azerbaijan,1869,Russia
Azerbaijan,1870,Russia
Azerbaijan,1871,Russia
Azerbaijan,1872,Russia
Azerbaijan,1873,Russia
Azerbaijan,1874,Russia
Azerbaijan,1875,Russia
Azerbaijan,1876,Russia
Azerbaijan,1877,Russia
Azerbaijan,1878,Russia
Azerbaijan,1879,Russia
Azerbaijan,1880,Russia
Azerbaijan,1881,Russia
Azerbaijan,1882,Russia
Azerbaijan,1883,Russia
Azerbaijan,1884,Russia
Azerbaijan,1885,Russia
Azerbaijan,1886,Russia
Azerbaijan,1887,Russia
Azerbaijan,1888,Russia
Azerbaijan,1889,Russia
Azerbaijan,1890,Russia
Azerbaijan,1891,Russia
Azerbaijan,1892,Russia
Azerbaijan,1893,Russia
Azerbaijan,1894,Russia
Azerbaijan,1895,Russia
Azerbaijan,1896,Russia
Azerbaijan,1897,Russia
Azerbaijan,1898,Russia
Azerbaijan,1899,Russia
Azerbaijan,1900,Russia
Azerbaijan,1901,Russia
Azerbaijan,1902,Russia
Azerbaijan,1903,Russia
Azerbaijan,1904,Russia
Azerbaijan,1905,Russia
Azerbaijan,1906,Russia
Azerbaijan,1907,Russia
Azerbaijan,1908,Russia
Azerbaijan,1909,Russia
Azerbaijan,1910,Russia
Azerbaijan,1911,Russia
Azerbaijan,1912,Russia
Azerbaijan,1913,Russia
Azerbaijan,1914,Russia
Azerbaijan,1915,Russia
Azerbaijan,1916,Russia
Azerbaijan,1917,Russia
Azerbaijan,1918,Russia
Azerbaijan,1919,Russia
Azerbaijan,1920,Russia
Azerbaijan,1921,Russia
Azerbaijan,1922,Russia
Azerbaijan,1923,Russia
Azerbaijan,1924,Russia
Azerbaijan,1925,Russia
Azerbaijan,1926,Russia
Azerbaijan,1927,Russia
Azerbaijan,1928,Russia
Azerbaijan,1929,Russia
Azerbaijan,1930,Russia
Azerbaijan,1931,Russia
Azerbaijan,1932,Russia
Azerbaijan,1933,Russia
Azerbaijan,1934,Russia
Azerbaijan,1935,Russia
Azerbaijan,1936,Russia
Azerbaijan,1937,Russia
Azerbaijan,1938,Russia
Azerbaijan,1939,Russia
Azerbaijan,1940,Russia
Azerbaijan,1941,Russia
Azerbaijan,1942,Russia
Azerbaijan,1943,Russia
Azerbaijan,1944,Russia
Azerbaijan,1945,Russia
Azerbaijan,1946,Russia
Azerbaijan,1947,Russia
Azerbaijan,1948,Russia
Azerbaijan,1949,Russia
Azerbaijan,1950,Russia
Azerbaijan,1951,Russia
Azerbaijan,1952,Russia
Azerbaijan,1953,Russia
Azerbaijan,1954,Russia
Azerbaijan,1955,Russia
Azerbaijan,1956,Russia
Azerbaijan,1957,Russia
Azerbaijan,1958,Russia
Azerbaijan,1959,Russia
Azerbaijan,1960,Russia
Azerbaijan,1961,Russia
Azerbaijan,1962,Russia
Azerbaijan,1963,Russia
Azerbaijan,1964,Russia
Azerbaijan,1965,Russia
Azerbaijan,1966,Russia
Azerbaijan,1967,Russia
Azerbaijan,1968,Russia
Azerbaijan,1969,Russia
Azerbaijan,1970,Russia
Azerbaijan,1971,Russia
Azerbaijan,1972,Russia
Azerbaijan,1973,Russia
Azerbaijan,1974,Russia
Azerbaijan,1975,Russia
Azerbaijan,1976,Russia
Azerbaijan,1977,Russia
Azerbaijan,1978,Russia
Azerbaijan,1979,Russia
Azerbaijan,1980,Russia
Azerbaijan,1981,Russia
Azerbaijan,1982,Russia
Azerbaijan,1983,Russia
Azerbaijan,1984,Russia
Azerbaijan,1985,Russia
Azerbaijan,1986,Russia
Azerbaijan,1987,Russia
Azerbaijan,1988,Russia
Azerbaijan,1989,Russia
Azerbaijan,1990,Russia
Bangladesh,1816,United Kingdom
Bangladesh,1817,United Kingdom
Bangladesh,1818,United Kingdom
Bangladesh,1819,United Kingdom
Bangladesh,1820,United Kingdom
Bangladesh,1821,United Kingdom
Bangladesh,1822,United Kingdom
Bangladesh,1823,United Kingdom
Bangladesh,1824,United Kingdom
Bangladesh,1825,United Kingdom
Bangladesh,1826,United Kingdom
Bangladesh,1827,United Kingdom
Bangladesh,1828,United Kingdom
Bangladesh,1829,United Kingdom
Bangladesh,1830,United Kingdom
Bangladesh,1831,United Kingdom
Bangladesh,1832,United Kingdom
Bangladesh,1833,United Kingdom
Bangladesh,1834,United Kingdom
Bangladesh,1835,United Kingdom
Bangladesh,1836,United Kingdom
Bangladesh,1837,United Kingdom
Bangladesh,1838,United Kingdom
Bangladesh,1839,United Kingdom
Bangladesh,1840,United Kingdom
Bangladesh,1841,United Kingdom
Bangladesh,1842,United Kingdom
Bangladesh,1843,United Kingdom
Bangladesh,1844,United Kingdom
Bangladesh,1845,United Kingdom
Bangladesh,1846,United Kingdom
Bangladesh,1847,United Kingdom
Bangladesh,1848,United Kingdom
Bangladesh,1849,United Kingdom
Bangladesh,1850,United Kingdom
Bangladesh,1851,United Kingdom
Bangladesh,1852,United Kingdom
Bangladesh,1853,United Kingdom
Bangladesh,1854,United Kingdom
Bangladesh,1855,United Kingdom
Bangladesh,1856,United Kingdom
Bangladesh,1857,United Kingdom
Bangladesh,1858,United Kingdom
Bangladesh,1859,United Kingdom
Bangladesh,1860,United Kingdom
Bangladesh,1861,United Kingdom
Bangladesh,1862,United Kingdom
Bangladesh,1863,United Kingdom
Bangladesh,1864,United Kingdom
Bangladesh,1865,United Kingdom
Bangladesh,1866,United Kingdom
Bangladesh,1867,United Kingdom
Bangladesh,1868,United Kingdom
Bangladesh,1869,United Kingdom
Bangladesh,1870,United Kingdom
Bangladesh,1871,United Kingdom
Bangladesh,1872,United Kingdom
Bangladesh,1873,United Kingdom
Bangladesh,1874,United Kingdom
Bangladesh,1875,United Kingdom
Bangladesh,1876,United Kingdom
Bangladesh,1877,United Kingdom
Bangladesh,1878,United Kingdom
Bangladesh,1879,United Kingdom
Bangladesh,1880,United Kingdom
Bangladesh,1881,United Kingdom
Bangladesh,1882,United Kingdom
Bangladesh,1883,United Kingdom
Bangladesh,1884,United Kingdom
Bangladesh,1885,United Kingdom
Bangladesh,1886,United Kingdom
Bangladesh,1887,United Kingdom
Bangladesh,1888,United Kingdom
Bangladesh,1889,United Kingdom
Bangladesh,1890,United Kingdom
Bangladesh,1891,United Kingdom
Bangladesh,1892,United Kingdom
Bangladesh,1893,United Kingdom
Bangladesh,1894,United Kingdom
Bangladesh,1895,United Kingdom
Bangladesh,1896,United Kingdom
Bangladesh,1897,United Kingdom
Bangladesh,1898,United Kingdom
Bangladesh,1899,United Kingdom
Bangladesh,1900,United Kingdom
Bangladesh,1901,United Kingdom
Bangladesh,1902,United Kingdom
Bangladesh,1903,United Kingdom
Bangladesh,1904,United Kingdom
Bangladesh,1905,United Kingdom
Bangladesh,1906,United Kingdom
Bangladesh,1907,United Kingdom
Bangladesh,1908,United Kingdom
Bangladesh,1909,United Kingdom
Bangladesh,1910,United Kingdom
Bangladesh,1911,United Kingdom
Bangladesh,1912,United Kingdom
Bangladesh,1913,United Kingdom
