Entity,Year,Mean male height (cm),Mean female height (cm),Male-to-female height ratio,Change in male height (cm),Change in female height (cm),Change in male height (%),Change in female height (%)
Afghanistan,1986,165.3909148,155.5984577,1.062934153,,,,
Afghanistan,1987,165.3812397,155.5483848,1.063214124,,,,
Afghanistan,1988,165.3687054,155.4969068,1.063485498,,,,
Afghanistan,1989,165.3550563,155.4447859,1.06375428,,,,
Afghanistan,1990,165.340645,155.3916298,1.064025425,,,,
Afghanistan,1991,165.3261648,155.3387925,1.064294129,,,,
Afghanistan,1992,165.3120761,155.2860545,1.064564855,,,,
Afghanistan,1993,165.2981032,155.2336604,1.064834152,,,,
Afghanistan,1994,165.2841484,155.1807514,1.065107282,,,,
Afghanistan,1995,165.2701323,155.1279494,1.065379469,,,,
Afghanistan,1996,165.2558607,155.0753231,1.065648985,4.0917654,5.8875762,2.5388815,3.94642075
Albania,1896,163.3251405,150.1961307,1.087412437,,,,
Albania,1897,163.4664286,150.4136587,1.086779153,,,,
Albania,1898,163.6081043,150.6314349,1.086148482,,,,
Albania,1899,163.7499,150.8489403,1.085522375,,,,
Albania,1900,163.8918524,151.0665928,1.084898053,,,,
Albania,1901,164.0341812,151.2836351,1.084282388,,,,
Albania,1902,164.1765785,151.5002703,1.083671852,,,,
Albania,1903,164.3191517,151.715943,1.08307109,,,,
Albania,1904,164.4619655,151.9305539,1.082481182,,,,
Albania,1905,164.604732,152.1440493,1.081900559,,,,
Albania,1906,164.7471545,152.3563349,1.081327892,,,,
Albania,1907,164.889747,152.5676352,1.080764913,,,,
Albania,1908,165.0328649,152.7779751,1.080213721,,,,
Albania,1909,165.175903,152.9871906,1.079671457,,,,
Albania,1910,165.3195701,153.1958303,1.079138837,,,,
Albania,1911,165.4652524,153.4045768,1.078620051,,,,
Albania,1912,165.6130697,153.6142209,1.078110273,,,,
Albania,1913,165.762062,153.8249284,1.077602075,,,,
Albania,1914,165.9119581,154.0365273,1.077094901,,,,
Albania,1915,166.0628185,154.2492373,1.076587615,,,,
Albania,1916,166.2141824,154.4632564,1.076075866,,,,
Albania,1917,166.3654336,154.6787415,1.075554611,,,,
Albania,1918,166.5162231,154.894423,1.075030462,,,,
Albania,1919,166.6650012,155.1085921,1.07450528,,,,
Albania,1920,166.8105446,155.3211624,1.073971776,,,,
Albania,1921,166.9518565,155.5306115,1.073434065,,,,
Albania,1922,167.0882407,155.736112,1.072893361,,,,
Albania,1923,167.2198433,155.9365691,1.072358102,,,,
Albania,1924,167.3479803,156.1321947,1.071835188,,,,
Albania,1925,167.4752804,156.3240679,1.071333945,,,,
Albania,1926,167.6036546,156.5120054,1.070867721,,,,
Albania,1927,167.7356023,156.696115,1.07045157,,,,
Albania,1928,167.8714713,156.877027,1.070083202,,,,
Albania,1929,168.0114638,157.0549365,1.069762387,,,,
Albania,1930,168.1551437,157.2302674,1.06948329,,,,
Albania,1931,168.3012698,157.4014605,1.069248464,,,,
Albania,1932,168.4486779,157.5691332,1.069046167,,,,
Albania,1933,168.5975891,157.7336293,1.068875356,,,,
Albania,1934,168.7477664,157.8958937,1.068728024,,,,
Albania,1935,168.8986963,158.0556877,1.068602458,,,,
Albania,1936,169.0499284,158.212557,1.068498807,,,,
Albania,1937,169.200771,158.3665078,1.068412591,,,,
Albania,1938,169.3504527,158.5170021,1.068342515,,,,
Albania,1939,169.4994214,158.6632163,1.068296895,,,,
Albania,1940,169.6483128,158.8048655,1.068281581,,,,
Albania,1941,169.7977261,158.94094,1.068307046,,,,
Albania,1942,169.9493324,159.0716499,1.068382282,,,,
Albania,1943,170.1045284,159.1974707,1.068512757,,,,
Albania,1944,170.2628933,159.319378,1.068689167,,,,
Albania,1945,170.4244876,159.4380185,1.068907461,,,,
Albania,1946,170.5896339,159.5539641,1.069165751,,,,
Albania,1947,170.7572009,159.6666618,1.069460581,,,,
Albania,1948,170.9270706,159.7759085,1.069792513,,,,
Albania,1949,171.0979507,159.882223,1.070149936,,,,
Albania,1950,171.2685404,159.9865718,1.070518222,,,,
Albania,1951,171.4377637,160.0898523,1.070884639,,,,
Albania,1952,171.6041685,160.1914928,1.071243956,,,,
Albania,1953,171.7668696,160.2919076,1.071587906,,,,
Albania,1954,171.9261965,160.3909647,1.071919461,,,,
Albania,1955,172.0827375,160.4893776,1.072237553,,,,
Albania,1956,172.2357464,160.5869674,1.072538757,,,,
Albania,1957,172.3862695,160.6843231,1.072825688,,,,
Albania,1958,172.5346774,160.7825063,1.073093593,,,,
Albania,1959,172.6800257,160.8817351,1.073335177,,,,
Albania,1960,172.8223915,160.9815323,1.073554146,,,,
Albania,1961,172.9608808,161.0816993,1.073746314,,,,
Albania,1962,173.0940685,161.1811605,1.073910052,,,,
Albania,1963,173.2191786,161.277285,1.074045726,,,,
Albania,1964,173.3346446,161.3681694,1.074156355,,,,
Albania,1965,173.4406076,161.4526954,1.074250307,,,,
Albania,1966,173.5378249,161.5309021,1.074332048,,,,
Albania,1967,173.627109,161.6032172,1.07440379,,,,
Albania,1968,173.7082846,161.6698032,1.074463389,,,,
Albania,1969,173.7825754,161.7308378,1.074517252,,,,
Albania,1970,173.850303,161.7858332,1.074570619,,,,
Albania,1971,173.9113278,161.8351088,1.074620514,,,,
Albania,1972,173.9650673,161.8781679,1.074666643,,,,
Albania,1973,174.0117739,161.9157541,1.074705639,,,,
Albania,1974,174.0505541,161.9476807,1.074733231,,,,
Albania,1975,174.0815889,161.9739872,1.074750285,,,,
Albania,1976,174.1041677,161.994412,1.074754157,,,,
Albania,1977,174.1168945,162.008346,1.074740276,,,,
Albania,1978,174.1199161,162.0159293,1.074708622,,,,
Albania,1979,174.1136579,162.0181352,1.074655363,,,,
Albania,1980,174.1004181,162.0169173,1.074581723,,,,
Albania,1981,174.082172,162.013127,1.074494241,,,,
Albania,1982,174.0590177,162.0079855,1.074385421,,,,
Albania,1983,174.0313185,162.0023184,1.074252024,,,,
Albania,1984,173.9999356,161.9952931,1.074104885,,,,
Albania,1985,173.9630378,161.9864249,1.073935905,,,,
Albania,1986,173.9211807,161.9751304,1.073752373,,,,
Albania,1987,173.8748376,161.9607155,1.073561802,,,,
Albania,1988,173.8245812,161.9428469,1.073369924,,,,
Albania,1989,173.7719013,161.9226509,1.073178461,,,,
Albania,1990,173.7178605,161.9006473,1.072990525,,,,
Albania,1991,173.6634553,161.8783534,1.07280221,,,,
Albania,1992,173.6087279,161.8559756,1.072612409,,,,
Albania,1993,173.5541174,161.8339882,1.072420691,,,,
Albania,1994,173.4989242,161.8123464,1.072223029,,,,
Albania,1995,173.4438953,161.7910763,1.072023867,,,,
Albania,1996,173.3888563,161.7698561,1.07182426,10.0637158,11.5737254,6.161767729,7.705741384
Algeria,1896,160.3880782,151.8636633,1.056132025,,,,
Algeria,1897,160.6022438,152.0006015,1.056589528,,,,
Algeria,1898,160.8164971,152.1378528,1.057044609,,,,
Algeria,1899,161.0310715,152.2752403,1.057500032,,,,
Algeria,1900,161.2460556,152.4126022,1.0579575,,,,
Algeria,1901,161.460899,152.5493506,1.058417478,,,,
Algeria,1902,161.6759963,152.6859638,1.058879233,,,,
Algeria,1903,161.8915061,152.821752,1.059348581,,,,
Algeria,1904,162.1068665,152.956511,1.059823249,,,,
Algeria,1905,162.3223953,153.0905752,1.060302994,,,,
Algeria,1906,162.5378347,153.2239664,1.060785976,,,,
Algeria,1907,162.7532288,153.3565974,1.061273082,,,,
Algeria,1908,162.9695259,153.4883044,1.061771622,,,,
Algeria,1909,163.1861911,153.6194729,1.062275427,,,,
Algeria,1910,163.4043539,153.7501785,1.062791312,,,,
Algeria,1911,163.624464,153.88107,1.063317691,,,,
Algeria,1912,163.8476961,154.0127594,1.063857934,,,,
Algeria,1913,164.0738262,154.1456713,1.064407614,,,,
Algeria,1914,164.3025196,154.2794874,1.06496672,,,,
Algeria,1915,164.5339267,154.414636,1.065533235,,,,
Algeria,1916,164.7679003,154.550972,1.066107176,,,,
Algeria,1917,165.0044161,154.6885124,1.066688234,,,,
Algeria,1918,165.2443308,154.827485,1.06728034,,,,
Algeria,1919,165.4854059,154.9667916,1.06787657,,,,
Algeria,1920,165.726265,155.1059347,1.068471463,,,,
Algeria,1921,165.9652788,155.2441328,1.069059911,,,,
Algeria,1922,166.2005195,155.3810622,1.069631763,,,,
Algeria,1923,166.4308093,155.5153587,1.070188891,,,,
Algeria,1924,166.6554063,155.6475479,1.07072298,,,,
Algeria,1925,166.8749673,155.7783586,1.071233314,,,,
Algeria,1926,167.0891604,155.9075849,1.071719253,,,,
Algeria,1927,167.2997761,156.0354153,1.072191052,,,,
Algeria,1928,167.506997,156.1622126,1.072647436,,,,
Algeria,1929,167.7106326,156.288869,1.073081107,,,,
Algeria,1930,167.9105663,156.4154997,1.073490585,,,,
Algeria,1931,168.1062409,156.5409563,1.073880248,,,,
Algeria,1932,168.296774,156.6658658,1.074240219,,,,
Algeria,1933,168.4829454,156.7908594,1.074571222,,,,
Algeria,1934,168.6655066,156.916,1.074877684,,,,
Algeria,1935,168.8447255,157.0406114,1.075165997,,,,
Algeria,1936,169.0198421,157.1642043,1.07543472,,,,
Algeria,1937,169.1911212,157.2860602,1.075690503,,,,
Algeria,1938,169.3581788,157.4047769,1.075940528,,,,
Algeria,1939,169.5215233,157.5208664,1.076184554,,,,
Algeria,1940,169.6814897,157.6339813,1.076427102,,,,
Algeria,1941,169.8384081,157.7436915,1.076673219,,,,
Algeria,1942,169.9928818,157.8497394,1.076928492,,,,
Algeria,1943,170.1460581,157.9534649,1.077191046,,,,
Algeria,1944,170.2964968,158.0555708,1.077446976,,,,
Algeria,1945,170.4433256,158.1564557,1.077688071,,,,
Algeria,1946,170.5858,158.2560162,1.077910364,,,,
Algeria,1947,170.7217874,158.3538507,1.078103164,,,,
Algeria,1948,170.8510885,158.4489562,1.078272098,,,,
Algeria,1949,170.9723808,158.5414834,1.078407853,,,,
Algeria,1950,171.0857574,158.6317104,1.078509189,,,,
Algeria,1951,171.1910278,158.7199389,1.078572919,,,,
Algeria,1952,171.2888226,158.8050557,1.078610639,,,,
Algeria,1953,171.3808737,158.887324,1.078631507,,,,
Algeria,1954,171.4684786,158.9663591,1.078646322,,,,
Algeria,1955,171.5514604,159.0424017,1.07865235,,,,
Algeria,1956,171.6303833,159.1145451,1.078659297,,,,
Algeria,1957,171.7061482,159.1833104,1.078669289,,,,
Algeria,1958,171.7791009,159.2491248,1.078681601,,,,
Algeria,1959,171.8490216,159.3112349,1.078699953,,,,
Algeria,1960,171.9157367,159.369951,1.078721149,,,,
Algeria,1961,171.978911,159.4248012,1.078746279,,,,
Algeria,1962,172.0366407,159.4748983,1.078769402,,,,
Algeria,1963,172.0875635,159.5187888,1.078791814,,,,
Algeria,1964,172.1300054,159.5558111,1.078807498,,,,
Algeria,1965,172.1654926,159.5858059,1.078827103,,,,
Algeria,1966,172.1963965,159.6102607,1.07885543,,,,
Algeria,1967,172.2241947,159.6304918,1.07889284,,,,
Algeria,1968,172.2490298,159.6463924,1.078940947,,,,
Algeria,1969,172.2726637,159.6575693,1.079013444,,,,
Algeria,1970,172.2949806,159.6632804,1.079114623,,,,
Algeria,1971,172.3144782,159.6642035,1.0792305,,,,
Algeria,1972,172.3301168,159.6606786,1.079352276,,,,
Algeria,1973,172.3411875,159.6535319,1.079469934,,,,
Algeria,1974,172.3462595,159.6447384,1.079561163,,,,
Algeria,1975,172.3426266,159.6331414,1.079616833,,,,
Algeria,1976,172.327746,159.6194198,1.079616416,,,,
Algeria,1977,172.2983643,159.6025214,1.079546631,,,,
Algeria,1978,172.2540071,159.582681,1.07940289,,,,
Algeria,1979,172.195546,159.5609345,1.079183614,,,,
Algeria,1980,172.1243978,159.5387109,1.078887982,,,,
Algeria,1981,172.0425902,159.5168304,1.078523124,,,,
Algeria,1982,171.9510867,159.496405,1.078087539,,,,
Algeria,1983,171.8496587,159.477182,1.077581486,,,,
Algeria,1984,171.7388166,159.4586045,1.077011913,,,,
Algeria,1985,171.6189501,159.4396396,1.076388221,,,,
Algeria,1986,171.4907542,159.4193894,1.075720807,,,,
Algeria,1987,171.3557109,159.3971508,1.075023675,,,,
Algeria,1988,171.2162769,159.3714795,1.074321939,,,,
Algeria,1989,171.0746603,159.3426592,1.073627497,,,,
Algeria,1990,170.9312927,159.3104028,1.072944953,,,,
Algeria,1991,170.7879805,159.2764103,1.072274169,,,,
Algeria,1992,170.6453718,159.2409742,1.071617231,,,,
Algeria,1993,170.502638,159.204707,1.070964805,,,,
Algeria,1994,170.3592965,159.1667228,1.07031981,,,,
Algeria,1995,170.2157974,159.1281135,1.069677719,,,,
Algeria,1996,170.0718002,159.0896222,1.069031392,9.683722,7.2259589,6.03768192,4.758188195
American Samoa,1896,169.7157095,158.1973839,1.072809836,,,,
American Samoa,1897,169.7487526,158.2914518,1.072381046,,,,
American Samoa,1898,169.7819706,158.3859226,1.071951142,,,,
American Samoa,1899,169.8156709,158.4801496,1.071526442,,,,
American Samoa,1900,169.8497501,158.5739947,1.071107217,,,,
American Samoa,1901,169.8849792,158.6669457,1.070701767,,,,
American Samoa,1902,169.9209943,158.7588119,1.070309057,,,,
American Samoa,1903,169.9582362,158.848432,1.069939653,,,,
American Samoa,1904,169.9967678,158.9359617,1.069592847,,,,
American Samoa,1905,170.0361651,159.021196,1.069267301,,,,
American Samoa,1906,170.0767294,159.1036552,1.068968084,,,,
American Samoa,1907,170.1186944,159.1833659,1.068696427,,,,
American Samoa,1908,170.162128,159.2606759,1.068450369,,,,
American Samoa,1909,170.2068605,159.3357163,1.068227918,,,,
American Samoa,1910,170.2535635,159.408794,1.068031187,,,,
American Samoa,1911,170.3030541,159.4803839,1.067862078,,,,
American Samoa,1912,170.3549655,159.5512102,1.067713402,,,,
American Samoa,1913,170.4090172,159.6209197,1.067585737,,,,
American Samoa,1914,170.4645111,159.6901366,1.067470507,,,,
American Samoa,1915,170.5217252,159.7589564,1.067368798,,,,
American Samoa,1916,170.5803803,159.8279246,1.067275201,,,,
American Samoa,1917,170.6400304,159.8967764,1.067188684,,,,
American Samoa,1918,170.700504,159.9656687,1.06710712,,,,
American Samoa,1919,170.7593294,160.033971,1.067019261,,,,
American Samoa,1920,170.816121,160.1020585,1.066920205,,,,
American Samoa,1921,170.8700874,160.1695175,1.06680778,,,,
American Samoa,1922,170.9199806,160.2357242,1.066678367,,,,
American Samoa,1923,170.9653651,160.300538,1.066530202,,,,
American Samoa,1924,171.0066985,160.3643725,1.066363406,,,,
American Samoa,1925,171.0450389,160.4285054,1.066176104,,,,
American Samoa,1926,171.080861,160.4935068,1.065967492,,,,
American Samoa,1927,171.1152962,160.5591203,1.065746349,,,,
American Samoa,1928,171.1491268,160.6249687,1.065520063,,,,
American Samoa,1929,171.1820514,160.6908503,1.065288105,,,,
American Samoa,1930,171.2137252,160.7564915,1.065050149,,,,
American Samoa,1931,171.2437117,160.8207138,1.06481129,,,,
American Samoa,1932,171.2718408,160.8831809,1.064572691,,,,
American Samoa,1933,171.299759,160.9448405,1.064338307,,,,
American Samoa,1934,171.3288075,161.0068188,1.064109016,,,,
American Samoa,1935,171.3601524,161.0695891,1.063888927,,,,
American Samoa,1936,171.3940877,161.1337474,1.063675924,,,,
American Samoa,1937,171.4315962,161.1990803,1.063477508,,,,
American Samoa,1938,171.4736691,161.2658842,1.063297857,,,,
American Samoa,1939,171.5201986,161.3343357,1.063135122,,,,
American Samoa,1940,171.5728841,161.4043822,1.06300016,,,,
American Samoa,1941,171.6335355,161.476309,1.062902271,,,,
American Samoa,1942,171.7041133,161.5510402,1.062847463,,,,
American Samoa,1943,171.7865096,161.6299575,1.062838302,,,,
American Samoa,1944,171.8799198,161.7130778,1.062869634,,,,
American Samoa,1945,171.9845179,161.8004944,1.062941856,,,,
American Samoa,1946,172.0999465,161.8926327,1.063049897,,,,
American Samoa,1947,172.224668,161.9889603,1.063187687,,,,
American Samoa,1948,172.3579036,162.0880606,1.063359651,,,,
American Samoa,1949,172.4976847,162.1900198,1.063553016,,,,
American Samoa,1950,172.6431328,162.2947264,1.063763048,,,,
American Samoa,1951,172.7925555,162.4023638,1.063978082,,,,
American Samoa,1952,172.9442645,162.5116437,1.064196144,,,,
American Samoa,1953,173.0979443,162.6225601,1.06441532,,,,
American Samoa,1954,173.2523405,162.7345828,1.064631362,,,,
American Samoa,1955,173.4067137,162.8475188,1.064840993,,,,
American Samoa,1956,173.5604903,162.9611072,1.06504241,,,,
American Samoa,1957,173.7142578,163.0755034,1.065238213,,,,
American Samoa,1958,173.8673911,163.1906395,1.065425025,,,,
American Samoa,1959,174.0186623,163.3059719,1.065598889,,,,
American Samoa,1960,174.1672957,163.4211817,1.065757167,,,,
American Samoa,1961,174.3124395,163.5357047,1.06589836,,,,
American Samoa,1962,174.4527991,163.6480368,1.066024393,,,,
American Samoa,1963,174.5861558,163.7564773,1.066132825,,,,
American Samoa,1964,174.7108303,163.8595261,1.066223212,,,,
American Samoa,1965,174.8269254,163.9567079,1.066299315,,,,
American Samoa,1966,174.9353808,164.0474371,1.066370703,,,,
American Samoa,1967,175.0374674,164.1324089,1.066440617,,,,
American Samoa,1968,175.134385,164.2112305,1.066518925,,,,
American Samoa,1969,175.2275341,164.2840345,1.066613287,,,,
American Samoa,1970,175.3171321,164.3505237,1.066726945,,,,
American Samoa,1971,175.4033581,164.4106593,1.066861229,,,,
American Samoa,1972,175.4861483,164.4642143,1.067017217,,,,
American Samoa,1973,175.5653151,164.5116708,1.067190639,,,,
American Samoa,1974,175.6402194,164.552928,1.067378269,,,,
American Samoa,1975,175.7103491,164.5878369,1.067577972,,,,
American Samoa,1976,175.7745202,164.6161497,1.067784179,,,,
American Samoa,1977,175.8315276,164.6371197,1.067994435,,,,
American Samoa,1978,175.8814446,164.6516787,1.068203167,,,,
American Samoa,1979,175.9244231,164.660467,1.068407167,,,,
American Samoa,1980,175.9618644,164.6652268,1.068603662,,,,
American Samoa,1981,175.994497,164.6669957,1.068790356,,,,
American Samoa,1982,176.0226854,164.6666949,1.068963493,,,,
American Samoa,1983,176.0460851,164.6652708,1.069114843,,,,
American Samoa,1984,176.0645211,164.6624222,1.0692453,,,,
American Samoa,1985,176.0775827,164.6582103,1.069351977,,,,
American Samoa,1986,176.0855639,164.6519594,1.069441047,,,,
American Samoa,1987,176.0888268,164.6432292,1.069517572,,,,
American Samoa,1988,176.0878773,164.6320958,1.069584132,,,,
American Samoa,1989,176.0845385,164.6193918,1.069646392,,,,
American Samoa,1990,176.0794722,164.6056399,1.069704977,,,,
American Samoa,1991,176.0735253,164.5917123,1.069759363,,,,
American Samoa,1992,176.0678768,164.5777585,1.069815742,,,,
American Samoa,1993,176.0623453,164.5638354,1.069872642,,,,
American Samoa,1994,176.0566976,164.5496291,1.069930686,,,,
American Samoa,1995,176.0511757,164.5353828,1.069989766,,,,
American Samoa,1996,176.0451207,164.5213673,1.070044114,6.3294112,6.3239834,3.729419757,3.997527168
Andorra,1896,163.3876867,152.4388197,1.071824664,,,,
Andorra,1897,163.4776236,152.5251213,1.071807858,,,,
Andorra,1898,163.5679366,152.6118888,1.071790264,,,,
Andorra,1899,163.6586928,152.6987604,1.071774862,,,,
Andorra,1900,163.7493877,152.7860908,1.071755857,,,,
Andorra,1901,163.8404458,152.8734635,1.071738954,,,,
Andorra,1902,163.9323266,152.9611663,1.071725135,,,,
Andorra,1903,164.0241736,153.0486379,1.07171273,,,,
Andorra,1904,164.1164288,153.1356085,1.071706512,,,,
Andorra,1905,164.209187,153.2226682,1.07170296,,,,
Andorra,1906,164.302759,153.3103248,1.071700547,,,,
Andorra,1907,164.3975073,153.3992625,1.071696856,,,,
Andorra,1908,164.4954157,153.4901034,1.071700468,,,,
Andorra,1909,164.5969534,153.584087,1.071705778,,,,
Andorra,1910,164.7031838,153.6826911,1.071709394,,,,
Andorra,1911,164.8158209,153.7876018,1.071710716,,,,
Andorra,1912,164.9367473,153.8998425,1.071714854,,,,
Andorra,1913,165.0654161,154.0194073,1.071718292,,,,
Andorra,1914,165.201263,154.1467825,1.071713988,,,,
Andorra,1915,165.3432561,154.2819068,1.0716957,,,,
Andorra,1916,165.4905652,154.4241998,1.071662119,,,,
Andorra,1917,165.6427206,154.5726994,1.071616924,,,,
Andorra,1918,165.7990274,154.7260745,1.07156488,,,,
Andorra,1919,165.9578016,154.8829774,1.071504463,,,,
Andorra,1920,166.1191366,155.0424634,1.071442835,,,,
Andorra,1921,166.2822008,155.2035418,1.071381483,,,,
Andorra,1922,166.4451437,155.3654014,1.071314091,,,,
Andorra,1923,166.606115,155.5260101,1.071242777,,,,
Andorra,1924,166.7654751,155.6856143,1.071168173,,,,
Andorra,1925,166.9243011,155.8455117,1.07108828,,,,
Andorra,1926,167.0826271,156.0052703,1.071006299,,,,
Andorra,1927,167.2408448,156.1640431,1.070930551,,,,
Andorra,1928,167.3986246,156.3214165,1.070861743,,,,
Andorra,1929,167.5552956,156.4773776,1.070795652,,,,
Andorra,1930,167.7110754,156.6312111,1.070738547,,,,
Andorra,1931,167.8655711,156.7812387,1.070699355,,,,
Andorra,1932,168.0183056,156.9279081,1.070671926,,,,
Andorra,1933,168.1707691,157.0730124,1.070653491,,,,
Andorra,1934,168.3254636,157.2181677,1.070648934,,,,
Andorra,1935,168.4830961,157.3634205,1.070662391,,,,
Andorra,1936,168.6418869,157.508657,1.070683289,,,,
Andorra,1937,168.8005298,157.6525883,1.070712074,,,,
Andorra,1938,168.9590201,157.793604,1.070759624,,,,
Andorra,1939,169.1164577,157.9299116,1.070832346,,,,
Andorra,1940,169.2720185,158.0597407,1.070936962,,,,
Andorra,1941,169.4262414,158.1821672,1.071083071,,,,
Andorra,1942,169.5813261,158.2981909,1.071277727,,,,
Andorra,1943,169.7400345,158.4095171,1.071526747,,,,
Andorra,1944,169.9028214,158.5185011,1.071816982,,,,
Andorra,1945,170.070521,158.6261464,1.072146836,,,,
Andorra,1946,170.2440805,158.7337752,1.072513271,,,,
