Entity,Year,regime_fh,polrights_fh,civlibs_fh,electdem_fh,polprocess_fh,polrights_score_fh,civlibs_score_fh,country_fh,number_notfree_fh,number_partlyfree_fh,number_free_fh,number_nonelectdem_fh,number_electdem_fh,pop_notfree_fh,pop_partlyfree_fh,pop_free_fh,pop_missreg_fh,pop_nonelectdem_fh,pop_electdem_fh,pop_missdem_fh,region
Africa,1809,,,,,,,,,,,,,,,,,,,,,World
Africa,1810,,,,,,,,,,,,,,,,,,,,,World
Africa,1811,,,,,,,,,,,,,,,,,,,,,World
Africa,1812,,,,,,,,,,,,,,,,,,,,,World
Africa,1813,,,,,,,,,,,,,,,,,,,,,World
Africa,1814,,,,,,,,,,,,,,,,,,,,,World
Africa,1815,,,,,,,,,,,,,,,,,,,,,World
Africa,1816,,,,,,,,,,,,,,,,,,,,,World
Africa,1817,,,,,,,,,,,,,,,,,,,,,World
Africa,1818,,,,,,,,,,,,,,,,,,,,,World
Africa,1819,,,,,,,,,,,,,,,,,,,,,World
Africa,1820,,,,,,,,,,,,,,,,,,,,,World
Africa,1821,,,,,,,,,,,,,,,,,,,,,World
Africa,1822,,,,,,,,,,,,,,,,,,,,,World
Africa,1823,,,,,,,,,,,,,,,,,,,,,World
Africa,1824,,,,,,,,,,,,,,,,,,,,,World
Africa,1825,,,,,,,,,,,,,,,,,,,,,World
Africa,1826,,,,,,,,,,,,,,,,,,,,,World
Africa,1827,,,,,,,,,,,,,,,,,,,,,World
Africa,1828,,,,,,,,,,,,,,,,,,,,,World
Africa,1829,,,,,,,,,,,,,,,,,,,,,World
Africa,1830,,,,,,,,,,,,,,,,,,,,,World
Africa,1831,,,,,,,,,,,,,,,,,,,,,World
Africa,1832,,,,,,,,,,,,,,,,,,,,,World
Africa,1833,,,,,,,,,,,,,,,,,,,,,World
Africa,1834,,,,,,,,,,,,,,,,,,,,,World
Africa,1835,,,,,,,,,,,,,,,,,,,,,World
Africa,1836,,,,,,,,,,,,,,,,,,,,,World
Africa,1837,,,,,,,,,,,,,,,,,,,,,World
Africa,1838,,,,,,,,,,,,,,,,,,,,,World
Africa,1839,,,,,,,,,,,,,,,,,,,,,World
Africa,1840,,,,,,,,,,,,,,,,,,,,,World
Africa,1841,,,,,,,,,,,,,,,,,,,,,World
Africa,1842,,,,,,,,,,,,,,,,,,,,,World
Africa,1843,,,,,,,,,,,,,,,,,,,,,World
Africa,1844,,,,,,,,,,,,,,,,,,,,,World
Africa,1845,,,,,,,,,,,,,,,,,,,,,World
Africa,1846,,,,,,,,,,,,,,,,,,,,,World
Africa,1847,,,,,,,,,,,,,,,,,,,,,World
Africa,1848,,,,,,,,,,,,,,,,,,,,,World
Africa,1849,,,,,,,,,,,,,,,,,,,,,World
Africa,1850,,,,,,,,,,,,,,,,,,,,,World
Africa,1851,,,,,,,,,,,,,,,,,,,,,World
Africa,1852,,,,,,,,,,,,,,,,,,,,,World
Africa,1853,,,,,,,,,,,,,,,,,,,,,World
Africa,1854,,,,,,,,,,,,,,,,,,,,,World
Africa,1855,,,,,,,,,,,,,,,,,,,,,World
Africa,1856,,,,,,,,,,,,,,,,,,,,,World
Africa,1857,,,,,,,,,,,,,,,,,,,,,World
Africa,1858,,,,,,,,,,,,,,,,,,,,,World
Africa,1859,,,,,,,,,,,,,,,,,,,,,World
Africa,1860,,,,,,,,,,,,,,,,,,,,,World
Africa,1861,,,,,,,,,,,,,,,,,,,,,World
Africa,1862,,,,,,,,,,,,,,,,,,,,,World
Africa,1863,,,,,,,,,,,,,,,,,,,,,World
Africa,1864,,,,,,,,,,,,,,,,,,,,,World
Africa,1865,,,,,,,,,,,,,,,,,,,,,World
Africa,1866,,,,,,,,,,,,,,,,,,,,,World
Africa,1867,,,,,,,,,,,,,,,,,,,,,World
Africa,1868,,,,,,,,,,,,,,,,,,,,,World
Africa,1869,,,,,,,,,,,,,,,,,,,,,World
Africa,1870,,,,,,,,,,,,,,,,,,,,,World
Africa,1871,,,,,,,,,,,,,,,,,,,,,World
Africa,1872,,,,,,,,,,,,,,,,,,,,,World
Africa,1873,,,,,,,,,,,,,,,,,,,,,World
Africa,1874,,,,,,,,,,,,,,,,,,,,,World
Africa,1875,,,,,,,,,,,,,,,,,,,,,World
Africa,1876,,,,,,,,,,,,,,,,,,,,,World
Africa,1877,,,,,,,,,,,,,,,,,,,,,World
Africa,1878,,,,,,,,,,,,,,,,,,,,,World
Africa,1879,,,,,,,,,,,,,,,,,,,,,World
Africa,1880,,,,,,,,,,,,,,,,,,,,,World
Africa,1881,,,,,,,,,,,,,,,,,,,,,World
Africa,1882,,,,,,,,,,,,,,,,,,,,,World
Africa,1883,,,,,,,,,,,,,,,,,,,,,World
Africa,1884,,,,,,,,,,,,,,,,,,,,,World
Africa,1885,,,,,,,,,,,,,,,,,,,,,World
Africa,1886,,,,,,,,,,,,,,,,,,,,,World
Africa,1887,,,,,,,,,,,,,,,,,,,,,World
Africa,1888,,,,,,,,,,,,,,,,,,,,,World
Africa,1889,,,,,,,,,,,,,,,,,,,,,World
Africa,1890,,,,,,,,,,,,,,,,,,,,,World
Africa,1891,,,,,,,,,,,,,,,,,,,,,World
Africa,1892,,,,,,,,,,,,,,,,,,,,,World
Africa,1893,,,,,,,,,,,,,,,,,,,,,World
Africa,1894,,,,,,,,,,,,,,,,,,,,,World
Africa,1895,,,,,,,,,,,,,,,,,,,,,World
Africa,1896,,,,,,,,,,,,,,,,,,,,,World
Africa,1897,,,,,,,,,,,,,,,,,,,,,World
Africa,1898,,,,,,,,,,,,,,,,,,,,,World
Africa,1899,,,,,,,,,,,,,,,,,,,,,World
Africa,1900,,,,,,,,,,,,,,,,,,,,,World
Africa,1901,,,,,,,,,,,,,,,,,,,,,World
Africa,1902,,,,,,,,,,,,,,,,,,,,,World
Africa,1903,,,,,,,,,,,,,,,,,,,,,World
Africa,1904,,,,,,,,,,,,,,,,,,,,,World
Africa,1905,,,,,,,,,,,,,,,,,,,,,World
Africa,1906,,,,,,,,,,,,,,,,,,,,,World
Africa,1907,,,,,,,,,,,,,,,,,,,,,World
Africa,1908,,,,,,,,,,,,,,,,,,,,,World
Africa,1909,,,,,,,,,,,,,,,,,,,,,World
Africa,1910,,,,,,,,,,,,,,,,,,,,,World
Africa,1911,,,,,,,,,,,,,,,,,,,,,World
Africa,1912,,,,,,,,,,,,,,,,,,,,,World
Africa,1913,,,,,,,,,,,,,,,,,,,,,World
Africa,1914,,,,,,,,,,,,,,,,,,,,,World
Africa,1915,,,,,,,,,,,,,,,,,,,,,World
Africa,1916,,,,,,,,,,,,,,,,,,,,,World
Africa,1917,,,,,,,,,,,,,,,,,,,,,World
Africa,1918,,,,,,,,,,,,,,,,,,,,,World
Africa,1919,,,,,,,,,,,,,,,,,,,,,World
Africa,1920,,,,,,,,,,,,,,,,,,,,,World
Africa,1921,,,,,,,,,,,,,,,,,,,,,World
Africa,1922,,,,,,,,,,,,,,,,,,,,,World
Africa,1923,,,,,,,,,,,,,,,,,,,,,World
Africa,1924,,,,,,,,,,,,,,,,,,,,,World
Africa,1925,,,,,,,,,,,,,,,,,,,,,World
Africa,1926,,,,,,,,,,,,,,,,,,,,,World
Africa,1927,,,,,,,,,,,,,,,,,,,,,World
Africa,1928,,,,,,,,,,,,,,,,,,,,,World
Africa,1929,,,,,,,,,,,,,,,,,,,,,World
Africa,1930,,,,,,,,,,,,,,,,,,,,,World
Africa,1931,,,,,,,,,,,,,,,,,,,,,World
Africa,1932,,,,,,,,,,,,,,,,,,,,,World
Africa,1933,,,,,,,,,,,,,,,,,,,,,World
Africa,1934,,,,,,,,,,,,,,,,,,,,,World
Africa,1935,,,,,,,,,,,,,,,,,,,,,World
Africa,1936,,,,,,,,,,,,,,,,,,,,,World
Africa,1937,,,,,,,,,,,,,,,,,,,,,World
Africa,1938,,,,,,,,,,,,,,,,,,,,,World
Africa,1939,,,,,,,,,,,,,,,,,,,,,World
Africa,1940,,,,,,,,,,,,,,,,,,,,,World
Africa,1941,,,,,,,,,,,,,,,,,,,,,World
Africa,1942,,,,,,,,,,,,,,,,,,,,,World
Africa,1943,,,,,,,,,,,,,,,,,,,,,World
Africa,1944,,,,,,,,,,,,,,,,,,,,,World
Africa,1945,,,,,,,,,,,,,,,,,,,,,World
Africa,1946,,,,,,,,,,,,,,,,,,,,,World
Africa,1947,,,,,,,,,,,,,,,,,,,,,World
Africa,1948,,,,,,,,,,,,,,,,,,,,,World
Africa,1949,,,,,,,,,,,,,,,,,,,,,World
Africa,1950,,,,,,,,,,,,,,,,,,,,,World
Africa,1951,,,,,,,,,,,,,,,,,,,,,World
Africa,1952,,,,,,,,,,,,,,,,,,,,,World
Africa,1953,,,,,,,,,,,,,,,,,,,,,World
Africa,1954,,,,,,,,,,,,,,,,,,,,,World
Africa,1955,,,,,,,,,,,,,,,,,,,,,World
Africa,1956,,,,,,,,,,,,,,,,,,,,,World
Africa,1957,,,,,,,,,,,,,,,,,,,,,World
Africa,1958,,,,,,,,,,,,,,,,,,,,,World
Africa,1959,,,,,,,,,,,,,,,,,,,,,World
Africa,1960,,,,,,,,,,,,,,,,,,,,,World
Africa,1961,,,,,,,,,,,,,,,,,,,,,World
Africa,1962,,,,,,,,,,,,,,,,,,,,,World
Africa,1963,,,,,,,,,,,,,,,,,,,,,World
Africa,1964,,,,,,,,,,,,,,,,,,,,,World
Africa,1965,,,,,,,,,,,,,,,,,,,,,World
Africa,1966,,,,,,,,,,,,,,,,,,,,,World
Africa,1967,,,,,,,,,,,,,,,,,,,,,World
Africa,1968,,,,,,,,,,,,,,,,,,,,,World
Africa,1969,,,,,,,,,,,,,,,,,,,,,World
Africa,1970,,,,,,,,,,,,,,,,,,,,,World
Africa,1971,,,,,,,,,,,,,,,,,,,,,World
Africa,1972,,,,,,,,,32,10,2,,,,,,,,,,World
Africa,1973,,,,,,,,,28,13,3,,,,,,,,,,World
Africa,1974,,,,,,,,,28,14,3,,,,,,,,,,World
Africa,1975,,,,,,,,,28,18,3,,,,,,,,,,World
Africa,1976,,,,,,,,,31,15,4,,,,,,,,,,World
Africa,1977,,,,,,,,,31,17,3,,,,,,,,,,World
Africa,1978,,,,,,,,,28,20,3,,,,,,,,,,World
Africa,1979,,,,,,,,,29,18,4,,,,,,,,,,World
Africa,1980,,,,,,,,,29,18,4,,,,,,,,,,World
Africa,1981,,,,,,,,,,,,,,,,,,,,,World
Africa,1982,,,,,,,,,32,16,3,,,,,,,,,,World
Africa,1983,,,,,,,,,29,19,3,,,,,,,,,,World
Africa,1984,,,,,,,,,31,18,2,,,,,,,,,,World
Africa,1985,,,,,,,,,33,16,2,,,,,,,,,,World
Africa,1986,,,,,,,,,32,17,2,,,,,,,,,,World
Africa,1987,,,,,,,,,31,18,2,,,,,,,,,,World
Africa,1988,,,,,,,,,34,15,2,,,,,,,,,,World
Africa,1989,,,,,,,,,34,16,3,,,,,,,,,,World
Africa,1990,,,,,,,,,29,20,4,,,,,,,,,,World
Africa,1991,,,,,,,,,21,24,8,,,,,,,,,,World
Africa,1992,,,,,,,,,18,26,9,,,,,,,,,,World
Africa,1993,,,,,,,,,30,16,8,,,,,,,,,,World
Africa,1994,,,,,,,,,28,18,8,,,,,,,,,,World
Africa,1995,,,,,,,,,25,20,9,,,,,,,,,,World
Africa,1996,,,,,,,,,25,20,9,,,,,,,,,,World
Africa,1997,,,,,,,,,25,20,9,,,,,,,,,,World
Africa,1998,,,,,,,,,24,21,9,,,,,,,,,,World
Africa,1999,,,,,,,,,21,25,8,,,,,,,,,,World
Africa,2000,,,,,,,,,20,25,9,,,,,,,,,,World
Africa,2001,,,,,,,,,20,25,9,,,,,,,,,,World
Africa,2002,,,,,,,,,21,22,11,,,,,,,,,,World
Africa,2003,,,,,,,,,22,21,11,,,,,,,,,,World
Africa,2004,,,,,,,,,21,22,11,,,,,,,,,,World
Africa,2005,,,,,,,,,19,24,11,34,20,,,,,,,,World
Africa,2006,,,,,,,,,20,23,11,32,22,,,,,,,,World
Africa,2007,,,,,,,,,19,24,11,32,22,,,,,,,,World
Africa,2008,,,,,,,,,20,25,10,35,20,,,,,,,,World
Africa,2009,,,,,,,,,21,25,9,38,17,,,,,,,,World
Africa,2010,,,,,,,,,22,24,9,37,18,,,,,,,,World
Africa,2011,,,,,,,,,23,24,9,36,20,,,,,,,,World
Africa,2012,,,,,,,,,22,23,11,37,19,,,,,,,,World
Africa,2013,,,,,,,,,23,23,10,36,20,,,,,,,,World
Africa,2014,,,,,,,,,25,20,11,36,20,,,,,,,,World
Africa,2015,,,,,,,,,24,22,10,36,20,,,,,,,,World
Africa,2016,,,,,,,,,24,22,10,36,20,,,,,,,,World
Africa,2017,,,,,,,,,23,23,10,37,19,,,,,,,,World
Africa,2018,,,,,,,,,23,23,10,39,17,,,,,,,,World
Africa,2019,,,,,,,,,22,26,8,40,16,,,,,,,,World
Africa,2020,,,,,,,,,24,23,9,40,16,,,,,,,,World
Africa,2021,,,,,,,,,25,23,8,40,16,,,,,,,,World
Albania,1972,0,7,7,,,,,1,,,,,,,,,,,,,Europe
Albania,1973,0,7,7,,,,,1,,,,,,,,,,,,,Europe
Albania,1974,0,7,7,,,,,1,,,,,,,,,,,,,Europe
Albania,1975,0,7,7,,,,,1,,,,,,,,,,,,,Europe
Albania,1976,0,7,7,,,,,1,,,,,,,,,,,,,Europe
Albania,1977,0,7,7,,,,,1,,,,,,,,,,,,,Europe
Albania,1978,0,7,7,,,,,1,,,,,,,,,,,,,Europe
Albania,1979,0,7,7,,,,,1,,,,,,,,,,,,,Europe
Albania,1980,0,7,7,,,,,1,,,,,,,,,,,,,Europe
Albania,1982,0,7,7,,,,,1,,,,,,,,,,,,,Europe
Albania,1983,0,7,7,,,,,1,,,,,,,,,,,,,Europe
Albania,1984,0,7,7,,,,,1,,,,,,,,,,,,,Europe
Albania,1985,0,7,7,,,,,1,,,,,,,,,,,,,Europe
Albania,1986,0,7,7,,,,,1,,,,,,,,,,,,,Europe
Albania,1987,0,7,7,,,,,1,,,,,,,,,,,,,Europe
Albania,1988,0,7,7,,,,,1,,,,,,,,,,,,,Europe
Albania,1989,0,7,7,,,,,1,,,,,,,,,,,,,Europe
Albania,1990,0,7,6,,,,,1,,,,,,,,,,,,,Europe
Albania,1991,1,4,4,,,,,1,,,,,,,,,,,,,Europe
Albania,1992,1,4,3,,,,,1,,,,,,,,,,,,,Europe
Albania,1993,1,2,4,,,,,1,,,,,,,,,,,,,Europe
Albania,1994,1,3,4,,,,,1,,,,,,,,,,,,,Europe
Albania,1995,1,3,4,,,,,1,,,,,,,,,,,,,Europe
Albania,1996,1,4,4,,,,,1,,,,,,,,,,,,,Europe
Albania,1997,1,4,4,,,,,1,,,,,,,,,,,,,Europe
Albania,1998,1,4,5,,,,,1,,,,,,,,,,,,,Europe
Albania,1999,1,4,5,,,,,1,,,,,,,,,,,,,Europe
Albania,2000,1,4,5,,,,,1,,,,,,,,,,,,,Europe
Albania,2001,1,3,4,,,,,1,,,,,,,,,,,,,Europe
Albania,2002,1,3,3,,,,,1,,,,,,,,,,,,,Europe
Albania,2003,1,3,3,,,,,1,,,,,,,,,,,,,Europe
Albania,2004,1,3,3,,,,,1,,,,,,,,,,,,,Europe
Albania,2005,1,3,3,1,8,25,38,1,,,,,,,,,,,,,Europe
Albania,2006,1,3,3,1,8,26,38,1,,,,,,,,,,,,,Europe
Albania,2007,1,3,3,1,8,26,39,1,,,,,,,,,,,,,Europe
Albania,2008,1,3,3,1,8,26,40,1,,,,,,,,,,,,,Europe
Albania,2009,1,3,3,1,8,26,39,1,,,,,,,,,,,,,Europe
Albania,2010,1,3,3,1,8,26,40,1,,,,,,,,,,,,,Europe
Albania,2011,1,3,3,1,8,24,39,1,,,,,,,,,,,,,Europe
Albania,2012,1,3,3,1,8,24,39,1,,,,,,,,,,,,,Europe
Albania,2013,1,3,3,1,8,27,40,1,,,,,,,,,,,,,Europe
Albania,2014,1,3,3,1,8,27,40,1,,,,,,,,,,,,,Europe
Albania,2015,1,3,3,1,8,27,40,1,,,,,,,,,,,,,Europe
Albania,2016,1,3,3,1,8,28,40,1,,,,,,,,,,,,,Europe
Albania,2017,1,3,3,1,8,28,40,1,,,,,,,,,,,,,Europe
Albania,2018,1,3,3,1,8,28,40,1,,,,,,,,,,,,,Europe
Albania,2019,1,3,3,1,8,27,40,1,,,,,,,,,,,,,Europe
Albania,2020,1,3,3,1,8,27,39,1,,,,,,,,,,,,,Europe
Albania,2021,1,3,3,1,9,28,39,1,,,,,,,,,,,,,Europe
Algeria,1972,0,6,6,,,,,1,,,,,,,,,,,,,Africa
Algeria,1973,0,6,6,,,,,1,,,,,,,,,,,,,Africa
Algeria,1974,0,6,6,,,,,1,,,,,,,,,,,,,Africa
Algeria,1975,0,7,6,,,,,1,,,,,,,,,,,,,Africa
Algeria,1976,0,6,6,,,,,1,,,,,,,,,,,,,Africa
Algeria,1977,0,6,6,,,,,1,,,,,,,,,,,,,Africa
Algeria,1978,0,6,6,,,,,1,,,,,,,,,,,,,Africa
Algeria,1979,0,6,6,,,,,1,,,,,,,,,,,,,Africa
Algeria,1980,0,6,6,,,,,1,,,,,,,,,,,,,Africa
Algeria,1982,0,6,6,,,,,1,,,,,,,,,,,,,Africa
Algeria,1983,0,6,6,,,,,1,,,,,,,,,,,,,Africa
Algeria,1984,0,6,6,,,,,1,,,,,,,,,,,,,Africa
Algeria,1985,0,6,6,,,,,1,,,,,,,,,,,,,Africa
Algeria,1986,0,6,6,,,,,1,,,,,,,,,,,,,Africa
Algeria,1987,0,6,6,,,,,1,,,,,,,,,,,,,Africa
Algeria,1988,0,5,6,,,,,1,,,,,,,,,,,,,Africa
Algeria,1989,1,6,4,,,,,1,,,,,,,,,,,,,Africa
Algeria,1990,1,4,4,,,,,1,,,,,,,,,,,,,Africa
Algeria,1991,1,4,4,,,,,1,,,,,,,,,,,,,Africa
Algeria,1992,0,7,6,,,,,1,,,,,,,,,,,,,Africa
Algeria,1993,0,7,6,,,,,1,,,,,,,,,,,,,Africa
Algeria,1994,0,7,7,,,,,1,,,,,,,,,,,,,Africa
Algeria,1995,0,6,6,,,,,1,,,,,,,,,,,,,Africa
Algeria,1996,0,6,6,,,,,1,,,,,,,,,,,,,Africa
Algeria,1997,0,6,6,,,,,1,,,,,,,,,,,,,Africa
Algeria,1998,0,6,5,,,,,1,,,,,,,,,,,,,Africa
Algeria,1999,0,6,5,,,,,1,,,,,,,,,,,,,Africa
Algeria,2000,0,6,5,,,,,1,,,,,,,,,,,,,Africa
Algeria,2001,0,6,5,,,,,1,,,,,,,,,,,,,Africa
Algeria,2002,0,6,5,,,,,1,,,,,,,,,,,,,Africa
Algeria,2003,0,6,5,,,,,1,,,,,,,,,,,,,Africa
Algeria,2004,0,6,5,,,,,1,,,,,,,,,,,,,Africa
Algeria,2005,0,6,5,0,5,11,25,1,,,,,,,,,,,,,Africa
Algeria,2006,0,6,5,0,4,11,25,1,,,,,,,,,,,,,Africa
Algeria,2007,0,6,5,0,4,11,25,1,,,,,,,,,,,,,Africa
Algeria,2008,0,6,5,0,4,11,25,1,,,,,,,,,,,,,Africa
Algeria,2009,0,6,5,0,4,11,25,1,,,,,,,,,,,,,Africa
Algeria,2010,0,6,5,0,4,11,25,1,,,,,,,,,,,,,Africa
