Entity,Year,Deaths from Smallpox,Deaths from all causes,Smallpox death rate
United Kingdom,1782,636,17918,3.549503293
United Kingdom,1783,1550,19029,8.145462189
United Kingdom,1784,1759,17828,9.866502131
United Kingdom,1785,1999,18919,10.56609757
United Kingdom,1786,1210,20454,5.915713308
United Kingdom,1787,2418,19349,12.49676986
United Kingdom,1788,1101,19697,5.589683708
United Kingdom,1789,2077,20749,10.01012097
United Kingdom,1790,1617,18038,8.964408471
United Kingdom,1791,1747,18760,9.312366738
United Kingdom,1792,1568,20213,7.757383862
United Kingdom,1793,2382,21749,10.95222769
United Kingdom,1794,1913,19241,9.942310691
United Kingdom,1795,1040,21179,4.910524576
United Kingdom,1796,3548,19288,18.39485691
United Kingdom,1797,522,17014,3.068061596
United Kingdom,1798,2337,18155,12.87248692
United Kingdom,1799,1111,18134,6.126612992
United Kingdom,1800,2409,23068,10.44303797
United Kingdom,1801,1461,19374,7.541034376
United Kingdom,1802,1579,19379,8.147995253
United Kingdom,1803,1202,19582,6.138290267
United Kingdom,1804,622,17034,3.651520488
United Kingdom,1805,1685,17565,9.592940507
United Kingdom,1806,1158,17938,6.455569183
United Kingdom,1807,1297,18334,7.074288208
United Kingdom,1808,1169,19954,5.858474491
United Kingdom,1809,1163,16680,6.972422062
United Kingdom,1810,1198,19893,6.022218871
United Kingdom,1811,751,17043,4.406501203
United Kingdom,1812,1287,18295,7.034708937
United Kingdom,1813,898,17322,5.184158873
United Kingdom,1814,638,19283,3.308613805
United Kingdom,1815,725,19560,3.706543967
United Kingdom,1816,653,20316,3.214215397
United Kingdom,1817,1051,19968,5.263421474
United Kingdom,1818,421,19705,2.136513575
United Kingdom,1819,712,19228,3.702933222
United Kingdom,1820,792,19348,4.093446351
United Kingdom,1821,508,18451,2.753238307
United Kingdom,1822,604,18865,3.201696263
United Kingdom,1823,774,20587,3.759654151
United Kingdom,1824,725,20237,3.58254682
United Kingdom,1825,1299,21026,6.178065253
United Kingdom,1826,503,20758,2.423162154
United Kingdom,1827,616,22292,2.763323165
United Kingdom,1828,598,21709,2.7546179
United Kingdom,1829,736,23524,3.128719606
United Kingdom,1830,627,21645,2.896742897
United Kingdom,1831,563,25337,2.222046809
United Kingdom,1841,1053,45507,2.313929725
United Kingdom,1842,360,45400,0.792951542
United Kingdom,1843,438,48718,0.899051685
United Kingdom,1844,1804,51110,3.529641949
United Kingdom,1845,909,48318,1.881286477
United Kingdom,1846,257,49450,0.519716886
United Kingdom,1847,955,59131,1.615058091
United Kingdom,1848,1620,57771,2.804175105
United Kingdom,1849,521,68755,0.757763072
United Kingdom,1850,499,48950,1.019407559
United Kingdom,1851,1062,55488,1.913927336
United Kingdom,1852,1159,54638,2.121234306
United Kingdom,1853,211,60069,0.351262715
United Kingdom,1854,694,73697,0.941693692
United Kingdom,1855,1039,61942,1.677375609
United Kingdom,1856,531,57274,0.927122254
United Kingdom,1857,156,59103,0.263945993
United Kingdom,1858,242,64093,0.377576334
United Kingdom,1859,1158,61860,1.871968962
United Kingdom,1860,898,62309,1.44120432
United Kingdom,1861,217,65251,0.332561953
United Kingdom,1862,366,67371,0.543260453
United Kingdom,1863,1996,71060,2.808893892
United Kingdom,1864,547,78238,0.699148751
United Kingdom,1865,640,73531,0.8703812
United Kingdom,1866,1391,80453,1.728959765
United Kingdom,1867,1345,70924,1.896396142
United Kingdom,1868,597,73798,0.808965013
United Kingdom,1869,275,78082,0.352193847
United Kingdom,1870,973,77634,1.253316846
United Kingdom,1871,7912,80430,9.837125451
United Kingdom,1872,1786,71355,2.502978067
United Kingdom,1873,113,75459,0.149750195
United Kingdom,1874,57,76813,0.074206189
United Kingdom,1875,46,81964,0.0561222
United Kingdom,1876,736,77671,0.947586615
United Kingdom,1877,2551,77449,3.293780423
United Kingdom,1878,1417,84188,1.683137739
United Kingdom,1879,450,83805,0.536960802
United Kingdom,1880,475,81128,0.585494527
United Kingdom,1881,2371,81071,2.924596958
United Kingdom,1882,431,82913,0.519821982
United Kingdom,1883,134,80995,0.165442311
United Kingdom,1884,913,81951,1.114080365
United Kingdom,1885,899,80000,1.12375
United Kingdom,1886,24,82545,0.02907505
United Kingdom,1887,9,82208,0.01094784
United Kingdom,1888,9,78848,0.011414367
United Kingdom,1889,0,76162,0
United Kingdom,1890,4,89268,0.004480889
United Kingdom,1891,8,90595,0.008830509
United Kingdom,1892,41,88440,0.046359114
United Kingdom,1893,206,91552,0.225008738
United Kingdom,1894,88,77407,0.113684809
United Kingdom,1895,55,87298,0.063002589
United Kingdom,1896,9,82390,0.010923656
United Kingdom,1897,16,81119,0.019724109
United Kingdom,1898,1,84154,0.001188298
United Kingdom,1899,3,89689,0.003344892
United Kingdom,1900,4,86438,0.004627594
United Kingdom,1901,242,80251,0.301553875
United Kingdom,1902,1314,82540,1.591955416
