Entity,Year,Defence spending as a percent of GDP (ukpublicspending.com)
United Kingdom,1840,2.59
United Kingdom,1841,2.73
United Kingdom,1842,2.96
United Kingdom,1843,2.96
United Kingdom,1844,2.67
United Kingdom,1845,2.41
United Kingdom,1846,2.52
United Kingdom,1847,2.65
United Kingdom,1848,3
United Kingdom,1849,2.98
United Kingdom,1850,2.71
United Kingdom,1851,2.51
United Kingdom,1852,2.43
United Kingdom,1853,2.37
United Kingdom,1854,2.48
United Kingdom,1855,3.77
United Kingdom,1856,6.35
United Kingdom,1857,4.88
United Kingdom,1858,3.24
United Kingdom,1859,2.75
United Kingdom,1860,3.23
United Kingdom,1861,3.75
United Kingdom,1862,3.62
United Kingdom,1863,3.3
United Kingdom,1864,2.85
United Kingdom,1865,2.71
United Kingdom,1866,2.55
United Kingdom,1867,2.63
United Kingdom,1868,2.96
United Kingdom,1869,3.22
United Kingdom,1870,2.19
United Kingdom,1871,2
United Kingdom,1872,2.04
United Kingdom,1873,1.85
United Kingdom,1874,1.97
United Kingdom,1875,2.03
United Kingdom,1876,2.08
United Kingdom,1877,2.15
United Kingdom,1878,2.47
United Kingdom,1879,2.7
United Kingdom,1880,2.38
United Kingdom,1881,2.12
United Kingdom,1882,2.19
United Kingdom,1883,2.37
United Kingdom,1884,2.29
United Kingdom,1885,2.57
United Kingdom,1886,3.27
United Kingdom,1887,2.54
United Kingdom,1888,2.34
United Kingdom,1889,2.03
United Kingdom,1890,2.32
United Kingdom,1891,2.36
United Kingdom,1892,2.41
United Kingdom,1893,2.41
United Kingdom,1894,2.3
United Kingdom,1895,2.39
United Kingdom,1896,2.5
United Kingdom,1897,2.56
United Kingdom,1898,2.43
United Kingdom,1899,2.53
United Kingdom,1900,3.78
United Kingdom,1901,6.5
United Kingdom,1902,6.91
United Kingdom,1903,6.06
United Kingdom,1904,3.96
United Kingdom,1905,3.49
United Kingdom,1906,3.16
United Kingdom,1907,2.89
United Kingdom,1908,3
United Kingdom,1909,2.96
United Kingdom,1910,3.03
United Kingdom,1911,3.13
United Kingdom,1912,3.12
United Kingdom,1913,3.09
United Kingdom,1914,3.21
United Kingdom,1915,14.93
United Kingdom,1916,40.8
United Kingdom,1917,46.19
United Kingdom,1918,47.07
United Kingdom,1919,40.1
United Kingdom,1920,11.61
United Kingdom,1921,6.06
United Kingdom,1922,4.98
United Kingdom,1923,2.9
United Kingdom,1924,2.84
United Kingdom,1925,2.65
United Kingdom,1926,2.92
United Kingdom,1927,2.7
United Kingdom,1928,2.72
United Kingdom,1929,2.54
United Kingdom,1930,2.57
United Kingdom,1931,2.71
United Kingdom,1932,2.67
United Kingdom,1933,2.58
United Kingdom,1934,2.57
United Kingdom,1935,2.58
United Kingdom,1936,2.92
United Kingdom,1937,3.66
United Kingdom,1938,3.74
United Kingdom,1939,4.5
United Kingdom,1940,8.96
United Kingdom,1941,37.36
United Kingdom,1942,43.21
United Kingdom,1943,48.18
United Kingdom,1944,48.77
United Kingdom,1945,52.01
United Kingdom,1946,44.61
United Kingdom,1947,16.21
United Kingdom,1948,7.62
United Kingdom,1949,6.45
United Kingdom,1950,6.04
United Kingdom,1951,9.86
United Kingdom,1952,11.17
United Kingdom,1953,10.96
United Kingdom,1954,10.03
United Kingdom,1955,8.85
United Kingdom,1956,8.6
United Kingdom,1957,7.79
United Kingdom,1958,7.44
United Kingdom,1959,7.05
United Kingdom,1960,6.76
United Kingdom,1961,6.78
United Kingdom,1962,7.2
United Kingdom,1963,7
United Kingdom,1964,6.83
United Kingdom,1965,6.7
United Kingdom,1966,6.58
United Kingdom,1967,6.77
United Kingdom,1968,6.29
United Kingdom,1969,5.55
United Kingdom,1970,5.42
United Kingdom,1971,5.52
United Kingdom,1972,5.38
United Kingdom,1973,5.51
United Kingdom,1974,5.62
United Kingdom,1975,5.47
United Kingdom,1976,5.76
United Kingdom,1977,5.57
United Kingdom,1978,5.63
United Kingdom,1979,5.68
United Kingdom,1980,5.79
United Kingdom,1981,5.69
United Kingdom,1982,5.95
United Kingdom,1983,5.27
United Kingdom,1984,5.27
United Kingdom,1985,5.28
United Kingdom,1986,5.17
United Kingdom,1987,4.76
United Kingdom,1988,4.37
United Kingdom,1989,4.09
United Kingdom,1990,4.09
United Kingdom,1991,4.08
United Kingdom,1992,4.18
United Kingdom,1993,4.02
United Kingdom,1994,3.76
United Kingdom,1995,3.49
United Kingdom,1996,3.16
United Kingdom,1997,3.02
United Kingdom,1998,2.77
United Kingdom,1999,2.88
United Kingdom,2000,2.85
United Kingdom,2001,2.92
United Kingdom,2002,2.64
United Kingdom,2003,2.63
United Kingdom,2004,2.7
United Kingdom,2005,2.66
United Kingdom,2006,2.65
United Kingdom,2007,2.6
United Kingdom,2008,2.67
United Kingdom,2009,2.94
United Kingdom,2010,2.84
United Kingdom,2011,2.85
United Kingdom,2012,2.73
United Kingdom,2013,2.54
United Kingdom,2014,2.56
