Entity,Year,Age-standardised diabetes prevalence (male),Age-standardised diabetes prevalence (female),Crude diabetes prevalence (male),Crude diabetes prevalence (female)
Albania,1983,0.043570657,0.056673973,0.046204233,0.046204233
Albania,1984,0.044309873,0.056821572,0.04622173,0.04622173
Albania,1985,0.045109254,0.057033127,0.046317082,0.046317082
Albania,1986,0.045973103,0.057343498,0.046509505,0.046509505
Albania,1987,0.046872695,0.057662291,0.046736865,0.046736865
Albania,1988,0.047811396,0.058020936,0.047061875,0.047061875
Albania,1989,0.048801863,0.058438483,0.047546274,0.047546274
Albania,1990,0.049752771,0.058797599,0.048123142,0.048123142
Albania,1991,0.050528599,0.058934804,0.048673223,0.048673223
Albania,1992,0.051322423,0.059073418,0.04936872,0.04936872
Albania,1993,0.052196668,0.059319079,0.05026652,0.05026652
Albania,1994,0.053147451,0.059644592,0.051290968,0.051290968
Albania,1995,0.054189853,0.060028122,0.052376685,0.052376685
Albania,1996,0.055274226,0.060426391,0.053466261,0.053466261
Albania,1997,0.056293618,0.060761161,0.054497787,0.054497787
Albania,1998,0.057419522,0.061217361,0.055647222,0.055647222
Albania,1999,0.058632054,0.061776016,0.056928457,0.056928457
Albania,2000,0.059910386,0.062386826,0.058321614,0.058321614
Albania,2001,0.061254846,0.063055974,0.059834538,0.059834538
Albania,2002,0.06259021,0.063725316,0.061408933,0.061408933
Albania,2003,0.063895564,0.064388521,0.063051759,0.063051759
Albania,2004,0.065184804,0.065049723,0.064780058,0.064780058
Albania,2005,0.066422612,0.065711763,0.066596088,0.066596088
Albania,2006,0.067629473,0.066304639,0.068436936,0.068436936
Albania,2007,0.068824876,0.066871643,0.070323591,0.070323591
Albania,2008,0.070031043,0.067446907,0.072219698,0.072219698
Albania,2009,0.071212617,0.068021291,0.074022075,0.074022075
Albania,2010,0.072370598,0.068609723,0.075681639,0.075681639
Albania,2011,0.073496037,0.069203689,0.077155807,0.077155807
Albania,2012,0.074617592,0.069738587,0.078399343,0.078399343
Albania,2013,0.075747074,0.070274882,0.07954598,0.07954598
Albania,2014,0.076878707,0.07081062,0.080693345,0.080693345
Algeria,1980,0.046711802,0.055830187,0.041921974,0.041921974
Algeria,1981,0.047916668,0.056987318,0.042582235,0.042582235
Algeria,1982,0.049235377,0.058230565,0.043333228,0.043333228
Algeria,1983,0.050681459,0.059596445,0.044199092,0.044199092
Algeria,1984,0.052231092,0.06105958,0.045152487,0.045152487
Algeria,1985,0.053874752,0.062563623,0.046144261,0.046144261
Algeria,1986,0.055575369,0.064105644,0.047171885,0.047171885
Algeria,1987,0.05735849,0.065715803,0.048259987,0.048259987
Algeria,1988,0.059208053,0.067386252,0.049404296,0.049404296
Algeria,1989,0.061115552,0.069130556,0.050617317,0.050617317
Algeria,1990,0.063120849,0.070932807,0.051889644,0.051889644
Algeria,1991,0.065176649,0.072766677,0.05320678,0.05320678
Algeria,1992,0.067269011,0.074642498,0.054577761,0.054577761
Algeria,1993,0.069389298,0.07655758,0.055995891,0.055995891
Algeria,1994,0.071546697,0.078538684,0.057473801,0.057473801
Algeria,1995,0.073774855,0.080624058,0.05903802,0.05903802
Algeria,1996,0.07603895,0.082776233,0.06066226,0.06066226
Algeria,1997,0.078348878,0.08497433,0.062341166,0.062341166
Algeria,1998,0.080739669,0.087266143,0.064127848,0.064127848
Algeria,1999,0.083106722,0.089597023,0.066000065,0.066000065
Algeria,2000,0.085542492,0.09197631,0.067981621,0.067981621
Algeria,2001,0.088059025,0.09439579,0.070073999,0.070073999
Algeria,2002,0.090648903,0.096847036,0.07227434,0.07227434
Algeria,2003,0.093340184,0.099322059,0.074581757,0.074581757
Algeria,2004,0.09606677,0.101783017,0.076968922,0.076968922
Algeria,2005,0.098780323,0.104243651,0.079451588,0.079451588
Algeria,2006,0.101431899,0.106667284,0.082003641,0.082003641
Algeria,2007,0.104124952,0.109093275,0.084664824,0.084664824
Algeria,2008,0.106839946,0.111516468,0.087444103,0.087444103
Algeria,2009,0.109554196,0.113922233,0.090347913,0.090347913
Algeria,2010,0.112191951,0.116288809,0.093371473,0.093371473
Algeria,2011,0.114699976,0.11856851,0.096476436,0.096476436
Algeria,2012,0.117332196,0.120969174,0.099841639,0.099841639
Algeria,2013,0.119982017,0.12342024,0.103421145,0.103421145
Algeria,2014,0.122647583,0.125937459,0.107245025,0.107245025
American Samoa,1980,0.173567204,0.201105649,,
American Samoa,1981,0.18135283,0.205487407,,
American Samoa,1982,0.189359427,0.210055905,,
American Samoa,1983,0.197472536,0.214666076,,
American Samoa,1984,0.205690728,0.219420225,,
American Samoa,1985,0.214021089,0.224276097,,
American Samoa,1986,0.222308485,0.229190588,,
American Samoa,1987,0.230395064,0.234097434,,
American Samoa,1988,0.238321139,0.238990187,,
American Samoa,1989,0.246084361,0.243912108,,
American Samoa,1990,0.253677932,0.248845627,,
American Samoa,1991,0.260962463,0.253711252,,
American Samoa,1992,0.267880478,0.258515445,,
American Samoa,1993,0.274376494,0.263234986,,
American Samoa,1994,0.280400236,0.267964856,,
American Samoa,1995,0.28584838,0.272678472,,
American Samoa,1996,0.290730444,0.277236922,,
American Samoa,1997,0.29494852,0.281617254,,
American Samoa,1998,0.298612652,0.285855479,,
American Samoa,1999,0.301799702,0.289897083,,
American Samoa,2000,0.304618928,0.293846825,,
American Samoa,2001,0.306947394,0.297525611,,
American Samoa,2002,0.308758421,0.300911968,,
American Samoa,2003,0.310157913,0.304016733,,
American Samoa,2004,0.311034308,0.306783324,,
American Samoa,2005,0.311507597,0.309331754,,
American Samoa,2006,0.311680077,0.311692613,,
American Samoa,2007,0.311672939,0.313953213,,
American Samoa,2008,0.311511049,0.316161579,,
American Samoa,2009,0.311022681,0.318217356,,
American Samoa,2010,0.310463037,0.320302666,,
American Samoa,2011,0.309822259,0.322379195,,
American Samoa,2012,0.309244119,0.324433846,,
American Samoa,2013,0.308688756,0.326482486,,
American Samoa,2014,0.308217327,0.32862531,,
Andorra,1980,0.063823839,0.071503983,0.084947804,0.084947804
Andorra,1981,0.064944861,0.07149157,0.085237867,0.085237867
Andorra,1982,0.06597089,0.071399461,0.085423703,0.085423703
Andorra,1983,0.066894694,0.071233824,0.085516318,0.085516318
Andorra,1984,0.067743933,0.071027844,0.085558692,0.085558692
Andorra,1985,0.068563931,0.07080078,0.085575765,0.085575765
Andorra,1986,0.069289864,0.070508568,0.085522626,0.085522626
Andorra,1987,0.06996719,0.070197357,0.085448696,0.085448696
Andorra,1988,0.070614453,0.069862572,0.085341218,0.085341218
Andorra,1989,0.071247977,0.069507162,0.085192585,0.085192585
Andorra,1990,0.071840375,0.06909825,0.08495981,0.08495981
Andorra,1991,0.07236199,0.068638774,0.08464325,0.08464325
Andorra,1992,0.072834279,0.068097048,0.084214668,0.084214668
Andorra,1993,0.073242702,0.067509703,0.083729155,0.083729155
Andorra,1994,0.07366715,0.066910103,0.083242957,0.083242957
Andorra,1995,0.074087095,0.066301688,0.082772445,0.082772445
Andorra,1996,0.074703827,0.065890155,0.082554398,0.082554398
Andorra,1997,0.075348606,0.065525768,0.082418793,0.082418793
Andorra,1998,0.076022214,0.065162692,0.082293434,0.082293434
Andorra,1999,0.07668372,0.0648082,0.082155609,0.082155609
Andorra,2000,0.077283872,0.064415846,0.081935088,0.081935088
Andorra,2001,0.077935559,0.064054116,0.081701295,0.081701295
Andorra,2002,0.07850628,0.06365384,0.081396149,0.081396149
Andorra,2003,0.079036194,0.063223204,0.081066367,0.081066367
Andorra,2004,0.079515938,0.062761582,0.080760212,0.080760212
Andorra,2005,0.079898521,0.06227492,0.080515965,0.080515965
Andorra,2006,0.080180691,0.061753934,0.080326313,0.080326313
Andorra,2007,0.080371778,0.061227209,0.080212133,0.080212133
Andorra,2008,0.080491459,0.060696137,0.08017159,0.08017159
Andorra,2009,0.080509382,0.060153883,0.080191945,0.080191945
Andorra,2010,0.080519788,0.059658464,0.080334474,0.080334474
Andorra,2011,0.080567527,0.059222542,0.080618404,0.080618404
Andorra,2012,0.080527769,0.058769086,0.080948697,0.080948697
Andorra,2013,0.080620566,0.058424511,0.081453791,0.081453791
Andorra,2014,0.080856197,0.058184757,0.082099398,0.082099398
Angola,1980,0.025756088,0.028690459,0.019830783,0.019830783
Angola,1981,0.026523261,0.029320486,0.020226645,0.020226645
Angola,1982,0.027405078,0.030036169,0.020682936,0.020682936
Angola,1983,0.028408085,0.030848265,0.021210648,0.021210648
Angola,1984,0.029531721,0.031764379,0.021818424,0.021818424
Angola,1985,0.030785793,0.032758191,0.022487499,0.022487499
Angola,1986,0.032162171,0.033841004,0.023226741,0.023226741
Angola,1987,0.03366474,0.035028619,0.024045893,0.024045893
Angola,1988,0.035259353,0.036284035,0.024914137,0.024914137
Angola,1989,0.036894393,0.037563545,0.02579594,0.02579594
Angola,1990,0.038562199,0.038862693,0.026686254,0.026686254
Angola,1991,0.040202552,0.040148509,0.0275609,0.0275609
Angola,1992,0.04175806,0.041383223,0.028393575,0.028393575
Angola,1993,0.043132673,0.042464339,0.029109166,0.029109166
Angola,1994,0.044429865,0.043558051,0.029831612,0.029831612
Angola,1995,0.045721254,0.044679584,0.030572032,0.030572032
Angola,1996,0.047057291,0.045897152,0.031380441,0.031380441
Angola,1997,0.048440827,0.047169884,0.032227713,0.032227713
Angola,1998,0.049914012,0.048543485,0.033151239,0.033151239
Angola,1999,0.051522959,0.050026843,0.034163007,0.034163007
Angola,2000,0.053249661,0.051603372,0.035255141,0.035255141
Angola,2001,0.05509438,0.053279727,0.036435344,0.036435344
Angola,2002,0.057113103,0.055084251,0.037723614,0.037723614
Angola,2003,0.059202815,0.056907873,0.039036503,0.039036503
Angola,2004,0.061393471,0.058781977,0.040392958,0.040392958
Angola,2005,0.063686976,0.0607072,0.041791123,0.041791123
Angola,2006,0.066108188,0.062705168,0.043246469,0.043246469
Angola,2007,0.068655848,0.06477706,0.044761387,0.044761387
Angola,2008,0.071231734,0.066838878,0.046275298,0.046275298
Angola,2009,0.073667839,0.068793442,0.04771843,0.04771843
Angola,2010,0.075998574,0.070683802,0.049125211,0.049125211
Angola,2011,0.078260034,0.07253425,0.050515189,0.050515189
Angola,2012,0.080562293,0.074430737,0.051952301,0.051952301
Angola,2013,0.082869063,0.076330703,0.053402507,0.053402507
Angola,2014,0.085194139,0.07825495,0.054878877,0.054878877
Antigua and Barbuda,1980,0.039135246,0.055923821,0.049112722,0.049112722
Antigua and Barbuda,1981,0.039984195,0.057092874,0.050135024,0.050135024
Antigua and Barbuda,1982,0.040841887,0.058239764,0.051102288,0.051102288
Antigua and Barbuda,1983,0.041744221,0.059435776,0.052099034,0.052099034
Antigua and Barbuda,1984,0.042693183,0.06064901,0.053127939,0.053127939
Antigua and Barbuda,1985,0.043758505,0.06196125,0.054282807,0.054282807
Antigua and Barbuda,1986,0.044942563,0.06339283,0.055588904,0.055588904
Antigua and Barbuda,1987,0.046184894,0.064861905,0.056972108,0.056972108
Antigua and Barbuda,1988,0.047493276,0.066376535,0.058439504,0.058439504
Antigua and Barbuda,1989,0.048906054,0.067993538,0.060037641,0.060037641
Antigua and Barbuda,1990,0.050346825,0.069654914,0.061714682,0.061714682
Antigua and Barbuda,1991,0.051736681,0.071298549,0.06341788,0.06341788
Antigua and Barbuda,1992,0.053138336,0.072947039,0.065171665,0.065171665
Antigua and Barbuda,1993,0.054479278,0.074559879,0.066945585,0.066945585
Antigua and Barbuda,1994,0.055815138,0.076211692,0.068811558,0.068811558
Antigua and Barbuda,1995,0.057129817,0.077878966,0.070752137,0.070752137
Antigua and Barbuda,1996,0.05846304,0.079650975,0.07285323,0.07285323
Antigua and Barbuda,1997,0.059895023,0.081568144,0.075150066,0.075150066
Antigua and Barbuda,1998,0.061431227,0.083650011,0.07764721,0.07764721
Antigua and Barbuda,1999,0.063038354,0.085850255,0.080282045,0.080282045
Antigua and Barbuda,2000,0.064753924,0.088161572,0.083034039,0.083034039
Antigua and Barbuda,2001,0.066499566,0.090503984,0.085822893,0.085822893
Antigua and Barbuda,2002,0.068314513,0.092964593,0.088737526,0.088737526
Antigua and Barbuda,2003,0.070262066,0.095561888,0.091812046,0.091812046
Antigua and Barbuda,2004,0.072358926,0.098283674,0.095059606,0.095059606
Antigua and Barbuda,2005,0.074606395,0.101139453,0.098508889,0.098508889
Antigua and Barbuda,2006,0.077063224,0.10417142,0.102208454,0.102208454
Antigua and Barbuda,2007,0.079670947,0.107278328,0.106058819,0.106058819
Antigua and Barbuda,2008,0.08231211,0.110387786,0.109986437,0.109986437
Antigua and Barbuda,2009,0.084872644,0.113429925,0.113913531,0.113913531
Antigua and Barbuda,2010,0.087464329,0.11649435,0.117920247,0.117920247
Antigua and Barbuda,2011,0.090122953,0.119621259,0.122041304,0.122041304
Antigua and Barbuda,2012,0.093003715,0.12293922,0.126405255,0.126405255
Antigua and Barbuda,2013,0.096006547,0.126408984,0.13097236,0.13097236
Antigua and Barbuda,2014,0.099233293,0.130083446,0.135797672,0.135797672
Argentina,1980,0.074214968,0.06139308,0.064895739,0.064895739
Argentina,1981,0.074596619,0.061734212,0.065614406,0.065614406
Argentina,1982,0.07501722,0.062105407,0.06635574,0.06635574
Argentina,1983,0.0755174,0.062581509,0.067190127,0.067190127
Argentina,1984,0.076118139,0.063161189,0.068107629,0.068107629
Argentina,1985,0.076728234,0.063741592,0.068994849,0.068994849
Argentina,1986,0.077415784,0.064441521,0.069973969,0.069973969
Argentina,1987,0.078136753,0.065205616,0.070986936,0.070986936
Argentina,1988,0.078806586,0.06598507,0.071980893,0.071980893
Argentina,1989,0.079433621,0.066749473,0.072922455,0.072922455
Argentina,1990,0.080101141,0.067572455,0.073888048,0.073888048
Argentina,1991,0.080835798,0.068483954,0.074910255,0.074910255
Argentina,1992,0.081613617,0.069459361,0.07596669,0.07596669
Argentina,1993,0.0824004,0.07042732,0.076987856,0.076987856
Argentina,1994,0.083172506,0.071356871,0.077947709,0.077947709
Argentina,1995,0.083887591,0.072229537,0.078833897,0.078833897
Argentina,1996,0.084614742,0.073121071,0.079725909,0.079725909
Argentina,1997,0.085376987,0.074045771,0.080643717,0.080643717
Argentina,1998,0.086154518,0.074964786,0.081562411,0.081562411
Argentina,1999,0.086844137,0.075810418,0.08243099,0.08243099
Argentina,2000,0.087485659,0.07663212,0.083313573,0.083313573
Argentina,2001,0.088005355,0.077394682,0.084180858,0.084180858
Argentina,2002,0.088352362,0.078131359,0.085064246,0.085064246
Argentina,2003,0.088812628,0.079013107,0.086130755,0.086130755
Argentina,2004,0.089367432,0.080043218,0.087373502,0.087373502
Argentina,2005,0.090042621,0.081222196,0.088785201,0.088785201
Argentina,2006,0.090784885,0.082486548,0.090301115,0.090301115
Argentina,2007,0.091647413,0.08384633,0.091934279,0.091934279
Argentina,2008,0.092541088,0.085243123,0.093623701,0.093623701
Argentina,2009,0.093431475,0.086658969,0.095349155,0.095349155
Argentina,2010,0.094430586,0.088163657,0.097181218,0.097181218
Argentina,2011,0.095549893,0.089730457,0.099092048,0.099092048
Argentina,2012,0.096643903,0.091335634,0.101058612,0.101058612
Argentina,2013,0.097733546,0.092969031,0.103076703,0.103076703
Argentina,2014,0.098786283,0.094600896,0.105125892,0.105125892
Armenia,1980,0.05932292,0.067848923,0.060717377,0.060717377
Armenia,1981,0.060081578,0.068764575,0.061682037,0.061682037
Armenia,1982,0.060853714,0.069712022,0.062808594,0.062808594
Armenia,1983,0.061639163,0.070707324,0.064090822,0.064090822
Armenia,1984,0.062454577,0.071741164,0.06548759,0.06548759
Armenia,1985,0.06334022,0.072812197,0.066973977,0.066973977
Armenia,1986,0.06422374,0.073890287,0.06849782,0.06849782
Armenia,1987,0.065157029,0.074984786,0.070073658,0.070073658
Armenia,1988,0.06613567,0.076115831,0.07176392,0.07176392
Armenia,1989,0.067167381,0.077307469,0.073660413,0.073660413
Armenia,1990,0.068240373,0.078533834,0.075789913,0.075789913
Armenia,1991,0.069254017,0.079706688,0.07811936,0.07811936
Armenia,1992,0.069872335,0.080400254,0.080218225,0.080218225
Armenia,1993,0.070542742,0.081167645,0.082520624,0.082520624
Armenia,1994,0.071276167,0.08203963,0.084876848,0.084876848
Armenia,1995,0.072069247,0.08302889,0.087133317,0.087133317
Armenia,1996,0.072935901,0.084100493,0.089165326,0.089165326
Armenia,1997,0.073909167,0.085292776,0.091027341,0.091027341
Armenia,1998,0.075049902,0.086663707,0.092831323,0.092831323
Armenia,1999,0.076337305,0.088196495,0.094668809,0.094668809
Armenia,2000,0.077809541,0.089907367,0.096645397,0.096645397
Armenia,2001,0.079491319,0.091813505,0.098800584,0.098800584
Armenia,2002,0.081452621,0.093928192,0.101133288,0.101133288
Armenia,2003,0.083638938,0.096179657,0.103583266,0.103583266
Armenia,2004,0.086010689,0.098529879,0.106122161,0.106122161
Armenia,2005,0.088458335,0.100853012,0.108635187,0.108635187
Armenia,2006,0.090946863,0.103175073,0.111157058,0.111157058
Armenia,2007,0.093479863,0.105499927,0.113721455,0.113721455
Armenia,2008,0.095980306,0.107708541,0.116267372,0.116267372
Armenia,2009,0.098106878,0.109567837,0.118630936,0.118630936
Armenia,2010,0.100338562,0.111467877,0.121272337,0.121272337
Armenia,2011,0.102676981,0.113461904,0.124269109,0.124269109
Armenia,2012,0.105000553,0.115491711,0.127536731,0.127536731
Armenia,2013,0.107380281,0.117574238,0.131046669,0.131046669
Armenia,2014,0.10986533,0.119752651,0.134786177,0.134786177
Australia,1980,0.056271396,0.042421033,0.047000733,0.047000733
Australia,1981,0.056507147,0.042563287,0.047275385,0.047275385
Australia,1982,0.056814489,0.042782594,0.047643105,0.047643105
Australia,1983,0.057110668,0.043010736,0.048020498,0.048020498
Australia,1984,0.057446587,0.043302848,0.048448042,0.048448042
Australia,1985,0.05779829,0.043635627,0.048892244,0.048892244
Australia,1986,0.058140982,0.043969375,0.049308292,0.049308292
Australia,1987,0.058487554,0.04430213,0.049704932,0.049704932
Australia,1988,0.058901155,0.044653187,0.050123364,0.050123364
Australia,1989,0.059359512,0.045027132,0.050595892,0.050595892
Australia,1990,0.05986416,0.045400999,0.051118573,0.051118573
Australia,1991,0.06043976,0.045791953,0.051713442,0.051713442
Australia,1992,0.06107224,0.046190945,0.052366795,0.052366795
Australia,1993,0.061782514,0.046636963,0.053118384,0.053118384
Australia,1994,0.062560046,0.047118212,0.053952389,0.053952389
Australia,1995,0.063380834,0.047612383,0.054840766,0.054840766
Australia,1996,0.064192224,0.048109332,0.055771738,0.055771738
Australia,1997,0.064957153,0.048581431,0.056712775,0.056712775
Australia,1998,0.065668212,0.049016961,0.057640704,0.057640704
Australia,1999,0.066315843,0.049416883,0.0585435,0.0585435
Australia,2000,0.066866287,0.04976913,0.059397131,0.059397131
Australia,2001,0.067285481,0.050035083,0.060160882,0.060160882
Australia,2002,0.067656023,0.050238728,0.060856048,0.060856048
Australia,2003,0.067935515,0.0503704,0.061448379,0.061448379
Australia,2004,0.068131801,0.050436178,0.06191655,0.06191655
Australia,2005,0.068207418,0.0504063,0.062209365,0.062209365
Australia,2006,0.068215195,0.050340142,0.062381303,0.062381303
Australia,2007,0.068214155,0.050254207,0.062467719,0.062467719
Australia,2008,0.068192033,0.050181833,0.062553064,0.062553064
Australia,2009,0.068136192,0.050116893,0.062691043,0.062691043
Australia,2010,0.068052801,0.050057408,0.062918918,0.062918918
Australia,2011,0.067950232,0.050006637,0.063251595,0.063251595
Australia,2012,0.067884043,0.049967604,0.063675049,0.063675049
Australia,2013,0.067859691,0.049962907,0.064191121,0.064191121
Australia,2014,0.067891865,0.049997449,0.064767592,0.064767592
Austria,1980,0.041234264,0.037113604,0.052365575,0.052365575
Austria,1981,0.041498753,0.036794112,0.051881049,0.051881049
Austria,1982,0.041788343,0.036494597,0.051393894,0.051393894
Austria,1983,0.04212669,0.036242006,0.050954766,0.050954766
Austria,1984,0.042505058,0.03603599,0.05058553,0.05058553
Austria,1985,0.042964072,0.035895853,0.050325238,0.050325238
Austria,1986,0.04343001,0.03576849,0.050119595,0.050119595
Austria,1987,0.043925301,0.03566723,0.049981082,0.049981082
Austria,1988,0.044420395,0.035583237,0.049883818,0.049883818
Austria,1989,0.044919566,0.035516188,0.049805352,0.049805352
Austria,1990,0.045421971,0.035453538,0.049717253,0.049717253
Austria,1991,0.045933378,0.035388953,0.04960364,0.04960364
Austria,1992,0.046435647,0.035311012,0.049461572,0.049461572
Austria,1993,0.046894477,0.035217234,0.049315517,0.049315517
Austria,1994,0.047401254,0.035144609,0.049246084,0.049246084
Austria,1995,0.047969271,0.035109416,0.049296886,0.049296886
Austria,1996,0.048635297,0.03512755,0.049499413,0.049499413
Austria,1997,0.049328086,0.035148818,0.049780648,0.049780648
Austria,1998,0.050082437,0.035211068,0.05015176,0.05015176
Austria,1999,0.050796074,0.03526119,0.050498253,0.050498253
Austria,2000,0.051433408,0.035291236,0.050773972,0.050773972
Austria,2001,0.051982381,0.035283363,0.05094176,0.05094176
Austria,2002,0.052484096,0.035246029,0.051025659,0.051025659
Austria,2003,0.052878578,0.035146202,0.05101055,0.05101055
Austria,2004,0.053153031,0.03497924,0.050929604,0.050929604
Austria,2005,0.053353753,0.03476658,0.050835635,0.050835635
Austria,2006,0.053475002,0.034501582,0.050726699,0.050726699
Austria,2007,0.053559141,0.034201161,0.050612564,0.050612564
Austria,2008,0.053557528,0.03386898,0.050484748,0.050484748
Austria,2009,0.053527757,0.033511722,0.050331354,0.050331354
Austria,2010,0.053568097,0.033183384,0.050206278,0.050206278
Austria,2011,0.053681688,0.032877873,0.050098777,0.050098777
Austria,2012,0.053794311,0.032598783,0.050019637,0.050019637
Austria,2013,0.053939754,0.032357428,0.049991224,0.049991224
Austria,2014,0.054147456,0.032164117,0.050037759,0.050037759
Azerbaijan,1980,0.05461506,0.061985706,0.055710794,0.055710794
Azerbaijan,1981,0.05533853,0.062847566,0.056134509,0.056134509
Azerbaijan,1982,0.056137103,0.06379985,0.056764631,0.056764631
Azerbaijan,1983,0.056984029,0.064819423,0.057525326,0.057525326
Azerbaijan,1984,0.057890268,0.065904616,0.058340594,0.058340594
Azerbaijan,1985,0.058889818,0.067046691,0.059154588,0.059154588
Azerbaijan,1986,0.059915433,0.068213029,0.059923655,0.059923655
Azerbaijan,1987,0.061007329,0.069424094,0.060687513,0.060687513
Azerbaijan,1988,0.062154301,0.070687126,0.061486445,0.061486445
Azerbaijan,1989,0.063259054,0.071877897,0.062260553,0.062260553
Azerbaijan,1990,0.064327454,0.073040604,0.063084263,0.063084263
Azerbaijan,1991,0.06545222,0.074292725,0.064067681,0.064067681
Azerbaijan,1992,0.066412523,0.075304703,0.064905595,0.064905595
Azerbaijan,1993,0.067216334,0.076156928,0.065654931,0.065654931
Azerbaijan,1994,0.06786472,0.076905059,0.066343226,0.066343226
Azerbaijan,1995,0.068458397,0.077667681,0.067059446,0.067059446
Azerbaijan,1996,0.069159497,0.078624498,0.067964458,0.067964458
Azerbaijan,1997,0.070098853,0.079884533,0.06915917,0.06915917
Azerbaijan,1998,0.071281313,0.081433192,0.070623661,0.070623661
Azerbaijan,1999,0.072649078,0.083213461,0.072299237,0.072299237
Azerbaijan,2000,0.0742268,0.08524007,0.074197829,0.074197829
Azerbaijan,2001,0.076012372,0.087489687,0.076309795,0.076309795
Azerbaijan,2002,0.078037066,0.089998231,0.078684618,0.078684618
Azerbaijan,2003,0.080295689,0.092711907,0.081289854,0.081289854
Azerbaijan,2004,0.082808615,0.095642552,0.084151423,0.084151423
Azerbaijan,2005,0.085596466,0.09880388,0.087300053,0.087300053
Azerbaijan,2006,0.088671694,0.102212366,0.090752883,0.090752883
Azerbaijan,2007,0.091946574,0.105724702,0.09439821,0.09439821
Azerbaijan,2008,0.09530653,0.109286975,0.098242424,0.098242424
Azerbaijan,2009,0.098753838,0.112885475,0.102346335,0.102346335
Azerbaijan,2010,0.102201162,0.116423465,0.10666877,0.10666877
Azerbaijan,2011,0.105568232,0.119866011,0.111190404,0.111190404
Azerbaijan,2012,0.108913215,0.123321405,0.115996367,0.115996367
Azerbaijan,2013,0.112312813,0.126788475,0.121059763,0.121059763
Azerbaijan,2014,0.11572171,0.130270691,0.126342799,0.126342799
Bahamas,1980,0.062597389,0.080292219,0.0622111,0.0622111
Bahamas,1981,0.063870065,0.081617439,0.063053673,0.063053673
Bahamas,1982,0.065271343,0.083022436,0.064057489,0.064057489
Bahamas,1983,0.066764695,0.084483189,0.065217225,0.065217225
Bahamas,1984,0.068401728,0.086076678,0.066568548,0.066568548
Bahamas,1985,0.070120258,0.087702379,0.068042286,0.068042286
Bahamas,1986,0.071810916,0.089265467,0.069552749,0.069552749
Bahamas,1987,0.07344947,0.090726427,0.071074948,0.071074948
Bahamas,1988,0.075081179,0.092163389,0.072670867,0.072670867
Bahamas,1989,0.076715254,0.093632736,0.074380868,0.074380868
Bahamas,1990,0.078355228,0.095148211,0.076205185,0.076205185
Bahamas,1991,0.079916841,0.096629853,0.07808178,0.07808178
Bahamas,1992,0.081400497,0.098100896,0.08002985,0.08002985
Bahamas,1993,0.082876882,0.099636803,0.082122288,0.082122288
