Entity,Year,Death rates from ambient PM in 1990 (IHME),Death rates from ambient PM in 2016 (IHME)
Nepal,2018,135.6434956,121.6702596
Netherlands,2018,43.17299192,20.42543728
New Zealand,2018,22.41520542,7.913488604
Nicaragua,2018,38.63482179,26.61896717
Niger,2018,192.2312126,157.8745404
Nigeria,2018,126.2913683,93.49417518
North Africa and Middle East,2018,98.21871163,77.38128938
North America,2018,34.46463351,18.26864441
North Korea,2018,91.34273325,103.0291461
Northern Ireland,2018,49.76183216,19.60847813
Northern Mariana Islands,2018,37.74505044,29.31509729
Norway,2018,33.61804276,12.03459839
Oceania,2018,78.31498639,63.03013517
Oman,2018,104.5605332,71.70748987
Pakistan,2018,124.7072641,125.9846838
Palestine,2018,77.63121197,86.10291685
Panama,2018,36.43327409,19.66127453
Papua New Guinea,2018,117.2514894,93.49113781
Paraguay,2018,48.61284951,43.75490591
Peru,2018,61.25575278,31.82423345
Philippines,2018,86.76914911,87.35301803
Poland,2018,108.7802833,42.41187777
Portugal,2018,34.93454717,15.53000521
Puerto Rico,2018,40.20854641,24.98201266
Qatar,2018,85.94514205,51.66980346
Romania,2018,104.064377,51.06580925
Russia,2018,83.65351128,60.68925284
Rwanda,2018,139.3954572,72.95043462
Saint Lucia,2018,47.80734955,24.6350654
Saint Vincent and the Grenadines,2018,52.89803845,41.70701983
Samoa,2018,14.30955244,8.1777284
Sao Tome and Principe,2018,64.3794169,52.93557999
Saudi Arabia,2018,96.19615867,94.26219403
Scotland,2018,55.69390667,21.92437756
Senegal,2018,101.613802,104.9140594
Serbia,2018,67.31545595,41.78599135
Seychelles,2018,63.3037735,35.0799937
Sierra Leone,2018,99.28821097,108.7198298
Singapore,2018,60.11931037,27.09828478
Slovakia,2018,110.3373174,46.84756484
Slovenia,2018,57.77007933,22.04134588
Solomon Islands,2018,49.72924032,53.5108486
Somalia,2018,101.4851883,88.46626366
South Africa,2018,68.16946692,61.00792511
South Asia,2018,146.8402739,123.3454126
South Korea,2018,63.67237436,24.48580295
South Sudan,2018,99.59369042,90.9391687
Southeast Asia,2018,68.22756062,53.45484634
Southern Latin America,2018,48.97039557,28.5855408
Southern Sub-Saharan Africa,2018,68.35739283,63.49172529
Spain,2018,25.96391879,12.24874221
Sri Lanka,2018,61.24720113,37.55750971
Sub-Saharan Africa,2018,105.2674854,86.42015617
Sudan,2018,143.8082033,111.1771176
Suriname,2018,61.89477667,45.7465247
Swaziland,2018,88.19178032,74.33866813
Sweden,2018,20.78534124,6.80110337
Switzerland,2018,30.42280628,12.36329782
Syria,2018,94.03183521,75.94435372
Taiwan,2018,51.29237662,31.00313627
Tajikistan,2018,164.3785385,112.6441252
Tanzania,2018,78.18271046,59.93560335
Thailand,2018,51.38316006,33.58695687
Timor,2018,77.15663475,44.51921716
Togo,2018,123.1179678,130.7816228
Tonga,2018,17.0373542,7.667323577
Trinidad and Tobago,2018,65.50114673,35.65552297
Tropical Latin America,2018,59.67275272,28.79206862
Tunisia,2018,78.33201854,51.84214717
Turkey,2018,69.57471947,40.69925555
Turkmenistan,2018,146.6271995,99.74853998
Uganda,2018,136.2699345,97.63427609
Ukraine,2018,103.5561055,73.87217034
United Arab Emirates,2018,104.3539362,93.69906773
United Kingdom,2018,49.75296173,19.85599269
United States,2018,35.62595603,19.11303878
United States Virgin Islands,2018,46.94182564,36.44639918
Uruguay,2018,42.64252293,22.8690277
Uzbekistan,2018,121.8174444,107.9467438
Vanuatu,2018,71.32014509,57.22467198
Venezuela,2018,61.95598735,38.98052269
Vietnam,2018,68.28759552,51.03543849
Wales,2018,47.20698017,20.26607225
Western Europe,2018,38.57833338,16.70106526
Western Sub-Saharan Africa,2018,123.1017167,108.3165162
World,2018,90.91815437,62.45931411
Yemen,2018,158.3441401,127.4350931
Zambia,2018,90.12215448,84.31666837
Zimbabwe,2018,64.93822571,72.6267061
