Entity,Year,Public expenditure on health %GDP (OWID extrapolated series)
Australia,2011,6.31537828
Australia,2012,6.28563327
Australia,2013,6.27491714
Australia,2014,6.31659265
Austria,1880,0
Austria,1890,0
Austria,1900,0
Austria,1910,0
Austria,1920,0
Austria,1930,0
Austria,1960,2.798114289
Austria,1961,2.824539462
Austria,1962,2.870450488
Austria,1963,2.949351367
Austria,1964,2.894765424
Austria,1965,3.014034174
Austria,1966,3.055199441
Austria,1967,3.287638795
Austria,1968,3.178892384
Austria,1969,3.374168343
Austria,1970,3.128458227
Austria,1971,3.104815615
Austria,1972,3.091987113
Austria,1973,3.156129625
Austria,1974,3.422135511
Austria,1975,4.69109703
Austria,1976,4.873982704
Austria,1977,4.855217043
Austria,1978,5.023259821
Austria,1979,4.899321646
Austria,1980,5.016580518
Austria,1981,4.744743495
Austria,1982,4.704773698
Austria,1983,4.6114755
Austria,1984,4.616882554
Austria,1985,4.762979052
Austria,1986,4.851824381
Austria,1987,5.078708637
Austria,1988,5.041177316
Austria,1989,5.010749381
Austria,1990,6.100747992
Austria,1991,6.155030581
Austria,1992,6.428033832
Austria,1993,6.872896605
Austria,1994,7.256691467
Austria,1995,7.13710014
Austria,1996,7.09625698
Austria,1997,7.35672859
Austria,1998,7.47871954
Austria,1999,7.64825179
Austria,2000,7.53636652
Austria,2001,7.50331423
Austria,2002,7.60650834
Austria,2003,7.73647976
Austria,2004,7.79133646
Austria,2005,7.83141883
Austria,2006,7.73793279
Austria,2007,7.77580259
Austria,2008,7.99585689
Austria,2009,8.46612961
Austria,2010,8.40000694
Austria,2011,8.21367472
Austria,2012,8.41718956
Austria,2013,8.37061344
Austria,2014,8.72502572
Azerbaijan,1995,1.39175258
Azerbaijan,1996,1.48554702
Azerbaijan,1997,1.22862571
Azerbaijan,1998,0.90380703
Azerbaijan,1999,0.98543046
Azerbaijan,2000,0.86689275
Azerbaijan,2001,0.84650113
Azerbaijan,2002,0.79181788
Azerbaijan,2003,0.82967797
Azerbaijan,2004,1.02867004
Azerbaijan,2005,0.88090538
Azerbaijan,2006,0.86418436
Azerbaijan,2007,0.98025388
Azerbaijan,2008,0.82467549
Azerbaijan,2009,1.33896972
Azerbaijan,2010,1.16802072
Azerbaijan,2011,1.08098767
Azerbaijan,2012,1.2105966
Azerbaijan,2013,1.15018391
Azerbaijan,2014,1.23096748
Bahamas,1995,2.72965879
Bahamas,1996,2.7736215
Bahamas,1997,2.35729076
Bahamas,1998,2.53950482
Bahamas,1999,2.46781879
Bahamas,2000,2.50254759
Bahamas,2001,2.46689596
Bahamas,2002,2.51066543
Bahamas,2003,2.64788612
Bahamas,2004,2.88043563
Bahamas,2005,2.64218965
Bahamas,2006,3.2726021
Bahamas,2007,3.18150171
Bahamas,2008,3.35487744
Bahamas,2009,3.52652415
Bahamas,2010,3.4608155
Bahamas,2011,3.57505624
Bahamas,2012,3.29824927
Bahamas,2013,3.07695572
Bahamas,2014,3.5506727
Bahrain,1995,2.8185465
Bahrain,1996,2.7515132
Bahrain,1997,3.04772175
Bahrain,1998,2.88132077
Bahrain,1999,2.83872771
Bahrain,2000,2.36241776
Bahrain,2001,2.53287851
Bahrain,2002,2.5843232
Bahrain,2003,2.50112365
Bahrain,2004,2.26780958
Bahrain,2005,2.15652224
Bahrain,2006,2.12525065
Bahrain,2007,2.18456725
Bahrain,2008,2.31305804
Bahrain,2009,2.74844438
Bahrain,2010,2.59337939
Bahrain,2011,2.38353276
Bahrain,2012,2.76266224
Bahrain,2013,3.01599439
Bahrain,2014,3.1505003
Bangladesh,1995,1.19980525
Bangladesh,1996,1.03128412
Bangladesh,1997,0.96812477
Bangladesh,1998,0.9353351
Bangladesh,1999,0.93516015
Bangladesh,2000,0.94671241
Bangladesh,2001,1.02492646
Bangladesh,2002,1.06780983
Bangladesh,2003,0.97554807
Bangladesh,2004,1.04206719
Bangladesh,2005,0.96680014
Bangladesh,2006,1.03883019
Bangladesh,2007,0.9876837
Bangladesh,2008,0.95375247
Bangladesh,2009,0.99109963
Bangladesh,2010,1.05017299
Bangladesh,2011,1.0410901
Bangladesh,2012,0.98448372
Bangladesh,2013,0.81032396
Bangladesh,2014,0.78653251
Barbados,1995,3.54170788
Barbados,1996,3.46173985
Barbados,1997,3.3299528
Barbados,1998,3.18941779
Barbados,1999,3.27784289
Barbados,2000,3.39205001
Barbados,2001,3.69664401
Barbados,2002,3.96299039
Barbados,2003,3.84327811
Barbados,2004,3.71807147
Barbados,2005,3.463279
Barbados,2006,3.41584581
Barbados,2007,3.75830091
Barbados,2008,4.05631234
Barbados,2009,4.14496178
Barbados,2010,4.00992875
Barbados,2011,4.15598992
Barbados,2012,4.84151341
Barbados,2013,4.89989427
Barbados,2014,4.74463222
Belarus,1995,4.79395073
Belarus,1996,4.69664667
Belarus,1997,5.42728239
Belarus,1998,4.58891907
Belarus,1999,4.71580207
Belarus,2000,4.6264546
Belarus,2001,4.73993535
Belarus,2002,4.56054873
Belarus,2003,4.86575549
Belarus,2004,4.922951
Belarus,2005,5.02273829
Belarus,2006,4.45040013
Belarus,2007,4.45142433
Belarus,2008,3.87157645
Belarus,2009,3.8954424
Belarus,2010,4.31480555
Belarus,2011,3.47255765
Belarus,2012,3.8657579
Belarus,2013,4.02229117
Belarus,2014,3.74175525
Belgium,1880,0.06
Belgium,1890,0.11
Belgium,1900,0.12
Belgium,1910,0.18
Belgium,1920,0.21
Belgium,1930,0.09
Belgium,1960,1.723243358
Belgium,1961,1.750648331
Belgium,1962,1.771412155
Belgium,1963,1.898421182
Belgium,1964,1.744204914
Belgium,1965,2.413937762
Belgium,1966,2.462850584
Belgium,1967,2.4151205
Belgium,1968,2.606578553
Belgium,1969,2.787222034
Belgium,1970,2.885968728
Belgium,1971,2.920754328
Belgium,1972,3.050510355
Belgium,1973,3.152509964
Belgium,1974,3.162255787
Belgium,1975,3.821673526
Belgium,1976,4.009076826
Belgium,1977,4.51228233
Belgium,1978,4.631608415
Belgium,1979,4.630029183
Belgium,1980,4.504335043
Belgium,1981,4.754301717
Belgium,1982,5.162206532
Belgium,1983,5.059358951
Belgium,1984,5.010902309
Belgium,1985,4.947602146
Belgium,1986,4.893200253
Belgium,1987,5.180491295
Belgium,1988,5.560854329
Belgium,1989,5.492937946
Belgium,1990,5.517905114
Belgium,1991,5.698183734
Belgium,1992,5.734589977
Belgium,1993,5.771228822
Belgium,1994,5.569308073
Belgium,1995,5.84532071
Belgium,1996,6.18403772
Belgium,1997,5.85345812
Belgium,1998,5.89943823
Belgium,1999,6.0236021
Belgium,2000,6.05837422
Belgium,2001,6.25281463
Belgium,2002,6.24450897
Belgium,2003,6.91809655
Belgium,2004,7.1278571
Belgium,2005,7.11274823
Belgium,2006,6.96237046
Belgium,2007,6.95293677
Belgium,2008,7.39675444
Belgium,2009,8.04382236
Belgium,2010,7.89670273
Belgium,2011,8.00673738
Belgium,2012,8.18629897
Belgium,2013,8.22671911
Belgium,2014,8.24998947
Belize,1995,2.6323652
Belize,1996,2.04804097
Belize,1997,2.26361098
Belize,1998,2.1556966
Belize,1999,2.03548992
Belize,2000,2.09169732
Belize,2001,2.58942255
Belize,2002,2.45654179
Belize,2003,2.58939431
Belize,2004,2.50717175
Belize,2005,2.6479511
Belize,2006,2.66925097
Belize,2007,3.02231292
Belize,2008,3.29067459
Belize,2009,3.86242716
Belize,2010,3.85838187
Belize,2011,3.72560429
Belize,2012,3.57774343
Belize,2013,3.77713074
Belize,2014,3.87965784
Benin,1995,2.11172973
Benin,1996,2.03155092
Benin,1997,1.81442279
Benin,1998,1.9397959
Benin,1999,2.10991231
Benin,2000,1.91752678
Benin,2001,2.30826364
Benin,2002,1.88867041
Benin,2003,2.21126653
Benin,2004,2.17523279
Benin,2005,2.35247989
Benin,2006,2.38575093
Benin,2007,2.30708561
Benin,2008,2.13769673
Benin,2009,2.32862408
Benin,2010,2.68857036
Benin,2011,2.92900976
Benin,2012,2.15409384
Benin,2013,2.21545648
Benin,2014,2.25119628
Bhutan,1995,2.65567122
Bhutan,1996,4.92248937
Bhutan,1997,5.58971585
Bhutan,1998,5.42076096
Bhutan,1999,5.06048599
Bhutan,2000,5.32505165
Bhutan,2001,4.8498938
Bhutan,2002,6.60698513
Bhutan,2003,3.74901945
Bhutan,2004,3.19355461
Bhutan,2005,4.16637576
Bhutan,2006,4.29057998
Bhutan,2007,5.11889393
Bhutan,2008,5.56240867
Bhutan,2009,4.89129547
Bhutan,2010,4.54479496
Bhutan,2011,4.14289346
Bhutan,2012,2.70086093
Bhutan,2013,2.80482477
Bhutan,2014,2.61503965
Bolivia,1995,2.11221519
Bolivia,1996,2.97822552
Bolivia,1997,2.66726091
Bolivia,1998,3.12244206
Bolivia,1999,3.6028609
Bolivia,2000,3.24534362
Bolivia,2001,3.74416761
Bolivia,2002,4.10180746
Bolivia,2003,3.49627892
Bolivia,2004,3.49227642
Bolivia,2005,3.86074079
Bolivia,2006,3.52134079
Bolivia,2007,3.40882778
Bolivia,2008,3.40684324
Bolivia,2009,3.94822627
Bolivia,2010,3.66299673
Bolivia,2011,3.75214169
Bolivia,2012,3.77236617
Bolivia,2013,4.23834918
Bolivia,2014,4.56537754
Bosnia and Herzegovina,1995,3.35045316
Bosnia and Herzegovina,1996,4.80289001
Bosnia and Herzegovina,1997,3.49992557
Bosnia and Herzegovina,1998,3.32954725
Bosnia and Herzegovina,1999,4.73075263
Bosnia and Herzegovina,2000,4.03209571
Bosnia and Herzegovina,2001,4.31250573
Bosnia and Herzegovina,2002,4.42254649
Bosnia and Herzegovina,2003,5.47854787
Bosnia and Herzegovina,2004,5.17327217
Bosnia and Herzegovina,2005,4.86592866
Bosnia and Herzegovina,2006,4.97996984
Bosnia and Herzegovina,2007,5.33422194
Bosnia and Herzegovina,2008,5.81286056
Bosnia and Herzegovina,2009,6.80355125
Bosnia and Herzegovina,2010,6.78892133
Bosnia and Herzegovina,2011,6.92300649
Bosnia and Herzegovina,2012,7.08021227
Bosnia and Herzegovina,2013,6.62977228
Bosnia and Herzegovina,2014,6.81307708
Botswana,1995,2.12687352
Botswana,1996,2.12312444
Botswana,1997,2.42973182
Botswana,1998,2.17925768
Botswana,1999,2.16356984
Botswana,2000,2.89985242
Botswana,2001,4.14645724
Botswana,2002,4.89468985
Botswana,2003,2.9697964
Botswana,2004,3.88809592
Botswana,2005,4.09047919
Botswana,2006,3.47911415
Botswana,2007,3.31571188
Botswana,2008,3.92832193
Botswana,2009,4.49453723
Botswana,2010,3.54446178
Botswana,2011,3.23601695
Botswana,2012,3.95538221
Botswana,2013,3.50694528
Botswana,2014,3.19388446
Brazil,1995,2.8005584
Brazil,1996,2.70045008
Brazil,1997,2.87441494
Brazil,1998,2.79699001
Brazil,1999,2.95257503
Brazil,2000,2.83247185
Brazil,2001,3.04095892
Brazil,2002,3.1829923
Brazil,2003,3.08032817
Brazil,2004,3.32367559
Brazil,2005,3.43190885
Brazil,2006,3.49265209
Brazil,2007,3.45514823
Brazil,2008,3.61158219
Brazil,2009,3.84135565
Brazil,2010,3.78613962
Brazil,2011,3.65400199
Brazil,2012,3.66135204
Brazil,2013,3.82730701
Brazil,2014,3.83175989
Brunei,1995,2.29403875
Brunei,1996,3.01649799
Brunei,1997,3.01723691
Brunei,1998,3.71791089
Brunei,1999,3.18394048
Brunei,2000,2.59858883
Brunei,2001,2.57678127
Brunei,2002,2.56738541
Brunei,2003,2.59353869
Brunei,2004,2.52226659
Brunei,2005,2.21589715
Brunei,2006,1.92907794
Brunei,2007,2.03867096
Brunei,2008,2.01577451
Brunei,2009,2.59195169
Brunei,2010,2.52002444
Brunei,2011,2.06675797
Brunei,2012,2.11253245
Brunei,2013,2.4074809
Brunei,2014,2.48556787
Bulgaria,1995,3.51552347
Bulgaria,1996,3.18254101
Bulgaria,1997,3.39799999
Bulgaria,1998,3.2624901
Bulgaria,1999,3.88388663
Bulgaria,2000,3.69827419
Bulgaria,2001,4.22438928
Bulgaria,2002,4.5367918
Bulgaria,2003,4.61796296
Bulgaria,2004,4.30515357
Bulgaria,2005,4.31297146
Bulgaria,2006,3.80081285
Bulgaria,2007,3.73070586
Bulgaria,2008,3.87031636
Bulgaria,2009,3.75184985
Bulgaria,2010,4.0342301
Bulgaria,2011,3.75965585
Bulgaria,2012,3.9998185
Bulgaria,2013,4.12286174
Bulgaria,2014,4.60763146
Burkina Faso,1995,1.86586196
Burkina Faso,1996,1.93378722
Burkina Faso,1997,2.06788697
Burkina Faso,1998,2.06132668
Burkina Faso,1999,2.19144361
Burkina Faso,2000,2.01691535
Burkina Faso,2001,1.83244888
Burkina Faso,2002,2.25668653
Burkina Faso,2003,2.60425299
Burkina Faso,2004,3.46438445
Burkina Faso,2005,4.09177599
Burkina Faso,2006,3.74106496
Burkina Faso,2007,3.99572174
Burkina Faso,2008,3.99697397
Burkina Faso,2009,3.65837932
Burkina Faso,2010,3.97117977
Burkina Faso,2011,2.95514785
Burkina Faso,2012,2.98036859
Burkina Faso,2013,3.48939536
Burkina Faso,2014,2.59397374
Burundi,1995,1.34643228
Burundi,1996,1.49410342
Burundi,1997,1.13084362
Burundi,1998,1.2478422
Burundi,1999,1.23848573
Burundi,2000,1.40436446
Burundi,2001,1.63448591
Burundi,2002,1.55512254
Burundi,2003,1.34518824
Burundi,2004,2.5449521
Burundi,2005,2.93779643
Burundi,2006,3.52882934
Burundi,2007,3.7804362
Burundi,2008,3.35531171
Burundi,2009,3.09304018
Burundi,2010,5.49965674
Burundi,2011,5.4018773
Burundi,2012,4.93086533
Burundi,2013,4.39665305
Burundi,2014,3.97372756
Cambodia,1995,1.1239033
Cambodia,1996,2.64277238
Cambodia,1997,2.05571853
Cambodia,1998,1.35677557
Cambodia,1999,1.18493445
Cambodia,2000,1.34014962
Cambodia,2001,1.30376831
Cambodia,2002,1.52043928
Cambodia,2003,2.41616427
Cambodia,2004,2.39232412
Cambodia,2005,1.61821874
Cambodia,2006,1.23528857
Cambodia,2007,1.32177086
Cambodia,2008,1.11133123
Cambodia,2009,1.31246853
Cambodia,2010,1.440775
Cambodia,2011,1.33985553
Cambodia,2012,1.5033407
Cambodia,2013,1.39758471
Cambodia,2014,1.25104201
Cameroon,1995,0.90026871
Cameroon,1996,0.89336828
Cameroon,1997,0.978966
Cameroon,1998,0.78462961
Cameroon,1999,0.83373482
Cameroon,2000,0.93262919
Cameroon,2001,1.12919928
Cameroon,2002,1.2903832
Cameroon,2003,1.33172801
Cameroon,2004,1.12963812
Cameroon,2005,1.12007918
Cameroon,2006,1.07609231
Cameroon,2007,1.06577621
Cameroon,2008,1.04928733
Cameroon,2009,1.28313286
Cameroon,2010,1.50760228
Cameroon,2011,1.33144716
Cameroon,2012,1.0667471
Cameroon,2013,1.01246967
Cameroon,2014,0.93863369
Canada,1880,0
Canada,1890,0
Canada,1900,0
Canada,1910,0
Canada,1920,0.01
Canada,1930,0.02
Canada,1960,2.185592935
Canada,1965,2.914027246
Canada,1970,4.645842237
Canada,1971,5.050904369
Canada,1972,5.033125718
Canada,1973,4.794933381
Canada,1974,4.788175414
Canada,1975,5.200619325
Canada,1976,5.290656236
Canada,1977,5.246365562
Canada,1978,5.198020107
Canada,1979,5.065356021
Canada,1980,5.21403129
Canada,1981,5.390466207
Canada,1982,6.006168965
Canada,1983,6.139976707
Canada,1984,5.998787186
Canada,1985,5.962086228
Canada,1986,6.111177372
Canada,1987,6.058881106
Canada,1988,6.032161145
Canada,1989,6.179588789
Canada,1990,6.481409982
Canada,1991,7.015393326
Canada,1992,7.163444783
Canada,1993,6.937520755
Canada,1994,6.586730295
Canada,1995,6.3135005
Canada,1996,6.11241905
Canada,1997,6.03311182
Canada,1998,6.22897076
Canada,1999,6.10769833
Canada,2000,6.09842676
Canada,2001,6.36490468
Canada,2002,6.51430574
Canada,2003,6.69424365
Canada,2004,6.71990199
Canada,2005,6.72355953
Canada,2006,6.78840782
Canada,2007,6.89350136
Canada,2008,7.06345385
Canada,2009,7.91415821
Canada,2010,7.88439634
Canada,2011,7.6767925
Canada,2012,7.65114455
Canada,2013,7.57566493
Canada,2014,7.41193189
Cape Verde,1995,4.25239975
Cape Verde,1996,3.94019349
Cape Verde,1997,3.86283724
Cape Verde,1998,3.92627046
Cape Verde,1999,3.42465616
Cape Verde,2000,3.52493312
Cape Verde,2001,3.91353568
Cape Verde,2002,3.89312052
Cape Verde,2003,3.74687164
Cape Verde,2004,3.78935255
Cape Verde,2005,3.64999052
Cape Verde,2006,3.9626803
Cape Verde,2007,3.38633646
Cape Verde,2008,3.03734974
Cape Verde,2009,3.23926532
Cape Verde,2010,3.43176685
Cape Verde,2011,3.33576026
Cape Verde,2012,3.33864148
Cape Verde,2013,3.12043988
Cape Verde,2014,3.55722675
Central African Republic,1995,1.36397459
Central African Republic,1996,2.02337192
Central African Republic,1997,1.2161839
Central African Republic,1998,1.41709936
Central African Republic,1999,1.87171829
Central African Republic,2000,2.10214684
Central African Republic,2001,1.86388921
Central African Republic,2002,2.06225195
Central African Republic,2003,2.07681191
Central African Republic,2004,1.84511524
Central African Republic,2005,2.11468994
Central African Republic,2006,1.92399024
Central African Republic,2007,2.03672245
Central African Republic,2008,2.29050896
Central African Republic,2009,1.49716213
Central African Republic,2010,1.97714643
Central African Republic,2011,1.84022614
Central African Republic,2012,1.76802987
Central African Republic,2013,1.91335923
Central African Republic,2014,2.05694298
Chad,1995,2.01137525
Chad,1996,1.96091376
Chad,1997,1.96358875
Chad,1998,1.65939701
Chad,1999,1.98984155
Chad,2000,2.66748418
Chad,2001,2.39648243
Chad,2002,2.69186399
Chad,2003,2.26832029
Chad,2004,2.29935515
Chad,2005,1.55797137
Chad,2006,1.1289788
Chad,2007,1.25025122
Chad,2008,0.99660419
Chad,2009,1.23152279
Chad,2010,1.18513717
Chad,2011,1.53487457
Chad,2012,1.42193941
Chad,2013,1.77469232
Chad,2014,1.97895016
Chile,1995,2.48303437
Chile,1996,2.6675795
Chile,1997,2.72289626
Chile,1998,2.99927986
Chile,1999,3.18878332
Chile,2000,3.33206176
Chile,2001,3.48454216
Chile,2002,3.52989088
Chile,2003,2.68754976
Chile,2004,2.63814344
Chile,2005,2.53629152
Chile,2006,2.51761735
Chile,2007,2.65565626
Chile,2008,2.94258872
Chile,2009,3.46810215
Chile,2010,3.29492563
Chile,2011,3.33263924
Chile,2012,3.47616472
Chile,2013,3.63282145
Chile,2014,3.85130942
China,1995,1.78038195
China,1996,1.76371613
China,1997,1.78065656
China,1998,1.81207535
China,1999,1.83494224
China,2000,1.75984347
China,2001,1.62128422
China,2002,1.71467224
China,2003,1.74652999
China,2004,1.79342984
China,2005,1.80592031
China,2006,1.83853832
China,2007,2.0265921
China,2008,2.29212345
China,2009,2.66448263
China,2010,2.6538201
China,2011,2.81065265
China,2012,2.94581376
China,2013,3.00560141
China,2014,3.09517428
Colombia,1995,3.72056981
Colombia,1996,5.0676066
Colombia,1997,5.59391405
Colombia,1998,6.1034391
Colombia,1999,6.45925159
Colombia,2000,4.68382687
Colombia,2001,4.69052384
Colombia,2002,4.54973606
Colombia,2003,4.89927743
Colombia,2004,4.08286676
Colombia,2005,4.31601708
Colombia,2006,4.53504231
Colombia,2007,4.53952652
Colombia,2008,4.69800725
Colombia,2009,5.14827378
Colombia,2010,4.97565294
Colombia,2011,5.0161647
Colombia,2012,5.27751219
Colombia,2013,5.21891836
Colombia,2014,5.40994315
Comoros,1995,2.8797862
Comoros,1996,2.7139497
Comoros,1997,2.58492558
Comoros,1998,2.18503615
Comoros,1999,1.96442665
Comoros,2000,1.5227231
Comoros,2001,1.09467534
Comoros,2002,1.6697581
Comoros,2003,1.81547484
Comoros,2004,2.01043845
Comoros,2005,2.27405185
Comoros,2006,2.50715151
Comoros,2007,2.80299141
Comoros,2008,3.09453206
Comoros,2009,1.72121212
Comoros,2010,1.4544089
Comoros,2011,1.65675934
Comoros,2012,2.64660402
Comoros,2013,2.00319324
Comoros,2014,2.21732035
Congo,1995,1.87594234
Congo,1996,1.72161155
Congo,1997,1.91183632
Congo,1998,2.21840185
Congo,1999,1.75276488
Congo,2000,1.22259206
Congo,2001,1.33453249
Congo,2002,1.28795915
Congo,2003,1.30017916
Congo,2004,1.3696751
Congo,2005,1.43460851
Congo,2006,1.49403276
Congo,2007,1.54576413
Congo,2008,1.23859287
Congo,2009,1.14114182
Congo,2010,1.38657897
Congo,2011,1.97737526
Congo,2012,3.14942137
Congo,2013,4.05731117
Congo,2014,4.21192085
Cook Islands,1995,4.79160441
Cook Islands,1996,4.43790073
Cook Islands,1997,3.71016185
Cook Islands,1998,3.92048379
Cook Islands,1999,3.27310222
Cook Islands,2000,3.14830738
Cook Islands,2001,4.29492148
Cook Islands,2002,3.31448785
Cook Islands,2003,2.85644307
Cook Islands,2004,3.6818848
Cook Islands,2005,4.39753398
Cook Islands,2006,3.15663864
Cook Islands,2007,3.73668961
Cook Islands,2008,3.72155872
Cook Islands,2009,3.41922915
Cook Islands,2010,3.39422185
Cook Islands,2011,3.31127374
Cook Islands,2012,3.06178826
Cook Islands,2013,3.24457945
Cook Islands,2014,3.04561103
Costa Rica,1995,4.98196441
Costa Rica,1996,5.06550724
Costa Rica,1997,4.83899276
Costa Rica,1998,5.63717406
Costa Rica,1999,5.36292254
Costa Rica,2000,5.61242476
Costa Rica,2001,5.48550751
Costa Rica,2002,6.28347599
Costa Rica,2003,6.45027529
Costa Rica,2004,5.65325926
Costa Rica,2005,5.46571206
Costa Rica,2006,5.39731393
Costa Rica,2007,5.62783733
Costa Rica,2008,6.26131067
Costa Rica,2009,7.02218996
Costa Rica,2010,7.09261705
Costa Rica,2011,7.14971401
Costa Rica,2012,7.00022695
Costa Rica,2013,6.91444116
Costa Rica,2014,6.76760152
Cote d'Ivoire,1995,1.64586928
Cote d'Ivoire,1996,1.85410701
