Entity,Year,all_species_number,bau_habitat_loss_all,combined_habitat_loss_all,diets_habitat_loss_all,waste_habitat_loss_all,trade_habitat_loss_all,yields_habitat_loss_all,amphibian_species_number,bau_habitat_loss_amphibians,combined_habitat_loss_amphibians,diets_habitat_loss_amphibians,waste_habitat_loss_amphibians,trade_habitat_loss_amphibians,yields_habitat_loss_amphibians,bird_species_number,bau_habitat_loss_birds,combined_habitat_loss_birds,diets_habitat_loss_birds,waste_habitat_loss_birds,trade_habitat_loss_birds,yields_habitat_loss_birds,mammal_species_number,bau_habitat_loss_mammals,combined_habitat_loss_mammals,diets_habitat_loss_mammals,waste_habitat_loss_mammals,trade_habitat_loss_mammals,yields_habitat_loss_mammals,bau_change_cropland_km2,combined_change_cropland_km2,diets_change_cropland_km2,yields_change_cropland_km2,waste_change_cropland_km2,trade_change_cropland_km2,countries_losing_25_species,bau_change_pct,combined_change_pct,diets_change_pct,yields_change_pct,waste_change_pct,trade_change_pct,species_losing_more_25pct,species_losing_more_50pct,species_losing_more_75pct,species_losing_more_90pct,species_losing_more_25pct_yields,species_losing_more_50pct_yields,species_losing_more_75pct_yields,species_losing_more_90pct_yields,species_losing_more_25pct_combined,species_losing_more_50pct_combined,species_losing_more_75pct_combined,species_losing_more_90pct_combined
Cuba,2050,438,-6.055527703,4.60542265,2.189502569,-2.65622538,-6.238423932,-4.953013849,46,-14.4339169,8.366004993,6.092155243,-7.003669897,-14.41170149,-14.51624446,365,-4.512194525,3.732605877,1.387191409,-1.827709452,-4.725231506,-3.301510703,27,-12.64481313,9.997694292,6.386597021,-6.449775974,-12.76970051,-10.98597829,5367.51551,-6780.9587,-4508.09061,5367.5155,2800.48798,5367.51551,,28.70347182,-36.26203904,-24.10758787,28.70347177,14.97596564,28.70347182,,,,,,,,,,,,
Curacao,2050,127,-4.140325107,2.649627939,0.531580368,-2.010207622,-4.297024127,-2.552843808,2,0,0,0,0,0,0,119,-4.247283535,2.447080395,0.30666225,-2.10325969,-4.411897513,-2.610420724,6,-3.399091304,7.550030204,5.169649817,-0.834744145,-3.451043355,-2.26184958,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,2050,388,-1.641743193,4.512699046,1.087814797,0.363518771,-1.945939264,1.879605252,2,-1.248823011,2.185477178,-0.502052728,0.018512934,-1.786051494,2.139550715,358,-1.865959538,4.110041509,0.760779877,-0.030598847,-2.029591638,1.617982254,28,1.196957206,9.827193403,5.382751806,5.427237311,-0.887804466,5.206074624,106.846617,-424.749561,64.2745,-198.840722,-99.404651,196.058807,,10.85452176,-43.15020428,6.529630775,-20.20018044,-10.09849425,19.91756637,,,,,,,,,,,,
Czechia,2050,482,-0.226259209,5.955334006,3.19685202,2.013023715,-0.905105836,2.538757894,12,1.981836967,8.799340117,6.908177436,4.953424151,0.305214374,3.396019712,384,-1.187120683,4.213251929,1.481806441,0.582752143,-1.462973364,1.559498063,86,3.755992555,13.33709499,10.33687059,7.98906416,1.416955656,6.79164898,-2177.66943,-9778.33882,-8813.97141,-5128.16396,-4247.26645,-667.61616,,-10.54670387,-47.35762116,-42.68707871,-24.83628871,-20.57000061,-3.233341958,,,,,,,,,,,,
Democratic Republic of Congo,2050,1713,-12.63804997,2.008740035,-8.557455026,-9.718688642,-9.959505071,0.401853173,145,-16.63106256,1.636022217,-10.59331568,-12.90813467,-13.20682429,1.219989784,1154,-10.20367585,2.041248016,-7.057435013,-7.814139527,-8.065476749,0.305911019,414,-18.02520192,2.048667264,-12.02562725,-13.91042779,-14.10164854,0.382740702,81827.49138,49319.04138,50006.49348,-7635.36038,59332.99618,57717.14298,331,138.3560062,83.38989107,84.55225259,-12.91006176,100.3217409,97.58961512,,,,,,,,,,,,
Denmark,2050,525,-1.217573085,4.774613326,1.956091274,0.791945064,-1.639368352,1.556287846,8,2.700351346,11.68172007,9.199634716,6.563367668,0.527888742,4.58161173,464,-1.79334314,4.056611507,1.126373543,0.067786036,-2.034745743,1.114840605,53,3.231745978,10.01793389,8.126670136,6.260594267,1.494915661,4.964380836,2370.21826,-6062.221814,-4812.41867,2370.21826,187.23964,3875.147,,14.77940972,-37.80076354,-30.00766151,14.77940972,1.167525962,24.16333812,,,,,,,,,,,,
Djibouti,2050,414,-9.183561224,2.784896188,-7.020476563,-6.450116956,-7.220107649,0.603658497,1,0.47982122,-0.036272049,0.11448332,0.281868143,0.181199255,-0.04801099,339,-7.888793571,2.67021323,-5.641421089,-5.435621362,-6.42455012,0.531691119,74,-15.24558307,3.348392014,-13.43445988,-11.1885763,-10.96463885,0.942153238,45.507537,109.24229,243.284565,-26.417211,17.620886,58.611892,68,39.64823379,95.17684627,211.9605662,-23.01587444,15.35211646,51.06534323,,,,,,,,,,,,
Dominica,2050,254,-4.209566225,3.108150137,0.718160714,-1.929197508,-4.426140738,-2.331714136,3,0.360434538,1.075030804,0.996327691,0.643695606,0.163045224,0.669582194,239,-4.257401052,2.93074397,0.561344151,-1.971068963,-4.448742766,-2.397007202,12,-4.39935612,7.14976947,3.771882185,-1.738480968,-5.123280161,-1.781618001,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,2050,340,-6.161152786,5.008686066,0.983143651,-3.338164856,-6.422605996,-3.607535093,31,-14.74413375,7.440324326,-4.286061831,-12.21447361,-15.22596011,-8.099856521,295,-5.08639971,4.504895173,1.344118216,-2.313454119,-5.325817336,-3.070936972,14,-9.802563308,10.23993803,5.044420325,-5.275600283,-10.04036865,-4.96714091,866.195415,-3794.514446,-3006.193059,362.891559,-12.709916,866.195415,,10.07783134,-44.14763221,-34.97583351,4.222095687,-0.147874703,10.07783134,,,,,,,,,,,,
Ecuador,2050,2299,-1.882367053,2.098420612,0.690025878,-0.521717247,-1.980509791,-0.364016063,296,-0.732550998,3.544739049,1.490312327,1.346156543,-0.822800569,0.989965311,1683,-2.009942116,1.678342663,0.450966028,-0.844081756,-2.096328949,-0.630300049,320,-2.274981809,2.969923521,1.20706631,-0.554064664,-2.442254438,-0.215961497,1226.09218,-8228.647,-2462.80292,-1776.78745,-4722.80349,1226.09218,,4.744046008,-31.83861751,-9.529177782,-6.874818669,-18.27366442,4.744046008,,,,,,,,,,,,
Egypt,2050,582,-3.699877003,3.004220976,-1.297906227,-1.898019888,-3.476911809,0.890253867,4,0.07033434,1.157471265,0.268638432,0.484912698,-0.42005578,1.115391904,480,-3.185208886,3.304814314,-0.637435037,-1.392130735,-3.021584966,1.106246835,98,-6.374586612,1.607304614,-4.596807756,-4.473106862,-5.831853731,-0.176860181,56627.1569,1005.85815,41078.67242,22464.02829,40673.75919,65410.5726,,111.4552353,1.979759587,80.85225093,44.21436101,80.0552888,128.7430123,,,,,,,,,,,,
El Salvador,2050,676,-4.620580211,3.860428415,1.28958253,-2.39685404,-5.0549215,-1.380695537,27,-10.31336018,8.428538868,2.66527387,-6.763723168,-12.04882461,-1.062029865,512,-3.932719229,3.359283885,1.112457136,-1.846531483,-4.238416485,-1.47311117,137,-6.069337609,4.83303438,1.680418556,-3.592910119,-6.728025033,-1.098120126,2089.065309,-2300.25781,-2007.703802,2089.065323,1328.501948,2864.301522,,28.25647541,-31.11304273,-27.15598831,28.25647559,17.96917619,38.74223805,,,,,,,,,,,,
Equatorial Guinea,2050,682,-9.01666349,0.910541644,-5.719581935,-6.443172095,-6.78690687,-0.375521166,59,-10.91020654,0.718563508,-6.388405924,-7.542694878,-8.033108391,-0.985365678,465,-7.075170986,0.883610367,-4.550132191,-5.156628492,-5.500997159,-0.254806157,158,-14.02346713,1.061489454,-8.911566211,-9.818937485,-10.10603425,-0.503063276,1545.564835,-155.725898,921.079043,147.439204,1161.040001,1291.770443,63,163.7736137,-16.50127674,97.60085112,15.62318881,123.027978,136.8806463,,,,,,,,,,,,
Eritrea,2050,682,-10.96380147,3.07262383,-8.94625383,-8.194611635,-8.734886932,0.718020988,9,-10.1446666,2.405223999,-10.71557451,-7.826623035,-6.607349712,1.180626493,565,-9.822972826,2.993796753,-7.840396493,-7.293786199,-7.914607841,0.71438934,108,-17.00028662,3.540622876,-14.58408262,-12.93792894,-13.20345658,0.698469429,7009.322852,2299.632735,15582.4922,-355.366667,5359.326252,8050.878442,144,122.3171016,40.13004063,271.9243102,-6.201372318,93.52362095,140.4929031,,,,,,,,,,,,
Estonia,2050,356,-0.036900807,5.822605362,3.263326352,2.007264016,-0.625849399,2.518831993,6,0.711517577,3.702756624,2.87493845,2.020442066,-0.039765452,1.291378094,287,-0.733262926,5.12222432,2.315330097,1.195264571,-1.115088539,2.084271511,63,3.064137575,9.215120467,7.618965285,5.705117546,1.547089161,4.615396784,-5324.10359,-10957.53723,-9558.68192,-8088.38903,-7692.68187,-3993.62044,,-24.65103317,-50.73428966,-44.25747567,-37.44989986,-35.61774348,-18.49078784,,,,,,,,,,,,
Eswatini,2050,669,-9.912902952,3.29870256,-6.244990031,-7.488222082,-7.975380234,1.039009496,36,-5.486603903,2.308928827,-2.892128275,-4.122925079,-4.604600119,0.899595651,504,-8.961625299,3.000791479,-5.679412756,-6.734411943,-7.23568064,0.890772744,129,-14.86476886,4.73885015,-9.39036964,-11.37249342,-11.80605217,1.657073226,,,,,,,95,,,,,,,,,,,,,,,,,,
Ethiopia,2050,1154,-15.80388911,3.933172851,-13.80377464,-11.97501448,-11.73319505,0.963804696,33,-24.02459056,4.790614123,-26.2575988,-18.08721575,-15.69543512,3.71168575,849,-12.56010529,3.271263735,-10.49676475,-9.401287455,-9.45079449,0.693210239,272,-24.93142336,5.895177546,-22.61508049,-19.26689536,-18.37659267,1.475034913,133500.7718,-25690.2934,178079.911,-24490.8887,92881.9528,78840.5391,341,95.49384845,-18.3764105,127.381556,-17.51846961,66.43898013,56.39507841,,,,,,,,,,,,
Europe,2050,2368,-1.18,2.91,1.03,0.4,-1.67,0.79,165,-1.6,-0.23,-0.51,-0.59,-2.79,-1.36,1590,-2.61,-0.44,-1.63,-1.81,-2.6,-1.06,613,-1.56,-0.23,-0.77,-0.74,-2.32,-1,,,,,,,,,,,,,,,,,,,,,,,,,
Falkland Islands,2050,198,-4.864191532,-0.111291415,-1.868904914,-3.314056849,-4.935896778,-2.711212423,,,,,,,,193,-4.936046137,-0.187069445,-1.942111052,-3.401699092,-4.995535542,-2.769523271,5,-2.090603795,2.813740564,0.956852026,0.068933712,-2.63384049,-0.460413671,0,0,0,0,0,0,,0,0,0,0,0,0,,,,,,,,,,,,
Faroe Islands,2050,259,-1.157094653,3.385423889,1.211484908,0.387413924,-1.402919588,0.888678716,,,,,,,,258,-1.161579516,3.398545687,1.216180586,0.388915528,-1.40835726,0.892123207,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,2050,174,-1.825407367,0.517242959,-0.42233427,-1.066934113,-1.819148059,-0.857341793,,,,,,,,164,-1.903187056,0.468469671,-0.452560819,-1.183322188,-1.879463271,-0.939469099,10,-0.549820454,1.317124875,0.073381139,0.841830316,-0.829978573,0.489546029,241.838818,-591.216067,-467.748299,44.567091,100.502859,241.838818,,18.14928961,-44.36902112,-35.10312949,3.34462866,7.542442979,18.14928961,,,,,,,,,,,,
Finland,2050,493,-0.887491143,4.50452876,1.878151781,0.911437486,-1.234065859,1.702552594,3,1.018309539,3.20288755,2.575125,1.942890566,0.485307112,1.571986943,426,-1.426673212,4.084967332,1.241729023,0.337703997,-1.651701102,1.40083796,64,2.612105098,7.358248945,6.081670146,4.68200166,1.465223119,3.716960894,-343.44456,-3875.146708,-3012.193543,-343.44456,-1777.37187,596.57743,,-2.90039286,-32.72565402,-25.43800562,-2.90039286,-15.00992382,5.038102565,,,,,,,,,,,,
France,2050,656,-0.931930971,5.245844726,2.305203819,1.466131427,-1.654114282,1.659475451,25,0.330558518,11.50745453,6.76901514,7.052502999,-3.139090226,1.702514448,523,-1.599029843,3.798089465,1.029711766,0.171282831,-1.854269336,1.069554975,108,2.006314147,10.80728691,7.448602533,6.443414076,-0.341100469,4.506257244,90.0526,-41949.12448,-30184.5994,90.0526,-19176.2816,10900.8171,,0.068149154,-31.74586103,-22.84281519,0.068149154,-14.51204473,8.249417099,,,,,,,,,,,,
French Guiana,2050,971,-2.991767779,1.074180605,0.12902942,-2.012214097,-3.081664565,-1.620190526,79,-1.444171573,0.300115548,-0.00761658,-1.08567919,-1.486547291,-0.846245911,718,-3.264952469,1.139265676,0.086250288,-2.186027307,-3.352715986,-1.80841318,174,-2.567132681,1.157054503,0.367595229,-1.715653025,-2.687407922,-1.194890288,,,,,,,,,,,,,,,,,,,,,,,,,
French Polynesia,2050,132,-2.016463157,-0.405782278,-1.022880521,-1.46411752,-2.070209373,-1.699751303,,,,,,,,131,-2.031856005,-0.408879853,-1.030688769,-1.475293989,-2.086012498,-1.712726503,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
French Southern Territories,2050,101,-3.11021187,-1.100479803,-2.285753636,-2.517824002,-3.007318671,-2.146354683,,,,,,,,101,-3.11021187,-1.100479803,-2.285753636,-2.517824002,-3.007318671,-2.146354683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,2050,885,-8.958215787,1.311236782,-5.87263852,-6.613193585,-7.0002443,-0.035381624,57,-9.669109342,0.358422386,-5.555860746,-6.729590478,-7.309574474,-0.761211256,660,-7.921594105,1.479796593,-5.215979312,-5.882425314,-6.2802919,0.073351704,168,-12.78946208,0.972313841,-8.559849296,-9.444577132,-9.723677416,-0.216284645,-139.491807,-1088.172563,-845.634275,-139.491808,-542.886752,52.289929,73,-5.612747672,-43.78492294,-34.02588231,-5.612747712,-21.84419586,2.103995809,,,,,,,,,,,,
Gambia,2050,686,-12.02226032,2.546047409,-8.846795845,-9.375048714,-9.998973007,-0.738203968,21,-27.31829897,2.863676396,-22.20902082,-22.34509723,-22.24476273,-3.935406249,548,-9.605145763,2.444859311,-6.84309034,-7.351412055,-8.112624991,-0.469620779,117,-20.59800363,2.962977912,-15.83332484,-16.52532111,-16.63621342,-1.422326532,8829.69887,3280.491084,8644.95658,2433.164088,7156.09779,9809.28134,162,280.1253958,104.0747682,274.2643797,77.19301228,227.0297952,311.2030046,,,,,,,,,,,,
Georgia,2050,402,-0.241133178,6.411415591,2.947346351,2.137967314,-0.872804578,3.455183722,9,1.713815683,6.520932563,3.312290776,3.917166098,0.710072192,6.000674325,292,-1.37497987,4.834314105,1.450223447,0.613860331,-1.645759756,2.156115054,101,2.862715282,10.96119758,7.243142274,6.385753946,1.220829293,6.984081107,-2585.541117,-3029.812059,-2568.730476,-3204.730303,-3182.265474,-2337.746145,,-46.03521204,-53.94539645,-45.73590084,-57.05979227,-56.65980901,-41.62325587,,,,,,,,,,,,
Germany,2050,595,-0.526015702,5.528742987,2.849101773,1.707904299,-1.196173936,1.992148276,14,0.75567943,11.33525178,8.118204073,5.639945001,-1.605684933,2.010071231,489,-1.249030965,3.947566379,1.369879201,0.493905996,-1.53435035,1.225483129,92,3.121927038,13.04944122,9.909671397,7.56221517,0.663624114,6.064412792,18237.80052,-16681.35562,-9413.17661,18237.80052,5016.24784,27083.32212,,20.27411322,-18.54388593,-10.46418992,20.27411322,5.576329038,30.1072675,,,,,,,,,,,,
Ghana,2050,1029,-14.85751809,2.855754475,-10.95627667,-11.53817852,-12.03103889,-0.789090801,52,-36.20010726,5.956873309,-28.32563724,-28.9612462,-29.15505472,-2.711438317,743,-10.36397658,2.304963002,-7.412751113,-7.944762115,-8.527352618,-0.456581096,234,-24.38267497,3.915497573,-18.34786959,-19.07625062,-19.35065461,-1.417691828,58175.66288,-31031.37894,26490.70402,616.52824,29723.94588,32295.35568,257,81.67771088,-43.5675654,37.1925296,0.865595901,41.73195005,45.34216876,,,,,,,,,,,,
Gibraltar,2050,307,-1.859518704,4.190182034,0.828368324,0.225366859,-2.234743161,1.430726457,4,1.30978683,15.20344878,4.862341087,10.4014198,-3.096585044,8.371779294,279,-2.113310282,3.526552896,0.388083445,-0.332298528,-2.27810722,1.008987912,24,0.562590792,10.0693263,5.274351253,5.012218163,-1.586995664,5.176594907,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,2050,548,-0.569043026,6.204688456,2.898149119,1.980210799,-1.327320473,2.746400283,15,0.200494286,7.902197515,5.085186916,4.116285377,-1.545764571,1.629273652,436,-1.495834282,4.305272576,1.255384604,0.388896723,-1.778473287,1.626549545,97,3.477739737,14.47976771,9.943919854,8.802600681,0.734321671,7.95270772,1189.07675,-4119.69048,-449.50412,1189.07686,-4336.34517,3671.67577,,4.075418296,-14.11974623,-1.540621591,4.075418673,-14.86230426,12.58422941,,,,,,,,,,,,
Greenland,2050,224,-1.868499539,3.191239922,1.287238731,-0.035587883,-2.185950814,-0.582857443,,,,,,,,215,-1.966971957,3.24003175,1.278777866,-0.084970619,-2.283733114,-0.648572332,9,0.48389711,2.025657359,1.489359388,1.144110803,0.149959673,0.986998257,,,,,,,,,,,,,,,,,,,,,,,,,
Grenada,2050,171,-4.049459292,3.545716812,0.985515578,-1.858574525,-4.195628827,-1.903335637,3,5.676287814,35.0533196,28.37484453,12.38983845,2.366885209,7.489937224,152,-3.900239389,2.609067107,0.553165682,-1.926696726,-4.115628218,-2.232739496,16,-7.290625948,6.536213477,-0.042659589,-3.882991053,-6.186105998,-0.535237643,,,,,,,,,,,,,,,,,,,,,,,,,
Guadeloupe,2050,258,-4.142024864,3.051275419,0.473093806,-1.883099808,-4.302578035,-2.233907154,4,-0.077738242,-0.077738242,-0.077738242,-0.077738242,-0.077738242,-0.077738242,242,-4.205051671,2.942588513,0.345177728,-1.909530862,-4.341633688,-2.296271478,12,-4.225746467,6.286132567,3.236345398,-1.95186074,-4.923235631,-1.694949597,,,,,,,,,,,,,,,,,,,,,,,,,
Guam,2050,146,-3.051375861,2.204240863,-0.6136152,-1.274560172,-3.034449182,-0.480962291,5,1.072319073,2.033880031,1.835388878,1.479467635,1.073505936,1.257313881,136,-3.166499385,2.364317799,-0.623812106,-1.299547782,-3.148365638,-0.479103027,5,-4.043710948,-1.979490959,-2.785263448,-3.348924975,-4.043876705,-2.269810442,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,2050,1037,-4.55444492,3.978480417,1.397443389,-2.318662711,-4.957035844,-1.033130199,105,-7.02530847,6.470693687,2.147867253,-3.94797103,-7.64435217,0.655725033,744,-3.941472587,3.339053321,1.135084629,-1.896513533,-4.27342447,-1.332361605,188,-5.600246746,5.117051517,2.016594515,-3.079309602,-6.161496738,-0.79218144,11462.83435,-8771.8411,-70.23934,-1646.10267,6740.18676,11462.83435,,54.54426346,-41.73955562,-0.334223888,-7.832744936,32.07221802,54.54426346,,,,,,,,,,,,
Guernsey,2050,2,-3.393922927,15.89903497,10.88881936,6.330675627,-9.523039859,-3.397086931,,,,,,,,,,,,,,,2,-3.393922927,15.89903497,10.88881936,6.330675627,-9.523039859,-3.397086931,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,2050,944,-14.92187741,2.674341204,-11.17487509,-11.7727639,-12.12789495,-0.817116031,63,-30.07105516,3.705663255,-24.05384914,-24.80994452,-24.39556472,-2.22801787,665,-10.92109488,2.472484309,-7.922078531,-8.427388849,-8.956462898,-0.480456615,216,-22.82059124,2.994996509,-17.43290446,-18.26967146,-18.31372422,-1.442077586,91361.10614,-7959.85692,50803.80416,13239.29486,71417.94424,66686.93524,254,285.4164924,-24.86697609,158.7135292,41.3601943,223.1130949,208.3331951,,,,,,,,,,,,
Guinea-Bissau,2050,625,-12.80815789,2.562971373,-9.521737129,-10.04198972,-10.57618526,-0.835472468,24,-27.3099669,2.957652706,-22.11729876,-22.38922667,-22.10656344,-3.804303821,490,-10.19604244,2.370006598,-7.40115643,-7.872927276,-8.529393358,-0.567663401,111,-21.20359173,3.329461351,-16.15949445,-16.94745741,-17.11851819,-1.375783189,11312.13442,-1110.919818,11014.1841,100.172862,8228.511045,7854.142835,152,189.2350087,-18.58401905,184.2507476,1.67574144,137.6506239,131.3880063,,,,,,,,,,,,
Guyana,2050,1114,-2.956484298,1.211135551,0.233916328,-1.965328088,-3.054259721,-1.566769368,109,-1.384914924,0.85570827,0.404272801,-0.909549202,-1.459417354,-0.798713198,802,-3.176064805,1.223731997,0.16040305,-2.105879956,-3.270098063,-1.705709194,203,-2.932826636,1.352215471,0.432875901,-1.976940409,-3.057882713,-1.430258934,1908.858511,-243.109569,-88.225565,1570.871149,1526.875778,2289.219949,,69.57679387,-8.861203841,-3.215771056,57.25734909,55.65374314,83.44074933,,,,,,,,,,,,
Haiti,2050,338,-10.26145527,4.068253502,-3.531684627,-7.617625253,-10.50640125,-4.548947591,39,-47.55929687,-0.954102124,-41.88592861,-46.43736317,-47.96068976,-14.32380475,285,-5.180082165,4.452352751,1.295508517,-2.420497432,-5.40397039,-3.190792729,14,-9.802563308,10.23993803,5.044420325,-5.275600283,-10.04036865,-4.96714091,12180.14324,647.50029,8754.29486,2032.42737,9153.71547,12180.14324,32,109.1552648,5.802728607,78.45370574,18.21408364,82.033209,109.1552648,,,,,,,,,,,,
Heard Island and McDonald Islands,2050,51,-1.68965313,-1.192174211,-1.380153456,-1.533679499,-1.693627892,-1.600353325,,,,,,,,51,-1.68965313,-1.192174211,-1.380153456,-1.533679499,-1.693627892,-1.600353325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holy See,2050,16,3.079203164,14.48631879,9.888575754,8.695580568,0.026379792,7.092474029,1,0.348037038,8.71928682,3.70384625,7.544740916,-2.651968846,0.347054216,1,0.002098023,-0.002602169,0.011237964,0.003630236,0.002024161,-0.007213505,14,3.494079683,15.93317257,11.03586627,9.398636996,0.219430097,8.081410269,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,2050,998,-4.956128583,3.704054779,1.055896807,-2.751136039,-5.542925141,-1.179427324,89,-9.103286225,4.678728973,0.250132194,-6.260518464,-10.89920775,-0.315879308,732,-4.176180263,3.341352258,1.038378458,-2.127179943,-4.57408585,-1.311648704,177,-6.096383611,4.713954452,1.533504049,-3.566959916,-6.856378295,-1.06682689,7814.87903,-4360.30977,452.93701,-1389.444708,5958.16108,9274.86622,25,77.81467781,-43.41667972,4.510005512,-13.83504362,59.32687928,92.35213032,,,,,,,,,,,,
Hong Kong,2050,376,-0.972359415,4.870239279,1.896619093,1.314954115,-1.140436226,1.727004366,19,0.696023685,5.191441215,3.05247401,2.994398229,0.47704789,2.192427653,334,-1.068922847,4.969118499,1.888994753,1.239705317,-1.24403748,1.753033145,23,-0.948319969,3.16900031,1.052501099,1.020330653,-0.972148384,0.96454112,,,,,,,,,,,,,,,,,,,,,,,,,
Hungary,2050,465,-0.310328959,6.637135316,3.457470976,2.159264422,-1.028513902,2.933624409,10,2.256786676,9.298420431,7.337387354,5.314710912,0.535708654,3.771992881,370,-1.491894427,4.574352973,1.420655053,0.445069647,-1.754336756,1.698814024,85,4.530942416,15.30321315,11.86715012,9.249824444,1.946924102,8.210049791,-4860.96748,-15916.73151,-13995.10709,-8915.3627,-8632.33699,-2390.59192,,-13.85785821,-45.37611274,-39.89786199,-25.41630502,-24.60944297,-6.815203762,,,,,,,,,,,,
Iceland,2050,312,-2.005458333,2.953919842,0.636042541,-0.353244451,-2.174976291,0.012490529,,,,,,,,305,-2.041750991,3.010533295,0.645887581,-0.361116466,-2.213153976,0.022377916,7,-0.424135344,0.487190831,0.207080094,-0.010249536,-0.511520014,-0.418317041,-0.348692,4.77556,6.373474,-0.348692,-1.723229,0.314085,,-4.123880572,56.4791825,75.37725444,-4.123880572,-20.38013661,3.714593479,,,,,,,,,,,,
India,2050,1771,-2.630047982,4.64658208,1.641892937,-0.059324543,-2.824719428,2.02292601,133,-3.954244136,6.8439089,3.546147208,0.060523934,-4.202857445,4.006638138,1268,-2.179681722,3.971210753,1.232624526,-0.0548256,-2.347682634,1.53060051,370,-3.697470492,6.171247958,2.359964631,-0.117823212,-3.964152669,2.997074718,280228.037,-497348.187,-231744.246,-218528.208,66058.617,280228.037,52,15.30284442,-27.15945916,-12.6552153,-11.93350674,3.607364734,15.30284442,,,,,,,,,,,,
Indonesia,2050,2604,-2.613067343,1.064989635,-0.979770867,-0.639592428,-2.672079359,-1.905262529,219,-4.989382746,0.802292367,-2.579602129,-1.448130936,-5.068153119,-4.726345114,1750,-1.854236292,1.164955672,-0.467003698,-0.375178679,-1.906478329,-1.041227905,635,-3.884785875,0.880092213,-1.841155906,-1.089441446,-3.955641013,-3.313520019,155557.5926,-53989.368,66511.1774,155557.5937,35302.3449,155557.5926,,40.96079894,-14.216263,17.51345543,40.96079923,9.295671317,40.96079894,,,,,,,,,,,,
Iran,2050,700,-1.840697212,4.630553938,1.102445022,0.245126118,-2.212509634,2.275622486,9,-0.507718844,8.329059304,2.850126931,2.738030591,-2.203105622,7.244159816,527,-2.154027133,3.782095401,0.614678534,-0.379031317,-2.319001086,1.474897272,164,-0.90698951,7.15403626,2.573931619,2.113997021,-1.870824518,4.576020974,-4219.1047,-60411.47541,-32269.0853,-51207.3175,-23430.9585,6869.4688,,-3.016947334,-43.19832113,-23.07459468,-36.61672109,-16.75473182,4.912138252,,,,,,,,,,,,
Iraq,2050,496,-1.991670348,4.321211042,0.667040225,0.02152525,-2.257539935,2.037048435,6,-1.664657762,9.977659119,1.972207691,2.643662528,-3.784616129,8.729621249,409,-1.921269586,3.757968869,0.549407621,-0.19348818,-2.035173551,1.519598657,81,-2.371373895,6.746240183,1.164333193,0.912977955,-3.267236156,4.154104268,71309.42491,19680.22694,92489.05361,4846.84197,52724.0684,80317.44841,,183.4462414,50.6281416,237.9316518,12.4686876,135.6346961,206.6197287,,,,,,,,,,,,
Ireland,2050,448,-1.583838096,4.112197434,1.461942489,0.394183905,-1.931031459,0.784509875,3,0.404725615,4.202625699,3.174751899,2.097993566,-0.564838017,1.010769246,412,-1.956691185,3.581316802,0.914811528,-0.107598145,-2.171169538,0.429876763,33,2.89039771,10.73194094,8.137079693,6.503964979,0.942856666,5.191481519,102.365485,-957.266391,-745.379897,102.365485,-272.325447,372.984786,,3.191231189,-29.84265999,-23.23712504,3.191231189,-8.489711743,11.62775404,,,,,,,,,,,,
Isle of Man,2050,1,0,0,0,0,0,0,,,,,,,,,,,,,,,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,
Israel,2050,630,-2.69034772,3.711858594,-0.161528863,-0.785848801,-2.729545631,1.480226692,6,-1.907341836,5.524878508,-0.343085623,1.026217541,-3.18755504,4.970033,526,-2.720738255,3.292404949,-0.305513571,-1.011159161,-2.661361214,1.117330203,98,-2.575170311,5.852210614,0.622402737,0.312527232,-3.067473659,3.214356439,887.88143,-237.100261,1056.026951,-577.766559,168.083237,1199.030937,,30.42836691,-8.125604942,36.19084085,-19.80049616,5.760339426,41.09169541,,,,,,,,,,,,
Italy,2050,619,-1.0086183,5.426923201,2.115973692,1.481776727,-1.702534185,1.952483917,27,-0.175679474,11.08741095,5.590942167,7.570883481,-3.984111935,1.037893304,488,-1.714946173,4.010655189,0.839593689,0.109014145,-1.909961703,1.388536449,104,2.089445683,10.60293879,7.20298612,6.342375357,-0.136887761,4.836140754,-1037.92226,-17934.10986,-7975.08472,-1037.92226,-15683.78757,5364.86651,,-1.307972006,-22.60026068,-10.05006633,-1.307972006,-19.76444275,6.760713667,,,,,,,,,,,,
