Entity,Year,Share of population multidimensionally poor (camp),Share of population multidimensionally poor (national),Share of population multidimensionally poor (rural),Share of population multidimensionally poor (urban),Intensity of multidimensional poverty (camp),Intensity of multidimensional poverty (national),Intensity of multidimensional poverty (rural),Intensity of multidimensional poverty (urban),MPI (camp),MPI (national),MPI (rural),MPI (urban)
Chad,2019,,84.17494746637574,90.4159118298045,57.36406968930603,,61.42103150285629,62.72574776656368,52.58656521417254,,0.5170112100083537,0.5671405679520178,0.3016579391667031
China,2014,,3.88502009595822,6.16501876871226,2.0588223996068,,41.35557923034436,42.63750049089153,38.25296118691008,,0.016066725638988,0.0262860990777324,0.00787560533429
Colombia,2015,,4.84625036819067,17.57371570071503,0.84656020542467,,40.56181890323956,41.02601564100458,37.53356519375677,,0.0196572729794308,0.0720979535208102,0.0031774422660747
Comoros,2012,,37.26491894878494,45.72341086197527,18.72193090104623,,48.50980832340528,48.99906765928725,45.89033558061867,,0.1807714075392791,0.2240404502439316,0.0859155691766166
Congo,2014,,24.26683482677609,56.25957069200156,8.59870597103798,,46.02013243049065,47.4755823675423,41.35647823117487,,0.1116762952397079,0.2670955882350689,0.0355612196307506
Costa Rica,2018,,0.54046664053325,0.82292215967974,0.41987275809079,,37.12164412069069,38.4087898622275,36.04457395720965,,0.002006301028898,0.003160744430411,0.0015134134681621
Cote d'Ivoire,2016,,46.06748401596801,70.33313312669962,18.79399898072679,,51.20118976126952,52.64971230357907,45.10842028807097,,0.2358709990925828,0.3703019224530059,0.0847767604916201
Cuba,2019,,0.7064320259911,1.6740533197232,0.14199234663073,,38.06035146179496,38.55176202123919,34.68078529482593,,0.0026887051193089,0.0064537705192834,0.0004924406087009
Democratic Republic of Congo,2017,,64.51797963714816,87.01913154257016,35.63874080008645,,51.33278216527268,52.85129486602925,46.57404396187733,,0.3311887394457226,0.4599073780142162,0.1659840280769178
Dominican Republic,2014,,3.88005024248133,7.59399318336023,2.64243990475902,,38.92542954975439,40.21596607854783,37.68952740263446,,0.0151032622363214,0.0305399772262738,0.009959231120023
Ecuador,2013,,4.577325026942511,10.73739429098944,1.63149239262884,,39.87866141106867,40.83852793395467,36.85768616337492,,0.0182537594917851,0.0438499376690458,0.0060133034585447
Egypt,2014,,5.23862010660077,6.31225547744862,3.41154051576669,,37.57057591993415,38.15102722110522,35.74289457470102,,0.0196817974430738,0.0240819030546713,0.012193833299237
El Salvador,2014,,7.86088558753619,15.67946659870335,2.8551006712861,,41.29625051697576,41.33211364736352,41.1701542300881,,0.0324625100508179,0.0648065495387647,0.0117544934979277
Eswatini,2014,,19.21377529427017,24.06507885652164,5.53818971821478,,42.29846562318632,42.37303226659525,41.38508554532623,,0.0812713213776314,0.101971036288555,0.0229198455254565
Ethiopia,2019,,68.73685809402603,79.69384256383736,39.22137217705682,,53.33444903208237,54.38416628254825,47.58887784982774,,0.3666042454641308,0.4334083185686953,0.1866501089636589
Gabon,2012,,15.60154959804139,51.40216069967932,8.75573101017027,,44.67207753905138,47.11989832782442,41.92416105497729,,0.0696953633373061,0.2422064585999382,0.0367076677024438
Gambia,2018,,41.59676394982567,71.97865061151637,27.04918223270703,,48.95516412923214,51.97393120118323,45.10875717545016,,0.2036376406408641,0.3741013434836958,0.1220154993129682
Georgia,2018,,0.34012585571293,0.68155725717342,0.08752967446392,,36.59234566973725,36.35833759685157,37.94038074730372,,0.0012446002883463,0.0024780288847896,0.0003320909175849
Ghana,2017,,24.63710068496307,35.14186075445371,12.36470487837644,,45.14261920641341,45.87305255422952,42.71732288945674,,0.1112183254571354,0.161206442524247,0.0528187090722447
Guatemala,2014,,28.88182820396131,41.34031837531099,11.86622442386007,,46.22900649904089,46.62722097107144,44.33422014376603,,0.133517822374511,0.1927584159900071,0.0526079805882746
Guinea,2018,,66.2111021065078,86.39142550880693,27.43451897501644,,56.36843757890384,58.22504127517427,45.13445057708751,,0.3732216376121114,0.5030144316071425,0.1238241940784049
Guinea-Bissau,2018,,64.39631048074149,80.9996308843046,34.43456865114515,,52.90500722873928,55.03375141306259,43.86884590365222,,0.3406887271487768,0.4457713550636647,0.151060478591582
Guyana,2019,,1.69858143173526,1.71345343766756,1.65244054533342,,38.81092610019624,39.21450841577176,37.5125665529508,,0.0065923518422243,0.0067192234251447,0.0061987285931614
Haiti,2016,,41.26889832441505,57.57884544384555,15.7478842036952,,48.36273920768399,49.48322347120416,41.9522396294363,,0.1995876967052112,0.2849186876311736,0.0660659011770036
Honduras,2011,,19.99233047603485,32.93699732479343,5.87111342275238,,46.54619839320857,47.08419878434645,43.25368631902747,,0.0930566980680108,0.1550812129400061,0.0253947298331163
India,2015,,27.9077224394953,36.84701846761599,9.19287524596296,,43.94929462491286,44.11055901276227,42.59606211080754,,0.1226524715803671,0.1625342582560116,0.0391580284953943
Indonesia,2017,,3.61900703722605,5.25453768076554,1.95922249294432,,38.71434630554329,39.54736183657482,36.44710950643312,,0.0140107491721368,0.0207803102945151,0.0071407996747809
Iraq,2018,,8.63541898801166,12.63152376000679,6.86639780654446,,37.860725865324,39.32337973573996,36.66958118923274,,0.0326943231037323,0.0496714205455769,0.0251787931844652
Jamaica,2014,,4.686904216207441,5.94128946476535,3.58246843902841,,38.73103756106478,38.2217957979993,39.47462471912067,,0.0181528663243043,0.0227086752699066,0.014141659719874
Jordan,2017,,0.43120323950129,1.13137662494032,0.34665337754375,,35.38750113688447,35.09281727602974,35.5036394252408,,0.001525920512808,0.0039703193169402,0.0012307456521855
Kazakhstan,2015,,0.45297789690639,0.75492932894709,0.18723445376304,,35.55654066115895,36.09491503543011,33.64611398364265,,0.0016106327009958,0.00272491099861,0.0006299711772976
Kenya,2014,,37.47714544994198,47.01981649779483,18.75008002020388,,45.56805887583032,46.30219490101881,41.95517406601169,,0.1707760770361012,0.2177120707691036,0.0786662870999302
Kiribati,2018,,19.80259102621663,28.9272946542941,11.99645861000468,,40.47824157022597,40.82137664933952,39.77039843467767,,0.0801574063275586,0.1180851990529365,0.0477103938725005
Kyrgyzstan,2018,,0.3930310792486,0.58692603077824,0.05012561248084,,36.28122609811378,36.28972471264429,36.1052394506624,,0.0014259649449804,0.0021299384083627,0.0001809797241232
Laos,2017,,23.07234577094802,30.88400180438566,5.29044669879925,,46.95372240149152,47.26014475399405,42.88182621260188,,0.108333251848032,0.145958239585788,0.0226864015924943
Lesotho,2018,,19.60454173034562,27.59326082630276,5.55939548796491,,43.0304332114708,43.41212964541643,39.69967832698866,,0.084359192356913,0.1197882216331246,0.0220706212564719
Liberia,2019,,52.32307452422745,75.41972945584257,35.21589840477187,,49.55628781388083,51.52049043161173,46.4405441256682,,0.2592937340429751,0.3885661449784483,0.1635445483791857
Libya,2014,,1.99851894306227,1.88693921527948,2.01403666629058,,37.13482404072025,37.1198759302233,37.13677172940438,,0.0074214649292664,0.0070042949559047,0.0074794819930684
Madagascar,2018,,69.07832369150798,77.34703090213193,41.22627925275053,,55.58537611133326,56.35560865975937,50.71782143142593,,0.3839744603532896,0.4358939004514862,0.2090907069423102
Malawi,2015,,54.24694376871662,59.58469401514969,22.216215658211,,46.51416426625629,46.79139039707567,42.05239244556139,,0.2523251253400453,0.2788050679353167,0.0934245019514315
Maldives,2016,,0.7719890360692,0.91932378155765,0.51622092296129,,34.3799402660099,34.71847955733874,33.33333432674409,,0.0026540936946074,0.0031917523916585,0.0017207364611529
Mali,2018,,68.33225113186045,79.70178912760457,30.39278422042553,,55.03447041616992,56.05569154968671,46.09800489024381,,0.3760629253386669,0.4467738907295175,0.1401046715621301
Mauritania,2015,,50.56633814516146,73.10951070647222,25.64897425417424,,51.54495968307259,53.48636536616932,45.42839980622896,,0.2606439861012963,0.391036200138824,0.1165191857038301
Mexico,2016,,6.564858563739991,9.95719028912173,5.50575439786195,,39.01892149706028,42.26766615774762,37.18459806606835,,0.0256153700937874,0.0420867195009764,0.0204729264334985
Moldova,2012,,0.94363318057645,1.18798034494001,0.5142483310205299,,37.44998886651116,35.89344096637148,43.76884209124468,,0.0035339052106659,0.0042640702380314,0.0022508053996124
Mongolia,2018,,7.25844858539946,15.85334692976021,3.0552446275309,,38.75045818567212,39.51503271336461,36.81031170799169,,0.0281268208401373,0.0626445522545793,0.011246450708358
Montenegro,2018,,1.23576477538312,1.33551917380399,1.18154509735345,,39.64266175563102,41.05594449269007,38.77439382727499,,0.0048989005000036,0.005483100106862,0.0045813694929469
Morocco,2017,,6.35970064208804,14.34334440334966,1.42150804754414,,41.97795686913183,42.99691342125798,35.6184470245666,,0.0266967239254162,0.0616719537482111,0.0050631909086446
Mozambique,2011,,73.13658662570593,87.77762890457961,40.78779707306875,,57.01051068494333,58.28758515785123,50.93817377808477,,0.4169554153285092,0.5116346019729948,0.2077655895333233
Myanmar,2015,,38.31585811933891,47.83677392190114,11.90700047508769,,45.89385067042612,46.25685106434836,41.84867394457815,,0.1758462270838174,0.2212778526704284,0.0498292180539882
Namibia,2013,,40.88101083216059,61.17770013620094,17.53562186876837,,45.18834873326179,45.90189655297205,42.32502160167267,,0.1847345374051926,0.280817246300064,0.0742195574394385
Nepal,2019,,17.50459553486113,28.10168958748302,12.36583433595056,,42.50249783990969,42.37467893957241,42.64335396356937,,0.0743989033908928,0.1190800073929118,0.0527320650642799
Nicaragua,2011,,16.46019980455167,34.74991299550458,2.42736917011643,,45.25758715280804,45.80396125032319,39.25627273778284,,0.0744948927207131,0.1591683668298194,0.0095289466177376
Niger,2012,,90.97115762490247,97.01942244314918,58.65699060814303,,66.09565383085794,67.78144216027941,51.19847204817477,,0.6012798142967964,0.6576116370754034,0.3003148294081062
Nigeria,2018,,46.41686011326241,65.06488408082043,22.93239268795551,,54.80544007715681,57.16197422788224,46.38530757998817,,0.2543896445507173,0.3719237226968002,0.1063726088375888
North Macedonia,2018,,0.37185662716426,0.36790924293148,0.37415348959982,,38.24223772645486,38.22731436899357,38.25077625477937,,0.0014220629536173,0.00140641822888,0.0014311661415627
Pakistan,2017,,38.33213060505974,49.82112120067685,17.96862574434673,,51.71833497735725,53.33836051995328,43.75690370420394,,0.1982473971028288,0.2657376924109989,0.0786251426392259
Palestine,2019,0.37238823674166,0.56618420016282,1.13661949324972,0.47809686134454,33.33333432674409,34.97258174656271,36.92282373213202,34.22463792230921,0.0012412941594656,0.0019800923223807,0.0041967201199765,0.0016362691971309
Papua New Guinea,2016,,56.62862730321708,61.46437814438146,19.32162007877476,,46.49431137110452,46.63621972550998,43.01162462697238,,0.2632909030354008,0.2866466244433207,0.0831054270013232
Paraguay,2016,,4.50074540534684,10.30003011803666,0.96728229596255,,41.87879996960134,42.51004931885015,37.78324905058117,,0.0188485816544623,0.043785478830338,0.0036547067890571
Peru,2018,,7.371847977627841,26.00958133641196,2.04548169586142,,39.59168737200409,40.11205621236928,37.70070717147975,,0.0291863900484182,0.1043297788626348,0.0077116106440293
Philippines,2017,,5.79598188355892,7.41284963782806,3.81300005368726,,41.83819637545795,42.46098155036557,40.35328381658487,,0.0242493428232935,0.0314756871707451,0.0153867073359095
Rwanda,2014,,54.39628325775397,60.44144884436579,24.09735646763687,,47.53925750224878,47.77891765380478,44.52638788309662,,0.258595891695563,0.2887827007211607,0.1072968241035247
Saint Lucia,2012,,1.92113117779763,1.97437775000873,1.69131449415205,,37.48761294475549,37.66995524322994,36.56889288153433,,0.007201862200938,0.0074374721476058,0.0061849498565633
Sao Tome and Principe,2019,,11.71226372784119,12.36512852350286,11.38153527080899,,40.9172617430827,40.05000827887879,41.39456252232148,,0.0479233760556092,0.049522349973569,0.047113367336751
Senegal,2019,,50.832378108573,72.86146762425896,22.73440901422312,,51.71152440958671,53.44148311469852,44.63975054097631,,0.2628619761358814,0.3893824891753989,0.1014858347091443
Serbia,2019,,0.11367367319896,0.26716026040803,0.0,,38.10153603169407,38.10153603169407,,,0.0004331141555245,0.0010179216288173,0.0
Seychelles,2019,,0.86575757857124,,,,34.22968561758351,,,,0.0029634609735534,,
Sierra Leone,2019,,59.22196286298045,77.51286096906041,33.28406172881562,,49.45788619308856,51.93112225350352,41.29012901141046,,0.2928993099408604,0.4025329859203097,0.1374303202806546
South Africa,2016,,6.256881704056751,11.29381521415271,2.69306224329426,,39.78122725518001,40.16542917478919,38.6412313431536,,0.024890643297786,0.0453620935097207,0.0104063241164646
South Sudan,2010,,91.86288852019284,94.64243818341768,83.47085183015166,,63.15471317813015,64.9647108033345,56.95856185834175,,0.5801574376207325,0.6148418626308192,0.4754379677336173
Sri Lanka,2016,,2.92071792370066,3.29506922534105,1.02540137184558,,38.29434945718135,38.39401088928059,36.67291207955828,,0.0111846992836046,0.0126510923718678,0.0037604454355951
Sudan,2014,,52.32804165093924,64.02561281183281,26.34086702435053,,53.40149994437042,54.74813180712479,46.12980028461716,,0.2794395913311645,0.3505282689254162,0.1215098935156948
Suriname,2018,,2.85373973604555,8.026960962324111,0.94691956939744,,39.36052236743741,39.31588028112172,39.50000856239388,,0.0112324686711466,0.0315587036215972,0.0037403331099097
Syria,2009,,7.3932719967909,9.55156168712618,5.59460352890199,,38.94133853074806,40.44829276747196,36.79723121461568,,0.0287903907676934,0.0386344363507448,0.0205865919607111
Tajikistan,2017,,7.44460628776415,8.68015972630764,3.62196205423809,,38.96233392822687,39.3266622524425,36.26099483172801,,0.0290059236148044,0.0341361709853754,0.0131335947329443
Tanzania,2015,,57.06772711223843,69.25972754230014,27.09307979609581,,49.79685153673049,50.78373657826084,43.59433284799965,,0.2841793134546787,0.3517267758990287,0.1181104738508415
Thailand,2019,,0.57779148757309,0.80987619666202,0.29561516681363,,36.70324723266045,37.06067191869653,35.51268937572336,,0.0021206823817322,0.0030014556019253,0.0010498089593805
Timor,2016,,48.25369955976663,58.90398272718343,19.30096686876442,,45.90616787321068,46.43374367861215,41.52914444373478,,0.2215142432494119,0.2735132435603433,0.0801552640996657
Togo,2017,,37.61229535132232,54.38600935156598,12.83616079143581,,47.75466571033582,48.88609384968738,40.67384924979127,,0.1796162591100816,0.265871955727063,0.0522096068976942
Tonga,2019,,0.87460811431648,1.13158131843182,0.0,,38.14456761013528,38.14456761013528,,,0.0033361548348918,0.0043163680107289,0.0
Trinidad and Tobago,2011,,0.63656067257064,1.15188935050508,0.24538384247204,,37.98419970686991,38.62271351924977,35.70897702673785,,0.0024179247712463,0.0044489092390433,0.0008762405993567
Tunisia,2018,,0.79143361132022,1.91078276455795,0.27125900236056,,36.48734472023524,37.3442463677117,33.68228761399303,,0.0028877310999422,0.0071356742314829,0.0009136623735393
Turkmenistan,2019,,0.24940715723756,0.28659956565271,0.20068465694137,,34.04783645270937,34.42975161736946,33.33333432674407,,0.000849177409976,0.0009867551859069,0.0006689488764075
Uganda,2016,,57.16848545525981,65.02046776032984,27.59900452113929,,49.15793715437175,49.44977906543335,46.56871853661302,,0.2810284815220278,0.3215247765479442,0.1285250273435646
Ukraine,2012,,0.24423733661568,0.46037719692735,0.16082486394429,,34.41045473143484,35.18650575950177,33.55312670871526,,0.000840431781534,0.0016199064891227,0.0005396177037835
Vietnam,2013,,4.89517803904272,6.26312897609785,1.97847390794971,,39.49636418178626,39.81785535494403,37.32640313939342,,0.0193341734564714,0.0249384363639623,0.0073849314688902
Yemen,2013,,48.46642878336336,62.04448129099463,17.50549749552263,,50.58480074492201,51.44598058625537,43.62496344227906,,0.2451664642824389,0.3191939179980793,0.0763676688281082
Zambia,2018,,47.90613054487359,65.59668358570069,21.02278817233754,,48.36230217762114,49.34192151711803,43.71724812546292,,0.2316850761571743,0.3236666413268868,0.0919058446819127
Zimbabwe,2019,,25.80003834890275,35.34687802688077,4.649229291930689,,42.61303245730412,42.79410749610051,39.56305915381365,,0.1099417871561484,0.1512638097933889,0.0183937733496297
