Entity,Year,Sex ratio by age (one-year olds),Sex ratio by age (five-year olds),Sex ratio by age (10 year olds),Sex ratio by age (15 year olds),Sex ratio by age (20 year olds),Sex ratio by age (30 year olds),Sex ratio by age (40 year olds),Sex ratio by age (50 year olds),Sex ratio by age (60 year olds),Sex ratio by age (70 year olds),Sex ratio by age (80 year olds),Sex ratio by age (90 year olds),Sex ratio by age (100 year olds)
Afghanistan,1966,103.6087058,102.6835376,103.4135033,100.0120367,98.30905898,108.4911773,114.3588755,108.8877824,105.7138617,109.3278894,,,
Afghanistan,1967,103.3802334,102.8737542,103.2382928,102.5084481,95.1765873,107.7313428,114.4301084,108.6098792,103.915941,107.2807558,,,
Afghanistan,1968,103.3896419,103.1209395,103.1031849,104.257339,93.83833602,107.3271131,114.0413356,108.3510878,102.7310924,105.8201591,,,
Afghanistan,1969,103.3861431,103.313593,103.1381466,104.5790955,94.9413096,107.3566861,112.9551722,108.1064411,102.244459,105.0276025,,,
Afghanistan,1970,103.3968781,103.3418626,103.3508437,104.039582,97.56259311,107.4882002,111.502721,107.8822821,102.0504156,104.3917943,,,
Afghanistan,1971,103.4508362,103.3944949,103.4245082,103.6812694,99.88151773,107.5873214,110.0701316,107.7273494,101.9777559,104.1482457,,,
Afghanistan,1972,103.4532135,103.4436669,103.4744599,103.4187551,102.343185,108.059375,108.6911643,107.3990538,101.9060167,103.8292011,,,
Afghanistan,1973,103.508726,103.4956351,103.5385212,103.293617,104.0037048,107.1026413,107.6408367,107.2496102,101.7613197,102.7075489,,,
Afghanistan,1974,103.5923944,103.5645331,103.620971,103.4009828,104.2904075,104.1465634,107.0657631,107.4133445,101.4795511,100.6483834,,,
Afghanistan,1975,103.7072481,103.6563859,103.7242996,103.6471416,103.8213524,100.4046891,106.7999368,107.7231798,101.1154559,98.23403343,,,
Afghanistan,1976,103.798287,103.7475808,103.7944915,103.7966687,103.6937371,97.27082037,106.2548798,108.1065284,100.9483109,96.93034238,,,
Afghanistan,1977,103.7822569,103.8780731,103.8896392,103.9521444,103.6338578,94.21496792,105.5630797,108.5185092,100.7693237,95.675,,,
Afghanistan,1978,103.869589,104.0385925,104.0212149,104.1315588,103.6790057,92.98558007,105.2583183,108.3988581,100.5918343,94.85202686,,,
Afghanistan,1979,103.9928758,104.2197372,104.2106977,104.3214219,103.9430559,94.28303345,105.5289241,107.4803644,100.4670659,94.51747088,,,
Afghanistan,1980,104.1530798,104.4088484,104.4611271,104.5206108,104.3456131,97.18373991,106.0940111,106.0672107,100.3850164,94.31195753,,,
Afghanistan,1981,104.3205621,104.6695014,104.7970545,104.786372,104.7030524,99.93005832,106.646799,104.5711889,100.4538578,94.77118571,,,
Afghanistan,1982,104.4823962,104.9732421,105.1805614,105.1509924,105.0730523,103.1143722,107.9448057,102.7735146,100.3486516,95.07730585,,,
Afghanistan,1983,104.6837833,105.2868324,105.5876674,105.6047286,105.4657568,105.6556843,107.6203718,101.0670512,100.4222348,95.02090107,,,
Afghanistan,1984,104.8121286,105.5603512,105.9889092,106.0831305,105.8782541,106.598808,104.5062816,99.77248597,100.7377049,94.31685481,,,
Afghanistan,1985,104.8106703,105.7621206,106.3628025,106.5238024,106.3207673,106.3946928,99.9773777,98.76507937,100.9890057,92.90001017,,,
Afghanistan,1986,104.6904258,105.7196077,106.4851563,106.6825433,106.5047576,106.1609933,96.22509096,98.5046062,101.5939639,92.17409072,,,
Afghanistan,1987,104.6229831,105.5637721,106.4841902,106.7591459,106.6191664,105.854223,92.53341445,97.80589889,102.2130513,91.20474535,,,
Afghanistan,1988,104.4462755,105.4175425,106.4688504,106.8733592,106.7646432,105.6712012,91.16354788,97.87865931,101.6959865,90.49402713,,,
Afghanistan,1989,104.4664914,105.4273987,106.5639144,107.1361176,107.0778382,105.9010572,93.06816795,99.25794483,99.54933461,90.31558185,,,
Afghanistan,1990,104.7698324,105.6647009,106.8235835,107.5678803,107.6068902,106.4703666,97.20019562,101.4327099,96.4137132,90.44368601,89.01145524,86.71328671,42.85714286
Afghanistan,1991,105.2053868,106.141826,107.2630657,108.0696931,108.1023805,107.0166893,101.2449204,104.548683,95.63892497,91.65254615,88.06537438,110.5263158,42.85714286
Afghanistan,1992,105.3610272,106.7572527,107.8071262,108.7649712,108.7538537,107.6982248,105.4671802,107.9822311,95.46173161,92.69319683,87.86029162,111.6129032,50
Afghanistan,1993,105.726442,107.2974534,108.3037746,109.4050852,109.3805521,108.3950562,108.3769549,108.5186211,96.19439445,94.12713035,87.51128498,106.2146893,50
Afghanistan,1994,105.8296034,107.5842011,108.6763143,109.7793508,109.8508003,108.8816652,109.0777615,105.456109,97.71082908,96.14410765,86.9121204,98.87640449,50
Afghanistan,1995,105.6166579,107.5579444,108.893941,109.8557718,110.135277,109.0765088,108.4662647,101.1358752,99.37863078,98.33665544,86.35809988,85.11904762,50
Afghanistan,1996,105.0836105,107.0981914,108.9019988,109.8150724,110.2879309,109.007157,108.1222574,97.27825077,99.24025584,99.40308518,86.03428571,81.06995885,50
Afghanistan,1997,105.3950461,106.3302731,108.6450089,109.5146485,110.29801,108.686337,107.6120551,93.46058805,98.53518626,100.105388,85.47140649,80.52805281,50
Afghanistan,1998,105.0545293,105.4948039,108.201378,109.1977964,110.2145779,108.3398594,107.1744148,91.8978241,98.49641529,99.48771156,85.0021395,79.21348315,37.5
Afghanistan,1999,104.8941779,104.8556507,107.5865341,109.0562183,110.1266928,108.1638735,107.1114492,93.42890459,99.53771054,97.44209723,84.6988939,77.0718232,42.85714286
Afghanistan,2000,105.0366597,104.5901571,106.8843981,109.0917801,110.1323594,108.2097035,107.3612855,96.9472217,101.0556652,94.8810114,84.27293935,71.89349112,42.85714286
Afghanistan,2001,105.6201143,104.710356,106.1038776,108.6459509,110.0551551,109.2404027,107.8323161,100.5409211,102.633655,93.25298286,84.6181951,73.60178971,42.85714286
Afghanistan,2002,105.4931632,105.199311,105.6446396,108.3926254,109.7474583,110.4789505,108.5516577,104.5004684,104.7111972,92.05623902,84.46450269,75.2851711,50
Afghanistan,2003,105.8963385,105.8086102,105.4253951,108.0052535,109.3008645,111.8545818,109.3524611,107.4113014,104.397679,91.58616041,84.72361809,74.69670711,50
Afghanistan,2004,106.078034,106.2777484,105.466833,107.3171006,108.8197694,113.1661398,110.0681762,108.2541884,101.0599528,91.86395287,85.44947507,72.53141831,50
Afghanistan,2005,105.9242902,106.4308073,105.700257,106.4474936,108.2742528,114.1794561,110.6828826,107.7331018,96.8260336,92.43984502,85.79747654,66.18852459,50
Afghanistan,2006,105.5954095,106.3913017,106.0712467,106.1831591,107.8678729,113.719135,110.6459066,106.9900785,93.42768472,92.64138974,87.12027278,67.55852843,42.85714286
Afghanistan,2007,105.5245122,106.0847336,106.1688055,105.8268808,107.6160021,113.0258719,110.3460647,106.1161144,90.18031942,92.13608998,87.92792793,69.0936107,50
Afghanistan,2008,105.0751932,105.6687726,106.108695,105.652692,107.3968612,111.7694844,110.0354623,105.4543134,89.10182953,92.00970699,87.38304094,69.90424077,44.44444444
Afghanistan,2009,104.7753204,105.3269833,105.9794931,105.7839757,107.1109358,109.9632735,109.8928442,105.3965579,90.77564865,92.62873573,85.54199773,69.18767507,40
Afghanistan,2010,104.7705761,105.1915389,105.8631495,106.1086286,106.873235,108.0180095,109.8924712,105.8401213,94.03951552,93.50375432,83.33788956,65.31531532,41.66666667
Afghanistan,2011,104.6072554,104.9500835,105.6288137,106.1518656,106.8845854,107.3299597,110.2329993,106.5354454,96.9530869,94.56414474,82.57921502,67.31001206,42.85714286
Afghanistan,2012,104.9093881,104.8448027,105.5470964,106.2126751,106.8877451,106.8171319,110.6739054,107.3828376,100.0465929,96.06248748,81.97070239,68.34224599,40
Afghanistan,2013,105.2480144,104.8247618,105.519302,106.2257359,106.9281617,106.97528,111.2077785,108.1664566,102.1127164,95.43883635,81.60933365,69.55645161,41.17647059
Afghanistan,2014,105.5381001,104.8319196,105.4257919,106.152187,107.0045195,107.9566509,111.7473361,108.6605363,102.5486065,92.20321229,81.28816684,69.45917285,38.88888889
Afghanistan,2015,105.6514363,104.8447084,105.2184611,105.998033,107.0047421,109.3565818,112.1980384,108.8857751,102.1585801,88.32532536,80.71121876,67.74580336,40
Africa,1950,101.6606829,100.6691463,100.1890076,100.7131096,100.7696677,99.81381058,98.91548036,93.80200664,88.2189129,82.30285524,,,
Africa,1951,101.8490464,100.8765132,100.2014208,100.4779017,100.7122813,99.72810652,98.94299204,94.27186266,88.5151834,82.37706454,,,
Africa,1952,101.325406,101.1127296,100.2461955,100.334786,100.7174683,99.65222629,99.02145476,94.75434809,88.81893446,82.41477608,,,
Africa,1953,101.2713279,101.322284,100.3310751,100.2646383,100.6651526,99.57197554,99.05042556,95.0645215,88.8383881,82.28161725,,,
Africa,1954,101.2673807,101.4600781,100.5018368,100.2504606,100.5247495,99.46171342,98.98378144,95.11936724,88.49063978,81.94933676,,,
Africa,1955,101.3076839,101.4829817,100.7537223,100.2704063,100.3691854,99.3122471,98.86735909,95.04136537,87.98132206,81.51124526,,,
Africa,1956,101.1587273,101.4586963,100.9797577,100.2310354,100.1901664,99.25571064,98.72573795,95.00973111,87.69517658,81.40731995,,,
Africa,1957,101.4629618,101.3690601,101.193188,100.2227086,100.0381292,99.16491784,98.61844637,94.95424823,87.35775887,81.20923402,,,
Africa,1958,101.5525501,101.2574771,101.3541588,100.3245309,99.92553205,99.11941336,98.55504249,94.95514394,87.28932957,81.13712112,,,
Africa,1959,101.6398713,101.1733382,101.3794482,100.5403429,99.88399444,99.13080495,98.54304177,95.06573555,87.61311746,81.26397549,,,
Africa,1960,101.7140161,101.170108,101.2629014,100.7988802,99.92248754,99.14103897,98.56771293,95.24532447,88.14243781,81.44611581,,,
Africa,1961,101.8660596,101.2358056,101.1823973,100.9379094,99.81365516,99.12830846,98.49491339,95.41516242,88.70073279,81.84989543,,,
Africa,1962,101.7973189,101.3244635,101.1302226,101.155143,99.72616714,99.12379599,98.45485122,95.56817769,89.19663338,82.20964936,,,
Africa,1963,101.8247177,101.4177951,101.1027653,101.3090392,99.74584271,99.05155269,98.39715793,95.66141673,89.50937959,82.23519939,,,
Africa,1964,101.8535072,101.4921692,101.1276622,101.3186955,99.91729498,98.84033777,98.29792267,95.6847326,89.61871169,81.87149708,,,
Africa,1965,101.8904977,101.5224371,101.2022323,101.2406334,100.2027829,98.51063136,98.1823681,95.67877036,89.64551525,81.3561339,,,
Africa,1966,101.9248306,101.5712983,101.2474067,101.1283589,100.4333332,98.31295064,98.01701056,95.61471989,89.74696839,81.17355986,,,
Africa,1967,101.9297598,101.6212456,101.2991252,101.083797,100.6850066,98.15187235,97.88326668,95.54608988,89.80973944,80.95658376,,,
Africa,1968,101.961866,101.6656677,101.3546053,101.1057203,100.8316095,98.07127381,97.82382529,95.50041878,89.88273098,80.96509207,,,
Africa,1969,101.9943559,101.6990483,101.4058457,101.1714398,100.8514507,98.05850366,97.84964251,95.49925453,90.00733141,81.27585644,,,
Africa,1970,102.0236293,101.7179844,101.4467485,101.2406019,100.8372219,98.05563293,97.92057042,95.53532127,90.16117648,81.70208332,,,
Africa,1971,102.0397343,101.7503656,101.4826957,101.21334,100.7575017,98.06578509,97.97434318,95.56145376,90.35323266,82.21294281,,,
Africa,1972,102.0451449,101.7684893,101.5309624,101.2272071,100.7033272,98.01521243,98.06091738,95.60485216,90.53568559,82.60120659,,,
Africa,1973,102.059781,101.7762158,101.5798913,101.2751667,100.6782156,98.04246588,98.08620874,95.64140744,90.66409469,82.81218365,,,
Africa,1974,102.0822126,101.7792487,101.6138438,101.3420534,100.7042988,98.19446052,98.03544019,95.66733147,90.70380124,82.83033208,,,
Africa,1975,102.1138176,101.7810402,101.6263787,101.4169669,100.7858075,98.39756491,97.9678774,95.70888844,90.68615311,82.74073072,,,
Africa,1976,102.1867787,101.8498274,101.6148216,101.307383,100.7128529,98.80202264,97.88424122,95.70949507,90.74710392,82.93821846,,,
Africa,1977,102.1522182,101.9262022,101.6657098,101.2848332,100.5632229,99.24565973,97.9231592,95.74973856,90.82784367,83.06709978,,,
Africa,1978,102.1793863,101.9901576,101.744471,101.3093422,100.389886,99.62185167,97.98236519,95.83109719,90.9396235,83.20538906,,,
Africa,1979,102.2013651,102.0244407,101.8116773,101.3443313,100.2884421,99.80406953,97.9770871,95.90773022,91.04969698,83.37078016,,,
Africa,1980,102.2151343,102.0184053,101.8493828,101.3861322,100.2973793,99.78361343,97.91519029,95.94020859,91.11738324,83.50817558,,,
Africa,1981,102.2255361,102.0258462,101.8666503,101.4059868,100.3769355,99.67645344,97.7003774,95.82623484,91.11284691,83.75441686,,,
Africa,1982,102.3040571,102.00669,101.8998948,101.4652815,100.4202603,99.56670765,97.49948954,95.68241605,91.09716246,83.92400589,,,
Africa,1983,102.3370704,101.970443,101.9248342,101.5302539,100.4405422,99.40808388,97.48701796,95.54897479,91.10377245,84.00422212,,,
Africa,1984,102.3662464,101.9314287,101.9098473,101.583157,100.481089,99.18438631,97.71290201,95.46595059,91.12934395,83.95881725,,,
Africa,1985,102.3916735,101.902591,101.8489326,101.6303912,100.5789652,98.91557685,98.05129633,95.43539154,91.15275382,83.7962914,,,
Africa,1986,102.491485,101.9575309,101.7763012,101.5133252,100.5678934,98.71913655,98.15367746,95.41329983,91.2199896,84.06036062,,,
Africa,1987,102.4106247,102.0263462,101.7638542,101.5073087,100.441083,98.55494161,98.23059775,95.37439668,91.28408333,84.27173927,,,
Africa,1988,102.4208373,102.0892325,101.7876913,101.536994,100.2631951,98.50699403,98.20700725,95.25162183,91.31798854,84.45898255,,,
Africa,1989,102.42614,102.1253149,101.830233,101.5433132,100.1834425,98.59255746,98.09040363,95.06069717,91.3251259,84.58560743,,,
Africa,1990,102.4260501,102.115335,101.8758392,101.535214,100.2669599,98.73719636,97.96218018,94.87485439,91.32933737,84.59876305,73.61026885,49.51536489,24.3774574
Africa,1991,102.442751,102.1337998,101.8751064,101.4676643,100.3405402,98.85262439,97.95937827,94.67239308,91.39514285,84.80453635,74.61462991,52.16853442,24.03003755
Africa,1992,102.3806777,102.1492578,101.8984439,101.4742426,100.4377347,98.96224771,98.03270114,94.4792545,91.52051894,84.89272222,75.32722021,54.1978496,24.91060787
Africa,1993,102.3659995,102.156312,101.9314259,101.5206377,100.508408,98.92140142,98.08620793,94.40151013,91.59965016,84.95615129,75.84898195,55.23754132,25.19596865
Africa,1994,102.3673941,102.1508475,101.9590274,101.5794975,100.5447664,98.6345201,98.07032063,94.47347123,91.51032555,85.01385798,76.2466102,54.45836638,25
Africa,1995,102.3894878,102.1281469,101.9727492,101.6399723,100.6009632,98.17205947,98.01199991,94.64044848,91.24994889,85.02689308,76.53306495,49.81312655,24.749499
Africa,1996,102.4035177,102.137558,101.9494154,101.5774619,100.6916539,97.91415315,97.81485437,94.77539796,90.92342644,85.03016351,77.02703595,52.73553575,24.43609023
Africa,1997,102.4606273,102.13694,101.987749,101.528522,100.760492,97.6684994,97.61878234,94.87871211,90.63921187,84.91590444,77.18548949,54.7590393,24.27695004
Africa,1998,102.5169884,102.1269724,102.0492084,101.4999331,100.7856182,97.62590884,97.51809136,94.98371031,90.40666468,84.86383259,76.9821075,56.26791185,24.59283388
Africa,1999,102.5680906,102.1113952,102.0721447,101.5241861,100.7820604,97.83938457,97.56955362,95.11768465,90.24144066,84.92705398,76.48742158,56.07197175,24.48512586
Africa,2000,102.6025809,102.0956115,102.0353055,101.6124961,100.7789732,98.16567699,97.72373578,95.27881923,90.13525441,85.01670766,75.81270158,53.26503749,24.2816092
Africa,2001,102.7161191,102.1366143,101.9423038,101.6216842,100.743478,98.45663933,97.80431461,95.41838742,90.1105576,85.26362977,75.92906129,57.17416715,24.25271739
Africa,2002,102.5862809,102.2062767,101.8940822,101.6836946,100.6617999,98.76002645,97.95471877,95.51669269,90.10485503,85.32200384,75.69520345,59.09700984,24.46877012
Africa,2003,102.5770376,102.2802915,101.878747,101.7212504,100.5987904,99.02374024,97.95903716,95.49792899,90.18062449,85.13970022,75.36584548,60.03817348,24.80243161
Africa,2004,102.5823398,102.3310052,101.9005836,101.6927801,100.617745,99.18211477,97.7265526,95.3771408,90.3655467,84.83126242,75.25884421,59.22827789,25.34482759
Africa,2005,102.61135,102.3316346,101.9507242,101.6307861,100.7165459,99.24205471,97.38094723,95.2365423,90.62426206,84.55858701,75.41102277,56.13061224,25.708061
Africa,2006,102.6147724,102.3538655,102.0049245,101.557473,100.7792753,99.32366942,97.06703793,95.10942194,90.82020061,84.46295211,76.2600082,59.04130405,26.15859938
Africa,2007,102.746242,102.3514509,102.0749223,101.5399645,100.8286482,99.41192738,96.78871338,94.95619883,91.00852774,84.37046153,76.72998999,60.76241198,26.88015526
Africa,2008,102.8350063,102.3387574,102.1413348,101.5795295,100.8350715,99.43776114,96.73117865,94.90490926,91.16073252,84.25971612,76.75523367,61.21437423,27.95257638
Africa,2009,102.9301204,102.336486,102.1684661,101.66472,100.824505,99.35473731,96.96387135,95.00679454,91.25478165,84.12506148,76.28885139,60.07414654,28.67583835
Africa,2010,103.0240947,102.3646522,102.1497616,101.7730634,100.8572112,99.1804047,97.3578034,95.19709221,91.30567218,83.99997192,75.46044759,56.04331285,29.58892959
Africa,2011,103.1727553,102.4428982,102.1113523,101.8145227,100.9308621,99.05870177,97.63038787,95.34034061,91.33337505,84.02096488,75.4642654,57.61950346,30.53199692
Africa,2012,103.1337818,102.5500198,102.1047193,101.9019198,101.006698,98.94661989,97.90759017,95.53637963,91.39741237,84.01742194,75.25485713,58.63435815,31.64649798
Africa,2013,103.184978,102.6634773,102.1258671,101.9717225,101.0833127,98.93412609,98.14128634,95.59801653,91.42676905,84.08927019,74.97661468,59.66071735,32.9742877
Africa,2014,103.2213513,102.7567632,102.1865875,101.9892453,101.1767936,99.04198706,98.30310922,95.46110758,91.38426827,84.26376256,74.67758065,59.56554775,33.91447368
Africa,2015,103.2389391,102.8031777,102.2796942,101.975553,101.2945833,99.20074508,98.42280757,95.24479488,91.29693674,84.4797268,74.29452871,58.27324723,34.99222395
Albania,1950,107.0560283,111.7265534,114.4893782,117.122778,119.1332946,101.4655282,100.9803922,97.23058399,85.31486804,85.92964824,,,
Albania,1951,105.7230671,110.6603175,114.2837108,116.4360819,118.9688158,98.43574021,103.1726847,99.47490023,83.04431599,84.83358548,,,
Albania,1952,105.0503517,109.4204243,114.0065147,115.5887231,118.7813417,95.09443218,105.2679245,102.2963127,80.55474453,83.66666667,,,
Albania,1953,104.5585275,108.1368137,113.5630298,115.0112785,118.3865608,94.70912138,106.8447914,103.7260152,79.85823981,83.14121037,,,
Albania,1954,104.3278837,106.936148,112.7155172,114.806867,117.8896247,98.53454292,107.4792654,102.6666667,81.98498749,83.55926312,,,
Albania,1955,104.2988476,105.9957532,111.4484587,114.7719199,117.3232957,104.6566693,107.4461896,100.5055415,85.26955201,84.3812709,,,
Albania,1956,104.2821772,105.285502,110.2849336,114.6091986,116.6347229,110.0153408,107.715474,98.8372093,87.78482499,85.18518519,,,
Albania,1957,104.6336807,104.7217623,109.1648659,114.3953132,115.7670346,115.2605327,108.4887006,97.16275909,89.83713355,86.14325931,,,
Albania,1958,104.8649478,104.3086267,108.0707812,113.8676582,115.1726672,118.7977691,107.850208,96.82179342,91.64060871,85.97899938,,,
Albania,1959,105.0788351,104.0312035,107.0390071,112.9069452,114.9530686,119.8783578,105.2431405,98.32589286,93.51362772,84.33048433,,,
Albania,1960,105.242544,103.8686226,106.0996804,111.6687745,114.9197017,119.4047738,101.7653305,100.925335,95.60220994,81.83322303,,,
Albania,1961,105.7610019,103.9975196,105.2886664,110.452734,114.6864569,119.1698633,98.66337919,103.1016383,97.79208832,79.56431535,,,
Albania,1962,105.3451207,104.254982,104.6234003,109.3091747,114.4450681,118.9385854,95.29665314,105.208993,100.6009615,77.14078374,,,
Albania,1963,105.3467584,104.5605338,104.1718735,108.1797307,113.9088895,118.496127,94.90060501,106.8153266,102.0280058,76.67511771,,,
Albania,1964,105.3522415,104.7984362,104.028013,107.1208348,112.9175187,117.9545044,98.73008266,107.5019335,100.9799453,78.90309556,,,
Albania,1965,105.3825738,104.8647485,104.1468002,106.2054248,111.6694547,117.367881,104.8392712,107.507963,98.87265136,82.03883495,,,
Albania,1966,105.3970084,104.9973845,104.2791944,105.3780078,110.4793171,116.6273105,110.1687289,107.743957,97.15510522,84.23423423,,,
Albania,1967,105.547602,105.0924192,104.4485486,104.6394889,109.3401995,115.7405255,115.3854518,108.5228106,95.44875296,85.81098672,,,
Albania,1968,105.6558561,105.152608,104.6291649,104.1949949,108.2043923,115.1075912,118.9092062,107.9136691,95.08680556,87.249499,,,
Albania,1969,105.7446949,105.1944628,104.7336837,104.1023521,107.1330672,114.8414563,119.9377916,105.2802028,96.55583973,88.83803712,,,
Albania,1970,105.8056401,105.2419487,104.758117,104.22424,106.1875459,114.7410649,119.4135077,101.7609025,99.13087935,90.75942645,,,
Albania,1971,105.9263985,105.3528219,104.8334973,104.3441798,105.3333333,114.5020552,119.1562029,98.56298684,101.0360054,92.59567388,,,
Albania,1972,105.8730056,105.4511402,104.9229716,104.4942464,104.5463802,114.2114261,118.8862465,95.13059457,102.874535,94.84057971,,,
Albania,1973,105.8853585,105.5301676,105.0152741,104.6146693,104.0663016,113.5954424,118.3801525,94.71596725,104.2092906,95.64965197,,,
Albania,1974,105.9397526,105.5966174,105.0930395,104.6745761,103.9582467,112.5458954,117.7523528,98.55936413,104.7225892,94.11283729,,,
Albania,1975,106.0536231,105.6486675,105.1680967,104.7173574,104.0807333,111.2403101,117.0889394,104.6525607,104.7094999,91.71023152,,,
Albania,1976,106.1750198,105.7575259,105.2612203,104.7946413,104.2035958,110.0293607,116.30887,109.8706444,104.8135161,89.8858075,,,
Albania,1977,106.5115128,105.873758,105.3643317,104.8932598,104.3647259,108.8679615,115.380353,114.975791,105.5285826,88.12486357,,,
Albania,1978,106.7748918,105.9860507,105.4701142,104.9873971,104.5013823,107.7083861,114.7094708,118.4075249,104.8466258,87.64068362,,,
Albania,1979,106.9663407,106.1095483,105.5601937,105.0589375,104.5652664,106.6066248,114.4161677,119.3997856,102.1569802,88.86618999,,,
Albania,1980,107.0446735,106.2454794,105.6292046,105.1199679,104.589794,105.6309013,114.2666072,118.9049478,98.61273364,91.0696164,,,
Albania,1981,107.2267776,106.4122615,105.6917202,105.1803389,104.6299569,104.7678523,113.9875046,118.5062241,95.22179432,92.52071963,,,
Albania,1982,106.8497275,106.5588079,105.7166877,105.2288905,104.6612354,103.9398947,113.6251452,118.136252,91.7119376,93.62853136,,,
Albania,1983,106.6288329,106.6954577,105.7635594,105.275423,104.6987342,103.4143945,112.9709211,117.6025488,91.27253015,94.27103911,,,
Albania,1984,106.4621581,106.8227445,105.9218909,105.3575018,104.7730856,103.3062103,111.9425069,117.0055102,95.06820567,94.35203095,,,
Albania,1985,106.4035613,106.9137236,106.2240137,105.4904034,104.9135761,103.4837617,110.7061503,116.4318406,101.0880567,94.19525066,,,
Albania,1986,106.3749791,107.096037,106.6855703,105.7957322,105.2259082,103.8136493,109.7026499,115.755463,106.1508421,94.38492796,,,
Albania,1987,106.9059067,107.2940343,107.2222569,106.1737511,105.6411806,104.2484986,108.8306903,115.0909969,111.1085044,95.18832222,,,
Albania,1988,107.1260522,107.3329082,107.5934869,106.4915679,105.9365782,104.5452775,107.83416,114.6052632,114.3392371,94.40547176,,,
Albania,1989,106.983406,107.0125346,107.447691,106.5250427,105.8435501,104.4160831,106.5333657,114.1107561,114.964397,91.22567429,,,
Albania,1990,106.3216449,106.2526512,106.6342745,106.0924837,105.2276113,103.7545418,104.838803,113.2518226,113.7718623,86.94421316,71.71381032,56.56565657,66.66666667
Albania,1991,106.2496765,106.0163192,106.2501903,105.1871159,102.7817956,101.2716805,102.0265004,111.7798082,112.6300954,83.28440965,73.00855826,59.10165485,66.66666667
Albania,1992,106.1211692,105.247522,105.4261208,104.3789679,100.0307787,98.0354279,98.57135156,109.5819209,110.9092863,79.04411765,72.53750815,60.87962963,63.63636364
Albania,1993,105.6255007,104.3544712,104.4918551,103.7665835,97.65459164,94.31607791,95.09572515,106.7712261,108.8322091,77.58512965,71.13268608,60.13363029,63.63636364
Albania,1994,105.6400507,103.956976,104.0297695,103.5071527,96.51801211,90.46925318,92.17524981,103.7526427,107.1232877,80.22478736,69.64171465,58.25688073,60
Albania,1995,106.6440334,104.5379989,104.476179,103.9457216,97.10629426,86.72997224,89.98643421,101.0719408,106.2415328,85.33392174,68.57142857,50.78651685,60
Albania,1996,106.7129397,103.9388336,102.8602959,101.617994,97.0812555,87.18765514,92.90164337,102.1805197,106.2983947,90.38096628,69.67921036,48.82459313,60
Albania,1997,106.1819946,104.4846293,102.7310924,100.2969141,97.18046519,88.12857509,96.66970584,104.7822114,107.2469113,95.91484465,71.84466019,48.50993377,60
Albania,1998,107.0063006,105.6326201,103.5071731,99.7212821,96.76769979,89.53956583,100.5598419,108.3903466,109.2851274,100.6116643,72.60726073,48.47512039,54.54545455
