Entity,Year,Trust in others (World Values Survey (2014))
South Africa,1984,29.03001
South Africa,1993,29.14418
South Africa,1998,15.36627
South Africa,2004,12.9
South Africa,2014,23.50609
South Korea,1984,38.01743
South Korea,1993,34.17413
South Korea,1998,30.26421
South Korea,2004,27.33333
South Korea,2009,30.15203
South Korea,2014,29.67309
Spain,1993,29.00662
Spain,1998,28.65401
Spain,2004,32.75434
Spain,2009,19.73244
Spain,2014,19.01944
Sweden,1998,56.59068
Sweden,2009,68.01661
Sweden,2014,63.75839
Switzerland,1993,26.28571
Switzerland,1998,34.48845
Switzerland,2009,49.42904
Taiwan,1998,37.16129
Taiwan,2009,24.20538
Taiwan,2014,29.63563
Tanzania,2004,7.8125
Thailand,2009,41.5082
Thailand,2014,32.57384
Trinidad and Tobago,2009,3.7962
Trinidad and Tobago,2014,3.2032
Tunisia,2014,15.51867
Turkey,1993,9.80583
Turkey,1998,5.45359
Turkey,2004,19.15777
Turkey,2009,4.769
Turkey,2014,12.00762
Uganda,2004,7.78443
Ukraine,1998,28.77979
Ukraine,2009,27.36156
Ukraine,2014,23.71274
United Kingdom,1998,29.09424
United Kingdom,2009,29.96146
United States,1998,35.21401
United States,2004,35.91667
United States,2009,39.56487
United States,2014,38.17277
Uruguay,1998,21.1
Uruguay,2009,28.43931
Uruguay,2014,14.43515
Uzbekistan,2014,13.92236
Venezuela,1998,13.33333
Venezuela,2004,15.83333
Vietnam,2004,38.7
Vietnam,2009,51.00536
Yemen,2014,38.5
Zambia,2009,11.04295
Zimbabwe,2004,10.97804
Zimbabwe,2014,7.2
