Entity,Year,"Estimated average age at marriage, women","Estimated average age at marriage, men"
Ireland,1995,28.1,30
Ireland,1996,28.5,30.4
Ireland,2005,30.5,32.400002
Ireland,2006,30.700001,32.5
Ireland,2007,30.9,32.700001
Ireland,2009,31.200001,33.099998
Ireland,2010,31.299999,33.099998
Ireland,2013,31.799999,33.5
Ireland,2014,30.700001,32.400002
Ireland,2015,32,33.799999
Isle of Man,1981,23.200001,25.700001
Isle of Man,1991,26.4,28.799999
Isle of Man,2001,29.299999,31.200001
Isle of Man,2011,30.700001,32.799999
Israel,2002,24.200001,27.1
Israel,2003,24.299999,27.200001
Israel,2004,24.5,27.4
Israel,2005,24.6,27.5
Israel,2006,24.6,27.6
Israel,2007,24.799999,27.6
Israel,2008,24.700001,27.5
Israel,2009,24.799999,27.6
Israel,2010,24.799999,27.6
Israel,2011,25,27.700001
Israel,2012,25,27.700001
Israel,2013,25.1,27.700001
Israel,2014,25,27.6
Israel,2015,25.200001,27.6
Israel,2016,24.5,27.200001
Israel,2017,25.1,27.5
Italy,1990,25.9,28.9
Italy,1991,26,29
Italy,1992,26.200001,29.200001
Italy,1993,26.4,29.4
Italy,1994,26.6,29.700001
Italy,1995,26.9,29.9
Italy,1996,27.1,30.1
Italy,1997,27.299999,30.4
Italy,1998,27,30.299999
Italy,1999,27.200001,30.4
Italy,2000,27.799999,30.9
Italy,2001,28.1,31.200001
Italy,2002,28.4,31.799999
Italy,2003,28.6,31.700001
Italy,2004,28.799999,32
Italy,2005,29.1,32.299999
Italy,2006,29.299999,32.5
Italy,2007,29.6,32.599998
Italy,2008,29.799999,32.799999
Italy,2009,30,33
Italy,2010,30.299999,33.200001
Italy,2011,30.5,33.5
Italy,2013,31.1,34
Italy,2014,31.299999,34.200001
Italy,2016,31.9,34.700001
Italy,2017,32.200001,35
Jamaica,1970,21.1,33
Jamaica,1982,32.200001,33.799999
Jamaica,1991,33.200001,34.599998
Japan,1990,25.9,28.4
Japan,1991,25.9,28.4
Japan,1992,26,28.4
Japan,1993,26.1,28.4
Japan,1994,26.200001,28.5
Japan,1995,26.299999,28.5
Japan,1996,26.4,28.5
Japan,1997,26.6,28.5
Japan,1998,26.700001,28.6
Japan,1999,26.799999,28.700001
Japan,2000,27,28.799999
Japan,2001,27.200001,29
Japan,2002,27.4,29.1
Japan,2003,27.6,29.4
Japan,2004,27.799999,29.6
Japan,2005,28,29.799999
Japan,2006,28.200001,30
Japan,2007,28.299999,30.1
Japan,2008,28.5,30.200001
Japan,2009,28.6,30.4
Japan,2010,28.799999,30.5
Japan,2011,29,30.700001
Japan,2012,29.200001,30.799999
Japan,2013,29.299999,30.9
Japan,2014,29.4,31.1
Japan,2015,29.4,31.1
Japan,2016,29.4,31.1
Japan,2017,29.4,31.1
Jordan,1976,21.5,26.200001
Jordan,1990,24.1,27.200001
Jordan,1997,25.299999,28.6
Jordan,2002,25.9,29.4
Jordan,2007,25.799999,29.5
Jordan,2009,24.700001,29.200001
Jordan,2012,25,29.799999
Jordan,2017,24.6,30.9
Kazakhstan,1979,,24.1
Kazakhstan,1989,,24.6
Kazakhstan,1995,21.4,
Kazakhstan,1999,21.6,26.1
Kazakhstan,2006,23.299999,
Kazakhstan,2009,,27.6
Kazakhstan,2010,23.1,
Kazakhstan,2015,22.4,
Kenya,1977,20,
Kenya,1984,18.299999,
Kenya,1988,21.1,
Kenya,1993,21.299999,
Kenya,1998,21.700001,26.299999
Kenya,2000,22.1,25.200001
Kenya,2003,21.4,26.299999
Kenya,2008,21.9,26.6
Kenya,2014,21.9,26.299999
Kiribati,1973,20.9,24.200001
Kiribati,1978,20.799999,23.799999
Kiribati,1985,21.1,24.200001
Kiribati,1990,21.5,24.5
Kiribati,1995,21.700001,24.799999
Kiribati,2005,22.200001,24.700001
Kiribati,2010,21.6,24.1
Korea,1990,24.799999,27.799999
Korea,1991,24.799999,27.9
Korea,1992,24.9,28
Korea,1993,25,28.1
Korea,1994,25.1,28.200001
Korea,1995,25.299999,28.4
Korea,1996,25.5,28.4
Korea,1997,25.700001,28.6
Korea,1998,26,28.799999
Korea,1999,26.299999,29.1
Korea,2000,26.5,29.299999
Korea,2001,26.799999,29.6
Korea,2002,27,29.799999
Korea,2003,27.299999,30.1
Korea,2004,27.5,30.5
Korea,2005,27.700001,30.9
Korea,2006,27.799999,31
Korea,2007,28.1,31.1
Korea,2008,28.299999,31.4
Korea,2009,28.700001,31.6
Korea,2010,28.9,31.799999
Korea,2011,29.1,31.9
Korea,2012,29.4,32.099998
Korea,2013,29.6,32.200001
Korea,2014,29.799999,32.400002
Korea,2015,30,32.599998
Korea,2016,30.1,32.799999
Korea,2017,30.200001,32.900002
Kosovo,2011,25.200001,28.200001
Kuwait,1970,19.6,26.5
Kuwait,1975,20.5,26.4
Kuwait,1980,21.700001,26.799999
Kuwait,1985,22.9,26.299999
Kuwait,1995,27,28.5
Kuwait,2005,27.5,28.9
Kuwait,2011,25.700001,27.799999
Kyrgyzstan,1979,,23.700001
Kyrgyzstan,1989,,24
Kyrgyzstan,1997,20.299999,
Kyrgyzstan,1999,,25
Kyrgyzstan,2005,22.5,
Kyrgyzstan,2009,,26.299999
Kyrgyzstan,2012,21.799999,
Kyrgyzstan,2014,21.200001,
Laos,2000,20.5,23.200001
Laos,2005,20.5,
Laos,2011,20.5,23.299999
Laos,2017,20.700001,24.6
Latvia,2002,25,27.200001
Latvia,2003,25.1,27.299999
Latvia,2004,25.299999,27.6
Latvia,2005,25.799999,28
Latvia,2006,26.1,28.299999
Latvia,2007,26.200001,28.5
Latvia,2008,26.5,28.799999
Latvia,2009,26.9,29.299999
Latvia,2010,27.1,29.4
Latvia,2011,27.299999,29.6
Latvia,2012,27.5,30
Latvia,2013,27.9,30.200001
Latvia,2014,28.200001,30.6
Latvia,2015,28.5,31
Latvia,2016,28.799999,31.1
Latvia,2017,28.9,31.5
Lebanon,1997,27.9,31.4
Lebanon,2004,27.4,31.4
Lebanon,2007,28.299999,32.299999
Lesotho,1977,19.4,
Lesotho,2000,21.700001,26.700001
Lesotho,2001,23.9,27.700001
Lesotho,2002,21.9,26.200001
Lesotho,2004,22.5,27.200001
Lesotho,2009,22.5,27
Lesotho,2011,24.4,28.5
Lesotho,2014,22.200001,28
Liberia,1969,18.700001,26.700001
Liberia,1970,19,27
Liberia,1986,20.200001,
Liberia,2006,22.1,25.299999
Liberia,2013,22.6,26.4
Libya,1973,18.700001,24.6
Libya,1984,23,27.4
Liechtenstein,1981,24.6,27.9
Liechtenstein,1982,24.9,28
Liechtenstein,1983,25,27.9
Liechtenstein,1985,25.6,28.5
Liechtenstein,1986,25.799999,28.700001
Liechtenstein,1987,26.1,28.799999
Liechtenstein,1997,28,30.6
Liechtenstein,2000,28.299999,31
Liechtenstein,2001,28.9,
Liechtenstein,2003,28.5,31.4
Liechtenstein,2004,,31.6
Liechtenstein,2005,28.799999,31.799999
Liechtenstein,2006,28.9,32.099998
Liechtenstein,2007,29.299999,32.299999
Liechtenstein,2008,29.4,32.400002
Liechtenstein,2009,29.4,32.5
Liechtenstein,2010,29.6,32.700001
Liechtenstein,2011,29.799999,32.599998
Liechtenstein,2014,29.799999,32.700001
Liechtenstein,2015,29.9,32.700001
Liechtenstein,2016,29.9,32.599998
Liechtenstein,2017,29.9,32.5
Liechtenstein,2018,29.9,32.400002
Lithuania,1990,22.700001,24.6
Lithuania,1991,22.5,24.4
Lithuania,1992,22.4,24.299999
Lithuania,1993,22.4,24.4
Lithuania,1994,22.5,24.5
Lithuania,1995,22.6,24.6
Lithuania,1996,22.799999,24.9
Lithuania,1997,23,25
Lithuania,1998,23.1,25.200001
Lithuania,1999,23.4,25.6
Lithuania,2000,23.799999,26.1
Lithuania,2001,24.1,26.4
Lithuania,2002,24.299999,26.700001
Lithuania,2003,24.6,27
Lithuania,2004,24.799999,27.1
Lithuania,2005,25,27.299999
Lithuania,2006,25.1,27.4
Lithuania,2007,25.5,27.799999
Lithuania,2008,25.799999,28
Lithuania,2009,26.200001,28.6
Lithuania,2010,26.5,28.700001
Lithuania,2011,26.700001,29
Lithuania,2013,27.1,29.5
Lithuania,2014,27.299999,29.700001
Lithuania,2015,27.5,28.9
Lithuania,2016,27.9,30.299999
Lithuania,2017,27.799999,30.5
Luxembourg,1990,25.6,27.700001
Luxembourg,1991,26.1,28.4
Luxembourg,1992,26.200001,28.5
Luxembourg,1993,25.799999,28.5
Luxembourg,1994,26.4,28.799999
Luxembourg,1995,26.700001,29.200001
Luxembourg,1996,26.6,29.1
Luxembourg,1997,27.200001,29.6
Luxembourg,1998,27.5,30
Luxembourg,1999,27.700001,30.200001
Luxembourg,2000,27.4,30.299999
Luxembourg,2001,27.9,30.6
Luxembourg,2002,27.9,30.5
Luxembourg,2003,28.200001,30.799999
Luxembourg,2004,28.5,31.5
Luxembourg,2005,28.9,31.5
Luxembourg,2006,29.4,31.799999
Luxembourg,2007,29.5,32
Luxembourg,2008,29.799999,32.099998
Luxembourg,2009,29.700001,32.400002
Luxembourg,2010,30.200001,32.799999
Luxembourg,2011,30.299999,32.900002
Luxembourg,2013,29.700001,32.700001
Luxembourg,2014,30.9,33
Luxembourg,2015,32.099998,34.799999
Luxembourg,2016,31.6,33.799999
Luxembourg,2017,31.6,34
Macao,1970,25.6,29
Macao,1981,26.9,29.6
Macao,1991,26.4,28.1
Macao,2001,27.9,29.5
Macao,2006,28,29.799999
Macao,2011,30.299999,32.700001
Macedonia,1994,22.9,26.700001
Macedonia,2011,25.5,
Madagascar,1992,20.799999,
Madagascar,1997,20.6,
Madagascar,2000,19.799999,23.9
Madagascar,2003,19.799999,24.1
Madagascar,2008,19,22.4
Malawi,1970,19.1,24.200001
Malawi,1982,18.200001,23.200001
Malawi,1984,18.1,
Malawi,1992,18.700001,
Malawi,1996,,26.4
Malawi,2000,18.9,23.5
Malawi,2004,18.9,23.6
Malawi,2006,18.799999,
Malawi,2010,19.700001,23.9
Malawi,2013,19.799999,24.6
Malawi,2015,19.9,23.700001
Malaysia,1991,24.6,27.9
Malaysia,2000,25.1,28.6
Malaysia,2010,25.700001,28
Maldives,1977,17.5,22.4
Maldives,1985,17.9,22.1
Maldives,1990,19.1,23.200001
Maldives,1995,18.9,24
Maldives,2000,21.799999,25.700001
Maldives,2014,22.5,25.799999
Mali,1960,16.200001,26.4
Mali,1987,16.4,
Mali,1995,18.4,25.799999
Mali,2001,18.5,25.9
Mali,2006,17.799999,24
Mali,2009,19.200001,
Mali,2012,18.5,25.9
Mali,2015,19.299999,27.200001
Mali,2018,18.799999,25.799999
Malta,1990,24.6,27.200001
Malta,1991,24.9,27.6
Malta,1992,25.1,27.700001
Malta,1993,25,27.5
Malta,1994,25.299999,27.700001
Malta,1995,25.6,28.1
Malta,1996,25.6,27.9
Malta,2003,26.799999,29.299999
Malta,2004,27.299999,29.700001
Malta,2006,27.799999,30.4
Malta,2007,28.1,30.200001
Malta,2008,28.5,30.799999
Malta,2009,28.700001,31.1
Malta,2010,28.6,31.299999
Malta,2011,29.200001,31.6
Marshall Islands,1988,21,23.700001
Marshall Islands,2011,24.200001,25.700001
Martinique,1982,28.799999,30.200001
Martinique,1999,33.299999,35.599998
Mauritania,1964,19.5,28.9
Mauritania,1990,23,29.6
Mauritania,2000,21.799999,29.4
Mauritania,2003,22,
Mauritania,2007,21.6,
Mauritania,2011,21.6,29.5
Mauritania,2015,21.799999,29.200001
Mauritius,1962,16.5,26.200001
Mauritius,1990,23.799999,28.200001
Mauritius,2000,22.6,28.5
Mauritius,2011,23.9,29.200001
Mayotte,2002,21.200001,26.1
Mayotte,2012,26.1,29.799999
Mexico,1995,20,23.200001
Mexico,2009,25.799999,28.700001
Mexico,2010,26.200001,29.1
Mexico,2011,26.299999,29.200001
Mexico,2012,26.6,29.4
Mexico,2013,26.9,29.799999
Mexico,2014,27.5,30.4
Micronesia (country),1985,22.6,25.5
Micronesia (country),1986,24.200001,26.4
Micronesia (country),2010,25.299999,
Moldova,1989,,23.799999
Moldova,1997,20.799999,
Moldova,2000,21.9,
Moldova,2004,,27.1
Moldova,2005,21.9,
Moldova,2012,21.9,
Moldova,2014,,28.700001
Monaco,1975,24.799999,27.200001
Monaco,1982,26.200001,28.700001
Monaco,2000,29.200001,32.5
Monaco,2008,30.4,33.400002
Mongolia,1979,,24.9
Mongolia,1989,,25
Mongolia,1994,23.299999,
Mongolia,1996,23.6,
Mongolia,1998,22.5,
Mongolia,2000,21.9,25.700001
Mongolia,2003,22.299999,
Mongolia,2005,23,
Mongolia,2008,22.5,
Mongolia,2010,23.4,26.200001
Mongolia,2013,23,
Montenegro,2003,26.200001,30.700001
Montenegro,2011,27.1,31.1
Montserrat,1970,27.5,31.5
Montserrat,1980,28.5,31.1
Montserrat,2011,31.9,31.5
Morocco,1971,,25
Morocco,1982,,27.1
Morocco,1987,24,
Morocco,1992,25,
Morocco,1994,,29.799999
Morocco,1995,26.299999,
Morocco,1997,28.1,
Morocco,2003,26.4,
Morocco,2004,,31.200001
Morocco,2010,26.299999,
Morocco,2018,24.4,
Mozambique,1997,18.1,22.6
Mozambique,2003,18.700001,
Mozambique,2008,18.799999,
Mozambique,2009,18.299999,22.700001
Mozambique,2011,18.9,22.9
Mozambique,2015,18.9,22.799999
Myanmar,1991,24.5,26.4
Myanmar,1997,26,
Myanmar,2000,24.799999,26.9
Myanmar,2001,25.799999,
Myanmar,2007,26.1,27.700001
Myanmar,2015,22.9,25.4
Namibia,1989,19.4,
Namibia,1992,26.4,
Namibia,2000,27.5,30.1
Namibia,2006,28.299999,30.200001
Namibia,2013,27.9,32.200001
Namibia,2016,30.299999,34.299999
Nauru,2007,20.200001,
Nepal,1976,17.1,20.799999
Nepal,1996,18.6,22
Nepal,2001,18.9,22.6
Nepal,2006,19.4,22.4
Nepal,2011,20,23.700001
Nepal,2014,20.700001,
Nepal,2016,20.1,23.6
Netherlands,1990,26.1,28.5
Netherlands,1991,26.5,28.799999
Netherlands,1992,26.700001,29.1
Netherlands,1993,26.9,29.299999
Netherlands,1994,27.200001,29.6
Netherlands,1995,27.299999,29.700001
Netherlands,1996,27.4,30
Netherlands,1997,27.6,30.200001
Netherlands,1998,27.799999,30.299999
Netherlands,1999,27.9,30.5
Netherlands,2000,28,30.700001
Netherlands,2001,28.1,30.700001
Netherlands,2002,28.5,31.200001
Netherlands,2004,29,31.700001
Netherlands,2005,29.200001,31.799999
Netherlands,2006,29.4,32
Netherlands,2007,29.5,32.299999
Netherlands,2008,29.799999,32.400002
Netherlands,2009,29.9,32.5
Netherlands,2010,29.799999,32.400002
Netherlands,2011,30.1,32.599998
Netherlands,2013,30.299999,32.900002
Netherlands,2014,30.4,33
Netherlands,2015,30.799999,33.299999
Netherlands,2016,31.1,33.599998
Netherlands,2017,31.4,33.900002
Netherlands Antilles,1981,26.5,28.700001
Netherlands Antilles,2001,30.200001,32.599998
New Caledonia,1976,22.5,26.5
New Caledonia,1989,27.799999,30.5
New Caledonia,1996,30.4,32.5
New Caledonia,2004,31.9,33.700001
New Caledonia,2014,32.799999,34.299999
New Zealand,1990,24.5,26.799999
New Zealand,1991,24.6,26.9
New Zealand,1992,24.9,27
New Zealand,1993,25.200001,27.299999
New Zealand,1994,25.5,27.5
New Zealand,1995,25.799999,27.799999
New Zealand,1996,26.1,28.1
New Zealand,1997,26.5,28.299999
New Zealand,1998,26.700001,28.6
New Zealand,1999,27,28.9
New Zealand,2000,27.4,29.200001
New Zealand,2001,27.5,29.299999
New Zealand,2002,27.6,29.4
New Zealand,2003,27.700001,29.5
New Zealand,2004,28.1,29.9
New Zealand,2005,28.200001,30.1
New Zealand,2006,28.299999,30
New Zealand,2007,28.200001,30
New Zealand,2008,28.200001,30
New Zealand,2009,28.200001,29.799999
New Zealand,2010,28.200001,29.9
New Zealand,2011,28.4,29.9
New Zealand,2012,28.5,30
New Zealand,2013,28.6,30.1
New Zealand,2014,28.700001,30.200001
New Zealand,2015,28.799999,30.200001
New Zealand,2016,29,30.299999
New Zealand,2017,29,30.200001
Nicaragua,1992,19.799999,
Nicaragua,1997,20,22.6
Nicaragua,1998,20,22.6
Nicaragua,2001,20.4,25.1
Nicaragua,2006,20.9,
Nicaragua,2011,21.1,
Niger,1992,17.5,25.1
Niger,1998,17.6,23.9
Niger,2000,17.700001,24.799999
Niger,2006,17.700001,25.1
Niger,2012,17.200001,25
Niger,2015,17.200001,24
Nigeria,1990,19.6,
Nigeria,2003,20.9,28
Nigeria,2007,21.5,
Nigeria,2008,21.5,28.5
Nigeria,2011,21.700001,
Nigeria,2013,21.200001,28.6
Niue,1971,25,25.700001
Niue,1976,25,27.1
Niue,1986,23.6,26.299999
Niue,1997,,29.1
Niue,2006,26.1,26.799999
Niue,2011,24.6,23.9
North Korea,2008,25.5,29
Northern Mariana Islands,1990,28.5,28.5
Northern Mariana Islands,2010,28.1,30.1
Norway,1990,26.4,29
Norway,1991,26.6,29.200001
Norway,1992,26.799999,29.4
Norway,1993,27,29.700001
Norway,1994,27.200001,30
Norway,1995,27.5,30.200001
Norway,1996,27.9,30.6
Norway,1997,28.200001,30.799999
Norway,1998,28.4,31.200001
Norway,1999,28.9,31.6
Norway,2000,28.4,30.9
Norway,2001,28.6,31
Norway,2002,28.700001,31.1
Norway,2006,30.4,33.099998
Norway,2007,30.6,33.400002
Norway,2008,31,33.799999
Norway,2009,30.9,33.5
Norway,2010,30.799999,33.700001
Norway,2011,31.1,33.900002
Norway,2012,31.4,34.099998
Norway,2013,31.5,34.299999
Norway,2014,31.6,34.400002
Norway,2015,31.9,34.599998
Norway,2016,31.9,34.700001
Norway,2017,32.299999,35
Oman,1993,20.700001,24.700001
Oman,2003,24.799999,28.1
Oman,2010,25.6,27.700001
Pakistan,1975,19.6,25.299999
Pakistan,1990,21.4,26.5
Pakistan,2000,22.700001,27.1
Pakistan,2006,23.1,26.9
Pakistan,2012,23.1,
Pakistan,2017,23.200001,26.9
Palau,2015,28.5,29.1
Palestine,1967,,25.200001
Palestine,1996,21.6,
Palestine,1997,,24.9
Palestine,2000,21.700001,
Palestine,2004,22.4,
Palestine,2006,22.9,
Palestine,2007,,26.6
Palestine,2010,23.200001,
Palestine,2014,22.5,
Palestine,2017,,26.5
Panama,1970,20.4,24.799999
Panama,1980,21.4,25.200001
Panama,1990,21.9,25.4
Panama,2000,21.9,25.799999
Panama,2010,21.6,25.299999
Papua New Guinea,1971,19.4,24.1
Papua New Guinea,1980,20.6,24.9
Papua New Guinea,1990,20.9,24.700001
Papua New Guinea,2011,22.6,27.1
Paraguay,1972,21.700001,26.5
Paraguay,1982,21.799999,26.299999
Paraguay,1992,21.5,25.799999
Paraguay,2002,22.700001,26.799999
Peru,1986,23.1,
Peru,1991,23.9,
Peru,1996,23.1,26.5
Peru,2000,23.6,
Peru,2003,24.4,28.200001
Peru,2007,24.1,28.200001
Peru,2009,23.200001,27.5
Peru,2010,23.1,27.799999
Peru,2011,23.6,28
Peru,2012,23.5,27.5
Peru,2013,23.4,
Peru,2014,23.5,
Peru,2015,22.9,
Peru,2016,23.299999,
Philippines,1970,,25.4
Philippines,1975,,25.5
Philippines,1978,24.5,
Philippines,1980,,24.799999
Philippines,1993,23.4,
Philippines,1995,,26.6
Philippines,1998,23.5,
Philippines,1999,24.200001,
Philippines,2003,23.200001,
Philippines,2008,23.299999,
Philippines,2010,,26.9
Philippines,2013,23.4,
Philippines,2015,,27.200001
Philippines,2017,23.4,
Poland,1993,23,25.299999
Poland,1994,23.200001,25.5
Poland,1995,23.299999,25.6
Poland,1996,23.4,25.700001
Poland,1997,23.6,26
Poland,1998,23.799999,26.1
Poland,1999,23.9,26.200001
Poland,2000,24.1,26.5
Poland,2001,24.4,26.700001
Poland,2002,24.6,27
Poland,2003,24.9,27.299999
Poland,2004,25.1,27.5
Poland,2005,25.299999,27.700001
Poland,2006,25.5,27.9
Poland,2007,25.6,28.1
Poland,2008,25.700001,28.200001
Poland,2009,25.9,28.299999
Poland,2010,26.1,28.4
Poland,2011,26.200001,28.6
Poland,2012,26.299999,28.700001
Poland,2013,26.6,29
Poland,2014,26.700001,29.1
Poland,2015,26.9,29.299999
Poland,2016,27.1,29.5
Poland,2017,27.299999,29.6
Portugal,1991,24,26.4
Portugal,1992,24.1,26.6
Portugal,1993,24.299999,26.700001
Portugal,1994,24.4,26.799999
Portugal,1995,24.5,26.9
Portugal,1996,24.700001,27
Portugal,1997,24.799999,27.1
Portugal,1998,24.9,27.200001
Portugal,1999,25,27.299999
Portugal,2000,25.200001,27.4
Portugal,2001,25.5,27.700001
Portugal,2002,25.700001,27.9
Portugal,2003,25.9,28.1
Portugal,2004,26,28.200001
Portugal,2005,26.299999,28.5
Portugal,2006,26.4,28.5
Portugal,2007,26.6,28.700001
Portugal,2008,26.799999,29
Portugal,2009,27.200001,29.299999
Portugal,2010,27.700001,29.9
Portugal,2011,28,30.1
Portugal,2012,28.4,30.4
Portugal,2014,29.799999,31.5
Portugal,2015,30.200001,31.9
Portugal,2016,30.4,32.200001
Portugal,2017,30.700001,32.5
Puerto Rico,1970,22.1,24
Puerto Rico,1980,22.5,24.299999
Puerto Rico,1990,23.799999,25.799999
Puerto Rico,2010,29.200001,30.799999
Qatar,1986,22.700001,26.6
Qatar,1997,25.299999,27.700001
Qatar,2004,25.799999,27.6
Reunion,1974,22.5,25.200001
Reunion,1982,25.799999,28.1
Reunion,1999,30.5,32.799999
Reunion,2004,31,33.200001
Romania,1990,22.4,25.6
Romania,1991,22.299999,25.6
Romania,1992,22.4,25.700001
Romania,1993,22.5,25.799999
Romania,1994,22.700001,26
Romania,1995,23.1,26.5
Romania,1996,23.1,26.5
Romania,1997,23.200001,26.6
Romania,1998,23.4,26.9
Romania,1999,23.4,27
Romania,2000,23.700001,27.299999
Romania,2001,23.9,27.6
Romania,2002,24.1,27.700001
Romania,2003,24.4,28
Romania,2004,25,28.700001
Romania,2005,25.1,28.799999
Romania,2006,25.200001,28.799999
Romania,2007,26.200001,30
Romania,2008,25.6,29.1
Romania,2009,25.5,28.9
Romania,2010,25.6,29
Romania,2011,25.799999,29.200001
Romania,2013,26.299999,29.700001
Romania,2014,26.700001,30.200001
Romania,2015,26.799999,30.299999
Romania,2016,27,30.4
Romania,2017,27.5,31
Russia,1989,21.799999,24.4
Russia,2010,24.4,27
Rwanda,1970,20.1,
Rwanda,1981,21.5,25
Rwanda,1983,21.1,
Rwanda,1992,22.700001,
Rwanda,1996,23.299999,24.799999
Rwanda,2000,22.6,25.5
Rwanda,2005,23.700001,26.5
Rwanda,2007,23.4,26.5
Rwanda,2011,24.4,26.6
Rwanda,2014,24.299999,27
Saint Kitts and Nevis,1970,28.9,33
Saint Kitts and Nevis,1980,31.299999,32.099998
Saint Lucia,1970,28.700001,32
Saint Lucia,1980,31.4,34.099998
Saint Lucia,1991,33.700001,35.099998
Saint Pierre and Miquelon,1974,21.799999,25.6
Saint Pierre and Miquelon,1982,23.9,26.4
Saint Pierre and Miquelon,1990,27.4,
Saint Pierre and Miquelon,1999,31.1,34.900002
Saint Vincent and the Grenadines,1970,28.4,32.799999
Saint Vincent and the Grenadines,1980,28.200001,32.200001
Saint Vincent and the Grenadines,1991,30.9,34.5
Saint Vincent and the Grenadines,2001,21.200001,27.799999
Saint Vincent and the Grenadines,2012,21.200001,27.799999
Samoa,1971,22,26.299999
Samoa,1976,22.1,26.299999
Samoa,1981,23.200001,27.299999
Samoa,1986,24.799999,28
Samoa,1991,24.299999,28.299999
Samoa,2001,24.299999,28.6
Samoa,2006,24.299999,29
Samoa,2011,23.5,27.9
Samoa,2016,23.799999,27.299999
San Marino,1970,20.6,26.1
San Marino,1971,20.700001,26.200001
San Marino,1972,21.1,26.299999
San Marino,1973,21.200001,26.4
San Marino,1974,21.299999,26.299999
San Marino,1975,21.4,26.4
San Marino,1976,21.700001,26.4
San Marino,1977,21.799999,26.5
San Marino,1978,22,26.6
San Marino,1979,22.4,26.700001
San Marino,1980,22.799999,27
San Marino,1981,23.200001,27.200001
San Marino,1982,23.6,27.200001
San Marino,1983,23.9,27.200001
San Marino,1984,24.1,27.299999
San Marino,1985,24.1,27.700001
San Marino,1986,24.299999,28
San Marino,1987,24.6,28.1
San Marino,1988,24.9,27.9
San Marino,1989,25.1,28.1
San Marino,1991,25.700001,28.700001
San Marino,1992,26,28.799999
San Marino,1993,26.4,28.9
San Marino,1994,26.6,29.299999
San Marino,1995,26.799999,29.5
San Marino,1997,27,29.799999
San Marino,2003,28.5,30.9
San Marino,2005,28.799999,
San Marino,2013,30.700001,33.200001
San Marino,2014,30.700001,33.5
San Marino,2017,31.200001,34
San Marino,2018,31.299999,34
Sao Tome and Principe,2000,19.299999,22.9
Sao Tome and Principe,2008,20.4,25
Sao Tome and Principe,2014,21,
Saudi Arabia,1987,21.700001,25.6
Saudi Arabia,1996,24,27.700001
Saudi Arabia,2007,24.9,28
Saudi Arabia,2016,27.1,30.5
Saudi Arabia,2017,26.6,30
Senegal,1960,17.4,28
Senegal,1970,18.6,28.700001
Senegal,1978,17.9,
Senegal,1986,19.5,
Senegal,1992,20.9,
Senegal,1997,21.5,
Senegal,1999,21.6,
Senegal,2000,21.5,29.700001
Senegal,2005,21.200001,27.799999
Senegal,2010,21.6,30
Senegal,2012,21.799999,29.9
Senegal,2014,22,30.299999
Senegal,2015,22,29.799999
Senegal,2016,21.799999,30.5
Senegal,2017,22.200001,30.6
Serbia,2002,,29.799999
Serbia,2005,25.1,
Serbia,2010,26,
Serbia,2011,,30.4
Serbia,2014,26.6,
Seychelles,1971,25.6,29.1
Seychelles,1981,22.799999,26.4
Seychelles,1987,23.799999,26.4
Seychelles,1994,24.799999,26.9
Seychelles,2002,25.200001,27.299999
Sierra Leone,1992,19.799999,27.700001
Sierra Leone,2000,18.6,26.6
Sierra Leone,2005,19.5,
Sierra Leone,2008,20.5,26.200001
Sierra Leone,2010,21,
Sierra Leone,2013,21.799999,26.799999
Sierra Leone,2017,23.1,27.9
Singapore,1970,24.200001,27.799999
Singapore,1980,26.200001,28.4
Singapore,1990,27,29.9
Singapore,2000,26.5,30
Singapore,2010,27.9,30.4
Sint Maarten (Dutch part),2011,28,32.299999
Slovakia,1999,23.299999,25.9
Slovakia,2000,24.1,26.9
Slovakia,2001,24.299999,27.1
Slovakia,2002,24.700001,27.6
Slovakia,2003,25.1,27.9
Slovakia,2004,25.4,28.299999
Slovakia,2006,26.299999,29.200001
Slovakia,2007,26.5,29.299999
Slovakia,2008,26.700001,29.5
Slovakia,2009,26.9,29.700001
Slovakia,2010,27.200001,30
Slovakia,2012,27.6,30.1
Slovakia,2013,27.799999,30.6
Slovakia,2014,28.1,30.799999
Slovakia,2015,28.200001,31.1
Slovakia,2016,28.299999,31.1
Slovakia,2017,28.6,31.200001
Slovenia,1990,23.9,26.9
Slovenia,1991,24.1,26.9
Slovenia,1992,24.4,27.4
Slovenia,1993,24.799999,27.799999
Slovenia,1994,25.1,28
Slovenia,1995,25.299999,28.1
Slovenia,1996,25.6,28.4
Slovenia,1997,25.9,28.799999
Slovenia,1998,26.200001,29.200001
Slovenia,1999,26.5,29.6
Slovenia,2000,27,29.9
Slovenia,2001,27.299999,30.299999
Slovenia,2002,27.700001,30.700001
Slovenia,2003,27.799999,30.700001
Slovenia,2004,28.1,30.9
Slovenia,2005,28.700001,31.5
Slovenia,2006,28.4,31.1
Slovenia,2007,28.6,31.200001
Slovenia,2008,28.6,31.299999
Slovenia,2009,28.5,31.200001
Slovenia,2010,29,31.700001
Slovenia,2011,29.4,32
Slovenia,2012,29.4,32.099998
Slovenia,2013,29.6,32.299999
Slovenia,2014,29.700001,32.200001
Slovenia,2015,30,32.299999
Slovenia,2016,30.299999,32.599998
Slovenia,2017,30.4,32.900002
