Entity,Year,area_disaggregated_categories,area_aggregated_categories
Irrigated villages,-2000,805.9898,
Irrigated villages,-1000,2210.6969,
Irrigated villages,0,6825.5251,
Irrigated villages,100,7111.2867,
Irrigated villages,200,7794.39389,
Irrigated villages,300,8290.78019,
Irrigated villages,400,8345.91888,
Irrigated villages,500,7107.1397,
Irrigated villages,600,5495.09649,
Irrigated villages,700,7803.40509,
Irrigated villages,800,9067.06749,
Irrigated villages,900,10006.9774,
Irrigated villages,1000,11983.0479,
Irrigated villages,1100,10239.20529,
Irrigated villages,1200,10005.79239,
Irrigated villages,1300,11356.75289,
Irrigated villages,1400,9732.32029,
Irrigated villages,1500,9305.30739,
Irrigated villages,1600,10882.65629,
Irrigated villages,1700,8162.18619,
Irrigated villages,1710,7667.29489,
Irrigated villages,1720,7205.69258,
Irrigated villages,1730,6878.79928,
Irrigated villages,1740,6601.72838,
Irrigated villages,1750,6085.81138,
Irrigated villages,1760,5754.53028,
Irrigated villages,1770,6028.51518,
Irrigated villages,1780,6113.68868,
Irrigated villages,1790,6235.35928,
Irrigated villages,1800,7006.02408,
Irrigated villages,1810,11041.36589,
Irrigated villages,1820,17710.62789,
Irrigated villages,1830,24078.08849,
Irrigated villages,1840,31641.34759,
Irrigated villages,1850,44465.51879,
Irrigated villages,1860,55280.24469,
Irrigated villages,1870,69821.2283,
Irrigated villages,1880,83892.043,
Irrigated villages,1890,103373.7989,
Irrigated villages,1900,128747.4563,
Irrigated villages,1910,159484.7117,
Irrigated villages,1920,210419.5531,
Irrigated villages,1930,262123.7191,
Irrigated villages,1940,357236.4684,
Irrigated villages,1950,387395.3852,
Irrigated villages,1960,620918.9813,
Irrigated villages,1970,797252.5501,
Irrigated villages,1980,1067609.366,
Irrigated villages,1990,1254430.825,
Irrigated villages,2000,1589109.227,
Irrigated villages,2001,1662462.622,
Irrigated villages,2002,1740283.57,
Irrigated villages,2003,1827088.046,
Irrigated villages,2004,1823849.796,
Irrigated villages,2005,1813736.228,
Irrigated villages,2006,1821192.942,
Irrigated villages,2007,1809126.419,
Irrigated villages,2008,1789219.926,
Irrigated villages,2009,1833336.372,
Irrigated villages,2010,1864945.948,
Irrigated villages,2011,1880547.361,
Irrigated villages,2012,1905852.297,
Irrigated villages,2013,1922305.055,
Irrigated villages,2014,1947953.397,
Irrigated villages,2015,1974818.956,
Mixed settlements,-10000,0,
Mixed settlements,-9000,0,
Mixed settlements,-8000,60.2029,
Mixed settlements,-7000,60.2029,
Mixed settlements,-6000,44.117,
Mixed settlements,-5000,44.117,
Mixed settlements,-4000,277.7667,
Mixed settlements,-3000,602.0583,
Mixed settlements,-2000,1360.1656,
Mixed settlements,-1000,4843.91682,
Mixed settlements,0,31611.85327,
Mixed settlements,100,42767.99715,
Mixed settlements,200,53420.31238,
Mixed settlements,300,66276.16788,
Mixed settlements,400,82125.95868,
Mixed settlements,500,98006.30389,
Mixed settlements,600,107952.6252,
Mixed settlements,700,114647.8743,
Mixed settlements,800,122397.5312,
Mixed settlements,900,127346.6337,
Mixed settlements,1000,131661.5859,
Mixed settlements,1100,141104.7417,
Mixed settlements,1200,154351.3407,
Mixed settlements,1300,167711.008,
Mixed settlements,1400,178295.4113,
Mixed settlements,1500,205350.222,
Mixed settlements,1600,219939.8835,
Mixed settlements,1700,405257.6747,
Mixed settlements,1710,405498.5899,
Mixed settlements,1720,391723.0354,
Mixed settlements,1730,392734.0976,
Mixed settlements,1740,398314.4125,
Mixed settlements,1750,389564.2006,
Mixed settlements,1760,349108.2667,
Mixed settlements,1770,315914.1319,
Mixed settlements,1780,347637.2474,
Mixed settlements,1790,366724.6254,
Mixed settlements,1800,340570.4779,
Mixed settlements,1810,415516.7555,
Mixed settlements,1820,420832.4237,
Mixed settlements,1830,465833.2591,
Mixed settlements,1840,491014.5659,
Mixed settlements,1850,522583.3695,
Mixed settlements,1860,546727.6175,
Mixed settlements,1870,503993.911,
Mixed settlements,1880,549097.1612,
Mixed settlements,1890,593071.5181,
Mixed settlements,1900,652408.405,
Mixed settlements,1910,713970.5061,
Mixed settlements,1920,793547.7018,
Mixed settlements,1930,837032.8558,
Mixed settlements,1940,847004.0625,
Mixed settlements,1950,903192.5774,
Mixed settlements,1960,984623.0237,
Mixed settlements,1970,1151954.059,
Mixed settlements,1980,1278475.27,
Mixed settlements,1990,1266426.802,
Mixed settlements,2000,1373100.045,
Mixed settlements,2001,1382975.641,
Mixed settlements,2002,1396827.846,
Mixed settlements,2003,1410359.687,
Mixed settlements,2004,1412089.416,
Mixed settlements,2005,1424281.124,
Mixed settlements,2006,1443065.407,
Mixed settlements,2007,1451797.341,
Mixed settlements,2008,1458336.245,
Mixed settlements,2009,1466605.877,
Mixed settlements,2010,1474741.727,
Mixed settlements,2011,1479684.651,
Mixed settlements,2012,1485329.891,
Mixed settlements,2013,1492728.599,
Mixed settlements,2014,1503811.026,
Mixed settlements,2015,1513518.92,
Pastoral villages,-10000,0,
Pastoral villages,-9000,0,
Pastoral villages,-8000,0,
Pastoral villages,-7000,0,
Pastoral villages,-6000,0,
Pastoral villages,-5000,0,
Pastoral villages,-4000,0,
Pastoral villages,-3000,0,
Pastoral villages,-2000,0,
Pastoral villages,-1000,0,
Pastoral villages,0,35.8928,
Pastoral villages,100,105.5407,
Pastoral villages,200,105.5407,
Pastoral villages,300,141.896,
Pastoral villages,400,69.6479,
Pastoral villages,500,75.20709,
Pastoral villages,600,492.19936,
Pastoral villages,700,422.47846,
Pastoral villages,800,698.20196,
Pastoral villages,900,767.84986,
Pastoral villages,1000,684.25806,
Pastoral villages,1100,684.25806,
Pastoral villages,1200,753.97896,
Pastoral villages,1300,1251.78766,
Pastoral villages,1400,1152.75796,
Pastoral villages,1500,849.88166,
Pastoral villages,1600,2240.26906,
Pastoral villages,1700,4972.98586,
Pastoral villages,1710,5556.4117,
Pastoral villages,1720,5791.0396,
Pastoral villages,1730,6161.05331,
Pastoral villages,1740,6683.82541,
Pastoral villages,1750,7093.65976,
Pastoral villages,1760,7795.85435,
Pastoral villages,1770,8475.83205,
Pastoral villages,1780,11363.9852,
Pastoral villages,1790,14797.0831,
Pastoral villages,1800,14114.4557,
Pastoral villages,1810,21985.61708,
Pastoral villages,1820,25734.36948,
Pastoral villages,1830,39624.34799,
Pastoral villages,1840,48597.03612,
Pastoral villages,1850,55916.62337,
Pastoral villages,1860,53903.97177,
Pastoral villages,1870,41466.69287,
Pastoral villages,1880,47618.33569,
Pastoral villages,1890,54281.54498,
Pastoral villages,1900,61788.28308,
Pastoral villages,1910,78874.92891,
Pastoral villages,1920,92197.8354,
Pastoral villages,1930,112741.8501,
Pastoral villages,1940,138801.0777,
Pastoral villages,1950,169978.1754,
Pastoral villages,1960,236547.8173,
Pastoral villages,1970,361483.53,
Pastoral villages,1980,514851.7989,
Pastoral villages,1990,579410.2283,
Pastoral villages,2000,726838.9054,
Pastoral villages,2001,745908.6765,
Pastoral villages,2002,758138.1069,
Pastoral villages,2003,766311.2565,
Pastoral villages,2004,768163.2253,
Pastoral villages,2005,775691.3937,
Pastoral villages,2006,797853.7153,
Pastoral villages,2007,809955.0608,
Pastoral villages,2008,820545.1275,
Pastoral villages,2009,835751.6625,
Pastoral villages,2010,846100.1231,
Pastoral villages,2011,853638.6756,
Pastoral villages,2012,850312.9484,
Pastoral villages,2013,856213.5989,
Pastoral villages,2014,867639.4348,
Pastoral villages,2015,874677.3669,
Pasture,-10000,,0
Pasture,-9000,,0
Pasture,-8000,,16.39491
Pasture,-7000,,29.852809
Pasture,-6000,,36.406759
Pasture,-5000,,102.649299
Pasture,-4000,,107.022909
Pasture,-3000,,53.706037
Pasture,-2000,,1093.22638
Pasture,-1000,,1001585.165
Pasture,0,,1639259.295
Pasture,100,,1759832.159
Pasture,200,,1827159.067
Pasture,300,,1845682.474
Pasture,400,,1784231.465
Pasture,500,,2266265.136
Pasture,600,,3151200.449
Pasture,700,,3841347.711
Pasture,800,,4516501.897
Pasture,900,,5057647.652
Pasture,1000,,5414287.511
Pasture,1100,,5738726.579
Pasture,1200,,6049711.335
Pasture,1300,,6288897.092
Pasture,1400,,6676085.886
Pasture,1500,,7176410.777
Pasture,1600,,8205189.399
Pasture,1700,,9054785.966
Pasture,1710,,8994970.486
Pasture,1720,,9376237.712
Pasture,1730,,10353585.84
Pasture,1740,,11293030.48
Pasture,1750,,13508354.9
Pasture,1760,,14120762.23
Pasture,1770,,14746897.69
Pasture,1780,,15338382.12
Pasture,1790,,15739231.32
Pasture,1800,,16560825.98
Pasture,1810,,17006658.7
Pasture,1820,,17381203.69
Pasture,1830,,19215112.75
Pasture,1840,,19894291.04
Pasture,1850,,20223678.4
Pasture,1860,,20448539.62
Pasture,1870,,20464789.32
Pasture,1880,,22371123.22
Pasture,1890,,24767203.82
Pasture,1900,,30587420.24
Pasture,1910,,32083953.22
Pasture,1920,,33201149.36
Pasture,1930,,34233852.34
Pasture,1940,,35620670.12
Pasture,1950,,36608066.52
Pasture,1960,,36701694.47
Pasture,1970,,36435475.37
Pasture,1980,,36589189.6
Pasture,1990,,36198988.03
Pasture,2000,,36224142.44
Pasture,2001,,36135480.8
Pasture,2002,,36079896.82
Pasture,2003,,35886425.73
Pasture,2004,,35837670.17
Pasture,2005,,35661262.51
Pasture,2006,,35686550.73
Pasture,2007,,35660235.96
Pasture,2008,,35557684.11
Pasture,2009,,35495142.33
Pasture,2010,,35468580.36
Pasture,2011,,35282237.83
Pasture,2012,,35162153.3
Pasture,2013,,35097066.75
Pasture,2014,,34995549.6
Pasture,2015,,34900570.94
Permanent ice,-10000,2777111.152,2777111.152
Permanent ice,-9000,2775102.73,2775102.73
Permanent ice,-8000,2765375.684,2765375.684
Permanent ice,-7000,2748934.884,2748934.884
Permanent ice,-6000,2743655.829,2743655.829
Permanent ice,-5000,2742036.428,2742036.428
Permanent ice,-4000,2735735.615,2735735.615
Permanent ice,-3000,2732168.816,2732168.816
Permanent ice,-2000,2725568.373,2725568.373
Permanent ice,-1000,2720972.057,2720972.057
Permanent ice,0,2704668.543,2704668.543
Permanent ice,100,2706814.884,2706814.884
Permanent ice,200,2709404.687,2709404.687
Permanent ice,300,2711984.393,2711984.393
Permanent ice,400,2711388.712,2711388.712
Permanent ice,500,2709301.02,2709301.02
Permanent ice,600,2704643.783,2704643.783
Permanent ice,700,2707286.682,2707286.682
Permanent ice,800,2709153.685,2709153.685
Permanent ice,900,2706875.213,2706875.213
Permanent ice,1000,2703789.238,2703789.238
Permanent ice,1100,2681735.387,2681735.387
Permanent ice,1200,2664169.61,2664169.61
Permanent ice,1300,2670873.052,2670873.052
Permanent ice,1400,2673614.096,2673614.096
Permanent ice,1500,2667057.773,2667057.773
Permanent ice,1600,2663941.238,2663941.238
Permanent ice,1700,2649715.941,2649715.941
Permanent ice,1710,2676913.121,2676913.121
Permanent ice,1720,2670691.685,2670691.685
Permanent ice,1730,2667654.007,2667654.007
Permanent ice,1740,2662888.55,2662888.55
Permanent ice,1750,2654248.936,2654248.936
Permanent ice,1760,2649383.021,2649383.021
Permanent ice,1770,2643753.825,2643753.825
Permanent ice,1780,2632350.97,2632350.97
Permanent ice,1790,2629161.12,2629161.12
Permanent ice,1800,2629592.281,2629592.281
Permanent ice,1810,2623593.497,2623593.497
Permanent ice,1820,2622017.893,2622017.893
Permanent ice,1830,2617639.935,2617639.935
Permanent ice,1840,2615164.04,2615164.04
Permanent ice,1850,2613204.381,2613204.381
Permanent ice,1860,2612327.68,2612327.68
Permanent ice,1870,2617370.916,2617370.916
Permanent ice,1880,2617752.034,2617752.034
Permanent ice,1890,2617401.347,2617401.347
Permanent ice,1900,2616117.47,2616117.47
Permanent ice,1910,2613523.449,2613523.449
Permanent ice,1920,2608053.896,2608053.896
Permanent ice,1930,2605780.729,2605780.729
Permanent ice,1940,2602780.874,2602780.874
Permanent ice,1950,2603095.774,2603095.774
Permanent ice,1960,2592975.717,2592975.717
Permanent ice,1970,2588621.333,2588621.333
Permanent ice,1980,2580913.912,2580913.912
Permanent ice,1990,2574269.041,2574269.041
Permanent ice,2000,2563447.852,2563447.852
Permanent ice,2001,2562452.415,2562452.415
Permanent ice,2002,2561382.042,2561382.042
Permanent ice,2003,2560406.128,2560406.128
Permanent ice,2004,2560102.667,2560102.667
Permanent ice,2005,2559951.639,2559951.639
Permanent ice,2006,2559796.79,2559796.79
Permanent ice,2007,2559569.933,2559569.933
Permanent ice,2008,2559341.619,2559341.619
Permanent ice,2009,2559217.843,2559217.843
Permanent ice,2010,2559190.976,2559190.976
Permanent ice,2011,2559190.976,2559190.976
Permanent ice,2012,2559190.976,2559190.976
Permanent ice,2013,2558174.438,2558174.438
Permanent ice,2014,2558174.438,2558174.438
Permanent ice,2015,2558174.438,2558174.438
Populated rainfed croplands,-10000,0,
Populated rainfed croplands,-9000,0,
Populated rainfed croplands,-8000,0,
Populated rainfed croplands,-7000,0,
Populated rainfed croplands,-6000,238.34308,
Populated rainfed croplands,-5000,7351.31793,
Populated rainfed croplands,-4000,134658.5461,
Populated rainfed croplands,-3000,212545.2206,
Populated rainfed croplands,-2000,277445.5226,
Populated rainfed croplands,-1000,572399.3005,
Populated rainfed croplands,0,423958.4676,
Populated rainfed croplands,100,456195.3475,
Populated rainfed croplands,200,451960.2269,
Populated rainfed croplands,300,397391.8483,
Populated rainfed croplands,400,427127.9698,
Populated rainfed croplands,500,435372.0675,
Populated rainfed croplands,600,428845.5485,
Populated rainfed croplands,700,428699.5548,
Populated rainfed croplands,800,411315.986,
Populated rainfed croplands,900,422969.0501,
Populated rainfed croplands,1000,430065.0531,
Populated rainfed croplands,1100,408425.7899,
Populated rainfed croplands,1200,380787.7247,
Populated rainfed croplands,1300,324464.5136,
Populated rainfed croplands,1400,388514.1773,
Populated rainfed croplands,1500,409438.9528,
Populated rainfed croplands,1600,254976.6952,
Populated rainfed croplands,1700,225067.9839,
Populated rainfed croplands,1710,219779.1107,
Populated rainfed croplands,1720,221636.095,
Populated rainfed croplands,1730,233813.2158,
Populated rainfed croplands,1740,242369.4941,
Populated rainfed croplands,1750,250280.4926,
Populated rainfed croplands,1760,254030.9755,
Populated rainfed croplands,1770,270769.2518,
Populated rainfed croplands,1780,291938.2898,
Populated rainfed croplands,1790,323512.0231,
Populated rainfed croplands,1800,370714.4249,
Populated rainfed croplands,1810,434217.4105,
Populated rainfed croplands,1820,500701.0782,
Populated rainfed croplands,1830,622340.9835,
Populated rainfed croplands,1840,892875.2278,
Populated rainfed croplands,1850,1084597.867,
Populated rainfed croplands,1860,1453825.12,
Populated rainfed croplands,1870,1669989.492,
Populated rainfed croplands,1880,2054688.315,
Populated rainfed croplands,1890,2400762.758,
Populated rainfed croplands,1900,2604141.229,
Populated rainfed croplands,1910,3018833,
Populated rainfed croplands,1920,3690612.552,
Populated rainfed croplands,1930,4323781.571,
Populated rainfed croplands,1940,4661078.459,
Populated rainfed croplands,1950,5075556.465,
Populated rainfed croplands,1960,5489868.352,
Populated rainfed croplands,1970,5366081.744,
Populated rainfed croplands,1980,5324033.405,
Populated rainfed croplands,1990,5313026.934,
Populated rainfed croplands,2000,5308252.878,
Populated rainfed croplands,2001,5311922.508,
Populated rainfed croplands,2002,5302390.171,
Populated rainfed croplands,2003,5346139.081,
Populated rainfed croplands,2004,5377619.873,
Populated rainfed croplands,2005,5388630.95,
Populated rainfed croplands,2006,5370246.358,
Populated rainfed croplands,2007,5378107.476,
Populated rainfed croplands,2008,5404482.635,
Populated rainfed croplands,2009,5415613.526,
Populated rainfed croplands,2010,5406669.475,
Populated rainfed croplands,2011,5443421.155,
Populated rainfed croplands,2012,5473003.416,
Populated rainfed croplands,2013,5513006.952,
Populated rainfed croplands,2014,5535565.592,
Populated rainfed croplands,2015,5550445.564,
Populated rangelands,-10000,0,
Populated rangelands,-9000,0,
Populated rangelands,-8000,0,
Populated rangelands,-7000,7.76393,
Populated rangelands,-6000,7.76393,
Populated rangelands,-5000,4.63137,
Populated rangelands,-4000,4.63137,
Populated rangelands,-3000,4.63137,
Populated rangelands,-2000,428.04447,
Populated rangelands,-1000,124788.9951,
Populated rangelands,0,714495.2474,
Populated rangelands,100,761411.383,
Populated rangelands,200,797116.3461,
Populated rangelands,300,809866.5279,
Populated rangelands,400,821926.6738,
Populated rangelands,500,932228.2993,
Populated rangelands,600,1153007.155,
Populated rangelands,700,1257916.955,
Populated rangelands,800,1620338.341,
Populated rangelands,900,1997319.664,
Populated rangelands,1000,2234562.616,
Populated rangelands,1100,2464628.672,
Populated rangelands,1200,2503773.967,
Populated rangelands,1300,2587310.666,
Populated rangelands,1400,2957192.757,
Populated rangelands,1500,3104236.101,
Populated rangelands,1600,3669789.743,
Populated rangelands,1700,4090112.206,
Populated rangelands,1710,4089062.978,
Populated rangelands,1720,4278394.292,
Populated rangelands,1730,4628350.005,
Populated rangelands,1740,4974488.239,
Populated rangelands,1750,5651783.699,
Populated rangelands,1760,6032957.896,
Populated rangelands,1770,6416712.109,
Populated rangelands,1780,6811167.214,
Populated rangelands,1790,7010132.848,
Populated rangelands,1800,7166914.142,
Populated rangelands,1810,7397413.682,
Populated rangelands,1820,7554062.075,
Populated rangelands,1830,8086593.692,
Populated rangelands,1840,8475637.052,
Populated rangelands,1850,8589792.539,
Populated rangelands,1860,8578602.391,
Populated rangelands,1870,8423974.975,
Populated rangelands,1880,8568133.272,
Populated rangelands,1890,8934156.875,
Populated rangelands,1900,9931786.131,
Populated rangelands,1910,10564868.27,
Populated rangelands,1920,11086513.92,
Populated rangelands,1930,11571113.82,
Populated rangelands,1940,12109945.61,
Populated rangelands,1950,12473525.19,
Populated rangelands,1960,12740168.77,
Populated rangelands,1970,12662737.01,
Populated rangelands,1980,12534816.93,
Populated rangelands,1990,12204552.24,
Populated rangelands,2000,11747394.47,
Populated rangelands,2001,11691572.22,
Populated rangelands,2002,11637932.24,
Populated rangelands,2003,11544698.49,
Populated rangelands,2004,11471011.59,
Populated rangelands,2005,11354909.28,
Populated rangelands,2006,11313587.3,
Populated rangelands,2007,11258648.06,
Populated rangelands,2008,11180219.72,
Populated rangelands,2009,11115662.48,
Populated rangelands,2010,11068664.28,
Populated rangelands,2011,10918024.82,
Populated rangelands,2012,10840973.19,
Populated rangelands,2013,10778410.12,
Populated rangelands,2014,10713551.28,
Populated rangelands,2015,10656902.79,
Populated woodlands,-10000,202145.3705,
Populated woodlands,-9000,305899.3411,
Populated woodlands,-8000,436282.8978,
Populated woodlands,-7000,649973.4792,
Populated woodlands,-6000,1245651.096,
Populated woodlands,-5000,2465190.755,
Populated woodlands,-4000,4358694.027,
Populated woodlands,-3000,5651020.864,
Populated woodlands,-2000,7264413.201,
Populated woodlands,-1000,7914982.123,
Populated woodlands,0,8009511.287,
Populated woodlands,100,8496187.364,
Populated woodlands,200,9041497.007,
Populated woodlands,300,10158701.97,
Populated woodlands,400,10375712.47,
Populated woodlands,500,10681812.09,
Populated woodlands,600,10861762.26,
Populated woodlands,700,11430942,
Populated woodlands,800,11924461.41,
Populated woodlands,900,11887605.49,
Populated woodlands,1000,12234439.53,
Populated woodlands,1100,12372028.9,
Populated woodlands,1200,12888773.27,
Populated woodlands,1300,13174823.06,
Populated woodlands,1400,13886171.97,
Populated woodlands,1500,13987854.59,
Populated woodlands,1600,11178742.72,
Populated woodlands,1700,11453087.16,
Populated woodlands,1710,11562095.25,
Populated woodlands,1720,11656356.07,
Populated woodlands,1730,11746700.75,
Populated woodlands,1740,11743401.52,
Populated woodlands,1750,11624451.89,
Populated woodlands,1760,11546792.09,
Populated woodlands,1770,11463916.07,
Populated woodlands,1780,11339822.29,
Populated woodlands,1790,11269009.51,
Populated woodlands,1800,11346663.15,
Populated woodlands,1810,11373448.25,
Populated woodlands,1820,11412345.39,
Populated woodlands,1830,11389661.62,
Populated woodlands,1840,11352960.86,
Populated woodlands,1850,11214483.92,
Populated woodlands,1860,11101167.65,
Populated woodlands,1870,11034853.45,
Populated woodlands,1880,10758953.67,
Populated woodlands,1890,10655681.79,
Populated woodlands,1900,10383849.51,
Populated woodlands,1910,10239757.23,
Populated woodlands,1920,9858951.591,
Populated woodlands,1930,9365993.364,
Populated woodlands,1940,8835333.015,
Populated woodlands,1950,8519665.717,
Populated woodlands,1960,8300202.649,
Populated woodlands,1970,8178187.947,
Populated woodlands,1980,8154644.583,
Populated woodlands,1990,8016672.381,
Populated woodlands,2000,7673846.416,
Populated woodlands,2001,7646183.02,
Populated woodlands,2002,7620471.6,
Populated woodlands,2003,7587476.4,
Populated woodlands,2004,7549082.313,
Populated woodlands,2005,7546343.945,
Populated woodlands,2006,7528367.776,
Populated woodlands,2007,7491598.2,
Populated woodlands,2008,7462502.357,
Populated woodlands,2009,7436556.462,
Populated woodlands,2010,7414057.903,
Populated woodlands,2011,7389062.684,
Populated woodlands,2012,7359985.987,
Populated woodlands,2013,7354309.715,
Populated woodlands,2014,7348604.363,
Populated woodlands,2015,7342981.073,
Rainfed villages,-10000,0,
Rainfed villages,-9000,0,
Rainfed villages,-8000,0,
Rainfed villages,-7000,0,
Rainfed villages,-6000,60.2029,
Rainfed villages,-5000,177.5596,
Rainfed villages,-4000,320.8751,
Rainfed villages,-3000,320.8751,
Rainfed villages,-2000,936.50707,
Rainfed villages,-1000,2470.59194,
Rainfed villages,0,24418.94176,
Rainfed villages,100,26585.52991,
Rainfed villages,200,32525.69171,
Rainfed villages,300,39707.24579,
Rainfed villages,400,46539.04385,
Rainfed villages,500,52995.9856,
Rainfed villages,600,62808.48731,
Rainfed villages,700,75186.16196,
Rainfed villages,800,89044.14766,
Rainfed villages,900,101920.6807,
Rainfed villages,1000,112334.6135,
Rainfed villages,1100,156323.2687,
Rainfed villages,1200,194635.7403,
