Entity,Year,Projected global extreme poverty rate,Projected extreme poor in fragile states,Projected share of global extreme poor living in fragile states,Projected share of world population living in fragile states,Projected extreme poverty rate amongst fragile states,Projected extreme poor not in fragile states
OECD Chronic list,2024,6.148591,3.6110489,58.729702,14.941732,24.16754,2.5375421
OECD Chronic list,2025,5.9708366,3.5291591,59.106613,15.132594,23.321573,2.4416776
OECD Chronic list,2026,5.801909,3.4470363,59.412106,15.324962,22.492952,2.3548727
OECD Chronic list,2027,5.6460905,3.3706062,59.698055,15.518865,21.719414,2.2754843
OECD Chronic list,2028,5.5014191,3.2991254,59.968624,15.714355,20.994343,2.2022936
OECD Chronic list,2029,5.3661633,3.232074,60.230633,15.911524,20.312788,2.1340892
OECD Chronic list,2030,5.2406201,3.1687946,60.466026,16.110422,19.669222,2.0718255
OECD Chronic list,2031,5.1131282,3.1048524,60.723148,16.310991,19.035339,2.0082757
World Bank 2009 list,2015,9.9044209,2.3450079,23.676376,6.6283951,35.378216,7.559413
World Bank 2009 list,2016,9.3372269,2.3784537,25.472805,6.7109952,35.441147,6.9587731
World Bank 2009 list,2017,8.7134438,2.3703642,27.203529,6.7947731,34.885113,6.3430796
World Bank 2009 list,2018,8.1056843,2.3426759,28.901642,6.8797359,34.051826,5.7630081
World Bank 2009 list,2019,7.5978303,2.3257654,30.610912,6.9659395,33.387676,5.2720652
World Bank 2009 list,2020,7.1839075,2.3055522,32.093288,7.0534077,32.687069,4.878355
World Bank 2009 list,2021,6.8628907,2.2836416,33.275215,7.1421132,31.97431,4.5792494
World Bank 2009 list,2022,6.5936046,2.2613804,34.296574,7.2319703,31.269215,4.3322239
World Bank 2009 list,2023,6.3488474,2.2024174,34.690033,7.3228807,30.075832,4.14643
World Bank 2009 list,2024,6.148591,2.1482365,34.938683,7.4147139,28.972614,4.0003548
World Bank 2009 list,2025,5.9708366,2.0982585,35.141788,7.5073695,27.949318,3.8725781
World Bank 2009 list,2026,5.801909,2.0478392,35.295952,7.6007833,26.942474,3.7540698
World Bank 2009 list,2027,5.6460905,2.00109,35.442047,7.6949511,26.005234,3.6450005
World Bank 2009 list,2028,5.5014191,1.9575921,35.583405,7.7899008,25.129873,3.5438271
World Bank 2009 list,2029,5.3661633,1.9170392,35.724579,7.8856902,24.310352,3.4491241
World Bank 2009 list,2030,5.2406201,1.8791661,35.857704,7.9823499,23.541515,3.361454
World Bank 2009 list,2031,5.1131282,1.8414038,36.013252,8.0798454,22.790089,3.2717242
World Bank 2019 list,2015,9.9044209,2.4569478,24.806578,6.3777785,38.523567,7.447473
World Bank 2019 list,2016,9.3372269,2.5214555,27.004328,6.4650497,39.001331,6.8157711
World Bank 2019 list,2017,8.7134438,2.5235,28.960995,6.5523701,38.512783,6.1899438
World Bank 2019 list,2018,8.1056843,2.5083587,30.945673,6.6400633,37.776123,5.5973253
World Bank 2019 list,2019,7.5978303,2.5003552,32.908806,6.7286601,37.159779,5.0974751
World Bank 2019 list,2020,7.1839075,2.4844236,34.583183,6.818541,36.436295,4.6994839
World Bank 2019 list,2021,6.8628907,2.4684389,35.967915,6.9097338,35.724079,4.3944521
World Bank 2019 list,2022,6.5936046,2.4314816,36.876362,7.0021086,34.724991,4.1621227
World Bank 2019 list,2023,6.3488474,2.3769848,37.439625,7.0957041,33.498928,3.9718626
World Bank 2019 list,2024,6.148591,2.3253624,37.819435,7.1905327,32.339222,3.8232286
World Bank 2019 list,2025,5.9708366,2.2763426,38.124348,7.2865953,31.240139,3.694494
World Bank 2019 list,2026,5.801909,2.2247858,38.345757,7.3838878,30.130278,3.5771232
World Bank 2019 list,2027,5.6460905,2.1760228,38.540344,7.4823995,29.081884,3.4700677
World Bank 2019 list,2028,5.5014191,2.129705,38.711918,7.5820975,28.088596,3.3717141
World Bank 2019 list,2029,5.3661633,2.0858185,38.869827,7.6829395,27.148703,3.2803447
World Bank 2019 list,2030,5.2406201,2.044215,39.007122,7.7848754,26.258802,3.1964052
World Bank 2019 list,2031,5.1131282,2.0023141,39.160255,7.8878617,25.384752,3.1108141
