Entity,Year,Aircraft Departures (000s),Aircraft travel distance (million kilometers),Available seat kilometers; ASKs (millions),Cargo revenue tonne kilometres; RTKs (millions),Freight revenue tonne kilometres; RTKs (millions),Freight tonnes (millions),Mail revenue tonne kilometers; RTKs (millions),Number of passengers (millions),Passenger load factor (passengers / available seats),Revenue passenger kilometers (millions)
World,2007,29869.3673,34934.65973,5876065.252,177261.4735,172843.8177,41.37442707,4417.655743,2461.98632,0.768047272,4513095.887
World,2008,29988.85603,35768.81234,6062667.139,176052.3385,171158.7534,39.92845338,4893.585085,2500.044332,0.760138426,4608466.258
World,2009,29372.40387,34893.65962,5948502.618,160439.1699,155819.0847,39.97733513,4620.085168,2488.281562,0.766817019,4561413.043
World,2010,30754.20713,38394.97948,6299369.554,191486.1103,186630.695,47.6424571,4855.415236,2705.058913,0.781701864,4924228.924
World,2011,31767.56639,40470.83718,6727814.246,192196.2847,187190.5908,48.67737465,5005.693851,2870.328688,0.780066163,5248140.247
World,2012,32192.98685,41484.58611,7010807.087,190433.3612,185238.5802,47.9901931,5194.780985,3003.507414,0.788622512,5528880.293
World,2013,32583.09928,42771.82119,7338216.026,191561.6796,185975.3559,49.08391517,5586.323711,3137.946197,0.794820491,5832564.467
World,2014,33272.69256,44493.68318,7753754.538,200709.0998,194633.1133,50.69061077,6075.986434,3316.279759,0.797185079,6181177.422
World,2015,34193.29948,46738.799,8281129.672,203679.8599,197131.1198,50.95547929,6548.740063,3555.826937,0.802386457,6644666.295
World,2016,35515.014,49240.37564,8887994.643,210867.6547,204186.8862,52.828906,6680.768453,3794.140496,0.802855178,7135772.521
World,2017,36543.13206,51832.06834,9477044.86,230444.9528,222995.8165,56.589943,7449.136282,4062.124237,0.81324063,7707117.93
World,2018,37822.6859,54278.57873,10105144.45,238360.6382,230967.3643,57.967748,7393.273931,4322.354493,0.817171359,8257634.62
