Entity,Year,Same sex marriage and civil unions legal,Number of countries that have legalised same-sex marriage
Iceland,2010,Same-sex marriage legal,
India,2020,Same-sex marriage not legally recognized,
Indonesia,2020,Same-sex marriage not legally recognized,
Iran,2020,Same-sex marriage not legally recognized,
Iraq,2020,Same-sex marriage not legally recognized,
Ireland,2015,Same-sex marriage legal,
Isle of Man,2020,Same-sex marriage not legally recognized,
Israel,2006,Some rights to same-sex couples,
Italy,2016,Some rights to same-sex couples,
Jamaica,2020,Same-sex marriage not legally recognized,
Japan,2020,Same-sex marriage not legally recognized,
Jordan,2020,Same-sex marriage not legally recognized,
Kazakhstan,2020,Same-sex marriage not legally recognized,
Kenya,2020,Same-sex marriage not legally recognized,
Kiribati,2020,Same-sex marriage not legally recognized,
Kosovo,2020,Same-sex marriage not legally recognized,
Kuwait,2020,Same-sex marriage not legally recognized,
Kyrgyzstan,2020,Same-sex marriage not legally recognized,
Laos,2020,Same-sex marriage not legally recognized,
Latvia,2020,Same-sex marriage not legally recognized,
Lebanon,2020,Same-sex marriage not legally recognized,
Lesotho,2020,Same-sex marriage not legally recognized,
Liberia,2020,Same-sex marriage not legally recognized,
Libya,2020,Same-sex marriage not legally recognized,
Liechtenstein,2011,Some rights to same-sex couples,
Lithuania,2020,Same-sex marriage not legally recognized,
Luxembourg,2014,Same-sex marriage legal,
Macao,2020,Same-sex marriage not legally recognized,
Madagascar,2020,Same-sex marriage not legally recognized,
Malawi,2020,Same-sex marriage not legally recognized,
Malaysia,2020,Same-sex marriage not legally recognized,
Maldives,2020,Same-sex marriage not legally recognized,
Mali,2020,Same-sex marriage not legally recognized,
Malta,2017,Same-sex marriage legal,
Marshall Islands,2020,Same-sex marriage not legally recognized,
Mauritania,2020,Same-sex marriage not legally recognized,
Mauritius,2020,Same-sex marriage not legally recognized,
Mexico,2009,Same-sex marriage legal in some jurisdictions,
Micronesia (country),2020,Same-sex marriage not legally recognized,
Moldova,2020,Same-sex marriage not legally recognized,
Monaco,2020,Same-sex marriage not legally recognized,
Mongolia,2020,Same-sex marriage not legally recognized,
Montenegro,2020,Same-sex marriage not legally recognized,
Morocco,2020,Same-sex marriage not legally recognized,
Mozambique,2020,Same-sex marriage not legally recognized,
Myanmar,2020,Same-sex marriage not legally recognized,
Namibia,2020,Same-sex marriage not legally recognized,
Nauru,2020,Same-sex marriage not legally recognized,
Nepal,2020,Same-sex marriage not legally recognized,
Netherlands,2000,Same-sex marriage legal,
New Caledonia,2020,Same-sex marriage not legally recognized,
New Zealand,2013,Same-sex marriage legal,
Nicaragua,2020,Same-sex marriage not legally recognized,
Niger,2020,Same-sex marriage not legally recognized,
Nigeria,2020,Same-sex marriage not legally recognized,
North Korea,2020,Same-sex marriage not legally recognized,
North Macedonia,2020,Same-sex marriage not legally recognized,
Northern Ireland,2019,Same-sex marriage legal,
Northern Mariana Islands,2020,Same-sex marriage not legally recognized,
Norway,2008,Same-sex marriage legal,
Oman,2020,Same-sex marriage not legally recognized,
Pakistan,2020,Same-sex marriage not legally recognized,
Palau,2020,Same-sex marriage not legally recognized,
Palestine,2020,Same-sex marriage not legally recognized,
Panama,2020,Same-sex marriage not legally recognized,
Papua New Guinea,2020,Same-sex marriage not legally recognized,
Paraguay,2020,Same-sex marriage not legally recognized,
Peru,2020,Same-sex marriage not legally recognized,
Philippines,2020,Same-sex marriage not legally recognized,
Poland,2020,Same-sex marriage not legally recognized,
Portugal,2010,Same-sex marriage legal,
Puerto Rico,2020,Same-sex marriage not legally recognized,
Qatar,2020,Same-sex marriage not legally recognized,
Romania,2020,Same-sex marriage not legally recognized,
Russia,2020,Same-sex marriage not legally recognized,
Rwanda,2020,Same-sex marriage not legally recognized,
Saint Kitts and Nevis,2020,Same-sex marriage not legally recognized,
Saint Lucia,2020,Same-sex marriage not legally recognized,
Saint Martin (French part),2020,Same-sex marriage not legally recognized,
Saint Vincent and the Grenadines,2020,Same-sex marriage not legally recognized,
Samoa,2020,Same-sex marriage not legally recognized,
San Marino,2020,Same-sex marriage not legally recognized,
Sao Tome and Principe,2020,Same-sex marriage not legally recognized,
Saudi Arabia,2020,Same-sex marriage not legally recognized,
Scotland,2014,Same-sex marriage legal,
Senegal,2020,Same-sex marriage not legally recognized,
Serbia,2020,Same-sex marriage not legally recognized,
Seychelles,2020,Same-sex marriage not legally recognized,
Sierra Leone,2020,Same-sex marriage not legally recognized,
Singapore,2020,Same-sex marriage not legally recognized,
Sint Maarten (Dutch part),2020,Same-sex marriage not legally recognized,
Slovakia,2020,Same-sex marriage not legally recognized,
Slovenia,2006,Some rights to same-sex couples,
Solomon Islands,2020,Same-sex marriage not legally recognized,
Somalia,2020,Same-sex marriage not legally recognized,
South Africa,2006,Same-sex marriage legal,
South Korea,2020,Same-sex marriage not legally recognized,
South Sudan,2020,Same-sex marriage not legally recognized,
Spain,2005,Same-sex marriage legal,
Sri Lanka,2020,Same-sex marriage not legally recognized,
Sudan,2020,Same-sex marriage not legally recognized,
Suriname,2020,Same-sex marriage not legally recognized,
Sweden,2009,Same-sex marriage legal,
Switzerland,2007,Some rights to same-sex couples,
Syria,2020,Same-sex marriage not legally recognized,
Taiwan,2019,Same-sex marriage legal,
Tajikistan,2020,Same-sex marriage not legally recognized,
Tanzania,2020,Same-sex marriage not legally recognized,
Thailand,2020,Same-sex marriage not legally recognized,
Timor,2020,Same-sex marriage not legally recognized,
Togo,2020,Same-sex marriage not legally recognized,
Tonga,2020,Same-sex marriage not legally recognized,
Trinidad and Tobago,2020,Same-sex marriage not legally recognized,
Tunisia,2020,Same-sex marriage not legally recognized,
Turkey,2020,Same-sex marriage not legally recognized,
Turkmenistan,2020,Same-sex marriage not legally recognized,
Turks and Caicos Islands,2020,Same-sex marriage not legally recognized,
Tuvalu,2020,Same-sex marriage not legally recognized,
Uganda,2020,Same-sex marriage not legally recognized,
Ukraine,2020,Same-sex marriage not legally recognized,
United Arab Emirates,2020,Same-sex marriage not legally recognized,
United Kingdom,2013,Same-sex marriage legal,
United States,2015,Same-sex marriage legal,
United States Virgin Islands,2020,Same-sex marriage not legally recognized,
Uruguay,2013,Same-sex marriage legal,
Uzbekistan,2020,Same-sex marriage not legally recognized,
Vanuatu,2020,Same-sex marriage not legally recognized,
Venezuela,2020,Same-sex marriage not legally recognized,
Vietnam,2020,Same-sex marriage not legally recognized,
West Bank,2020,Same-sex marriage not legally recognized,
Western Sahara,2020,Same-sex marriage not legally recognized,
World,2000,,1
World,2001,,1
World,2002,,1
World,2003,,2
World,2004,,2
World,2005,,4
World,2006,,5
World,2007,,5
World,2008,,6
World,2009,,7
World,2010,,10
World,2011,,10
World,2012,,11
World,2013,,16
World,2014,,17
World,2015,,21
World,2016,,22
World,2017,,25
World,2018,,25
World,2019,,28
World,2020,,29
Yemen,2020,Same-sex marriage not legally recognized,
Zambia,2020,Same-sex marriage not legally recognized,
Zimbabwe,2020,Same-sex marriage not legally recognized,
