Entity,Year,Fossil fuel and industry emissions (GtCO2),Land use emissions (GtCO2),Global CO2 emissions (GtCO2)
World,1878,0.718144,3.199344768,3.917488768
World,1879,0.76944,3.220009737,3.989449737
World,1880,0.864704,3.211285215,4.075989215
World,1881,0.890352,3.262485015,4.152837015
World,1882,0.937984,3.296956759,4.234940759
World,1883,0.996608,3.338025379,4.334633379
World,1884,1.0076,3.371010926,4.378610926
World,1885,1.014928,3.400789645,4.415717645
World,1886,1.029584,3.414672039,4.444256039
World,1887,1.08088,3.429216481,4.510096481
World,1888,1.198128,3.445389591,4.643517591
World,1889,1.198128,3.4666478,4.6647758
World,1890,1.304384,3.58627976,4.89066376
World,1891,1.363008,3.683826075,5.046834075
World,1892,1.370336,3.740644499,5.110980499
World,1893,1.35568,3.780931327,5.136611327
World,1894,1.403312,3.824640179,5.227952179
World,1895,1.487584,3.863443055,5.351027055
World,1896,1.535216,3.893826742,5.429042742
World,1897,1.61216,3.931523278,5.543683278
World,1898,1.70376,3.948561605,5.652321605
World,1899,1.857648,3.961610235,5.819258235
World,1900,1.956576,4.100213427,6.056789427
World,1901,2.022528,4.208171601,6.230699601
World,1902,2.073824,4.274187907,6.348011907
World,1903,2.260688,4.334745766,6.595433766
World,1904,2.286336,4.386047754,6.672383754
World,1905,2.429232,4.425760972,6.854992972
World,1906,2.590448,4.45277073,7.04321873
World,1907,2.872576,4.491994512,7.364570512
World,1908,2.748,4.499933824,7.247933824
World,1909,2.87624,4.536660987,7.412900987
World,1910,3.000816,4.450453962,7.451269962
World,1911,3.063104,4.426189589,7.489293589
World,1912,3.220656,4.38560705,7.60626305
World,1913,3.455152,4.361536732,7.816688732
World,1914,3.1144,4.287548488,7.401948488
World,1915,3.070432,4.249566559,7.319998559
World,1916,3.301264,4.218052484,7.519316484
World,1917,3.49912,4.199898103,7.699018103
World,1918,3.429504,4.195727521,7.625231521
World,1919,2.953184,4.196679902,7.149863902
World,1920,3.414848,4.387172974,7.802020974
World,1921,2.942192,4.495238597,7.437430597
World,1922,3.09608,4.581470934,7.677550934
World,1923,3.55408,4.621276573,8.175356573
World,1924,3.528432,4.656291071,8.184723071
World,1925,3.5724,4.681121453,8.253521453
World,1926,3.601712,4.696849664,8.298561664
World,1927,3.891168,4.716773342,8.607941342
World,1928,3.90216,4.719979512,8.622139512
World,1929,4.19528,4.712477757,8.907757757
World,1930,3.858192,4.941796702,8.799988702
World,1931,3.44416,5.091918286,8.536078286
World,1932,3.103408,5.178395264,8.281803264
World,1933,3.271952,5.279743478,8.551695478
World,1934,3.565072,5.351004939,8.916076939
World,1935,3.762928,5.415671694,9.178599694
World,1936,4.14032,5.481325932,9.621645932
World,1937,4.429776,5.518819013,9.948595013
World,1938,4.184288,5.544480272,9.728768272
World,1939,4.367488,5.554055641,9.921543641
World,1940,4.759536,5.652994981,10.41253098
World,1941,4.887776,5.739102482,10.62687848
World,1942,4.917088,5.721690109,10.63877811
World,1943,5.096624,5.693828448,10.79045245
World,1944,5.067312,5.656807752,10.72411975
World,1945,4.25024,5.615039325,9.865279325
World,1946,4.536032,5.579497158,10.11552916
World,1947,5.100288,5.540339442,10.64062744
World,1948,5.382416,5.481308816,10.86372482
World,1949,5.199216,5.388130168,10.58734617
World,1950,5.97232,5.680965383,11.65328538
World,1951,6.474288,5.855241261,12.32952926
World,1952,6.57688,5.925206832,12.50208683
World,1953,6.745424,6.02545737,12.77088137
World,1954,6.83336,6.131559033,12.96491903
World,1955,7.481888,6.221458825,13.70334682
World,1956,7.976528,6.338709378,14.31523738
World,1957,8.31728,6.437527182,14.75480718
World,1958,8.53712,6.54929769,15.08641769
World,1959,8.85676763,6.633176142,15.48994377
World,1960,9.344021638,6.053841359,15.397863
World,1961,9.365855189,5.769627779,15.13548297
World,1962,9.698232462,5.593165216,15.29139768
World,1963,10.24749682,5.37749126,15.62498808
World,1964,10.78060738,5.182409267,15.96301665
World,1965,11.28137593,4.993685886,16.27506182
World,1966,11.80597957,4.830846362,16.63682594
World,1967,12.18384279,4.745545108,16.9293879
World,1968,12.84882772,4.726755752,17.57558347
World,1969,13.70461712,4.74732761,18.45194473
World,1970,14.83965941,4.659964686,19.49962409
World,1971,15.43906992,4.569523257,20.00859318
World,1972,16.15669815,4.457843359,20.61454151
World,1973,17.0152532,4.371186372,21.38643957
World,1974,16.94168533,4.245978716,21.18766405
World,1975,16.92020651,4.16266029,21.0828668
World,1976,17.8178779,4.108417227,21.92629513
World,1977,18.30706303,4.041821152,22.34888418
World,1978,18.97776612,3.905777148,22.88354327
World,1979,19.4838488,3.805794161,23.28964296
World,1980,19.39071529,3.975385636,23.36610093
World,1981,18.86418276,4.037931114,22.90211388
World,1982,18.72414701,4.094302313,22.81844932
World,1983,18.90165355,4.250638896,23.15229244
World,1984,19.45167783,4.39088202,23.84255985
World,1985,20.14461108,4.463523815,24.60813489
World,1986,20.43144252,4.593735213,25.02517773
World,1987,21.09383426,4.730573852,25.82440811
World,1988,21.90070953,4.791793467,26.692503
World,1989,22.23068419,4.890301632,27.12098582
World,1990,22.71753995,4.793250735,27.51079068
World,1991,23.19095307,4.787483227,27.97843629
World,1992,22.46642544,4.818892149,27.28531759
World,1993,22.71635058,4.810612425,27.526963
World,1994,22.8778193,4.788193161,27.66601246
World,1995,23.37156267,4.734086633,28.1056493
World,1996,24.09955639,4.638468564,28.73802495
World,1997,24.23689307,6.369507084,30.60640015
World,1998,24.14983576,4.350662802,28.50049856
World,1999,24.4565191,4.255390019,28.71190912
World,2000,25.15435956,4.913771691,30.06813125
World,2001,25.36448231,4.660783482,30.02526579
World,2002,25.91941393,5.352180071,31.271594
World,2003,27.16796182,5.567740182,32.73570201
World,2004,28.44435762,5.418368743,33.86272637
World,2005,29.4010998,5.011502499,34.4126023
World,2006,30.37567676,5.19396214,35.5696389
World,2007,31.28214153,4.527523821,35.80966535
World,2008,31.99439787,4.757657798,36.75205567
World,2009,31.53226675,5.511569592,37.04383634
World,2010,33.15118991,5.073339445,38.22452935
World,2011,34.27153965,4.917288455,39.18882811
World,2012,34.79308968,5.378880612,40.17197029
World,2013,34.95942724,5.564230813,40.52365806
World,2014,35.22483782,6.079128411,41.30396624
World,2015,35.23864094,6.241719559,41.4803605
World,2016,35.37968382,5.633057382,41.0127412
World,2017,35.81049761,5.382503678,41.19300129
World,2018,36.57275422,5.52842322,42.10117744
