Entity,Year,Probability of plastic being emitted to ocean,Mismanaged plastic waste (metric tons year-1),Mismanaged waste emitted to the ocean (metric tons year-1),Share of mismanaged plastic waste emitted to ocean,Share of global mismanaged plastic waste,Share of global plastics emitted to ocean,Mismanaged plastic waste per capita (kg per year),Mismanaged plastic waste to ocean per capita (kg per year)
Israel,2015,0.29,6060,33,0.55,0.00981,0.00336921,0.759588869,0.004136375
Italy,2015,0.88,38803,414,1.07,0.062814758,0.042268275,0.640546073,0.006834164
Jamaica,2015,5.07,49673,2334,4.7,0.080411243,0.238295057,17.18194396,0.807333103
Japan,2015,3.58,35684,1835,5.14,0.057765683,0.187348513,0.278813924,0.014337618
Jordan,2015,0.07,124425,1,0,0.201420669,0.000102097,13.4266753,0.00010791
Kazakhstan,2015,0.1,54242,13,0.02,0.087807594,0.001327265,3.086842704,0.000739813
Kenya,2015,0.17,289917,259,0.09,0.469321086,0.026443196,6.055328126,0.005409583
Kiribati,2015,0,74,0,0,0.000119792,0,0.666666667,0
Kuwait,2015,0.2,2640,7,0.26,0.004273663,0.000714681,0.688216893,0.001824818
Latvia,2015,0.5,955,9,0.92,0.001545965,0.000918876,0.477977978,0.004504505
Lebanon,2015,1.27,46622,684,1.47,0.075472248,0.069834541,7.136384509,0.104699219
Lesotho,2015,0,30391,0,0,0.049197312,0,14.76007771,0
Liberia,2015,3.68,39930,2638,6.61,0.064639159,0.269332631,8.928890877,0.589892665
Libya,2015,0.06,188535,879,0.47,0.3052027,0.089743511,29.37597382,0.136958554
Lithuania,2015,0.21,1037,7,0.7,0.001678708,0.000714681,0.353683492,0.002387449
Macau,2015,1.62,14749,341,2.31,0.023875857,0.034815173,,
Madagascar,2015,1.58,25250,775,3.07,0.040875,0.079125394,1.041924569,0.031979863
Malaysia,2015,4.38,814454,73098,8.98,1.318447818,7.463107147,26.90542103,2.414786429
Maldives,2015,0,60,0,0,9.71E-05,0,0.131868132,0
Malta,2015,0,259,0,0,0.000419272,0,0.596774194,0
Marshall Islands,2015,0,16,0,0,2.59E-05,0,0.280701754,0
Martinique,2015,10.11,139,22,15.77,0.000225015,0.00224614,0.367724868,0.058201058
Mauritania,2015,0.1,20796,127,0.61,0.033664812,0.012966355,5.139891251,0.031389026
Mauritius,2015,0,299,0,0,0.000484025,0,0.237490071,0
Mexico,2015,0.46,430614,3512,0.82,0.697083063,0.358565656,3.533735988,0.02882043
Micronesia,2015,5,447,37,8.28,0.000723609,0.003777599,,
Monaco,2015,0,5,0,0,8.09E-06,0,0.131578947,0
Montenegro,2015,2.08,16,0,0,2.59E-05,0,0.025518341,0
Morocco,2015,0.15,295488,1800,0.61,0.478339488,0.183775108,8.524348027,0.051927071
Mozambique,2015,0.36,434432,2544,0.59,0.703263687,0.259735486,16.06508394,0.094075882
Myanmar,2015,0.36,434432,2544,0.59,0.703263687,0.259735486,8.24646457,0.048290655
Namibia,2015,0.05,20892,2,0.01,0.033820218,0.000204195,9.02462203,0.000863931
Netherlands,2015,1.54,15233,271,1.78,0.024659362,0.027668364,0.899338765,0.015999528
New Zealand,2015,3.78,1714,68,3.99,0.002774644,0.006942615,0.371397616,0.014734561
Nicaragua,2015,2.08,110862,1465,1.32,0.179464724,0.149572519,17.81488028,0.235417001
Nigeria,2015,0.42,1948950,18640,0.96,3.154983431,1.903093343,10.75953608,0.10290554
North America,2015,102.99,1927484,44067,118.07,3.120234015,4.499120942,5.398645935,0.123426254
North Korea,2015,0.69,322,50,15.51,0.000521257,0.005104864,0.012785896,0.001985388
Norway,2015,0,1494,0,0,0.002418505,0,0.287307692,0
Oceania,2015,39.97,136506,3631,25.51,0.220977536,0.370715232,3.424722146,0.091096114
Oman,2015,0.11,1251,1,0.11,0.002025134,0.000102097,0.29318022,0.000234357
Pakistan,2015,0.02,1346460,873,0.06,2.179665456,0.089130928,6.751643188,0.004377541
Palau,2015,13.74,116,7,6.07,0.000187782,0.000714681,6.444444444,0.388888889
Palestine,2015,9.29,2129,118,5.55,0.003446451,0.012047479,0.470081696,0.026054317
Panama,2015,7.12,36339,5237,14.41,0.058826005,0.534683468,9.158014113,1.319808468
Papua New Guinea,2015,4.39,119538,3059,2.56,0.193509536,0.312315587,14.74321658,0.377281697
Peru,2015,0.05,140313,259,0.18,0.227140353,0.026443196,4.604804568,0.008499885
Philippines,2015,7.17,4025300,356371,8.85,6.516203498,36.38451062,39.42005425,3.489966997
Poland,2015,0.13,14124,29,0.21,0.022864099,0.002960821,0.371351948,0.000762476
Portugal,2015,0.84,3818,76,1.99,0.006180624,0.007759393,0.368248457,0.007330247
Puerto Rico,2015,5.77,1293,71,5.46,0.002093124,0.007248907,0.382318155,0.020993495
Qatar,2015,0.07,1532,0,0,0.00248002,0,0.597038192,0
Reunion,2015,0,233,0,0,0.000377183,0,0.269988413,0
Romania,2015,0.04,52161,80,0.15,0.084438847,0.008167783,2.617867001,0.004015056
Russia,2015,0.12,363389,542,0.15,0.588258434,0.055336727,2.506390455,0.003738318
Saint Kitts and Nevis,2015,2.52,97,1,0.56,0.000157025,0.000102097,1.901960784,0.019607843
Saint Lucia,2015,7.92,4276,449,10.5,0.00692204,0.04584168,23.88826816,2.508379888
Saint Martin,2015,0,8,0,0,1.30E-05,0,,
Saint Vincent and the Grenadines,2015,7.19,1235,81,6.58,0.001999233,0.00826988,11.33027523,0.743119266
Samoa,2015,0,1738,0,0,0.002813495,0,8.958762887,0
Sao Tome and Principe,2015,3.67,2069,77,3.71,0.003349322,0.007861491,10.39698492,0.386934673
Saudi Arabia,2015,0.06,7176,3,0.05,0.011616594,0.000306292,0.226243773,9.46E-05
Senegal,2015,0.21,65660,169,0.26,0.106291189,0.017254441,4.504047194,0.011592811
Seychelles,2015,0,33,0,0,5.34E-05,0,0.347368421,0
Sierra Leone,2015,3.09,91239,3624,3.97,0.147698778,0.370000551,12.72155605,0.505298383
Singapore,2015,10.49,2468,164,6.65,0.003995228,0.016743954,0.441344778,0.029327611
Sint Maarten,2015,0,3,0,0,4.86E-06,0,,
Slovakia,2015,0,1719,0,0,0.002782738,0,0.316225166,0
Slovenia,2015,1.13,844,11,1.29,0.001366277,0.00112307,0.407532593,0.005311444
Solomon Islands,2015,10.34,3520,100,2.84,0.005698218,0.010209728,5.83747927,0.165837479
Somalia,2015,0.14,42,2,5.68,6.80E-05,0.000204195,0.00304414,0.000144959
South Africa,2015,0.12,708467,4266,0.6,1.146874803,0.435547007,12.79144549,0.077023074
South America,2015,9.15,4942514,54000,24.17,8.001000426,5.513253248,,
South Korea,2015,1.59,12156,387,3.18,0.019678277,0.039511648,0.239183047,0.007614663
Spain,2015,0.36,20350,235,1.15,0.032942822,0.023992861,0.436021598,0.005035139
Sri Lanka,2015,3.42,155466,9654,6.21,0.251670209,0.985647164,7.435718385,0.461737134
Sudan,2015,0.01,781625,106,0.01,1.265303843,0.010822312,20.09163818,0.002724726
Suriname,2015,0.85,22933,1677,7.31,0.037124213,0.171217143,41.02504472,3
Sweden,2015,1.03,4255,36,0.84,0.006888045,0.003675502,0.435739887,0.003686636
Syria,2015,0.12,502,44,8.79,0.000812644,0.00449228,0.027893538,0.002444852
Taiwan,2015,5.64,7502,531,7.08,0.012144327,0.054213657,0.318461604,0.022541071
Tanzania,2015,0.22,1716400,5785,0.34,2.778528727,0.590632779,33.3391605,0.112367189
Thailand,2015,0.9,1361690,22806,1.67,2.204319961,2.328430622,19.81648839,0.3318926
Timor,2015,3.8,17244,715,4.15,0.027914792,0.072999557,14.4180602,0.597826087
Togo,2015,0.17,121783,436,0.36,0.197143768,0.044514415,16.6302062,0.059538441
Tonga,2015,0,666,0,0,0.001078129,0,6.594059406,0
Trinidad and Tobago,2015,5.05,73139,3557,4.86,0.118398283,0.363160033,53.38613139,2.596350365
Tunisia,2015,0.18,289538,688,0.24,0.468707557,0.07024293,25.89785331,0.061538462
Turkey,2015,0.37,1656110,14329,0.87,2.680930558,1.462951959,21.08915178,0.182467623
Ukraine,2015,0.1,393777,859,0.22,0.637450889,0.087701566,8.765794043,0.019122034
United Arab Emirates,2015,0.18,5135,14,0.27,0.008312599,0.001429362,0.55435604,0.001511389
United Kingdom,2015,3.02,29914,703,2.35,0.048425139,0.07177439,0.454205891,0.010674157
United States,2015,0.35,267469,2431,0.91,0.432981997,0.248198493,0.833553521,0.007576088
Uruguay,2015,0.52,92620,998,1.08,0.149934357,0.101893088,27.14536928,0.292497069
Venezuela,2015,0.39,671431,5988,0.89,1.086920486,0.611358527,22.32002526,0.199055914
Vietnam,2015,1.6,1112790,28221,2.54,1.801397682,2.881287406,12.00718625,0.304509209
Western Sahara,2015,0.11,4114,38,0.91,0.006659792,0.003879697,7.821292776,0.072243346
World,2015,,61773700,979458,0.050801246,,,8.370650313,0.132721537
Yemen,2015,0.07,291737,252,0.09,0.472267324,0.025728515,11.00977432,0.009510152
Zimbabwe,2015,0,524865,0,0,0.849657702,0,37.99239957,0
