Entity,Year,Health Expenditure and Financing (per capita) (OECDstat (2017))
Austria,2000,3472.7366
Austria,2001,3531.3159
Austria,2002,3620.3297
Austria,2003,3695.6138
Austria,2004,3797.4718
Austria,2005,3826.3191
Austria,2006,3893.9178
Austria,2007,4020.3699
Austria,2008,4136.9982
Austria,2009,4178.429
Austria,2010,4236.3164
Austria,2011,4253.5175
Austria,2012,4362.1556
Austria,2013,4352.5783
Austria,2014,4390.1259
Austria,2015,4451.1826
Belgium,1970,683.3738
Belgium,1971,723.5906
Belgium,1972,788.4374
Belgium,1973,891.1623
Belgium,1974,939.3939
Belgium,1975,1154.0117
Belgium,1976,1262.6339
Belgium,1977,1372.7239
Belgium,1978,1453.5338
Belgium,1979,1482.0677
Belgium,1980,1494.2748
Belgium,1981,1590.1579
Belgium,1982,1655.4796
Belgium,1983,1701.4332
Belgium,1984,1703.9211
Belgium,1985,1744.1525
Belgium,1986,1819.5336
Belgium,1987,1888.226
Belgium,1988,1970.8607
Belgium,1989,2015.7184
Belgium,1990,2085.3743
Belgium,1991,2208.0614
Belgium,1992,2286.7203
Belgium,1993,2292.4751
Belgium,1994,2297.5698
Belgium,1995,2334.5471
Belgium,1996,2454.2452
Belgium,1997,2492.5703
Belgium,1998,2577.5149
Belgium,1999,2720.044
Belgium,2000,2826.9874
Belgium,2001,2898.5499
Belgium,2002,2994.2747
Belgium,2003,3305.4234
Belgium,2004,3418.6101
Belgium,2005,3442.567
Belgium,2006,3469.8104
Belgium,2007,3577.1295
Belgium,2008,3725.1113
Belgium,2009,3900.7277
Belgium,2010,3901.9126
Belgium,2011,3986.078
Belgium,2012,4006.2239
Belgium,2013,4062.795
Belgium,2014,4097.5951
Belgium,2015,4120.0479
Canada,1970,1295.7665
Canada,1971,1390.037
Canada,1972,1430.5746
Canada,1973,1437.3807
Canada,1974,1442.2155
Canada,1975,1553.5575
Canada,1976,1621.8955
Canada,1977,1653.0144
Canada,1978,1694.2938
Canada,1979,1711.5811
Canada,1980,1773.2352
Canada,1981,1867.9228
Canada,1982,1979.7332
Canada,1983,2057.1832
Canada,1984,2126.6136
Canada,1985,2209.266
Canada,1986,2306.182
Canada,1987,2351.3938
Canada,1988,2423.1176
Canada,1989,2500.3536
Canada,1990,2595.9141
Canada,1991,2714.7232
Canada,1992,2781.2469
Canada,1993,2788.8032
Canada,1994,2771.8514
Canada,1995,2720.2965
Canada,1996,2672.6873
Canada,1997,2753.7682
Canada,1998,2915.6411
Canada,1999,2963.8153
Canada,2000,3058.155
Canada,2001,3219.9298
Canada,2002,3369.4221
Canada,2003,3458.5634
Canada,2004,3553.4721
Canada,2005,3619.4946
Canada,2006,3745.9104
Canada,2007,3823.2951
Canada,2008,3888.0876
Canada,2009,4168.1453
Canada,2010,4242.3395
Canada,2011,4197.4339
Canada,2012,4217.7065
Canada,2013,4227.6444
Canada,2014,4203.8243
Canada,2015,4288.992
Chile,1970,..
Chile,1971,..
Chile,1972,..
Chile,1973,..
Chile,1974,..
Chile,1975,..
Chile,1976,..
Chile,1977,..
Chile,1978,..
Chile,1979,..
Chile,1980,..
Chile,1981,..
Chile,1982,..
Chile,1983,..
Chile,1984,..
Chile,1985,..
Chile,1986,..
Chile,1987,..
Chile,1988,..
Chile,1989,..
Chile,1990,..
Chile,1991,..
Chile,1992,..
Chile,1993,..
Chile,1994,..
Chile,1995,518.8709
Chile,1996,571.4461
Chile,1997,602.4807
Chile,1998,643.746
Chile,1999,643.4363
Chile,2000,672.0826
Chile,2001,702.5606
Chile,2002,723.3348
Chile,2003,847.996
Chile,2004,900.6741
Chile,2005,945.5478
Chile,2006,986.7056
Chile,2007,1053.6318
Chile,2008,1084.6686
Chile,2009,1153.454
Chile,2010,1219.6509
Chile,2011,1279.5465
Chile,2012,1355.3914
Chile,2013,1464.9806
Chile,2014,1562.9226
Chile,2015,1595.5279
Czech Republic,1970,..
Czech Republic,1971,..
Czech Republic,1972,..
Czech Republic,1973,..
Czech Republic,1974,..
Czech Republic,1975,..
Czech Republic,1976,..
Czech Republic,1977,..
Czech Republic,1978,..
Czech Republic,1979,..
Czech Republic,1980,..
Czech Republic,1981,..
Czech Republic,1982,..
Czech Republic,1983,..
Czech Republic,1984,..
Czech Republic,1985,..
Czech Republic,1986,..
Czech Republic,1987,..
Czech Republic,1988,..
Czech Republic,1989,..
Czech Republic,1990,716.5572
Czech Republic,1991,658.0074
Czech Republic,1992,674.823
Czech Republic,1993,903.4505
Czech Republic,1994,957.5316
Czech Republic,1995,1058.9196
Czech Republic,1996,1082.1967
Czech Republic,1997,1077.8613
Czech Republic,1998,1072.1795
Czech Republic,1999,1123.4993
Czech Republic,2000,1159.6971
Czech Republic,2001,1234.4662
Czech Republic,2002,1324.2376
Czech Republic,2003,1452.0197
Czech Republic,2004,1481.5625
Czech Republic,2005,1574.6261
Czech Republic,2006,1628.7237
Czech Republic,2007,1660.1874
Czech Republic,2008,1787.753
Czech Republic,2009,1939.7369
Czech Republic,2010,1879.5815
Czech Republic,2011,1927.1554
Czech Republic,2012,1924.5446
Czech Republic,2013,2102.5929
Czech Republic,2014,2112.9399
Czech Republic,2015,2166.4171
Denmark,1970,..
Denmark,1971,1752.6046
Denmark,1972,1832.706
Denmark,1973,1840.6337
Denmark,1974,1983.8015
Denmark,1975,2007.4161
Denmark,1976,2097.479
Denmark,1977,2082.9591
Denmark,1978,2152.0583
Denmark,1979,2256.2179
Denmark,1980,2233.5431
Denmark,1981,2266.1629
Denmark,1982,2365.8534
Denmark,1983,2370.3896
Denmark,1984,2338.5427
Denmark,1985,2423.9343
Denmark,1986,2462.757
Denmark,1987,2566.9934
Denmark,1988,2609.3351
Denmark,1989,2583.172
Denmark,1990,2603.6992
Denmark,1991,2600.6729
Denmark,1992,2647.4906
Denmark,1993,2747.1456
Denmark,1994,2811.1094
Denmark,1995,2772.5318
Denmark,1996,2861.9021
Denmark,1997,2909.2982
Denmark,1998,2887.3885
Denmark,1999,3272.6025
Denmark,2000,3287.6537
Denmark,2001,3443.0322
Denmark,2002,3551.795
Denmark,2003,3638.1442
Denmark,2004,3769.889
Denmark,2005,3883.3181
Denmark,2006,4052.4257
Denmark,2007,4137.2414
Denmark,2008,4175.102
Denmark,2009,4434.2513
Denmark,2010,4370.3331
Denmark,2011,4310.9932
Denmark,2012,4309.4836
Denmark,2013,4295.5987
Denmark,2014,4434.1204
Denmark,2015,4484.5356
Estonia,1970,..
Estonia,1971,..
Estonia,1972,..
Estonia,1973,..
Estonia,1974,..
Estonia,1975,..
Estonia,1976,..
Estonia,1977,..
Estonia,1978,..
Estonia,1979,..
Estonia,1980,..
Estonia,1981,..
Estonia,1982,..
Estonia,1983,..
Estonia,1984,..
Estonia,1985,..
Estonia,1986,..
Estonia,1987,..
Estonia,1988,..
Estonia,1989,..
Estonia,1990,..
Estonia,1991,..
Estonia,1992,..
Estonia,1993,..
Estonia,1994,..
Estonia,1995,..
Estonia,1996,..
Estonia,1997,..
Estonia,1998,..
Estonia,1999,754.2285
Estonia,2000,751.4352
Estonia,2001,745.465
Estonia,2002,786.621
Estonia,2003,877.7061
Estonia,2004,978.3881
Estonia,2005,1047.3086
Estonia,2006,1152.9042
Estonia,2007,1275.8281
Estonia,2008,1373.0364
Estonia,2009,1342.592
Estonia,2010,1334.1851
Estonia,2011,1324.0841
Estonia,2012,1394.4443
Estonia,2013,1464.5597
Estonia,2014,1550.0278
Estonia,2015,1613.1031
Finland,1970,759.8204
Finland,1971,823.5278
Finland,1972,897.8236
Finland,1973,928.4083
Finland,1974,942.0766
Finland,1975,1043.8095
Finland,1976,1106.7728
Finland,1977,1143.9357
Finland,1978,1162.5551
Finland,1979,1212.4493
Finland,1980,1258.2683
Finland,1981,1295.7892
Finland,1982,1348.9003
Finland,1983,1402.4839
Finland,1984,1450.1209
Finland,1985,1588.8682
Finland,1986,1651.2439
Finland,1987,1740.4537
Finland,1988,1774.809
Finland,1989,1869.3929
Finland,1990,2015.0186
Finland,1991,2162.646
Finland,1992,2128.9968
Finland,1993,1934.0765
Finland,1994,1862.0776
Finland,1995,1951.7806
Finland,1996,2050.0056
Finland,1997,2071.8464
Finland,1998,2084.1422
Finland,1999,2163.5734
Finland,2000,2302.7754
Finland,2001,2407.5286
Finland,2002,2573.9942
Finland,2003,2729.7925
Finland,2004,2873.619
Finland,2005,3016.7141
Finland,2006,3129.107
Finland,2007,3203.6907
Finland,2008,3316.5843
Finland,2009,3322.6085
Finland,2010,3403.1108
Finland,2011,3505.0245
Finland,2012,3568.2158
Finland,2013,3602.6862
Finland,2014,3566.5437
Finland,2015,3627.9559
France,1970,923.0338
France,1971,..
France,1972,..
France,1973,..
France,1974,..
France,1975,1267.5022
France,1976,..
France,1977,..
France,1978,..
France,1979,..
France,1980,1604.7333
France,1981,..
France,1982,..
France,1983,..
France,1984,..
France,1985,1923.1369
France,1986,..
France,1987,..
France,1988,..
France,1989,..
France,1990,2300.8976
France,1991,2377.8353
France,1992,2469.4117
France,1993,2561.9933
France,1994,2607.9071
France,1995,2965.8229
France,1996,2997.7557
France,1997,3018.3427
France,1998,3082.7392
France,1999,3171.996
France,2000,3248.9504
France,2001,3331.4384
France,2002,3454.0558
France,2003,3478.5787
France,2004,3578.9042
France,2005,3629.209
France,2006,3644.7304
France,2007,3680.6859
France,2008,3713.7856
France,2009,3836.7055
France,2010,3859.5252
France,2011,3917.4283
France,2012,3942.3884
France,2013,3989.2368
France,2014,4035.9507
France,2015,4027.949
Germany,1970,1219.428
Germany,1971,1358.2333
Germany,1972,1480.9197
Germany,1973,1619.966
Germany,1974,1757.4922
Germany,1975,1906.5468
Germany,1976,2015.1658
Germany,1977,2070.2065
Germany,1978,2154.6998
Germany,1979,2201.3952
Germany,1980,2282.4014
Germany,1981,2374.1244
Germany,1982,2319.1311
Germany,1983,2361.1298
Germany,1984,2472.1423
Germany,1985,2579.6387
Germany,1986,2603.9363
Germany,1987,2668.4883
Germany,1988,2812.9428
Germany,1989,2689.5098
Germany,1990,2774.6817
Germany,1991,..
Germany,1992,2909.8528
Germany,1993,2853.0909
Germany,1994,2989.637
Germany,1995,3122.131
Germany,1996,3241.8944
Germany,1997,3257.2866
Germany,1998,3327.2647
Germany,1999,3414.5749
Germany,2000,3536.3549
Germany,2001,3603.768
Germany,2002,3687.3766
Germany,2003,3745.138
Germany,2004,3704.9553
Germany,2005,3787.1331
Germany,2006,3875.1386
Germany,2007,3950.1671
Germany,2008,4079.0901
Germany,2009,4232.5762
Germany,2010,4358.6128
Germany,2011,4396.4446
Germany,2012,4516.9885
Germany,2013,4589.3728
Germany,2014,4684.4851
Germany,2015,4772.328
Greece,1970,..
Greece,1971,..
Greece,1972,..
Greece,1973,..
Greece,1974,..
Greece,1975,..
Greece,1976,..
Greece,1977,..
Greece,1978,..
Greece,1979,..
Greece,1980,..
Greece,1981,..
Greece,1982,..
Greece,1983,..
Greece,1984,..
Greece,1985,..
Greece,1986,..
Greece,1987,..
Greece,1988,1120.1386
Greece,1989,1268.3512
Greece,1990,1266.7054
Greece,1991,1259.177
Greece,1992,1376.7298
Greece,1993,1511.2064
Greece,1994,1682.7263
Greece,1995,1709.315
Greece,1996,1729.3586
Greece,1997,1756.0787
Greece,1998,1786.9542
Greece,1999,1879.4975
Greece,2000,1815.1583
Greece,2001,2073.6269
Greece,2002,2213.1951
Greece,2003,2325.7693
Greece,2004,2358.3612
Greece,2005,2682.9519
Greece,2006,2816.2848
Greece,2007,2931.8391
Greece,2008,3138.9139
Greece,2009,2995.5728
Greece,2010,2855.3382
Greece,2011,2496.7023
Greece,2012,2199.1078
Greece,2013,2096.1872
Greece,2014,2012.2274
Greece,2015,1994.1161
Hungary,1970,..
Hungary,1971,..
Hungary,1972,..
Hungary,1973,..
Hungary,1974,..
Hungary,1975,..
Hungary,1976,..
Hungary,1977,..
Hungary,1978,..
Hungary,1979,..
Hungary,1980,..
Hungary,1981,..
Hungary,1982,..
Hungary,1983,..
Hungary,1984,..
Hungary,1985,..
Hungary,1986,..
Hungary,1987,..
Hungary,1988,..
Hungary,1989,..
Hungary,1990,..
Hungary,1991,931.3611
Hungary,1992,972.5426
Hungary,1993,977.2673
Hungary,1994,1076.6561
Hungary,1995,996.4554
Hungary,1996,985.2159
Hungary,1997,968.7231
Hungary,1998,1069.7785
Hungary,1999,1141.0826
Hungary,2000,1174.2322
Hungary,2001,1231.7817
Hungary,2002,1345.8965
Hungary,2003,1601.6351
Hungary,2004,1611.2098
Hungary,2005,1736.3408
Hungary,2006,1762.9564
Hungary,2007,1641.345
Hungary,2008,1631.2306
Hungary,2009,1558.7315
Hungary,2010,1632.9071
Hungary,2011,1670.9272
Hungary,2012,1633.207
Hungary,2013,1623.611
Hungary,2014,1656.7189
Hungary,2015,1676.6019
Iceland,1970,677.6726
Iceland,1971,830.6061
Iceland,1972,851.981
Iceland,1973,821.2949
Iceland,1974,977.879
Iceland,1975,1049.6175
Iceland,1976,1033.2232
Iceland,1977,1104.9693
Iceland,1978,1250.5295
Iceland,1979,1467.5863
Iceland,1980,1422.0142
Iceland,1981,1497.722
Iceland,1982,1581.5156
Iceland,1983,1674.4617
Iceland,1984,1626.2001
Iceland,1985,1725.9535
Iceland,1986,1943.1152
Iceland,1987,2136.8455
Iceland,1988,2267.1187
Iceland,1989,2195.0565
Iceland,1990,2104.4213
Iceland,1991,2124.8289
Iceland,1992,2081.2123
Iceland,1993,2110.8651
Iceland,1994,2120.1821
Iceland,1995,2145.0396
Iceland,1996,2245.4189
Iceland,1997,2308.4022
Iceland,1998,2672.0023
Iceland,1999,2880.4164
Iceland,2000,3018.2348
Iceland,2001,3046.8803
Iceland,2002,3280.2966
Iceland,2003,3504.7227
Iceland,2004,3563.2638
Iceland,2005,3571.3684
Iceland,2006,3531.784
Iceland,2007,3686.4844
Iceland,2008,3692.5888
Iceland,2009,3631.9733
Iceland,2010,3405.9865
Iceland,2011,3395.1218
Iceland,2012,3440.0963
Iceland,2013,3560.4208
Iceland,2014,3627.7345
Iceland,2015,3712.7076
Ireland,1970,530.1572
Ireland,1971,642.5646
Ireland,1972,681.9066
Ireland,1973,718.8923
Ireland,1974,796.9092
Ireland,1975,839.4058
Ireland,1976,818.3842
Ireland,1977,832.657
Ireland,1978,926.5445
Ireland,1979,991.5204
Ireland,1980,1114.6872
Ireland,1981,1076.802
Ireland,1982,1068.9027
Ireland,1983,1062.5368
Ireland,1984,1076.9617
Ireland,1985,1111.1945
Ireland,1986,1090.8688
Ireland,1987,1091.6078
Ireland,1988,1097.7704
Ireland,1989,1094.6361
Ireland,1990,1155.6888
Ireland,1991,1265.4578
Ireland,1992,1354.83
Ireland,1993,1395.2998
Ireland,1994,1446.3336
Ireland,1995,1535.2678
Ireland,1996,1617.2544
Ireland,1997,1755.6332
Ireland,1998,1824.7354
Ireland,1999,1981.8331
Ireland,2000,2277.413
Ireland,2001,2571.5499
Ireland,2002,2792.6566
Ireland,2003,2991.0384
Ireland,2004,3165.1088
Ireland,2005,3490.7445
Ireland,2006,3545.7522
Ireland,2007,3776.9736
Ireland,2008,4225.5888
Ireland,2009,4560.1121
Ireland,2010,4585.4044
Ireland,2011,4370.0642
Ireland,2012,4467.5385
Ireland,2013,4676.9454
Ireland,2014,4743.4296
Ireland,2015,4730.3324
Israel,1970,..
Israel,1971,..
Israel,1972,..
Israel,1973,..
Israel,1974,..
Israel,1975,687.5623
Israel,1976,773.9488
Israel,1977,862.3993
Israel,1978,978.0838
Israel,1979,1099.545
Israel,1980,1106.423
Israel,1981,1109.3591
Israel,1982,1121.3554
Israel,1983,1213.6878
Israel,1984,1463.6916
Israel,1985,1114.3894
Israel,1986,1064.7676
Israel,1987,1140.0856
Israel,1988,1198.6498
Israel,1989,1272.1907
Israel,1990,1244.5814
Israel,1991,1203.9738
Israel,1992,1305.82
Israel,1993,1358.864
Israel,1994,1524.3042
Israel,1995,1540.9732
Israel,1996,1613.0248
Israel,1997,1668.5784
Israel,1998,1683.9816
Israel,1999,1628.6461
Israel,2000,1731.985
Israel,2001,1802.3905
Israel,2002,1746.3998
Israel,2003,1723.6955
Israel,2004,1762.0028
Israel,2005,1827.5507
Israel,2006,1850.0258
Israel,2007,1919.0778
Israel,2008,1966.125
Israel,2009,1966.5113
Israel,2010,2025.5808
Israel,2011,2085.0105
Israel,2012,2138.5689
Israel,2013,2259.7685
Israel,2014,2319.2332
Israel,2015,2292.3219
Italy,1970,..
Italy,1971,..
Italy,1972,..
Italy,1973,..
Italy,1974,..
Italy,1975,..
Italy,1976,..
Italy,1977,..
Italy,1978,..
Italy,1979,..
Italy,1980,..
Italy,1981,..
Italy,1982,..
Italy,1983,..
Italy,1984,..
Italy,1985,..
Italy,1986,..
Italy,1987,..
Italy,1988,1892.0396
Italy,1989,1950.7967
Italy,1990,2094.9595
Italy,1991,2196.8754
Italy,1992,2173.484
Italy,1993,2144.3894
Italy,1994,2142.4645
Italy,1995,2184.2945
Italy,1996,2241.6398
Italy,1997,2366.9263
Italy,1998,2419.1297
Italy,1999,2479.3573
Italy,2000,2655.8168
Italy,2001,2768.5363
Italy,2002,2815.5814
Italy,2003,2793.9552
Italy,2004,2939.1599
Italy,2005,3015.059
Italy,2006,3102.4452
Italy,2007,3022.4024
Italy,2008,3116.1245
Italy,2009,3073.9197
Italy,2010,3108.2039
Italy,2011,3079.2887
Italy,2012,2986.9155
Italy,2013,2886.7033
Italy,2014,2933.1558
Italy,2015,2954.1373
Japan,1970,623.3711
Japan,1971,660.3299
Japan,1972,722.6373
Japan,1973,749.5743
Japan,1974,802.0178
Japan,1975,903.0019
Japan,1976,929.4517
Japan,1977,985.1609
Japan,1978,1062.5623
Japan,1979,1135.0667
Japan,1980,1235.055
Japan,1981,1291.5449
Japan,1982,1358.6788
Japan,1983,1412.5784
Japan,1984,1422.3298
Japan,1985,1517.8435
Japan,1986,1541.7301
Japan,1987,1599.8228
Japan,1988,1630.6228
Japan,1989,1643.1504
Japan,1990,1682.9817
Japan,1991,1744.4086
Japan,1992,1830.072
Japan,1993,1910.1008
Japan,1994,2003.6661
Japan,1995,1963.2829
Japan,1996,1969.6699
Japan,1997,2073.7872
Japan,1998,2114.316
Japan,1999,2219.6448
Japan,2000,2330.8806
Japan,2001,2403.8792
Japan,2002,2443.5713
Japan,2003,2525.473
Japan,2004,2602.057
Japan,2005,2692.0869
Japan,2006,2743.601
Japan,2007,2821.3057
Japan,2008,2906.937
Japan,2009,3035.3095
Japan,2010,3204.9489
Japan,2011,3725.9524
Japan,2012,3858.7176
Japan,2013,3951.9544
Japan,2014,3962.1753
Japan,2015,3930.7353
Korea,1970,66.7592
Korea,1971,62.9344
Korea,1972,60.3042
Korea,1973,58.3564
Korea,1974,54.4368
Korea,1975,86.3197
Korea,1976,96.7781
Korea,1977,101.5091
Korea,1978,120.0487
Korea,1979,166.8291
Korea,1980,177.1629
Korea,1981,194.2137
Korea,1982,204.6142
Korea,1983,221.4358
Korea,1984,229.6374
Korea,1985,247.7922
Korea,1986,262.6692
Korea,1987,284.914
Korea,1988,329.3889
Korea,1989,400.0955
Korea,1990,428.9749
Korea,1991,448.4251
Korea,1992,487.7438
Korea,1993,503.5979
Korea,1994,518.4574
Korea,1995,571.0775
Korea,1996,641.2272
Korea,1997,669.7538
Korea,1998,652.5871
Korea,1999,759.6593
Korea,2000,831.826
Korea,2001,968.6293
Korea,2002,1001.7548
Korea,2003,1100.1015
Korea,2004,1160.5523
Korea,2005,1287.7107
Korea,2006,1455.1477
Korea,2007,1578.6684
Korea,2008,1660.3987
Korea,2009,1813.1674
Korea,2010,1951.3258
Korea,2011,2031.3198
Korea,2012,2112.3831
Korea,2013,2227.8274
Korea,2014,2379.9712
Korea,2015,2480.2836
Latvia,1970,..
Latvia,1971,..
Latvia,1972,..
Latvia,1973,..
Latvia,1974,..
Latvia,1975,..
Latvia,1976,..
Latvia,1977,..
Latvia,1978,..
Latvia,1979,..
Latvia,1980,..
Latvia,1981,..
Latvia,1982,..
Latvia,1983,..
Latvia,1984,..
Latvia,1985,..
Latvia,1986,..
Latvia,1987,..
Latvia,1988,..
Latvia,1989,..
Latvia,1990,..
Latvia,1991,..
Latvia,1992,..
Latvia,1993,..
Latvia,1994,..
Latvia,1995,418.2962
Latvia,1996,473.0512
Latvia,1997,536.5739
Latvia,1998,570.6879
Latvia,1999,622.1972
Latvia,2000,626.0707
Latvia,2001,696.9402
Latvia,2002,756.3974
Latvia,2003,795.6183
Latvia,2004,929.6818
Latvia,2005,978.9398
Latvia,2006,1082.8852
Latvia,2007,1207.1463
Latvia,2008,1146.5548
Latvia,2009,1091.5743
Latvia,2010,1071.4247
Latvia,2011,1052.3074
Latvia,2012,1078.4919
Latvia,2013,1116.1671
Latvia,2014,1173.3727
Latvia,2015,1229.7855
Luxembourg,1970,..
Luxembourg,1971,..
Luxembourg,1972,..
Luxembourg,1973,..
Luxembourg,1974,..
Luxembourg,1975,..
Luxembourg,1976,..
Luxembourg,1977,..
Luxembourg,1978,..
Luxembourg,1979,..
Luxembourg,1980,..
Luxembourg,1981,..
Luxembourg,1982,..
Luxembourg,1983,..
Luxembourg,1984,..
Luxembourg,1985,..
Luxembourg,1986,..
Luxembourg,1987,..
Luxembourg,1988,..
Luxembourg,1989,..
Luxembourg,1990,..
Luxembourg,1991,..
Luxembourg,1992,..
Luxembourg,1993,..
Luxembourg,1994,..
Luxembourg,1995,3316.7824
Luxembourg,1996,3373.0684
Luxembourg,1997,3489.2365
Luxembourg,1998,3712.8361
Luxembourg,1999,4052.5576
Luxembourg,2000,4607.0129
Luxembourg,2001,5120.9327
Luxembourg,2002,5534.7542
Luxembourg,2003,5733.3215
Luxembourg,2004,6206.8898
Luxembourg,2005,6192.6627
Luxembourg,2006,6020.6356
Luxembourg,2007,5982.6009
Luxembourg,2008,6130.7386
Luxembourg,2009,6451.6554
Luxembourg,2010,6401.8972
Luxembourg,2011,5628.0203
Luxembourg,2012,5811.1547
Luxembourg,2013,5787.4369
Luxembourg,2014,5777.4345
Luxembourg,2015,6758.7884
Mexico,1970,..
Mexico,1971,..
Mexico,1972,..
Mexico,1973,..
Mexico,1974,..
Mexico,1975,..
Mexico,1976,..
Mexico,1977,..
Mexico,1978,..
Mexico,1979,..
Mexico,1980,..
Mexico,1981,..
Mexico,1982,..
Mexico,1983,..
Mexico,1984,..
Mexico,1985,..
Mexico,1986,..
Mexico,1987,..
Mexico,1988,..
Mexico,1989,..
Mexico,1990,505.5678
Mexico,1991,557.5118
Mexico,1992,609.8756
Mexico,1993,634.2963
Mexico,1994,652.7527
Mexico,1995,587.714
Mexico,1996,553.3215
Mexico,1997,598.4016
Mexico,1998,631.4867
Mexico,1999,662.6147
Mexico,2000,689.5147
Mexico,2001,736.5952
Mexico,2002,754.4262
Mexico,2003,830.7156
Mexico,2004,870.4653
Mexico,2005,868.577
Mexico,2006,869.6953
Mexico,2007,902.7412
Mexico,2008,891.0721
Mexico,2009,900.0231
Mexico,2010,911.3509
Mexico,2011,895.0437
Mexico,2012,947.8146
Mexico,2013,965.7668
Mexico,2014,928.7826
Mexico,2015,956.2196
Netherlands,1970,..
Netherlands,1971,..
Netherlands,1972,1263.8102
Netherlands,1973,1335.5067
Netherlands,1974,1429.309
Netherlands,1975,1500.9013
Netherlands,1976,1544.7651
Netherlands,1977,1587.6873
Netherlands,1978,1644.9819
Netherlands,1979,1708.9465
Netherlands,1980,1765.0192
Netherlands,1981,1763.385
Netherlands,1982,1792.5578
Netherlands,1983,1822.6207
Netherlands,1984,1796.0595
Netherlands,1985,1830.735
Netherlands,1986,1896.0149
Netherlands,1987,1951.6413
Netherlands,1988,1984.4914
Netherlands,1989,2111.5755
Netherlands,1990,2235.2966
Netherlands,1991,2329.3287
Netherlands,1992,2419.1975
Netherlands,1993,2465.4183
Netherlands,1994,2483.7328
Netherlands,1995,2517.7319
Netherlands,1996,2569.5265
Netherlands,1997,2598.2123
Netherlands,1998,2726.8316
Netherlands,1999,2845.7887
Netherlands,2000,2895.4987
Netherlands,2001,3094.8154
Netherlands,2002,3290.5559
Netherlands,2003,3492.0137
Netherlands,2004,3577.4411
Netherlands,2005,4026.956
Netherlands,2006,4114.4114
Netherlands,2007,4261.8189
Netherlands,2008,4418.9235
Netherlands,2009,4549.9608
Netherlands,2010,4671.0098
Netherlands,2011,4749.1091
Netherlands,2012,4850.2599
Netherlands,2013,4851.3257
Netherlands,2014,4876.8411
Netherlands,2015,4885.5541
New Zealand,1970,964.0011
New Zealand,1971,971.3469
New Zealand,1972,1010.1016
New Zealand,1973,1109.8231
New Zealand,1974,1285.533
New Zealand,1975,1353.0442
New Zealand,1976,1251.9901
New Zealand,1977,1253.1327
New Zealand,1978,1342.602
New Zealand,1979,1273.7866
New Zealand,1980,1176.5672
New Zealand,1981,1208.6914
New Zealand,1982,1240.6746
New Zealand,1983,1236.9665
New Zealand,1984,1219.59
New Zealand,1985,1132.5728
New Zealand,1986,1183.0917
New Zealand,1987,1246.6725
New Zealand,1988,1392.8127
New Zealand,1989,1427.2557
New Zealand,1990,1511.9218
New Zealand,1991,1535.9415
New Zealand,1992,1566.8143
New Zealand,1993,1581.1303
New Zealand,1994,1643.8037
New Zealand,1995,1698.1658
New Zealand,1996,1712.736
New Zealand,1997,1793.7497
New Zealand,1998,1901.6718
New Zealand,1999,1958.3694
New Zealand,2000,2009.2265
New Zealand,2001,2103.912
New Zealand,2002,2264.4581
New Zealand,2003,2268.0002
New Zealand,2004,2360.5568
New Zealand,2005,2525.4906
New Zealand,2006,2670.6987
New Zealand,2007,2645.6815
New Zealand,2008,2837.608
New Zealand,2009,3028.8743
New Zealand,2010,3020.3961
New Zealand,2011,3047.9186
New Zealand,2012,3150.6606
New Zealand,2013,3084.7375
New Zealand,2014,3128.6987
