Entity,Year,Stomach,Colon,Rectum,Liver,Lung,Breast,Cervix,Ovary,Prostate,Leukaemia
Puerto Rico,2004,26.8,60.3,54.3,12.2,14.8,82.6,60.9,34.5,97.5,34.1
Puerto Rico,2009,28.6,60.9,57.8,9.2,15.8,83,59.3,34.8,97.7,30.2
Qatar,2009,27.3,68.2,77.8,4.1,13.2,85.3,85.5,37.2,55.3,52.8
Romania,2009,22.1,58.4,46.8,2.3,16.2,75,69.1,40.5,79.5,41.2
Russia,2004,21.8,35.5,27.8,7.4,14.7,62.4,56.6,37.2,63.9,34.1
Russia,2009,19.9,40.6,30.4,9.4,15.7,70.6,54.9,40.4,69.6,42
Saudi Arabia,1999,33.6,43.3,61,23.5,21.3,70.9,62.2,49.4,64.8,61.4
Saudi Arabia,2004,44.1,49,59.3,16,12.9,78.4,65.6,53,65.3,50.9
Slovakia,2004,20.2,49.7,43.4,5.1,9.6,74,62.6,34.8,62.6,41.1
Slovakia,2009,19.7,49.9,44,5.3,10.7,72.1,58.8,33.9,66,37.2
Slovenia,1999,20.1,45.1,40.5,3,8.5,71.3,62.9,33.4,61.1,44.3
Slovenia,2004,25.6,53.1,48.4,3.8,9.7,78.3,67.3,37.8,72.7,39.9
Slovenia,2009,26.7,56,55.2,5.2,11.4,80.2,68.9,37.5,78.1,37.9
South Africa,1999,,,,,,71.5,37,,,
South Africa,2004,,,,,,37.9,63,,,
South Africa,2009,,,,10.2,19,53.4,54.9,90.9,100,
South Korea,1999,32.8,42.5,51.6,10.8,9.6,76.7,73.7,42.1,63.7,15.4
South Korea,2004,41,60.4,60.8,15.2,15.2,79.6,70,43.3,75.8,18.8
South Korea,2009,57.9,66,65.9,20.1,18.5,82.7,77.1,44.2,82.2,23.4
Spain,1999,25.1,52,49,10.2,10.2,77.8,61.7,35.3,73.7,48.5
Spain,2004,25.3,56.1,55.2,14.3,11.5,82.2,63.4,38.1,84.6,50.7
Spain,2009,27.3,59.3,57.6,15.8,12.6,83.7,65.2,38.4,87.1,52
Sweden,1999,21.2,55.4,57.9,5.3,12.2,83.8,65,40.8,75.4,48.5
Sweden,2004,21,59.4,59.6,6.8,13.3,85.6,66.6,42.8,86.1,55
Sweden,2009,23.2,62.5,62,11.1,15.6,86.2,67.8,43.5,89.2,59.2
Switzerland,1999,23.6,54.5,53.8,9,13,78.7,63.5,35,76,51.7
Switzerland,2004,28.2,61.4,58.9,11.8,14.5,84,63.8,35.7,85.9,56
Switzerland,2009,30.4,63.3,63.8,13.6,16.5,85.5,65.4,37.7,88,58.1
Taiwan,1999,36.1,56.2,56.2,17.1,13.3,77.2,75.4,44.2,69.7,24.3
Taiwan,2004,35.8,57.1,58.1,19.5,11.6,80.7,74.5,44.3,76,22.3
Taiwan,2009,36.4,59.5,60.5,22.2,14.3,82.4,74,45.6,77.9,22.9
Thailand,1999,18.5,43.7,34.9,15.6,31.9,65.9,55,55.7,51.3,9.7
Thailand,2004,15.3,52.2,35.7,10.5,14.2,72.9,57.7,47.3,64.7,28.7
Thailand,2009,12.4,50.4,39.7,7.8,13.5,71.3,55.9,41.1,57.7,21.1
Tunisia,1999,,,,,,85.6,,,,
Tunisia,2004,,,,,,76.7,,,,
Tunisia,2009,49,67.6,78.5,,10.3,68.4,42.4,47.8,100,26.5
Turkey,1999,32.5,54.3,47.5,11.8,19.2,72.8,59.2,40.7,77.4,31.5
Turkey,2004,20,50.4,46.8,19.2,11,81.5,63.4,46,80.2,36.4
Turkey,2009,17.1,52.9,45.3,14.2,10.1,78.6,60.9,39,80.6,33.1
United Kingdom,1999,14.5,48.1,49.1,6.7,7.3,74.2,58,32.6,68.4,42
United Kingdom,2004,16.5,51.4,53.9,8.1,8.5,78.7,59.1,34.7,80.5,44.5
United Kingdom,2009,18.5,53.8,56.6,9.3,9.6,81.1,60.2,36.9,83.2,47
United States,1999,22.1,60.5,60,8.5,15.2,86,64.2,38.9,93.2,44.5
United States,2004,25.8,63.7,63.1,11.9,16.6,87.9,63.6,39.6,96.4,48.8
United States,2009,29.1,64.7,64,15.2,18.7,88.6,62.8,40.9,97.2,51.8
Uruguay,2004,,56.5,53,,12.5,,,,,
Uruguay,2009,,53.4,49.4,,9.1,,,,,
