Entity,Year,Accumulated ocean plastic: Macroplastics (>0.5cm),Accumulated ocean plastic: Microplastics (<0.5cm)
Emissions growth to 2050,2009,693400,297700
Emissions growth to 2050,2010,730100,318500
Emissions growth to 2050,2011,768000,340400
Emissions growth to 2050,2012,807200,363400
Emissions growth to 2050,2013,847900,387600
Emissions growth to 2050,2014,890200,413100
Emissions growth to 2050,2015,934100,439800
Emissions growth to 2050,2016,979500,467800
Emissions growth to 2050,2017,1026500,497200
Emissions growth to 2050,2018,1075200,528000
Emissions growth to 2050,2019,1125400,560200
Emissions growth to 2050,2020,1177400,594000
Emissions growth to 2050,2021,1231200,629300
Emissions growth to 2050,2022,1286800,666300
Emissions growth to 2050,2023,1344400,704900
Emissions growth to 2050,2024,1403900,745200
Emissions growth to 2050,2025,1465500,787300
Emissions growth to 2050,2026,1529300,831300
Emissions growth to 2050,2027,1595300,877200
Emissions growth to 2050,2028,1663700,925000
Emissions growth to 2050,2029,1734500,974900
Emissions growth to 2050,2030,1807700,1027000
Emissions growth to 2050,2031,1883600,1081200
Emissions growth to 2050,2032,1962200,1137700
Emissions growth to 2050,2033,2043500,1196600
Emissions growth to 2050,2034,2127800,1257900
Emissions growth to 2050,2035,2215100,1321700
Emissions growth to 2050,2036,2305500,1388200
Emissions growth to 2050,2037,2399100,1457300
Emissions growth to 2050,2038,2496100,1529300
Emissions growth to 2050,2039,2596600,1604200
Emissions growth to 2050,2040,2700600,1682100
Emissions growth to 2050,2041,2808400,1763100
Emissions growth to 2050,2042,2920100,1847300
Emissions growth to 2050,2043,3035800,1934900
Emissions growth to 2050,2044,3155700,2026000
Emissions growth to 2050,2045,3279900,2120700
Emissions growth to 2050,2046,3408600,2219100
Emissions growth to 2050,2047,3542000,2321300
Emissions growth to 2050,2048,3680200,2427600
Emissions growth to 2050,2049,3823500,2538000
Emissions growth to 2050,2050,3971900,2652700
Emissions level to 2020,1950,0,0
Emissions level to 2020,1951,400,0
Emissions level to 2020,1952,600,0
Emissions level to 2020,1953,1000,0
Emissions level to 2020,1954,1300,100
Emissions level to 2020,1955,1800,100
Emissions level to 2020,1956,2400,200
Emissions level to 2020,1957,3000,200
Emissions level to 2020,1958,3800,300
Emissions level to 2020,1959,4600,400
Emissions level to 2020,1960,5600,600
Emissions level to 2020,1961,6700,700
Emissions level to 2020,1962,8100,900
Emissions level to 2020,1963,9600,1200
Emissions level to 2020,1964,11500,1500
Emissions level to 2020,1965,13500,1800
Emissions level to 2020,1966,16000,2200
Emissions level to 2020,1967,18800,2700
Emissions level to 2020,1968,22000,3300
Emissions level to 2020,1969,25900,3900
Emissions level to 2020,1970,30200,4700
Emissions level to 2020,1971,34900,5600
Emissions level to 2020,1972,40300,6600
Emissions level to 2020,1973,46500,7900
Emissions level to 2020,1974,53100,9300
Emissions level to 2020,1975,59200,10800
Emissions level to 2020,1976,66200,12600
Emissions level to 2020,1977,73600,14600
Emissions level to 2020,1978,81600,16800
Emissions level to 2020,1979,90400,19300
Emissions level to 2020,1980,99300,22000
Emissions level to 2020,1981,108400,25000
Emissions level to 2020,1982,117800,28200
Emissions level to 2020,1983,127800,31700
Emissions level to 2020,1984,138500,35600
Emissions level to 2020,1985,149600,39700
Emissions level to 2020,1986,161300,44200
Emissions level to 2020,1987,174000,49100
Emissions level to 2020,1988,187300,54300
Emissions level to 2020,1989,201200,59900
Emissions level to 2020,1990,215900,65900
Emissions level to 2020,1991,231000,72400
Emissions level to 2020,1992,247000,79300
Emissions level to 2020,1993,263600,86800
Emissions level to 2020,1994,281600,94700
Emissions level to 2020,1995,300200,103100
Emissions level to 2020,1996,320200,112100
Emissions level to 2020,1997,341500,121700
Emissions level to 2020,1998,363900,132000
Emissions level to 2020,1999,387800,142900
Emissions level to 2020,2000,413100,154500
Emissions level to 2020,2001,439200,166900
Emissions level to 2020,2002,466800,180100
Emissions level to 2020,2003,495500,194100
Emissions level to 2020,2004,525900,209000
Emissions level to 2020,2005,557100,224700
Emissions level to 2020,2006,590200,241400
Emissions level to 2020,2007,625000,259200
Emissions level to 2020,2008,658800,277900
Emissions level to 2020,2009,693400,297700
Emissions level to 2020,2010,730100,318500
Emissions level to 2020,2011,768000,340400
Emissions level to 2020,2012,807200,363400
Emissions level to 2020,2013,847900,387600
Emissions level to 2020,2014,890200,413100
Emissions level to 2020,2015,934100,439800
Emissions level to 2020,2016,979500,467800
Emissions level to 2020,2017,1026500,497200
Emissions level to 2020,2018,1075200,528000
Emissions level to 2020,2019,1125400,560200
Emissions level to 2020,2020,1177400,594000
Emissions level to 2020,2021,1229700,629300
Emissions level to 2020,2022,1281900,666200
Emissions level to 2020,2023,1334100,704700
Emissions level to 2020,2024,1385800,744700
Emissions level to 2020,2025,1437100,786300
Emissions level to 2020,2026,1487900,829400
Emissions level to 2020,2027,1538000,874000
Emissions level to 2020,2028,1587600,920200
Emissions level to 2020,2029,1636500,967800
Emissions level to 2020,2030,1684700,1016900
Emissions level to 2020,2031,1732300,1067400
Emissions level to 2020,2032,1779300,1119400
Emissions level to 2020,2033,1825500,1172800
Emissions level to 2020,2034,1871100,1227500
Emissions level to 2020,2035,1916000,1283700
Emissions level to 2020,2036,1960200,1341100
Emissions level to 2020,2037,2003700,1400000
Emissions level to 2020,2038,2046600,1460100
Emissions level to 2020,2039,2088700,1521500
Emissions level to 2020,2040,2130200,1584100
Emissions level to 2020,2041,2171000,1648000
Emissions level to 2020,2042,2211100,1713200
Emissions level to 2020,2043,2250700,1779500
Emissions level to 2020,2044,2289600,1847000
Emissions level to 2020,2045,2327900,1915700
Emissions level to 2020,2046,2365500,1985500
Emissions level to 2020,2047,2402600,2056500
Emissions level to 2020,2048,2439100,2128600
Emissions level to 2020,2049,2475000,2201800
Emissions level to 2020,2050,2510400,2276000
Emissions stop in 2020,1950,0,0
Emissions stop in 2020,1951,400,0
Emissions stop in 2020,1952,600,0
Emissions stop in 2020,1953,1000,0
Emissions stop in 2020,1954,1300,100
Emissions stop in 2020,1955,1800,100
Emissions stop in 2020,1956,2400,200
Emissions stop in 2020,1957,3000,200
Emissions stop in 2020,1958,3800,300
Emissions stop in 2020,1959,4600,400
Emissions stop in 2020,1960,5600,600
Emissions stop in 2020,1961,6700,700
Emissions stop in 2020,1962,8100,900
Emissions stop in 2020,1963,9600,1200
Emissions stop in 2020,1964,11500,1500
Emissions stop in 2020,1965,13500,1800
Emissions stop in 2020,1966,16000,2200
Emissions stop in 2020,1967,18800,2700
Emissions stop in 2020,1968,22000,3300
Emissions stop in 2020,1969,25900,3900
Emissions stop in 2020,1970,30200,4700
Emissions stop in 2020,1971,34900,5600
Emissions stop in 2020,1972,40300,6600
Emissions stop in 2020,1973,46500,7900
Emissions stop in 2020,1974,53100,9300
Emissions stop in 2020,1975,59200,10800
Emissions stop in 2020,1976,66200,12600
Emissions stop in 2020,1977,73600,14600
Emissions stop in 2020,1978,81600,16800
Emissions stop in 2020,1979,90400,19300
Emissions stop in 2020,1980,99300,22000
Emissions stop in 2020,1981,108400,25000
Emissions stop in 2020,1982,117800,28200
Emissions stop in 2020,1983,127800,31700
Emissions stop in 2020,1984,138500,35600
Emissions stop in 2020,1985,149600,39700
Emissions stop in 2020,1986,161300,44200
Emissions stop in 2020,1987,174000,49100
Emissions stop in 2020,1988,187300,54300
Emissions stop in 2020,1989,201200,59900
Emissions stop in 2020,1990,215900,65900
Emissions stop in 2020,1991,231000,72400
Emissions stop in 2020,1992,247000,79300
Emissions stop in 2020,1993,263600,86800
Emissions stop in 2020,1994,281600,94700
Emissions stop in 2020,1995,300200,103100
Emissions stop in 2020,1996,320200,112100
Emissions stop in 2020,1997,341500,121700
Emissions stop in 2020,1998,363900,132000
Emissions stop in 2020,1999,387800,142900
Emissions stop in 2020,2000,413100,154500
Emissions stop in 2020,2001,439200,166900
Emissions stop in 2020,2002,466800,180100
Emissions stop in 2020,2003,495500,194100
Emissions stop in 2020,2004,525900,209000
Emissions stop in 2020,2005,557100,224700
Emissions stop in 2020,2006,590200,241400
Emissions stop in 2020,2007,625000,259200
Emissions stop in 2020,2008,658800,277900
Emissions stop in 2020,2009,693400,297700
Emissions stop in 2020,2010,730100,318500
Emissions stop in 2020,2011,768000,340400
Emissions stop in 2020,2012,807200,363400
Emissions stop in 2020,2013,847900,387600
Emissions stop in 2020,2014,890200,413100
Emissions stop in 2020,2015,934100,439800
Emissions stop in 2020,2016,979500,467800
Emissions stop in 2020,2017,1026500,497200
Emissions stop in 2020,2018,1075200,528000
Emissions stop in 2020,2019,1125400,560200
Emissions stop in 2020,2020,1136000,594000
Emissions stop in 2020,2021,1141600,628100
Emissions stop in 2020,2022,1141400,662300
Emissions stop in 2020,2023,1136200,696600
Emissions stop in 2020,2024,1127400,730600
Emissions stop in 2020,2025,1116200,764500
Emissions stop in 2020,2026,1103700,798000
Emissions stop in 2020,2027,1090700,831100
Emissions stop in 2020,2028,1077300,863800
Emissions stop in 2020,2029,1063800,896100
Emissions stop in 2020,2030,1049900,928000
Emissions stop in 2020,2031,1035800,959500
Emissions stop in 2020,2032,1021300,990600
Emissions stop in 2020,2033,1006500,1021200
Emissions stop in 2020,2034,991600,1051400
Emissions stop in 2020,2035,976600,1081200
Emissions stop in 2020,2036,961700,1110500
Emissions stop in 2020,2037,947000,1139300
Emissions stop in 2020,2038,932500,1167700
Emissions stop in 2020,2039,918300,1195700
Emissions stop in 2020,2040,904500,1223300
Emissions stop in 2020,2041,890900,1250400
Emissions stop in 2020,2042,877600,1277100
Emissions stop in 2020,2043,864700,1303500
Emissions stop in 2020,2044,851900,1329400
Emissions stop in 2020,2045,839500,1355000
Emissions stop in 2020,2046,827100,1380100
Emissions stop in 2020,2047,815000,1405000
Emissions stop in 2020,2048,802800,1429400
Emissions stop in 2020,2049,790700,1453500
Emissions stop in 2020,2050,778600,1477200
