Entity,Year,Economic Complexity Index (ECI) (Observatory of Economic Complexity (2016)),ECI+ (Observatory of Economic Complexity (2016)),Economic Complexity Index (ECI) (Atlas of Economic Complexity (2016)),OEC ECI Ranking (Observatory of Economic Complexity (2016)),Atlas of Economic Complexity ECI Ranking (Atlas of Economic Complexity (2016))
Algeria,1981,-1.0883,-.598701,,84,
Algeria,1982,-1.11657,-.647268,,85,
Algeria,1983,-1.18598,-.47642601,,88,
Algeria,1984,-1.18261,-.51698798,,88,
Algeria,1985,-1.10051,-.53281897,,88,
Algeria,1986,-1.2243201,-.458092,,89,
Algeria,1987,-.78763902,-.40869001,,76,
Algeria,1988,-.29223099,-.241032,,59,
Algeria,1989,-.25745699,-.131635,,58,
Algeria,1990,-.649656,-.25254601,,75,
Algeria,1991,-.64568698,-.339634,,74,
Algeria,1992,-.79803199,-.47424799,,90,
Algeria,1993,-.770482,-.59350598,,90,
Algeria,1994,-.63565701,-.59473097,,86,
Algeria,1995,-.78749698,-.61257499,-.4267,90,79
Algeria,1996,-.72510999,-.71882898,-.16150001,86,65
Algeria,1997,-.81471801,-.79905802,-.62159997,93,85
Algeria,1998,-.80282903,-.82317197,-.70859998,94,87
Algeria,1999,-.74116498,-.83545297,-.86739999,86,95
Algeria,2000,-.84342402,-.84322,-.95749998,97,97
Algeria,2001,-.90610802,-1.01351,-.86839998,98,90
Algeria,2002,-.80861801,-1.0536,-.9612,93,92
Algeria,2003,-.87559199,-.94871497,-1.2108001,97,103
Algeria,2004,-1.11,-.957578,-.73580003,103,84
Algeria,2005,-1.1146801,-.82340002,-.5212,103,77
Algeria,2006,-.78872699,-.85698199,-.80199999,90,92
Algeria,2007,-.68275499,-.79674,-.9975,88,96
Algeria,2008,-1.0320899,-.87965,-1.0867,105,103
Algeria,2009,-1.07781,-.78951299,-1.2338001,107,109
Algeria,2010,-1.1549799,-.704916,-1.1507,109,103
Algeria,2011,-1.28473,-.842085,-1.415,114,113
Algeria,2012,-1.56777,-.86709702,-1.1093,114,103
Algeria,2013,-2.0815401,-1.69993,-1.4816999,110,115
Algeria,2014,-1.7725199,-1.61295,-1.411,104,113
Algeria,2015,-1.6871001,-1.80353,-1.3532,105,111
Algeria,2016,-.78158498,,-.85659999,64,91
Angola,1964,-1.31753,-1.22675,,89,
Angola,1965,-1.21766,-.91718698,,88,
Angola,1966,-1.17056,-.92770803,,87,
Angola,1967,-1.03878,-.86460501,,84,
Angola,1968,-1.23318,-1.2251,,91,
Angola,1969,-1.22352,-1.24938,,90,
Angola,1970,-1.20874,-1.35869,,90,
Angola,1971,-1.32727,-1.32028,,90,
Angola,1972,-1.28119,-1.25597,,93,
Angola,1973,-1.15258,-1.02626,,86,
Angola,1974,-1.14003,-.99383003,,87,
Angola,1975,-1.24488,-1.00292,,91,
Angola,1976,-1.37667,-1.09799,,90,
Angola,1977,-1.54506,-1.28816,,94,
Angola,1978,-1.43599,-1.2117,,95,
Angola,1979,-1.4835,-1.57722,,94,
Angola,1980,-1.43557,-1.57506,,94,
Angola,1981,-1.70915,-1.57298,,97,
Angola,1982,-1.7686501,-1.28833,,97,
Angola,1983,-2.01443,-1.2577699,,97,
Angola,1984,-1.94971,-.96166998,,98,
Angola,1985,-1.78521,-.93079603,,99,
Angola,1986,-1.822,-.68150598,,99,
Angola,1987,-1.2618099,-.548823,,90,
Angola,1988,-1.6952,-.75436801,,98,
Angola,1989,-1.2709301,-.79580498,,92,
Angola,1990,-1.67635,-.97053498,,98,
Angola,1991,-2.0067899,-.89000702,,100,
Angola,1992,-2.04018,-.930242,,114,
Angola,1993,-1.46963,-1.02546,,114,
Angola,1994,-1.2622401,-1.1930799,,110,
Angola,1995,-1.70503,-1.05732,-2.2361,117,118
Angola,1996,-1.75814,-1.01272,-1.8908,117,117
Angola,1997,-1.79175,-.928505,-1.5132,117,114
Angola,1998,-1.60166,-.991965,-1.7323999,115,115
Angola,1999,-1.61325,-1.11676,-1.4148999,115,111
Angola,2000,-1.6736701,-1.25969,-1.9914,117,120
Angola,2001,-1.71443,-1.39774,-1.6395,117,117
Angola,2002,-2.04759,-1.22607,-2.1928,120,121
Angola,2003,-2.0692401,-.98156101,-2.0332999,120,119
Angola,2004,-.70573199,-.928527,-.91610003,88,92
Angola,2005,-.78795898,-.898754,-1.8033,88,119
Angola,2006,-.79822499,-1.09367,-2.2246001,92,121
Angola,2007,-1.91304,-.94123602,-1.4768,119,115
Angola,2008,-1.95195,-1.33031,-2.29,120,120
Angola,2009,-1.96257,-1.11115,-1.1747,119,107
Angola,2010,-2.0130899,-1.0162801,-1.0599999,120,98
Angola,2011,-2.0908699,-.70167702,-1.3122,121,110
Angola,2012,-2.7913599,-.958884,-1.4043,119,115
Angola,2013,,,-1.2627,,109
Angola,2014,,,-1.5678,,118
Angola,2015,,,-1.2772,,108
Angola,2016,,,-1.1932,,103.5
Argentina,1964,-.23552801,.22092199,,49,
Argentina,1965,-.138631,.21709,,42,
Argentina,1966,-.186694,.25969499,,46,
Argentina,1967,-.281353,.248889,,49,
Argentina,1968,-.27469999,.29763001,,52,
Argentina,1969,-.24875399,.335639,,50,
Argentina,1970,-.139189,.41848299,,49,
Argentina,1971,-.117285,.488794,,47,
Argentina,1972,-.021875,.56140202,,47,
Argentina,1973,.117281,.59733701,,41,
Argentina,1974,.269263,.61544502,,39,
Argentina,1975,.39073101,.59348202,,35,
Argentina,1976,.18431801,.418098,,45,
Argentina,1977,.12915599,.43867201,,44,
Argentina,1978,.100627,.46610099,,45,
Argentina,1979,-.030212,.47795799,,46,
Argentina,1980,-.100055,.46109599,,52,
Argentina,1981,-.088912003,.45038301,,52,
Argentina,1982,-.040169999,.50218999,,48,
Argentina,1983,.100525,.51383001,,45,
Argentina,1984,.089542001,.42866799,,45,
Argentina,1985,.02977,.43524501,,44,
Argentina,1986,.021269999,.452369,,46,
Argentina,1987,.064140998,.402318,,42,
Argentina,1988,.042608999,.34972301,,42,
Argentina,1989,.094958,.37603599,,42,
Argentina,1990,.064196996,.40801501,,43,
Argentina,1991,.092349,.40059701,,41,
Argentina,1992,-.063648,.385198,,55,
Argentina,1993,-.010048,.38892201,,54,
Argentina,1994,-.02758,.38374501,,58,
Argentina,1995,.010787,.42147201,.1683,56,53
Argentina,1996,-.018549999,.38372999,.2234,57,52
Argentina,1997,.012858,.39388001,.3628,56,46
Argentina,1998,.063963003,.41861901,.3583,57,46
Argentina,1999,.061027002,.39775401,.37920001,56,39
Argentina,2000,.067483999,.38206199,.44490001,53,35
Argentina,2001,.065940998,.324783,.2229,54,47
Argentina,2002,-.048438001,.26828599,.221,59,49
Argentina,2003,-.022570999,.22263899,.27219999,58,45
Argentina,2004,.002533,.21271899,.2225,54,48
Argentina,2005,.03593,.21554799,.30649999,51,47
Argentina,2006,.053536002,.234634,.18719999,51,48
Argentina,2007,.073767997,.217877,-.037799999,53,55
Argentina,2008,.077065997,.231925,.169,54,50
Argentina,2009,.071967997,.20330399,.2131,58,46
Argentina,2010,.032480001,.21428201,.19670001,60,45
Argentina,2011,-.063178003,.14851101,.15019999,60,47
Argentina,2012,-.148047,.13704599,.1763,64,49
Argentina,2013,-.49651301,-.099564999,.12720001,70,49
Argentina,2014,-.50207198,-.130401,.091399997,72,54
Argentina,2015,-.52818501,-.188967,.0049000001,72,56
Argentina,2016,-.62205398,,-.1259,60,59
Australia,1964,.15691,.82967103,,34,
Australia,1965,.191705,.84677798,,34,
Australia,1966,.245572,.83907902,,34,
Australia,1967,.183548,.80172998,,37,
Australia,1968,.268314,.79176003,,35,
Australia,1969,.135157,.724796,,37,
Australia,1970,.068696,.70751101,,40,
Australia,1971,.057806998,.727799,,42,
Australia,1972,.043605,.77400303,,46,
Australia,1973,.019880001,.76903701,,47,
Australia,1974,.0020049999,.74733102,,47,
Australia,1975,-.044957001,.71665698,,49,
Australia,1976,-.088587999,.63000202,,52,
Australia,1977,-.050255999,.60191798,,53,
Australia,1978,-.038578,.492562,,50,
Australia,1979,-.044982001,.54988903,,47,
Australia,1980,-.094968997,.544361,,51,
Australia,1981,-.147273,.55446899,,54,
Australia,1982,-.0071370001,.56844801,,46,
Australia,1983,-.10869,.53937602,,49,
Australia,1984,-.097552001,.65192699,,52,
Australia,1985,.024367999,.63327903,,45,
Australia,1986,-.079455003,.57613599,,49,
Australia,1987,-.085689001,.53087997,,46,
Australia,1988,-.108906,.57526302,,50,
Australia,1989,-.067428,.57556099,,50,
Australia,1990,-.16811299,.551162,,52,
Australia,1991,-.16515701,.50954098,,51,
Australia,1992,-.190559,.52944797,,62,
Australia,1993,-.038421001,.49706799,,56,
Australia,1994,-.0092730001,.46077001,,55,
Australia,1995,.041469999,.471861,.51539999,55,37
Australia,1996,.027905,.50555098,.50389999,54,40
Australia,1997,-.0078699999,.49394599,.53899997,59,36
Australia,1998,.052212998,.489088,.38460001,58,41
Australia,1999,-.033744,.435155,.35640001,60,42
Australia,2000,-.031122999,.373276,.37540001,58,41
Australia,2001,-.066469997,.35400301,.197,62,48
Australia,2002,-.073101997,.34147999,.23639999,62,47
Australia,2003,-.038353,.33688,.31,60,43
Australia,2004,-.21867201,.311575,.15180001,69,50
Australia,2005,-.213502,.30518001,.2018,68,51
Australia,2006,-.155239,.32268599,.000099999997,64,55
Australia,2007,-.171363,.31541401,.056499999,65,53
Australia,2008,-.210701,.302425,-.2983,68,63
Australia,2009,-.33116499,.25304401,-.1079,71,56
Australia,2010,-.39788401,.227172,-.38440001,76,65
Australia,2011,-.516626,.121017,-.153,78,58
Australia,2012,-.528256,.105864,-.31810001,77,69
Australia,2013,-.81685102,-.077673003,-.3409,84,69
Australia,2014,-.846322,-.09589,-.29899999,89,62
Australia,2015,-.763708,-.11783,-.2735,82,62
Australia,2016,-.46800101,,-.2358,55,65
Austria,1964,2.0389199,1.7093199,,6,
Austria,1965,2.06916,1.73877,,3,
Austria,1966,1.99344,1.69556,,4,
Austria,1967,2.0393,1.68331,,4,
Austria,1968,1.98078,1.67812,,5,
Austria,1969,1.9270101,1.6451401,,6,
Austria,1970,1.99157,1.64744,,4,
Austria,1971,1.96936,1.60418,,4,
Austria,1972,1.94613,1.58971,,6,
Austria,1973,1.88468,1.58698,,6,
Austria,1974,1.90756,1.5934401,,5,
Austria,1975,1.8608,1.55252,,4,
Austria,1976,1.70802,1.51373,,4,
Austria,1977,1.7341,1.50111,,4,
Austria,1978,1.81273,1.52639,,5,
Austria,1979,1.93101,1.6123199,,5,
Austria,1980,1.88666,1.53273,,5,
Austria,1981,1.84022,1.47472,,5,
Austria,1982,1.79374,1.44719,,6,
Austria,1983,1.79615,1.4146,,6,
Austria,1984,1.77997,1.4148,,6,
Austria,1985,1.88765,1.46178,,6,
Austria,1986,1.81925,1.45997,,6,
Austria,1987,1.89238,1.47574,,5,
Austria,1988,1.8674099,1.4660701,,5,
Austria,1989,1.92154,1.4559,,5,
Austria,1990,1.94269,1.43909,,5,
Austria,1991,1.95901,1.4426399,,5,
Austria,1992,2.00948,1.45023,,5,
Austria,1993,2.0734,1.4020801,,5,
Austria,1994,2.12007,1.41166,,5,
Austria,1995,2.0782599,1.39311,2.1131999,5,6
Austria,1996,2.03268,1.34648,2.0678,5,6
Austria,1997,1.9186701,1.32736,1.936,5,7
Austria,1998,1.84365,1.27564,2.0316,6,7
Austria,1999,1.80792,1.26964,1.8957,8,8
Austria,2000,1.79399,1.30382,1.8875,8,7
Austria,2001,1.73102,1.31528,1.8545001,8,7
Austria,2002,1.72614,1.2969199,1.9286,8,7
Austria,2003,1.76393,1.2847199,1.9055001,8,8
Austria,2004,1.8196501,1.26421,1.8945,6,7
Austria,2005,1.74605,1.2235399,1.8978,7,6
Austria,2006,1.7452,1.2071199,1.7286,6,7
Austria,2007,1.70293,1.21208,1.7309999,7,7
Austria,2008,1.68159,1.21228,1.6558,6,8
Austria,2009,1.6936899,1.20995,1.7589,6,7
Austria,2010,1.68617,1.20968,1.811,5,8
Austria,2011,1.7891001,1.24031,1.7094001,5,10
Austria,2012,1.7168601,1.21012,1.6344,5,9
Austria,2013,1.72767,1.1954,1.6889,6,9
Austria,2014,1.64981,1.17686,1.7673,6,8
Austria,2015,1.66445,1.18454,1.756,6,6
Austria,2016,,,1.6651,,7
Azerbaijan,1992,-.39236599,-1.11976,,75,
Azerbaijan,1993,-.133873,-.677858,,63,
Azerbaijan,1994,-.184645,-.47548899,,67,
Azerbaijan,1995,-.22081199,-.64852202,.075900003,68,58
Azerbaijan,1996,.29533601,.128648,.39840001,42,43
Azerbaijan,1997,.440148,-.0060780002,.2229,38,52.5
Azerbaijan,1998,.344791,-.077857003,.30759999,39,50
Azerbaijan,1999,.14542,-.212421,-.083700001,51,60
Azerbaijan,2000,-.094195999,-.218844,-.2403,63,65
Azerbaijan,2001,-.58249903,-.445999,-.64230001,80,79
Azerbaijan,2002,-.47353801,-.36621499,-.1656,75,63
Azerbaijan,2003,-.36504,-.37643799,-.45750001,72,74
Azerbaijan,2004,-.59561902,-.286118,-.45550001,81,75
Azerbaijan,2005,-.76941597,-.23549999,-.50989997,86,76
Azerbaijan,2006,-.98176098,-.182551,-.75139999,102,87
Azerbaijan,2007,-1.08907,-.227219,-.91790003,106,92
Azerbaijan,2008,-1.0063699,-.22692899,-.95850003,103,95
Azerbaijan,2009,-1.08488,-.28932801,-1.1160001,108,103
Azerbaijan,2010,-1.08757,-.29140899,-1.0092,105,96
Azerbaijan,2011,-1.4462301,-.44944099,-.89109999,116,90
Azerbaijan,2012,-1.5089099,-.444994,-.76010001,113,90
Azerbaijan,2013,-1.44358,-.51956803,-.79970002,104,91
Azerbaijan,2014,-1.7818,-.73323399,-1.3549,105,111
Azerbaijan,2015,-1.63889,-.76831901,-.80150002,104,90
Azerbaijan,2016,,,-1.1089,,98
Bangladesh,1972,-.583664,-1.86209,,68,
Bangladesh,1973,-.380092,-1.19168,,59,
Bangladesh,1974,-.23337901,-1.50711,,56,
Bangladesh,1975,-.53972799,-1.70382,,66,
Bangladesh,1976,-.91582799,-1.8643399,,77,
Bangladesh,1977,-.750175,-1.67898,,73,
Bangladesh,1978,-.54640198,-1.53093,,69,
Bangladesh,1979,-.58160597,-1.54436,,72,
Bangladesh,1980,-.47351301,-1.57043,,68,
Bangladesh,1981,-.58621001,-1.6490901,,72,
Bangladesh,1982,-.629682,-1.5056,,72,
Bangladesh,1983,-.727512,-1.4426,,73,
Bangladesh,1984,-.68106401,-1.38573,,73,
Bangladesh,1985,-.75276798,-1.37523,,76,
Bangladesh,1986,-.649575,-1.21823,,72,
Bangladesh,1987,-.56161898,-1.14336,,71,
Bangladesh,1988,-.48692301,-1.1281101,,69,
Bangladesh,1989,-.743294,-1.0954601,,77,
Bangladesh,1990,-.76186103,-1.1313699,,77,
Bangladesh,1991,-.73701298,-1.21868,,77,
Bangladesh,1992,-.65938699,-1.01791,,86,
Bangladesh,1993,-.84084201,-1.10729,,93,
Bangladesh,1994,-.92169303,-1.00412,,98,
Bangladesh,1995,-.91869903,-1.03988,-1.2612,97,104
Bangladesh,1996,-1.06387,-1.04055,-1.2939,100,105
Bangladesh,1997,-1.06811,-1.0548199,-1.0876,102,101
Bangladesh,1998,-1.08508,-.97656101,-1.2345001,101,107
Bangladesh,1999,-1.07312,-1.00042,-1.4391,101,112
Bangladesh,2000,-.99746299,-.962354,-1.2403001,102,109
Bangladesh,2001,-.99585301,-1.00205,-1.3507,103,108
Bangladesh,2002,-1.03815,-1.00121,-1.5481,104,113
Bangladesh,2003,-1.1201,-.94155502,-1.5079,106,112
Bangladesh,2004,-1.23386,-.89308202,-1.4755,109,113
Bangladesh,2005,-1.17652,-.85842597,-1.4687001,107,110
Bangladesh,2006,-1.1982599,-.82606798,-1.383,107,110
Bangladesh,2007,-1.01275,-.79025602,-1.2298,102,109
Bangladesh,2008,-.93671298,-.73082203,-1.0225,99,97
Bangladesh,2009,-.92790401,-.69961703,-1.3485,98,113
Bangladesh,2010,-1.00757,-.60750997,-1.4008,97,111
Bangladesh,2011,-1.1050299,-.61470503,-1.3492,106,111
Bangladesh,2012,-.94349903,-.57857198,-1.1351,98,104
Bangladesh,2013,-1.17559,-.78044599,-1.1928,100,107
Bangladesh,2014,,,-1.3875999,,112
Bangladesh,2015,,,-1.4094,,113
Bangladesh,2016,,,-1.198,,105
Belarus,1992,.33228001,-.780182,,34,
Belarus,1993,.47217801,-.37515801,,33,
Belarus,1994,.378847,.045875002,,33,
Belarus,1995,.477808,.45150599,.61849999,31,32
Belarus,1996,.60799098,.64552599,.7263,28,31
Belarus,1997,.471432,.63544899,.69419998,34,30
Belarus,1998,.64594799,.64737701,1.056,29,22
Belarus,1999,.60799301,.63189399,.77759999,29,27
Belarus,2000,.55891198,.63314801,.68080002,30,29
Belarus,2001,.84205198,.81041902,.8064,26,28
Belarus,2002,.72296399,.79490501,.99919999,27,27
Belarus,2003,.723122,.77960902,.92089999,28,27
Belarus,2004,.83296299,.82017303,.88239998,27,26
Belarus,2005,.85813802,.82467401,.95499998,25,26
Belarus,2006,.85624802,.798572,.91949999,25,24
Belarus,2007,.682706,.645486,1.0089,29,23
Belarus,2008,.69040197,.61310297,.93739998,31,23
Belarus,2009,.668625,.58546603,.9623,31,23
Belarus,2010,.67516202,.62168503,.87690002,32,24
Belarus,2011,.91839802,.77212697,.87190002,26,24
Belarus,2012,.82271999,.79814601,.9964,30,22
Belarus,2013,.68929499,.71983498,1.0631,32,21
Belarus,2014,.73142701,.70931602,.79290003,31,32
Belarus,2015,.702788,.65368599,.64120001,31,33
Belarus,2016,.33738601,,.75919998,30,31
Belgium,1964,1.64017,1.63623,,10,
Belgium,1965,1.66901,1.60983,,10,
Belgium,1966,1.5839601,1.59227,,10,
Belgium,1967,1.58365,1.55106,,10,
Belgium,1968,1.53657,1.53236,,10,
Belgium,1969,1.52145,1.49878,,10,
Belgium,1970,1.46409,1.49575,,10,
Belgium,1971,1.48649,1.4911,,10,
Belgium,1972,1.47614,1.4874901,,10,
Belgium,1973,1.44249,1.48434,,10,
Belgium,1974,1.47628,1.4937201,,10,
Belgium,1975,1.49865,1.47856,,10,
Belgium,1976,1.36239,1.38999,,10,
Belgium,1977,1.3430099,1.36614,,10,
Belgium,1978,1.39968,1.34753,,10,
Belgium,1979,1.4236799,1.38902,,10,
Belgium,1980,1.4946001,1.36965,,10,
Belgium,1981,1.4944201,1.3470401,,10,
Belgium,1982,1.43398,1.3142999,,11,
Belgium,1983,1.39186,1.24204,,11,
Belgium,1984,1.33047,1.28232,,12,
Belgium,1985,1.3963799,1.34901,,12,
Belgium,1986,1.45513,1.39109,,12,
Belgium,1987,1.47377,1.39903,,12,
Belgium,1988,1.5016299,1.40082,,12,
Belgium,1989,1.48931,1.39009,,12,
Belgium,1990,1.45983,1.3401,,12,
Belgium,1991,1.43235,1.3385201,,12,
Belgium,1992,1.5029401,1.3413,,12,
Belgium,1993,1.53536,1.32935,,12,
Belgium,1994,1.50225,1.3003401,,12,
Belgium,1995,1.50236,1.27696,1.7683001,12,10
Belgium,1996,1.43024,1.22834,1.7441,12,10
Belgium,1997,1.46882,1.2114,1.5964,12,10
Belgium,1998,1.48359,1.17263,1.7108999,12,10
Belgium,1999,1.4558901,1.18313,1.6052999,13,11
Belgium,2000,1.44647,1.20559,1.4361,15,13
Belgium,2001,1.40065,1.21587,1.4771,16,13
Belgium,2002,1.37079,1.19357,1.533,16,13
Belgium,2003,1.37738,1.1843801,1.5014,15,13
Belgium,2004,1.33257,1.1409,1.5357,16,13
Belgium,2005,1.2792701,1.10559,1.4229,18,13
Belgium,2006,1.23122,1.08683,1.2416,19,16
Belgium,2007,1.26407,1.07342,1.3407,18,16
Belgium,2008,1.2239799,1.07119,1.3015,19,16
Belgium,2009,1.18347,1.04689,1.4105999,20,14
Belgium,2010,1.1659,1.0441099,1.2943,19,16
Belgium,2011,1.13515,1.08509,1.253,20,17
Belgium,2012,1.04707,1.0763201,1.1555001,21,18
Belgium,2013,.95106202,1.0665801,1.243,22,16
Belgium,2014,.90581,1.05802,1.2881,24,16
Belgium,2015,.94840002,1.06163,1.1957,24,18
Belgium,2016,.99588001,,1.1754,16,19
Bolivia,1964,-.71248698,-1.60115,,69,
Bolivia,1965,-.70852703,-1.54682,,67,
Bolivia,1966,-.78130901,-1.5981899,,69,
Bolivia,1967,-.84163302,-1.54796,,70,
Bolivia,1968,-.87675601,-1.68099,,77,
Bolivia,1969,-.92696398,-1.81767,,83,
Bolivia,1970,-.79253697,-1.97289,,70,
Bolivia,1971,-.78038299,-2.0041201,,70,
Bolivia,1972,-.79522699,-1.9659899,,72,
Bolivia,1973,-.980488,-1.99168,,81,
Bolivia,1974,-1.04562,-2.18717,,86,
Bolivia,1975,-.99687201,-2.0648601,,80,
Bolivia,1976,-.92673397,-1.63543,,78,
Bolivia,1977,-.87011403,-1.4915,,77,
Bolivia,1978,-.85162902,-1.42732,,75,
Bolivia,1979,-1.14398,-1.2662899,,85,
Bolivia,1980,-.90491098,-1.13677,,80,
Bolivia,1981,-1.03484,-1.17822,,82,
Bolivia,1982,-.89597398,-1.12895,,81,
Bolivia,1983,-.81995302,-1.01587,,79,
Bolivia,1984,-1.1110801,-1.0932,,85,
Bolivia,1985,-.84248602,-1.06749,,80,
Bolivia,1986,-.942779,-1.14043,,83,
Bolivia,1987,-.895863,-1.07732,,81,
Bolivia,1988,-.80447501,-1.04915,,77,
Bolivia,1989,-.95699501,-.98799002,,79,
Bolivia,1990,-.864784,-.86050302,,79,
Bolivia,1991,-.89069003,-.741777,,82,
Bolivia,1992,-.92225099,-.53688902,,95,
Bolivia,1993,-.93033803,-.843494,,97,
Bolivia,1994,-.87176502,-.84144402,,95,
Bolivia,1995,-.78478098,-.73441303,-.56559998,89,84
Bolivia,1996,-.67054701,-.7098,-.68559998,84,86
Bolivia,1997,-.76106697,-.71119601,-.80110002,91,94
Bolivia,1998,-.63050199,-.65715802,-.6311,82,84
Bolivia,1999,-.77052402,-.60679603,-.61809999,89,88
Bolivia,2000,-.81261098,-.56907701,-.73809999,93,91
Bolivia,2001,-.88152701,-.55322897,-.79290003,96,87
Bolivia,2002,-.83618498,-.63100898,-1.1253,94,101
Bolivia,2003,-.79780197,-.70338398,-.8689,91,94
Bolivia,2004,-.91934502,-.89938003,-1.0674,98,99
Bolivia,2005,-.85691798,-.93618101,-.921,96,94
Bolivia,2006,-.851524,-.95613098,-.95850003,96,96
Bolivia,2007,-.87106198,-.876203,-1.1585,93,102
Bolivia,2008,-.795241,-.83602703,-1.0224,94,96
Bolivia,2009,-.82826102,-.88899601,-1.0206,95,96
Bolivia,2010,-.82102501,-.71044397,-1.0793999,94,99
Bolivia,2011,-.93974298,-.86830801,-.90619999,99,93
Bolivia,2012,-.85334402,-.74661797,-.51969999,95,81
Bolivia,2013,-1.16084,-1.26951,-.90920001,99,96
Bolivia,2014,-1.1812201,-1.12006,-1.2449,97,106
Bolivia,2015,-1.29269,-1.22943,-.98009998,100,99
Bolivia,2016,,,-1.206,,106
Bosnia and Herzegovina,1992,.76563197,.63224202,,25,
Bosnia and Herzegovina,1993,.76091403,.67416,,26,
Bosnia and Herzegovina,1994,.67399502,.69420701,,27,
Bosnia and Herzegovina,1995,.63562298,.61695802,.1981,28,51
Bosnia and Herzegovina,1996,.580926,.55680901,.72180003,29,32
Bosnia and Herzegovina,1997,.492681,.48306,.54100001,32,35
Bosnia and Herzegovina,1998,.52811903,.448001,.25229999,33,52
Bosnia and Herzegovina,1999,.456929,.33508399,.41330001,35,37
Bosnia and Herzegovina,2000,.35855201,.288818,.36970001,39,42
Bosnia and Herzegovina,2001,.30257401,.16437501,.25319999,40,44
Bosnia and Herzegovina,2002,.24251699,.00019399999,.2079,40,50
Bosnia and Herzegovina,2003,.210007,.045894999,.24169999,43,47
Bosnia and Herzegovina,2004,.365334,.098012999,.46579999,38,35
Bosnia and Herzegovina,2005,.42964199,.21605299,.34209999,38,44
Bosnia and Herzegovina,2006,.52393001,.197962,.2845,38,43
Bosnia and Herzegovina,2007,.52973402,.26333699,.4594,38,41
Bosnia and Herzegovina,2008,.55348402,.31002301,.49239999,38,39
