Entity,Year,Number of departures (per 1000 people)
Australia,2004,217.0672814
Australia,2005,233.1966972
Australia,2006,238.7198701
Australia,2007,262.2481707
Australia,2008,273.3279371
Australia,2009,289.3272542
Australia,2010,322.3983569
Australia,2011,348.61198
Australia,2012,361.0864693
Australia,2013,391.0843652
Australia,2014,403.3332343
Australia,2015,411.1814521
Australia,2016,428.7341245
Australia,2017,444.4095197
Austria,2000,939.6415133
Austria,2001,1038.261103
Austria,2002,1022.772084
Austria,2003,1032.331403
Austria,2004,1024.355706
Austria,2005,997.3469308
Austria,2006,1214.468012
Austria,2007,1190.526849
Austria,2008,1162.891865
Austria,2009,1213.065825
Austria,2010,1181.576306
Austria,2011,1176.646814
Austria,2012,1300.120012
Austria,2013,1258.398908
Austria,2014,1286.396214
Austria,2015,1229.708451
Austria,2016,1320.182935
Austria,2017,1304.429954
Azerbaijan,1996,55.64858946
Azerbaijan,1997,83.43699168
Azerbaijan,1998,144.8249716
Azerbaijan,1999,150.8252169
Azerbaijan,2000,164.7491489
Azerbaijan,2001,139.3135418
Azerbaijan,2002,139.6239576
Azerbaijan,2003,179.1331172
Azerbaijan,2004,177.3310058
Azerbaijan,2005,218.0687214
Azerbaijan,2006,216.3933267
Azerbaijan,2007,190.0644425
Azerbaijan,2008,246.7078988
Azerbaijan,2009,264.1037021
Azerbaijan,2010,350.7713214
Azerbaijan,2011,387.0018822
Azerbaijan,2012,416.7480656
Azerbaijan,2013,455.0377565
Azerbaijan,2014,445.0933233
Azerbaijan,2015,424.4849467
Azerbaijan,2016,438.8278848
Azerbaijan,2017,416.6316432
Bahrain,2015,3455.904596
Bangladesh,1995,6.992013124
Bangladesh,1996,7.512184933
Bangladesh,1997,6.992067475
Bangladesh,1998,7.845124277
Bangladesh,1999,8.548420069
Bangladesh,2000,8.572650435
Bangladesh,2001,8.01597767
Bangladesh,2002,8.47726461
Bangladesh,2003,10.17127148
Bangladesh,2004,11.07513842
Bangladesh,2005,12.31950384
Bangladesh,2006,12.51306993
Bangladesh,2007,15.81495714
Bangladesh,2008,5.880146592
Bangladesh,2009,14.9812527
Bangladesh,2010,12.57319284
Bangladesh,2011,13.81959276
Bangladesh,2012,14.59605095
Bangladesh,2013,9.265647197
Belarus,1995,61.40867177
Belarus,1996,69.19291339
Belarus,1997,95.77938124
Belarus,1998,89.48257027
Belarus,1999,93.15093304
Belarus,2000,129.1633641
Belarus,2001,139.6981573
Belarus,2002,145.5570436
Belarus,2003,113.0987433
Belarus,2004,52.92829111
Belarus,2005,59.18926232
Belarus,2006,54.65946425
Belarus,2007,54.07410747
Belarus,2008,39.88251451
Belarus,2009,33.23948788
Belarus,2010,43.72755604
Belarus,2011,33.77960413
Belarus,2012,52.08941417
Belarus,2013,74.79402328
Belarus,2014,78.20984112
Belarus,2015,70.70886746
Belarus,2016,49.14995831
Belarus,2017,74.25423662
Belgium,1996,555.7942063
Belgium,1997,741.3631633
Belgium,1998,762.1281881
Belgium,1999,626.8078787
Belgium,2000,773.7592976
Belgium,2001,638.696864
Belgium,2002,655.486396
Belgium,2003,700.4536276
Belgium,2004,842.806308
Belgium,2005,890.0983784
Belgium,2006,744.4094867
Belgium,2007,787.806921
Belgium,2008,829.7873393
Belgium,2009,812.7639225
Belgium,2010,807.7582977
Belgium,2011,880.4512487
Belgium,2012,860.5129685
Belgium,2013,966.0356599
Belgium,2014,980.5463564
Belgium,2015,961.0441401
Belgium,2016,1180.08137
Belgium,2017,1068.671063
Bermuda,2001,2239.856649
Bermuda,2002,2304.806714
Bermuda,2003,2226.608764
Bermuda,2004,2447.442736
Bermuda,2005,2509.586308
Bermuda,2006,2634.719402
Bermuda,2007,2789.421773
Bermuda,2008,2941.491888
Bolivia,1995,32.90728314
Bolivia,1996,34.85610454
Bolivia,1997,36.20953505
Bolivia,1998,37.2527458
Bolivia,1999,30.91884451
Bolivia,2000,24.10212972
Bolivia,2001,26.12879022
Bolivia,2002,25.07700779
Bolivia,2003,34.50459796
Bolivia,2004,38.58273784
Bolivia,2005,42.29947392
Bolivia,2006,50.84380245
Bolivia,2007,55.71181696
Bolivia,2008,61.35509338
Bolivia,2009,53.0805796
Bolivia,2010,60.89788896
Bolivia,2011,76.89756143
Bolivia,2012,76.96061062
Bolivia,2013,80.47872631
Bolivia,2014,88.23953512
Bolivia,2015,89.97916493
Bolivia,2016,96.25379849
Bolivia,2017,99.98552246
Brazil,1995,16.02005099
Brazil,1996,23.02421856
Brazil,1997,23.95771925
Brazil,1998,24.51069115
Brazil,1999,16.57219579
Brazil,2000,18.41545118
Brazil,2001,15.04354386
Brazil,2002,12.97800027
Brazil,2003,17.69488149
Brazil,2004,16.06595634
Brazil,2005,17.99725816
Brazil,2006,20.55949638
Brazil,2007,24.40497343
Brazil,2008,27.14284566
Brazil,2009,25.24423334
Brazil,2010,32.81058138
Brazil,2011,39.29301997
Brazil,2012,42.3661665
Brazil,2013,43.80247973
Brazil,2014,47.08805873
Brazil,2015,45.56177877
Brazil,2016,41.37674672
Brazil,2017,45.19125529
British Virgin Islands,1995,4287.18728
British Virgin Islands,2006,7153.315206
British Virgin Islands,2007,6712.223525
British Virgin Islands,2008,6483.361975
British Virgin Islands,2009,5293.60608
British Virgin Islands,2010,5546.57655
British Virgin Islands,2011,5196.946346
British Virgin Islands,2012,4875.653302
Bulgaria,1995,419.2210221
Bulgaria,1996,359.4478709
Bulgaria,1997,368.0191259
Bulgaria,1998,313.9236018
Bulgaria,1999,289.3811725
Bulgaria,2000,286.0404897
Bulgaria,2001,340.8604817
Bulgaria,2002,406.7799551
Bulgaria,2003,437.6664801
Bulgaria,2004,503.0543511
Bulgaria,2005,552.9462701
Bulgaria,2006,549.9260494
Bulgaria,2007,598.3827365
Bulgaria,2008,764.3581414
Bulgaria,2009,670.7016227
Bulgaria,2010,497.0523686
Bulgaria,2011,517.5326959
Bulgaria,2012,514.3796346
Bulgaria,2013,540.9411964
Bulgaria,2014,575.5863353
Bulgaria,2015,645.305908
Bulgaria,2016,756.4723137
Bulgaria,2017,880.159401
Burundi,1995,6.038183459
Burundi,1996,5.793635344
Burundi,1997,1.636099689
Burundi,1998,2.586338443
Burundi,1999,4.300088869
Burundi,2000,4.374517436
Burundi,2001,5.338760361
Cambodia,1995,2.909825994
Cambodia,1996,3.460751841
Cambodia,1997,3.983753368
Cambodia,1998,3.535171812
Cambodia,1999,4.12331714
Cambodia,2000,3.373831934
Cambodia,2001,2.983275997
Cambodia,2002,3.561611808
Cambodia,2003,4.668125819
Cambodia,2004,18.29542239
Cambodia,2005,42.80266742
Cambodia,2006,58.40666759
Cambodia,2007,72.82462215
Cambodia,2008,56.62616551
Cambodia,2009,24.13023285
Cambodia,2010,35.29311456
Cambodia,2011,48.8379122
Cambodia,2012,53.59729188
Cambodia,2013,58.04552207
Cambodia,2014,62.60317901
Cambodia,2015,76.94471484
Cambodia,2016,90.97616666
Cambodia,2017,109.4632409
Canada,1995,620.2221162
Canada,1996,639.4265281
Canada,1997,637.3052502
Canada,1998,583.4454623
Canada,1999,602.2453048
Canada,2000,623.4054931
Canada,2001,590.6653068
Canada,2002,564.5367005
Canada,2003,560.0138906
Canada,2004,612.4394437
Canada,2005,652.9772221
Canada,2006,697.9013681
Canada,2007,765.1135699
Canada,2008,813.1560063
Canada,2009,779.2183617
Canada,2010,843.3985858
Canada,2011,886.6492462
Canada,2012,928.7911887
Canada,2013,937.9452936
Canada,2014,943.2298229
Canada,2015,900.4950337
Canada,2016,862.4939073
Canada,2017,900.6190816
Central African Republic,2002,1.279553855
Central African Republic,2003,1.506907286
Central African Republic,2004,1.726248546
Central African Republic,2005,1.93802675
Central African Republic,2006,2.617951819
Central African Republic,2010,8.542157232
Chad,2000,3.236417027
Chad,2001,4.617331709
Chad,2002,2.555076053
Chad,2008,5.209333941
Chad,2009,5.737740405
Chad,2010,3.280839343
Chad,2011,6.184568184
Chad,2012,6.217958329
Chad,2016,3.874750623
Chad,2017,3.489934291
Chile,2000,86.41952822
Chile,2001,76.40028284
Chile,2002,82.75922985
Chile,2003,84.87587805
Chile,2004,94.15430714
Chile,2005,106.8305668
Chile,2006,115.6264737
Chile,2007,124.1231416
Chile,2008,114.0023174
Chile,2009,113.4499884
Chile,2010,130.5628071
Chile,2011,153.7658197
Chile,2012,163.9018851
Chile,2013,171.7347014
Chile,2014,179.9157683
Chile,2015,189.1043362
Chile,2016,198.3835177
Chile,2017,200.5015197
China,1995,3.751488768
China,1996,4.156708143
China,1997,4.32819137
China,1998,6.784574072
China,1999,7.369475587
China,2000,8.29449291
China,2001,9.539646971
China,2002,12.96626054
China,2003,15.6954362
China,2004,22.26182898
China,2005,23.7980548
China,2006,26.33369438
China,2007,31.07554908
China,2008,34.60825649
China,2009,35.79766537
China,2010,42.89884541
China,2011,52.26428991
China,2012,61.58459164
China,2013,72.33420266
China,2014,85.46182207
China,2015,93.24543108
China,2016,98.01510882
China,2017,103.1704529
Colombia,1995,28.23034692
Colombia,1996,24.4158604
Colombia,1997,27.71351041
Colombia,1998,27.85844606
Colombia,1999,27.57458265
Colombia,2000,30.56631234
Colombia,2001,33.69204094
Colombia,2002,30.71742802
Colombia,2003,27.92265571
Colombia,2004,32.88537215
Colombia,2005,35.87795433
Colombia,2007,45.70184925
Colombia,2008,45.47727802
Colombia,2009,46.72343542
Colombia,2010,51.00385584
Colombia,2011,54.3456642
Colombia,2012,67.59599607
Colombia,2013,76.14645136
Colombia,2014,81.83393211
Colombia,2015,80.07680572
Colombia,2016,78.0006848
Colombia,2017,81.86996128
Congo,2012,34.74797895
Congo,2013,37.88362697
Costa Rica,1995,77.75726404
Costa Rica,1996,78.68253737
Costa Rica,1997,78.20296112
Costa Rica,1998,87.59419362
Costa Rica,1999,91.71873372
Costa Rica,2000,97.059109
Costa Rica,2001,90.322303
Costa Rica,2002,89.5844757
Costa Rica,2003,90.40296211
Costa Rica,2004,101.5037361
Costa Rica,2005,114.6464757
Costa Rica,2006,112.5604984
Costa Rica,2007,132.052659
Costa Rica,2008,119.2005974
Costa Rica,2009,129.0031355
Costa Rica,2010,145.6455928
Costa Rica,2011,155.8535055
Costa Rica,2012,166.089329
Costa Rica,2013,167.8565001
Costa Rica,2014,167.7325108
Costa Rica,2015,191.1456509
Costa Rica,2016,213.2883589
Costa Rica,2017,234.4178864
Croatia,2008,531.5133043
Croatia,2009,563.7742212
Croatia,2010,423.9685036
Croatia,2011,672.7994203
Croatia,2012,627.9938082
Croatia,2013,687.7852211
Croatia,2014,651.8986341
Croatia,2015,613.2832684
Croatia,2016,386.8866738
Croatia,2017,466.102722
Cuba,1995,6.6018445
Cuba,1996,6.568736536
Cuba,1997,7.535875078
Cuba,1998,8.495948653
Cuba,1999,8.730869944
Cuba,2000,12.46554488
Cuba,2001,10.81656869
Cuba,2002,9.894813674
Cuba,2003,10.0490134
Cuba,2004,11.00564918
Cuba,2005,14.35628925
Cuba,2006,17.61649215
Cuba,2007,17.16254174
Cuba,2008,17.8606891
Cuba,2009,18.20012754
Cuba,2010,22.14761056
Cuba,2011,22.28161834
Cuba,2012,18.71351852
Cuba,2013,25.06097221
Cuba,2014,31.03210057
Cuba,2015,50.60449689
Cuba,2016,77.9018301
Cyprus,1995,420.8636121
Cyprus,1996,417.8960252
Cyprus,1997,473.5231016
Cyprus,1998,532.6266859
Cyprus,1999,583.1218617
Cyprus,2000,623.3528325
Cyprus,2001,712.2907646
Cyprus,2002,761.5413433
Cyprus,2003,741.7748044
Cyprus,2004,850.1499391
Cyprus,2005,889.4009486
Cyprus,2006,891.4318289
Cyprus,2007,1016.252519
Cyprus,2008,1118.751289
Cyprus,2009,1067.321388
Cyprus,2010,1119.892289
Cyprus,2011,1074.824308
Cyprus,2012,1051.924917
Cyprus,2013,974.7389623
Cyprus,2014,1049.197741
Cyprus,2015,963.8367421
Cyprus,2016,1083.64491
Cyprus,2017,1192.826762
Czech Republic,2003,707.573221
Czech Republic,2004,651.4596649
Czech Republic,2005,681.8972393
Czech Republic,2006,624.3831738
Czech Republic,2007,878.5465686
Czech Republic,2008,930.7048137
Czech Republic,2009,852.5521413
Czech Republic,2010,828.0179981
Czech Republic,2011,502.9492893
Czech Republic,2012,515.5656785
Czech Republic,2013,549.8240867
Czech Republic,2014,536.8944131
Czech Republic,2015,555.2785168
Czech Republic,2016,570.3966145
Czech Republic,2017,639.6745713
Democratic Republic of Congo,1998,1.11506267
Democratic Republic of Congo,1999,1.089356255
Democratic Republic of Congo,2015,4.672123313
Democratic Republic of Congo,2016,5.385073868
Denmark,1996,956.6652492
Denmark,1997,887.986375
Denmark,1998,902.6776609
Denmark,1999,891.4278799
Denmark,2000,938.4569977
Denmark,2001,922.9707566
Denmark,2002,917.9805321
Denmark,2003,1032.172084
Denmark,2004,856.6898503
Denmark,2005,1009.146346
Denmark,2006,1127.219679
Denmark,2007,1201.881263
Denmark,2008,1155.339984
Denmark,2009,1274.104465
Denmark,2010,1392.653474
Denmark,2011,1408.472954
Denmark,2012,1402.646698
Denmark,2013,1242.579607
Denmark,2014,1511.125681
Denmark,2015,1581.952475
Denmark,2016,1684.878343
Denmark,2017,1404.256064
Dominican Republic,1995,21.28623871
Dominican Republic,1996,44.58773964
Dominican Republic,1997,43.48639892
Dominican Republic,1998,42.66923807
Dominican Republic,1999,43.06503461
Dominican Republic,2000,42.04319658
Dominican Republic,2001,38.05854946
Dominican Republic,2002,37.58936674
Dominican Republic,2003,35.79489192
Dominican Republic,2004,40.42624199
Dominican Republic,2005,45.35826862
Dominican Republic,2006,44.81750632
Dominican Republic,2007,46.61022165
Dominican Republic,2008,42.85779514
Dominican Republic,2009,42.48672008
Dominican Republic,2010,40.51329639
Dominican Republic,2011,40.68975112
Dominican Republic,2012,41.16219184
Dominican Republic,2013,38.12748899
Dominican Republic,2014,41.034634
Dominican Republic,2015,45.40103647
Dominican Republic,2016,46.95368704
Dominican Republic,2017,48.48148017
East Asia & Pacific,1998,55.28972368
East Asia & Pacific,1999,59.27107167
East Asia & Pacific,2000,66.01095089
East Asia & Pacific,2001,69.33957637
East Asia & Pacific,2002,70.6834106
East Asia & Pacific,2003,69.03400681
East Asia & Pacific,2004,79.85610969
East Asia & Pacific,2005,84.19214903
East Asia & Pacific,2006,89.64538389
East Asia & Pacific,2007,96.9901931
East Asia & Pacific,2008,98.5725736
East Asia & Pacific,2009,97.29791555
East Asia & Pacific,2010,110.9240838
East Asia & Pacific,2011,118.5338198
East Asia & Pacific,2012,127.614635
East Asia & Pacific,2013,136.1821559
East Asia & Pacific,2014,146.4246242
East Asia & Pacific,2015,156.6442394
East Asia & Pacific,2016,164.8372563
East Asia & Pacific,2017,171.9369331
Ecuador,1995,23.68760403
Ecuador,1996,23.53750967
Ecuador,1997,26.91825479
Ecuador,1998,27.12949029
Ecuador,1999,31.13231873
Ecuador,2000,41.17639047
Ecuador,2001,43.72603383
Ecuador,2002,47.96489612
Ecuador,2003,46.12629077
Ecuador,2004,44.63477099
Ecuador,2005,48.34282753
Ecuador,2006,52.47904418
Ecuador,2007,56.38679738
Ecuador,2008,56.41090171
Ecuador,2009,55.40703581
Ecuador,2010,60.19542421
Ecuador,2011,67.33716119
Ecuador,2012,66.27899722
Ecuador,2013,72.6620429
Ecuador,2014,80.36162985
Ecuador,2015,86.59366536
Ecuador,2016,94.65935692
Ecuador,2017,93.05342638
Egypt,1995,42.10979919
Egypt,1996,43.30587302
Egypt,1997,41.14820918
Egypt,1998,42.35800451
Egypt,1999,42.0536251
Egypt,2000,42.39980129
Egypt,2001,43.15782764
Egypt,2002,45.87401277
Egypt,2003,49.25526286
Egypt,2004,69.11473536
Egypt,2005,69.12122875
Egypt,2006,57.97153517
Egypt,2009,57.18788264
Egypt,2010,54.90585477
Egypt,2011,56.6139474
Egypt,2012,64.65994081
Egypt,2013,64.38219874
Egypt,2014,67.3110476
El Salvador,1995,62.019759
El Salvador,1996,86.74303698
El Salvador,1997,109.4669727
El Salvador,1998,150.206638
El Salvador,1999,135.1029589
El Salvador,2000,157.3038227
El Salvador,2001,157.9759572
El Salvador,2002,168.5099228
El Salvador,2003,157.4134624
El Salvador,2004,179.8101079
El Salvador,2005,205.5080469
El Salvador,2006,205.0696791
El Salvador,2007,166.3522904
El Salvador,2009,219.1526013
El Salvador,2010,230.5087121
El Salvador,2011,237.220148
El Salvador,2012,235.0011557
El Salvador,2013,242.3698686
El Salvador,2014,241.1963722
El Salvador,2015,256.317725
El Salvador,2016,284.3308186
El Salvador,2017,293.3589093
Estonia,1995,1227.870146
Estonia,1996,1092.827463
Estonia,1997,1154.669229
Estonia,1998,1196.834988
Estonia,1999,1280.350787
Estonia,2000,1288.489139
Estonia,2001,1194.425534
Estonia,2002,1340.486461
Estonia,2003,1513.802965
Estonia,2006,325.2129105
Estonia,2007,504.9676284
Estonia,2008,517.5418259
Estonia,2009,563.5005976
Estonia,2010,717.2496667
Estonia,2011,794.0101202
Estonia,2012,867.1682684
Estonia,2013,884.6757618
Estonia,2014,1084.785991
Estonia,2015,950.2762263
Estonia,2016,1017.639593
Estonia,2017,972.2686776
Ethiopia,1995,2.093879799
Ethiopia,1996,2.248325032
Europe & Central Asia,1996,386.7884281
Europe & Central Asia,1997,408.0009217
Europe & Central Asia,1998,436.2514935
Europe & Central Asia,1999,454.1504023
Europe & Central Asia,2000,494.701583
Europe & Central Asia,2001,494.9548466
Europe & Central Asia,2002,498.2321665
Europe & Central Asia,2003,502.5702647
Europe & Central Asia,2004,523.7543479
Europe & Central Asia,2005,557.7100625
Europe & Central Asia,2006,562.1498353
Europe & Central Asia,2007,593.0418883
Europe & Central Asia,2008,609.230663
Europe & Central Asia,2009,572.2017242
Europe & Central Asia,2010,582.0221087
Europe & Central Asia,2011,603.1802357
Europe & Central Asia,2012,613.659273
Europe & Central Asia,2013,639.1341292
Europe & Central Asia,2014,612.2023722
Europe & Central Asia,2015,624.7049037
Europe & Central Asia,2016,652.0028644
Europe & Central Asia,2017,694.1397632
Fiji,1995,87.68559042
Fiji,1996,91.78101051
Fiji,1997,93.332997
Fiji,1998,97.46162449
Fiji,1999,110.3541998
Fiji,2000,102.3146533
Fiji,2001,104.3946462
Fiji,2002,121.3694892
Fiji,2003,127.3529685
Fiji,2004,114.8647162
Fiji,2005,132.6329341
Fiji,2006,146.2392934
Fiji,2007,143.744939
Fiji,2008,147.0344108
Fiji,2009,146.7192978
Fiji,2010,148.8458631
Fiji,2011,152.2340345
Fiji,2012,151.0995929
Fiji,2016,173.5724776
Fiji,2017,186.6368048
Finland,1995,1007.67651
Finland,1996,959.6897146
Finland,1997,1018.126068
Finland,1998,920.3457535
Finland,1999,1028.753605
Finland,2000,1142.53501
Finland,2001,1122.588863
Finland,2002,1126.216639
Finland,2003,1071.357184
Finland,2004,1108.991824
Finland,2005,1125.027068
Finland,2006,1092.994128
Finland,2007,1087.03051
Finland,2008,1101.742971
Finland,2009,1092.365783
Finland,2010,1236.726584
Finland,2011,1349.96897
Finland,2012,1672.524659
Finland,2013,1574.194535
Finland,2014,1598.641548
Finland,2015,1624.956588
Finland,2016,1660.508984
Finland,2017,1692.884605
France,1995,313.8294262
France,1996,303.7666665
France,1997,285.4172022
France,1998,300.3508042
France,1999,276.1968013
France,2000,326.4682947
France,2001,313.9799043
France,2002,296.3339678
France,2003,298.4341557
France,2004,336.9912349
France,2005,355.8124552
France,2006,349.5680171
France,2007,438.9980684
France,2008,396.2097764
France,2009,388.5202977
France,2010,385.0831926
France,2011,400.273787
France,2012,385.578455
France,2013,394.8868053
France,2014,420.9988731
France,2015,400.1599799
France,2016,396.0976951
France,2017,432.8901262
French Polynesia,1995,292.7563709
French Polynesia,1996,296.4206072
French Polynesia,2009,331.3490046
French Polynesia,2010,332.3127474
French Polynesia,2011,311.2921217
French Polynesia,2012,305.4806167
French Polynesia,2014,174.2387943
French Polynesia,2015,198.0625878
French Polynesia,2016,171.301319
French Polynesia,2017,194.3414827
Gabon,1998,173.322951
Gabon,1999,155.7330153
Gabon,2000,136.4608869
Gabon,2001,149.7315527
Gabon,2002,169.1891821
Gabon,2003,177.691308
Gambia,2005,267.9676832
Gambia,2006,205.8991792
Georgia,1995,48.16223067
Georgia,1996,47.44264639
Georgia,1997,78.33877659
Georgia,1998,96.49455129
Georgia,1999,83.77316115
Georgia,2000,71.29438924
Georgia,2001,69.7610797
Georgia,2002,72.75648382
Georgia,2004,109.7762073
Georgia,2005,204.5346062
Georgia,2006,325.4352031
Georgia,2007,360.8525233
Georgia,2008,464.516129
Georgia,2009,497.7375566
Georgia,2010,531.3295976
Georgia,2011,577.2903226
Georgia,2012,714.7712418
Georgia,2013,852.7542373
Georgia,2014,833.3780521
Georgia,2015,843.6684512
Georgia,2016,914.1505122
Georgia,2017,1036.022706
Germany,1997,680.1993755
Germany,1998,843.4170114
Germany,1999,951.2761125
Germany,2000,979.2667956
Germany,2001,990.2984125
Germany,2002,974.596518
Germany,2003,1034.056486
Germany,2004,1028.391253
Germany,2005,1050.352942
Germany,2006,993.0143749
Germany,2007,997.965487
Germany,2008,1049.822167
Germany,2009,1044.500493
Germany,2010,1050.076103
Germany,2011,1055.023581
Germany,2012,1028.637282
Germany,2013,1084.485633
Germany,2014,1025.011577
Germany,2015,1025.100674
Germany,2016,1104.644448
Germany,2017,1117.383155
Greece,2008,339.8676692
Greece,2009,345.2772243
Greece,2010,341.5954964
Greece,2011,444.9387608
Greece,2012,423.8112574
Greece,2013,418.9613862
Greece,2014,532.6643417
Greece,2015,581.3758452
Greece,2016,671.4012129
Greece,2017,714.1913871
Guatemala,1995,31.99311639
Guatemala,1996,31.27737357
Guatemala,1997,30.4014628
Guatemala,1998,35.11923159
Guatemala,1999,42.59167067
Guatemala,2000,41.88574068
Guatemala,2001,48.63753681
Guatemala,2002,51.52001237
Guatemala,2003,52.63798712
Guatemala,2004,66.73478199
Guatemala,2005,74.98456784
Guatemala,2006,78.74892663
Guatemala,2007,85.2536947
Guatemala,2008,91.17282813
Guatemala,2009,45.47293529
Guatemala,2010,47.4354217
Guatemala,2011,48.03022881
Guatemala,2012,47.21349984
Guatemala,2013,54.24393382
Guatemala,2014,62.29763082
Guatemala,2015,69.5280687
Guatemala,2016,72.06405753
Guatemala,2017,78.51714692
Honduras,1995,26.09890856
Honduras,1996,27.6080724
Honduras,1997,30.35388651
Honduras,1998,32.62260204
Honduras,1999,36.96583775
Honduras,2000,41.996952
Honduras,2001,41.68496298
Honduras,2002,40.65184579
Honduras,2003,39.3811557
Honduras,2004,40.94860284
Honduras,2005,38.51667406
Honduras,2006,39.11737413
Honduras,2007,40.86678052
Honduras,2008,49.15747642
Honduras,2009,49.15979684
Honduras,2010,49.78780389
Honduras,2011,53.76215336
Honduras,2012,54.55199993
Honduras,2013,54.40190534
Honduras,2014,63.22923629
Honduras,2015,77.22499782
Honduras,2016,71.76665697
Hong Kong,1998,7273.255192
Hong Kong,1999,8044.198895
Hong Kong,2000,8837.35934
Hong Kong,2001,9099.384895
Hong Kong,2002,9569.846236
Hong Kong,2003,9053.307185
Hong Kong,2004,10157.44085
Hong Kong,2005,10611.75365
Hong Kong,2006,11055.98577
Hong Kong,2007,11665.48588
Hong Kong,2008,11772.54305
Hong Kong,2009,11753.95824
Hong Kong,2010,12021.58253
Hong Kong,2011,11993.89106
Hong Kong,2012,11926.54648
Hong Kong,2013,11758.62597
Hong Kong,2014,11690.84999
Hong Kong,2015,12217.57437
Hong Kong,2016,12506.8833
Hong Kong,2017,12352.23291
Hungary,1995,1266.632233
Hungary,1996,1169.985602
Hungary,1997,1182.937327
Hungary,1998,1199.719088
Hungary,1999,1037.554957
Hungary,2000,1083.638373
Hungary,2001,1096.139062
Hungary,2002,1276.355973
Hungary,2003,1410.032744
Hungary,2004,1737.186739
Hungary,2005,1760.571584
Hungary,2006,1647.938662
Hungary,2007,1696.138937
Hungary,2008,1709.671108
Hungary,2009,1660.239557
Hungary,2010,1608.196301
Hungary,2011,1668.116265
Hungary,2012,1627.259167
Hungary,2013,1621.132828
Hungary,2014,1656.114427
Hungary,2015,1755.150956
Hungary,2016,1925.306268
Hungary,2017,2075.118747
Iceland,1995,620.6349918
Iceland,1996,706.5403323
Iceland,1997,748.72385
Iceland,1998,828.3250683
Iceland,1999,926.5234461
Iceland,2000,1006.383244
Iceland,2005,1226.687875
Iceland,2006,1448.407081
Iceland,2007,1476.412702
Iceland,2008,1304.290296
Iceland,2009,813.1893664
Iceland,2010,940.1303606
Iceland,2011,1068.918605
Iceland,2012,1116.252385
Iceland,2013,1127.364377
Iceland,2014,1221.799344
Iceland,2015,1360.276892
Iceland,2016,1597.906028
Iceland,2017,1813.738704
India,1995,3.181733203
India,1996,3.53869037
India,1997,3.735692935
India,1998,3.751080089
India,1999,3.977616261
India,2000,4.193529439
India,2001,4.259537403
India,2002,4.532912243
India,2003,4.829301005
India,2004,5.517096719
India,2005,6.279942949
India,2006,7.177418176
India,2007,8.292918186
India,2008,9.078250919
India,2009,9.114116957
India,2010,10.55093723
India,2011,11.22000942
India,2012,11.81252741
India,2013,13.00366921
India,2014,14.16691914
India,2015,15.5654391
India,2016,16.51749974
India,2017,17.87884954
Indonesia,2000,10.42353942
Indonesia,2001,11.67796769
Indonesia,2002,14.85462201
