Entity,Year,Oil Imports (DECC (2013)),Domestic oil production (DECC (2013)),Oil Exports (DECC (2013)),Oil refinery throughput (DECC (2013)),Natural gas consumption (DECC (2013))
United Kingdom,1964,60179.44243,129.0379576,53.85048623,59416.3912,91468
United Kingdom,1965,65409.03588,83.31584662,87.38003426,66111.12429,99791
United Kingdom,1966,72692.06013,79.25165898,108.7170194,72872.91648,110107
United Kingdom,1967,74886.72145,90.42817499,737.6500567,74710.94534,118635
United Kingdom,1968,84530.02268,85.34794044,59.94676769,84433.49822,132322
United Kingdom,1969,94647.81781,86.36398735,339.3596679,93170.4856,148909
United Kingdom,1970,102155,156,1182,101911,171564
United Kingdom,1971,107736,212,1569,105342,222616
United Kingdom,1972,107706,333,3558,106980,290287
United Kingdom,1973,115472,372,3235,114338,319917
United Kingdom,1974,112822,410,1404,111217,377388
United Kingdom,1975,91366,1564,1524,93597,391250
United Kingdom,1976,80466,12169,4285,97784,417655
United Kingdom,1977,70697,38265,16793,93615,436793
United Kingdom,1978,68144,54006,25200,96390,460297
United Kingdom,1979,60380,77748,40569,97806,502382
United Kingdom,1980,46717,80467,40180,86341,508684
United Kingdom,1981,36855,89454,52206,78287,512112
United Kingdom,1982,33754,103211,61670,77130,518149
United Kingdom,1983,30324,114960,69923,76876,528642
United Kingdom,1984,32272,126065,80143,79117,544584
United Kingdom,1985,35576,127611,82980,78431,581717
United Kingdom,1986,41209,127068,87437,80155,588691
United Kingdom,1987,41541,123351,83220,80449,614247
United Kingdom,1988,44272,114459,73330,85662,594766
United Kingdom,1989,49500,91710,51664,87669,580522
United Kingdom,1990,52710,91604,56999,88692,597046
United Kingdom,1991,57084,91261,55131,92001,641763
United Kingdom,1992,57683,94251,57627,92334,640818
United Kingdom,1993,61701,100189,64415,96273,717357
United Kingdom,1994,53096,126542,82393,93161,764667
United Kingdom,1995,48749,129894,84577,92743,808786
United Kingdom,1996,50099,129742,81563,96660,938848
United Kingdom,1997,49994,128234,79400,97023,960243
United Kingdom,1998,47958,132633,84610,93797,1005306
United Kingdom,1999,44869,137099,91797,88286,1072963
United Kingdom,2000,54386.297,126245,92917.18831,88013.257,1105537
United Kingdom,2001,53551.432,116678.386,86929.74082,83342.828,1111729
United Kingdom,2002,56967.916,115944.2525,87143.71376,84783.909,1096267
United Kingdom,2003,54177.32627,106072.9327,74897.75345,84585.0149,1102774
United Kingdom,2004,62516.78107,95374.0154,64503.9922,89820.59159,1124995.696
United Kingdom,2005,58885.13303,84721.1287,54098.71306,86134.25807,1093331.265
United Kingdom,2006,59443.15592,76577.8367,50194.61995,83213.11502,1035324.544
United Kingdom,2007,57356.7368,76575.10025,50999.36605,81477.21679,1046816.644
United Kingdom,2008,60334.86026,71788.83608,48235.35529,81033.59624,1087028.071
United Kingdom,2009,55002.26085,68198.54672,45350.7405,75550.56139,1013596.695
United Kingdom,2010,55064.0021,62961.61428,42064.15653,73542.84363,1094365.595
United Kingdom,2011,58092.29934,51972.42535,33624.67674,75080.27533,910205.7412
United Kingdom,2012,60475.71432,44560.80743,30946.22614,71839.10824,854430.2116
United Kingdom,2013,58966.73773,41100.80103,33105.16514,65971.89393,848063.939
United Kingdom,2014,53637.54619,40327.75308,30868.90003,61062.54876,778394.5274
United Kingdom,2015,50604.0033,45698.12053,33709.42616,61390.8151,796778.6007
United Kingdom,2016,48707.80195,47872.12027,34855.77533,60362.5,896526.6293
