Entity,Year,regime_bti,state_basic_bti,electfreefair_bti,effective_power_bti,freeassoc_bti,freeexpr_bti,sep_power_bti,civ_rights_bti,democracy_bti,state_bti,political_participation_bti,rule_of_law_bti,stability_dem_inst_bti,pol_soc_integr_bti,number_hardaut_bti,number_modaut_bti,number_hdefdem_bti,number_defdem_bti,number_consdem_bti,pop_hardaut_bti,pop_modaut_bti,pop_hdefdem_bti,pop_defdem_bti,pop_consdem_bti,pop_missreg_bti,popw_democracy_bti,region
Cameroon,2015,1,5.5,3,2,5,3,3,4,3.799999952316284,6,3.25,3.75,2,4,,,,,,,,,,,,,Africa
Cameroon,2017,1,6,3,2,5,3,3,4,3.916666746139526,6.25,3.25,3.75,2,4.3333333,,,,,,,,,,,,,Africa
Cameroon,2019,1,5.5,3,2,4,2,3,3,3.55,5.75,2.75,3.25,2,4,,,,,,,,,,,,,Africa
Cameroon,2021,1,5,4,2,4,2,3,3,3.616666666666666,5.5,3,3.25,2,4.333333333333333,,,,,,,,,,,,,Africa
Central African Republic,2005,1,1.5,1,1,6,5,4,3,3.216666698455811,4,3.25,3,2.5,3.3333333,,,,,,,,,,,,,Africa
Central African Republic,2007,1,1.5,6,3,6,6,6,4,3.933333396911621,4,5.25,3.75,3,3.6666667,,,,,,,,,,,,,Africa
Central African Republic,2009,1,1.5,6,3,6,5,5,3,3.583333253860474,3.75,5,3.5,2,3.6666667,,,,,,,,,,,,,Africa
Central African Republic,2011,1,2.5,4,2,7,5,5,3,3.783333301544189,4.75,4.5,3.5,2.5,3.6666667,,,,,,,,,,,,,Africa
Central African Republic,2013,1,1,3,2,5,6,4,3,3.316666603088379,3.5,4,3.25,2.5,3.3333333,,,,,,,,,,,,,Africa
Central African Republic,2015,1,1.5,1,1,6,7,5,3,3.200000047683716,3.25,3.75,3.5,2.5,3,,,,,,,,,,,,,Africa
Central African Republic,2017,1,1.5,6,3,6,6,5,3,3.599999904632568,3.5,5.25,3.75,2.5,3,,,,,,,,,,,,,Africa
Central African Republic,2019,1,1.5,6,4,6,6,4,3,3.55,3.5,5.5,3.25,2.5,3,,,,,,,,,,,,,Africa
Central African Republic,2021,1,1.5,5,2,6,5,4,3,3.4,3.5,4.5,3.5,2.5,3,,,,,,,,,,,,,Africa
Chad,2005,1,3.5,3,2,6,4,2,3,3.533333301544189,5.5,3.75,2.75,2,3.6666667,,,,,,,,,,,,,Africa
Chad,2007,1,2.5,3,1,4,2,1,2,2.833333253860474,5.25,2.5,1.75,2,2.6666667,,,,,,,,,,,,,Africa
Chad,2009,1,3,3,1,3,2,1,2,2.833333253860474,5.5,2.25,1.75,2,2.6666667,,,,,,,,,,,,,Africa
Chad,2011,1,4,3,1,4,3,2,2,3.133333444595337,6,2.75,2.25,2,2.6666667,,,,,,,,,,,,,Africa
Chad,2013,1,5,4,2,4,2,2,2,3.450000047683716,6.5,3,2.25,2.5,3,,,,,,,,,,,,,Africa
Chad,2015,1,5,4,2,4,3,2,2,3.5,6.5,3.25,2.25,2.5,3,,,,,,,,,,,,,Africa
Chad,2017,1,5,3,2,4,3,2,2,3.450000047683716,6.5,3,2.25,2.5,3,,,,,,,,,,,,,Africa
Chad,2019,1,4.5,3,2,3,3,1,2,2.933333333333333,6,2.75,1.75,1.5,2.666666666666667,,,,,,,,,,,,,Africa
Chad,2021,1,4.5,3,2,2,2,2,3,3,6,2.25,2.25,1.5,3,,,,,,,,,,,,,Africa
Chile,2005,5,10,8,8,10,10,10,9,9.100000381469727,9.75,9,9.25,9.5,8,,,,,,,,,,,,,South America
Chile,2007,5,10,9,9,10,10,10,9,9.300000190734863,9.75,9.5,9.25,10,8,,,,,,,,,,,,,South America
Chile,2009,5,10,10,9,10,10,10,9,9.300000190734863,9.75,9.75,9.25,10,7.75,,,,,,,,,,,,,South America
Chile,2011,5,10,10,9,9,10,10,9,9.199999809265137,9.75,9.5,9.25,10,7.5,,,,,,,,,,,,,South America
Chile,2013,5,10,9,9,9,9,10,9,9.100000381469727,9.75,9,9.25,10,7.5,,,,,,,,,,,,,South America
Chile,2015,5,10,9,9,10,9,10,9,9.149999618530273,9.75,9.25,9.25,10,7.5,,,,,,,,,,,,,South America
Chile,2017,5,9.5,9,9,10,10,10,9,9.199999809265137,9.75,9.5,9.5,10,7.25,,,,,,,,,,,,,South America
Chile,2019,5,9.5,10,10,10,10,10,9,9.300000000000001,9.75,10,9.5,10,7.25,,,,,,,,,,,,,South America
Chile,2021,5,9.5,10,10,9,10,10,8,9.199999999999999,9.75,9.75,9.5,10,7,,,,,,,,,,,,,South America
China,2005,1,8.5,1,1,2,2,1,3,3.049999952316284,8.5,1.5,2.25,1,2,,,,,,,,,,,,,Asia
China,2007,1,8.5,2,2,2,2,1,2,3.150000095367432,8.75,2,2,1,2,,,,,,,,,,,,,Asia
China,2009,1,8.5,2,2,2,2,2,2,3.366666555404663,8.75,2,2.25,1.5,2.3333333,,,,,,,,,,,,,Asia
China,2011,1,8.5,1,2,2,2,2,2,3.316666603088379,8.75,1.75,2.25,1.5,2.3333333,,,,,,,,,,,,,Asia
China,2013,1,8.5,1,2,2,2,1,2,3.333333253860474,8.75,1.75,2,1.5,2.6666667,,,,,,,,,,,,,Asia
China,2015,1,8.5,1,2,2,2,1,2,3.283333301544189,8.75,1.75,2.25,1,2.6666667,,,,,,,,,,,,,Asia
China,2017,1,8.5,1,2,2,2,1,2,3.283333301544189,8.75,1.75,2.25,1,2.6666667,,,,,,,,,,,,,Asia
China,2019,1,8.5,1,2,2,2,1,2,3.333333333333333,8.75,1.75,2.5,1,2.666666666666667,,,,,,,,,,,,,Asia
China,2021,1,8.5,1,2,2,1,1,2,3.233333333333333,8.5,1.5,2.5,1,2.666666666666667,,,,,,,,,,,,,Asia
Colombia,2005,3,3.5,7,7,6,5,6,4,5.849999904632568,6.25,6.25,5.25,6.5,5,,,,,,,,,,,,,South America
Colombia,2007,3,4.5,6,6,6,6,6,5,5.75,6.25,6,5.25,6,5.25,,,,,,,,,,,,,South America
Colombia,2009,3,5.5,6,6,7,6,5,5,5.949999809265137,6.75,6.25,5.25,6,5.5,,,,,,,,,,,,,South America
Colombia,2011,4,6,6,6,7,6,6,5,6.050000190734863,7,6.25,5.5,6,5.5,,,,,,,,,,,,,South America
Colombia,2013,4,6,6,6,7,6,7,6,6.550000190734863,7.25,6.25,6.5,7,5.75,,,,,,,,,,,,,South America
Colombia,2015,4,6,7,6,7,7,7,6,6.650000095367432,7.25,6.75,6.5,7,5.75,,,,,,,,,,,,,South America
Colombia,2017,4,6.5,7,7,7,7,7,6,6.75,7.25,7,6.5,7.5,5.5,,,,,,,,,,,,,South America
Colombia,2019,4,6.5,7,7,7,7,7,6,6.7,7.25,7,6.25,7.5,5.5,,,,,,,,,,,,,South America
Colombia,2021,4,6,7,7,6,7,6,5,6.4,7,6.75,5.75,7,5.5,,,,,,,,,,,,,South America
Congo,2007,1,5,3,2,4,5,3,3,3.633333444595337,6,3.5,3,2,3.6666667,,,,,,,,,,,,,Africa
Congo,2009,1,5,3,2,4,4,3,3,3.533333301544189,5.75,3.25,3,2,3.6666667,,,,,,,,,,,,,Africa
Congo,2011,1,5.5,3,2,4,4,3,3,3.566666603088379,6.25,3.25,3,2,3.3333333,,,,,,,,,,,,,Africa
Congo,2013,1,6,3,2,4,4,3,3,3.666666746139526,6.75,3.25,3,2,3.3333333,,,,,,,,,,,,,Africa
Congo,2015,1,5.5,3,2,3,3,3,3,3.450000047683716,6.5,2.75,3,2,3,,,,,,,,,,,,,Africa
Congo,2017,1,5,2,2,3,3,2,2,3.25,6.25,2.5,2.5,2,3,,,,,,,,,,,,,Africa
Congo,2019,1,5,2,2,3,3,2,2,3.3,6.5,2.5,2.5,2,3,,,,,,,,,,,,,Africa
Congo,2021,1,5.5,2,2,3,3,2,2,3.35,6.75,2.5,2.5,2,3,,,,,,,,,,,,,Africa
Costa Rica,2005,5,9,10,10,10,10,10,10,9.399999618530273,9.5,10,9.25,9.5,8.75,,,,,,,,,,,,,North America
Costa Rica,2007,5,9.5,10,10,10,10,10,10,9.5,9.75,10,9.5,9.5,8.75,,,,,,,,,,,,,North America
Costa Rica,2009,5,10,10,10,9,10,10,10,9.399999618530273,10,9.75,9.5,9,8.75,,,,,,,,,,,,,North America
Costa Rica,2011,5,10,10,10,9,10,10,10,9.399999618530273,10,9.75,9.5,9,8.75,,,,,,,,,,,,,North America
Costa Rica,2013,5,10,10,10,9,10,10,10,9.300000190734863,10,9.75,9.25,9,8.5,,,,,,,,,,,,,North America
Costa Rica,2015,5,10,10,10,10,10,10,9,9.199999809265137,9.75,10,9,9,8.25,,,,,,,,,,,,,North America
Costa Rica,2017,5,9,10,10,10,10,10,9,9.050000190734863,9.25,10,9.5,8.5,8,,,,,,,,,,,,,North America
Costa Rica,2019,5,9,10,10,10,10,10,9,9.050000000000001,9.25,10,9.5,9,7.5,,,,,,,,,,,,,North America
Costa Rica,2021,5,9,10,10,10,10,10,9,9.1,9.25,10,9.5,9,7.75,,,,,,,,,,,,,North America
Cote d'Ivoire,2005,1,2.5,4,2,4,3,3,3,2.849999904632568,3.75,3.25,2.75,1.5,3,,,,,,,,,,,,,Africa
Cote d'Ivoire,2007,1,2.5,3,2,4,4,2,3,2.900000095367432,3.75,3.25,2.5,2,3,,,,,,,,,,,,,Africa
Cote d'Ivoire,2009,1,4,2,2,5,5,2,3,3.200000047683716,4.75,3.5,2.75,2,3,,,,,,,,,,,,,Africa
Cote d'Ivoire,2011,1,3.5,4,2,6,3,2,2,2.983333349227905,4,3.75,2.5,2,2.6666667,,,,,,,,,,,,,Africa
Cote d'Ivoire,2013,3,6,6,6,7,5,4,4,4.883333206176758,6.25,6,3.5,5,3.6666667,,,,,,,,,,,,,Africa
Cote d'Ivoire,2015,3,7,7,7,8,6,4,4,5.5,7,7,3.5,5.5,4.5,,,,,,,,,,,,,Africa
Cote d'Ivoire,2017,3,7,7,6,8,7,4,5,5.800000190734863,7.25,7,3.75,6,5,,,,,,,,,,,,,Africa
Cote d'Ivoire,2019,3,7,6,7,8,7,4,5,5.8,7.25,7,3.75,6,5,,,,,,,,,,,,,Africa
Cote d'Ivoire,2021,2,7.5,5,3,7,6,4,5,4.833333333333334,7.5,5.25,3.75,3,4.666666666666667,,,,,,,,,,,,,Africa
Croatia,2005,5,10,10,10,10,10,9,9,9.100000381469727,9.5,10,8.25,9.5,8.25,,,,,,,,,,,,,Europe
Croatia,2007,5,10,10,10,10,8,9,9,8.850000381469727,9.5,9.5,8,9,8.25,,,,,,,,,,,,,Europe
Croatia,2009,5,9.5,10,9,10,7,9,8,8.5,9.25,9,7.75,8.5,8,,,,,,,,,,,,,Europe
Croatia,2011,5,10,9,9,10,7,9,8,8.399999618530273,9.25,8.75,7.75,8.5,7.75,,,,,,,,,,,,,Europe
Croatia,2013,5,10,9,9,10,7,9,8,8.449999809265137,9.5,8.75,8.25,8.5,7.25,,,,,,,,,,,,,Europe
Croatia,2015,5,10,9,9,10,7,9,8,8.399999618530273,9.5,8.75,8,8.5,7.25,,,,,,,,,,,,,Europe
Croatia,2017,5,10,9,9,10,7,9,8,8.350000381469727,9.25,8.75,8,8.5,7.25,,,,,,,,,,,,,Europe
Croatia,2019,5,10,9,9,10,6,8,8,8.15,9.25,8.5,7.25,8.5,7.25,,,,,,,,,,,,,Europe
Croatia,2021,5,9.5,9,9,10,6,8,8,8.300000000000001,9.25,8.5,7.25,9,7.5,,,,,,,,,,,,,Europe
Cuba,2005,1,10,1,1,2,2,1,2,3.366666555404663,9.75,1.5,2.25,1,2.3333333,,,,,,,,,,,,,North America
Cuba,2007,1,10,1,1,2,2,1,3,3.416666746139526,9.75,1.5,2.5,1,2.3333333,,,,,,,,,,,,,North America
Cuba,2009,1,10,1,1,2,2,1,3,3.466666698455811,9.75,1.5,2.75,1,2.3333333,,,,,,,,,,,,,North America
Cuba,2011,1,9.5,1,1,2,2,1,3,3.416666746139526,9.5,1.5,2.75,1,2.3333333,,,,,,,,,,,,,North America
Cuba,2013,1,9.5,1,1,3,3,1,4,3.616666555404663,9.75,2,3,1,2.3333333,,,,,,,,,,,,,North America
Cuba,2015,1,9.5,1,1,3,3,2,4,3.683333396911621,9.5,2,3.25,1,2.6666667,,,,,,,,,,,,,North America
Cuba,2017,1,9,1,1,2,3,2,4,3.583333253860474,9.25,1.75,3.25,1,2.6666667,,,,,,,,,,,,,North America
Cuba,2019,1,8.5,1,1,2,3,2,4,3.533333333333334,9,1.75,3.25,1,2.666666666666667,,,,,,,,,,,,,North America
Cuba,2021,1,8.5,1,1,2,3,2,4,3.533333333333334,9,1.75,3.25,1,2.666666666666667,,,,,,,,,,,,,North America
Czechia,2005,5,10,10,10,10,10,10,9,9.449999809265137,10,10,9,9.5,8.75,,,,,,,,,,,,,Europe
Czechia,2007,5,10,10,10,10,10,10,10,9.550000190734863,10,10,9.25,9.5,9,,,,,,,,,,,,,Europe
Czechia,2009,5,10,10,10,10,10,10,10,9.800000190734863,10,10,9.5,10,9.5,,,,,,,,,,,,,Europe
Czechia,2011,5,10,10,10,10,10,10,10,9.649999618530273,10,10,9.25,10,9,,,,,,,,,,,,,Europe
Czechia,2013,5,10,10,10,10,10,10,10,9.600000381469727,10,10,9.25,10,8.75,,,,,,,,,,,,,Europe
Czechia,2015,5,10,10,10,10,9,10,10,9.449999809265137,10,9.75,9.25,9.5,8.75,,,,,,,,,,,,,Europe
Czechia,2017,5,10,10,10,10,10,10,10,9.399999618530273,10,10,9.25,9,8.75,,,,,,,,,,,,,Europe
Czechia,2019,5,10,10,10,10,10,10,10,9.35,10,10,9,9,8.75,,,,,,,,,,,,,Europe
Czechia,2021,5,10,10,10,10,9,10,9,9.300000000000001,10,9.75,9,9,8.75,,,,,,,,,,,,,Europe
Democratic Republic of Congo,2005,1,1.5,1,1,4,3,2,2,2.599999904632568,4.25,2.25,2,1.5,3,,,,,,,,,,,,,Africa
Democratic Republic of Congo,2007,1,2.5,6,3,6,5,3,2,3.716666698455811,5,5,2.25,3,3.3333333,,,,,,,,,,,,,Africa
Democratic Republic of Congo,2009,1,2.5,6,3,4,4,3,3,3.549999952316284,4.75,4.25,2.75,2,4,,,,,,,,,,,,,Africa
Democratic Republic of Congo,2011,1,2.5,6,3,4,4,3,3,3.599999904632568,5,4.25,2.75,2,4,,,,,,,,,,,,,Africa
Democratic Republic of Congo,2013,1,2,3,2,3,3,3,3,3.25,4.75,2.75,2.75,2,4,,,,,,,,,,,,,Africa
Democratic Republic of Congo,2015,1,2.5,3,2,3,3,3,3,3.400000095367432,5.5,2.75,2.75,2,4,,,,,,,,,,,,,Africa
