Entity,Year,All causes - Disability Adjusted Life Years (WHO (2015))
Lithuania,2012,30215
Luxembourg,2000,22677
Luxembourg,2012,18648
Macedonia,2000,30232
Macedonia,2012,26392
Madagascar,2000,72916
Madagascar,2012,54971
Malawi,2000,123525
Malawi,2012,70678
Malaysia,2000,34316
Malaysia,2012,29765
Maldives,2000,43610
Maldives,2012,25036
Mali,2000,108153
Mali,2012,75910
Malta,2000,22028
Malta,2012,19507
Mauritania,2000,66860
Mauritania,2012,58285
Mauritius,2000,33835
Mauritius,2012,30076
Mexico,2000,29436
Mexico,2012,26763
Moldova,2000,43034
Moldova,2012,35472
Mongolia,2000,55523
Mongolia,2012,42935
Montenegro,2000,29832
Montenegro,2012,26702
Morocco,2000,43710
Morocco,2012,38061
Mozambique,2000,108720
Mozambique,2012,88491
Myanmar,2000,58153
Myanmar,2012,48793
Namibia,2000,74137
Namibia,2012,48404
Nepal,2000,59688
Nepal,2012,43324
Netherlands,2000,21969
Netherlands,2012,18770
New Zealand,2000,22104
New Zealand,2012,18742
Nicaragua,2000,34756
Nicaragua,2012,33239
Niger,2000,98342
Niger,2012,70093
Nigeria,2000,111480
Nigeria,2012,84764
North Korea,2000,47905
North Korea,2012,36756
Norway,2000,23043
Norway,2012,19615
Oman,2000,33541
Oman,2012,27260
Pakistan,2000,57667
Pakistan,2012,50534
Panama,2000,29039
Panama,2012,27476
Papua New Guinea,2000,70304
Papua New Guinea,2012,59322
Paraguay,2000,32606
Paraguay,2012,30862
Peru,2000,35748
Peru,2012,26911
Philippines,2000,41372
Philippines,2012,41446
Poland,2000,29711
Poland,2012,25415
Portugal,2000,24909
Portugal,2012,19815
Qatar,2000,27102
Qatar,2012,22923
Romania,2000,35680
Romania,2012,28496
Russia,2000,50706
Russia,2012,39906
Rwanda,2000,117363
Rwanda,2012,54160
Saudi Arabia,2000,33652
Saudi Arabia,2012,27174
Senegal,2000,74595
Senegal,2012,53970
Serbia,2000,33396
Serbia,2012,28151
Sierra Leone,2000,157907
Sierra Leone,2012,117683
Singapore,2000,19028
Singapore,2012,14354
Slovakia,2000,30695
Slovakia,2012,25991
Slovenia,2000,26583
Slovenia,2012,21200
Solomon Islands,2000,50302
Solomon Islands,2012,41888
Somalia,2000,101532
Somalia,2012,89247
South Africa,2000,69032
South Africa,2012,67514
South Korea,2000,23891
South Korea,2012,17921
South Sudan,2000,103380
South Sudan,2012,80319
Spain,2000,20455
Spain,2012,16984
Sri Lanka,2000,39730
Sri Lanka,2012,28527
Sudan,2000,71794
Sudan,2012,59210
Suriname,2000,36786
Suriname,2012,29901
Swaziland,2000,106704
Swaziland,2012,87161
Sweden,2000,20534
Sweden,2012,18308
Switzerland,2000,20584
Switzerland,2012,17679
Syria,2000,32393
Syria,2012,43178
Tajikistan,2000,52132
Tajikistan,2012,42752
Tanzania,2000,97902
Tanzania,2012,63043
Thailand,2000,37655
Thailand,2012,28993
Timor,2000,69526
Timor,2012,48768
Togo,2000,82543
Togo,2012,71808
Trinidad and Tobago,2000,40507
Trinidad and Tobago,2012,38360
Tunisia,2000,31272
Tunisia,2012,26814
Turkey,2000,39312
Turkey,2012,29027
Turkmenistan,2000,56635
Turkmenistan,2012,53597
Uganda,2000,122162
Uganda,2012,74116
Ukraine,2000,41978
Ukraine,2012,35121
United Arab Emirates,2000,29298
United Arab Emirates,2012,25546
United Kingdom,2000,23336
United Kingdom,2012,20376
United States,2000,24782
United States,2012,22775
Uruguay,2000,28431
Uruguay,2012,24820
Uzbekistan,2000,46078
Uzbekistan,2012,40253
Venezuela,2000,31677
Venezuela,2012,29410
Vietnam,2000,32623
Vietnam,2012,29226
Yemen,2000,64525
Yemen,2012,55241
Zambia,2000,142831
Zambia,2012,76189
Zimbabwe,2000,142044
Zimbabwe,2012,72784
