Entity,Year,Adjusted net savings per capita (World Bank (2017))
Bahamas,1981,751.98517
Bahamas,1982,1258.5812
Bahamas,1983,1457.3752
Bahamas,1984,1030.1981
Bahamas,1985,1532.9727
Bahamas,1986,1551.8881
Bahamas,1987,1727.5026
Bahamas,1989,2677.6914
Bahamas,1990,2458.4465
Bahamas,1991,2122.1707
Bahamas,1992,2627.6553
Bahamas,1993,2062.1531
Bahamas,1994,2010.3019
Bahamas,1995,4149.9336
Bahamas,1996,5519.6255
Bahamas,1997,3029.6152
Bahamas,1998,3652.8218
Bahamas,1999,4921.5747
Bahamas,2000,4630.7568
Bahamas,2001,3890.0872
Bahamas,2002,4819.6528
Bahamas,2003,4476.5732
Bahamas,2004,4864.1548
Bahamas,2005,4216.98
Bahamas,2006,3290.8083
Bahamas,2007,3752.7402
Bahamas,2008,3254.0151
Bahamas,2009,2676.9316
Bahamas,2010,2091.7874
Bahamas,2011,1413.8901
Bahamas,2012,1716.828
Bahamas,2013,1633.0088
Bahamas,2014,596.88605
Bahamas,2015,1650.8016
Bahrain,1980,3173.167
Bahrain,1981,3850.4329
Bahrain,1982,3309.6235
Bahrain,1983,2918.4548
Bahrain,1984,2674.5713
Bahrain,1985,1245.0406
Bahrain,1986,649.81885
Bahrain,1987,735.49542
Bahrain,1988,1199.3992
Bahrain,1989,344.60733
Bahrain,1990,-108.85961
Bahrain,1991,214.70662
Bahrain,1992,-67.309464
Bahrain,1993,-161.43973
Bahrain,1994,410.81937
Bahrain,1995,656.22614
Bahrain,1996,608.98566
Bahrain,1997,472.39767
Bahrain,1998,-302.1936
Bahrain,1999,-529.31561
Bahrain,2000,1895.0603
Bahrain,2001,832.29675
Bahrain,2002,1499.3372
Bahrain,2003,2048.5452
Bahrain,2004,2176.551
Bahrain,2005,4558.1685
Bahrain,2006,6081.8647
Bahrain,2007,7776.2876
Bahrain,2008,7631.9502
Bahrain,2009,3563.5674
Bahrain,2010,4247.7393
Bahrain,2011,3526.6743
Bahrain,2012,3555.8359
Bahrain,2013,3082.5896
Bahrain,2014,1772.2432
Bangladesh,1976,-12.502546
Bangladesh,1977,.56086624
Bangladesh,1978,-5.5740952
Bangladesh,1979,-1.9140435
Bangladesh,1980,.64222705
Bangladesh,1981,16.063492
Bangladesh,1982,16.18265
Bangladesh,1983,21.28285
Bangladesh,1984,17.62266
Bangladesh,1985,19.164112
Bangladesh,1986,22.102684
Bangladesh,1987,24.517126
Bangladesh,1988,25.769793
Bangladesh,1989,23.831352
Bangladesh,1990,26.52034
Bangladesh,1991,33.212543
Bangladesh,1992,36.898064
Bangladesh,1993,40.545094
Bangladesh,1994,44.382813
Bangladesh,1995,44.705997
Bangladesh,1996,50.335445
Bangladesh,1997,63.070511
Bangladesh,1998,69.777237
Bangladesh,1999,72.518509
Bangladesh,2000,77.763893
Bangladesh,2001,74.927872
Bangladesh,2002,88.206367
Bangladesh,2003,96.024017
Bangladesh,2004,105.87917
Bangladesh,2005,116.37835
Bangladesh,2006,124.80632
Bangladesh,2007,144.33798
Bangladesh,2008,171.65678
Bangladesh,2009,201.51816
Bangladesh,2010,222.06149
Bangladesh,2011,233.65385
Bangladesh,2012,260.77084
Bangladesh,2013,283.24323
Bangladesh,2014,310.24606
Bangladesh,2015,326.62076
Barbados,1980,788.76715
Barbados,1981,644.1521
Barbados,1982,779.19794
Barbados,1983,813.47424
Barbados,1984,842.71478
Barbados,1985,895.83533
Barbados,1986,762.26563
Barbados,1987,655.9436
Barbados,1988,853.58923
Barbados,1989,1079.5078
Barbados,1990,881.25739
Barbados,1991,702.34467
Barbados,1992,1120.6039
Barbados,1993,1105.6898
Barbados,1994,1238.6345
Barbados,1995,792.06891
Barbados,1996,913.66351
Barbados,1997,800.38965
Barbados,1998,985.61926
Barbados,1999,787.50879
Barbados,2000,791.42462
Barbados,2001,608.64771
Barbados,2002,648.40344
Barbados,2003,950.32648
Barbados,2004,385.71402
Barbados,2005,228.37933
Barbados,2006,563.66864
Barbados,2007,723.63843
Barbados,2008,-291.40668
Barbados,2009,315.42194
Barbados,2010,253.94368
Barbados,2011,-2252.0361
Barbados,2012,-1490.5215
Barbados,2013,-1739.9203
Belarus,1993,197.19408
Belarus,1994,-1.4620976
Belarus,1995,-17.77249
Belarus,1996,-25.3479
Belarus,1997,18.859968
Belarus,1998,68.593948
Belarus,1999,46.874226
Belarus,2000,90.417351
Belarus,2001,72.618484
Belarus,2002,97.540207
Belarus,2003,208.75555
Belarus,2004,331.06433
Belarus,2005,657.461
Belarus,2006,770.76971
Belarus,2007,900.63971
Belarus,2008,1377.6538
Belarus,2009,837.15735
Belarus,2010,1107.5227
Belarus,2011,1515.1322
Belarus,2012,1733.6621
Belarus,2013,1744.6366
Belarus,2014,1771.0435
Belarus,2015,1077.6624
Belgium,2002,3566.9561
Belgium,2003,4130.4478
Belgium,2004,5194.6753
Belgium,2005,5304.1973
Belgium,2006,5666.9268
Belgium,2007,6871.8267
Belgium,2008,6724.0625
Belgium,2009,3951.1536
Belgium,2010,5657.7979
Belgium,2011,4908.061
Belgium,2012,4823.8823
Belgium,2013,4274.4683
Belgium,2014,4241.5718
Belgium,2015,3436.9099
Belize,1984,263.13626
Belize,1985,207.95544
Belize,1986,328.80957
Belize,1987,401.88373
Belize,1988,385.61151
Belize,1989,460.7085
Belize,1990,681.81714
Belize,1991,466.25192
Belize,1992,621.73669
Belize,1993,685.93793
Belize,1994,527.98767
Belize,1995,653.92523
Belize,1996,621.74438
Belize,1997,539.08124
Belize,1998,465.38953
Belize,1999,326.64569
Belize,2000,41.082405
Belize,2001,-249.50827
Belize,2002,-100.42512
Belize,2003,-285.12048
Belize,2004,-223.06818
Belize,2005,-143.93039
Belize,2006,85.524673
Belize,2007,27.891636
Belize,2008,-58.300541
Belize,2009,-14.637764
Belize,2010,-219.32005
Belize,2011,-206.51575
Belize,2012,-41.742744
Belize,2013,-130.87006
Belize,2014,-1.5112475
Belize,2015,143.32564
Benin,1974,17.252142
Benin,1975,18.207354
Benin,1976,17.648916
Benin,1977,24.440714
Benin,1978,20.247435
Benin,1979,30.47913
Benin,1980,2.7982223
Benin,1981,-22.516603
Benin,1982,25.804821
Benin,1983,8.3885164
Benin,1984,7.5074568
Benin,1985,-7.7950225
Benin,1986,-2.8121555
Benin,1987,-5.0383263
Benin,1988,-16.618813
Benin,1989,-6.8508244
Benin,1990,10.780694
Benin,1991,13.895149
Benin,1992,4.6239853
Benin,1993,4.4794645
Benin,1994,9.2877932
Benin,1995,14.224426
Benin,1996,8.6483307
Benin,1997,7.6198602
Benin,1998,5.8533578
Benin,1999,-3.560746
Benin,2000,1.5290561
Benin,2001,7.1113172
Benin,2002,9.4116516
Benin,2003,-1.1228616
Benin,2004,18.454296
Benin,2005,11.592263
Benin,2006,9.2974443
Benin,2007,16.152571
Benin,2008,4.8589783
Benin,2009,-4.5508943
Benin,2010,-7.1995502
Benin,2011,4.8604946
Benin,2012,10.568517
Benin,2013,36.655666
Benin,2014,51.707008
Bhutan,2006,622.18048
Bhutan,2007,539.52057
Bhutan,2008,463.48972
Bhutan,2009,410.1163
Bhutan,2010,543.77289
Bhutan,2011,767.85834
Bhutan,2012,956.52759
Bhutan,2013,385.35223
Bhutan,2014,524.24176
Bhutan,2015,280.84695
Bolivia,1976,85.396797
Bolivia,1977,84.522568
Bolivia,1978,93.458267
Bolivia,1979,88.78479
Bolivia,1980,75.106468
Bolivia,1981,158.76199
Bolivia,1982,12.199771
Bolivia,1983,67.122574
Bolivia,1984,45.426609
Bolivia,1985,18.851831
Bolivia,1986,-13.597867
Bolivia,1987,-2.8095019
Bolivia,1988,-7.0666132
Bolivia,1989,-5.8692317
Bolivia,1990,10.756771
Bolivia,1991,24.492273
Bolivia,1992,21.880276
Bolivia,1993,15.536669
Bolivia,1994,42.519398
Bolivia,1995,60.851673
Bolivia,1996,76.409294
Bolivia,1997,79.616806
Bolivia,1998,93.50528
Bolivia,1999,54.050941
Bolivia,2000,38.08247
Bolivia,2001,50.03397
Bolivia,2002,63.321236
Bolivia,2003,69.973587
Bolivia,2004,81.33139
Bolivia,2005,80.546143
Bolivia,2006,129.33099
Bolivia,2007,173.60274
Bolivia,2008,262.7348
Bolivia,2009,238.49362
Bolivia,2010,278.28748
Bolivia,2011,265.97073
Bolivia,2012,255.60493
Bolivia,2013,236.53162
Bolivia,2014,113.75796
Bolivia,2015,-17.05286
Botswana,1980,166.24533
Botswana,1981,188.05298
Botswana,1982,158.06279
Botswana,1983,194.25172
Botswana,1984,180.98691
Botswana,1985,228.63849
Botswana,1986,319.36374
Botswana,1987,476.48483
Botswana,1988,776.22278
Botswana,1989,855.00983
Botswana,1990,891.82959
Botswana,1991,1019.2636
Botswana,1992,925.20258
Botswana,1993,979.38495
Botswana,1994,566.53741
Botswana,1995,693.48761
Botswana,1996,886.93488
Botswana,1997,929.84668
Botswana,1998,1000.0547
Botswana,1999,992.03076
Botswana,2000,1093.6785
Botswana,2001,1146.1443
Botswana,2002,853.70013
Botswana,2003,1078.0321
Botswana,2004,1055.1575
Botswana,2005,1664.616
Botswana,2006,1541.9882
Botswana,2007,1736.3455
Botswana,2008,1034.084
Botswana,2009,416.02686
Botswana,2010,1481.547
Botswana,2011,2209.0962
Botswana,2012,1754.6111
Botswana,2013,1909.5782
Botswana,2014,2346.3372
Botswana,2015,1584.8419
Brazil,1975,202.06316
Brazil,1976,199.45326
Brazil,1977,238.70952
Brazil,1978,261.4971
Brazil,1979,249.54715
Brazil,1980,235.38272
Brazil,1981,286.36142
Brazil,1982,228.76965
Brazil,1983,87.763702
Brazil,1984,124.89258
Brazil,1985,183.83177
Brazil,1986,202.66399
Brazil,1987,320.05438
Brazil,1988,407.03378
Brazil,1989,889.01929
Brazil,1990,410.03537
Brazil,1991,546.46655
Brazil,1992,392.69891
Brazil,1993,425.3963
Brazil,1994,511.81079
Brazil,1995,470.42068
Brazil,1996,426.68295
Brazil,1997,401.30347
Brazil,1998,374.23511
Brazil,1999,167.96773
Brazil,2000,222.41638
Brazil,2001,176.61075
Brazil,2002,203.78279
Brazil,2003,251.82954
Brazil,2004,389.27335
Brazil,2005,487.12222
Brazil,2006,601.35736
Brazil,2007,764.13953
Brazil,2008,876.64447
Brazil,2009,788.60522
Brazil,2010,1375.6714
Brazil,2011,1613.8827
Brazil,2012,1503.8817
Brazil,2013,1547.8787
Brazil,2014,1235.6306
Brazil,2015,817.58728
Brunei,2001,3241.7761
Brunei,2002,3547.5999
Brunei,2003,3951.7007
Brunei,2004,4293.4805
Brunei,2005,4783.582
Brunei,2006,6846.1611
Brunei,2007,7002.5283
Brunei,2008,11216.448
Brunei,2009,7688.3892
Brunei,2010,12273.467
Brunei,2011,15862.997
Brunei,2012,17289.555
Brunei,2013,17012.422
Brunei,2014,17399.293
Brunei,2015,12579.22
Bulgaria,1980,563.7403
Bulgaria,1981,526.14087
Bulgaria,1982,467.27051
Bulgaria,1983,360.56702
Bulgaria,1984,429.3363
Bulgaria,1985,344.23157
Bulgaria,1986,431.24695
Bulgaria,1987,563.65717
Bulgaria,1988,465.62363
Bulgaria,1989,356.3688
Bulgaria,1990,22.081627
Bulgaria,1991,25.92601
Bulgaria,1992,-10.784262
Bulgaria,1993,-122.79721
Bulgaria,1994,-55.824421
Bulgaria,1995,59.180725
Bulgaria,1996,-24.334963
Bulgaria,1997,136.32318
Bulgaria,1998,203.14442
Bulgaria,1999,-29.398478
Bulgaria,2000,-27.625286
Bulgaria,2001,1.4894544
Bulgaria,2002,50.889088
Bulgaria,2003,81.914238
Bulgaria,2004,63.715347
Bulgaria,2005,113.5887
Bulgaria,2006,49.254093
Bulgaria,2007,-246.23801
Bulgaria,2008,260.88708
Bulgaria,2009,519.44635
Bulgaria,2010,516.93115
Bulgaria,2011,712.85999
Bulgaria,2012,678.49652
Bulgaria,2013,896.40497
Bulgaria,2014,758.25525
Bulgaria,2015,762.6178
Burkina Faso,2005,19.555042
Burkina Faso,2006,11.903474
Burkina Faso,2007,14.130289
Burkina Faso,2008,8.5395203
Burkina Faso,2009,11.523809
Burkina Faso,2010,36.080738
Burkina Faso,2011,47.493256
Burkina Faso,2012,47.556099
Burundi,1985,-20.483833
Burundi,1986,-29.82268
Burundi,1987,-17.26317
Burundi,1988,-29.121861
Burundi,1989,-18.01269
Burundi,1990,-34.304832
Burundi,1991,-26.037226
Burundi,1992,-38.228832
Burundi,1993,-21.393705
Burundi,1994,-34.518875
Burundi,1995,-47.223534
Burundi,1996,-51.829819
Burundi,1997,-46.222355
Burundi,1998,-54.030151
Burundi,1999,-32.313854
Burundi,2000,-36.039738
Burundi,2001,-40.199661
Burundi,2002,-39.967144
Burundi,2003,-52.056816
Burundi,2004,-46.827129
Burundi,2005,-33.182346
Burundi,2006,-57.788303
Burundi,2007,-48.448925
Burundi,2008,-64.2118
Burundi,2009,-76.802376
Burundi,2010,-54.243702
Burundi,2011,-52.649261
Burundi,2012,-13.086738
Cambodia,1995,-12.334632
Cambodia,1996,-16.343485
Cambodia,1997,-5.1003628
Cambodia,1998,-9.2737093
Cambodia,1999,12.345517
Cambodia,2000,21.634819
Cambodia,2001,30.603642
Cambodia,2002,27.06432
Cambodia,2003,26.515526
Cambodia,2004,18.386202
Cambodia,2005,28.083158
Cambodia,2006,59.486267
Cambodia,2007,49.508404
Cambodia,2008,65.066002
Cambodia,2009,36.350388
Cambodia,2010,17.065058
Cambodia,2011,7.9441733
Cambodia,2012,13.392466
Cambodia,2013,18.410418
Cambodia,2014,54.911121
Cameroon,1977,-8.9452934
Cameroon,1978,71.407478
Cameroon,1979,44.468224
Cameroon,1980,-55.695221
Cameroon,1981,-10.148481
Cameroon,1982,115.92487
Cameroon,1983,103.55865
Cameroon,1984,108.09393
Cameroon,1985,77.504967
Cameroon,1986,179.68979
Cameroon,1987,107.02345
Cameroon,1988,129.61772
Cameroon,1989,51.589851
Cameroon,1990,23.040291
Cameroon,1991,63.949463
Cameroon,1992,6.9341202
Cameroon,1993,-5.1130304
Cameroon,1994,3.9784834
Cameroon,1995,20.990465
Cameroon,1996,15.973237
Cameroon,1997,-1.2154224
Cameroon,1998,38.385643
Cameroon,1999,35.247284
Cameroon,2000,-7.425262
Cameroon,2001,4.1141109
Cameroon,2002,17.053617
Cameroon,2003,39.800274
Cameroon,2004,50.26096
Cameroon,2005,34.42955
Cameroon,2006,47.958416
Cameroon,2007,15.966991
Cameroon,2008,-33.887012
Cameroon,2009,12.226014
Cameroon,2010,-18.973167
Cameroon,2011,-45.937527
Cameroon,2012,-74.433594
Cameroon,2013,-77.654976
Canada,1970,595.64771
Canada,1971,654.85333
Canada,1972,731.80829
Canada,1973,872.75336
Canada,1974,972.77924
Canada,1975,875.2403
Canada,1976,1118.1619
Canada,1977,1069.3051
Canada,1978,1077.9916
Canada,1979,1088.0927
Canada,1980,1106.2921
Canada,1981,1402.8173
Canada,1982,1113.7982
Canada,1983,1281.1116
Canada,1984,1406.41
Canada,1985,1311.198
Canada,1986,1273.1954
Canada,1987,1614.8042
Canada,1988,1988.1742
Canada,1989,1966.1584
Canada,1990,1425.0125
Canada,1991,1047.1056
Canada,1992,798.09662
Canada,1993,861.35107
Canada,1994,1334.9762
Canada,1995,1714.5101
Canada,1996,1746.5802
Canada,1997,1950.3938
Canada,1998,1475.1166
Canada,1999,1875.4225
Canada,2000,2484.0613
Canada,2001,1962.4246
Canada,2002,1965.5406
Canada,2003,2405.7388
Canada,2004,3122.5845
Canada,2005,3822.5737
Canada,2006,4310.1572
Canada,2007,4665.7852
Canada,2008,4326.2944
Canada,2009,1598.7848
Canada,2010,2898.6143
Canada,2011,4048.187
Canada,2012,3928.3125
Canada,2013,4158.1602
Canada,2014,4062.6746
Canada,2015,2587.2173
Cape Verde,2007,731.92297
Cape Verde,2008,848.49744
Cape Verde,2009,625.19775
Cape Verde,2010,615.76874
Cape Verde,2011,662.34094
Cape Verde,2012,378.97943
Central African Republic,1980,-24.888012
Central African Republic,1981,5.3506832
Central African Republic,1982,-18.171612
Central African Republic,1983,.090784758
Central African Republic,1984,.69234604
Central African Republic,1985,18.272957
Central African Republic,1986,7.4807601
Central African Republic,1987,3.5968115
Central African Republic,1988,15.64365
Central African Republic,1989,23.931629
Central African Republic,1990,22.491459
Central African Republic,1991,14.44886
Central African Republic,1992,15.671259
Central African Republic,1993,23.291191
Central African Republic,1994,24.448082
Chad,1982,-9.6824665
Chad,1983,2.7381425
Chad,1984,2.3504906
Chad,1985,-8.621191
Chad,1986,-4.8724537
Chad,1987,4.2414913
Chad,1988,10.934986
Chad,1989,-.23957758
Chad,1990,-4.9935083
Chad,1991,-1.489077
Chad,1992,-.22861288
Chad,1993,-4.957427
Chad,1994,16.218033
Chile,1975,-44.539047
Chile,1976,12.848477
Chile,1977,92.115875
Chile,1978,46.883602
Chile,1979,78.763214
Chile,1980,98.319214
Chile,1981,26.445459
Chile,1982,-143.66754
Chile,1983,-127.74768
Chile,1984,-145.09105
Chile,1985,-117.24023
Chile,1986,-56.407818
Chile,1987,15.223949
Chile,1988,84.111412
Chile,1989,90.287277
Chile,1990,126.31403
Chile,1991,155.26639
Chile,1992,228.06772
Chile,1993,268.34396
Chile,1994,323.13147
Chile,1995,523.56104
Chile,1996,452.57724
Chile,1997,489.32629
Chile,1998,466.39139
Chile,1999,349.04865
Chile,2000,295.41483
Chile,2001,274.71649
Chile,2002,265.6351
Chile,2003,289.57764
Chile,2004,288.47778
Chile,2005,439.97668
Chile,2006,199.14777
Chile,2007,235.17415
Chile,2008,237.16229
Chile,2009,483.99551
Chile,2010,724.59711
Chile,2011,575.64886
Chile,2012,731.70502
Chile,2013,654.40228
Chile,2014,629.27448
Chile,2015,585.57983
China,1982,30.956236
China,1983,35.912407
China,1984,45.511478
China,1985,56.40435
China,1986,57.865322
China,1987,52.578484
China,1988,63.82682
China,1989,61.153816
China,1990,61.271862
China,1991,75.099785
China,1992,91.623817
China,1993,94.365433
China,1994,123.21085
China,1995,146.44501
China,1996,164.87372
China,1997,179.75246
China,1998,189.14114
China,1999,176.32141
China,2000,173.88577
China,2001,209.72284
China,2002,250.01953
China,2003,321.46384
China,2004,392.49042
China,2005,455.39532
China,2006,580.55939
China,2007,771.13708
China,2008,900.80811
China,2009,1084.7167
China,2010,1194.0824
China,2011,1249.3955
China,2012,1464.2166
China,2013,1555.0841
China,2014,1758.4496
China,2015,1861.0216
Colombia,1970,20.936771
Colombia,1971,9.6790371
Colombia,1972,19.559595
Colombia,1973,34.094662
Colombia,1974,40.834198
Colombia,1975,29.276346
Colombia,1976,49.054424
Colombia,1977,86.880295
Colombia,1978,98.096786
Colombia,1979,93.710274
Colombia,1980,106.30923
Colombia,1981,83.624832
Colombia,1982,56.438148
Colombia,1983,44.464268
Colombia,1984,62.490345
Colombia,1985,70.961182
Colombia,1986,150.79961
Colombia,1987,105.68991
Colombia,1988,129.86256
Colombia,1989,89.483978
Colombia,1990,84.897453
Colombia,1991,130.9827
Colombia,1992,113.02979
Colombia,1993,126.19811
Colombia,1994,229.30533
Colombia,1995,225.73575
Colombia,1996,116.30431
Colombia,1997,91.703354
Colombia,1998,62.055042
Colombia,1999,10.512573
Colombia,2000,-7.7674623
Colombia,2001,16.799059
Colombia,2002,43.389645
Colombia,2003,56.171097
Colombia,2004,101.47451
Colombia,2005,134.45367
Colombia,2006,171.96632
Colombia,2007,236.5088
Colombia,2008,249.92638
Colombia,2009,309.99792
Colombia,2010,296.33936
Colombia,2011,273.85724
Colombia,2012,314.20575
Colombia,2013,392.0022
Colombia,2014,335.96161
Colombia,2015,333.90314
Comoros,1980,-25.240719
Comoros,1981,15.811483
Comoros,1982,10.154922
Comoros,1983,17.954544
Comoros,1984,57.090004
Comoros,1985,61.791668
Comoros,1986,39.427662
Comoros,1987,54.471466
Comoros,1988,58.385174
Comoros,1989,40.982262
Comoros,1990,38.805992
Comoros,1991,21.683277
Comoros,1992,44.9613
Comoros,1993,86.200935
Comoros,1994,31.581104
Comoros,1995,16.421244
Comoros,2003,-16.048777
Comoros,2004,-20.644352
Comoros,2005,-29.239374
Comoros,2006,-19.982376
Comoros,2007,-35.293594
Comoros,2008,-19.007065
Comoros,2009,-1.1178787
Comoros,2010,-13.582012
Comoros,2011,-8.7447023
Comoros,2012,26.801138
Congo,1978,-84.243965
Congo,1979,-130.12958
Congo,1980,-78.35656
Congo,1981,-7.4493961
Congo,1982,233.58519
Congo,1983,121.29664
Congo,1984,10.518801
Congo,1985,-119.69421
Congo,1986,-98.867607
Congo,1987,-98.508987
Congo,1988,-268.10953
Congo,1989,-304.33929
Congo,1990,-193.03374
Congo,1991,-195.83412
Congo,1992,-53.445549
Congo,1993,-194.97716
Congo,1994,-111.85712
Congo,1995,-352.43204
Congo,1996,-411.54422
Congo,1997,-316.47696
Congo,1998,-192.3723
Congo,1999,-292.85773
Congo,2000,-312.3765
Congo,2001,-260.63791
Congo,2002,-214.99504
Congo,2003,-386.58078
Congo,2004,-371.28909
Congo,2005,-673.81116
Congo,2006,-1113.465
Congo,2007,-794.59985
Costa Rica,1977,138.31067
Costa Rica,1978,93.840775
Costa Rica,1979,43.778969
Costa Rica,1980,116.7702
Costa Rica,1981,50.029221
Costa Rica,1982,8.2726707
Costa Rica,1983,30.240276
Costa Rica,1984,117.18495
Costa Rica,1985,107.69096
Costa Rica,1986,185.73837
Costa Rica,1987,191.05373
Costa Rica,1988,190.82576
Costa Rica,1989,138.13791
Costa Rica,1990,183.37991
Cote d'Ivoire,2005,101.78141
Cote d'Ivoire,2006,84.188461
Cote d'Ivoire,2007,91.620155
Cote d'Ivoire,2008,121.65388
Cote d'Ivoire,2009,160.9814
Cote d'Ivoire,2010,145.1008
Cote d'Ivoire,2011,99.173073
Cote d'Ivoire,2012,73.898712
Cote d'Ivoire,2013,159.34157
Croatia,1995,-67.488281
Croatia,1996,212.8596
Croatia,1997,177.4556
Croatia,1998,262.54251
Croatia,1999,129.66357
Croatia,2000,266.70007
Croatia,2001,279.72134
Croatia,2002,378.24561
Croatia,2003,559.8869
Croatia,2004,834.37604
Croatia,2005,1083.2502
Croatia,2006,1262.7959
Croatia,2007,1437.2642
Croatia,2008,1762.7644
