Entity,Year,Afforestation,Conversion as share of forest area,Deforestation,Deforestation as share of forest area,Expansion as share of forest area,Forest area,Forest expansion,Natural forest expansion,Net forest conversion,Share of global afforestation,Share of global deforestation,Share of global forest area,Share of global forest expansion,Share of global net forest conversion,Share of regional afforestation,Share of regional deforestation,Share of regional forest area,Share of regional forest expansion,Share of regional net forest conversion
Barbados,1990,,,,,,6.3,,,,,,0.00014870999672172346,,,,,,,
Barbados,2000,,,,,,6.3,,,,,,0.00015151334705604938,,,,,,,
Barbados,2010,,,,,,6.3,,,,,,0.0001534221564495213,,,,,,,
Barbados,2015,,,,,,6.3,,,,,,0.00015426553459075507,,,,,,,
Belarus,1990,6.68,0.632904884318766,5.8,0.07455012853470437,0.7074550128534705,7780.0,55.04,42.56,49.24,0.29375291334289055,0.041995054720280346,0.18364504357063627,0.7610651039758184,-0.7464700335638642,,,,,
Belarus,2000,6.99,0.3156049800556026,7.2,0.08703009790886015,0.40263507796446274,8273.0,33.31,19.12,26.110000000000003,0.2523156002512327,0.05613803094297079,0.19896347939598358,0.35160979440696594,-0.7655073135120397,,,,,
Belarus,2010,2.82,0.23059096176129779,4.1,0.04750869061413673,0.27809965237543455,8630.0,24.0,17.08,19.9,0.1260763432495507,0.05030082346128553,0.2101640016125982,0.34572318808637903,-1.6460020347562843,,,,,
Belarus,2015,1.77,0.31065037354491226,3.5,0.04053975791973128,0.35119013146464356,8633.5,30.32,25.05,26.82,0.11538912864909978,0.04657711440137762,0.2114049988713149,0.6463537081133166,-0.9498714379821076,,,,,
Belgium,1990,,,,,,677.4,,,,,,0.01598986536179293,,,,,,,
Belgium,2000,,,,,,667.3,,,,,,0.016048389919127264,,,,,,,
Belgium,2010,1.0,-0.015945033122182456,1.81,0.26236827228318377,0.24642323916100134,689.87,1.7,0.7,-0.1100000000000001,0.044707923138138546,0.022205973284128492,0.0168002131856875,0.02448872582278518,0.00909850370970811,,,,,
Belgium,2015,,0.0,1.5,0.21761207021616133,0.21761207021616133,689.3,1.5,1.5,0.0,,0.019961620457733264,0.016878608411651976,0.03197660165468255,-0.0,,,,,
Belize,1990,,-0.8793585120278995,14.07,0.8793585120278995,0.0,1600.03,0.0,,-14.07,,0.1018742103300594,0.03776832635788241,0.0,0.21329880934694498,,,,,
Belize,2000,,-0.4652915781539094,6.79,0.4652915781539094,0.0,1459.3,0.0,,-6.79,,0.05294128195871828,0.03509578212045918,0.0,0.19907294748168322,,,,,
Belize,2010,,-0.8416044387267408,11.71,0.8416044387267408,0.0,1391.39,0.0,,-11.71,,0.14366405920284236,0.03388413559719039,0.0,0.9685770767334718,,,,,
Belize,2015,,-0.8373160868227756,11.16,0.8373160868227756,0.0,1332.83,0.0,,-11.16,,0.1485144562055355,0.032636465471205724,0.0,0.3952485178180582,,,,,
Benin,1990,,,,,,4835.15,,,,,,0.11413256200778431,,,,,,,
Benin,2000,,,,,,4135.15,,,,,,0.09944927255219405,,,,,,,
Benin,2010,,,,,,3635.15,,,,,,0.08852580190753609,,,,,,,
Benin,2015,,,,,,3385.15,,,,,,0.08289078959045945,,,,,,,
Bermuda,1990,,,,,,1.0,,,,,,2.360476138440055e-05,,,,,,,
Bermuda,2000,,,,,,1.0,,,,,,2.4049737627944344e-05,,,,,,,
Bermuda,2010,,,,,,1.0,,,,,,2.4352723245955763e-05,,,,,,,
Bermuda,2015,,,,,,1.0,,,,,,2.448659279218334e-05,,,,,,,
Bhutan,1990,0.02,0.3961351886130083,0.0,0.0,0.3961351886130083,2506.72,9.93,9.91,9.93,0.0008794997405475766,0.0,0.05917052745750454,0.13730698551017217,-0.15053711278004003,,,,,
Bhutan,2000,0.16,0.3810437452033768,0.19,0.0072908672294704525,0.3883346124328473,2606.0,10.12,9.96,9.93,0.00577546438343308,0.0014814202609950624,0.06267361625842298,0.10682351003898213,-0.29113319123609926,,,,,
Bhutan,2010,0.2,0.07318993527496127,0.34,0.012567968683579211,0.08575790395854048,2705.29,2.32,2.12,1.9799999999999998,0.00894158462762771,0.004171287799228557,0.06588117867005167,0.0334199081816833,-0.16377306677474585,,,,,
Bhutan,2015,0.2,0.07292334209886639,0.43,0.015836887425511384,0.08876022952437777,2715.18,2.41,2.21,1.9800000000000002,0.013038319621367207,0.005722331197883536,0.06648550701748036,0.051375739991856635,-0.07012473703223614,,,,,
Bolivia,1990,,-0.46766077233831416,270.33,0.46766077233831416,0.0,57804.72,0.0,,-270.33,,1.9573315762988597,1.364466622492086,0.0,4.098156867857828,,,,,
Bolivia,2000,,-0.3657620978345556,200.05,0.36305799182198495,-0.0027041060125706446,55101.39,-1.49,,-201.54000000000002,,1.5597795958529592,1.3251739724350362,-0.015727967387162388,5.908860358683128,,,,,
