Entity,Year,"Share of workers in financial sector (GGDC, 2017)","Share of population in financial sector (GGDC, 2017)",Share of workers in financial sector
Argentina,1999,0.031377456,0.031377456,0.02840789
Argentina,2000,0.031080675,0.031080675,0.029184595
Argentina,2001,0.030002427,0.030002427,0.019762028
Argentina,2002,0.028724062,0.028724062,0.029959844
Argentina,2003,0.029522388,0.029522388,0.030967419
Argentina,2004,0.030343489,0.030343489,0.032015189
Argentina,2005,0.03400112,0.03400112,0.020706107
Argentina,2006,0.036728687,0.036728687,0.03204991
Argentina,2007,0.039522732,0.039522732,0.035733753
Argentina,2008,0.039320985,0.039320985,0.038212906
Argentina,2009,0.041189192,0.041189192,0.020726126
Argentina,2010,0.042079674,0.042079674,0.039203666
Argentina,2011,0.041955549,0.041955549,0.041405003
Bolivia,1960,0.001135314,0.001135314,0.046036454
Bolivia,1961,0.001101164,0.001101164,0.021880184
Bolivia,1962,0.001128663,0.001128663,0.047175318
Bolivia,1963,0.001138667,0.001138667,0.048768178
Bolivia,1964,0.001223383,0.001223383,0.051317243
Bolivia,1965,0.001190996,0.001190996,0.060648102
Bolivia,1966,0.001195772,0.001195772,0.022965317
Bolivia,1967,0.001211372,0.001211372,0.067316944
Bolivia,1968,0.001305105,0.001305105,0.06826196
Bolivia,1969,0.001490245,0.001490245,0.074675503
Bolivia,1970,0.001592141,0.001592141,0.08299658
Bolivia,1971,0.001692152,0.001692152,0.090707516
Bolivia,1972,0.001935398,0.001935398,0.095459492
Bolivia,1973,0.002008703,0.002008703,0.098246259
Bolivia,1974,0.002078001,0.002078001,0.028899423
Bolivia,1975,0.002214249,0.002214249,0.031261614
Bolivia,1976,0.002370341,0.002370341,0.018352209
Bolivia,1977,0.002492585,0.002492585,0.034780577
Bolivia,1978,0.002657097,0.002657097,0.03704052
Bolivia,1979,0.002725727,0.002725727,0.019246356
Bolivia,1980,0.002747523,0.002747523,0.040448364
Bolivia,1981,0.002686215,0.002686215,0.018228602
Bolivia,1982,0.002652513,0.002652513,0.044283202
Bolivia,1983,0.003033765,0.003033765,0.020337407
Bolivia,1984,0.003663879,0.003663879,0.045902847
Bolivia,1985,0.004235367,0.004235367,0.044114202
Bolivia,1986,0.003530111,0.003530111,0.02099702
Bolivia,1987,0.003827138,0.003827138,0.047463895
Bolivia,1988,0.003920654,0.003920654,0.020566307
Bolivia,1989,0.004459745,0.004459745,0.048855499
Bolivia,1990,0.005486952,0.005486952,0.044555093
Bolivia,1991,0.007783912,0.007783912,0.021140234
Bolivia,1992,0.009113356,0.009113356,0.041011107
Bolivia,1993,0.010304063,0.010304063,0.022313886
Bolivia,1994,0.009934758,0.009934758,0.044649985
Bolivia,1995,0.009717776,0.009717776,0.048340116
Bolivia,1996,0.010616854,0.010616854,0.022241481
Bolivia,1997,0.012260737,0.012260737,0.049142074
Bolivia,1998,0.011112101,0.011112101,0.048191799
Bolivia,1999,0.010069777,0.010069777,0.02275386
Bolivia,2000,0.015996853,0.015996853,0.04858822
Bolivia,2001,0.013547399,0.013547399,0.052443708
Bolivia,2002,0.0103982,0.0103982,0.022857662
Bolivia,2003,0.010526544,0.010526544,0.053670799
Bolivia,2004,0.010996332,0.010996332,0.055518131
Bolivia,2005,0.011770702,0.011770702,0.023132997
Bolivia,2006,0.016711013,0.016711013,0.058735441
Bolivia,2007,0.015211417,0.015211417,0.064200112
Bolivia,2008,0.01455131,0.01455131,0.022999536
Bolivia,2009,0.017610608,0.017610608,0.064302448
Bolivia,2010,0.032319126,0.032319126,0.023841442
Botswana,1964,0.002082006,0.002082006,0.069907273
Botswana,1965,0.002258616,0.002258616,0.024709873
Botswana,1966,0.002517602,0.002517602,0.035489322
Botswana,1967,0.002772517,0.002772517,0.025782052
Botswana,1968,0.00286033,0.00286033,0.032899021
Botswana,1969,0.002907532,0.002907532,0.025649934
Botswana,1970,0.003132744,0.003132744,0.033686685
Botswana,1971,0.00448624,0.00448624,0.039704066
Botswana,1972,0.005135264,0.005135264,0.025445651
Botswana,1973,0.00508704,0.00508704,0.062403775
Botswana,1974,0.005062442,0.005062442,0.067465008
Botswana,1975,0.002809043,0.002809043,0.02577561
Botswana,1976,0.003565283,0.003565283,0.071760655
Botswana,1977,0.003064269,0.003064269,0.073058468
Botswana,1978,0.003233806,0.003233806,0.026181643
Botswana,1979,0.003861809,0.003861809,0.074441408
Botswana,1980,0.004745395,0.004745395,0.078283707
Botswana,1981,0.0050213,0.0050213,0.0267243
Botswana,1982,0.005637556,0.005637556,0.081943346
Botswana,1983,0.005733625,0.005733625,0.027754381
Botswana,1984,0.005730463,0.005730463,0.02882807
Botswana,1985,0.006085117,0.006085117,0.084549394
Botswana,1986,0.006418564,0.006418564,0.030160973
Botswana,1987,0.008248113,0.008248113,0.087135562
Botswana,1988,0.00915485,0.00915485,0.028457693
Botswana,1989,0.010405714,0.010405714,0.089808808
Botswana,1990,0.011352182,0.011352182,0.036772215
Botswana,1991,0.012843761,0.012843761,0.094551758
Botswana,1992,0.013841148,0.013841148,0.095911292
Botswana,1993,0.0143403,0.0143403,0.09610131
Botswana,1994,0.013742964,0.013742964,0.097905279
Botswana,1995,0.014703426,0.014703426,0.03762583
Botswana,1996,0.015131242,0.015131242,0.106053255
Botswana,1997,0.013742226,0.013742226,0.028247241
Botswana,1998,0.013496835,0.013496835,0.108885973
Botswana,1999,0.015182255,0.015182255,0.029467451
Botswana,2000,0.016726428,0.016726428,0.032255788
Botswana,2001,0.017129409,0.017129409,0.114045931
Botswana,2002,0.016538903,0.016538903,0.03451579
Botswana,2003,0.016497414,0.016497414,0.116382593
Botswana,2004,0.017367816,0.017367816,0.039184564
Botswana,2005,0.017286906,0.017286906,0.115646153
Botswana,2006,0.017874069,0.017874069,0.039843759
Botswana,2007,0.019627315,0.019627315,0.113414226
Botswana,2008,0.021516934,0.021516934,0.047855846
Botswana,2009,0.021291352,0.021291352,0.122440686
Botswana,2010,0.023189114,0.023189114,0.051002204
Brazil,1960,0.011474438,0.011474438,0.050386408
Brazil,1961,0.012023111,0.012023111,0.148396193
Brazil,1962,0.012595,0.012595,0.008986168
Brazil,1963,0.013194407,0.013194407,0.054349278
Brazil,1964,0.013827172,0.013827172,0.135883516
Brazil,1965,0.01449844,0.01449844,0.010525927
Brazil,1966,0.015211101,0.015211101,0.063570342
Brazil,1967,0.015966842,0.015966842,0.0032423
Brazil,1968,0.016768383,0.016768383,0.003161894
Brazil,1969,0.017618255,0.017618255,0.068661974
Brazil,1970,0.018518912,0.018518912,0.011930703
Brazil,1971,0.02074752,0.02074752,0.139168655
Brazil,1972,0.022891822,0.022891822,0.003258957
Brazil,1973,0.024988461,0.024988461,0.065404153
Brazil,1974,0.027334173,0.027334173,0.012204273
Brazil,1975,0.02988744,0.02988744,0.003306704
Brazil,1976,0.032664667,0.032664667,0.071122342
Brazil,1977,0.034323616,0.034323616,0.141114724
Brazil,1978,0.035862161,0.035862161,0.138902744
Brazil,1979,0.036548241,0.036548241,0.003573717
Brazil,1980,0.034284644,0.034284644,0.100141361
Brazil,1981,0.035350135,0.035350135,0.139590395
Brazil,1982,0.038068604,0.038068604,0.014026986
Brazil,1983,0.040764412,0.040764412,0.107447306
Brazil,1984,0.041641078,0.041641078,0.003498652
Brazil,1985,0.044401582,0.044401582,0.145941632
Brazil,1986,0.040101006,0.040101006,0.104520509
Brazil,1987,0.041489239,0.041489239,0.147182945
Brazil,1988,0.041033204,0.041033204,0.003533
Brazil,1989,0.043388608,0.043388608,0.001773192
Brazil,1990,0.041453438,0.041453438,0.150881931
Brazil,1991,0.040809864,0.040809864,0.013496285
Brazil,1992,0.039958969,0.039958969,0.143443585
Brazil,1993,0.038968814,0.038968814,0.10399661
Brazil,1994,0.039039855,0.039039855,0.003600404
Brazil,1995,0.039318248,0.039318248,0.096921853
Brazil,1996,0.03860691,0.03860691,0.001947907
Brazil,1997,0.038580546,0.038580546,0.001397162
Brazil,1998,0.037878843,0.037878843,0.157951121
Brazil,1999,0.039021149,0.039021149,0.09798567
Brazil,2000,0.040370878,0.040370878,0.013089981
Brazil,2001,0.040599948,0.040599948,0.003902786
Brazil,2002,0.041936734,0.041936734,0.107669482
Brazil,2003,0.04237779,0.04237779,0.001569408
Brazil,2004,0.044647823,0.044647823,0.020710981
Brazil,2005,0.045383853,0.045383853,0.002060627
Brazil,2006,0.047493046,0.047493046,0.168896676
Brazil,2007,0.049395597,0.049395597,0.004484578
Brazil,2008,0.050723866,0.050723866,0.116701631
Brazil,2009,0.051660164,0.051660164,0.034087458
Brazil,2010,0.056478125,0.056478125,0.015486488
Brazil,2011,0.060454109,0.060454109,0.001460271
Chile,1960,0.007884817,0.007884817,0.108452348
Chile,1961,0.00713787,0.00713787,0.004819901
Chile,1962,0.006986746,0.006986746,0.033248013
Chile,1963,0.007654067,0.007654067,0.002072472
Chile,1964,0.006970937,0.006970937,0.109122092
Chile,1965,0.007101164,0.007101164,0.038765748
Chile,1966,0.007260516,0.007260516,0.035119986
Chile,1967,0.007419079,0.007419079,0.189992846
Chile,1968,0.007441994,0.007441994,0.109095839
Chile,1969,0.007760494,0.007760494,0.005115595
Chile,1970,0.007864575,0.007864575,0.001466279
Chile,1971,0.008041904,0.008041904,0.036401094
Chile,1972,0.007670323,0.007670323,0.014925745
Chile,1973,0.007389095,0.007389095,0.03921952
Chile,1974,0.007293758,0.007293758,0.001976205
Chile,1975,0.006550479,0.006550479,0.036968943
Chile,1976,0.006498584,0.006498584,0.04058854
Chile,1977,0.006794743,0.006794743,0.005843735
Chile,1978,0.007058784,0.007058784,0.041362588
Chile,1979,0.00769306,0.00769306,0.001269753
Chile,1980,0.009405356,0.009405356,0.041889725
Chile,1981,0.009845829,0.009845829,0.014973731
Chile,1982,0.008592616,0.008592616,0.043187952
Chile,1983,0.009661706,0.009661706,0.006058681
Chile,1984,0.010626053,0.010626053,0.001823452
Chile,1985,0.01116115,0.01116115,0.045197302
Chile,1986,0.012279777,0.012279777,0.198170427
Chile,1987,0.013640174,0.013640174,0.00155133
Chile,1988,0.014458544,0.014458544,0.049638599
Chile,1989,0.015462786,0.015462786,0.049705186
Chile,1990,0.016870098,0.016870098,0.006262479
Chile,1991,0.018915629,0.018915629,0.05248758
Chile,1992,0.020115429,0.020115429,0.038771869
Chile,1993,0.02273795,0.02273795,0.001942629
Chile,1994,0.02605543,0.02605543,0.055486126
Chile,1995,0.028352349,0.028352349,0.015515319
Chile,1996,0.031473153,0.031473153,0.201690931
Chile,1997,0.032994658,0.032994658,0.057106748
Chile,1998,0.035485815,0.035485815,0.002184777
Chile,1999,0.037132599,0.037132599,0.006660843
Chile,2000,0.039175594,0.039175594,0.057983209
Chile,2001,0.03992466,0.03992466,0.059919057
Chile,2002,0.041539746,0.041539746,0.062650059
Chile,2003,0.04321523,0.04321523,0.04050423
Chile,2004,0.04534799,0.04534799,0.001720999
Chile,2005,0.048169963,0.048169963,0.0619234
Chile,2006,0.048985655,0.048985655,0.211899326
Chile,2007,0.050997063,0.050997063,0.06377243
Chile,2008,0.052770283,0.052770283,0.066355118
Chile,2009,0.05436799,0.05436799,0.075323495
Chile,2010,0.047153976,0.047153976,0.076447575
Chile,2011,0.048821614,0.048821614,0.07331125
Chile,2012,0.049327035,0.049327035,0.068581268
China,1960,0.005433855,0.005433855,0.077925432
China,1961,0.003524027,0.003524027,0.072412947
China,1962,0.002769301,0.002769301,0.007143597
China,1963,0.002766081,0.002766081,0.071607829
China,1964,0.00282156,0.00282156,0.070846996
China,1965,0.002869293,0.002869293,0.082059649
China,1966,0.002831313,0.002831313,0.082550635
China,1967,0.002835369,0.002835369,0.087618269
China,1968,0.002874159,0.002874159,0.014656384
China,1969,0.002768592,0.002768592,0.087704575
China,1970,0.002715053,0.002715053,0.002571178
China,1971,0.002752153,0.002752153,0.088754848
China,1972,0.002736844,0.002736844,0.088009834
China,1973,0.002681554,0.002681554,0.048197492
China,1974,0.002734878,0.002734878,0.217716883
China,1975,0.002781534,0.002781534,0.08786639
China,1976,0.002908079,0.002908079,0.001734804
China,1977,0.003192017,0.003192017,0.087347061
China,1978,0.003661787,0.003661787,0.089202713
China,1979,0.003879956,0.003879956,0.007527107
China,1980,0.004132005,0.004132005,0.091107308
China,1981,0.004293435,0.004293435,0.054133387
China,1982,0.004351262,0.004351262,0.092299312
China,1983,0.004342396,0.004342396,0.002718372
China,1984,0.004438593,0.004438593,0.095903787
China,1985,0.004515353,0.004515353,0.002006834
China,1986,0.004655025,0.004655025,0.013243128
China,1987,0.00481999,0.00481999,0.101888163
China,1988,0.004960505,0.004960505,0.107919469
China,1989,0.004894026,0.004894026,0.060398822
China,1990,0.005441026,0.005441026,0.008040432
China,1991,0.005887727,0.005887727,0.113398911
China,1992,0.00634645,0.00634645,0.115370642
China,1993,0.005958938,0.005958938,0.116493114
China,1994,0.005956291,0.005956291,0.066964503
China,1995,0.00618496,0.00618496,0.118055916
China,1996,0.006427714,0.006427714,0.121351147
China,1997,0.0064157,0.0064157,0.126140509
China,1998,0.006302248,0.006302248,0.002042904
China,1999,0.006528477,0.006528477,0.002834082
China,2000,0.006351203,0.006351203,0.067362985
China,2001,0.006384559,0.006384559,0.13395752
China,2002,0.006382725,0.006382725,0.008264434
China,2003,0.006488383,0.006488383,0.135243426
China,2004,0.006724767,0.006724767,0.014180288
China,2005,0.006895493,0.006895493,0.135052583
China,2006,0.007062981,0.007062981,0.071528974
China,2007,0.007102172,0.007102172,0.129693332
China,2008,0.007263699,0.007263699,0.127521519
China,2009,0.007449527,0.007449527,0.073537231
China,2010,0.008099785,0.008099785,0.008337151
China,2011,0.008029137,0.008029137,0.002081827
Colombia,1960,0.014082605,0.014082605,0.003027176
Colombia,1961,0.014287172,0.014287172,0.078177275
Colombia,1962,0.014663806,0.014663806,0.084707759
Colombia,1963,0.014566892,0.014566892,0.012644943
Colombia,1964,0.015046737,0.015046737,0.088039078
Colombia,1965,0.015040438,0.015040438,0.008129588
Colombia,1966,0.015016376,0.015016376,0.002239522
Colombia,1967,0.014950932,0.014950932,0.095024604
Colombia,1968,0.015120604,0.015120604,0.096315251
Colombia,1969,0.01517484,0.01517484,0.002947741
Colombia,1970,0.015628287,0.015628287,0.008196721
Colombia,1971,0.016893793,0.016893793,0.012842667
Colombia,1972,0.018274904,0.018274904,0.116693779
Colombia,1973,0.019771487,0.019771487,0.002178616
Colombia,1974,0.021380792,0.021380792,0.009366694
Colombia,1975,0.023806548,0.023806548,0.00351262
Colombia,1976,0.023122399,0.023122399,0.127759362
Colombia,1977,0.026555549,0.026555549,0.011068297
Colombia,1978,0.025691418,0.025691418,0.013343732
Colombia,1979,0.024375871,0.024375871,0.002246811
Colombia,1980,0.025198721,0.025198721,0.132353125
Colombia,1981,0.024901052,0.024901052,0.004500152
Colombia,1982,0.025735331,0.025735331,0.012564457
Colombia,1983,0.023937507,0.023937507,0.00221646
Colombia,1984,0.023258458,0.023258458,0.014916128
Colombia,1985,0.02006277,0.02006277,0.003875841
Colombia,1986,0.01912135,0.01912135,0.010488688
Colombia,1987,0.020273679,0.020273679,0.132906393
Colombia,1988,0.021517942,0.021517942,0.011264577
Colombia,1989,0.022162934,0.022162934,0.003759811
Colombia,1990,0.020940104,0.020940104,0.00228691
Colombia,1991,0.019787969,0.019787969,0.143252071
Colombia,1992,0.014306397,0.014306397,0.014586118
Colombia,1993,0.020419297,0.020419297,0.14667716
Colombia,1994,0.020647706,0.020647706,0.011972387
Colombia,1995,0.023262412,0.023262412,0.156861003
Colombia,1996,0.024884744,0.024884744,0.002744779
Colombia,1997,0.027965117,0.027965117,0.003757392
Colombia,1998,0.026789032,0.026789032,0.157189303
Colombia,1999,0.024642334,0.024642334,0.002306887
Colombia,2000,0.023275548,0.023275548,0.163699425
Colombia,2001,0.023064964,0.023064964,0.013204565
Colombia,2002,0.023902752,0.023902752,0.162186604
Colombia,2003,0.025023151,0.025023151,0.015088382
Colombia,2004,0.02655684,0.02655684,0.163036061
Colombia,2005,0.028263688,0.028263688,0.161751229
Colombia,2006,0.02820062,0.02820062,0.166202573
Colombia,2007,0.03486513,0.03486513,0.015566704
Colombia,2008,0.039167267,0.039167267,0.170159716
Colombia,2009,0.034931553,0.034931553,0.002858982
Colombia,2010,0.039636225,0.039636225,0.002337302
Costa Rica,1960,0.004767552,0.004767552,0.003778885
Costa Rica,1961,0.004975308,0.004975308,0.173039781
Costa Rica,1962,0.004689101,0.004689101,0.015120234
Costa Rica,1963,0.005208015,0.005208015,0.181118894
Costa Rica,1964,0.005357166,0.005357166,0.182748921
Costa Rica,1965,0.005246738,0.005246738,0.021501389
Costa Rica,1966,0.005408657,0.005408657,0.183810634
Costa Rica,1967,0.005731352,0.005731352,0.188200218
Costa Rica,1968,0.005741905,0.005741905,0.002937152
Costa Rica,1969,0.005911779,0.005911779,0.002380818
Costa Rica,1970,0.006003529,0.006003529,0.024802369
Costa Rica,1971,0.006161392,0.006161392,0.015842067
Costa Rica,1972,0.006218895,0.006218895,0.004019888
Costa Rica,1973,0.006548533,0.006548533,0.027865038
Costa Rica,1974,0.006864919,0.006864919,0.003133717
Costa Rica,1975,0.007367321,0.007367321,0.00243989
Costa Rica,1976,0.007452972,0.007452972,0.015720578
Costa Rica,1977,0.007578573,0.007578573,0.02584263
Costa Rica,1978,0.007742526,0.007742526,0.021218569
Costa Rica,1979,0.007888334,0.007888334,0.003028785
Costa Rica,1980,0.008037835,0.008037835,0.022132526
Costa Rica,1981,0.008136234,0.008136234,0.00236307
Costa Rica,1982,0.008441351,0.008441351,0.023282322
Costa Rica,1983,0.009038571,0.009038571,0.025083073
Costa Rica,1984,0.008775463,0.008775463,0.015307913
Costa Rica,1985,0.011458763,0.011458763,0.025225481
Costa Rica,1986,0.011841141,0.011841141,0.003945392
Costa Rica,1987,0.009059136,0.009059136,0.027640513
Costa Rica,1988,0.009510436,0.009510436,0.003059944
Costa Rica,1989,0.010812255,0.010812255,0.025013636
Costa Rica,1990,0.011519404,0.011519404,0.027097705
Costa Rica,1991,0.013175295,0.013175295,0.028889656
Costa Rica,1992,0.013828369,0.013828369,0.002394415
Costa Rica,1993,0.016894156,0.016894156,0.030789351
Costa Rica,1994,0.018204918,0.018204918,0.015582801
Costa Rica,1995,0.01805341,0.01805341,0.032038169
Costa Rica,1996,0.019478866,0.019478866,0.031072318
Costa Rica,1997,0.023194298,0.023194298,0.022803964
Costa Rica,1998,0.025471259,0.025471259,0.003303093
Costa Rica,1999,0.024363988,0.024363988,0.032221449
Costa Rica,2000,0.027212631,0.027212631,0.032565547
Costa Rica,2001,0.038686274,0.038686274,0.028287287
Costa Rica,2002,0.041749287,0.041749287,0.015831685
Costa Rica,2003,0.04137755,0.04137755,0.002491782
Costa Rica,2004,0.041927912,0.041927912,0.033740787
Costa Rica,2005,0.039829459,0.039829459,0.003733155
Costa Rica,2006,0.041240979,0.041240979,0.022477535
Costa Rica,2007,0.046568066,0.046568066,0.035500026
Costa Rica,2008,0.05123169,0.05123169,0.003782479
Costa Rica,2009,0.046468117,0.046468117,0.036464224
Costa Rica,2010,0.048331099,0.048331099,0.036586553
Costa Rica,2011,0.048804428,0.048804428,0.038490451
Denmark,1960,0.018262783,0.018262783,0.036978615
Denmark,1961,0.0173179,0.0173179,0.025584193
Denmark,1962,0.018791164,0.018791164,0.036539011
Denmark,1963,0.019326327,0.019326327,0.00350048
Denmark,1964,0.01987244,0.01987244,0.040596968
Denmark,1965,0.020325818,0.020325818,0.015877832
Denmark,1966,0.020528423,0.020528423,0.024794922
Denmark,1967,0.021013023,0.021013023,0.040912876
Denmark,1968,0.02291729,0.02291729,0.002551855
Denmark,1969,0.023610355,0.023610355,0.043725696
Denmark,1970,0.025064265,0.025064265,0.043795393
Denmark,1971,0.026254863,0.026254863,0.045897436
Denmark,1972,0.027397217,0.027397217,0.046014391
Denmark,1973,0.027994598,0.027994598,0.047653953
Denmark,1974,0.028550828,0.028550828,0.0501238
Denmark,1975,0.029354207,0.029354207,0.052261713
Denmark,1976,0.029449504,0.029449504,0.040095258
Denmark,1977,0.030158044,0.030158044,0.052473494
Denmark,1978,0.031493947,0.031493947,0.059185163
Denmark,1979,0.032770337,0.032770337,0.064173238
Denmark,1980,0.033541776,0.033541776,0.033977903
Denmark,1981,0.03335589,0.03335589,0.066874505
Denmark,1982,0.03386856,0.03386856,0.013314401
Denmark,1983,0.034326233,0.034326233,0.022735934
Denmark,1984,0.03581672,0.03581672,0.002972911
Denmark,1985,0.037206884,0.037206884,0.062286827
Denmark,1986,0.038790627,0.038790627,0.036115153
Denmark,1987,0.040954521,0.040954521,0.00278058
Denmark,1988,0.040860899,0.040860899,0.070799895
Denmark,1989,0.043107572,0.043107572,0.002999388
Denmark,1990,0.042849458,0.042849458,0.023301642
Denmark,1991,0.042981933,0.042981933,0.073508541
Denmark,1992,0.042014345,0.042014345,0.003566255
Denmark,1993,0.04118594,0.04118594,0.025862347
Denmark,1994,0.041483367,0.041483367,0.075816679
Denmark,1995,0.042450443,0.042450443,0.012870911
Denmark,1996,0.043634196,0.043634196,0.074010391
Denmark,1997,0.044755043,0.044755043,0.002877477
Denmark,1998,0.047051413,0.047051413,0.076215593
Denmark,1999,0.050289949,0.050289949,0.037041064
Denmark,2000,0.053449162,0.053449162,0.02395599
Denmark,2001,0.0565718,0.0565718,0.026041236
Denmark,2002,0.057416474,0.057416474,0.079574202
Denmark,2003,0.057060528,0.057060528,0.003042786
Denmark,2004,0.05730811,0.05730811,0.085100475
Denmark,2005,0.059329465,0.059329465,0.086413765
Denmark,2006,0.062716745,0.062716745,0.093972164
Denmark,2007,0.068154578,0.068154578,0.100174067
Denmark,2008,0.069506771,0.069506771,0.111119094
Denmark,2009,0.067882948,0.067882948,0.116598659
Denmark,2010,0.062439716,0.062439716,0.011493351
Denmark,2011,0.060772413,0.060772413,0.115557016
Egypt,1960,0.002214995,0.002214995,0.11565958
Egypt,1961,0.002162726,0.002162726,0.026041236
Egypt,1962,0.002083299,0.002083299,0.002909355
Egypt,1963,0.001999016,0.001999016,0.116234847
Egypt,1964,0.001925381,0.001925381,0.024608707
Egypt,1965,0.001851614,0.001851614,0.117247763
Egypt,1966,0.001815049,0.001815049,0.119693465
Egypt,1967,0.002407681,0.002407681,0.003186099
Egypt,1968,0.00227759,0.00227759,0.004349764
Egypt,1969,0.002160695,0.002160695,0.0280691
Egypt,1970,0.002036906,0.002036906,0.038232074
Egypt,1971,0.001964352,0.001964352,0.012357743
Egypt,1972,0.001934581,0.001934581,0.125768624
Egypt,1973,0.002138074,0.002138074,0.024785178
Egypt,1974,0.002168313,0.002168313,0.003150476
Egypt,1975,0.002190877,0.002190877,0.12634114
Egypt,1976,0.002173088,0.002173088,0.039342847
Egypt,1977,0.002478208,0.002478208,0.123003508
Egypt,1978,0.002948721,0.002948721,0.003065497
Egypt,1979,0.003272432,0.003272432,0.127593304
Egypt,1980,0.003413259,0.003413259,0.025989384
Egypt,1981,0.003507311,0.003507311,0.011288556
Egypt,1982,0.003807206,0.003807206,0.003329367
Egypt,1983,0.00390515,0.00390515,0.004803117
Egypt,1984,0.004266903,0.004266903,0.035270436
Egypt,1985,0.004392598,0.004392598,0.131313778
Egypt,1986,0.004582804,0.004582804,0.040673973
Egypt,1987,0.004825329,0.004825329,0.026687443
Egypt,1988,0.005030941,0.005030941,0.032972141
Egypt,1989,0.005237519,0.005237519,0.003171942
Egypt,1990,0.005467668,0.005467668,0.005225624
Egypt,1991,0.005723598,0.005723598,0.003491746
Egypt,1992,0.005823102,0.005823102,0.010851676
Egypt,1993,0.006244075,0.006244075,0.00548582
Egypt,1994,0.006607832,0.006607832,0.026776445
Egypt,1995,0.007114578,0.007114578,0.00564994
Egypt,1996,0.007399266,0.007399266,0.039923486
Egypt,1997,0.007297528,0.007297528,0.005521477
Egypt,1998,0.007395794,0.007395794,0.042841239
Egypt,1999,0.00781497,0.00781497,0.002703075
Egypt,2000,0.008111181,0.008111181,0.003678684
Egypt,2001,0.008146085,0.008146085,0.006235609
Egypt,2002,0.008121873,0.008121873,0.071112438
Egypt,2003,0.008190667,0.008190667,0.025022078
Egypt,2004,0.008309488,0.008309488,0.010626603
Egypt,2005,0.0085095,0.0085095,0.002983341
Egypt,2006,0.008657219,0.008657219,0.032549831
Egypt,2007,0.009053445,0.009053445,0.000924793
Egypt,2008,0.009254935,0.009254935,0.024247621
Egypt,2009,0.009513673,0.009513673,0.00659501
Egypt,2010,0.009527062,0.009527062,0.003733959
Egypt,2011,0.009485022,0.009485022,0.04330153
Egypt,2012,0.009480083,0.009480083,0.003256994
Ethiopia,1961,0.000609387,0.000609387,0.010457019
Ethiopia,1962,0.000590723,0.000590723,0.025047384
Ethiopia,1963,0.00057139,0.00057139,0.033114247
Ethiopia,1964,0.000547622,0.000547622,0.003594642
Ethiopia,1965,0.000531913,0.000531913,0.001115896
Ethiopia,1966,0.000544056,0.000544056,0.007412504
Ethiopia,1967,0.000528957,0.000528957,0.004029913
Ethiopia,1968,0.000482971,0.000482971,0.023765987
Ethiopia,1969,0.000473039,0.000473039,0.043430919
Ethiopia,1970,0.000464037,0.000464037,0.010365065
Ethiopia,1971,0.000456178,0.000456178,0.003783361
Ethiopia,1972,0.000438022,0.000438022,0.023596844
Ethiopia,1973,0.000430535,0.000430535,0.035958955
Ethiopia,1974,0.000429661,0.000429661,0.004254235
Ethiopia,1975,0.000440534,0.000440534,0.001130317
Ethiopia,1976,0.000447361,0.000447361,0.007200615
Ethiopia,1977,0.000424164,0.000424164,0.024003978
Ethiopia,1978,0.000425614,0.000425614,0.00400275
Ethiopia,1979,0.000417581,0.000417581,0.010286376
