Entity,Year,‘cost of basic needs’ approach - share of population below poverty line,$1.90 - share of population below poverty line,$5 - share of population below poverty line,$10 - share of population below poverty line,$30 - share of population below poverty line,‘cost of basic needs’ approach - share of population above poverty line,$1.90 - share of population above poverty line,$5 - share of population above poverty line,$10 - share of population above poverty line,$30 - share of population above poverty line,$1.90-$5 - share of population between poverty lines,$5-$10 - share of population between poverty lines,$10-$30 - share of population between poverty lines,‘cost of basic needs’ approach - number below poverty line,$1.90 - number below poverty line,$5 - number below poverty line,$10 - number below poverty line,$30 - number below poverty line,‘cost of basic needs’ approach - number above poverty line,$1.90 - number above poverty line,$5 - number above poverty line,$10 - number above poverty line,$30 - number above poverty line,$1.90-$5 - number between poverty lines,$5-$10 - number between poverty lines,$10-$30 - number between poverty lines
Australia,1870,17.0,,,,,83.0,,,,,,,,,,,,,,,,,,,,
Australia,1880,7.0,,,,,93.0,,,,,,,,,,,,,,,,,,,,
Australia,1890,3.0,,,,,97.0,,,,,,,,,,,,,,,,,,,,
Australia,1900,5.0,,,,,95.0,,,,,,,,,,,,,,,,,,,,
Australia,1910,4.0,,,,,96.0,,,,,,,,,,,,,,,,,,,,
Australia,1920,4.0,,,,,96.0,,,,,,,,,,,,,,,,,,,,
Australia,1930,1.0,,,,,99.0,,,,,,,,,,,,,,,,,,,,
Australia,1940,0.0,,,,,100.0,,,,,,,,,,,,,,,,,,,,
Australia,1950,0.0,,,,,100.0,,,,,,,,,,,,,,,,,,,,
Australia,1960,0.0,,,,,100.0,,,,,,,,,,,,,,,,,,,,
Australia,1970,0.0,,,,,100.0,,,,,,,,,,,,,,,,,,,,
Australia,1980,0.0,,,,,100.0,,,,,,,,,,,,,,,,,,,,
Australia,1990,1.0,,,,,99.0,,,,,,,,,,,,,,,,,,,,
Australia,2000,1.0,,,,,99.0,,,,,,,,,,,,,,,,,,,,
Australia,2010,1.0,,,,,99.0,,,,,,,,,,,,,,,,,,,,
Australia,2018,2.0,,,,,98.0,,,,,,,,,,,,,,,,,,,,
Brazil,1820,91.0,,,,,9.0,,,,,,,,,,,,,,,,,,,,
Brazil,1830,92.0,,,,,8.0,,,,,,,,,,,,,,,,,,,,
Brazil,1840,92.0,,,,,8.0,,,,,,,,,,,,,,,,,,,,
Brazil,1850,93.0,,,,,7.0,,,,,,,,,,,,,,,,,,,,
Brazil,1860,90.0,,,,,10.0,,,,,,,,,,,,,,,,,,,,
Brazil,1870,87.0,,,,,13.0,,,,,,,,,,,,,,,,,,,,
Brazil,1880,89.0,,,,,11.0,,,,,,,,,,,,,,,,,,,,
Brazil,1890,88.0,,,,,12.0,,,,,,,,,,,,,,,,,,,,
Brazil,1900,95.0,,,,,5.0,,,,,,,,,,,,,,,,,,,,
Brazil,1910,90.0,,,,,10.0,,,,,,,,,,,,,,,,,,,,
Brazil,1920,76.0,,,,,24.0,,,,,,,,,,,,,,,,,,,,
Brazil,1930,77.0,,,,,23.0,,,,,,,,,,,,,,,,,,,,
Brazil,1940,89.0,,,,,11.0,,,,,,,,,,,,,,,,,,,,
Brazil,1950,72.0,,,,,28.0,,,,,,,,,,,,,,,,,,,,
Brazil,1960,73.0,,,,,27.0,,,,,,,,,,,,,,,,,,,,
Brazil,1970,76.0,,,,,24.0,,,,,,,,,,,,,,,,,,,,
Brazil,1980,11.0,,,,,89.0,,,,,,,,,,,,,,,,,,,,
Brazil,1990,23.0,,,,,77.0,,,,,,,,,,,,,,,,,,,,
Brazil,2000,12.0,,,,,88.0,,,,,,,,,,,,,,,,,,,,
Brazil,2010,8.0,,,,,92.0,,,,,,,,,,,,,,,,,,,,
Brazil,2018,7.0,,,,,93.0,,,,,,,,,,,,,,,,,,,,
Canada,1820,74.0,,,,,26.0,,,,,,,,,,,,,,,,,,,,
Canada,1830,69.0,,,,,31.0,,,,,,,,,,,,,,,,,,,,
Canada,1840,58.0,,,,,42.0,,,,,,,,,,,,,,,,,,,,
Canada,1850,44.0,,,,,56.0,,,,,,,,,,,,,,,,,,,,
Canada,1860,41.0,,,,,59.0,,,,,,,,,,,,,,,,,,,,
Canada,1870,35.0,,,,,65.0,,,,,,,,,,,,,,,,,,,,
Canada,1880,35.0,,,,,65.0,,,,,,,,,,,,,,,,,,,,
Canada,1890,28.0,,,,,72.0,,,,,,,,,,,,,,,,,,,,
Canada,1900,19.0,,,,,81.0,,,,,,,,,,,,,,,,,,,,
Canada,1910,9.0,,,,,91.0,,,,,,,,,,,,,,,,,,,,
Canada,1920,10.0,,,,,90.0,,,,,,,,,,,,,,,,,,,,
Canada,1930,7.0,,,,,93.0,,,,,,,,,,,,,,,,,,,,
Canada,1940,2.0,,,,,98.0,,,,,,,,,,,,,,,,,,,,
Canada,1950,0.0,,,,,100.0,,,,,,,,,,,,,,,,,,,,
Canada,1960,0.0,,,,,100.0,,,,,,,,,,,,,,,,,,,,
Canada,1970,0.0,,,,,100.0,,,,,,,,,,,,,,,,,,,,
Canada,1980,0.0,,,,,100.0,,,,,,,,,,,,,,,,,,,,
Canada,1990,0.0,,,,,100.0,,,,,,,,,,,,,,,,,,,,
Canada,2000,1.0,,,,,99.0,,,,,,,,,,,,,,,,,,,,
Canada,2010,0.0,,,,,100.0,,,,,,,,,,,,,,,,,,,,
Canada,2018,1.0,,,,,99.0,,,,,,,,,,,,,,,,,,,,
China,1820,76.0,,,,,24.0,,,,,,,,,,,,,,,,,,,,
China,1830,76.0,,,,,24.0,,,,,,,,,,,,,,,,,,,,
China,1840,77.0,,,,,23.0,,,,,,,,,,,,,,,,,,,,
China,1850,78.0,,,,,22.0,,,,,,,,,,,,,,,,,,,,
China,1860,78.0,,,,,22.0,,,,,,,,,,,,,,,,,,,,
China,1870,77.0,,,,,23.0,,,,,,,,,,,,,,,,,,,,
China,1880,76.0,,,,,24.0,,,,,,,,,,,,,,,,,,,,
China,1890,73.0,,,,,27.0,,,,,,,,,,,,,,,,,,,,
China,1900,74.0,,,,,26.0,,,,,,,,,,,,,,,,,,,,
China,1910,77.0,,,,,23.0,,,,,,,,,,,,,,,,,,,,
China,1920,76.0,,,,,24.0,,,,,,,,,,,,,,,,,,,,
China,1930,77.0,,,,,23.0,,,,,,,,,,,,,,,,,,,,
China,1940,79.0,,,,,21.0,,,,,,,,,,,,,,,,,,,,
China,1950,84.0,,,,,16.0,,,,,,,,,,,,,,,,,,,,
China,1960,73.0,,,,,27.0,,,,,,,,,,,,,,,,,,,,
China,1970,75.0,,,,,25.0,,,,,,,,,,,,,,,,,,,,
China,1980,53.0,,,,,47.0,,,,,,,,,,,,,,,,,,,,
China,1990,42.0,,,,,58.0,,,,,,,,,,,,,,,,,,,,
China,2000,33.0,,,,,67.0,,,,,,,,,,,,,,,,,,,,
China,2010,19.0,,,,,81.0,,,,,,,,,,,,,,,,,,,,
China,2018,5.0,,,,,95.0,,,,,,,,,,,,,,,,,,,,
East Asia,1820,77.53747541038119,91.1132283174603,99.3462184019793,99.950859968751,99.9997433414985,22.46252458961881,8.886771682539703,0.6537815980207,0.0491400312489958,0.00025665850149891867,8.232990084519002,0.6046415667717042,0.04888337274749688,332152711.0,390308114.0,425576350.0,428166495.0,428375900.0,96224289.0,38068886.0,2800650.0,210505.0,1099.0,35268236.0,2590145.0,209405.0
East Asia,1821,77.6006894912387,91.3133900891239,99.36422367713679,99.9521580578534,99.9997486258908,22.399310508761303,8.6866099108761,0.6357763228632081,0.04784194214660431,0.0002513741091973998,8.050833588012893,0.5879343807166038,0.04759056803740691,334566061.0,393686724.0,428396927.0,430931736.0,431136917.0,96571939.0,37451276.0,2741073.0,206265.0,1084.0,34710203.0,2534809.0,205181.0
East Asia,1822,77.66397632980821,91.51361696694829,99.3822319078816,99.9534562416879,99.9997539087249,22.336023670191793,8.486383033051709,0.6177680921183963,0.04654375831209734,0.00024609127510188955,7.868614940933313,0.571224333806299,0.04629766703699545,336997196.0,397093141.0,431236399.0,433715039.0,433915932.0,96919804.0,36823859.0,2680601.0,201961.0,1068.0,34143258.0,2478639.0,200893.0
East Asia,1823,77.7273268146468,91.7139113268338,99.4002434980502,99.95475456492811,99.9997591904332,22.2726731853532,8.286088673166205,0.5997565019497983,0.04524543507189094,0.00024080956680450072,7.6863321712164066,0.5545110668779074,0.04500462550508644,339448450.0,400530242.0,434097762.0,436519406.0,436715949.0,97268550.0,36186758.0,2619239.0,197595.0,1052.0,33567519.0,2421644.0,196543.0
East Asia,1824,77.79074130842841,91.91427226133429,99.4182583658477,99.95605302083031,99.9997644709764,22.20925869157159,8.08572773866571,0.5817416341522943,0.04394697916968937,0.00023552902359824657,7.503986104513416,0.5377946549826049,0.043711450146091124,341918313.0,403996316.0,436979036.0,439342838.0,439534965.0,97617687.0,35539684.0,2556964.0,193163.0,1035.0,32982720.0,2363801.0,192128.0
East Asia,1825,77.8541800200482,92.1147251148937,99.4362798262289,99.9573519462137,99.999769752928,22.145819979951796,7.885274885106298,0.5637201737711024,0.042648053786294327,0.00023024707199681416,7.321554711335196,0.5210721199848081,0.04241780671429751,344407429.0,407492515.0,439881243.0,442186336.0,442373982.0,97967571.0,34882485.0,2493757.0,188664.0,1019.0,32388728.0,2305093.0,187646.0
East Asia,1826,77.9177281179098,92.3152147624735,99.4543007552796,99.958650621213,99.99977503078989,22.082271882090197,7.684785237526498,0.5456992447203959,0.04134937878700384,0.00022496921010883852,7.139085992806102,0.504349865933392,0.041124409576895005,346915438.0,411017800.0,442803366.0,445048898.0,445231998.0,98317561.0,34215200.0,2429633.0,184101.0,1002.0,31785567.0,2245532.0,183099.0
East Asia,1827,77.98134103631081,92.51576829718971,99.47232472697681,99.95994940988349,99.9997803073808,22.01865896368919,7.484231702810291,0.527675273023192,0.04005059011650758,0.00021969261919707606,6.956556429787099,0.48762468290668437,0.0398308974973105,349442967.0,414573334.0,445746429.0,447931529.0,448110015.0,98668033.0,33537666.0,2364571.0,179471.0,984.0,31173095.0,2185100.0,178487.0
East Asia,1828,78.0450542494784,92.7163605168486,99.4903485581484,99.96124799280089,99.9997855803189,21.954945750521603,7.283639483151404,0.5096514418516023,0.03875200719910765,0.000214419681100253,6.773988041299802,0.4708994346524946,0.0385375875180074,351992560.0,418161912.0,448713411.0,450837224.0,451011033.0,99019440.0,32850088.0,2298589.0,174776.0,967.0,30551499.0,2123813.0,173809.0
East Asia,1829,78.1087931710926,92.9170408865604,99.5083786308995,99.9625470159137,99.9997908544936,21.8912068289074,7.0829591134396,0.4916213691004998,0.03745298408630049,0.00020914550640327434,6.5913377443391,0.4541683850141993,0.037243838579897215,354560026.0,421779253.0,451699378.0,453760989.0,453930051.0,99370974.0,32151747.0,2231622.0,170011.0,949.0,29920125.0,2061611.0,169061.0
East Asia,1830,78.1725977206339,93.1177824901809,99.5264115147326,99.96384613398381,99.9997961272931,21.827402279366098,6.8822175098191,0.47358848526739905,0.03615386601619264,0.00020387270690491732,6.408629024551701,0.4374346192512064,0.03594999330928772,357147147.0,425427213.0,454706316.0,456704824.0,456869068.0,99722853.0,31442787.0,2163684.0,165176.0,931.0,29279103.0,1998508.0,164245.0
East Asia,1831,78.24731534185601,93.3143584910907,99.54385691547711,99.9650839583833,99.99980084757199,21.75268465814399,6.685641508909299,0.45614308452289265,0.0349160416166967,0.00019915242801005206,6.229498424386406,0.42122704290619595,0.03471688918868665,357761593.0,426650977.0,455133427.0,457059358.0,457218090.0,99457407.0,30568023.0,2085573.0,159643.0,911.0,28482450.0,1925930.0,158732.0
East Asia,1832,78.3220339590418,93.5109356005816,99.56130251594641,99.9663217992348,99.9998055679267,21.677966040958196,6.489064399418396,0.4386974840535913,0.03367820076519479,0.0001944320733002769,6.050366915364805,0.40501928328839654,0.03348376869189451,358375781.0,427875183.0,455559665.0,457412900.0,457566110.0,99191219.0,29691817.0,2007335.0,154100.0,890.0,27684482.0,1853235.0,153211.0
East Asia,1833,78.3967493983217,93.7075154727263,99.5787485448806,99.9675596802645,99.99981028856931,21.603250601678297,6.2924845272737,0.4212514551194033,0.032440319735499656,0.00018971143069279606,5.871233072154297,0.38881113538390366,0.03225060830480686,358992043.0,429102644.0,455988018.0,457768450.0,457916131.0,98924957.0,28814356.0,1928982.0,148550.0,869.0,26885374.0,1780432.0,147681.0
East Asia,1834,78.4715091308004,93.9040689400106,99.596191255861,99.9687972218551,99.9998150065494,21.5284908691996,6.095931059989397,0.40380874413899903,0.0312027781449018,0.00018499345060263295,5.692122315850398,0.37260596599409723,0.031017784694299166,359607461.0,430329481.0,456414485.0,458122008.0,458264152.0,98657539.0,27935518.0,1850514.0,142991.0,848.0,26085004.0,1707523.0,142144.0
East Asia,1835,78.5462265691041,94.1006510261087,99.613637686751,99.97003513603599,99.9998197273448,21.453773430895893,5.899348973891307,0.38636231324899484,0.0299648639640111,0.0001802726552000422,5.512986660642312,0.35639744928498374,0.02978459130881106,360224777.0,431559701.0,456843085.0,458477577.0,458614173.0,98390223.0,27055299.0,1771916.0,137423.0,827.0,25283384.0,1634492.0,136597.0
East Asia,1836,78.6209450021407,94.2972342398534,99.63108431743109,99.9712730666409,99.9998244482154,21.3790549978593,5.702765760146605,0.36891568256891105,0.028726933359095597,0.00017555178459360832,5.333850077577694,0.34018874920981546,0.02855138157450199,360842620.0,432791301.0,457271806.0,458833153.0,458964194.0,98122380.0,26173699.0,1693194.0,131847.0,806.0,24480505.0,1561347.0,131041.0
East Asia,1837,78.6956994169754,94.493794323516,99.6485280976339,99.972510706272,99.99982916685461,21.3043005830246,5.506205676484001,0.35147190236610015,0.0274892937279958,0.00017083314538979266,5.154733774117901,0.32398260863810435,0.027318460582606008,361461152.0,434024172.0,457700637.0,459188738.0,459314216.0,97853848.0,25290829.0,1614363.0,126262.0,785.0,23676465.0,1488101.0,125478.0
East Asia,1838,78.7704198434264,94.69037976545481,99.6659751294381,99.9737486699257,99.9998338878773,21.229580156573604,5.309620234545193,0.33402487056190466,0.02625133007430236,0.0001661121226987916,4.975595363983288,0.3077735404876023,0.026085217951603568,362080838.0,435259481.0,458130601.0,459545331.0,459665236.0,97585162.0,24406519.0,1535399.0,120668.0,764.0,22871120.0,1414730.0,119905.0
East Asia,1839,78.8451762678792,94.88694203306551,99.68341931562131,99.9749863431536,99.9998386066723,21.154823732120803,5.113057966934491,0.31658068437869247,0.025013656846397225,0.0001613933277013757,4.796477282555799,0.29156702753229524,0.02485226351869585,362701215.0,436496065.0,458560676.0,459901934.0,460016258.0,97315786.0,23520936.0,1456325.0,115067.0,742.0,22064611.0,1341258.0,114325.0
East Asia,1840,78.9198945331066,95.08353144982989,99.7008669823101,99.97622436388049,99.9998433280598,21.0801054668934,4.916468550170109,0.299133017689897,0.023775636119509613,0.00015667194020352326,4.617335532480212,0.27535738157038736,0.02361896417930609,363320362.0,437732251.0,458988894.0,460256545.0,460365279.0,97045638.0,22633750.0,1377107.0,109455.0,721.0,21256643.0,1267652.0,108734.0
East Asia,1841,78.9959006562247,95.2795626932194,99.7182403638189,99.97745477318341,99.99984798266131,21.004099343775295,4.720437306780596,0.281759636181107,0.022545226816589548,0.0001520173386921897,4.438677670599489,0.25921440936451745,0.022393209477897358,363711346.0,438684257.0,459120728.0,460314198.0,460417300.0,96706654.0,21733743.0,1297272.0,103802.0,700.0,20436471.0,1193470.0,103102.0
East Asia,1842,79.0718680766146,95.4756119497777,99.7356165882361,99.97868548522621,99.9998526396875,20.928131923385394,4.524388050222299,0.2643834117639017,0.02131451477379187,0.0001473603124964029,4.260004638458398,0.2430688969901098,0.021167154461295468,364099859.0,439633686.0,459249602.0,460368854.0,460466322.0,96367141.0,20833314.0,1217398.0,98146.0,679.0,19615916.0,1119252.0,97468.0
East Asia,1843,79.1478752174216,95.6716269302748,99.7529891019334,99.9799158389543,99.999857294112,20.8521247825784,4.3283730697252025,0.24701089806660548,0.020084161045701876,0.00014270588799547568,4.081362171658597,0.2269267370209036,0.0199414551577064,364488629.0,440583149.0,459378475.0,460423509.0,460515343.0,96027371.0,19932851.0,1137525.0,92491.0,657.0,18795326.0,1045034.0,91834.0
East Asia,1844,79.22384359289009,95.8676600258804,99.77036445868261,99.9811464953261,99.9998619509604,20.77615640710991,4.132339974119603,0.22963554131739272,0.018853504673899124,0.0001380490396059031,3.90270443280221,0.2107820366434936,0.01871545563429322,364878880.0,441534806.0,459509375.0,460480167.0,460566365.0,95688120.0,19032194.0,1057626.0,86833.0,636.0,17974569.0,970793.0,86197.0
East Asia,1845,79.2998517488669,96.0636587482781,99.787736104653,99.9823767934819,99.9998666052079,20.7001482511331,3.936341251721899,0.21226389534699308,0.017623206518095458,0.00013339479210117133,3.724077356374906,0.19464068882889762,0.017489811725994286,365268598.0,442485543.0,459639276.0,460535824.0,460616385.0,95348402.0,18131457.0,977724.0,81175.0,614.0,17153733.0,896548.0,80561.0
East Asia,1846,79.37582490562801,96.2596508748997,99.8051070417137,99.9836070572229,99.9998712592916,20.624175094371992,3.7403491251002947,0.19489295828630304,0.01639294277710235,0.00012874070840496188,3.5454561668139917,0.1785000155092007,0.016264202068697386,365657438.0,443435484.0,459768195.0,460590484.0,460665407.0,95008563.0,17230517.0,897806.0,75517.0,593.0,16332711.0,822289.0,74924.0
East Asia,1847,79.4518340775207,96.4556332954304,99.8224778197324,99.9848372998345,99.9998759133624,20.5481659224793,3.5443667045695975,0.17752218026760147,0.015162700165504361,0.00012408663759799765,3.366844524301996,0.1623594801020971,0.015038613527906364,366048106.0,444387500.0,459899125.0,460647142.0,460716428.0,94668893.0,16329500.0,817875.0,69857.0,572.0,15511625.0,748018.0,69285.0
East Asia,1848,79.5278043590004,96.65163403468921,99.83985144108159,99.9860678448966,99.9998805698554,20.4721956409996,3.3483659653107907,0.16014855891840796,0.013932155103404398,0.00011943014459347978,3.1882174063923827,0.14621640381500356,0.013812724958810918,366437083.0,445337868.0,460028090.0,460701805.0,460765450.0,94328917.0,15428132.0,737910.0,64195.0,550.0,14690222.0,673715.0,63644.0
East Asia,1849,79.60381454102941,96.84760020671649,99.8572213515426,99.9872980319408,99.9998852237492,20.396185458970592,3.1523997932835073,0.1427786484573943,0.012701968059204205,0.00011477625079692189,3.009621144826113,0.1300766803981901,0.012587191808407283,366827114.0,446289237.0,460158053.0,460757467.0,460815471.0,93988886.0,14526763.0,657947.0,58533.0,529.0,13868816.0,599414.0,58004.0
East Asia,1850,79.6798252424387,97.043558231491,99.8745908282348,99.988528191227,99.9998898775548,20.320174757561304,2.956441768508995,0.12540917176519883,0.011471808772995473,0.00011012244519292835,2.831032596743796,0.11393736299220336,0.011361686327802545,367218020.0,447241735.0,460289030.0,460814130.0,460866492.0,93648980.0,13625264.0,577969.0,52870.0,508.0,13047295.0,525100.0,52362.0
East Asia,1851,79.6792912464024,96.8817551436289,99.863807242692,99.9878735002334,99.9998861031892,20.3207087535976,3.1182448563711063,0.1361927573079953,0.012126499766594634,0.0001138968108023164,2.982052099063111,0.12406625754140066,0.012012602955792318,364427581.0,443106146.0,456745098.0,457312538.0,457367479.0,92940419.0,14261854.0,622902.0,55463.0,521.0,13638952.0,567439.0,54942.0
East Asia,1852,79.6789690985065,96.719999622711,99.852986850954,99.9872135034528,99.99988225857301,20.3210309014935,3.2800003772889994,0.14701314904600338,0.012786496547207093,0.00011774142699039203,3.132987228242996,0.13422665249879628,0.012668755120216701,361665231.0,439014980.0,453235703.0,453844962.0,453902465.0,92237769.0,14888020.0,667297.0,58038.0,534.0,14220723.0,609259.0,57504.0
East Asia,1853,79.6787798776188,96.55827826397811,99.8421293482099,99.986548064388,99.9998783444664,20.321220122381206,3.44172173602189,0.1578706517901054,0.013451935611996646,0.00012165553360432568,3.2838510842317845,0.14441871617810875,0.01333028007839232,358929797.0,434967042.0,449759839.0,450410404.0,450470453.0,91541204.0,15503958.0,711162.0,60597.0,548.0,14792797.0,650564.0,60049.0
East Asia,1854,79.6788515746364,96.396577757988,99.8312386886462,99.98587679162439,99.99987435510491,20.321148425363603,3.6034222420120017,0.1687613113538049,0.014123208375607987,0.00012564489509259147,3.4346609306581968,0.1546381029781969,0.013997563480515396,356220242.0,430960181.0,446315519.0,447006860.0,447069439.0,90849758.0,16109820.0,754481.0,63141.0,562.0,15355339.0,691341.0,62579.0
East Asia,1855,79.6790962559716,96.2348867195404,99.8203140029823,99.9851995708672,99.9998702914094,20.3209037440284,3.7651132804596017,0.1796859970176996,0.014800429132804993,0.0001297085906060147,3.585427283441902,0.1648855678848946,0.014670720542198978,353536947.0,426995155.0,442903732.0,443635331.0,443700425.0,90164053.0,16705845.0,797269.0,65670.0,576.0,15908577.0,731599.0,65094.0
East Asia,1856,79.67948308964459,96.0732640745452,99.80936184290769,99.9845170444043,99.9998661569808,20.32051691035541,3.926735925454807,0.1906381570923088,0.015482955595700787,0.00013384301919927566,3.736097768362498,0.17515520149660802,0.015349112576501511,350878962.0,423071108.0,439523500.0,440294819.0,440362410.0,89484038.0,17291892.0,839500.0,68181.0,589.0,16452392.0,771319.0,67592.0
East Asia,1857,79.6801689499298,95.9116430628074,99.7983722471254,99.9838281164462,99.9998619413893,20.319831050070206,4.0883569371926,0.20162775287460022,0.016171883553795396,0.0001380586107018189,3.886729184318,0.18545586932080482,0.016033824943093578,348248553.0,419189509.0,436176770.0,436987320.0,437057397.0,88809447.0,17868491.0,881230.0,70681.0,603.0,16987261.0,810550.0,70077.0
East Asia,1858,79.6809535439817,95.7500854447634,99.7873542214409,99.9831337280763,99.99985765424229,20.3190464560183,4.2499145552366,0.21264577855909295,0.01686627192370338,0.00014234575770899482,4.037268776677507,0.19577950663538957,0.016723926165994385,345640837.0,415345678.0,432858583.0,433707837.0,433780382.0,88140163.0,18435322.0,922417.0,73163.0,617.0,17512905.0,849254.0,72545.0
East Asia,1859,79.6820478327713,95.5885291621961,99.7762974095848,99.9824327099906,99.99985328305941,20.317952167228697,4.411470837803904,0.22370259041520058,0.01756729000939572,0.00014671694059131823,4.1877682473887035,0.20613530040580486,0.0174205730688044,343060698.0,411543985.0,429573877.0,430461366.0,430536368.0,87476302.0,18993014.0,963122.0,75634.0,632.0,18029892.0,887489.0,75002.0
East Asia,1860,79.6832396104682,95.42703891977091,99.7652115822131,99.98172610527149,99.9998488385711,20.316760389531794,4.572961080229092,0.23478841778690196,0.01827389472850882,0.00015116142890292394,4.33817266244219,0.21651452305839314,0.018122733299605898,340504013.0,407780731.0,426318697.0,427243911.0,427321354.0,86817987.0,19541269.0,1003303.0,78088.0,646.0,18537966.0,925214.0,77442.0
East Asia,1861,79.6777565368762,95.2686017786648,99.75454176443421,99.98106321582499,99.9998447854612,20.322243463123797,4.731398221335198,0.24545823556579194,0.018936784175011212,0.00015521453879330238,4.485939985769406,0.22652145139078073,0.01878156963621791,339049570.0,405392670.0,424481511.0,425445419.0,425525339.0,86476430.0,20133330.0,1044489.0,80581.0,660.0,19088841.0,963908.0,79920.0
East Asia,1862,79.6724414476901,95.1102008579113,99.74384850525469,99.9803960119425,99.99984067522139,20.327558552309895,4.889799142088705,0.2561514947453105,0.01960398805749719,0.00015932477860758354,4.633647647343395,0.23654750668781332,0.019444663278889607,337604003.0,403019965.0,422654583.0,423656930.0,423739324.0,86135997.0,20720035.0,1085416.0,83070.0,675.0,19634619.0,1002346.0,82395.0
East Asia,1863,79.6671584209285,94.9518447616398,99.73313459164301,99.9797248219993,99.9998365129916,20.3328415790715,5.048155238360195,0.2668654083569919,0.020275178000702,0.00016348700839330377,4.781289830003203,0.2465902303562899,0.020111690992308695,336166728.0,400662602.0,420837924.0,421878446.0,421963310.0,85797272.0,21301398.0,1126076.0,85554.0,690.0,20175322.0,1040522.0,84864.0
East Asia,1864,79.6619915410837,94.79355914509439,99.72240150165051,99.9790497507334,99.9998322970481,20.338008458916306,5.206440854905608,0.2775984983494908,0.020950249266604715,0.0001677029518987183,4.9288423565561175,0.2566482490828861,0.020782546314705996,334739688.0,398322535.0,419033531.0,420111966.0,420199295.0,85460311.0,21877464.0,1166469.0,88033.0,705.0,20710996.0,1078436.0,87328.0
East Asia,1865,79.6569038088835,94.6352891670426,99.71164311856569,99.9783701491489,99.9998280240011,20.3430961911165,5.3647108329574,0.2883568814343107,0.02162985085109881,0.0001719759988958458,5.076353951523089,0.2667270305832119,0.021457874852202963,333319535.0,395995690.0,417237388.0,418353492.0,418443281.0,85124466.0,22448311.0,1206612.0,90509.0,720.0,21241699.0,1116103.0,89789.0
East Asia,1866,79.6518923862154,94.4770769246858,99.7008642173717,99.9776865079671,99.9998236967355,20.348107613784606,5.522923075314196,0.2991357826282979,0.022313492032893123,0.00017630326449591394,5.223787292685898,0.27682229059540475,0.02213718876839721,331908639.0,393685035.0,415452504.0,416606020.0,416698265.0,84790361.0,23013965.0,1246496.0,92980.0,735.0,21767469.0,1153516.0,92245.0
