Entity,Year,below 1.25$ a day (World Bank (2017)),1.25 - 1.9$ a day (World Bank (2017)),1.9 - 3.10$ a day (World Bank (2017)),3.10 - 10$ a day (World Bank (2017)),above 10$ a day (World Bank (2017))
Austria,2012,0.0286620,0.0000000,0.0000000,0.0598530,8.3414850
Austria,2013,0.0212000,0.0000000,0.0186560,0.0610560,8.3790884
Azerbaijan,1981,0.0275000,0.0043750,0.0581250,1.4712499,4.6887503
Azerbaijan,1984,0.0288640,0.0045920,0.0820000,1.7816961,4.6628480
Azerbaijan,1987,0.0310050,0.0055120,0.1061060,2.1296992,4.6176777
Azerbaijan,1990,0.0322200,0.0150360,0.1317440,2.4666202,4.5143800
Azerbaijan,1993,0.0847500,0.1582500,0.5460000,4.8674998,1.8435001
Azerbaijan,1996,0.1808080,0.3437679,1.3556721,5.0812478,0.7985041
Azerbaijan,1999,0.0742140,0.2553600,1.1690700,5.3681459,1.1132102
Azerbaijan,2002,0.0000000,0.0000000,0.0196080,6.8472772,1.3031148
Azerbaijan,2005,0.0000000,0.0000000,0.0000000,6.8386893,1.5513107
Azerbaijan,2008,0.0157680,0.0271560,0.1769520,5.2717686,3.2683556
Azerbaijan,2010,0.0199100,0.0407250,0.2850750,6.1060352,2.5982549
Azerbaijan,2011,0.0165060,0.0174230,0.1513050,5.0682588,3.9165072
Azerbaijan,2012,0.0167400,0.0176700,0.1534500,5.0815201,4.0306201
Azerbaijan,2013,0.0169560,0.0178980,0.1554300,5.0886841,4.1410322
Bangladesh,1981,7.8529363,21.5411570,36.6191290,17.4305040,0.2762744
Bangladesh,1984,8.2382841,24.2521290,39.1318470,18.7266770,0.3810620
Bangladesh,1987,10.2371940,28.4497640,39.2179950,19.6974950,0.7375525
Bangladesh,1990,13.1038470,30.9012910,41.3079030,20.2398220,0.6371359
Bangladesh,1993,10.9947900,32.6887510,43.4334030,25.5597530,1.0233033
Bangladesh,1996,10.2230610,33.6160430,45.4156190,29.7717900,2.2434878
Bangladesh,1999,10.6191690,35.5219570,46.8378910,33.6897350,2.3612454
Bangladesh,2002,8.9473000,35.7618830,49.8590010,39.2178570,2.8139586
Bangladesh,2005,4.9339924,30.2207010,55.1488340,49.3112340,3.8152387
Bangladesh,2008,3.6904881,26.2352030,57.2472080,57.5299530,4.1071496
Bangladesh,2010,3.3016551,24.8765260,58.2430230,61.6359560,4.0928407
Bangladesh,2011,2.4009960,21.1472340,57.0390430,68.7054370,4.6172905
Bangladesh,2012,2.0400629,19.2793730,57.0750500,72.2120060,5.1235089
Bangladesh,2013,1.4496441,16.9702890,56.0949210,77.2092970,5.8458486
Belarus,1981,0.0048550,0.0019420,0.0097100,1.5516580,8.1418352
Belarus,1984,0.0059460,0.0039640,0.0168470,2.9670541,6.9161887
Belarus,1987,0.0070770,0.0070770,0.0363960,4.7951732,5.2642770
Belarus,1990,0.0061140,0.0091710,0.0805010,7.1666269,2.9275870
Belarus,1993,0.0010240,0.0081920,0.2672640,8.8033276,1.1601927
Belarus,1996,0.0325120,0.0314960,0.1595120,5.1287680,4.8077121
Belarus,1999,0.3099270,0.7181480,2.1424081,6.3088698,0.5506470
Belarus,2002,0.0414540,0.1589070,0.7876260,7.2268138,1.6551992
Belarus,2005,0.0067620,0.0289800,0.1787100,5.4772205,3.9683278
Belarus,2008,0.0000000,0.0000000,0.0447910,3.1239340,6.3612752
Belarus,2010,0.0000000,0.0000000,0.0161330,2.4208989,7.0529680
Belarus,2011,0.0000000,0.0000000,0.0037880,2.0549901,7.4112220
Belarus,2012,0.0000000,0.0000000,0.0066220,1.3716999,8.0816784
Belarus,2013,0.0000000,0.0000000,0.0000000,0.9110140,8.5589857
Belgium,1981,0.0049300,0.0069020,0.0049300,0.2810100,9.5622282
Belgium,1984,0.0049300,0.0069020,0.0039440,0.2603040,9.5839195
Belgium,1987,0.0049350,0.0049350,0.0039480,0.1816080,9.6745739
Belgium,1990,0.0049850,0.0000000,0.0089730,0.1505470,9.8054953
Belgium,1993,0.0040320,0.0010080,0.0090720,0.1139040,9.9519844
Belgium,1996,0.0020320,0.0030480,0.0091440,0.0985520,10.0472240
Belgium,1999,0.0020460,0.0030690,0.0081840,0.0808170,10.1358840
Belgium,2002,0.0020660,0.0030990,0.0082640,0.0702440,10.2463270
Belgium,2005,0.0157200,0.0041920,0.0146720,0.0733600,10.3720560
Belgium,2008,0.0085680,0.0042840,0.0021420,0.0556920,10.6393140
Belgium,2010,0.0141700,0.0010900,0.0065400,0.1090000,10.7692000
Belgium,2011,0.0121550,0.0066300,0.0121550,0.1060800,10.9129800
Belgium,2012,0.0155820,0.0022260,0.0033390,0.0912660,11.0175870
Belgium,2013,0.0000000,0.0279500,0.0000000,0.0749060,11.0771440
Belize,1981,0.0134250,0.0082050,0.0260100,0.0750000,0.0273600
Belize,1984,0.0161440,0.0185920,0.0316640,0.0710720,0.0225280
Belize,1987,0.0171020,0.0179860,0.0345270,0.0758030,0.0245820
Belize,1990,0.0156940,0.0100510,0.0322050,0.0941070,0.0379430
Belize,1993,0.0137400,0.0064400,0.0284200,0.0998600,0.0515400
Belize,1996,0.0147840,0.0118230,0.0333690,0.1057140,0.0443100
Belize,1999,0.0196320,0.0137760,0.0318720,0.1194720,0.0552480
Belize,2002,0.0185120,0.0134680,0.0264940,0.1302600,0.0712660
Belize,2005,0.0206640,0.0145880,0.0333760,0.1405880,0.0707840
Belize,2008,0.0255750,0.0191890,0.0427490,0.1541320,0.0683550
Belize,2010,0.0252800,0.0192640,0.0385280,0.1613760,0.0755520
Belize,2011,0.0260700,0.0190080,0.0362010,0.1693560,0.0793650
Belize,2012,0.0250920,0.0213520,0.0368900,0.1708840,0.0857820
Belize,2013,0.0250240,0.0177820,0.0347820,0.1751000,0.0873120
Benin,1981,1.1731220,1.0237600,0.9225302,0.6536017,0.0469862
Benin,1984,1.3582400,1.0957440,0.9963200,0.6610241,0.0486719
Benin,1987,1.5072800,1.1917499,1.0841520,0.7041543,0.0526638
Benin,1990,1.6663080,1.3092421,1.1797619,0.7669196,0.0577683
Benin,1993,1.7636400,1.4639038,1.3214884,0.9058318,0.0651360
Benin,1996,1.8434430,1.6461271,1.4713440,1.0529609,0.0761250
Benin,1999,1.7935381,1.7768877,1.7402585,1.2547441,0.0945717
Benin,2002,1.6439600,1.9396100,2.0585999,1.5395699,0.1182602
Benin,2005,1.9399381,2.0851741,2.1346498,1.6742043,0.1460338
Benin,2008,2.1010501,2.2254598,2.2193699,1.9401002,0.2140200
Benin,2010,2.4637601,2.3450801,2.1702795,1.9825997,0.2382805
Benin,2011,2.6128519,2.4056780,2.1559343,2.0301161,0.2554197
Benin,2012,2.6922910,2.4120672,2.2388730,2.1104364,0.2763324
Benin,2013,2.7670000,2.3799999,2.3729997,2.1850004,0.2950001
Bhutan,1981,0.2550240,0.0711900,0.0536340,0.0361200,0.0040320
Bhutan,1984,0.2523150,0.0797850,0.0663750,0.0454950,0.0060300
Bhutan,1987,0.1960500,0.1086500,0.0958000,0.0862000,0.0133000
Bhutan,1990,0.1716120,0.1187460,0.1144800,0.1165860,0.0185760
Bhutan,1993,0.1403480,0.1151280,0.1147640,0.1290640,0.0206960
Bhutan,1996,0.0976040,0.1062880,0.1305200,0.1589640,0.0266240
Bhutan,1999,0.0771120,0.1099280,0.1432480,0.1959440,0.0337680
Bhutan,2002,0.1277950,0.1242570,0.1489010,0.1798280,0.0292190
Bhutan,2005,0.0331320,0.0881100,0.1623600,0.3167340,0.0596640
Bhutan,2008,0.0163800,0.0608300,0.1527400,0.3943100,0.0757400
Bhutan,2010,0.0058400,0.0289810,0.1108870,0.4513590,0.1329330
Bhutan,2011,0.0036260,0.0191660,0.0890220,0.4668660,0.1613200
Bhutan,2012,0.0022500,0.0140250,0.0837000,0.4824750,0.1675500
Bhutan,2013,0.0001520,0.0021280,0.0171000,0.3898040,0.3508160
Bolivia,1981,0.0057100,0.3568750,0.8570710,3.1530619,1.3372822
Bolivia,1984,0.0706440,0.5614980,1.0499160,3.3099151,1.0980271
Bolivia,1987,0.0355300,0.5310121,1.0581480,3.5452480,1.2900620
Bolivia,1990,0.0370440,0.5625200,1.1229820,3.7654538,1.3720001
Bolivia,1993,0.4296570,0.4732770,1.0570581,3.6633534,1.6466546
Bolivia,1996,0.9264000,0.4855880,1.0298481,3.4593318,1.8188322
Bolivia,1999,1.6147320,0.4548080,0.9922340,3.1722038,1.9460222
Bolivia,2002,1.5206699,0.6357751,1.0310800,3.6373246,1.8251504
Bolivia,2005,1.3183720,0.5423219,1.0828180,3.8966837,2.2898045
Bolivia,2008,0.7632000,0.3801600,0.8467201,4.5321598,3.0777597
Bolivia,2010,0.6666240,0.3392640,0.6934080,4.3707519,3.8499522
Bolivia,2011,0.4989600,0.3034080,0.6723360,4.3495197,4.2557764
Bolivia,2012,0.6410240,0.2877440,0.6860800,4.1523199,4.4728317
Bolivia,2013,0.5200000,0.2808000,0.5876000,4.1766396,4.8349605
Bosnia and Herzegovina,1981,0.1426360,0.4447880,1.4588540,2.1057801,0.0679419
Bosnia and Herzegovina,1984,0.0595950,0.2823150,1.1240400,2.7465901,0.1374598
Bosnia and Herzegovina,1987,0.0344960,0.1500800,0.7674240,3.2860799,0.2419200
Bosnia and Herzegovina,1990,0.0280980,0.0539660,0.4798960,3.4672039,0.4308362
Bosnia and Herzegovina,1993,0.0134970,0.0224950,0.2580790,3.0687270,0.7272020
Bosnia and Herzegovina,1996,0.0113400,0.0132300,0.1126440,2.5552800,1.0875061
Bosnia and Herzegovina,1999,0.0097760,0.0037600,0.0409840,2.1240242,1.5814559
Bosnia and Herzegovina,2002,0.0064260,0.0060480,0.0230580,1.3740300,2.3704381
Bosnia and Herzegovina,2005,0.0015120,0.0034020,0.0166320,0.8308440,2.9276099
Bosnia and Herzegovina,2008,0.0003760,0.0018800,0.0120320,0.6455920,3.1001201
Bosnia and Herzegovina,2010,0.0011160,0.0014880,0.0137640,0.7376760,2.9659560
Bosnia and Herzegovina,2011,0.0011070,0.0014760,0.0140220,0.7457489,2.9276462
Bosnia and Herzegovina,2012,0.0010950,0.0014600,0.0135050,0.7274450,2.9064951
Bosnia and Herzegovina,2013,0.0010800,0.0014400,0.0118800,0.7027200,2.8828800
Botswana,1981,0.3852160,0.1776320,0.1944801,0.2376400,0.0450319
Botswana,1984,0.3313150,0.1881400,0.2278150,0.3295900,0.0731400
Botswana,1987,0.3114720,0.1975680,0.2516220,0.4004281,0.0989100
Botswana,1990,0.2638560,0.2003760,0.2719980,0.4976280,0.1461420
Botswana,1993,0.2974040,0.2194770,0.2951691,0.5264170,0.1515330
Botswana,1996,0.2942400,0.2297600,0.3030400,0.5598400,0.2131200
Botswana,1999,0.2703000,0.2237200,0.3258900,0.5832700,0.2968200
Botswana,2002,0.2974380,0.2394100,0.3374880,0.5601660,0.3454980
Botswana,2005,0.2323140,0.2382660,0.3545160,0.6469080,0.3879960
Botswana,2008,0.1365000,0.1967550,0.3322800,0.8008649,0.4836001
Botswana,2010,0.1328610,0.2096430,0.3398911,0.8427931,0.4848119
Botswana,2011,0.1275100,0.1920850,0.3411200,0.8751450,0.5141401
Botswana,2012,0.1243550,0.1847560,0.3435960,0.9009990,0.5362940
Botswana,2013,0.0990450,0.1633710,0.3097020,0.9452941,0.6125879
Brazil,1981,16.4587800,13.7549270,21.2339360,49.5871930,22.9951650
Brazil,1984,21.3808000,18.3131200,24.8070410,47.9275210,20.3715170
Brazil,1987,13.7455710,11.8666800,20.9079590,57.5675280,37.1822620
Brazil,1990,16.8914850,13.8148750,22.7460060,59.0231130,36.8745190
Brazil,1993,17.3785780,13.9217190,23.4437940,66.5288390,35.8570670
Brazil,1996,12.9454360,10.4223110,20.4488430,66.7390750,54.3543360
Brazil,1999,11.6094710,11.4712650,21.1630990,74.6841430,53.8320200
Brazil,2002,10.7189250,11.4575390,21.9062420,77.5725860,58.4947050
Brazil,2005,8.9908514,8.8600092,21.7574880,82.5625610,64.7490920
Brazil,2008,6.7350016,5.4034405,15.2840170,80.1831970,85.3743520
Brazil,2010,7.0257602,4.2705598,12.7526400,78.3854450,94.3656010
Brazil,2011,7.2521849,3.6757650,11.6631030,77.5884400,98.5105060
Brazil,2012,6.0167999,3.1889038,9.4062634,74.7888260,107.1592000
Brazil,2013,6.6795301,3.1778374,8.4809790,72.5235060,111.5481500
Bulgaria,1981,0.0035560,0.0017780,0.0053340,0.8169910,8.0623407
Bulgaria,1984,0.0035840,0.0008960,0.0044800,0.4704000,8.4806404
Bulgaria,1987,0.0035880,0.0008970,0.0035880,0.3256110,8.6363163
Bulgaria,1990,0.0043600,0.0017440,0.0043600,0.2868880,8.4226484
Bulgaria,1993,0.0110110,0.0050820,0.0177870,1.9218431,6.5142770
Bulgaria,1996,0.0133760,0.0392920,0.1170400,4.8697004,3.3205917
Bulgaria,1999,0.0517230,0.1444960,0.4228150,5.9292622,1.6617041
Bulgaria,2002,0.0203840,0.0784000,0.3206560,4.6177602,2.8027999
Bulgaria,2005,0.0068940,0.0467260,0.1792440,4.0575023,3.3696339
Bulgaria,2008,0.0337050,0.0546770,0.1228360,1.9159421,5.3628397
Bulgaria,2010,0.0503200,0.0925000,0.1383800,2.0061400,5.1126599
Bulgaria,2011,0.0801150,0.0808500,0.1815450,2.0491800,4.9583101
Bulgaria,2012,0.0592110,0.0891820,0.1951770,2.0124428,4.9539871
Bulgaria,2013,0.0530710,0.0719730,0.2202810,1.5943109,5.3303642
Burkina Faso,1981,5.2075500,0.7772880,0.5522099,0.4110122,0.0419400
Burkina Faso,1984,5.6038260,0.8395948,0.5978823,0.4435172,0.0451796
Burkina Faso,1987,5.8135881,1.0191278,0.7187619,0.5323558,0.0561663
Burkina Faso,1990,6.3114843,1.1021304,0.7673516,0.5700064,0.0590273
Burkina Faso,1993,6.7050548,1.2224002,0.8900604,0.6646795,0.0678051
Burkina Faso,1996,7.0007873,1.5109086,0.9789276,0.7694550,0.1099216
Burkina Faso,1999,6.2592721,2.3270640,1.3750315,1.1358967,0.1827357
Burkina Faso,2002,5.4899430,2.5833583,2.2318640,1.8017130,0.1831217
Burkina Faso,2005,4.4795957,3.1188087,3.1027036,2.5041723,0.2147197
Burkina Faso,2008,4.1748981,3.8164625,3.6534023,2.7837553,0.2614817
Burkina Faso,2010,3.7651320,4.3239698,4.1069918,3.1391706,0.2747358
Burkina Faso,2011,3.2674561,4.5956640,4.4557676,3.4700642,0.2910481
Burkina Faso,2012,2.7688470,4.7903872,4.8715796,3.8276701,0.3115161
Burkina Faso,2013,2.5741560,5.1551399,5.1227069,3.9090290,0.3089679
Burundi,1981,2.6337020,0.9368398,0.4608240,0.1886339,0.0000002
Burundi,1984,3.0084310,0.9405060,0.4428330,0.1782303,-0.0000002
Burundi,1987,2.9151580,1.1941068,0.6212554,0.2594795,0.0000002
Burundi,1990,3.1110799,1.3192279,0.6964703,0.2932220,-0.0000001
Burundi,1993,3.3789122,1.3536417,0.7299051,0.3023481,0.0051928
Burundi,1996,3.8631840,1.2243080,0.6613798,0.2742162,0.0169120
Burundi,1999,4.0575080,1.2101560,0.6939402,0.2920198,0.0263760
Burundi,2002,3.9799700,1.4726901,0.8478923,0.4131618,0.0262859
Burundi,2005,4.2093663,1.7058578,0.9876018,0.4941721,0.0230021
Burundi,2008,4.2224030,2.0286908,1.2397103,0.6863561,0.0328397
Burundi,2010,4.5051489,2.1398802,1.3233929,0.7629900,0.0385881
Burundi,2011,4.5923200,2.2184162,1.3722720,0.8154078,0.0415841
Burundi,2012,4.6805038,2.3020401,1.4157076,0.8779440,0.0438045
Burundi,2013,4.7414398,2.3683200,1.4985604,0.9398394,0.0518404
Cameroon,1981,0.8240640,1.6330318,2.6737678,3.1834798,0.5656565
Cameroon,1984,0.5999840,1.2700961,3.1284881,3.8940520,0.8473799
Cameroon,1987,0.6045500,1.3332200,3.3726401,4.3976998,0.9918901
Cameroon,1990,1.3876480,2.5690241,3.5195158,3.6296844,0.6141279
Cameroon,1993,2.7204320,3.6621196,2.9590449,2.9194880,0.4989154
Cameroon,1996,2.7288561,3.9109921,3.3406386,3.2577791,0.5717340
Cameroon,1999,1.5708950,2.9899123,4.2689629,5.2963734,0.7638565
Cameroon,2002,1.2880080,2.5374241,4.3898401,6.8404322,1.0242959
Cameroon,2005,1.7820661,2.9108818,4.4943604,7.1334906,1.0992011
Cameroon,2008,2.3788779,3.2336099,4.6253862,7.4637766,1.2083493
Cameroon,2010,2.4283521,3.2890589,4.5431757,8.1677294,1.5416839
Cameroon,2011,2.8912680,3.3262923,4.6498322,8.1895304,1.4630771
Cameroon,2012,2.7930999,3.3116684,4.6312757,8.6322594,1.7116967
Cameroon,2013,2.5190580,3.2489998,4.4403000,9.3592863,2.0923560
Canada,1981,0.0821700,0.0846600,0.0000000,0.6698099,24.0633600
Canada,1984,0.0436900,0.0848100,0.0000000,0.6476401,24.9238610
Canada,1987,0.0000000,0.0902700,0.0000000,0.5336550,25.9260750
Canada,1990,0.0000000,0.0722540,0.0250110,0.4668720,27.2258630
Canada,1993,0.0000000,0.0980220,0.0000000,0.4814610,28.2505170
Canada,1996,0.0652740,0.0326370,0.0682410,0.4925220,29.0113260
Canada,1999,0.1037000,0.0000000,0.0488000,0.5612000,29.7863010
Canada,2002,0.1066240,0.0000000,0.0000000,0.5770240,30.6763520
Canada,2005,0.0710820,0.0355410,0.0000000,0.5104980,31.6928790
Canada,2008,0.0000000,0.1130500,0.0000000,0.3325000,32.8044510
Canada,2010,0.0000000,0.1190350,0.0000000,0.3401000,33.5508650
Canada,2011,0.0377740,0.0824160,0.0377740,0.3811740,33.8008610
Canada,2012,0.0764500,0.0417000,0.0799250,0.4239500,34.1279750
Canada,2013,0.1160280,0.0000000,0.1230600,0.4676280,34.4532850
Cape Verde,1981,0.1360100,0.0547230,0.0491840,0.0421080,0.0079750
Cape Verde,1984,0.1302310,0.0611010,0.0560170,0.0527620,0.0098890
Cape Verde,1987,0.1191040,0.0619840,0.0649600,0.0614720,0.0124800
Cape Verde,1990,0.1147840,0.0671160,0.0715700,0.0718420,0.0146880
Cape Verde,1993,0.1054130,0.0725940,0.0796980,0.0920560,0.0202390
Cape Verde,1996,0.0618400,0.0663200,0.0907200,0.1434000,0.0377200
Cape Verde,1999,0.0362920,0.0542230,0.0915470,0.1893290,0.0586090
Cape Verde,2002,0.0242100,0.0465300,0.0889650,0.2159100,0.0743850
Cape Verde,2005,0.0160740,0.0387750,0.0875610,0.2402640,0.0873260
Cape Verde,2008,0.0083300,0.0266560,0.0803110,0.2636200,0.1110830
Cape Verde,2010,0.0091000,0.0295500,0.0838000,0.2685500,0.1090000
Cape Verde,2011,0.0085680,0.0267750,0.0828750,0.2756040,0.1161780
Cape Verde,2012,0.0085680,0.0272340,0.0824670,0.2755530,0.1161780
Cape Verde,2013,0.0088400,0.0281320,0.0851760,0.2798120,0.1180400
Central African Republic,1981,1.5984700,0.2601450,0.2237201,0.2284200,0.0392450
Central African Republic,1984,1.7550530,0.2829568,0.2428651,0.2469771,0.0421479
Central African Republic,1987,1.9228920,0.2964240,0.2503321,0.2492278,0.0411241
Central African Republic,1990,2.0897520,0.3066421,0.2551920,0.2487240,0.0396900
Central African Republic,1993,2.3322120,0.3208621,0.2604420,0.2350020,0.0314819
Central African Republic,1996,2.2139840,0.4564881,0.3993840,0.3360879,0.0340559
Central African Republic,1999,1.9448801,0.6178719,0.5733440,0.5015841,0.0423199
Central African Republic,2002,1.7141440,0.7722251,0.7475917,0.6318560,0.0441832
Central African Republic,2005,1.8919530,0.8070021,0.7388570,0.6273468,0.0648412
Central African Republic,2008,2.0253601,0.8569498,0.6964352,0.6498902,0.1213647
Central African Republic,2010,2.0211899,0.8810999,0.7369201,0.6777351,0.1330549
Central African Republic,2011,1.9613440,0.9071999,0.7678721,0.7082882,0.1352959
Central African Republic,2012,1.8943310,0.9119191,0.7915869,0.7502790,0.1418841
Central African Republic,2013,2.8943999,0.6759000,0.4707000,0.3937502,0.0652499
Chad,1981,2.7383399,0.9275320,0.6283433,0.3047209,0.0110639
Chad,1984,2.5532100,1.0687051,0.8419950,0.4618349,0.0242550
Chad,1987,2.6806550,1.1544938,0.9916530,0.5534430,0.0297553
Chad,1990,2.7958360,1.2688837,1.1693521,0.6871882,0.0387401
Chad,1993,3.4256320,1.4058080,1.1020799,0.5969605,0.0295196
Chad,1996,3.6677842,1.5464640,1.2872720,0.7001081,0.0383718
