Entity,Year,Share of people who disagree vaccines are important for children to have,Share of people who agree vaccines are safe,Share of people who disagree vaccines are safe,Share of people who agree vaccines are effective,Share of people who disagree vaccines are effective,Share of people who agree vaccines are important for children to have
Chile,2018,3.98514653,74.19019875,11.37743281,77.73035681,6.457683704,88.91722899
China,2018,1.868376767,72.29322724,8.290823545,78.84430858,2.833015078,90.28046099
Colombia,2018,0.582169118,81.94123131,10.70378513,81.89031228,7.951823432,98.87762287
Comoros,2018,1.308382738,89.2524814,7.505970773,93.11858028,2.558275957,98.12308712
Congo,2018,2.207636832,75.14630293,17.50763411,91.48989263,3.431957516,96.17708656
Costa Rica,2018,1.037113384,86.36932242,5.810229365,86.75535083,5.342327278,97.91496029
Cote d'Ivoire,2018,1.484182932,76.95228843,16.35067072,87.80202892,7.825140704,96.74763536
Croatia,2018,4.352767471,56.77457914,6.794648185,65.43009934,3.972600637,77.67208662
Cyprus,2018,6.016327191,62.19919645,9.859631777,70.76774244,6.188590336,85.23998814
Czech Republic,2018,2.981318636,64.04283544,6.603516208,76.39963792,3.086702344,81.38594528
Denmark,2018,2.36310731,69.7737173,8.979714929,85.26314262,4.085631741,92.37400934
Dominican Republic,2018,0.12714161,89.44088705,4.905058752,91.57457995,2.761394869,99.4468944
Ecuador,2018,0.895799755,85.87054365,5.392728845,86.18514637,5.772119139,98.1566526
Egypt,2018,0.309066032,97.1536923,0.588238907,96.04877244,0.599805509,99.41408505
El Salvador,2018,0.827741254,77.96172392,11.38611622,82.106565,8.155796274,96.41792479
Estonia,2018,5.720150799,50.21347153,13.48992364,61.8998173,6.580439926,77.49983822
Ethiopia,2018,0.14044208,96.12753998,2.54309192,97.06544075,1.943768403,99.67081396
Finland,2018,1.680263603,72.84051343,7.991680632,83.40066361,4.230976916,93.88415206
France,2018,9.758586958,47.03626005,33.29384552,67.9628897,18.27989793,76.15425916
Gabon,2018,2.645818692,62.64785775,25.85800036,79.14494466,11.6396426,95.29926592
Gambia,2018,2.818174006,87.50210734,4.782896295,87.22423468,5.213783925,92.74473434
Georgia,2018,3.634566646,69.49966185,9.573974821,77.59259553,5.148996766,89.91528431
Germany,2018,4.291943979,67.15740011,12.87886921,83.00843987,3.21214016,88.76598762
Ghana,2018,2.763845301,87.18449314,3.492985667,88.1140543,5.966645583,95.39723777
Greece,2018,1.679683227,78.51626394,3.587050176,84.70523902,2.464642189,94.14578654
Guatemala,2018,0.842762166,87.26356488,7.285190797,86.70960649,7.372393618,97.91416321
Guinea,2018,3.588067094,78.28265399,14.05135618,86.72317424,7.321238014,91.28956166
Haiti,2018,1.717215017,71.62930719,20.39307286,84.26116016,10.22286769,97.9966925
Honduras,2018,0.262917427,89.17671285,5.889666745,89.09822901,4.654412512,98.89187268
Hungary,2018,1.274012043,76.69854953,2.632851949,78.28436887,1.346355494,90.43864089
Iceland,2018,0.881542112,60.67672771,21.26700693,96.83309818,1.201608509,98.47210776
India,2018,1.352926787,95.44130778,1.995294987,94.76563158,1.797547144,97.56002443
Indonesia,2018,3.010707634,83.50510671,5.737725649,70.12477932,11.5503756,92.82274625
Iran,2018,1.716036984,68.51595655,9.154814714,85.58886417,2.58893329,93.89081137
Iraq,2018,2.939514949,89.96511468,4.446227372,90.54279908,3.872680777,96.17976188
Ireland,2018,3.935820977,73.4504724,9.355552291,85.90951591,4.325992719,90.76895159
Israel,2018,0.88202389,75.58244767,4.820923171,83.58291107,2.141531672,89.80407838
Italy,2018,8.231379081,75.69166719,13.71469477,84.85658922,5.635365621,83.82051173
Japan,2018,4.739243635,33.99302621,8.347281956,61.72242978,3.294160814,66.4583469
Jordan,2018,0.973810325,91.98920648,3.153373732,91.83455661,2.337959256,98.25293901
Kazakhstan,2018,3.718647336,45.71756253,10.3336845,55.25625108,4.869170903,75.85336513
Kenya,2018,1.31194462,89.23351746,5.300983921,86.65312956,7.69289343,97.51961397
Kosovo,2018,0.903778738,71.26989888,5.418528202,78.93375262,5.399058676,96.26397846
Kuwait,2018,2.153418538,86.85452771,4.097016132,87.22819906,3.063248762,94.11052383
Kyrgyzstan,2018,4.382050751,67.83130849,8.841450211,70.95965617,7.155838996,88.6996586
Laos,2018,0.245208395,92.38492746,1.856595172,90.90268277,1.417665634,98.43094219
Latvia,2018,5.949013577,45.45748506,17.0717777,50.47089579,9.832646135,73.22544526
Lebanon,2018,0.155654273,83.69318337,3.348813152,86.14449314,1.108739994,96.90015876
Liberia,2018,2.031008316,96.01272649,2.505175939,68.13656507,27.58857886,97.46126715
Libya,2018,5.662988163,73.92569378,9.027480215,74.41592349,5.565545754,86.81511307
Lithuania,2018,4.237066367,52.37598497,8.280441649,60.44408469,4.175315335,68.97353106
Luxembourg,2018,4.617740176,70.82599285,12.3730704,81.22242945,6.910708635,88.74889694
Macedonia,2018,6.461362145,53.61418004,13.51227687,60.73611925,9.040564979,80.6383369
Madagascar,2018,2.288021446,85.37612576,10.40111937,91.13901044,4.99719585,97.22270523
Malawi,2018,0.922581649,91.73364064,3.840526239,93.98977943,1.670127549,97.62437146
Malaysia,2018,3.123561604,90.89023358,2.804414366,89.13826035,4.095827392,93.39694904
Mali,2018,2.225519326,65.50021114,17.1458224,86.73361624,4.690276192,94.31488841
Malta,2018,2.016089401,79.49439766,6.252081044,84.33553014,5.231021171,94.33868958
Mauritania,2018,1.832958504,74.21991728,9.6241817,81.22913385,5.227755681,90.54428792
Mauritius,2018,1.744295152,62.93665164,17.02140053,84.21656366,5.42960616,95.70872582
Mexico,2018,1.003724047,88.97181011,6.539340492,90.73352713,4.762752716,98.15518788
Moldova,2018,6.880686774,44.33838283,10.74900774,48.94585184,7.265897063,65.59667679
Mongolia,2018,4.258527637,74.43747462,15.97529209,88.99625331,5.249929689,93.17876539
Montenegro,2018,6.923310581,44.35211798,13.43791788,52.23004196,7.032891017,68.04478747
Morocco,2018,1.665594377,79.86947394,3.873115668,75.94501769,4.317192776,94.78751829
Mozambique,2018,1.000706274,91.18510944,4.376628804,76.8353969,9.172431708,97.17655254
Myanmar,2018,0.72673444,91.49710827,4.199570654,92.56822421,3.110229716,97.96921356
Namibia,2018,4.444738826,83.5422949,11.16687438,78.6203996,15.70631506,94.24239902
Nepal,2018,1.048351541,92.11685934,3.303721329,85.84539108,6.805773021,98.24326382
Netherlands,2018,5.665388279,67.63927552,16.95792187,76.49254636,10.82331752,90.18115883
New Zealand,2018,5.612593004,72.10683775,9.809272194,82.04965287,6.628885679,87.07706163
Nicaragua,2018,0.375851358,92.87534922,2.770323364,90.24229532,3.758582133,99.44766517
Niger,2018,4.174073069,86.76437259,7.241705941,91.90016094,3.445577981,93.9277193
Nigeria,2018,3.237375922,91.14849163,4.9520462,80.92018016,15.96620222,96.21776329
Northern Cyprus,2018,0,87.54796099,4.080252763,92.26433623,1.099801988,100
Norway,2018,1.923139822,83.20643864,5.672668284,93.22316795,2.733297377,96.46415387
Pakistan,2018,2.048896381,87.46708615,4.48254764,87.1201023,4.363841243,92.95755059
Palestine,2018,0.034427239,90.82341118,2.984742974,90.33826154,2.905361767,99.81809299
Panama,2018,1.570896565,87.0117918,5.074907607,83.74548712,5.632541832,96.14010546
Paraguay,2018,1.697453577,77.71853639,7.960701128,79.03654747,8.33697707,96.55910239
Peru,2018,3.121639456,70.20276962,17.46744447,69.91956511,15.37898786,94.65921348
Philippines,2018,5.130115078,78.73598856,13.90519241,86.23393266,8.878665282,93.43471143
Poland,2018,4.148356811,77.59000688,5.265834808,84.56692082,3.961528701,89.29095657
Portugal,2018,0.989262723,80.76637384,5.142860342,69.12951856,8.31421332,96.44636303
Romania,2018,4.578165028,65.21081461,12.88616864,74.28533652,6.003139346,89.42052721
Russia,2018,9.4713641,44.63316828,23.61144764,61.48502592,11.99016161,77.27611037
Rwanda,2018,0.626441374,93.53981408,1.638061847,98.66094322,0.647665643,98.49394064
Saudi Arabia,2018,1.308725088,84.51071616,2.732971172,83.49132373,3.867741563,94.51344559
Senegal,2018,2.716341588,73.36482792,14.74161457,81.01150969,9.406832361,94.94049743
Serbia,2018,5.377880369,65.95616367,9.233046412,73.36397391,5.18177842,84.24047902
Sierra Leone,2018,0.653627709,92.75960827,3.92525476,93.03010582,3.612389795,98.39615515
Singapore,2018,2.117348819,76.19201145,3.045648006,76.94395752,2.87016643,85.74143969
Slovakia,2018,2.6178205,73.24740637,6.388160352,80.30219642,2.391224857,84.68860603
Slovenia,2018,5.80245495,70.26216267,12.28595453,79.52356645,7.953757815,88.83694557
South Africa,2018,4.661810314,82.3198786,8.989362561,79.89208724,10.76211119,91.89134844
South Korea,2018,5.103353577,48.65487801,7.88782279,69.95927227,2.447358564,72.30762691
Spain,2018,5.00635976,79.64759426,7.039002198,79.81514869,5.863777118,87.8456352
Sri Lanka,2018,0.668497162,86.48181964,7.046222648,87.27026723,3.529962207,98.43022036
Swaziland,2018,1.391072617,75.58018851,10.09214205,77.73027918,8.097927945,94.43939896
Sweden,2018,2.198213879,69.84934993,12.27445226,84.30726656,3.115958424,92.76281682
Switzerland,2018,9.2555687,52.64549204,21.54384886,76.66151452,7.682226743,75.14677003
Taiwan,2018,3.66298564,56.60420011,17.03331984,75.86917604,5.794453251,87.60738815
Tajikistan,2018,0.673757537,91.32556177,0.892688266,94.70880313,0.781371864,96.68208741
Tanzania,2018,0.583005908,95.53248558,2.29331399,91.62572786,4.26186043,98.93528549
Thailand,2018,1.212679891,92.58005104,3.004244503,93.65955808,2.250121079,97.15742533
Togo,2018,3.061218588,51.16570542,25.01030975,69.79410638,12.20086896,90.56253903
Tunisia,2018,2.633111366,77.25382584,5.060910814,79.64929272,3.295920991,91.52962184
Turkey,2018,3.460505912,81.79293168,5.890945262,86.79386391,3.575581689,93.4521032
Turkmenistan,2018,5.391968047,85.72975256,4.851585638,84.98196013,5.319882647,90.46698076
Uganda,2018,1.631230651,85.52336695,8.528302665,80.86251597,13.62793388,97.45142236
Ukraine,2018,4.289513483,29.2852939,15.26527319,49.92415276,7.063743363,76.4157292
United Arab Emirates,2018,2.452531891,83.58233724,4.379337596,85.20114693,3.396720601,94.05037382
United Kingdom,2018,3.550782864,75.1519926,8.731762141,85.65273244,2.656245484,89.00867298
United States,2018,6.065628933,72.09093657,11.08898779,84.06384961,5.789617551,86.93454509
Uruguay,2018,2.356830526,72.39453213,10.75892578,74.8942538,6.837958322,94.46819233
Uzbekistan,2018,0.481913574,92.34589,3.322893256,95.39644889,1.130838963,98.28823461
Venezuela,2018,0.149682439,92.22134242,4.056766995,93.54830111,2.490906241,99.57585105
Vietnam,2018,1.396909176,70.84443302,8.115222817,73.29346956,3.569154881,91.72212825
Yemen,2018,1.832942182,84.21886745,3.062775585,81.48479282,3.218073296,93.37462924
Zambia,2018,2.340405547,80.54475527,10.27586541,79.19620189,8.151723478,94.93797019
Zimbabwe,2018,0.568950086,85.14194336,3.765832379,91.64147991,1.851849998,97.3160044
