Entity,Year,"Air pollution death rates (per 100,000)- IHME"
Dominica,2000,38.30638016
Dominica,2005,34.3680731
Dominica,2010,32.24875254
Dominica,2015,33.28554449
Dominican Republic,1990,36.25668469
Dominican Republic,1995,34.04677554
Dominican Republic,2000,34.80200539
Dominican Republic,2005,35.34645948
Dominican Republic,2010,37.4955358
Dominican Republic,2015,38.22515137
Ecuador,1990,41.84523423
Ecuador,1995,37.40655375
Ecuador,2000,32.50836162
Ecuador,2005,28.54250488
Ecuador,2010,22.95332379
Ecuador,2015,21.44765313
Egypt,1990,94.03325384
Egypt,1995,77.22722949
Egypt,2000,64.902741
Egypt,2005,65.63093048
Egypt,2010,70.62532823
Egypt,2015,66.77482743
El Salvador,1990,62.33474123
El Salvador,1995,58.68530134
El Salvador,2000,52.42403131
El Salvador,2005,47.8875736
El Salvador,2010,43.41485619
El Salvador,2015,46.69332993
Equatorial Guinea,1990,259.9795349
Equatorial Guinea,1995,234.833383
Equatorial Guinea,2000,169.0732664
Equatorial Guinea,2005,116.4765097
Equatorial Guinea,2010,106.0037641
Equatorial Guinea,2015,95.95984011
Eritrea,1990,137.7261826
Eritrea,1995,100.1633005
Eritrea,2000,85.33982909
Eritrea,2005,87.32328424
Eritrea,2010,90.75957932
Eritrea,2015,88.45931152
Estonia,1990,133.6759073
Estonia,1995,137.6549597
Estonia,2000,110.4765455
Estonia,2005,87.76608156
Estonia,2010,60.02205191
Estonia,2015,62.95223138
Ethiopia,1990,198.7914555
Ethiopia,1995,172.5491486
Ethiopia,2000,148.0976352
Ethiopia,2005,119.3999778
Ethiopia,2010,93.03215775
Ethiopia,2015,80.15611675
Fiji,1990,61.44650397
Fiji,1995,61.14959251
Fiji,2000,57.95445759
Fiji,2005,52.00376036
Fiji,2010,41.75243666
Fiji,2015,40.58425257
Finland,1990,43.56598947
Finland,1995,37.15730854
Finland,2000,32.3617307
Finland,2005,27.67770784
Finland,2010,27.41677454
Finland,2015,28.63993577
France,1990,38.72227389
France,1995,36.68688587
France,2000,34.31244986
France,2005,30.46219354
France,2010,29.51936913
France,2015,32.45595435
Gabon,1990,164.3501804
Gabon,1995,146.4743982
Gabon,2000,124.22133
Gabon,2005,97.69821772
Gabon,2010,71.62132533
Gabon,2015,62.95591011
Gambia,1990,127.1592686
Gambia,1995,111.1001358
Gambia,2000,95.46869551
Gambia,2005,85.93957755
Gambia,2010,74.49950208
Gambia,2015,66.47595437
Georgia,1990,175.0003197
Georgia,1995,160.7440296
Georgia,2000,167.4958155
Georgia,2005,177.0678675
Georgia,2010,169.0763747
Georgia,2015,152.3779356
Germany,1990,75.11819131
Germany,1995,63.23511479
Germany,2000,55.54386298
Germany,2005,49.9406131
Germany,2010,50.21227989
Germany,2015,53.61466319
Ghana,1990,115.7276682
Ghana,1995,104.8581209
Ghana,2000,104.4011908
Ghana,2005,104.4792822
Ghana,2010,99.41528551
Ghana,2015,86.58577572
Greece,1990,55.02276472
Greece,1995,52.19242303
Greece,2000,52.59840982
Greece,2005,48.78127365
Greece,2010,53.70403524
Greece,2015,66.06954848
Greenland,1990,13.45871569
Greenland,1995,12.60783029
Greenland,2000,12.89538632
Greenland,2005,11.18125656
Greenland,2010,8.179844008
Greenland,2015,9.815666272
Grenada,1990,81.45916509
Grenada,1995,60.60115993
Grenada,2000,52.17702128
Grenada,2005,44.62630022
Grenada,2010,37.69887262
Grenada,2015,37.66462323
Guam,1990,16.70509664
Guam,1995,16.71496575
Guam,2000,21.0076003
Guam,2005,25.77056293
Guam,2010,28.75677019
Guam,2015,30.87511286
Guatemala,1990,92.65502449
Guatemala,1995,87.77084877
Guatemala,2000,83.63277884
Guatemala,2005,70.82496304
Guatemala,2010,56.9612952
Guatemala,2015,51.16787506
Guinea,1990,205.3365577
Guinea,1995,182.3453582
Guinea,2000,164.9090438
Guinea,2005,137.835613
Guinea,2010,128.0149329
Guinea,2015,118.4222172
Guinea-Bissau,1990,189.360138
Guinea-Bissau,1995,173.6468286
Guinea-Bissau,2000,165.28056
Guinea-Bissau,2005,159.8625095
Guinea-Bissau,2010,155.313639
Guinea-Bissau,2015,140.5163319
Guyana,1990,64.09930647
Guyana,1995,62.33301829
Guyana,2000,54.25920244
Guyana,2005,49.22887893
Guyana,2010,42.77558182
Guyana,2015,44.40881312
Haiti,1990,168.8512973
Haiti,1995,143.6699764
Haiti,2000,123.4552474
Haiti,2005,115.8737461
Haiti,2010,111.0033714
Haiti,2015,108.0167131
Honduras,1990,59.68844634
Honduras,1995,67.01375241
Honduras,2000,67.72912457
Honduras,2005,67.23743863
Honduras,2010,63.07693548
Honduras,2015,63.00790119
Hungary,1990,168.0207672
Hungary,1995,151.3910131
Hungary,2000,130.7278406
Hungary,2005,120.8340051
Hungary,2010,115.1883858
Hungary,2015,100.2027537
Iceland,1990,28.96196675
Iceland,1995,26.50481474
Iceland,2000,22.72264246
Iceland,2005,20.31447366
Iceland,2010,18.48562242
Iceland,2015,18.83673976
India,1990,159.5183392
India,1995,153.3171046
India,2000,149.5370641
India,2005,140.5844465
India,2010,137.8690824
India,2015,137.923914
Indonesia,1990,72.62427243
Indonesia,1995,65.70993573
Indonesia,2000,61.84474914
Indonesia,2005,60.99983002
Indonesia,2010,56.55488931
Indonesia,2015,50.15534116
Iran,1990,45.30790029
Iran,1995,38.45586325
Iran,2000,37.61578118
Iran,2005,40.22556532
Iran,2010,43.74209384
Iran,2015,43.50669042
Iraq,1990,60.34523249
Iraq,1995,60.35972619
Iraq,2000,58.72466718
Iraq,2005,56.75609573
Iraq,2010,58.11107112
Iraq,2015,43.95043943
Ireland,1990,42.53986408
Ireland,1995,39.96472515
Ireland,2000,35.09889939
Ireland,2005,27.20044577
Ireland,2010,23.71205337
Ireland,2015,24.73611094
Israel,1990,38.99891453
Israel,1995,36.25199606
Israel,2000,30.61292518
Israel,2005,27.31156419
Israel,2010,25.16059612
Israel,2015,27.9461412
Italy,1990,55.11430791
Italy,1995,52.40272731
Italy,2000,49.8218229
Italy,2005,45.82180409
Italy,2010,45.16927584
Italy,2015,57.53731239
Jamaica,1990,60.35191473
Jamaica,1995,55.83669408
Jamaica,2000,45.71622994
Jamaica,2005,38.92031382
Jamaica,2010,36.6840366
Jamaica,2015,41.04458203
Japan,1990,31.84319066
Japan,1995,33.5764722
Japan,2000,34.28517957
Japan,2005,39.31430401
Japan,2010,41.55620991
Japan,2015,48.82545909
Jordan,1990,30.71979154
Jordan,1995,26.26243804
Jordan,2000,23.74291507
Jordan,2005,21.30299108
Jordan,2010,17.74338307
Jordan,2015,18.612844
Kazakhstan,1990,110.4320865
Kazakhstan,1995,131.1810687
Kazakhstan,2000,116.07263
Kazakhstan,2005,105.9853705
Kazakhstan,2010,78.36205186
Kazakhstan,2015,73.77620786
Kenya,1990,86.09175566
Kenya,1995,76.47696766
Kenya,2000,68.82117596
Kenya,2005,62.03172379
Kenya,2010,58.73116897
Kenya,2015,53.07720858
Kiribati,1990,69.72484407
Kiribati,1995,63.00935056
Kiribati,2000,59.23814024
Kiribati,2005,52.93660797
Kiribati,2010,43.28860086
Kiribati,2015,37.39411768
Kuwait,1990,17.37834245
Kuwait,1995,22.23817282
Kuwait,2000,20.41739353
Kuwait,2005,22.52269042
Kuwait,2010,22.73588616
Kuwait,2015,17.73793483
Kyrgyzstan,1990,144.546479
Kyrgyzstan,1995,134.4105462
Kyrgyzstan,2000,112.7224416
Kyrgyzstan,2005,106.14692
Kyrgyzstan,2010,88.10959989
Kyrgyzstan,2015,75.06691036
Laos,1990,203.0988224
Laos,1995,179.6035445
Laos,2000,153.1933551
Laos,2005,130.1188138
Laos,2010,107.0951344
Laos,2015,92.96899079
Latvia,1990,169.2890888
Latvia,1995,177.9509243
Latvia,2000,131.7067188
Latvia,2005,127.3167203
Latvia,2010,106.1370247
Latvia,2015,107.2481391
Lebanon,1990,48.59352484
Lebanon,1995,39.41273026
Lebanon,2000,34.05767784
Lebanon,2005,32.42081439
Lebanon,2010,37.23338596
Lebanon,2015,37.70079638
Lesotho,1990,118.7737565
Lesotho,1995,113.4881866
Lesotho,2000,125.3820607
Lesotho,2005,162.7633232
Lesotho,2010,149.1694711
Lesotho,2015,134.1497293
Liberia,1990,157.6396171
Liberia,1995,144.2031702
Liberia,2000,112.9321055
Liberia,2005,93.0339389
Liberia,2010,85.28712788
Liberia,2015,73.66073551
Libya,1990,30.50665255
Libya,1995,28.22230745
Libya,2000,29.893787
Libya,2005,30.77676229
Libya,2010,33.86602912
Libya,2015,42.64180025
Lithuania,1990,137.3338164
Lithuania,1995,137.4889398
Lithuania,2000,104.9264218
Lithuania,2005,105.9066039
Lithuania,2010,99.21058081
Lithuania,2015,98.10132906
Luxembourg,1990,66.84876862
Luxembourg,1995,54.81858971
Luxembourg,2000,45.76584324
Luxembourg,2005,40.10125122
Luxembourg,2010,34.55721017
Luxembourg,2015,32.83082915
Macedonia,1990,119.9893886
Macedonia,1995,123.4038384
Macedonia,2000,119.8515063
Macedonia,2005,116.9770607
Macedonia,2010,117.2851655
Macedonia,2015,107.9183654
Madagascar,1990,150.7809735
Madagascar,1995,144.1994682
Madagascar,2000,126.4039311
Madagascar,2005,110.565417
Madagascar,2010,105.9214934
Madagascar,2015,103.2889704
Malawi,1990,129.1315421
Malawi,1995,134.674937
Malawi,2000,137.9313762
Malawi,2005,107.9227775
Malawi,2010,90.47004278
Malawi,2015,81.55031828
Malaysia,1990,33.35121728
Malaysia,1995,30.07567721
Malaysia,2000,28.05376134
Malaysia,2005,32.01068321
Malaysia,2010,30.05522303
Malaysia,2015,32.42800012
Maldives,1990,58.18642094
Maldives,1995,44.59189659
Maldives,2000,32.01866348
Maldives,2005,23.09072443
Maldives,2010,19.55366024
Maldives,2015,21.95826673
Mali,1990,142.8885502
Mali,1995,131.9908304
Mali,2000,113.7207728
Mali,2005,88.82858092
Mali,2010,80.59818647
Mali,2015,69.8986405
Malta,1990,40.60447973
Malta,1995,36.58877686
Malta,2000,36.47413978
Malta,2005,32.69933513
Malta,2010,38.36934338
Malta,2015,41.47544969
Marshall Islands,1990,42.60957358
Marshall Islands,1995,43.54328557
Marshall Islands,2000,48.24312346
Marshall Islands,2005,48.08509257
Marshall Islands,2010,42.96664556
Marshall Islands,2015,38.01394778
Mauritania,1990,116.9097493
Mauritania,1995,110.5418778
Mauritania,2000,100.0250457
Mauritania,2005,80.66306473
Mauritania,2010,69.51378891
Mauritania,2015,65.51180268
Mauritius,1990,57.96887563
Mauritius,1995,56.04600301
Mauritius,2000,52.12083925
Mauritius,2005,45.10809667
Mauritius,2010,34.83574837
Mauritius,2015,38.06749883
Mexico,1990,33.090121
Mexico,1995,31.41889465
Mexico,2000,29.6870101
Mexico,2005,29.08197639
Mexico,2010,27.98946807
Mexico,2015,29.95356335
Micronesia (country),1990,66.06782554
Micronesia (country),1995,59.1885997
Micronesia (country),2000,53.7464628
Micronesia (country),2005,51.91330565
Micronesia (country),2010,43.54880657
Micronesia (country),2015,40.73138698
Moldova,1990,164.9626647
Moldova,1995,191.2959502
Moldova,2000,142.5479888
Moldova,2005,117.8937615
Moldova,2010,107.0186729
Moldova,2015,83.54661986
Mongolia,1990,147.2250326
Mongolia,1995,127.7098083
Mongolia,2000,118.8158174
Mongolia,2005,111.1334655
Mongolia,2010,100.1382596
Mongolia,2015,89.38779356
Montenegro,1990,115.4027181
Montenegro,1995,125.8479315
Montenegro,2000,121.5130207
Montenegro,2005,111.544074
Montenegro,2010,112.8120231
Montenegro,2015,117.7638886
Morocco,1990,36.91219317
Morocco,1995,32.59055375
Morocco,2000,29.04850408
Morocco,2005,28.80849643
Morocco,2010,29.11935735
Morocco,2015,31.84389498
Mozambique,1990,128.2807905
Mozambique,1995,115.5476435
Mozambique,2000,106.2436495
Mozambique,2005,91.85978561
Mozambique,2010,85.61544819
Mozambique,2015,79.0118007
Myanmar,1990,143.2625111
Myanmar,1995,134.6829464
Myanmar,2000,128.0760975
Myanmar,2005,118.0523424
Myanmar,2010,104.4745441
Myanmar,2015,101.2032852
Namibia,1990,111.3613485
Namibia,1995,105.0945837
Namibia,2000,120.1811829
Namibia,2005,102.266029
Namibia,2010,74.46561358
Namibia,2015,64.20203135
Nepal,1990,164.863898
Nepal,1995,136.3390824
Nepal,2000,117.3174591
Nepal,2005,112.605188
Nepal,2010,112.9912562
Nepal,2015,111.0017649
Netherlands,1990,55.62457372
Netherlands,1995,53.62090888
Netherlands,2000,50.76965899
Netherlands,2005,43.97157463
Netherlands,2010,41.11350281
Netherlands,2015,41.48581065
New Zealand,1990,23.89648726
New Zealand,1995,21.66683844
New Zealand,2000,19.3824817
New Zealand,2005,16.81160793
New Zealand,2010,12.74305687
New Zealand,2015,13.48087972
Nicaragua,1990,42.78895794
Nicaragua,1995,37.42801782
Nicaragua,2000,34.40795408
Nicaragua,2005,36.19607305
Nicaragua,2010,34.79284351
Nicaragua,2015,35.70832778
Niger,1990,254.3441718
Niger,1995,232.2125016
Niger,2000,194.1431314
Niger,2005,155.8934571
Niger,2010,124.1735066
Niger,2015,111.6218162
Nigeria,1990,149.7323974
Nigeria,1995,135.7784611
Nigeria,2000,120.5333509
Nigeria,2005,96.23462684
Nigeria,2010,77.86789211
Nigeria,2015,62.23926321
North Korea,1990,101.5628339
North Korea,1995,111.2140017
North Korea,2000,125.5251002
North Korea,2005,136.2611074
North Korea,2010,142.7648938
North Korea,2015,148.049253
Northern Mariana Islands,1990,21.98724251
Northern Mariana Islands,1995,16.28718601
Northern Mariana Islands,2000,12.8493688
Northern Mariana Islands,2005,11.53833946
Northern Mariana Islands,2010,10.42889635
Northern Mariana Islands,2015,10.92397652
Norway,1990,54.00274531
Norway,1995,47.89061204
Norway,2000,42.04252036
Norway,2005,32.84158302
Norway,2010,30.01315054
Norway,2015,28.06898847
Oman,1990,29.46716268
Oman,1995,23.50904833
Oman,2000,22.86714007
Oman,2005,21.76330454
Oman,2010,23.50251598
Oman,2015,20.66400775
Pakistan,1990,134.7229932
Pakistan,1995,138.217886
Pakistan,2000,141.3430669
Pakistan,2005,132.2205295
Pakistan,2010,121.7328594
Pakistan,2015,118.7413582
Palestine,1990,19.61277012
Palestine,1995,17.07721822
Palestine,2000,15.67352156
Palestine,2005,16.46835153
Palestine,2010,19.40575894
Palestine,2015,21.90004743
Panama,1990,35.05313071
Panama,1995,32.57755889
Panama,2000,28.92717894
Panama,2005,28.38992805
Panama,2010,25.70316719
Panama,2015,26.20548767
Papua New Guinea,1990,143.6507795
Papua New Guinea,1995,135.5914632
Papua New Guinea,2000,132.0197014
Papua New Guinea,2005,128.0823257
Papua New Guinea,2010,118.5235567
Papua New Guinea,2015,112.826447
Paraguay,1990,54.32723556
Paraguay,1995,53.05478699
Paraguay,2000,51.02644791
Paraguay,2005,51.7547538
Paraguay,2010,49.34876342
Paraguay,2015,44.81729411
Peru,1990,83.59653875
Peru,1995,65.02489559
Peru,2000,52.3530296
Peru,2005,52.42568441
Peru,2010,46.69073678
Peru,2015,43.79497259
Philippines,1990,74.20633338
Philippines,1995,62.03567027
Philippines,2000,59.30296029
Philippines,2005,68.48956109
Philippines,2010,74.49024124
Philippines,2015,73.6126327
Poland,1990,137.1881808
Poland,1995,116.2159839
Poland,2000,95.64934298
Poland,2005,90.15541873
Poland,2010,92.03791851
Poland,2015,84.65218125
Portugal,1990,46.50922783
Portugal,1995,45.45570409
Portugal,2000,44.39129552
Portugal,2005,40.81761872
Portugal,2010,35.97366158
Portugal,2015,36.01968638
Puerto Rico,1990,41.60651879
Puerto Rico,1995,43.62831824
Puerto Rico,2000,48.40552283
Puerto Rico,2005,43.95288415
Puerto Rico,2010,41.53538903
Puerto Rico,2015,41.99799441
Qatar,1990,21.79947478
Qatar,1995,24.79125687
Qatar,2000,26.52460244
Qatar,2005,20.70086193
Qatar,2010,12.16637975
Qatar,2015,11.23408001
Russia,1990,119.0530369
Russia,1995,143.5890328
Russia,2000,136.1806295
Russia,2005,129.053602
Russia,2010,108.1820461
Russia,2015,100.5387749
Rwanda,1990,172.8418167
Rwanda,1995,216.4989244
Rwanda,2000,180.1869366
Rwanda,2005,110.1369737
Rwanda,2010,83.61787768
Rwanda,2015,82.35211135
Saint Lucia,1990,69.12108511
Saint Lucia,1995,60.42572786
Saint Lucia,2000,50.63415156
Saint Lucia,2005,41.28756118
Saint Lucia,2010,34.34832324
Saint Lucia,2015,36.22234799
Saint Vincent and the Grenadines,1990,78.22082262
Saint Vincent and the Grenadines,1995,75.67029679
Saint Vincent and the Grenadines,2000,58.98411619
Saint Vincent and the Grenadines,2005,43.97461889
Saint Vincent and the Grenadines,2010,36.55436158
Saint Vincent and the Grenadines,2015,38.30914502
Samoa,1990,46.36079539
Samoa,1995,43.9131778
Samoa,2000,42.46466269
Samoa,2005,41.5600487
Samoa,2010,37.55404032
Samoa,2015,35.2330273
Sao Tome and Principe,1990,152.8802793
Sao Tome and Principe,1995,144.1086526
Sao Tome and Principe,2000,136.962242
Sao Tome and Principe,2005,121.8576217
Sao Tome and Principe,2010,99.50554231
Sao Tome and Principe,2015,83.18788023
Saudi Arabia,1990,26.22849133
Saudi Arabia,1995,25.04254517
Saudi Arabia,2000,24.78242095
Saudi Arabia,2005,23.8505585
Saudi Arabia,2010,25.45150055
Saudi Arabia,2015,25.86717601
Senegal,1990,110.1411297
Senegal,1995,102.943962
Senegal,2000,94.82831811
Senegal,2005,81.57666307
Senegal,2010,79.02568905
Senegal,2015,75.96255164
Serbia,1990,137.4643529
Serbia,1995,152.0272461
Serbia,2000,165.7310408
Serbia,2005,149.9252045
Serbia,2010,140.0601468
Serbia,2015,132.2910772
Seychelles,1990,52.89891269
Seychelles,1995,47.3125896
Seychelles,2000,44.73386216
Seychelles,2005,39.85423246
Seychelles,2010,34.0554252
Seychelles,2015,30.62021278
Sierra Leone,1990,186.3143989
Sierra Leone,1995,167.3059072
Sierra Leone,2000,156.1787096
Sierra Leone,2005,138.7649449
Sierra Leone,2010,124.7557579
Sierra Leone,2015,106.6160039
Singapore,1990,40.71483272
Singapore,1995,40.99673533
Singapore,2000,37.40398388
Singapore,2005,44.57307223
Singapore,2010,38.57224074
Singapore,2015,43.08734788
Slovakia,1990,125.020463
Slovakia,1995,99.54411071
Slovakia,2000,86.68066002
Slovakia,2005,81.1398204
Slovakia,2010,76.51811466
Slovakia,2015,67.86561571
Slovenia,1990,89.14847858
Slovenia,1995,80.87576134
Slovenia,2000,67.49646855
Slovenia,2005,60.53043762
Slovenia,2010,54.92528435
Slovenia,2015,60.88275113
Solomon Islands,1990,95.92306451
Solomon Islands,1995,87.80702483
Solomon Islands,2000,86.00458386
Solomon Islands,2005,91.64792718
Solomon Islands,2010,83.74882164
Solomon Islands,2015,78.64595391
Somalia,1990,215.638848
Somalia,1995,212.0245947
Somalia,2000,193.2026818
Somalia,2005,160.4451681
