Entity,Year,"Coal (terrawatt-hours) (Smil & BP, 2019)","Crude oil (terrawatt-hours) (Smil & BP, 2019)","Natural gas (terrawatt-hours) (Smil & BP, 2019)","Hydropower (terrawatt-hours) (Smil & BP, 2019)","Nuclear (terrawatt-hours) (Smil & BP, 2019)","Solar (terrawatt-hours) (Smil & BP, 2019)","Other renewables (terrawatt-hours) (Smil & BP, 2019)","Traditional biofuels (terrawatt-hours) (Vaclav Smil, 2017)","Wind (terrawatt-hours) (Smil & BP, 2019)",Biofuels (TWh; direct energy),Coal (TWh; substituted energy),Solar (TWh; substituted energy),Oil (TWh; substituted energy),Gas (TWh; substituted energy),Traditional bimass (TWh; substituted energy),Other renewables (TWh; substituted energy),Hydropower (TWh; substituted energy),Nuclear (TWh; substituted energy),Wind (TWh; substituted energy),Biofuels (TWh; substituted energy)
World,1967,16061,20891,7375,1006,41,0,20,9274,0,0,16061,0,20891,7375,9274,56,2794,114,0,0
World,1968,16301,22675,8044,1059,52,0,22,9331,0,0,16301,0,22675,8044,9331,61,2942,145,0,0
World,1969,16799,24577,8833,1122,62,0,23,9387,0,0,16799,0,24577,8833,9387,65,3116,172,0,0
World,1970,17059,26708,9614,1175,79,0,26,9444,0,0,17059,0,26708,9614,9444,71,3263,219,0,0
World,1971,16966,28205,10292,1227,110,0,28,9499,0,0,16966,0,28205,10292,9499,77,3409,305,0,0
World,1972,17154,30378,10861,1285,152,0,30,9553,0,0,17154,0,30378,10861,9553,83,3568,423,0,0
World,1973,17668,32746,11378,1303,204,0,32,9608,0,0,17668,0,32746,11378,9608,89,3619,566,0,0
World,1974,17682,32272,11656,1431,267,0,34,9663,0,0,17682,0,32272,11656,9663,94,3976,741,0,0
World,1975,18025,31948,11661,1449,370,0,34,9718,0,0,18025,0,31948,11661,9718,96,4025,1027,0,0
World,1976,18688,34030,12356,1443,433,0,38,9774,0,0,18688,0,34030,12356,9774,107,4009,1202,0,0
World,1977,19241,35215,12761,1492,539,0,41,9830,0,0,19241,0,35215,12761,9830,113,4144,1496,0,0
World,1978,19458,36426,13294,1614,626,0,43,9886,0,0,19458,0,36426,13294,9886,119,4484,1738,0,0
World,1979,20364,37024,14119,1695,651,0,46,9943,0,0,20364,0,37024,14119,9943,128,4709,1808,0,0
World,1980,20858,35577,14239,1732,712,0,49,10000,0,0,20858,0,35577,14239,10000,137,4810,1978,0,0
World,1981,21150,34296,14394,1769,841,0,53,10106,0,0,21150,0,34296,14394,10106,148,4914,2335,0,0
World,1982,21384,33198,14469,1801,912,0,61,10213,0,0,21384,0,33198,14469,10213,170,5003,2534,0,0
World,1983,22045,32969,14703,1878,1034,0,68,10321,0,0,22045,0,32969,14703,10321,189,5216,2872,0,0
World,1984,23000,33739,15903,1941,1255,0,76,10430,0,0,23000,0,33739,15903,10430,211,5393,3485,0,0
World,1985,23986,33789,16261,1980,1489,0,78,10541,0,0,23986,0,33789,16261,10541,216,5499,4136,0,0
World,1986,24256,34803,16419,2007,1595,0,86,10653,0,0,24256,0,34803,16419,10653,238,5574,4430,0,0
World,1987,25210,35499,17281,2034,1735,0,92,10765,0,0,25210,0,35499,17281,10765,255,5649,4819,1,0
World,1988,25965,36703,18089,2099,1891,0,94,10879,0,0,25965,0,36703,18089,10879,262,5830,5253,1,0
World,1989,26213,37300,18869,2088,1945,0,104,10995,3,0,26213,1,37300,18869,10995,290,5799,5403,7,0
World,1990,25895,37691,19483,2159,2000,0,117,11111,4,91,25895,1,37691,19483,11111,325,5997,5557,10,91
World,1991,25643,37691,19975,2209,2096,1,122,11243,4,102,25643,1,37691,19975,11243,339,6137,5823,11,102
World,1992,25550,38344,20067,2209,2112,0,131,11376,5,98,25550,1,38344,20067,11376,364,6136,5867,13,98
World,1993,25675,38099,20269,2341,2185,1,135,11511,6,100,25675,2,38099,20269,11511,376,6503,6069,16,100
World,1994,25774,38935,20394,2357,2226,1,140,11647,7,111,25774,2,38935,20394,11647,390,6547,6183,20,111
World,1995,25954,39445,21108,2486,2322,1,146,11785,8,115,25954,2,39445,21108,11785,407,6905,6451,23,115
World,1996,26572,40380,22164,2520,2407,1,151,11925,9,115,26572,2,40380,22164,11925,418,7001,6686,26,115
World,1997,26527,41413,22033,2566,2390,1,161,12066,12,132,26527,2,41413,22033,12066,448,7128,6640,33,132
World,1998,26360,41624,22439,2587,2431,1,169,12209,16,126,26360,2,41624,22439,12209,469,7186,6754,44,126
World,1999,26522,42371,23075,2606,2524,1,177,12414,21,122,26522,3,42371,23075,12414,493,7238,7012,59,122
World,2000,27417,42897,24000,2652,2581,1,186,12500,31,116,27417,3,42897,24000,12500,517,7367,7169,87,116
World,2001,27853,43278,24331,2584,2654,1,192,12500,38,127,27853,4,43278,24331,12500,530,7131,7324,106,127
World,2002,28945,43639,25053,2632,2696,2,206,12470,52,149,28945,5,43639,25053,12470,566,7216,7393,143,149
World,2003,31497,44610,25753,2628,2642,2,218,12329,63,185,31497,6,44610,25753,12329,594,7159,7197,171,185
World,2004,33664,46256,26736,2821,2762,3,235,12160,85,209,33664,8,46256,26736,12160,637,7636,7476,230,209
World,2005,36171,46824,27464,2916,2769,4,255,12076,104,246,36171,11,46824,27464,12076,685,7845,7448,280,246
World,2006,38071,47367,28175,3028,2803,6,272,11993,133,313,38071,15,47367,28175,11993,726,8093,7493,355,313
World,2007,40224,47958,29325,3079,2746,8,295,11911,171,424,40224,21,47958,29325,11911,783,8179,7295,454,424
World,2008,40770,47566,30025,3257,2738,13,316,11829,221,574,40770,33,47566,30025,11829,833,8599,7227,582,574
World,2009,40149,46654,29411,3252,2699,21,340,11747,276,636,40149,55,46654,29411,11747,891,8533,7081,724,636
World,2010,41997,48087,31606,3436,2769,34,380,11667,347,734,41997,88,48087,31606,11667,990,8958,7219,903,734
World,2011,44018,48550,32372,3501,2653,65,399,11553,441,775,44018,169,48550,32372,11553,1033,9073,6874,1142,775
World,2012,44185,49157,33219,3650,2471,101,431,11441,531,789,44185,260,49157,33219,11441,1110,9401,6364,1367,789
World,2013,44993,49689,33767,3814,2493,139,464,11330,636,857,44993,356,49689,33767,11330,1188,9765,6384,1628,857
World,2014,44954,50014,33994,3894,2541,198,501,11220,706,933,44954,504,50014,33994,11220,1275,9910,6467,1798,933
World,2015,43844,50892,34781,3885,2576,257,538,11111,832,937,43844,650,50892,34781,11111,1362,9827,6516,2104,937
World,2016,43196,51920,35589,4013,2615,328,548,11111,964,970,43196,825,51920,35589,11111,1378,10092,6576,2424,970
World,2017,43360,52568,36586,4066,2639,447,583,11111,1141,1012,43360,1117,52568,36586,11111,1457,10165,6596,2852,1012
World,2018,44109,53181,38517,4171,2700,583,615,11111,1270,1109,44109,1448,53181,38517,11111,1529,10368,6711,3157,1109
World,2019,43849,53620,39292,4222,2796,724,652,11111,1430,1143,43849,1793,53620,39292,11111,1614,10455,6923,3540,1143
